component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_094324,FLW0_094324,ANLT0_094324
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3693957d-81c8-4265-820f-ed0691f83e79,a3251215-890d-4e8b-ac6d-28272dcc35e2,1218.1669921875,488160.1875,199894.078125,8133.13818359375,7136.5068359375,26002.767578125,184554.015625,180012.828125,236460.65625,70660.28125,129308.203125,18646.04296875,277979.3125,5554.9423828125,19442.326171875,37233.71484375,258129.828125,52687.6640625,191918.875,20294.8515625,6903.0107421875,13244.80859375,27519.9296875,45721.5078125,2920042.75,357516.03125,1089803.625,3614098.5,11035107,5588.93310546875,71499.8515625,123552592,52991032,21110.1953125,86324.7421875,202006.953125,671034.4375,4357.484375,2900627.25,1134375.875,63182.59375,491362.375,21334.9765625,825780.3125,702.712158203125,448091.96875,445843.3125,239639.46875,963224.4375,70044.703125,77658.7734375,17380.7578125,4140.2412109375,277178.5625,14958.994140625,146727.6875,33033.0625,404887.78125,1103229.625,58619.73828125,7257.6416015625,123203.375,13537.4248046875,610941.875,4949,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,201789469,24484,0,36.73833465576172,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 26, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:48:18.262,"{'cid': 'e99f5913-f61c-48d9-9aa4-b91b3448a8a0', 'uuid': '642dd3c0-c765-48b2-8cb1-190642fb237d', 'annotationId': '3693957d-81c8-4265-820f-ed0691f83e79', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787297822, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:48:18.063Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.73,33.44,0.0,427646.69,25.15,32.58,1009.14,2200.0,2199.04,24020116.0,0.0,0.03,22040109.0,1800.0,1798.96,22340093.0,1400.0,1396.48,22450138.0,1600.0,1600.8,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3693957d-81c8-4265-820f-ed0691f83e79,a3251215-890d-4e8b-ac6d-28272dcc35e2,1217.4080810546875,488027.8125,199883.109375,8132.74853515625,7135.29052734375,26000.568359375,184525.84375,179978.53125,236321.6875,70513.921875,129334.2578125,18645.982421875,277766.125,5566.79052734375,19442.45703125,37226.78125,258002.09375,52679.515625,192691.0625,20289.673828125,6903.13916015625,13250.890625,27521.517578125,45734.66796875,2920375.25,356484.75,1088332.125,3614117.5,11033010,5588.67236328125,71277.0703125,123275920,53207040,21112.98046875,86328.78125,201997.40625,671167.125,4357.4267578125,2908386.5,1135165.5,63177.37109375,491327.625,21336.0546875,825813.875,702.4141845703125,448106.4375,445771.59375,239595.109375,962366.5625,70071.5390625,77614.6796875,17376.9765625,4138.68994140625,277385.15625,14932.15234375,146190.03125,33030.09765625,404947.21875,1103124.75,58618.49609375,7257.8857421875,123302.5703125,13545.0771484375,610936.3125,5250,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,201789469,24484,0,36.73833465576172,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 26, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:48:18.565,"{'cid': 'e99f5913-f61c-48d9-9aa4-b91b3448a8a0', 'uuid': '642dd3c0-c765-48b2-8cb1-190642fb237d', 'annotationId': '3693957d-81c8-4265-820f-ed0691f83e79', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787297822, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:48:18.063Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.73,33.44,0.0,427646.69,25.15,32.58,1009.14,2200.0,2199.04,24020116.0,0.0,0.03,22040109.0,1800.0,1798.96,22340093.0,1400.0,1396.48,22450138.0,1600.0,1600.8,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3693957d-81c8-4265-820f-ed0691f83e79,a3251215-890d-4e8b-ac6d-28272dcc35e2,1219.084228515625,488132.53125,199918.671875,8133.46875,7135.10400390625,26003.248046875,184605.390625,179961.78125,236463.09375,70477.703125,129364.1484375,18645.90234375,277343.46875,5564.3974609375,19444.880859375,37236.86328125,258018.734375,52691.328125,192184.4375,20289.5703125,6903.1923828125,13251.0146484375,27519.001953125,45732.8203125,2925283.5,356863.84375,1090035.5,3618253.75,11044699,5587.4501953125,72746.421875,123640336,53670316,21115.6328125,86315.6328125,201954.5625,671254.6875,4358.68994140625,2908398.75,1137100.875,63185.453125,491140.78125,21336.47265625,827271.6875,703.2589111328125,448462.59375,445768.40625,239613.359375,960063.875,70035.625,77620.9140625,17381.509765625,4135.607421875,277200.625,14986.345703125,146131.375,33028.671875,404740.53125,1102666.375,58596.20703125,7256.8984375,123115.8828125,13542.89453125,609386.6875,5852,33.970699310302734,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,201794472,24484,0,37.3981819152832,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 26, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:48:19.163,"{'cid': 'e99f5913-f61c-48d9-9aa4-b91b3448a8a0', 'uuid': '642dd3c0-c765-48b2-8cb1-190642fb237d', 'annotationId': '3693957d-81c8-4265-820f-ed0691f83e79', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787297822, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:48:18.063Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.74,33.43,0.0,427451.05,25.15,32.58,1009.14,2200.0,2201.14,24020116.0,0.0,0.02,22040109.0,1800.0,1799.19,22340093.0,1400.0,1397.65,22450138.0,1600.0,1600.8,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3693957d-81c8-4265-820f-ed0691f83e79,a3251215-890d-4e8b-ac6d-28272dcc35e2,1217.3319091796875,488295.78125,199949.34375,8133.1884765625,7135.869140625,26002.818359375,184543.90625,180021.921875,236371.0,70518.8203125,129373.7265625,18647.484375,277093.6875,5571.4462890625,19441.8125,37230.890625,258034.15625,52692.9921875,192530.125,20289.70703125,6903.2509765625,13243.576171875,27523.4375,45733.31640625,2927217.25,357113.84375,1088862.625,3620441.25,11053087,5587.412109375,73008.9453125,124085064,53843276,21111.4453125,86328.34375,201925.84375,671155.0,4358.33349609375,2907375.75,1135026.25,63180.8203125,491703.75,21334.927734375,825648.1875,702.416748046875,448345.21875,445980.5,239589.078125,959217.5,70085.3203125,77627.3671875,17386.03125,4133.953125,277367.53125,14988.7421875,146351.4375,33022.15234375,404533.09375,1101593.625,58600.1640625,7257.76123046875,122900.59375,13535.908203125,610555.3125,6153,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,201794472,24484,0,37.3981819152832,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 26, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:48:19.464,"{'cid': 'e99f5913-f61c-48d9-9aa4-b91b3448a8a0', 'uuid': '642dd3c0-c765-48b2-8cb1-190642fb237d', 'annotationId': '3693957d-81c8-4265-820f-ed0691f83e79', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787297822, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:48:18.063Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.75,33.43,0.0,427311.83,25.14,32.59,1009.14,2200.0,2202.65,24020116.0,0.0,0.01,22040109.0,1800.0,1799.36,22340093.0,1400.0,1398.51,22450138.0,1600.0,1600.8,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3693957d-81c8-4265-820f-ed0691f83e79,a3251215-890d-4e8b-ac6d-28272dcc35e2,1217.8629150390625,488130.9375,199941.796875,8132.86767578125,7135.47607421875,26004.7265625,184537.328125,180043.265625,236192.625,70443.6796875,129379.53125,18646.712890625,277053.0,5569.8525390625,19443.107421875,37239.78125,258262.34375,52683.7578125,192836.90625,20293.765625,6903.19677734375,13249.6884765625,27520.5859375,45731.0625,2929922.75,357026.9375,1092099.875,3622357.75,11063023,5588.11767578125,72338.8984375,124770272,53915196,21114.93359375,86323.25,201880.78125,670999.5,4357.56787109375,2913395.5,1135265.75,63177.37890625,491345.9375,21334.685546875,826298.8125,702.6994018554688,448073.4375,446285.09375,239615.4375,958777.625,70037.21875,77604.3671875,17381.47265625,4134.92333984375,277498.28125,14944.2685546875,146527.34375,33017.82421875,404490.84375,1100809.25,58592.3359375,7257.728515625,123029.3515625,13541.228515625,611299.5,6454,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,201794472,24484,0,37.3981819152832,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 26, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:48:19.769,"{'cid': 'e99f5913-f61c-48d9-9aa4-b91b3448a8a0', 'uuid': '642dd3c0-c765-48b2-8cb1-190642fb237d', 'annotationId': '3693957d-81c8-4265-820f-ed0691f83e79', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787297822, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:48:18.063Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.75,33.43,0.0,427170.76,25.14,32.59,1009.14,2200.0,2204.03,24020116.0,0.0,0.0,22040109.0,1800.0,1799.53,22340093.0,1400.0,1399.36,22450138.0,1600.0,1600.78,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3693957d-81c8-4265-820f-ed0691f83e79,a3251215-890d-4e8b-ac6d-28272dcc35e2,1219.47509765625,488267.28125,200000.859375,8133.04736328125,7135.64453125,26006.203125,184554.796875,180092.78125,236686.46875,70435.8203125,129392.765625,18647.31640625,276572.21875,5594.91455078125,19444.64453125,37237.33984375,258109.140625,52683.125,192674.21875,20282.3515625,6902.923828125,13230.8994140625,27519.8671875,45733.96875,2932615.5,356492.71875,1094325.125,3623690.0,11074014,5587.99755859375,73215.9609375,125579264,53898268,21113.1484375,86327.109375,201907.875,670790.0625,4359.46533203125,2911840.75,1134828.625,63183.05078125,491306.15625,21335.474609375,826890.6875,702.5433959960938,448316.4375,445789.34375,239659.171875,958507.25,70085.578125,77608.609375,17384.72265625,4136.1220703125,277342.96875,14975.73828125,146087.3125,33016.18359375,404362.40625,1100132.625,58587.234375,7258.0439453125,123097.5546875,13543.1318359375,610600.5,6755,34.05128479003906,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,201794472,24484,0,37.3981819152832,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 26, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:48:20.066,"{'cid': 'e99f5913-f61c-48d9-9aa4-b91b3448a8a0', 'uuid': '642dd3c0-c765-48b2-8cb1-190642fb237d', 'annotationId': '3693957d-81c8-4265-820f-ed0691f83e79', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787297822, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:48:18.063Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.74,33.42,0.0,427386.23,25.14,32.59,1009.11,2200.0,2203.26,24020116.0,0.0,0.0,22040109.0,1800.0,1799.91,22340093.0,1400.0,1399.43,22450138.0,1600.0,1600.21,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3693957d-81c8-4265-820f-ed0691f83e79,a3251215-890d-4e8b-ac6d-28272dcc35e2,1218.258544921875,488672.875,200025.625,8132.67333984375,7135.0576171875,26004.341796875,184684.59375,180081.296875,236524.203125,70482.40625,129387.78125,18645.56640625,276708.375,5547.69970703125,19444.552734375,37237.4453125,257968.46875,52680.50390625,192781.28125,20292.90625,6903.3310546875,13250.4306640625,27519.669921875,45735.77734375,2935647.25,356760.90625,1094384.625,3624903.75,11079389,5587.3408203125,72806.4921875,126300904,53786028,21115.109375,86316.2421875,201784.875,670638.0,4357.52978515625,2916088.0,1138005.75,63194.984375,491714.65625,21334.31640625,827869.375,703.018798828125,448617.21875,445828.09375,239710.59375,958223.625,70027.71875,77633.6640625,17387.6640625,4139.38916015625,277306.5,14942.373046875,147124.953125,33018.55078125,404404.40625,1099688.25,58598.62109375,7257.41015625,123100.4140625,13541.826171875,610811.1875,7056,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,201794472,24484,0,37.3981819152832,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 26, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:48:20.366,"{'cid': 'e99f5913-f61c-48d9-9aa4-b91b3448a8a0', 'uuid': '642dd3c0-c765-48b2-8cb1-190642fb237d', 'annotationId': '3693957d-81c8-4265-820f-ed0691f83e79', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787297822, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:48:18.063Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.74,33.41,0.0,427873.81,25.15,32.59,1009.05,2200.0,2202.47,24020116.0,0.0,0.01,22040109.0,1800.0,1800.29,22340093.0,1400.0,1399.5,22450138.0,1600.0,1599.64,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3693957d-81c8-4265-820f-ed0691f83e79,a3251215-890d-4e8b-ac6d-28272dcc35e2,1219.7965087890625,488592.0,200034.1875,8133.08642578125,7135.6201171875,26006.251953125,184662.25,180081.546875,236326.734375,70485.0625,129383.9296875,18645.513671875,277216.1875,5537.865234375,19443.9140625,37242.515625,258062.078125,52688.74609375,192536.921875,20281.94140625,6903.1328125,13231.08203125,27516.669921875,45730.63671875,2938937.5,354949.34375,1092543.75,3624897.0,11083735,5587.08154296875,71695.640625,126705120,53581060,21113.626953125,86306.84375,201830.125,670530.6875,4357.1630859375,2914213.75,1136365.375,63207.21484375,491841.125,21334.68359375,829290.75,703.7972412109375,448577.15625,445659.25,239708.59375,958436.9375,70005.9375,77646.578125,17386.841796875,4135.94775390625,277406.5,14936.125,146610.265625,33017.71875,404401.25,1099298.875,58599.47265625,7257.73046875,123157.671875,13532.4912109375,610757.125,7357,33.80952835083008,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,201794472,24484,0,37.3981819152832,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 26, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:48:20.668,"{'cid': 'e99f5913-f61c-48d9-9aa4-b91b3448a8a0', 'uuid': '642dd3c0-c765-48b2-8cb1-190642fb237d', 'annotationId': '3693957d-81c8-4265-820f-ed0691f83e79', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787297822, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:48:18.063Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.74,33.41,0.0,428364.65,25.16,32.59,1008.99,2200.0,2201.68,24020116.0,0.0,0.01,22040109.0,1800.0,1800.67,22340093.0,1400.0,1399.58,22450138.0,1600.0,1599.07,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3693957d-81c8-4265-820f-ed0691f83e79,a3251215-890d-4e8b-ac6d-28272dcc35e2,1218.5096435546875,488691.1875,200039.484375,8133.595703125,7135.1259765625,26006.6484375,184582.90625,180116.328125,236185.171875,70512.171875,129392.328125,18646.658203125,276763.40625,5572.08203125,19443.462890625,37235.2734375,258064.390625,52678.24609375,193026.109375,20292.697265625,6903.2216796875,13249.4072265625,27516.43359375,45723.36328125,2940631.25,355999.71875,1091229.25,3624749.0,11093183,5587.64111328125,71806.421875,127232816,53322760,21120.9609375,86308.8515625,201812.203125,670482.5625,4357.3232421875,2912423.25,1135853.125,63207.171875,492088.46875,21335.71875,829335.25,703.8098754882812,448529.46875,446309.46875,239732.171875,959227.375,70016.15625,77649.4609375,17384.310546875,4133.50830078125,277539.28125,14910.7109375,146573.09375,33020.21484375,404415.03125,1099181.375,58603.4375,7257.85595703125,123101.0234375,13539.2734375,610259.6875,7658,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,201794472,24484,0,37.3981819152832,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 26, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:48:20.970,"{'cid': 'e99f5913-f61c-48d9-9aa4-b91b3448a8a0', 'uuid': '642dd3c0-c765-48b2-8cb1-190642fb237d', 'annotationId': '3693957d-81c8-4265-820f-ed0691f83e79', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787297822, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:48:18.063Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.74,33.41,0.0,428855.48,25.17,32.59,1008.94,2200.0,2201.44,24020116.0,0.0,0.01,22040109.0,1800.0,1800.9,22340093.0,1400.0,1399.58,22450138.0,1600.0,1598.9,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3693957d-81c8-4265-820f-ed0691f83e79,a3251215-890d-4e8b-ac6d-28272dcc35e2,1219.30859375,488593.0,200036.3125,8133.37646484375,7135.56982421875,26007.634765625,184603.953125,180094.09375,236010.1875,70510.8984375,129359.2109375,18645.91796875,277141.0,5541.1923828125,19444.48046875,37238.41796875,258046.65625,52656.11328125,193373.375,20282.978515625,6903.34521484375,13249.7314453125,27515.193359375,45732.45703125,2938791.5,355498.25,1091676.75,3624121.0,11094278,5586.7802734375,72167.890625,127169440,53051844,21118.84765625,86323.3515625,201820.609375,670461.75,4357.484375,2910083.0,1134024.875,63204.3359375,491825.15625,21336.208984375,828848.1875,702.6459350585938,448753.5,446309.625,239741.109375,960012.625,70047.1171875,77653.6484375,17390.150390625,4132.4150390625,277380.25,14915.4375,147643.765625,33021.2734375,404566.28125,1099349.875,58605.3671875,7258.185546875,123119.4765625,13547.21875,611323.0625,7959,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,201794472,24484,0,37.3981819152832,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 26, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:48:21.273,"{'cid': 'e99f5913-f61c-48d9-9aa4-b91b3448a8a0', 'uuid': '642dd3c0-c765-48b2-8cb1-190642fb237d', 'annotationId': '3693957d-81c8-4265-820f-ed0691f83e79', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787297822, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:48:18.063Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.75,33.42,0.0,428888.25,25.17,32.59,1008.93,2200.0,2201.44,24020116.0,0.0,0.01,22040109.0,1800.0,1801.04,22340093.0,1400.0,1399.56,22450138.0,1600.0,1598.94,21470060.0
