component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_453024,FLW0_453024,ANLT0_453024,T0_183225,H0_183225
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,eaf800c8-3989-4e78-a294-9e5d0e382862,a3251215-890d-4e8b-ac6d-28272dcc35e2,1239.890380859375,489558.9375,199954.171875,8131.92236328125,7131.9326171875,25998.177734375,184435.609375,179908.03125,235746.6875,70218.84375,129093.5078125,18636.69921875,278647.90625,5680.4970703125,19406.9296875,37228.66015625,257394.125,52591.27734375,193713.96875,20227.513671875,6901.18505859375,13214.576171875,27408.82421875,45706.11328125,2935972.75,351175.84375,1127522.375,3617053.0,11212298,5584.81103515625,68414.796875,129022408,53141920,21106.234375,86192.5390625,202404.40625,671005.4375,4357.6982421875,2809704.75,1139458.0,63142.62890625,492741.25,21311.453125,828130.125,700.4296264648438,446284.90625,444850.6875,239534.1875,955876.875,70055.125,77551.09375,17365.509765625,4146.68310546875,277040.5625,15032.6572265625,143990.34375,32915.79296875,405022.46875,1100226.25,58583.66015625,7258.06591796875,122849.453125,13563.3720703125,605959.625,5989,34.05128479003906,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200444940,24484,0,37.99004364013672,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:25:49.275,"{'cid': '2c68052b-3b34-4401-836f-efef26908f80', 'uuid': '4867d95f-2d71-47d1-8b5b-ae6d00c33b89', 'annotationId': 'eaf800c8-3989-4e78-a294-9e5d0e382862', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785948827, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:25:49.049Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,435344.07,24.59,32.65,1009.41,1400.0,1396.64,22450138.0,0.0,0.04,22040109.0,2200.0,2201.04,24020116.0,1600.0,1597.12,21470060.0,1800.0,1800.0,22340093.0,29.88,33.23
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,eaf800c8-3989-4e78-a294-9e5d0e382862,a3251215-890d-4e8b-ac6d-28272dcc35e2,1239.2197265625,489451.78125,199953.046875,8131.60498046875,7132.13037109375,25996.83984375,184352.15625,179908.40625,235652.703125,70238.2109375,129081.109375,18635.19140625,277206.71875,5665.8232421875,19408.251953125,37220.546875,257416.03125,52595.0234375,193401.390625,20236.212890625,6901.4072265625,13210.2021484375,27406.275390625,45706.484375,2932291.75,352356.78125,1128612.625,3616114.5,11208565,5586.0556640625,68341.1796875,128739784,52881016,21102.595703125,86205.1328125,202407.734375,670983.1875,4358.8212890625,2811407.5,1139109.625,63139.921875,492645.59375,21310.333984375,828985.125,700.9401245117188,446107.6875,445079.8125,239529.203125,956961.875,70078.7265625,77570.40625,17364.779296875,4151.6123046875,277162.90625,15004.5625,144555.265625,32914.1875,404875.9375,1100976.25,58581.3828125,7258.392578125,122745.0390625,13570.4345703125,605727.875,6290,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200444940,24484,0,37.99004364013672,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:25:49.574,"{'cid': '2c68052b-3b34-4401-836f-efef26908f80', 'uuid': '4867d95f-2d71-47d1-8b5b-ae6d00c33b89', 'annotationId': 'eaf800c8-3989-4e78-a294-9e5d0e382862', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785948827, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:25:49.049Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,435487.7,24.59,32.65,1009.4,1400.0,1396.64,22450138.0,0.0,0.04,22040109.0,2200.0,2201.04,24020116.0,1600.0,1597.12,21470060.0,1800.0,1800.0,22340093.0,29.88,33.23
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,eaf800c8-3989-4e78-a294-9e5d0e382862,a3251215-890d-4e8b-ac6d-28272dcc35e2,1239.5771484375,489320.90625,199907.59375,8131.72216796875,7132.12890625,25997.861328125,184354.765625,179914.59375,235588.890625,70218.828125,129071.296875,18635.234375,277991.8125,5663.947265625,19404.90234375,37220.91796875,257280.0625,52581.21484375,193505.296875,20231.283203125,6900.85107421875,13208.4814453125,27407.240234375,45700.9609375,2928583.5,350281.0,1130626.625,3614989.25,11198231,5584.6337890625,67694.6640625,128087760,52687052,21102.908203125,86204.96875,202453.734375,671048.5625,4358.6845703125,2813731.5,1137845.25,63144.9296875,493208.75,21308.580078125,827584.6875,700.9419555664062,446157.5625,445011.09375,239497.359375,958006.6875,70071.8046875,77598.34375,17360.830078125,4151.77685546875,277426.09375,15008.9208984375,145253.84375,32917.3984375,404896.125,1101777.875,58587.390625,7258.90625,122817.6328125,13569.7412109375,606046.25,6591,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200444940,24484,0,37.99004364013672,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:25:49.875,"{'cid': '2c68052b-3b34-4401-836f-efef26908f80', 'uuid': '4867d95f-2d71-47d1-8b5b-ae6d00c33b89', 'annotationId': 'eaf800c8-3989-4e78-a294-9e5d0e382862', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785948827, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:25:49.049Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,435632.29,24.58,32.65,1009.39,1400.0,1397.0,22450138.0,0.0,0.04,22040109.0,2200.0,2200.79,24020116.0,1600.0,1597.26,21470060.0,1800.0,1799.92,22340093.0,29.88,33.23
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,eaf800c8-3989-4e78-a294-9e5d0e382862,a3251215-890d-4e8b-ac6d-28272dcc35e2,1239.364013671875,488885.25,199884.375,8132.0830078125,7131.89111328125,25996.22265625,184303.09375,179884.765625,235411.828125,70252.21875,129074.2421875,18636.28515625,277735.375,5665.98291015625,19405.28515625,37216.27734375,257124.09375,52572.81640625,194098.078125,20238.857421875,6901.353515625,13207.7109375,27408.138671875,45705.9609375,2926185.5,350605.84375,1130953.25,3613898.5,11184909,5585.63037109375,68178.4609375,127159176,52580144,21103.09375,86204.1875,202462.453125,671099.8125,4359.650390625,2815002.75,1136227.375,63144.42578125,492981.78125,21308.48828125,829179.25,701.9512329101562,445959.125,444532.90625,239531.390625,958641.75,70054.40625,77584.96875,17359.8828125,4142.42333984375,277539.375,15007.69140625,144776.65625,32915.2421875,404934.5625,1102393.75,58584.5546875,7258.60693359375,122868.34375,13568.0947265625,604854.875,6892,33.890113830566406,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200444940,24484,0,37.99004364013672,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:25:50.176,"{'cid': '2c68052b-3b34-4401-836f-efef26908f80', 'uuid': '4867d95f-2d71-47d1-8b5b-ae6d00c33b89', 'annotationId': 'eaf800c8-3989-4e78-a294-9e5d0e382862', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785948827, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:25:49.049Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,435776.88,24.58,32.65,1009.38,1400.0,1397.86,22450138.0,0.0,0.04,22040109.0,2200.0,2200.17,24020116.0,1600.0,1597.62,21470060.0,1800.0,1799.7,22340093.0,29.88,33.22
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,eaf800c8-3989-4e78-a294-9e5d0e382862,a3251215-890d-4e8b-ac6d-28272dcc35e2,1239.8341064453125,489378.96875,199857.09375,8131.7275390625,7131.166015625,25995.251953125,184297.828125,179848.25,235385.609375,70235.4609375,129045.4609375,18635.509765625,278749.34375,5663.80078125,19402.642578125,37219.20703125,257431.171875,52574.08203125,193215.15625,20245.478515625,6900.865234375,13189.1357421875,27407.669921875,45705.96875,2924584.5,350777.78125,1127683.0,3611786.25,11171755,5586.06884765625,68291.1015625,126284152,52573700,21107.78515625,86222.046875,202484.890625,671284.3125,4358.494140625,2817991.5,1135390.625,63143.4375,492907.65625,21309.40234375,829137.5,701.01416015625,446247.53125,444121.46875,239475.25,958956.25,70047.453125,77605.6484375,17365.01171875,4149.5205078125,277679.71875,15002.5927734375,145760.921875,32914.60546875,405089.75,1103092.25,58590.59765625,7258.58349609375,122921.875,13564.9013671875,605216.0,7193,33.890113830566406,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200444940,24484,0,37.99004364013672,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:25:50.477,"{'cid': '2c68052b-3b34-4401-836f-efef26908f80', 'uuid': '4867d95f-2d71-47d1-8b5b-ae6d00c33b89', 'annotationId': 'eaf800c8-3989-4e78-a294-9e5d0e382862', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785948827, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:25:49.049Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,435461.12,24.58,32.65,1009.38,1400.0,1398.72,22450138.0,0.0,0.03,22040109.0,2200.0,2199.55,24020116.0,1600.0,1597.98,21470060.0,1800.0,1799.49,22340093.0,29.89,33.21
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,eaf800c8-3989-4e78-a294-9e5d0e382862,a3251215-890d-4e8b-ac6d-28272dcc35e2,1239.46533203125,489388.5,199847.65625,8131.7509765625,7131.099609375,25993.296875,184255.15625,179839.28125,235571.671875,70315.109375,129037.09375,18635.146484375,276871.96875,5697.88671875,19404.47265625,37220.77734375,257099.125,52582.85546875,192693.828125,20245.578125,6901.65869140625,13182.513671875,27408.27734375,45708.13671875,2922642.75,351317.65625,1125708.875,3609802.5,11159378,5584.7041015625,68927.578125,125423888,52673332,21104.89453125,86235.7890625,202484.578125,671406.0,4358.341796875,2815737.75,1136794.875,63136.62109375,492326.75,21309.310546875,828547.625,700.8659057617188,446224.6875,444384.09375,239420.21875,959222.75,70028.4921875,77625.578125,17367.490234375,4145.06591796875,277418.9375,15034.4248046875,145760.03125,32919.29296875,404968.21875,1103795.375,58592.05078125,7258.20947265625,123055.0546875,13560.83984375,605756.3125,7494,34.131874084472656,35.824180603027344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200444940,24484,0,37.99004364013672,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:25:50.782,"{'cid': '2c68052b-3b34-4401-836f-efef26908f80', 'uuid': '4867d95f-2d71-47d1-8b5b-ae6d00c33b89', 'annotationId': 'eaf800c8-3989-4e78-a294-9e5d0e382862', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785948827, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:25:49.049Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,434805.3,24.57,32.65,1009.38,1400.0,1399.54,22450138.0,0.0,0.03,22040109.0,2200.0,2198.99,24020116.0,1600.0,1598.34,21470060.0,1800.0,1799.29,22340093.0,29.9,33.2
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,eaf800c8-3989-4e78-a294-9e5d0e382862,a3251215-890d-4e8b-ac6d-28272dcc35e2,1239.943603515625,488948.53125,199844.890625,8131.84521484375,7131.52685546875,25992.259765625,184301.84375,179830.9375,236086.578125,70285.515625,129062.6875,18635.9375,278597.84375,5662.22509765625,19401.826171875,37215.29296875,256788.9375,52573.703125,192300.828125,20252.037109375,6901.423828125,13210.869140625,27409.3125,45711.4609375,2921522.0,351528.375,1127443.5,3607699.25,11150012,5583.78466796875,69140.734375,124792912,52863864,21105.205078125,86215.46875,202457.140625,671524.375,4358.79443359375,2815638.75,1137394.375,63128.625,492204.625,21310.0,826623.3125,700.97802734375,446353.8125,444175.25,239408.75,958459.9375,70029.9921875,77592.6171875,17367.88671875,4147.50048828125,277507.03125,15058.009765625,145659.046875,32917.04296875,404829.46875,1103903.25,58591.765625,7258.80810546875,122983.875,13561.9501953125,606866.625,7795,33.80952835083008,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200444940,24484,0,37.99004364013672,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:25:51.079,"{'cid': '2c68052b-3b34-4401-836f-efef26908f80', 'uuid': '4867d95f-2d71-47d1-8b5b-ae6d00c33b89', 'annotationId': 'eaf800c8-3989-4e78-a294-9e5d0e382862', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785948827, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:25:49.049Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,434166.68,24.56,32.66,1009.39,1400.0,1399.83,22450138.0,0.0,0.03,22040109.0,2200.0,2199.46,24020116.0,1600.0,1598.73,21470060.0,1800.0,1799.53,22340093.0,29.9,33.19
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,eaf800c8-3989-4e78-a294-9e5d0e382862,a3251215-890d-4e8b-ac6d-28272dcc35e2,1239.7330322265625,489289.25,199835.875,8131.994140625,7131.853515625,25991.224609375,184272.203125,179823.46875,236070.84375,70286.125,129073.9453125,18635.37109375,278532.0625,5655.35595703125,19403.03515625,37223.59375,257285.96875,52586.0078125,192741.515625,20242.5078125,6901.6142578125,13207.666015625,27408.82421875,45717.1875,2921567.25,352040.46875,1127541.25,3607092.75,11143636,5583.9248046875,68910.1875,124368680,53116616,21102.48828125,86211.578125,202445.4375,671537.6875,4358.7666015625,2816262.75,1133742.875,63122.46484375,491903.84375,21311.533203125,825753.625,700.85986328125,446110.59375,444505.4375,239369.515625,957954.0625,70009.1875,77580.15625,17367.7734375,4145.22265625,276529.0,15024.6806640625,145567.9375,32917.296875,404866.46875,1103907.5,58580.40625,7258.654296875,122938.6171875,13566.478515625,606567.375,8096,34.05128479003906,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200444940,24484,0,37.99004364013672,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:25:51.380,"{'cid': '2c68052b-3b34-4401-836f-efef26908f80', 'uuid': '4867d95f-2d71-47d1-8b5b-ae6d00c33b89', 'annotationId': 'eaf800c8-3989-4e78-a294-9e5d0e382862', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785948827, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:25:49.049Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,433519.46,24.55,32.66,1009.39,1400.0,1400.11,22450138.0,0.0,0.03,22040109.0,2200.0,2199.93,24020116.0,1600.0,1599.12,21470060.0,1800.0,1799.76,22340093.0,29.89,33.2
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,eaf800c8-3989-4e78-a294-9e5d0e382862,a3251215-890d-4e8b-ac6d-28272dcc35e2,1238.8299560546875,489015.46875,199834.25,8132.029296875,7130.70166015625,25991.9140625,184259.015625,179825.96875,235857.828125,70267.8671875,129098.09375,18637.310546875,278348.28125,5680.86572265625,19404.390625,37219.390625,257447.390625,52590.29296875,191916.75,20247.517578125,6901.48291015625,13208.560546875,27410.46484375,45715.71484375,2923664.25,352319.71875,1130287.375,3609665.25,11148750,5584.45556640625,68824.875,124610432,53406504,21102.6328125,86203.28125,202485.109375,671583.1875,4357.97314453125,2815165.25,1132589.0,63122.796875,491692.15625,21310.009765625,825947.5,700.948486328125,445708.5625,443692.8125,239373.25,956499.875,70010.5390625,77581.3046875,17368.681640625,4152.12939453125,276142.25,15013.4365234375,145166.90625,32907.30078125,404751.875,1102643.375,58583.515625,7258.1875,122726.5703125,13564.447265625,606092.3125,8398,34.131874084472656,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200444940,24484,0,37.99004364013672,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:25:51.682,"{'cid': '2c68052b-3b34-4401-836f-efef26908f80', 'uuid': '4867d95f-2d71-47d1-8b5b-ae6d00c33b89', 'annotationId': 'eaf800c8-3989-4e78-a294-9e5d0e382862', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785948827, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:25:49.049Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,433559.28,24.56,32.66,1009.35,1400.0,1400.4,22450138.0,0.0,0.03,22040109.0,2200.0,2200.41,24020116.0,1600.0,1599.52,21470060.0,1800.0,1800.0,22340093.0,29.88,33.21
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,eaf800c8-3989-4e78-a294-9e5d0e382862,a3251215-890d-4e8b-ac6d-28272dcc35e2,1239.9349365234375,487860.875,199832.015625,8131.63623046875,7131.89013671875,25991.091796875,184284.375,179825.796875,235924.625,70263.8203125,129097.9765625,18636.830078125,277973.78125,5655.93896484375,19404.2890625,37219.60546875,257088.421875,52579.77734375,193592.234375,20246.775390625,6901.6103515625,13209.662109375,27411.671875,45718.8125,2926532.75,352447.78125,1128963.875,3612228.0,11155021,5583.20751953125,68832.828125,124894680,53681560,21104.8984375,86186.9375,202477.953125,671651.4375,4357.853515625,2818018.75,1132057.25,63120.703125,491428.03125,21311.859375,826693.625,700.1012573242188,446332.6875,444551.375,239351.53125,955766.5,70008.2578125,77549.609375,17358.41015625,4142.14013671875,275753.8125,15028.4228515625,144477.0,32908.4375,404663.375,1102364.625,58590.76953125,7257.82568359375,122805.046875,13574.70703125,604161.4375,8698,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200444940,24484,0,37.99004364013672,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 17, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:25:51.983,"{'cid': '2c68052b-3b34-4401-836f-efef26908f80', 'uuid': '4867d95f-2d71-47d1-8b5b-ae6d00c33b89', 'annotationId': 'eaf800c8-3989-4e78-a294-9e5d0e382862', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785948827, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:25:49.049Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,433846.52,24.56,32.66,1009.3,1400.0,1400.15,22450138.0,0.0,0.04,22040109.0,2200.0,2200.63,24020116.0,1600.0,1599.91,21470060.0,1800.0,1800.44,22340093.0,29.87,33.22
