component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_094324,FLW0_094324,ANLT0_094324,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_183624,FLW0_183624,ANLT0_183624
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,92a44562-40b4-4890-bcb4-21be933ac6ff,c76af073-c984-44da-8d5b-c8d23de2c7e6,1245.3104248046875,486478.84375,199588.9375,8128.27880859375,7130.0234375,25986.763671875,184058.171875,179474.71875,235364.625,70166.984375,128444.359375,18632.150390625,279392.28125,5770.52490234375,19339.94140625,37185.15625,256614.640625,52403.80078125,185981.921875,20149.615234375,6900.71826171875,13218.2255859375,27157.458984375,45678.78125,2912126.25,367806.71875,1174224.5,3598124.75,11124650,5579.748046875,71190.3828125,124813464,53440356,21086.0234375,86125.8671875,202666.375,672018.6875,4348.4931640625,2745204.5,1126566.0,63079.84765625,491440.875,21272.06640625,828877.125,699.1262817382812,442794.46875,445320.8125,239061.046875,956046.75,70032.8828125,77473.4921875,17338.87109375,4146.69287109375,277200.375,14939.75,145202.9375,32603.126953125,404661.1875,1100806.125,58558.6484375,7257.91357421875,122713.6875,13577.4345703125,609873.3125,5781,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199391388,24484,0,37.99171447753906,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:08:19.224,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '15ebc2c5-9bff-4f2b-a4bf-e3b1a2bcc819', 'annotationId': '92a44562-40b4-4890-bcb4-21be933ac6ff', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768784898644, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:08:18.862Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.81,33.38,1800.0,1798.4,22340093.0,2200.0,2198.0,24020116.0,1340.0,1338.8,22450138.0,1600.0,1597.68,21470060.0,0.0,460535.19,23.34,32.61,1009.69,60.0,59.88,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,92a44562-40b4-4890-bcb4-21be933ac6ff,c76af073-c984-44da-8d5b-c8d23de2c7e6,1245.9473876953125,486169.1875,199567.21875,8128.3173828125,7130.12646484375,25986.123046875,184030.734375,179478.265625,235603.1875,70117.3828125,128437.8515625,18632.091796875,278470.96875,5722.83251953125,19341.103515625,37189.39453125,256912.734375,52414.66796875,186166.625,20145.158203125,6900.9150390625,13214.6708984375,27158.064453125,45680.42578125,2910694.5,366986.3125,1172072.875,3595633.25,11109185,5579.69677734375,71741.1875,123772104,53680896,21085.78125,86124.3125,202638.171875,672172.75,4349.08935546875,2750281.5,1126756.875,63061.203125,491365.53125,21271.482421875,828667.9375,699.47412109375,442727.4375,445021.53125,239018.4375,955505.375,70023.375,77450.7265625,17346.912109375,4147.70751953125,277337.75,14918.208984375,144338.03125,32600.275390625,404766.28125,1101503.375,58557.36328125,7257.55224609375,122653.2734375,13575.048828125,609925.6875,6080,33.890113830566406,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199391388,24484,0,37.99171447753906,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:08:19.525,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '15ebc2c5-9bff-4f2b-a4bf-e3b1a2bcc819', 'annotationId': '92a44562-40b4-4890-bcb4-21be933ac6ff', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768784898644, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:08:18.862Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,33.38,1800.0,1798.4,22340093.0,2200.0,2198.0,24020116.0,1340.0,1338.8,22450138.0,1600.0,1597.68,21470060.0,0.0,460535.19,23.34,32.61,1009.69,60.0,59.88,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,92a44562-40b4-4890-bcb4-21be933ac6ff,c76af073-c984-44da-8d5b-c8d23de2c7e6,1244.8656005859375,486505.46875,199548.125,8127.87939453125,7130.03515625,25984.9140625,184069.4375,179466.203125,235138.421875,70099.9609375,128445.984375,18632.4140625,277287.09375,5770.80078125,19341.98046875,37183.6953125,257325.40625,52408.87890625,187173.265625,20146.873046875,6900.642578125,13216.40625,27159.541015625,45686.21875,2909393.0,366589.5,1172598.75,3594285.75,11098690,5579.498046875,71814.1875,123159888,54005760,21086.05078125,86114.3046875,202670.21875,672269.1875,4347.73193359375,2756841.25,1129455.25,63056.80859375,491171.21875,21266.828125,827486.5,699.959716796875,442454.65625,445393.0,238940.8125,954552.25,70004.9296875,77492.140625,17342.0390625,4139.45654296875,277301.90625,14933.1103515625,143737.328125,32599.458984375,404490.71875,1101827.75,58563.11328125,7256.861328125,122675.8984375,13572.9892578125,609731.5625,6381,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199391388,24484,0,37.99171447753906,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:08:19.823,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '15ebc2c5-9bff-4f2b-a4bf-e3b1a2bcc819', 'annotationId': '92a44562-40b4-4890-bcb4-21be933ac6ff', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768784898644, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:08:18.862Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.83,33.38,1800.0,1798.92,22340093.0,2200.0,2198.95,24020116.0,1340.0,1339.35,22450138.0,1600.0,1597.86,21470060.0,0.0,460535.19,23.34,32.61,1009.69,60.0,59.88,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,92a44562-40b4-4890-bcb4-21be933ac6ff,c76af073-c984-44da-8d5b-c8d23de2c7e6,1244.7598876953125,486476.3125,199596.78125,8128.12548828125,7130.09814453125,25984.94921875,184115.71875,179456.984375,235267.3125,70145.9375,128439.3203125,18632.013671875,278512.96875,5743.91064453125,19341.10546875,37185.48828125,257426.28125,52419.65625,187187.75,20145.310546875,6900.66650390625,13221.1259765625,27161.6875,45682.515625,2911583.75,366994.25,1177262.75,3595115.75,11095588,5579.80322265625,71342.5546875,122948968,54388992,21084.546875,86127.0546875,202650.828125,672352.375,4347.4912109375,2758297.0,1129625.625,63055.4609375,491429.09375,21266.47265625,827137.3125,699.4099731445312,442586.4375,445264.15625,238942.40625,953094.0625,69965.8984375,77501.9765625,17347.337890625,4150.06201171875,275640.09375,14963.7021484375,143920.234375,32594.34765625,404671.5625,1101501.0,58551.94140625,7257.6923828125,122669.0859375,13578.2314453125,607263.75,6682,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199391388,24484,0,37.99171447753906,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:08:20.124,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '15ebc2c5-9bff-4f2b-a4bf-e3b1a2bcc819', 'annotationId': '92a44562-40b4-4890-bcb4-21be933ac6ff', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768784898644, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:08:18.862Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.84,33.38,1800.0,1799.51,22340093.0,2200.0,2200.04,24020116.0,1340.0,1340.0,22450138.0,1600.0,1598.08,21470060.0,0.0,460535.19,23.33,32.61,1009.69,60.0,59.88,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,92a44562-40b4-4890-bcb4-21be933ac6ff,c76af073-c984-44da-8d5b-c8d23de2c7e6,1245.5821533203125,486223.84375,199649.796875,8128.15478515625,7129.85986328125,25988.134765625,184094.390625,179469.515625,235183.234375,70030.640625,128447.421875,18631.814453125,278563.53125,5727.75732421875,19339.6484375,37189.84375,257272.75,52428.234375,187081.390625,20143.2890625,6900.77294921875,13201.90625,27162.322265625,45691.296875,2914855.0,366761.9375,1178135.625,3598308.75,11100826,5578.94873046875,71900.265625,123432000,54744164,21079.748046875,86095.6875,202662.390625,672430.3125,4348.7138671875,2764215.75,1128939.25,63053.37109375,491388.6875,21267.92578125,827279.0625,699.9512939453125,442598.34375,444838.34375,238914.78125,951613.1875,69995.1953125,77455.0703125,17338.615234375,4143.60888671875,276669.75,14941.599609375,143714.4375,32593.052734375,404446.6875,1100773.0,58549.12890625,7257.779296875,122676.671875,13564.837890625,607520.875,6983,34.131874084472656,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199396405,24484,0,36.65728759765625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:08:20.427,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '15ebc2c5-9bff-4f2b-a4bf-e3b1a2bcc819', 'annotationId': '92a44562-40b4-4890-bcb4-21be933ac6ff', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768784898644, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:08:18.862Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.84,33.38,1800.0,1800.11,22340093.0,2200.0,2201.15,24020116.0,1340.0,1340.64,22450138.0,1600.0,1598.29,21470060.0,0.0,460535.19,23.33,32.61,1009.69,60.0,59.88,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,92a44562-40b4-4890-bcb4-21be933ac6ff,c76af073-c984-44da-8d5b-c8d23de2c7e6,1244.991455078125,486887.0625,199632.078125,8128.2490234375,7130.1611328125,25989.869140625,184132.25,179480.375,235473.875,70062.7734375,128464.8671875,18631.490234375,278568.875,5757.00634765625,19339.419921875,37192.796875,257546.875,52427.8984375,186443.15625,20134.775390625,6900.49072265625,13228.91796875,27159.591796875,45701.390625,2918520.0,361830.875,1177718.0,3601276.5,11112897,5580.9677734375,72333.09375,124135392,55020172,21086.0625,86089.8046875,202630.140625,672408.3125,4348.7236328125,2766578.75,1128497.25,63053.4765625,491907.6875,21268.37109375,826987.4375,699.9487915039062,442383.71875,445240.125,238955.109375,950746.625,69974.1640625,77453.390625,17341.95703125,4147.27197265625,276788.625,14959.0126953125,144190.796875,32584.63671875,404042.09375,1099631.25,58545.2265625,7257.4208984375,122685.859375,13574.4072265625,608426.125,7284,33.970699310302734,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199396405,24484,0,36.65728759765625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:08:20.727,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '15ebc2c5-9bff-4f2b-a4bf-e3b1a2bcc819', 'annotationId': '92a44562-40b4-4890-bcb4-21be933ac6ff', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768784898644, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:08:18.862Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.83,33.37,1800.0,1800.18,22340093.0,2200.0,2201.44,24020116.0,1340.0,1340.76,22450138.0,1600.0,1598.52,21470060.0,0.0,460535.19,23.32,32.61,1009.69,60.0,59.88,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,92a44562-40b4-4890-bcb4-21be933ac6ff,c76af073-c984-44da-8d5b-c8d23de2c7e6,1245.1510009765625,487411.0625,199648.515625,8128.32421875,7129.65087890625,25991.94140625,184126.765625,179473.75,235279.328125,70059.2421875,128489.7109375,18632.3515625,277986.96875,5745.1396484375,19340.193359375,37201.15234375,257357.484375,52425.96875,185402.203125,20137.744140625,6900.3837890625,13217.8828125,27158.025390625,45699.90234375,2922565.25,361298.5625,1181938.25,3603375.75,11132127,5580.9189453125,71334.796875,125373096,55207672,21083.375,86101.640625,202601.171875,672177.625,4348.19482421875,2769071.5,1127093.0,63058.05859375,491792.96875,21269.658203125,827045.4375,699.8505249023438,442529.15625,445769.03125,238996.890625,950033.5625,69962.265625,77458.1796875,17338.05859375,4148.4169921875,277210.90625,14980.845703125,143186.21875,32575.171875,403828.4375,1098432.375,58547.19921875,7257.59228515625,122725.9375,13578.009765625,608692.4375,7585,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199396405,24484,0,36.65728759765625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:08:21.034,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '15ebc2c5-9bff-4f2b-a4bf-e3b1a2bcc819', 'annotationId': '92a44562-40b4-4890-bcb4-21be933ac6ff', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768784898644, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:08:18.862Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,33.36,1800.0,1799.74,22340093.0,2200.0,2200.97,24020116.0,1340.0,1340.36,22450138.0,1600.0,1598.76,21470060.0,0.0,460676.92,23.32,32.61,1009.64,60.0,59.88,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,92a44562-40b4-4890-bcb4-21be933ac6ff,c76af073-c984-44da-8d5b-c8d23de2c7e6,1244.8245849609375,487353.5625,199700.921875,8128.23876953125,7129.458984375,25993.326171875,184089.875,179482.8125,235253.0,70055.140625,128491.6484375,18632.9375,279173.03125,5725.01025390625,19338.998046875,37200.65234375,256995.265625,52414.828125,186999.046875,20141.296875,6900.875,13224.0302734375,27158.779296875,45695.703125,2926776.0,360487.5625,1179257.125,3605386.25,11151410,5579.931640625,72567.5546875,126665784,55246172,21079.83203125,86099.21875,202582.90625,671798.375,4349.10693359375,2770583.0,1124779.0,63062.11328125,491929.34375,21265.90234375,827438.0625,700.0142822265625,442901.9375,445465.0,239042.375,949511.8125,69942.359375,77438.3984375,17341.923828125,4146.8642578125,277334.1875,14964.87109375,144236.078125,32574.552734375,404133.90625,1097749.75,58545.703125,7258.37646484375,122630.5390625,13576.9853515625,608106.875,7886,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199396405,24484,0,36.65728759765625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:08:21.328,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '15ebc2c5-9bff-4f2b-a4bf-e3b1a2bcc819', 'annotationId': '92a44562-40b4-4890-bcb4-21be933ac6ff', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768784898644, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:08:18.862Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,33.35,1800.0,1799.32,22340093.0,2200.0,2200.51,24020116.0,1340.0,1339.97,22450138.0,1600.0,1598.99,21470060.0,0.0,460834.76,23.31,32.61,1009.59,60.0,59.88,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,92a44562-40b4-4890-bcb4-21be933ac6ff,c76af073-c984-44da-8d5b-c8d23de2c7e6,1244.7781982421875,487454.59375,199759.8125,8128.39697265625,7129.8505859375,25993.39453125,184170.96875,179549.453125,235610.015625,70172.4921875,128490.0078125,18631.591796875,279330.84375,5757.3994140625,19339.36328125,37199.40625,256935.875,52407.74609375,186431.28125,20137.9140625,6900.57763671875,13233.048828125,27156.921875,45693.13671875,2930815.75,360234.5625,1180031.375,3607056.75,11168276,5579.40087890625,70759.7734375,127859192,55134004,21082.15625,86100.9921875,202567.90625,671522.75,4348.365234375,2765350.25,1124418.375,63076.42578125,492246.0,21268.80859375,827448.4375,700.7494506835938,443105.96875,445653.4375,239068.703125,949410.5,69974.71875,77447.515625,17346.8515625,4140.63916015625,277355.71875,14920.232421875,144099.53125,32577.451171875,403948.21875,1097084.125,58537.40625,7258.35498046875,122588.625,13576.9951171875,608016.4375,8187,33.890113830566406,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199396405,24484,0,36.65728759765625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:08:21.630,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '15ebc2c5-9bff-4f2b-a4bf-e3b1a2bcc819', 'annotationId': '92a44562-40b4-4890-bcb4-21be933ac6ff', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768784898644, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:08:18.862Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,33.36,1800.0,1799.03,22340093.0,2200.0,2200.04,24020116.0,1340.0,1339.58,22450138.0,1600.0,1599.3,21470060.0,0.0,460996.89,23.31,32.61,1009.54,60.0,59.88,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,92a44562-40b4-4890-bcb4-21be933ac6ff,c76af073-c984-44da-8d5b-c8d23de2c7e6,1245.5443115234375,487168.46875,199754.078125,8128.4912109375,7129.58056640625,25995.755859375,184212.453125,179606.21875,235320.328125,70206.859375,128489.3125,18632.580078125,279097.25,5764.64306640625,19340.76953125,37200.8515625,256760.671875,52414.28515625,185781.53125,20131.544921875,6900.1748046875,13220.5478515625,27152.3984375,45688.16015625,2934413.5,360348.53125,1182598.0,3608487.25,11184013,5578.94384765625,70580.046875,128951000,54889184,21076.009765625,86093.65625,202541.5625,671410.6875,4349.19921875,2763523.5,1125807.375,63082.4921875,491967.1875,21269.3671875,827502.125,700.6163330078125,442814.40625,446189.9375,239102.796875,950298.4375,69982.53125,77441.5625,17334.197265625,4157.9931640625,277267.75,14911.3408203125,143790.90625,32577.83984375,403945.0625,1096721.375,58538.328125,7257.86376953125,122406.5390625,13569.6748046875,608005.9375,8488,33.890113830566406,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,199396405,24484,0,36.65728759765625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:08:21.935,"{'cid': 'edf488d7-7358-4b2a-9505-5d825b564abd', 'uuid': '15ebc2c5-9bff-4f2b-a4bf-e3b1a2bcc819', 'annotationId': '92a44562-40b4-4890-bcb4-21be933ac6ff', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768784898644, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:08:18.862Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,33.37,1800.0,1799.49,22340093.0,2200.0,2199.57,24020116.0,1340.0,1339.18,22450138.0,1600.0,1599.97,21470060.0,0.0,461147.76,23.3,32.61,1009.49,60.0,59.89,22040109.0
