component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_181425,FLW0_181425,ANLT0_181425,T0_183225,H0_183225,SETP0_543024,FLW0_543024,ANLT0_543024
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4412a132-a46b-41c3-971e-4191223773d5,a23e5b1f-3b71-45a8-86f7-7c46712ac313,1234.884521484375,489741.53125,199769.609375,8129.97216796875,7132.96533203125,25994.935546875,184313.734375,179781.21875,235975.484375,70203.2890625,128942.3203125,18633.318359375,278533.125,5648.2666015625,19395.5234375,37204.921875,257600.546875,52501.99609375,192424.609375,20224.126953125,6901.20556640625,13235.6015625,27371.46875,45696.2421875,2919818.5,358102.3125,1135367.125,3605185.75,10961963,5584.23388671875,66982.8984375,124391232,52994772,21098.03515625,86192.9453125,202463.796875,671502.0,4358.123046875,2864502.0,1135749.25,63102.13671875,492316.4375,21302.103515625,829182.125,699.5264282226562,446542.34375,445961.28125,239378.953125,956906.1875,70055.8125,77615.4609375,17369.38671875,4149.13818359375,277461.625,14997.8486328125,144949.40625,32859.51953125,404618.5625,1101113.125,58556.15234375,7258.736328125,122887.671875,13564.501953125,610736.125,5674,33.890113830566406,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200143921,24484,0,38.09731674194336,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:20:48.824,"{'cid': 'fd0f4116-eeac-4440-aa57-3b0aa68b4f21', 'uuid': 'fe402394-3a5e-4ccd-8526-9d5b5f2e7cee', 'annotationId': '4412a132-a46b-41c3-971e-4191223773d5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785648280, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:20:48.498Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,437762.9,24.45,32.63,1009.43,1600.0,1598.16,21470060.0,150.0,147.9,22040109.0,1800.0,1799.36,22340093.0,2200.0,2199.44,24020116.0,29.88,33.32,1250.0,1250.56,22450138.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4412a132-a46b-41c3-971e-4191223773d5,a23e5b1f-3b71-45a8-86f7-7c46712ac313,1234.4326171875,490346.625,199766.03125,8130.04833984375,7132.140625,25994.89453125,184239.328125,179767.03125,235779.0,70174.4765625,128961.1484375,18635.4140625,278041.46875,5660.19189453125,19396.802734375,37207.6171875,258050.296875,52521.1328125,191235.78125,20218.388671875,6901.162109375,13242.126953125,27371.41015625,45701.9609375,2922114.25,358359.6875,1137810.125,3606394.5,10957119,5584.3173828125,66978.5703125,124228784,53311728,21096.728515625,86211.890625,202412.484375,671558.1875,4358.869140625,2869932.75,1137270.5,63098.734375,492518.90625,21299.26953125,828627.375,698.7781982421875,445873.75,446124.125,239330.90625,955601.3125,70057.5703125,77618.2109375,17363.576171875,4146.42431640625,277431.15625,15003.412109375,144302.90625,32855.51171875,405053.8125,1101834.875,58555.4140625,7257.7529296875,122823.609375,13566.6298828125,609153.625,5978,33.80952835083008,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200143921,24484,0,38.09731674194336,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:20:49.130,"{'cid': 'fd0f4116-eeac-4440-aa57-3b0aa68b4f21', 'uuid': 'fe402394-3a5e-4ccd-8526-9d5b5f2e7cee', 'annotationId': '4412a132-a46b-41c3-971e-4191223773d5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785648280, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:20:48.498Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,437688.68,24.44,32.63,1009.43,1600.0,1598.16,21470060.0,150.0,147.9,22040109.0,1800.0,1799.36,22340093.0,2200.0,2199.44,24020116.0,29.88,33.32,1250.0,1250.56,22450138.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4412a132-a46b-41c3-971e-4191223773d5,a23e5b1f-3b71-45a8-86f7-7c46712ac313,1235.16650390625,489591.21875,199804.359375,8130.1572265625,7132.142578125,25994.6015625,184271.78125,179770.375,236016.796875,70192.75,128950.9453125,18635.26953125,278275.90625,5654.18505859375,19397.91015625,37212.6640625,258195.453125,52515.03515625,191347.75,20212.708984375,6901.2099609375,13250.1708984375,27371.603515625,45702.828125,2923703.5,357235.15625,1139103.125,3607773.0,10954115,5583.72021484375,66304.8125,124091368,53585640,21097.453125,86207.765625,202441.375,671612.125,4359.31689453125,2872543.0,1139125.375,63097.18359375,492463.59375,21299.71484375,828129.3125,699.056640625,446019.5,445588.875,239340.40625,954866.3125,70044.4609375,77594.4296875,17361.150390625,4146.56591796875,277418.84375,15001.1728515625,144758.453125,32855.44921875,404928.0625,1101979.625,58555.40625,7257.92041015625,122696.3984375,13564.15625,609337.125,6276,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200143921,24484,0,38.09731674194336,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:20:49.427,"{'cid': 'fd0f4116-eeac-4440-aa57-3b0aa68b4f21', 'uuid': 'fe402394-3a5e-4ccd-8526-9d5b5f2e7cee', 'annotationId': '4412a132-a46b-41c3-971e-4191223773d5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785648280, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:20:48.498Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,437616.66,24.43,32.63,1009.42,1600.0,1598.27,21470060.0,150.0,148.34,22040109.0,1800.0,1799.62,22340093.0,2200.0,2199.34,24020116.0,29.88,33.32,1250.0,1250.56,22450138.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4412a132-a46b-41c3-971e-4191223773d5,a23e5b1f-3b71-45a8-86f7-7c46712ac313,1234.87744140625,489380.03125,199803.453125,8130.388671875,7131.40380859375,25994.712890625,184330.21875,179744.921875,235977.859375,70218.2578125,128964.6953125,18635.21875,278794.75,5639.3466796875,19396.884765625,37210.9609375,257856.421875,52508.55859375,191180.78125,20212.1015625,6901.55224609375,13240.068359375,27371.775390625,45697.4375,2926132.5,356873.90625,1140652.0,3610634.0,10961019,5584.38623046875,66678.9375,124200840,53841416,21099.173828125,86205.09375,202435.875,671644.8125,4359.3828125,2868811.25,1137423.125,63095.50390625,492255.625,21302.97265625,828131.0625,699.7863159179688,445931.0625,445686.59375,239340.703125,954229.1875,70057.5859375,77598.9765625,17362.81640625,4153.6875,276760.875,15039.28515625,144808.53125,32851.515625,405005.9375,1101312.625,58556.24609375,7257.43115234375,122622.859375,13568.8349609375,609313.5,6577,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200143921,24484,0,38.09731674194336,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:20:49.730,"{'cid': 'fd0f4116-eeac-4440-aa57-3b0aa68b4f21', 'uuid': 'fe402394-3a5e-4ccd-8526-9d5b5f2e7cee', 'annotationId': '4412a132-a46b-41c3-971e-4191223773d5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785648280, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:20:48.498Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,437543.17,24.42,32.63,1009.42,1600.0,1598.41,21470060.0,150.0,148.92,22040109.0,1800.0,1799.98,22340093.0,2200.0,2199.19,24020116.0,29.87,33.32,1250.0,1250.56,22450138.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4412a132-a46b-41c3-971e-4191223773d5,a23e5b1f-3b71-45a8-86f7-7c46712ac313,1235.35546875,489722.59375,199848.40625,8129.88623046875,7131.5556640625,25992.96484375,184311.921875,179775.4375,236147.96875,70273.2265625,128967.0234375,18636.396484375,277794.65625,5638.9892578125,19394.806640625,37207.125,258111.265625,52518.03515625,191482.359375,20218.431640625,6900.859375,13247.419921875,27371.744140625,45706.16015625,2926968.25,356500.9375,1138924.125,3612480.75,10965636,5583.27099609375,66859.515625,124526752,54030400,21102.68359375,86190.1796875,202442.34375,671562.0625,4358.17529296875,2869563.5,1138186.875,63096.02734375,491928.09375,21305.3125,827600.125,699.287109375,446064.8125,445543.375,239322.78125,953740.4375,70054.234375,77571.2578125,17360.306640625,4155.79833984375,276667.4375,15009.2666015625,144383.578125,32847.0625,404788.15625,1100502.875,58554.48828125,7258.43798828125,122706.4140625,13567.7119140625,609224.125,6878,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200143921,24484,0,38.09731674194336,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:20:50.029,"{'cid': 'fd0f4116-eeac-4440-aa57-3b0aa68b4f21', 'uuid': 'fe402394-3a5e-4ccd-8526-9d5b5f2e7cee', 'annotationId': '4412a132-a46b-41c3-971e-4191223773d5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785648280, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:20:48.498Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,437428.07,24.42,32.63,1009.39,1600.0,1598.56,21470060.0,150.0,149.49,22040109.0,1800.0,1800.34,22340093.0,2200.0,2199.05,24020116.0,29.86,33.32,1250.0,1250.56,22450138.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4412a132-a46b-41c3-971e-4191223773d5,a23e5b1f-3b71-45a8-86f7-7c46712ac313,1236.2706298828125,489397.46875,199859.984375,8130.2275390625,7131.5,25994.697265625,184386.25,179785.0625,236101.890625,70219.53125,128957.8046875,18637.212890625,278241.8125,5665.9521484375,19394.92578125,37214.90234375,258344.15625,52518.68359375,191824.875,20210.552734375,6901.04541015625,13241.7724609375,27372.369140625,45701.69921875,2929210.25,357492.71875,1139786.75,3613911.75,10970626,5583.50341796875,67938.125,125106744,54156040,21098.2734375,86208.4921875,202407.1875,671466.5625,4358.5673828125,2874755.25,1138381.25,63095.88671875,492802.5625,21300.642578125,827725.875,700.1639404296875,446527.53125,445608.84375,239345.4375,953244.4375,70038.0234375,77568.6328125,17361.447265625,4145.58544921875,276249.1875,15007.7919921875,144543.953125,32846.48046875,404727.59375,1099671.25,58559.40625,7258.31591796875,122693.4453125,13561.2490234375,609236.6875,7179,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200143921,24484,0,38.09731674194336,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:20:50.330,"{'cid': 'fd0f4116-eeac-4440-aa57-3b0aa68b4f21', 'uuid': 'fe402394-3a5e-4ccd-8526-9d5b5f2e7cee', 'annotationId': '4412a132-a46b-41c3-971e-4191223773d5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785648280, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:20:48.498Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,437282.24,24.41,32.63,1009.35,1600.0,1598.62,21470060.0,150.0,149.85,22040109.0,1800.0,1800.83,22340093.0,2200.0,2199.18,24020116.0,29.85,33.32,1250.0,1250.56,22450138.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4412a132-a46b-41c3-971e-4191223773d5,a23e5b1f-3b71-45a8-86f7-7c46712ac313,1234.6492919921875,489226.15625,199921.578125,8130.35009765625,7132.8056640625,25995.296875,184444.28125,179820.640625,236189.765625,70144.859375,128972.5625,18636.708984375,278544.625,5671.8017578125,19394.01953125,37217.18359375,258244.75,52500.6875,192055.140625,20217.400390625,6901.2724609375,13254.9658203125,27369.576171875,45701.33984375,2931529.0,356734.5625,1139856.875,3615046.25,10983406,5582.99462890625,66672.1796875,126071608,54062528,21099.0,86155.0234375,202429.46875,671224.875,4356.91943359375,2876984.5,1137557.75,63102.52734375,492689.71875,21300.85546875,828225.0625,699.46435546875,446346.125,446286.34375,239401.671875,952956.4375,70050.484375,77585.171875,17365.265625,4150.802734375,277109.15625,14976.5,144888.640625,32843.30859375,404757.21875,1099401.0,58547.70703125,7258.380859375,122889.7578125,13575.8994140625,608828.625,7481,34.05128479003906,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200143921,24484,0,38.09731674194336,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:20:50.632,"{'cid': 'fd0f4116-eeac-4440-aa57-3b0aa68b4f21', 'uuid': 'fe402394-3a5e-4ccd-8526-9d5b5f2e7cee', 'annotationId': '4412a132-a46b-41c3-971e-4191223773d5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785648280, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:20:48.498Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,437135.93,24.4,32.64,1009.31,1600.0,1598.56,21470060.0,150.0,149.9,22040109.0,1800.0,1801.55,22340093.0,2200.0,2199.75,24020116.0,29.84,33.32,1250.0,1250.56,22450138.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4412a132-a46b-41c3-971e-4191223773d5,a23e5b1f-3b71-45a8-86f7-7c46712ac313,1235.2376708984375,489273.125,199934.53125,8130.068359375,7132.62451171875,25995.37890625,184395.40625,179818.046875,236076.328125,70224.8828125,128945.7890625,18636.71484375,279387.5625,5650.97509765625,19395.0703125,37213.42578125,257965.546875,52475.11328125,192346.53125,20211.017578125,6900.8046875,13238.29296875,27366.748046875,45697.0703125,2933183.0,361915.3125,1142485.75,3615544.25,10994471,5583.25634765625,67763.609375,126789208,53805648,21101.681640625,86175.5859375,202381.109375,671088.625,4357.041015625,2875807.0,1137530.0,63125.19921875,492834.84375,21299.8984375,828470.5625,699.8548583984375,446062.09375,446338.5,239442.28125,954000.5625,70096.9921875,77583.21875,17359.916015625,4150.1005859375,276903.3125,15023.8310546875,144688.3125,32842.58984375,404837.59375,1098746.875,58549.62890625,7258.06640625,122681.0,13554.7080078125,608993.0625,7783,34.05128479003906,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200143921,24484,0,38.09731674194336,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:20:50.934,"{'cid': 'fd0f4116-eeac-4440-aa57-3b0aa68b4f21', 'uuid': 'fe402394-3a5e-4ccd-8526-9d5b5f2e7cee', 'annotationId': '4412a132-a46b-41c3-971e-4191223773d5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785648280, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:20:48.498Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,436989.62,24.39,32.64,1009.26,1600.0,1598.5,21470060.0,150.0,149.94,22040109.0,1800.0,1802.27,22340093.0,2200.0,2200.32,24020116.0,29.85,33.32,1250.0,1250.56,22450138.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4412a132-a46b-41c3-971e-4191223773d5,a23e5b1f-3b71-45a8-86f7-7c46712ac313,1235.19140625,490497.625,199957.3125,8130.2587890625,7132.51611328125,25997.99609375,184399.21875,179832.21875,235783.75,70155.28125,128935.5546875,18637.6640625,278844.5625,5658.09033203125,19394.20703125,37213.41015625,257978.890625,52491.921875,192067.921875,20212.568359375,6900.505859375,13235.6044921875,27365.5078125,45694.796875,2933580.25,359197.9375,1139775.75,3615459.5,10999912,5582.10498046875,67656.4609375,127252768,53597840,21106.748046875,86188.9453125,202346.25,671006.9375,4357.19677734375,2875402.75,1139059.0,63126.3125,493302.90625,21303.48046875,829781.0,699.7848510742188,446403.84375,445972.5,239471.84375,953990.9375,70090.6484375,77604.4609375,17361.330078125,4152.357421875,277254.90625,15001.7783203125,144655.578125,32839.52734375,404829.34375,1098039.875,58549.546875,7258.1416015625,122748.5546875,13554.8486328125,609577.3125,8083,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200143921,24484,0,38.09731674194336,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:20:51.238,"{'cid': 'fd0f4116-eeac-4440-aa57-3b0aa68b4f21', 'uuid': 'fe402394-3a5e-4ccd-8526-9d5b5f2e7cee', 'annotationId': '4412a132-a46b-41c3-971e-4191223773d5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785648280, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:20:48.498Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,436622.42,24.39,32.64,1009.24,1600.0,1598.44,21470060.0,150.0,149.98,22040109.0,1800.0,1802.95,22340093.0,2200.0,2200.88,24020116.0,29.86,33.32,1250.0,1250.53,22450138.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4412a132-a46b-41c3-971e-4191223773d5,a23e5b1f-3b71-45a8-86f7-7c46712ac313,1236.7442626953125,490234.4375,199966.375,8130.92431640625,7132.5146484375,25996.947265625,184363.5625,179840.9375,235494.296875,70236.859375,128915.25,18635.7578125,278674.625,5662.14013671875,19393.236328125,37225.84375,258288.03125,52489.5234375,191528.015625,20209.248046875,6900.921875,13249.0244140625,27363.85546875,45692.171875,2931921.5,362137.21875,1137269.75,3615212.5,11008604,5582.56396484375,68727.1171875,127559000,53328276,21108.697265625,86188.0703125,202373.34375,671007.125,4358.26220703125,2871201.25,1139727.5,63126.34765625,493540.90625,21299.564453125,829458.25,699.6947631835938,446154.5,446543.15625,239463.875,954838.1875,70059.6953125,77584.65625,17367.0,4146.53076171875,277287.1875,14990.21875,144223.421875,32842.9296875,404889.09375,1097782.25,58555.69140625,7258.21142578125,122666.8515625,13560.5244140625,609768.0625,8384,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200143921,24484,0,38.09731674194336,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 15, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:20:51.535,"{'cid': 'fd0f4116-eeac-4440-aa57-3b0aa68b4f21', 'uuid': 'fe402394-3a5e-4ccd-8526-9d5b5f2e7cee', 'annotationId': '4412a132-a46b-41c3-971e-4191223773d5', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785648280, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:20:48.498Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,436193.3,24.39,32.64,1009.22,1600.0,1598.38,21470060.0,150.0,149.94,22040109.0,1800.0,1802.62,22340093.0,2200.0,2200.81,24020116.0,29.87,33.32,1250.0,1250.18,22450138.0
