component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_181425,FLW0_181425,ANLT0_181425,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_094324,FLW0_094324,ANLT0_094324
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,c7f553bb-54d6-4d6e-95b7-daa7362bbb79,b0d302bf-f0f3-4feb-821a-8083f454e883,1231.7044677734375,490047.78125,199972.1875,8130.1552734375,7130.99658203125,26002.302734375,184272.234375,179901.4375,235395.046875,70363.8828125,129065.7421875,18634.916015625,279039.65625,5625.97509765625,19403.990234375,37220.546875,257488.46875,52523.33203125,190870.578125,20220.51953125,6900.88427734375,13197.8515625,27393.82421875,45709.875,2928716.75,356655.34375,1134054.5,3619284.0,11197830,5585.20263671875,68447.3671875,128263296,54104024,21097.767578125,86140.8984375,202131.515625,670996.4375,4357.9833984375,2788268.75,1142145.0,63132.58984375,492996.65625,21304.955078125,829155.1875,701.0430908203125,445810.5625,445374.34375,239574.59375,952910.9375,69967.640625,77542.2265625,17367.681640625,4147.89697265625,277178.78125,15040.955078125,145710.390625,32888.59375,404562.53125,1098152.0,58537.98828125,7256.9404296875,122354.8671875,13555.8251953125,605494.25,5761,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200294431,24484,0,37.83017349243164,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-5ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:23:19.050,"{'cid': '2c68052b-3b34-4401-836f-efef26908f80', 'uuid': '898bdad4-2379-4c5b-b5fe-b208d3660fef', 'annotationId': 'c7f553bb-54d6-4d6e-95b7-daa7362bbb79', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785798570, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:23:18.794Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.92,33.23,15.0,15.14,22040109.0,1385.0,1383.84,22450138.0,1800.0,1799.76,22340093.0,2200.0,2200.4,24020116.0,0.0,438919.84,24.45,32.66,1009.4,1600.0,1597.2,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,c7f553bb-54d6-4d6e-95b7-daa7362bbb79,b0d302bf-f0f3-4feb-821a-8083f454e883,1232.93701171875,489621.34375,200002.453125,8130.4091796875,7131.50732421875,26002.4375,184258.15625,179930.453125,235897.78125,70363.0234375,129067.1015625,18634.89453125,280088.375,5613.17724609375,19404.39453125,37213.69921875,257173.9375,52509.91015625,191362.4375,20223.958984375,6900.47509765625,13203.6416015625,27391.3125,45705.3125,2931454.0,357120.375,1134109.125,3620146.0,11209258,5583.41455078125,69607.109375,129163640,53784744,21100.306640625,86165.3515625,202111.8125,670883.875,4356.4794921875,2787544.75,1142789.5,63143.73046875,493103.65625,21304.291015625,829429.9375,700.9924926757812,445849.1875,445350.25,239621.1875,953693.3125,70005.9140625,77563.546875,17368.173828125,4141.29541015625,277513.6875,15051.6845703125,144508.828125,32878.671875,404610.6875,1097753.125,58540.36328125,7256.79052734375,122534.8125,13562.3349609375,605870.9375,6062,34.131874084472656,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200294431,24484,0,37.83017349243164,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-5ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:23:19.352,"{'cid': '2c68052b-3b34-4401-836f-efef26908f80', 'uuid': '898bdad4-2379-4c5b-b5fe-b208d3660fef', 'annotationId': 'c7f553bb-54d6-4d6e-95b7-daa7362bbb79', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785798570, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:23:18.794Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.92,33.23,15.0,15.14,22040109.0,1385.0,1383.84,22450138.0,1800.0,1799.76,22340093.0,2200.0,2200.4,24020116.0,0.0,438919.84,24.45,32.66,1009.4,1600.0,1597.2,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,c7f553bb-54d6-4d6e-95b7-daa7362bbb79,b0d302bf-f0f3-4feb-821a-8083f454e883,1231.9232177734375,489372.78125,199999.921875,8130.1708984375,7132.25048828125,26001.15625,184274.3125,179912.609375,235588.265625,70390.2265625,129049.2734375,18634.21875,277591.875,5626.46923828125,19402.572265625,37212.2421875,257249.6875,52517.62109375,191354.859375,20226.712890625,6899.91455078125,13227.3056640625,27390.765625,45699.6875,2929382.0,356663.8125,1135248.125,3619792.5,11211938,5584.04150390625,68293.1953125,129406368,53359148,21094.87109375,86159.5,202130.90625,670815.8125,4357.60546875,2784993.75,1145753.5,63136.15625,492824.875,21305.021484375,829630.25,701.188720703125,445880.03125,445434.84375,239616.0625,954909.6875,69978.28125,77610.2109375,17370.57421875,4141.2373046875,277069.03125,15027.6875,144140.703125,32886.0859375,404655.84375,1098144.0,58536.73046875,7256.962890625,122515.0859375,13563.5947265625,606013.9375,6363,34.212459564208984,35.824180603027344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200294431,24484,0,37.83017349243164,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-5ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:23:19.652,"{'cid': '2c68052b-3b34-4401-836f-efef26908f80', 'uuid': '898bdad4-2379-4c5b-b5fe-b208d3660fef', 'annotationId': 'c7f553bb-54d6-4d6e-95b7-daa7362bbb79', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785798570, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:23:18.794Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.91,33.23,15.0,15.13,22040109.0,1385.0,1383.84,22450138.0,1800.0,1800.01,22340093.0,2200.0,2200.34,24020116.0,0.0,438919.84,24.45,32.66,1009.4,1600.0,1597.2,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,c7f553bb-54d6-4d6e-95b7-daa7362bbb79,b0d302bf-f0f3-4feb-821a-8083f454e883,1232.0625,490108.0625,199952.59375,8130.73974609375,7131.3125,26000.810546875,184265.640625,179902.84375,235379.359375,70349.140625,129020.515625,18635.259765625,277644.6875,5631.53369140625,19402.44140625,37212.75,257025.671875,52536.578125,192195.140625,20220.720703125,6900.5615234375,13222.59765625,27388.787109375,45702.57421875,2923186.5,357314.96875,1134719.25,3617430.0,11206464,5584.17138671875,68333.6171875,129141704,52970292,21096.216796875,86170.4375,202054.734375,670798.0,4357.4609375,2783980.75,1144518.625,63136.65625,493324.1875,21305.21484375,829975.8125,701.5653076171875,446096.625,444856.65625,239640.859375,956482.125,70028.28125,77601.703125,17360.130859375,4153.7685546875,276223.625,15032.013671875,144476.171875,32890.4453125,404929.25,1098591.625,58544.2421875,7257.4365234375,122658.609375,13565.9404296875,606600.0625,6664,34.05128479003906,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200294431,24484,0,37.83017349243164,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-5ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:23:19.964,"{'cid': '2c68052b-3b34-4401-836f-efef26908f80', 'uuid': '898bdad4-2379-4c5b-b5fe-b208d3660fef', 'annotationId': 'c7f553bb-54d6-4d6e-95b7-daa7362bbb79', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785798570, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:23:18.794Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.9,33.24,15.0,15.11,22040109.0,1385.0,1383.84,22450138.0,1800.0,1800.53,22340093.0,2200.0,2200.22,24020116.0,0.0,438802.36,24.45,32.66,1009.4,1600.0,1597.2,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,c7f553bb-54d6-4d6e-95b7-daa7362bbb79,b0d302bf-f0f3-4feb-821a-8083f454e883,1231.8380126953125,489507.53125,199936.53125,8130.7197265625,7131.162109375,26001.69140625,184258.734375,179903.359375,235510.828125,70352.171875,128991.875,18633.82421875,279228.5,5626.21240234375,19402.05859375,37213.8515625,256891.25,52523.73828125,193190.390625,20219.333984375,6900.2197265625,13227.908203125,27386.94921875,45704.01953125,2918244.0,357266.53125,1130812.125,3615269.75,11198198,5584.59228515625,69239.9609375,128679752,52645024,21093.28125,86148.4296875,202089.953125,670723.1875,4357.28173828125,2784304.5,1146594.5,63144.5703125,493204.25,21306.046875,830756.375,701.274658203125,445789.1875,445166.0,239611.40625,957483.625,70043.78125,77567.7890625,17355.220703125,4138.97412109375,276123.71875,15028.6748046875,145517.28125,32890.6015625,405174.5,1099764.125,58558.25390625,7257.28369140625,122623.578125,13564.900390625,606622.3125,6965,34.05128479003906,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200294431,24484,0,37.83017349243164,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-5ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:23:20.254,"{'cid': '2c68052b-3b34-4401-836f-efef26908f80', 'uuid': '898bdad4-2379-4c5b-b5fe-b208d3660fef', 'annotationId': 'c7f553bb-54d6-4d6e-95b7-daa7362bbb79', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785798570, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:23:18.794Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.89,33.24,15.0,15.09,22040109.0,1385.0,1383.84,22450138.0,1800.0,1801.01,22340093.0,2200.0,2200.1,24020116.0,0.0,438590.76,24.45,32.66,1009.4,1600.0,1597.2,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,c7f553bb-54d6-4d6e-95b7-daa7362bbb79,b0d302bf-f0f3-4feb-821a-8083f454e883,1230.9849853515625,488961.375,199938.265625,8130.67626953125,7131.7392578125,25999.15234375,184299.484375,179879.265625,235540.359375,70294.484375,128969.7265625,18633.07421875,277871.90625,5627.78271484375,19401.4375,37207.65234375,257266.015625,52526.5703125,192582.375,20221.11328125,6900.7314453125,13219.05859375,27387.654296875,45694.98828125,2913921.75,357302.9375,1132554.75,3613397.5,11183373,5584.171875,67622.96875,127605864,52412968,21099.904296875,86156.9375,202194.640625,670776.4375,4357.47705078125,2784320.0,1144744.5,63140.3203125,493189.625,21302.552734375,832351.0,700.0648803710938,445868.15625,445347.84375,239609.140625,958370.4375,70076.5703125,77585.109375,17362.962890625,4145.96484375,277329.9375,15056.9619140625,144691.390625,32895.84375,405231.53125,1100539.5,58552.15625,7257.0595703125,122503.9921875,13559.9853515625,606803.875,7266,34.05128479003906,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200294431,24484,0,37.83017349243164,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-5ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:23:20.558,"{'cid': '2c68052b-3b34-4401-836f-efef26908f80', 'uuid': '898bdad4-2379-4c5b-b5fe-b208d3660fef', 'annotationId': 'c7f553bb-54d6-4d6e-95b7-daa7362bbb79', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785798570, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:23:18.794Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.88,33.24,15.0,15.07,22040109.0,1385.0,1383.88,22450138.0,1800.0,1801.39,22340093.0,2200.0,2199.99,24020116.0,0.0,438368.94,24.44,32.66,1009.4,1600.0,1597.3,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,c7f553bb-54d6-4d6e-95b7-daa7362bbb79,b0d302bf-f0f3-4feb-821a-8083f454e883,1231.1484375,489224.53125,199881.859375,8130.427734375,7132.07177734375,25996.578125,184345.703125,179849.453125,235756.109375,70336.90625,128969.859375,18632.91015625,277960.5,5614.17578125,19400.890625,37206.58203125,257231.40625,52530.73046875,192432.734375,20224.15625,6900.26708984375,13233.1884765625,27388.134765625,45697.71875,2911548.0,357019.625,1131896.625,3611263.0,11163032,5584.25537109375,68656.2265625,126331336,52331428,21101.52734375,86181.9765625,202201.390625,671093.0,4356.578125,2784567.5,1143432.75,63129.70703125,493197.0625,21303.33203125,832970.0625,700.7900390625,445693.0625,445122.375,239578.515625,958980.0,70062.640625,77571.0078125,17363.32421875,4143.1748046875,277550.90625,15048.3466796875,144678.609375,32899.25,404818.40625,1101477.125,58560.7421875,7257.36474609375,122514.78125,13562.626953125,605083.5,7567,34.131874084472656,35.824180603027344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200294431,24484,0,37.83017349243164,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-5ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:23:20.856,"{'cid': '2c68052b-3b34-4401-836f-efef26908f80', 'uuid': '898bdad4-2379-4c5b-b5fe-b208d3660fef', 'annotationId': 'c7f553bb-54d6-4d6e-95b7-daa7362bbb79', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785798570, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:23:18.794Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.88,33.23,15.0,15.05,22040109.0,1385.0,1384.09,22450138.0,1800.0,1801.06,22340093.0,2200.0,2199.92,24020116.0,0.0,438151.5,24.44,32.66,1009.4,1600.0,1598.06,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,c7f553bb-54d6-4d6e-95b7-daa7362bbb79,b0d302bf-f0f3-4feb-821a-8083f454e883,1231.626220703125,489258.25,199866.0,8130.1748046875,7132.0556640625,25996.896484375,184218.640625,179854.734375,235613.6875,70323.1015625,128960.4296875,18634.494140625,278884.90625,5620.00634765625,19402.529296875,37207.0625,257269.640625,52533.31640625,191086.609375,20217.224609375,6900.7158203125,13224.7451171875,27390.158203125,45702.40234375,2909301.0,357657.84375,1129020.75,3609039.0,11151729,5584.54052734375,69346.453125,125510024,52404340,21100.234375,86178.1328125,202225.0,671227.25,4357.32470703125,2782685.5,1144454.125,63125.01953125,493303.09375,21303.169921875,832574.375,700.2581787109375,445391.40625,445257.65625,239547.890625,959218.25,70050.0234375,77578.3125,17359.806640625,4142.17578125,277463.125,15068.86328125,145443.375,32897.75390625,405166.4375,1102375.125,58547.9375,7257.0263671875,122405.7890625,13564.1494140625,605591.6875,7868,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200294431,24484,0,37.83017349243164,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-5ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:23:21.157,"{'cid': '2c68052b-3b34-4401-836f-efef26908f80', 'uuid': '898bdad4-2379-4c5b-b5fe-b208d3660fef', 'annotationId': 'c7f553bb-54d6-4d6e-95b7-daa7362bbb79', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785798570, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:23:18.794Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.89,33.22,15.0,15.03,22040109.0,1385.0,1384.31,22450138.0,1800.0,1800.72,22340093.0,2200.0,2199.85,24020116.0,0.0,438074.88,24.44,32.66,1009.37,1600.0,1598.82,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,c7f553bb-54d6-4d6e-95b7-daa7362bbb79,b0d302bf-f0f3-4feb-821a-8083f454e883,1232.802978515625,488757.84375,199853.6875,8130.69921875,7132.51611328125,25996.69921875,184238.34375,179823.71875,235168.59375,70366.328125,128970.2734375,18634.1015625,278386.65625,5612.1552734375,19405.255859375,37208.62109375,256951.578125,52517.6171875,192747.453125,20229.392578125,6901.13623046875,13221.875,27387.853515625,45708.20703125,2907877.75,357344.8125,1127685.75,3607301.0,11141878,5584.43017578125,68920.8203125,124815232,52558872,21095.185546875,86171.2578125,202200.03125,671321.375,4355.8310546875,2781278.0,1143824.625,63115.11328125,493328.90625,21303.263671875,832517.75,701.4110717773438,445926.4375,445423.03125,239491.4375,958956.75,70016.25,77560.03125,17365.4609375,4147.55908203125,277492.25,15052.3505859375,145037.015625,32894.73828125,405150.46875,1102605.0,58555.9140625,7257.06396484375,122482.046875,13566.0888671875,605742.0,8169,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200294431,24484,0,37.83017349243164,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-5ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:23:21.460,"{'cid': '2c68052b-3b34-4401-836f-efef26908f80', 'uuid': '898bdad4-2379-4c5b-b5fe-b208d3660fef', 'annotationId': 'c7f553bb-54d6-4d6e-95b7-daa7362bbb79', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785798570, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:23:18.794Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.89,33.21,15.0,15.01,22040109.0,1385.0,1384.52,22450138.0,1800.0,1800.39,22340093.0,2200.0,2199.78,24020116.0,0.0,438074.88,24.43,32.66,1009.32,1600.0,1599.59,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,c7f553bb-54d6-4d6e-95b7-daa7362bbb79,b0d302bf-f0f3-4feb-821a-8083f454e883,1232.3280029296875,488344.15625,199831.46875,8130.064453125,7132.3544921875,25995.185546875,184326.03125,179819.421875,235340.671875,70335.3203125,128958.5078125,18634.189453125,277501.625,5635.1767578125,19405.216796875,37210.3828125,257097.90625,52531.265625,192024.5,20222.333984375,6900.92724609375,13190.6025390625,27390.962890625,45704.09765625,2907268.75,357149.1875,1127082.25,3605814.75,11133372,5584.873046875,68554.109375,124270184,52795232,21101.57421875,86172.84375,202206.28125,671435.3125,4355.9091796875,2780610.5,1144581.5,63109.0234375,493158.15625,21305.52734375,831327.875,701.3073120117188,445904.625,445632.15625,239448.28125,958108.3125,70040.3046875,77559.0390625,17365.802734375,4149.7890625,277283.1875,15037.52734375,144432.21875,32889.84765625,405025.25,1102907.125,58555.07421875,7257.40478515625,122404.984375,13564.748046875,606962.625,8470,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,200294431,24484,0,37.83017349243164,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-5ppb-10RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:23:21.760,"{'cid': '2c68052b-3b34-4401-836f-efef26908f80', 'uuid': '898bdad4-2379-4c5b-b5fe-b208d3660fef', 'annotationId': 'c7f553bb-54d6-4d6e-95b7-daa7362bbb79', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768785798570, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:23:18.794Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.89,33.22,15.0,14.99,22040109.0,1385.0,1384.5,22450138.0,1800.0,1799.98,22340093.0,2200.0,2199.72,24020116.0,0.0,438074.88,24.43,32.66,1009.27,1600.0,1599.67,21470060.0
