component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_181425,FLW0_181425,ANLT0_181425,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_453024,FLW0_453024,ANLT0_453024
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,e6227f07-83e6-4ab0-b89d-b8fe64d7da78,5d6d3867-f8e0-47cd-b70f-54e2ed56af0f,1224.572998046875,489154.1875,200023.625,8133.48876953125,7134.88818359375,26009.416015625,184583.34375,180021.21875,235976.890625,70484.6015625,129343.0,18644.05859375,275161.03125,5584.484375,19444.1171875,37224.78515625,257131.265625,52669.4609375,190774.109375,20284.693359375,6902.546875,13228.111328125,27503.126953125,45725.6484375,2938902.5,357025.15625,1097355.625,3624840.75,11105877,5586.388671875,68617.7265625,128923504,52757956,21116.146484375,86225.8515625,201978.25,670432.125,4359.47998046875,2873588.25,1145378.0,63222.2890625,492297.03125,21335.4921875,829249.125,701.5623168945312,448685.84375,445550.0,239717.53125,959418.5625,70110.9296875,77627.3671875,17379.275390625,4149.16162109375,276578.8125,15014.2939453125,146423.921875,33006.62109375,405233.96875,1099687.125,58603.94140625,7258.51513671875,123407.4609375,13575.349609375,610613.8125,6664,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,201643964,24484,0,37.24766540527344,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:45:49.847,"{'cid': '2225d84b-aee9-4f0f-b06e-55f5b4d5de04', 'uuid': 'fb6ba0b3-019f-415b-bdc5-2b8ae37c4f10', 'annotationId': 'e6227f07-83e6-4ab0-b89d-b8fe64d7da78', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787149488, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:45:49.724Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.75,33.43,1190.0,1189.12,22450138.0,210.0,209.96,22040109.0,1600.0,1598.48,21470060.0,2200.0,2200.88,24020116.0,0.0,430885.75,25.04,32.6,1009.15,1800.0,1799.84,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,e6227f07-83e6-4ab0-b89d-b8fe64d7da78,5d6d3867-f8e0-47cd-b70f-54e2ed56af0f,1225.165283203125,489136.3125,200050.5625,8133.57666015625,7134.89013671875,26009.19921875,184553.75,180050.421875,235990.328125,70440.1328125,129288.8203125,18642.435546875,275439.75,5599.30224609375,19440.849609375,37232.8203125,257061.640625,52667.921875,190699.640625,20280.287109375,6902.21923828125,13248.205078125,27503.884765625,45721.98828125,2933684.0,356969.78125,1094672.125,3623035.25,11102284,5586.41357421875,69718.15625,128418056,52407416,21114.501953125,86243.0859375,201958.625,670363.75,4359.46044921875,2872879.0,1141701.375,63215.1484375,492382.28125,21333.646484375,828164.8125,702.1611938476562,448568.0625,446132.90625,239735.578125,960637.0625,70122.546875,77629.3671875,17378.154296875,4161.2314453125,276631.4375,15032.1474609375,146184.765625,33007.484375,405160.65625,1100534.25,58609.40234375,7258.5947265625,123372.28125,13566.2021484375,609647.5,6963,33.970699310302734,35.42124938964844,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,201643964,24484,0,37.24766540527344,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:45:50.146,"{'cid': '2225d84b-aee9-4f0f-b06e-55f5b4d5de04', 'uuid': 'fb6ba0b3-019f-415b-bdc5-2b8ae37c4f10', 'annotationId': 'e6227f07-83e6-4ab0-b89d-b8fe64d7da78', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787149488, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:45:49.724Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.75,33.43,1190.0,1189.12,22450138.0,210.0,209.96,22040109.0,1600.0,1598.48,21470060.0,2200.0,2200.88,24020116.0,0.0,430885.75,25.04,32.6,1009.15,1800.0,1799.84,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,e6227f07-83e6-4ab0-b89d-b8fe64d7da78,5d6d3867-f8e0-47cd-b70f-54e2ed56af0f,1224.93798828125,489363.34375,200029.25,8133.14892578125,7133.85888671875,26007.068359375,184589.75,180017.3125,236164.109375,70422.6328125,129280.171875,18645.224609375,274788.90625,5588.052734375,19438.771484375,37221.015625,257085.28125,52669.89453125,192325.140625,20291.857421875,6903.17333984375,13239.4814453125,27504.00390625,45719.0703125,2929247.5,356895.53125,1092669.0,3621199.25,11090662,5587.3720703125,69586.1015625,127565104,52149008,21116.99609375,86232.8203125,201964.40625,670441.625,4360.51220703125,2871127.5,1139608.5,63222.88671875,492602.3125,21333.44921875,827512.5625,701.8126831054688,448631.71875,446239.46875,239741.9375,961595.9375,70148.2578125,77640.90625,17383.158203125,4155.8671875,276915.1875,15046.59765625,144968.359375,33011.5546875,405369.53125,1101838.0,58617.87109375,7258.06884765625,123536.3828125,13571.888671875,608971.375,7264,33.80952835083008,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,201643964,24484,0,37.24766540527344,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:45:50.451,"{'cid': '2225d84b-aee9-4f0f-b06e-55f5b4d5de04', 'uuid': 'fb6ba0b3-019f-415b-bdc5-2b8ae37c4f10', 'annotationId': 'e6227f07-83e6-4ab0-b89d-b8fe64d7da78', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787149488, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:45:49.724Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.75,33.43,1190.0,1189.12,22450138.0,210.0,209.96,22040109.0,1600.0,1598.48,21470060.0,2200.0,2200.89,24020116.0,0.0,430885.75,25.04,32.6,1009.15,1800.0,1799.84,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,e6227f07-83e6-4ab0-b89d-b8fe64d7da78,5d6d3867-f8e0-47cd-b70f-54e2ed56af0f,1224.1806640625,489142.03125,200007.4375,8133.166015625,7134.13134765625,26005.869140625,184544.953125,180004.359375,236576.25,70410.5859375,129277.1484375,18644.24609375,274348.15625,5601.96044921875,19440.044921875,37224.234375,256972.265625,52670.40625,191119.59375,20283.685546875,6903.06298828125,13234.7373046875,27503.580078125,45721.640625,2925320.25,356450.9375,1091465.5,3618699.5,11076280,5586.71533203125,69480.1171875,126293640,51998240,21119.1171875,86244.25,202006.796875,670685.875,4361.99560546875,2871160.0,1138209.25,63217.28125,492511.1875,21331.935546875,827189.5,701.9456176757812,448751.40625,446173.90625,239701.65625,962107.0,70174.2890625,77630.2265625,17377.001953125,4147.912109375,275267.40625,15061.0673828125,146105.671875,33016.765625,405504.5625,1102772.625,58617.27734375,7258.02587890625,123551.3359375,13569.6484375,609936.9375,7565,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,201643964,24484,0,37.24766540527344,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:45:50.748,"{'cid': '2225d84b-aee9-4f0f-b06e-55f5b4d5de04', 'uuid': 'fb6ba0b3-019f-415b-bdc5-2b8ae37c4f10', 'annotationId': 'e6227f07-83e6-4ab0-b89d-b8fe64d7da78', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787149488, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:45:49.724Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.75,33.43,1190.0,1189.11,22450138.0,210.0,209.94,22040109.0,1600.0,1598.45,21470060.0,2200.0,2201.01,24020116.0,0.0,430885.75,25.04,32.6,1009.15,1800.0,1799.84,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,e6227f07-83e6-4ab0-b89d-b8fe64d7da78,5d6d3867-f8e0-47cd-b70f-54e2ed56af0f,1223.91064453125,488603.15625,199926.453125,8132.78564453125,7134.02685546875,26003.65625,184582.15625,179936.75,236228.421875,70376.3359375,129269.2578125,18644.33984375,274187.28125,5581.9482421875,19440.6484375,37226.5,256882.234375,52662.07421875,190866.203125,20287.103515625,6903.02490234375,13243.5224609375,27501.9140625,45725.66015625,2921449.5,355715.21875,1091164.375,3615208.0,11063881,5586.14599609375,69457.0234375,125147592,51992904,21118.173828125,86242.875,202020.046875,670981.25,4362.466796875,2872501.5,1140067.75,63207.4296875,492037.15625,21329.75390625,827555.4375,701.0919799804688,448552.40625,446077.5,239667.171875,962454.6875,70162.4296875,77632.1328125,17383.97265625,4151.052734375,276364.53125,15061.52734375,147090.1875,33015.8515625,405425.5,1103529.125,58616.375,7257.99853515625,123621.0,13565.92578125,611355.1875,7868,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,201643964,24484,0,37.24766540527344,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:45:51.050,"{'cid': '2225d84b-aee9-4f0f-b06e-55f5b4d5de04', 'uuid': 'fb6ba0b3-019f-415b-bdc5-2b8ae37c4f10', 'annotationId': 'e6227f07-83e6-4ab0-b89d-b8fe64d7da78', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787149488, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:45:49.724Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.76,33.42,1190.0,1189.09,22450138.0,210.0,209.92,22040109.0,1600.0,1598.43,21470060.0,2200.0,2201.13,24020116.0,0.0,430775.23,25.04,32.6,1009.15,1800.0,1799.84,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,e6227f07-83e6-4ab0-b89d-b8fe64d7da78,5d6d3867-f8e0-47cd-b70f-54e2ed56af0f,1224.3619384765625,488454.71875,199910.4375,8133.06982421875,7133.9140625,26003.46484375,184571.703125,179924.296875,236069.828125,70379.15625,129265.7890625,18643.5078125,275493.90625,5581.95654296875,19439.375,37221.328125,257284.59375,52678.15625,190679.4375,20292.669921875,6903.251953125,13231.9375,27505.4296875,45731.69921875,2917402.0,356835.1875,1093545.25,3610120.5,11033309,5586.1689453125,66993.796875,122953872,52350512,21122.376953125,86258.5703125,202003.4375,671288.125,4361.14208984375,2881063.0,1142208.5,63187.3671875,492096.34375,21332.09765625,825118.6875,702.056640625,448358.96875,446226.9375,239616.421875,961948.0625,70125.0546875,77672.3828125,17379.072265625,4151.93798828125,275960.8125,15056.4287109375,146971.5,33018.09765625,405558.59375,1104450.0,58618.4921875,7258.578125,123528.0859375,13566.0029296875,612969.6875,8468,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,201643964,24484,0,37.24766540527344,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:45:51.650,"{'cid': '2225d84b-aee9-4f0f-b06e-55f5b4d5de04', 'uuid': 'fb6ba0b3-019f-415b-bdc5-2b8ae37c4f10', 'annotationId': 'e6227f07-83e6-4ab0-b89d-b8fe64d7da78', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787149488, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:45:49.724Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.76,33.41,1190.0,1189.07,22450138.0,210.0,209.9,22040109.0,1600.0,1598.79,21470060.0,2200.0,2201.07,24020116.0,0.0,430494.24,25.04,32.61,1009.14,1800.0,1799.84,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,e6227f07-83e6-4ab0-b89d-b8fe64d7da78,5d6d3867-f8e0-47cd-b70f-54e2ed56af0f,1225.23779296875,488605.03125,199933.78125,8133.056640625,7133.4072265625,26001.9453125,184592.75,179894.546875,236080.6875,70386.7421875,129273.453125,18645.48828125,275757.96875,5565.43701171875,19439.140625,37223.35546875,257655.1875,52672.43359375,190850.09375,20284.884765625,6903.38916015625,13226.1689453125,27506.05078125,45729.98046875,2916842.0,358166.28125,1092646.75,3608967.75,11027324,5585.84130859375,67895.359375,122300912,52675844,21121.44921875,86263.6484375,201982.90625,671372.8125,4360.62646484375,2886051.75,1141996.75,63182.6171875,492069.96875,21331.966796875,824608.25,702.5814819335938,447998.65625,446166.28125,239596.3125,961099.75,70147.8828125,77626.3203125,17380.115234375,4154.30224609375,275762.5625,15070.4697265625,145533.796875,33012.2734375,405438.125,1104535.875,58621.01953125,7258.4990234375,123390.734375,13561.8544921875,611005.1875,8769,33.970699310302734,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,201643964,24484,0,37.24766540527344,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:45:51.951,"{'cid': '2225d84b-aee9-4f0f-b06e-55f5b4d5de04', 'uuid': 'fb6ba0b3-019f-415b-bdc5-2b8ae37c4f10', 'annotationId': 'e6227f07-83e6-4ab0-b89d-b8fe64d7da78', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787149488, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:45:49.724Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.75,33.4,1190.0,1189.06,22450138.0,210.0,209.91,22040109.0,1600.0,1599.31,21470060.0,2200.0,2200.79,24020116.0,0.0,430353.27,25.04,32.61,1009.14,1800.0,1799.84,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,e6227f07-83e6-4ab0-b89d-b8fe64d7da78,5d6d3867-f8e0-47cd-b70f-54e2ed56af0f,1225.46044921875,488147.5,199904.0625,8133.78271484375,7134.32421875,26002.353515625,184607.46875,179896.15625,236327.34375,70336.484375,129303.828125,18645.4140625,275811.3125,5567.65869140625,19442.40234375,37225.12109375,257529.46875,52693.2890625,190601.875,20297.212890625,6903.44384765625,13221.5703125,27506.826171875,45738.94140625,2918703.5,356931.6875,1093404.375,3610161.5,11024330,5586.43798828125,67928.8125,122109288,53037704,21121.568359375,86264.0703125,201956.109375,671362.8125,4360.64404296875,2886905.0,1141128.125,63180.71484375,491799.34375,21336.23046875,824144.4375,701.7559814453125,448390.71875,446082.875,239575.453125,959795.9375,70122.390625,77583.53125,17385.978515625,4150.85888671875,275639.25,15091.9921875,147156.28125,33011.63671875,405226.0,1104459.25,58613.87890625,7258.12353515625,123377.3984375,13569.04296875,611916.0,9070,33.80952835083008,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,201643964,24484,0,37.24766540527344,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:45:52.250,"{'cid': '2225d84b-aee9-4f0f-b06e-55f5b4d5de04', 'uuid': 'fb6ba0b3-019f-415b-bdc5-2b8ae37c4f10', 'annotationId': 'e6227f07-83e6-4ab0-b89d-b8fe64d7da78', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787149488, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:45:49.724Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.75,33.39,1190.0,1189.05,22450138.0,210.0,209.93,22040109.0,1600.0,1599.83,21470060.0,2200.0,2200.5,24020116.0,0.0,429957.35,25.04,32.61,1009.09,1800.0,1799.84,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,e6227f07-83e6-4ab0-b89d-b8fe64d7da78,5d6d3867-f8e0-47cd-b70f-54e2ed56af0f,1225.68896484375,488258.03125,199911.5,8133.25634765625,7134.2666015625,26002.443359375,184623.4375,179932.75,236226.296875,70386.640625,129315.0390625,18643.69921875,276001.15625,5591.0419921875,19442.599609375,37226.44140625,257366.609375,52683.66796875,190960.34375,20282.755859375,6903.49658203125,13238.2646484375,27508.37109375,45736.796875,2922571.5,357329.0625,1092154.125,3614380.25,11031246,5586.58349609375,68632.984375,122535528,53397060,21119.376953125,86265.265625,201990.359375,671403.9375,4362.3017578125,2888009.0,1140393.0,63174.046875,492142.96875,21334.140625,823881.8125,701.833740234375,448114.875,445838.03125,239557.796875,958111.375,70113.8671875,77598.953125,17382.73828125,4153.58447265625,275729.0625,15074.8515625,146539.046875,33007.1328125,405041.21875,1103925.0,58608.56640625,7258.40283203125,123421.5625,13565.1064453125,612157.9375,9371,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,201643964,24484,0,37.24766540527344,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:45:52.553,"{'cid': '2225d84b-aee9-4f0f-b06e-55f5b4d5de04', 'uuid': 'fb6ba0b3-019f-415b-bdc5-2b8ae37c4f10', 'annotationId': 'e6227f07-83e6-4ab0-b89d-b8fe64d7da78', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787149488, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:45:49.724Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.75,33.39,1190.0,1189.02,22450138.0,210.0,209.94,22040109.0,1600.0,1599.96,21470060.0,2200.0,2200.31,24020116.0,0.0,429534.53,25.03,32.61,1009.05,1800.0,1799.84,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,e6227f07-83e6-4ab0-b89d-b8fe64d7da78,5d6d3867-f8e0-47cd-b70f-54e2ed56af0f,1225.376220703125,488831.46875,199954.40625,8132.8349609375,7134.62158203125,26004.43359375,184602.078125,179955.828125,236343.171875,70432.8125,129347.8125,18644.25390625,276010.40625,5597.2177734375,19442.67578125,37227.15625,257885.625,52685.89453125,191207.71875,20295.978515625,6903.52880859375,13234.607421875,27509.21875,45743.03515625,2925565.75,357468.34375,1093204.375,3617310.0,11043971,5586.2939453125,70848.6171875,123255328,53683152,21119.013671875,86284.8203125,201957.609375,671281.1875,4361.3603515625,2889609.25,1141136.625,63178.984375,492176.875,21331.5390625,824697.5,702.26171875,448233.03125,446112.3125,239544.625,957022.75,70088.1171875,77621.6484375,17382.82421875,4147.8623046875,275707.5,15044.8837890625,146952.46875,33004.8203125,404995.1875,1102755.875,58608.5859375,7258.74951171875,123533.6328125,13562.0078125,611507.625,9672,33.970699310302734,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,201643964,24484,0,37.24766540527344,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-10RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': '10rh', 'identifier': 'srzyh', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 01:45:52.854,"{'cid': '2225d84b-aee9-4f0f-b06e-55f5b4d5de04', 'uuid': 'fb6ba0b3-019f-415b-bdc5-2b8ae37c4f10', 'annotationId': 'e6227f07-83e6-4ab0-b89d-b8fe64d7da78', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768787149488, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T01:45:49.724Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.75,33.39,1190.0,1188.98,22450138.0,210.0,209.95,22040109.0,1600.0,1599.43,21470060.0,2200.0,2200.29,24020116.0,0.0,429114.49,25.02,32.61,1009.0,1800.0,1799.84,22340093.0
