component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_181425,FLW0_181425,ANLT0_181425,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,33bd8de6-8675-415f-8b48-6fa533f8c40c,c73401ca-8616-42f7-9c0c-33e96961bdf7,1248.9349365234375,494504.3125,200770.5625,8151.462890625,7142.3134765625,26051.640625,185314.421875,181598.296875,237474.125,71104.1171875,131598.109375,18658.91796875,272583.84375,5760.13037109375,19610.61328125,37369.22265625,258839.625,53013.92578125,193726.078125,20651.9609375,6907.0927734375,13305.3193359375,28638.59765625,45834.390625,2947560.0,371325.96875,1035488.75,3658264.25,11074948,5616.24755859375,71536.2109375,120263512,50303232,21203.62109375,86471.2265625,201234.21875,670240.9375,4388.96533203125,2839674.25,1133749.0,63414.9296875,494651.03125,21455.955078125,831918.6875,708.808837890625,461525.53125,448805.4375,241266.96875,972336.1875,70333.5546875,77785.0703125,17471.404296875,4206.7880859375,278300.15625,15109.681640625,146865.515625,33890.70703125,406863.75,1103997.75,58696.17578125,7271.75341796875,123446.84375,13581.625,613968.375,5876,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,203891565,24484,0,38.20623779296875,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:23:19.276,"{'cid': 'b4ce10de-76ea-4b7a-9921-2f601dc574b3', 'uuid': '18ba2b8c-558f-471d-a93a-f1798a03027b', 'annotationId': '33bd8de6-8675-415f-8b48-6fa533f8c40c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768789398917, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:23:19.150Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.81,48.67,200.0,199.44,22340093.0,1340.0,1337.84,22450138.0,60.0,58.02,22040109.0,1600.0,1599.12,21470060.0,3800.0,3801.68,24020116.0,0.0,382160.84,29.54,32.72,1009.24
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,33bd8de6-8675-415f-8b48-6fa533f8c40c,c73401ca-8616-42f7-9c0c-33e96961bdf7,1248.5455322265625,494616.40625,200812.84375,8151.919921875,7142.7255859375,26052.24609375,185400.75,181616.828125,237820.953125,71062.96875,131597.421875,18657.203125,271020.5625,5775.4814453125,19610.1875,37375.48046875,258656.234375,53001.98828125,194520.328125,20662.65625,6907.5771484375,13310.513671875,28635.740234375,45838.28515625,2950240.25,372449.75,1035657.625,3659496.0,11086960,5616.375,71675.4609375,121067784,50241116,21206.04296875,86478.5703125,201220.796875,670027.75,4389.3310546875,2837157.0,1131000.0,63416.93359375,494705.90625,21452.12890625,831132.9375,708.0532836914062,461283.53125,448214.875,241256.6875,972209.9375,70356.265625,77764.3125,17469.25,4195.505859375,278629.6875,15085.658203125,148099.046875,33886.7890625,406706.5625,1103164.0,58700.36328125,7272.513671875,123817.1328125,13585.822265625,613373.1875,6177,34.05128479003906,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,203891565,24484,0,38.20623779296875,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:23:19.577,"{'cid': 'b4ce10de-76ea-4b7a-9921-2f601dc574b3', 'uuid': '18ba2b8c-558f-471d-a93a-f1798a03027b', 'annotationId': '33bd8de6-8675-415f-8b48-6fa533f8c40c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768789398917, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:23:19.150Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.81,48.67,200.0,199.44,22340093.0,1340.0,1337.84,22450138.0,60.0,58.02,22040109.0,1600.0,1599.12,21470060.0,3800.0,3801.68,24020116.0,0.0,382160.84,29.54,32.72,1009.24
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,33bd8de6-8675-415f-8b48-6fa533f8c40c,c73401ca-8616-42f7-9c0c-33e96961bdf7,1247.9986572265625,494771.8125,200808.640625,8152.08740234375,7142.98046875,26053.484375,185304.046875,181612.546875,237535.1875,71042.71875,131600.09375,18657.212890625,270948.0625,5758.115234375,19609.369140625,37376.5234375,258539.515625,53003.65625,194261.59375,20663.724609375,6907.798828125,13307.78125,28634.103515625,45839.14453125,2953433.75,371097.65625,1035287.5,3660079.5,11099038,5617.0087890625,72770.3359375,121792296,50099068,21204.560546875,86496.8203125,201200.40625,669854.625,4388.828125,2833018.25,1128323.625,63419.07421875,494848.3125,21452.017578125,830707.9375,708.0380859375,461535.5625,448166.90625,241307.015625,972433.1875,70361.21875,77752.0625,17476.443359375,4205.2978515625,279096.78125,15142.86328125,147532.328125,33888.92578125,406793.96875,1102997.75,58701.5078125,7273.05517578125,123873.5546875,13583.5908203125,613387.875,6478,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,203891565,24484,0,38.20623779296875,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:23:19.883,"{'cid': 'b4ce10de-76ea-4b7a-9921-2f601dc574b3', 'uuid': '18ba2b8c-558f-471d-a93a-f1798a03027b', 'annotationId': '33bd8de6-8675-415f-8b48-6fa533f8c40c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768789398917, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:23:19.150Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.81,48.67,200.0,199.46,22340093.0,1340.0,1337.85,22450138.0,60.0,58.09,22040109.0,1600.0,1599.1,21470060.0,3800.0,3801.61,24020116.0,0.0,382160.84,29.54,32.72,1009.24
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,33bd8de6-8675-415f-8b48-6fa533f8c40c,c73401ca-8616-42f7-9c0c-33e96961bdf7,1248.156005859375,494591.5625,200819.203125,8151.75,7143.11669921875,26053.6875,185328.0,181617.234375,237425.09375,70965.578125,131593.109375,18657.673828125,270803.34375,5758.34228515625,19608.853515625,37373.08203125,258365.78125,52988.86328125,195511.34375,20668.47265625,6906.89501953125,13302.646484375,28632.11328125,45832.8359375,2955124.75,370474.90625,1034887.3125,3660432.5,11106541,5616.42041015625,71724.359375,122249464,49903264,21203.859375,86470.9375,201162.75,669745.75,4388.41455078125,2830581.75,1126367.25,63418.75390625,494815.875,21455.71875,830554.3125,708.3757934570312,461393.0625,447982.125,241344.234375,973015.75,70389.6875,77757.9453125,17466.685546875,4202.8935546875,278656.625,15135.83203125,147101.8125,33885.24609375,406575.0,1102984.875,58706.9921875,7273.1171875,123936.3046875,13586.4794921875,612939.0,6779,34.05128479003906,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,203891565,24484,0,38.20623779296875,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:23:20.179,"{'cid': 'b4ce10de-76ea-4b7a-9921-2f601dc574b3', 'uuid': '18ba2b8c-558f-471d-a93a-f1798a03027b', 'annotationId': '33bd8de6-8675-415f-8b48-6fa533f8c40c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768789398917, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:23:19.150Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,48.67,200.0,199.57,22340093.0,1340.0,1337.93,22450138.0,60.0,58.67,22040109.0,1600.0,1598.96,21470060.0,3800.0,3800.95,24020116.0,0.0,381824.06,29.54,32.72,1009.24
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,33bd8de6-8675-415f-8b48-6fa533f8c40c,c73401ca-8616-42f7-9c0c-33e96961bdf7,1247.515625,494771.375,200829.53125,8151.2666015625,7143.1552734375,26053.673828125,185162.890625,181617.265625,237409.328125,71009.46875,131577.46875,18657.6328125,270996.40625,5779.5,19608.525390625,37366.6484375,258192.59375,53018.76171875,195015.484375,20653.57421875,6907.083984375,13291.89453125,28626.685546875,45836.55078125,2953221.25,370538.71875,1035448.0625,3660091.25,11105797,5615.48779296875,70323.1015625,122376960,49651600,21206.943359375,86454.8828125,201173.96875,669724.125,4388.5849609375,2825020.25,1127254.625,63425.171875,494940.46875,21456.365234375,829435.4375,707.239013671875,461290.46875,447962.75,241342.65625,973946.8125,70366.328125,77746.109375,17472.7109375,4198.66748046875,278807.78125,15131.5556640625,146907.328125,33885.046875,406815.5625,1102901.5,58710.62890625,7273.46875,124025.75,13592.171875,613316.625,7080,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,203891565,24484,0,38.20623779296875,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:23:20.478,"{'cid': 'b4ce10de-76ea-4b7a-9921-2f601dc574b3', 'uuid': '18ba2b8c-558f-471d-a93a-f1798a03027b', 'annotationId': '33bd8de6-8675-415f-8b48-6fa533f8c40c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768789398917, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:23:19.150Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,48.67,200.0,199.69,22340093.0,1340.0,1338.02,22450138.0,60.0,59.26,22040109.0,1600.0,1598.82,21470060.0,3800.0,3800.29,24020116.0,0.0,381273.8,29.54,32.72,1009.24
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,33bd8de6-8675-415f-8b48-6fa533f8c40c,c73401ca-8616-42f7-9c0c-33e96961bdf7,1246.6458740234375,494677.3125,200839.359375,8150.99462890625,7142.7041015625,26054.697265625,185236.828125,181594.140625,237199.8125,71073.640625,131549.0625,18657.2734375,271513.09375,5759.18310546875,19605.115234375,37372.1640625,258424.828125,52993.55859375,195320.171875,20661.990234375,6906.59423828125,13295.166015625,28620.943359375,45835.06640625,2950031.75,369915.375,1034019.125,3659772.25,11106888,5615.75830078125,71520.359375,122372640,49392944,21203.923828125,86432.4140625,201124.1875,669744.5625,4388.1279296875,2821015.5,1128030.375,63428.62109375,494804.09375,21455.501953125,830106.625,707.947265625,461261.125,447355.5,241336.96875,974834.625,70372.3046875,77755.8828125,17471.64453125,4194.68994140625,278658.375,15163.697265625,146896.328125,33892.0625,406866.78125,1103424.25,58712.04296875,7272.4326171875,124061.0390625,13588.2333984375,612790.875,7381,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,203891565,24484,0,38.20623779296875,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:23:20.781,"{'cid': 'b4ce10de-76ea-4b7a-9921-2f601dc574b3', 'uuid': '18ba2b8c-558f-471d-a93a-f1798a03027b', 'annotationId': '33bd8de6-8675-415f-8b48-6fa533f8c40c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768789398917, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:23:19.150Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,48.66,200.0,199.81,22340093.0,1340.0,1338.1,22450138.0,60.0,59.85,22040109.0,1600.0,1598.68,21470060.0,3800.0,3799.61,24020116.0,0.0,380716.18,29.53,32.72,1009.25
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,33bd8de6-8675-415f-8b48-6fa533f8c40c,c73401ca-8616-42f7-9c0c-33e96961bdf7,1247.9808349609375,494503.34375,200801.4375,8151.20654296875,7142.3857421875,26052.5078125,185168.3125,181590.203125,237460.65625,71054.71875,131536.140625,18657.166015625,271021.09375,5776.83203125,19605.01171875,37367.84765625,258554.03125,53001.48046875,195499.234375,20657.75,6906.70556640625,13294.5380859375,28615.51953125,45837.8125,2945427.0,370969.59375,1031786.5625,3658774.25,11099062,5615.79052734375,71136.9296875,121902848,49185340,21203.330078125,86480.6796875,201156.015625,669701.1875,4386.30859375,2818278.25,1129333.0,63433.52734375,494815.78125,21453.51171875,830352.625,708.2945556640625,461337.75,447651.8125,241318.296875,975571.875,70362.9296875,77808.8125,17467.701171875,4194.28759765625,278289.78125,15125.7470703125,147285.625,33886.28515625,406962.78125,1103991.375,58713.0,7272.1630859375,124095.3828125,13584.6435546875,612747.375,7682,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,203896582,24484,0,36.719764709472656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:23:21.082,"{'cid': 'b4ce10de-76ea-4b7a-9921-2f601dc574b3', 'uuid': '18ba2b8c-558f-471d-a93a-f1798a03027b', 'annotationId': '33bd8de6-8675-415f-8b48-6fa533f8c40c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768789398917, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:23:19.150Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.81,48.65,200.0,199.82,22340093.0,1340.0,1338.18,22450138.0,60.0,59.99,22040109.0,1600.0,1598.92,21470060.0,3800.0,3799.85,24020116.0,0.0,380162.23,29.53,32.72,1009.25
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,33bd8de6-8675-415f-8b48-6fa533f8c40c,c73401ca-8616-42f7-9c0c-33e96961bdf7,1247.655517578125,494530.15625,200781.84375,8151.59716796875,7142.955078125,26050.09765625,185252.96875,181582.390625,237334.84375,71017.890625,131482.5625,18658.708984375,270477.4375,5771.2578125,19605.54296875,37364.30078125,258708.578125,52989.1484375,194516.28125,20661.451171875,6907.21337890625,13290.37109375,28613.0546875,45837.91015625,2941765.0,371365.90625,1031047.9375,3657168.25,11089029,5615.73974609375,70463.640625,121337528,49048632,21204.650390625,86485.734375,201206.15625,669806.0,4384.12060546875,2818998.5,1129107.125,63431.04296875,494950.71875,21455.04296875,830246.875,708.5587768554688,461251.625,447887.125,241311.78125,976191.875,70351.7578125,77803.6328125,17472.91015625,4200.3837890625,277030.9375,15173.8388671875,147010.703125,33887.7265625,407085.8125,1104514.5,58711.0,7272.5771484375,124086.9375,13583.875,613742.125,7983,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,203896582,24484,0,36.719764709472656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:23:21.383,"{'cid': 'b4ce10de-76ea-4b7a-9921-2f601dc574b3', 'uuid': '18ba2b8c-558f-471d-a93a-f1798a03027b', 'annotationId': '33bd8de6-8675-415f-8b48-6fa533f8c40c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768789398917, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:23:19.150Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.81,48.64,200.0,199.8,22340093.0,1340.0,1338.27,22450138.0,60.0,59.99,22040109.0,1600.0,1599.31,21470060.0,3800.0,3800.4,24020116.0,0.0,379864.53,29.52,32.72,1009.21
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,33bd8de6-8675-415f-8b48-6fa533f8c40c,c73401ca-8616-42f7-9c0c-33e96961bdf7,1247.39306640625,494082.25,200772.3125,8151.44140625,7142.763671875,26047.6640625,185304.078125,181558.359375,236918.359375,71024.96875,131494.515625,18657.26953125,270583.0625,5780.376953125,19606.689453125,37356.96484375,258283.734375,52981.828125,194285.625,20652.732421875,6907.2353515625,13305.23046875,28609.525390625,45841.58203125,2939289.75,371611.5625,1032500.875,3655202.5,11072739,5614.95361328125,70296.015625,120502840,48988580,21201.302734375,86480.1640625,201272.265625,669958.5625,4386.86181640625,2819573.0,1129660.125,63430.203125,495052.25,21454.451171875,831200.4375,707.9244995117188,461292.28125,448191.5,241277.046875,976633.9375,70334.0,77812.6171875,17477.396484375,4197.61669921875,276481.5625,15140.142578125,146983.046875,33888.25,407070.9375,1105064.0,58715.953125,7272.43408203125,123929.953125,13584.3916015625,614078.3125,8284,34.05128479003906,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,203896582,24484,0,36.719764709472656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:23:21.684,"{'cid': 'b4ce10de-76ea-4b7a-9921-2f601dc574b3', 'uuid': '18ba2b8c-558f-471d-a93a-f1798a03027b', 'annotationId': '33bd8de6-8675-415f-8b48-6fa533f8c40c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768789398917, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:23:19.150Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.8,48.63,200.0,199.77,22340093.0,1340.0,1338.35,22450138.0,60.0,59.99,22040109.0,1600.0,1599.69,21470060.0,3800.0,3800.94,24020116.0,0.0,379644.48,29.52,32.72,1009.16
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,33bd8de6-8675-415f-8b48-6fa533f8c40c,c73401ca-8616-42f7-9c0c-33e96961bdf7,1247.4412841796875,492992.21875,200708.671875,8151.0166015625,7142.50048828125,26045.724609375,185271.984375,181533.1875,237038.875,70996.0546875,131480.609375,18657.1328125,269776.40625,5773.33740234375,19603.861328125,37355.99609375,258241.96875,52991.109375,194751.640625,20655.283203125,6906.9775390625,13303.671875,28606.763671875,45835.86328125,2937844.75,371662.375,1036530.25,3654553.0,11058537,5615.45751953125,69326.171875,119619056,49018732,21203.474609375,86466.1484375,201294.421875,670037.625,4385.92529296875,2817770.0,1130191.375,63422.74609375,494366.375,21453.712890625,831495.0625,707.8178100585938,460923.0625,448156.4375,241261.453125,976991.625,70342.9765625,77789.671875,17476.123046875,4206.5400390625,276218.6875,15150.12109375,147748.890625,33883.42578125,407372.03125,1105685.0,58711.3125,7272.8955078125,124024.1171875,13585.05859375,613981.0625,8585,34.05128479003906,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,203896582,24484,0,36.719764709472656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:23:21.985,"{'cid': 'b4ce10de-76ea-4b7a-9921-2f601dc574b3', 'uuid': '18ba2b8c-558f-471d-a93a-f1798a03027b', 'annotationId': '33bd8de6-8675-415f-8b48-6fa533f8c40c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768789398917, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:23:19.150Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.81,48.64,200.0,199.76,22340093.0,1340.0,1338.7,22450138.0,60.0,60.0,22040109.0,1600.0,1599.77,21470060.0,3800.0,3801.61,24020116.0,0.0,379424.43,29.51,32.72,1009.11
