component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,T0_183225,H0_183225,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_453024,FLW0_453024,ANLT0_453024
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4cb414e8-388b-49fe-9b64-0def58c14b03,c73401ca-8616-42f7-9c0c-33e96961bdf7,1264.146240234375,499472.5625,201647.609375,8169.26318359375,7152.619140625,26098.712890625,186126.359375,183561.640625,238382.671875,72394.359375,134753.53125,18672.65234375,282543.9375,5766.4228515625,19928.52734375,37568.05078125,259435.109375,53433.39453125,194271.484375,21803.734375,6912.2431640625,13353.740234375,30874.365234375,45948.37109375,2973026.75,376634.65625,937864.125,3701666.25,11108384,5645.81787109375,73636.2734375,117264792,47209016,21313.7890625,86818.3125,199783.40625,668014.5625,4427.22998046875,2848560.75,1132680.0,63761.54296875,500864.125,21639.8984375,834957.75,731.1344604492188,485052.34375,450249.5625,243451.234375,993944.25,70692.5546875,78007.015625,17565.90234375,4464.611328125,280164.09375,15295.4404296875,146791.34375,37003.640625,408659.46875,1100858.75,58754.96875,7284.46044921875,123674.953125,13637.904296875,618123.3125,6825,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,204794612,24484,0,37.935977935791016,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 8, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:38:20.011,"{'cid': 'b8ab391b-3e5f-4671-b839-6fd665952f51', 'uuid': '929d36ed-b914-4b02-ad84-3ec0a8abe775', 'annotationId': '4cb414e8-388b-49fe-9b64-0def58c14b03', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790299582, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:38:19.796Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,322909.25,35.01,32.7,1009.07,29.88,50.08,3800.0,3799.12,24020116.0,1340.0,1338.08,22450138.0,60.0,58.1,22040109.0,1600.0,1597.12,21470060.0,200.0,197.68,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4cb414e8-388b-49fe-9b64-0def58c14b03,c73401ca-8616-42f7-9c0c-33e96961bdf7,1265.1680908203125,498125.375,201654.53125,8170.27099609375,7152.49072265625,26098.673828125,186080.171875,183536.46875,237621.859375,72537.0859375,134736.015625,18671.935546875,281644.625,5761.3154296875,19928.06640625,37573.21875,259141.78125,53426.75,195137.078125,21815.236328125,6912.0576171875,13361.078125,30873.005859375,45952.125,2969231.25,376083.71875,937532.6875,3700321.5,11102045,5644.73388671875,73885.34375,117199952,46866120,21313.5390625,86806.109375,199790.890625,667890.125,4426.09912109375,2844990.0,1135201.125,63762.640625,501023.375,21643.6484375,835555.0,730.5599975585938,485201.59375,449627.5,243467.015625,995165.0625,70666.8515625,78002.359375,17565.298828125,4461.88671875,280239.21875,15287.716796875,146505.21875,37009.42578125,409031.90625,1101695.625,58767.62109375,7283.36865234375,123524.390625,13636.0224609375,618922.9375,7126,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,204794612,24484,0,37.935977935791016,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 8, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:38:20.311,"{'cid': 'b8ab391b-3e5f-4671-b839-6fd665952f51', 'uuid': '929d36ed-b914-4b02-ad84-3ec0a8abe775', 'annotationId': '4cb414e8-388b-49fe-9b64-0def58c14b03', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790299582, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:38:19.796Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,323067.74,35.0,32.7,1009.07,29.88,50.08,3800.0,3799.12,24020116.0,1340.0,1338.08,22450138.0,60.0,58.1,22040109.0,1600.0,1597.12,21470060.0,200.0,197.68,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4cb414e8-388b-49fe-9b64-0def58c14b03,c73401ca-8616-42f7-9c0c-33e96961bdf7,1262.4837646484375,498060.59375,201627.5,8169.5458984375,7152.3232421875,26097.57421875,186023.859375,183531.671875,237759.234375,72430.96875,134732.96875,18670.279296875,281882.625,5752.65234375,19928.044921875,37564.01953125,259247.96875,53447.17578125,194129.546875,21805.41796875,6911.58251953125,13363.3544921875,30871.458984375,45948.734375,2964268.25,374920.6875,936404.4375,3698924.0,11094764,5644.91015625,72522.0625,116659832,46563520,21313.662109375,86807.2734375,199827.75,667827.6875,4425.7265625,2843015.25,1136325.0,63753.4140625,500473.5625,21641.703125,835785.25,731.2603759765625,485221.8125,450450.84375,243458.5625,996443.8125,70731.6796875,78034.421875,17574.296875,4481.0517578125,280344.09375,15288.583984375,146547.6875,37014.5859375,409084.65625,1102653.5,58769.078125,7284.109375,123555.6953125,13630.2080078125,619175.8125,7427,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,204794612,24484,0,37.935977935791016,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 8, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:38:20.612,"{'cid': 'b8ab391b-3e5f-4671-b839-6fd665952f51', 'uuid': '929d36ed-b914-4b02-ad84-3ec0a8abe775', 'annotationId': '4cb414e8-388b-49fe-9b64-0def58c14b03', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790299582, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:38:19.796Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,323226.76,34.99,32.7,1009.07,29.88,50.08,3800.0,3799.2,24020116.0,1340.0,1338.21,22450138.0,60.0,58.17,22040109.0,1600.0,1597.38,21470060.0,200.0,197.82,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4cb414e8-388b-49fe-9b64-0def58c14b03,c73401ca-8616-42f7-9c0c-33e96961bdf7,1263.5399169921875,498378.21875,201611.0,8169.06201171875,7151.958984375,26095.720703125,185948.421875,183504.171875,237478.09375,72509.5234375,134693.4375,18670.556640625,281140.8125,5747.45947265625,19931.150390625,37559.41796875,259151.9375,53436.55859375,194705.65625,21813.09375,6912.162109375,13361.2158203125,30867.880859375,45955.64453125,2960846.25,375004.15625,936651.5625,3697383.75,11054124,5644.36669921875,72575.375,115752352,46347748,21312.904296875,86799.1328125,199800.765625,667907.75,4425.7705078125,2842173.25,1137037.125,63754.30859375,500045.21875,21635.794921875,836102.8125,731.4834594726562,485390.84375,450606.15625,243448.921875,997425.1875,70700.7734375,78038.4921875,17561.796875,4468.6357421875,280493.9375,15268.7646484375,146528.0,37014.31640625,409123.71875,1103532.125,58769.59375,7284.5087890625,123532.6015625,13619.666015625,620250.625,7728,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,204794612,24484,0,37.935977935791016,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 8, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:38:20.913,"{'cid': 'b8ab391b-3e5f-4671-b839-6fd665952f51', 'uuid': '929d36ed-b914-4b02-ad84-3ec0a8abe775', 'annotationId': '4cb414e8-388b-49fe-9b64-0def58c14b03', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790299582, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:38:19.796Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,323385.78,34.98,32.7,1009.07,29.88,50.08,3800.0,3799.41,24020116.0,1340.0,1338.62,22450138.0,60.0,58.41,22040109.0,1600.0,1598.19,21470060.0,200.0,198.28,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4cb414e8-388b-49fe-9b64-0def58c14b03,c73401ca-8616-42f7-9c0c-33e96961bdf7,1263.6173095703125,498201.8125,201525.46875,8169.607421875,7151.57861328125,26095.845703125,186032.953125,183489.21875,237845.84375,72398.9453125,134663.421875,18671.392578125,280976.71875,5783.7509765625,19927.26953125,37553.05859375,259417.5625,53442.15625,194142.640625,21821.83984375,6911.96923828125,13355.98828125,30862.423828125,45949.84375,2957684.5,371890.96875,934627.375,3695403.75,11009542,5644.46728515625,71554.7734375,114713744,46226408,21315.03515625,86834.7265625,199844.265625,668187.0,4426.78173828125,2841454.5,1137226.5,63745.125,499976.96875,21641.68359375,836751.125,731.1583862304688,485461.125,450286.46875,243427.515625,997942.625,70704.8984375,78009.0546875,17561.341796875,4456.99755859375,280017.25,15243.6552734375,146757.53125,37013.9765625,409219.65625,1104617.25,58776.3125,7284.54052734375,123447.8125,13630.666015625,620019.5625,8029,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,204794612,24484,0,37.935977935791016,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 8, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:38:21.212,"{'cid': 'b8ab391b-3e5f-4671-b839-6fd665952f51', 'uuid': '929d36ed-b914-4b02-ad84-3ec0a8abe775', 'annotationId': '4cb414e8-388b-49fe-9b64-0def58c14b03', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790299582, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:38:19.796Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,323115.69,34.98,32.7,1009.07,29.89,50.08,3800.0,3799.62,24020116.0,1340.0,1339.02,22450138.0,60.0,58.64,22040109.0,1600.0,1599.0,21470060.0,200.0,198.73,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4cb414e8-388b-49fe-9b64-0def58c14b03,c73401ca-8616-42f7-9c0c-33e96961bdf7,1263.206787109375,496773.90625,201486.546875,8169.12353515625,7151.7900390625,26092.833984375,186145.0,183458.5625,237176.9375,72403.0234375,134654.46875,18669.951171875,281146.46875,5786.92138671875,19927.55078125,37540.8984375,259448.890625,53454.03125,194515.03125,21822.3515625,6912.0224609375,13358.6884765625,30861.232421875,45955.31640625,2954561.75,368081.15625,934544.3125,3692948.5,10995204,5644.06591796875,73278.25,113656320,46204964,21318.240234375,86849.65625,199883.015625,668457.8125,4426.07568359375,2841417.75,1137866.625,63733.98828125,499774.59375,21635.037109375,836144.0,731.2100830078125,485218.96875,449690.0625,243342.140625,998440.25,70689.296875,78023.6796875,17565.892578125,4469.1865234375,280324.28125,15273.2421875,146756.28125,37010.27734375,409292.21875,1105200.375,58780.44921875,7284.37841796875,123197.0078125,13625.8271484375,619953.1875,8330,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,204794612,24484,0,37.935977935791016,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 8, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:38:21.517,"{'cid': 'b8ab391b-3e5f-4671-b839-6fd665952f51', 'uuid': '929d36ed-b914-4b02-ad84-3ec0a8abe775', 'annotationId': '4cb414e8-388b-49fe-9b64-0def58c14b03', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790299582, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:38:19.796Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,322633.68,34.97,32.7,1009.07,29.89,50.08,3800.0,3799.85,24020116.0,1340.0,1339.43,22450138.0,60.0,58.88,22040109.0,1600.0,1599.82,21470060.0,200.0,199.19,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4cb414e8-388b-49fe-9b64-0def58c14b03,c73401ca-8616-42f7-9c0c-33e96961bdf7,1263.728271484375,497332.25,201456.046875,8168.52685546875,7151.74853515625,26091.40234375,186080.28125,183447.59375,236794.59375,72512.6484375,134655.59375,18672.189453125,281341.0625,5725.01171875,19931.794921875,37544.703125,259641.484375,53447.984375,194366.734375,21814.826171875,6911.685546875,13356.6298828125,30858.728515625,45948.37890625,2952695.5,369053.1875,933738.3125,3690292.25,10981143,5644.345703125,73094.5,112757400,46288668,21318.37890625,86871.1640625,199946.96875,668630.25,4425.8232421875,2842775.5,1136842.625,63718.515625,499580.25,21635.232421875,835871.1875,731.537109375,484972.90625,449344.625,243326.28125,998813.5,70727.109375,77994.296875,17554.16796875,4459.26123046875,278720.34375,15273.9931640625,147217.65625,37009.26171875,409153.9375,1105864.75,58786.51171875,7284.0283203125,123570.3671875,13630.6904296875,619389.375,8631,34.05128479003906,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,204794612,24484,0,37.935977935791016,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 8, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:38:21.816,"{'cid': 'b8ab391b-3e5f-4671-b839-6fd665952f51', 'uuid': '929d36ed-b914-4b02-ad84-3ec0a8abe775', 'annotationId': '4cb414e8-388b-49fe-9b64-0def58c14b03', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790299582, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:38:19.796Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,322161.15,34.97,32.71,1009.07,29.89,50.08,3800.0,3801.11,24020116.0,1340.0,1339.11,22450138.0,60.0,59.12,22040109.0,1600.0,1599.69,21470060.0,200.0,199.29,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4cb414e8-388b-49fe-9b64-0def58c14b03,c73401ca-8616-42f7-9c0c-33e96961bdf7,1263.6068115234375,498387.78125,201462.046875,8168.46484375,7151.421875,26089.689453125,185963.203125,183406.59375,237670.46875,72495.2421875,134659.234375,18671.365234375,282004.0,5752.42578125,19928.619140625,37545.84765625,259701.203125,53442.453125,193572.515625,21816.75390625,6912.3994140625,13362.025390625,30858.416015625,45953.11328125,2951597.75,368169.875,935815.0,3687300.0,10942864,5644.1015625,72725.0078125,112003384,46460704,21311.662109375,86849.5078125,199966.5,668740.0625,4426.36328125,2842868.5,1135003.25,63714.22265625,499529.40625,21635.9453125,834800.125,731.0557250976562,485083.5,449314.875,243263.53125,998159.625,70699.1328125,78009.6484375,17558.939453125,4469.58251953125,280647.5625,15255.61328125,147287.9375,37009.7890625,409140.0625,1106259.125,58781.3984375,7284.4638671875,123570.796875,13634.35546875,620253.5625,8932,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,204794612,24484,0,37.935977935791016,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 8, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:38:22.117,"{'cid': 'b8ab391b-3e5f-4671-b839-6fd665952f51', 'uuid': '929d36ed-b914-4b02-ad84-3ec0a8abe775', 'annotationId': '4cb414e8-388b-49fe-9b64-0def58c14b03', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790299582, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:38:19.796Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,321685.47,34.96,32.71,1009.07,29.89,50.07,3800.0,3802.37,24020116.0,1340.0,1338.78,22450138.0,60.0,59.35,22040109.0,1600.0,1599.53,21470060.0,200.0,199.39,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4cb414e8-388b-49fe-9b64-0def58c14b03,c73401ca-8616-42f7-9c0c-33e96961bdf7,1264.023193359375,497967.875,201425.125,8168.701171875,7151.181640625,26088.26171875,186016.1875,183391.515625,237116.765625,72522.2265625,134669.65625,18671.779296875,280525.9375,5744.9091796875,19931.84765625,37549.17578125,259724.421875,53453.40234375,194077.53125,21816.47265625,6911.9921875,13374.185546875,30861.697265625,45963.66796875,2950891.75,368995.34375,937469.75,3685506.0,10913802,5643.69140625,70990.7421875,111546736,46687064,21312.513671875,86850.515625,199908.0,668743.3125,4426.81591796875,2846173.25,1135597.875,63702.46484375,499504.71875,21635.314453125,834748.125,731.0776977539062,484568.125,449486.4375,243281.34375,997049.4375,70686.1875,77995.78125,17556.833984375,4447.43408203125,280586.28125,15250.0966796875,146800.859375,37001.0234375,409095.34375,1106757.5,58772.9375,7284.927734375,123507.4765625,13625.3603515625,620053.1875,9233,34.131874084472656,35.824180603027344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,204794612,24484,0,37.935977935791016,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 8, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:38:22.418,"{'cid': 'b8ab391b-3e5f-4671-b839-6fd665952f51', 'uuid': '929d36ed-b914-4b02-ad84-3ec0a8abe775', 'annotationId': '4cb414e8-388b-49fe-9b64-0def58c14b03', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790299582, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:38:19.796Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,321884.75,34.95,32.71,1009.03,29.89,50.07,3800.0,3803.64,24020116.0,1340.0,1338.44,22450138.0,60.0,59.59,22040109.0,1600.0,1599.38,21470060.0,200.0,199.48,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,4cb414e8-388b-49fe-9b64-0def58c14b03,c73401ca-8616-42f7-9c0c-33e96961bdf7,1265.2470703125,498180.90625,201451.015625,8168.44287109375,7151.29833984375,26087.74609375,186107.171875,183367.453125,238060.015625,72409.1484375,134691.640625,18671.484375,280732.8125,5771.7392578125,19930.177734375,37547.796875,259859.65625,53456.14453125,192972.78125,21811.7734375,6911.58935546875,13370.56640625,30857.5859375,45961.0,2951361.0,369036.6875,940017.3125,3685784.75,10897334,5643.869140625,71107.40625,111360960,46960964,21315.228515625,86869.6484375,199879.59375,668813.4375,4426.7685546875,2850037.25,1137627.5,63706.86328125,499407.90625,21638.064453125,834352.6875,731.4664306640625,484901.90625,449677.8125,243264.578125,995766.625,70678.421875,77979.5078125,17560.939453125,4466.20654296875,280372.4375,15253.5498046875,146425.65625,37008.60546875,409240.4375,1106935.5,58780.0078125,7284.46923828125,123471.203125,13631.01171875,620417.25,9534,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,204794612,24484,0,37.935977935791016,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 8, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:38:22.717,"{'cid': 'b8ab391b-3e5f-4671-b839-6fd665952f51', 'uuid': '929d36ed-b914-4b02-ad84-3ec0a8abe775', 'annotationId': '4cb414e8-388b-49fe-9b64-0def58c14b03', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790299582, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:38:19.796Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,322213.08,34.94,32.71,1008.98,29.89,50.07,3800.0,3803.33,24020116.0,1340.0,1338.31,22450138.0,60.0,59.71,22040109.0,1600.0,1599.23,21470060.0,200.0,199.45,22340093.0
