component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_543024,FLW0_543024,ANLT0_543024,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_453024,FLW0_453024,ANLT0_453024
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,79194da6-4f6d-4d5b-9eff-fd877110eb0a,dab1e95b-c908-4521-b496-fd3a3114acd5,1256.597900390625,500582.125,201797.171875,8172.56982421875,7154.3515625,26106.328125,186326.0625,184016.078125,239529.640625,73114.171875,136000.53125,18679.68359375,276637.46875,5682.33349609375,20108.046875,37624.32421875,259642.140625,53581.16796875,196585.78125,22018.1171875,6914.6435546875,13375.2568359375,31669.384765625,45979.27734375,2978633.25,377303.9375,908394.6875,3704468.5,10994164,5657.255859375,71715.6015625,112143832,46132984,21354.7421875,87005.890625,199633.0625,667847.375,4439.7724609375,2858849.25,1149604.125,63825.859375,500255.15625,21700.767578125,834844.5625,736.2349853515625,495818.9375,449587.4375,243940.09375,1000831.625,70796.5625,78078.1875,17605.697265625,4529.798828125,280269.53125,15165.4482421875,145276.234375,38168.26953125,409192.21875,1104347.5,58803.01171875,7285.81298828125,123703.3828125,13638.458984375,618671.8125,6132,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,205391613,24484,0,37.442291259765625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 12, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:48:19.397,"{'cid': '6d6a7472-ca4a-4b6e-8da3-bec6a5f4b883', 'uuid': '66c4bcc6-bae1-4d89-9e40-f87bc8a63829', 'annotationId': '79194da6-4f6d-4d5b-9eff-fd877110eb0a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790898825, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:48:19.053Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.9,50.01,150.0,150.49,22040109.0,1600.0,1596.8,21470060.0,3800.0,3791.92,24020116.0,1250.0,1248.24,22450138.0,0.0,304671.22,36.51,32.72,1008.94,200.0,199.12,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,79194da6-4f6d-4d5b-9eff-fd877110eb0a,dab1e95b-c908-4521-b496-fd3a3114acd5,1255.9423828125,500568.25,201853.421875,8173.0458984375,7154.00537109375,26106.125,186366.296875,184052.28125,239627.390625,73237.375,135988.0625,18680.501953125,277552.15625,5685.048828125,20110.76171875,37620.9375,259085.390625,53588.9921875,196105.65625,22034.93359375,6915.2802734375,13388.095703125,31665.009765625,45978.87109375,2980763.0,377055.78125,908270.6875,3706970.5,10996103,5656.76220703125,72873.5625,112498760,46256264,21357.5859375,86992.7734375,199604.171875,667753.0,4439.67822265625,2856442.25,1147286.75,63823.83203125,499823.1875,21704.375,835242.25,736.2477416992188,496249.4375,449598.25,243903.40625,1000406.625,70802.453125,78087.984375,17600.87109375,4543.77734375,278722.34375,15168.576171875,144930.140625,38160.08203125,409026.09375,1103069.125,58790.625,7286.4326171875,123442.8671875,13640.0146484375,617475.375,6433,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,205391613,24484,0,37.442291259765625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 12, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:48:19.697,"{'cid': '6d6a7472-ca4a-4b6e-8da3-bec6a5f4b883', 'uuid': '66c4bcc6-bae1-4d89-9e40-f87bc8a63829', 'annotationId': '79194da6-4f6d-4d5b-9eff-fd877110eb0a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790898825, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:48:19.053Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.91,50.01,150.0,150.49,22040109.0,1600.0,1596.8,21470060.0,3800.0,3791.92,24020116.0,1250.0,1248.24,22450138.0,0.0,304671.22,36.51,32.72,1008.94,200.0,199.12,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,79194da6-4f6d-4d5b-9eff-fd877110eb0a,dab1e95b-c908-4521-b496-fd3a3114acd5,1255.57421875,501072.0625,201848.5,8173.2099609375,7154.044921875,26108.470703125,186433.25,184068.625,239185.828125,73200.3125,135981.875,18680.9453125,277437.5,5691.11328125,20107.625,37628.0703125,258670.046875,53601.87890625,195117.390625,22021.421875,6914.642578125,13393.41015625,31664.982421875,45975.59765625,2983259.25,376286.8125,909820.375,3708748.75,11006731,5657.3544921875,73498.4765625,113117760,46321036,21354.666015625,87013.65625,199597.265625,667521.375,4438.828125,2854127.25,1147376.5,63827.19921875,499991.75,21698.419921875,834922.625,737.308349609375,496214.5,449219.46875,243947.625,999959.9375,70777.484375,78075.09375,17603.240234375,4546.79248046875,278418.8125,15205.115234375,145055.859375,38157.95703125,408890.53125,1102473.75,58783.203125,7286.06884765625,123531.5234375,13643.4599609375,616731.375,6734,33.970699310302734,35.824180603027344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,205391613,24484,0,37.442291259765625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 12, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:48:19.997,"{'cid': '6d6a7472-ca4a-4b6e-8da3-bec6a5f4b883', 'uuid': '66c4bcc6-bae1-4d89-9e40-f87bc8a63829', 'annotationId': '79194da6-4f6d-4d5b-9eff-fd877110eb0a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790898825, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:48:19.053Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.92,50.02,150.0,150.29,22040109.0,1600.0,1597.57,21470060.0,3800.0,3794.76,24020116.0,1250.0,1248.45,22450138.0,0.0,304417.56,36.51,32.72,1008.94,200.0,199.12,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,79194da6-4f6d-4d5b-9eff-fd877110eb0a,dab1e95b-c908-4521-b496-fd3a3114acd5,1257.4537353515625,501456.59375,201869.984375,8173.2529296875,7154.01513671875,26109.650390625,186454.21875,184078.3125,239699.03125,73109.6484375,135981.640625,18679.0625,277355.375,5695.24609375,20108.359375,37632.2109375,258951.1875,53602.6015625,194533.5625,22031.80078125,6914.890625,13378.177734375,31660.994140625,45970.29296875,2986775.25,377287.28125,909652.5,3709470.0,11018009,5657.65478515625,74898.234375,113924120,46300292,21357.552734375,87005.9609375,199564.796875,667336.6875,4439.31396484375,2851976.5,1142698.625,63832.73046875,500026.21875,21705.171875,834709.0,737.9552612304688,496240.28125,449370.34375,243986.0625,999853.125,70788.75,78018.1484375,17602.548828125,4544.5458984375,278288.75,15225.3818359375,145247.125,38153.20703125,408992.46875,1102125.25,58779.3515625,7285.94384765625,123461.8671875,13639.212890625,616935.75,7037,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,205391613,24484,0,37.442291259765625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 12, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:48:20.303,"{'cid': '6d6a7472-ca4a-4b6e-8da3-bec6a5f4b883', 'uuid': '66c4bcc6-bae1-4d89-9e40-f87bc8a63829', 'annotationId': '79194da6-4f6d-4d5b-9eff-fd877110eb0a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790898825, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:48:19.053Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.93,50.02,150.0,150.06,22040109.0,1600.0,1598.49,21470060.0,3800.0,3798.19,24020116.0,1250.0,1248.72,22450138.0,0.0,303916.79,36.5,32.72,1008.93,200.0,199.12,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,79194da6-4f6d-4d5b-9eff-fd877110eb0a,dab1e95b-c908-4521-b496-fd3a3114acd5,1256.5797119140625,501390.3125,201891.96875,8172.79052734375,7153.72998046875,26108.4609375,186496.515625,184098.953125,239811.828125,73103.921875,135991.5625,18680.583984375,277921.8125,5681.14794921875,20108.263671875,37627.8046875,258643.3125,53575.08203125,194495.015625,22026.130859375,6915.03271484375,13378.0009765625,31656.681640625,45975.70703125,2990473.5,377765.03125,910394.125,3710275.25,11027280,5658.69189453125,75116.0625,114479512,46193120,21362.14453125,86974.296875,199611.15625,667168.125,4439.9990234375,2851485.0,1143027.0,63848.734375,500398.96875,21700.642578125,834623.4375,737.3694458007812,496673.96875,449361.75,244046.140625,1000157.0,70795.6171875,78001.7109375,17601.173828125,4544.8173828125,278539.28125,15181.2646484375,147593.828125,38152.09375,409045.78125,1101723.0,58773.45703125,7286.224609375,123501.1796875,13645.9052734375,617974.8125,7336,34.05128479003906,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,205391613,24484,0,37.442291259765625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 12, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:48:20.599,"{'cid': '6d6a7472-ca4a-4b6e-8da3-bec6a5f4b883', 'uuid': '66c4bcc6-bae1-4d89-9e40-f87bc8a63829', 'annotationId': '79194da6-4f6d-4d5b-9eff-fd877110eb0a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790898825, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:48:19.053Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.94,50.02,150.0,149.84,22040109.0,1600.0,1599.38,21470060.0,3800.0,3801.5,24020116.0,1250.0,1248.98,22450138.0,0.0,303432.38,36.49,32.73,1008.93,200.0,199.12,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,79194da6-4f6d-4d5b-9eff-fd877110eb0a,dab1e95b-c908-4521-b496-fd3a3114acd5,1258.0950927734375,501451.6875,201875.46875,8173.33154296875,7154.23828125,26109.373046875,186443.53125,184115.546875,240166.828125,73038.265625,135978.703125,18680.1953125,278119.4375,5674.96484375,20108.017578125,37623.09765625,258932.09375,53561.27734375,194923.234375,22040.13671875,6914.6484375,13391.6083984375,31653.51171875,45974.40234375,2991781.25,378141.46875,909737.1875,3710357.0,11038253,5657.32421875,75203.1640625,114869336,46030908,21355.703125,86983.9375,199552.140625,667110.9375,4438.341796875,2852249.5,1139805.375,63848.08984375,500884.15625,21699.595703125,835245.25,737.1527099609375,496454.8125,449360.59375,244045.203125,1000661.125,70815.28125,78003.40625,17604.326171875,4549.501953125,278402.3125,15175.2900390625,147382.515625,38142.58984375,408920.1875,1101887.0,58777.953125,7286.39404296875,123730.375,13640.046875,618213.625,7637,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,205391613,24484,0,37.442291259765625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 12, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:48:20.901,"{'cid': '6d6a7472-ca4a-4b6e-8da3-bec6a5f4b883', 'uuid': '66c4bcc6-bae1-4d89-9e40-f87bc8a63829', 'annotationId': '79194da6-4f6d-4d5b-9eff-fd877110eb0a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790898825, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:48:19.053Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.92,50.01,150.0,149.76,22040109.0,1600.0,1599.9,21470060.0,3800.0,3803.05,24020116.0,1250.0,1249.13,22450138.0,0.0,302938.15,36.48,32.73,1008.92,200.0,199.19,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,79194da6-4f6d-4d5b-9eff-fd877110eb0a,dab1e95b-c908-4521-b496-fd3a3114acd5,1256.28759765625,501753.5625,201886.375,8173.5693359375,7154.0810546875,26108.4296875,186419.828125,184102.328125,239472.296875,73071.9296875,135944.21875,18679.4453125,277876.25,5679.2568359375,20103.66015625,37622.49609375,258918.0,53559.08984375,194958.8125,22032.578125,6914.21142578125,13394.5849609375,31646.18359375,45967.3984375,2989598.75,377296.625,908700.5,3709413.75,11045268,5656.50927734375,75033.71875,115051600,45807544,21352.408203125,87008.890625,199557.1875,667137.75,4439.0859375,2853202.5,1137203.875,63842.7265625,501025.09375,21699.8203125,836243.9375,737.9950561523438,496788.125,449614.375,244052.359375,1001340.5,70846.1171875,78037.6171875,17599.484375,4554.43701171875,280102.0625,15158.5498046875,148504.859375,38149.02734375,408990.25,1101524.75,58782.7265625,7285.63671875,123797.15625,13642.1708984375,618080.0625,7938,34.05128479003906,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,205391613,24484,0,37.442291259765625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 12, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:48:21.202,"{'cid': '6d6a7472-ca4a-4b6e-8da3-bec6a5f4b883', 'uuid': '66c4bcc6-bae1-4d89-9e40-f87bc8a63829', 'annotationId': '79194da6-4f6d-4d5b-9eff-fd877110eb0a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790898825, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:48:19.053Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.91,50.0,150.0,149.82,22040109.0,1600.0,1600.02,21470060.0,3800.0,3802.74,24020116.0,1250.0,1249.15,22450138.0,0.0,302878.31,36.47,32.73,1008.88,200.0,199.33,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,79194da6-4f6d-4d5b-9eff-fd877110eb0a,dab1e95b-c908-4521-b496-fd3a3114acd5,1257.3114013671875,501682.03125,201867.8125,8172.3125,7154.0986328125,26108.79296875,186440.890625,184082.875,239271.671875,73124.1796875,135954.171875,18680.650390625,278319.3125,5705.337890625,20107.03125,37626.796875,259077.953125,53557.62890625,195014.078125,22030.384765625,6914.478515625,13379.7041015625,31647.974609375,45961.078125,2985379.5,376681.59375,908879.875,3708489.0,11044503,5656.20263671875,75409.578125,114887816,45579432,21359.0,86979.4765625,199520.328125,667140.75,4438.88623046875,2852369.25,1136127.75,63841.59375,500737.5625,21700.30859375,836883.25,735.6002197265625,496660.46875,450719.03125,244079.1875,1002400.375,70817.515625,78058.796875,17601.80078125,4540.8388671875,280474.65625,15231.0908203125,147419.609375,38148.79296875,408938.75,1102314.25,58777.203125,7285.79052734375,123871.078125,13639.1533203125,617944.6875,8239,34.131874084472656,35.824180603027344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,205396645,24484,0,37.92502212524414,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 12, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:48:21.507,"{'cid': '6d6a7472-ca4a-4b6e-8da3-bec6a5f4b883', 'uuid': '66c4bcc6-bae1-4d89-9e40-f87bc8a63829', 'annotationId': '79194da6-4f6d-4d5b-9eff-fd877110eb0a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790898825, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:48:19.053Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.9,49.99,150.0,149.88,22040109.0,1600.0,1600.14,21470060.0,3800.0,3802.42,24020116.0,1250.0,1249.18,22450138.0,0.0,303026.17,36.47,32.73,1008.83,200.0,199.48,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,79194da6-4f6d-4d5b-9eff-fd877110eb0a,dab1e95b-c908-4521-b496-fd3a3114acd5,1257.126220703125,501023.0625,201845.78125,8172.86572265625,7153.63916015625,26107.794921875,186467.6875,184045.265625,238833.3125,73126.84375,135921.796875,18679.546875,278461.09375,5681.1337890625,20104.447265625,37627.14453125,259251.140625,53549.6171875,194340.71875,22037.173828125,6914.1640625,13389.8017578125,31646.796875,45962.97265625,2982074.0,375773.8125,906768.9375,3707305.0,11039675,5655.29345703125,74061.9375,114447984,45387324,21359.9375,86974.8203125,199573.046875,667137.875,4438.0888671875,2851915.75,1135970.625,63845.34375,500742.1875,21699.02734375,837343.3125,736.4055786132812,496748.875,449726.4375,244062.6875,1003043.75,70795.9375,78066.390625,17608.748046875,4533.44482421875,278864.375,15235.294921875,148433.609375,38153.03515625,409273.875,1103048.25,58786.1953125,7286.06591796875,123366.2734375,13646.50390625,618263.1875,8540,34.131874084472656,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,205396645,24484,0,37.92502212524414,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 12, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:48:21.807,"{'cid': '6d6a7472-ca4a-4b6e-8da3-bec6a5f4b883', 'uuid': '66c4bcc6-bae1-4d89-9e40-f87bc8a63829', 'annotationId': '79194da6-4f6d-4d5b-9eff-fd877110eb0a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790898825, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:48:19.053Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.91,50.0,150.0,149.92,22040109.0,1600.0,1600.24,21470060.0,3800.0,3802.11,24020116.0,1250.0,1249.12,22450138.0,0.0,303171.61,36.46,32.73,1008.77,200.0,199.62,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,79194da6-4f6d-4d5b-9eff-fd877110eb0a,dab1e95b-c908-4521-b496-fd3a3114acd5,1256.696533203125,500780.15625,201794.640625,8172.48583984375,7154.5439453125,26109.45703125,186414.984375,184036.5,237592.046875,73065.0078125,135899.140625,18680.24609375,279245.09375,5697.53759765625,20108.54296875,37627.6484375,258878.65625,53546.80859375,195793.8125,22011.203125,6914.16552734375,13376.033203125,31646.712890625,45958.78125,2979830.75,375911.09375,908845.9375,3705919.5,11031325,5656.1982421875,74542.5859375,113904664,45270876,21359.884765625,86981.03125,199627.8125,667267.6875,4438.73828125,2849170.5,1136638.375,63844.51953125,501411.96875,21702.517578125,837558.25,736.2044067382812,496913.53125,449693.0,244047.140625,1003639.4375,70850.953125,78029.21875,17605.0625,4535.30810546875,278552.8125,15196.4833984375,147918.515625,38149.1171875,409472.3125,1104173.875,58793.31640625,7286.40185546875,123288.890625,13642.185546875,618675.5,8841,33.80952835083008,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,205396645,24484,0,37.92502212524414,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 12, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:48:22.106,"{'cid': '6d6a7472-ca4a-4b6e-8da3-bec6a5f4b883', 'uuid': '66c4bcc6-bae1-4d89-9e40-f87bc8a63829', 'annotationId': '79194da6-4f6d-4d5b-9eff-fd877110eb0a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790898825, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:48:19.053Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.91,50.0,150.0,149.87,22040109.0,1600.0,1600.27,21470060.0,3800.0,3801.8,24020116.0,1250.0,1248.43,22450138.0,0.0,303316.56,36.45,32.73,1008.72,200.0,199.79,22340093.0
