component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_181425,FLW0_181425,ANLT0_181425,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,a1507bd2-01cc-4f0d-b9dc-99ba98278270,dab1e95b-c908-4521-b496-fd3a3114acd5,1249.0455322265625,494248.96875,201218.5625,8162.0146484375,7147.69921875,26073.5234375,185780.921875,182717.703125,237708.140625,71808.4765625,133475.75,18665.154296875,280339.6875,5707.56201171875,19775.115234375,37492.578125,259879.78125,53252.2421875,195517.53125,21052.25390625,6909.52587890625,13334.0048828125,29934.779296875,45937.9921875,2955934.5,368536.9375,975108.1875,3676865.5,11004188,5632.61572265625,71892.421875,115451632,47919348,21268.017578125,86635.421875,200277.328125,669101.875,4412.43505859375,2813271.5,1141996.625,63575.00390625,498330.34375,21558.83984375,834884.9375,719.8377075195312,475197.375,448520.125,242492.3125,986130.875,70588.203125,77854.6953125,17521.013671875,4302.65380859375,279830.03125,15138.873046875,143475.0625,35377.15234375,408158.0625,1104782.125,58673.046875,7276.81201171875,123497.375,13612.4111328125,616958.6875,6892,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,204343087,24484,0,38.11412048339844,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:30:50.243,"{'cid': '0dbab732-cb41-466f-a4c2-a28f6f7d1df4', 'uuid': '426fef07-9ba9-4eef-bb45-ca0166b2549e', 'annotationId': 'a1507bd2-01cc-4f0d-b9dc-99ba98278270', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768789849906, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:30:50.137Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.84,49.69,1600.0,1597.2,21470060.0,200.0,200.96,22340093.0,1250.0,1248.48,22450138.0,150.0,151.27,22040109.0,3800.0,3800.56,24020116.0,0.0,343970.44,32.88,32.69,1009.12
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,a1507bd2-01cc-4f0d-b9dc-99ba98278270,dab1e95b-c908-4521-b496-fd3a3114acd5,1247.8095703125,494551.5,201211.6875,8161.8388671875,7147.18359375,26075.88671875,185672.28125,182744.453125,238227.078125,71830.28125,133488.09375,18664.951171875,280728.59375,5696.72265625,19775.775390625,37489.08203125,259597.828125,53267.04296875,195048.25,21059.69140625,6909.28271484375,13327.4541015625,29931.318359375,45939.58203125,2958275.5,367911.1875,975263.5625,3679251.25,11015679,5632.50732421875,72946.515625,115968296,48087288,21271.625,86644.09375,200254.125,669098.875,4411.79248046875,2805637.5,1140266.125,63569.0625,497813.59375,21559.078125,835590.1875,720.5399780273438,475255.78125,448669.625,242505.625,985210.0,70589.6328125,77860.515625,17517.576171875,4287.7607421875,279465.875,15151.9404296875,143644.390625,35375.6875,407940.59375,1104102.5,58685.5,7276.77880859375,123607.7421875,13607.5,616617.8125,7193,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,204343087,24484,0,38.11412048339844,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:30:50.542,"{'cid': '0dbab732-cb41-466f-a4c2-a28f6f7d1df4', 'uuid': '426fef07-9ba9-4eef-bb45-ca0166b2549e', 'annotationId': 'a1507bd2-01cc-4f0d-b9dc-99ba98278270', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768789849906, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:30:50.137Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.84,49.69,1600.0,1597.2,21470060.0,200.0,200.96,22340093.0,1250.0,1248.48,22450138.0,150.0,151.27,22040109.0,3800.0,3800.56,24020116.0,0.0,343970.44,32.88,32.69,1009.12
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,a1507bd2-01cc-4f0d-b9dc-99ba98278270,dab1e95b-c908-4521-b496-fd3a3114acd5,1247.841796875,494944.75,201224.546875,8161.54345703125,7147.75341796875,26076.060546875,185692.8125,182744.046875,238115.28125,71886.4296875,133465.609375,18664.099609375,280661.28125,5688.23681640625,19778.1171875,37495.28125,259141.828125,53258.44921875,194922.8125,21066.7890625,6909.2177734375,13328.48828125,29927.458984375,45928.27734375,2959769.0,369271.84375,976059.0625,3680928.0,11029748,5631.91552734375,71933.140625,116728048,48197732,21269.15625,86621.640625,200286.609375,668933.0625,4412.50732421875,2803357.75,1140287.125,63573.15625,497977.15625,21558.3515625,835489.875,720.5045776367188,474859.0625,448537.4375,242552.8125,984511.0,70543.2890625,77861.9375,17523.623046875,4293.8955078125,279224.625,15173.8134765625,143391.984375,35375.58203125,407792.1875,1103112.875,58677.78125,7276.70068359375,123552.2421875,13607.9482421875,616672.4375,7494,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,204343087,24484,0,38.11412048339844,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:30:50.847,"{'cid': '0dbab732-cb41-466f-a4c2-a28f6f7d1df4', 'uuid': '426fef07-9ba9-4eef-bb45-ca0166b2549e', 'annotationId': 'a1507bd2-01cc-4f0d-b9dc-99ba98278270', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768789849906, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:30:50.137Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.84,49.69,1600.0,1597.21,21470060.0,200.0,200.95,22340093.0,1250.0,1248.48,22450138.0,150.0,151.27,22040109.0,3800.0,3800.56,24020116.0,0.0,343970.44,32.88,32.69,1009.12
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,a1507bd2-01cc-4f0d-b9dc-99ba98278270,dab1e95b-c908-4521-b496-fd3a3114acd5,1247.636474609375,495065.21875,201259.703125,8161.9404296875,7148.1787109375,26076.169921875,185758.640625,182789.28125,238024.40625,71977.3125,133495.5625,18663.705078125,279883.09375,5692.447265625,19779.755859375,37493.52734375,259576.78125,53243.01171875,194983.015625,21043.357421875,6909.66064453125,13321.91796875,29924.94140625,45930.42578125,2961880.25,368676.96875,974696.8125,3682125.0,11045368,5633.361328125,70394.4140625,117414192,48199340,21270.62890625,86636.140625,200258.90625,668750.875,4411.56396484375,2803167.0,1137741.375,63575.69140625,497992.8125,21559.94140625,835077.25,719.8995361328125,475097.1875,448580.84375,242558.625,984121.1875,70559.28125,77836.484375,17521.0703125,4296.45361328125,279214.34375,15162.1123046875,144233.09375,35368.91015625,407764.6875,1102660.5,58668.70703125,7276.34912109375,123768.21875,13610.51953125,616489.125,7795,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,204343087,24484,0,38.11412048339844,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:30:51.146,"{'cid': '0dbab732-cb41-466f-a4c2-a28f6f7d1df4', 'uuid': '426fef07-9ba9-4eef-bb45-ca0166b2549e', 'annotationId': 'a1507bd2-01cc-4f0d-b9dc-99ba98278270', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768789849906, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:30:50.137Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.84,49.69,1600.0,1597.57,21470060.0,200.0,200.67,22340093.0,1250.0,1248.62,22450138.0,150.0,150.8,22040109.0,3800.0,3800.44,24020116.0,0.0,343970.44,32.88,32.69,1009.12
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,a1507bd2-01cc-4f0d-b9dc-99ba98278270,dab1e95b-c908-4521-b496-fd3a3114acd5,1248.0926513671875,495129.71875,201261.59375,8161.76708984375,7147.7197265625,26078.72265625,185809.890625,182783.3125,237870.21875,71903.75,133478.015625,18664.15234375,280514.40625,5704.38134765625,19776.33984375,37493.7421875,259525.25,53237.75390625,195095.125,21046.23828125,6909.654296875,13323.8681640625,29925.119140625,45927.41796875,2965610.0,368635.40625,972984.375,3682824.25,11065660,5631.6884765625,71124.390625,118368832,48139056,21268.546875,86633.0546875,200287.84375,668581.375,4410.64697265625,2802567.0,1138949.125,63591.2421875,498127.84375,21559.046875,835289.125,719.9703979492188,475492.625,448787.9375,242572.140625,984086.1875,70562.8203125,77867.4765625,17520.998046875,4289.228515625,278791.40625,15159.5859375,143487.671875,35371.0546875,407771.90625,1102161.0,58674.52734375,7276.11962890625,123736.7890625,13613.32421875,616590.75,8096,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,204343087,24484,0,38.11412048339844,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:30:51.447,"{'cid': '0dbab732-cb41-466f-a4c2-a28f6f7d1df4', 'uuid': '426fef07-9ba9-4eef-bb45-ca0166b2549e', 'annotationId': 'a1507bd2-01cc-4f0d-b9dc-99ba98278270', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768789849906, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:30:50.137Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.84,49.68,1600.0,1597.93,21470060.0,200.0,200.38,22340093.0,1250.0,1248.77,22450138.0,150.0,150.34,22040109.0,3800.0,3800.32,24020116.0,0.0,343597.01,32.88,32.69,1009.12
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,a1507bd2-01cc-4f0d-b9dc-99ba98278270,dab1e95b-c908-4521-b496-fd3a3114acd5,1248.0465087890625,494603.53125,201278.703125,8162.078125,7147.8896484375,26078.083984375,185826.03125,182781.84375,237874.34375,71953.2109375,133454.265625,18663.91015625,279962.25,5723.29736328125,19777.25,37492.76953125,259506.9375,53220.63671875,194643.453125,21061.16015625,6909.1953125,13329.24609375,29921.173828125,45916.296875,2967782.0,368698.46875,971118.0625,3683491.0,11077875,5632.740234375,73316.4609375,118840824,48002900,21270.771484375,86614.375,200231.75,668462.25,4413.16064453125,2802240.25,1136886.875,63594.33984375,499104.34375,21559.900390625,836396.5625,719.5440673828125,475239.90625,448779.25,242632.265625,984691.5625,70590.6953125,77861.9375,17532.375,4296.23046875,279216.625,15164.1943359375,143168.953125,35366.15234375,407712.46875,1101870.0,58675.44921875,7276.6103515625,123626.3515625,13610.171875,616637.125,8397,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,204343087,24484,0,38.11412048339844,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:30:51.751,"{'cid': '0dbab732-cb41-466f-a4c2-a28f6f7d1df4', 'uuid': '426fef07-9ba9-4eef-bb45-ca0166b2549e', 'annotationId': 'a1507bd2-01cc-4f0d-b9dc-99ba98278270', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768789849906, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:30:50.137Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.84,49.68,1600.0,1598.29,21470060.0,200.0,200.09,22340093.0,1250.0,1248.91,22450138.0,150.0,149.87,22040109.0,3800.0,3800.2,24020116.0,0.0,343053.85,32.87,32.69,1009.13
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,a1507bd2-01cc-4f0d-b9dc-99ba98278270,dab1e95b-c908-4521-b496-fd3a3114acd5,1246.6744384765625,496240.8125,201293.390625,8161.49609375,7147.41943359375,26077.890625,185780.21875,182779.8125,238003.015625,72101.9765625,133448.953125,18663.33984375,280207.9375,5710.439453125,19779.357421875,37492.91015625,259322.71875,53218.046875,194681.09375,21067.30078125,6909.71630859375,13329.8642578125,29913.32421875,45921.49609375,2965917.5,369163.40625,970188.3125,3683381.0,11080645,5631.955078125,73563.875,118934840,47756896,21263.39453125,86599.15625,200173.90625,668381.8125,4411.42919921875,2802135.0,1138430.75,63592.88671875,498602.59375,21560.208984375,837300.875,720.3360595703125,475292.5,448712.8125,242610.78125,985821.0625,70603.640625,77851.3671875,17521.8203125,4298.94921875,279407.5625,15142.4384765625,143140.890625,35363.69921875,407818.3125,1102059.625,58685.76953125,7276.28369140625,123892.59375,13611.7890625,616828.8125,8699,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,204343087,24484,0,38.11412048339844,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:30:52.050,"{'cid': '0dbab732-cb41-466f-a4c2-a28f6f7d1df4', 'uuid': '426fef07-9ba9-4eef-bb45-ca0166b2549e', 'annotationId': 'a1507bd2-01cc-4f0d-b9dc-99ba98278270', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768789849906, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:30:50.137Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.83,49.67,1600.0,1598.53,21470060.0,200.0,200.13,22340093.0,1250.0,1248.99,22450138.0,150.0,149.8,22040109.0,3800.0,3799.9,24020116.0,0.0,342519.61,32.87,32.69,1009.13
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,a1507bd2-01cc-4f0d-b9dc-99ba98278270,dab1e95b-c908-4521-b496-fd3a3114acd5,1247.0550537109375,496654.40625,201261.3125,8161.71875,7147.056640625,26077.064453125,185739.90625,182761.375,237767.578125,72178.8203125,133405.0,18664.109375,281006.46875,5692.619140625,19776.98828125,37492.3125,259150.1875,53227.56640625,194749.515625,21053.962890625,6909.1005859375,13329.7822265625,29905.83984375,45917.609375,2962149.5,370445.8125,969951.8125,3682542.25,11077163,5631.8212890625,74540.796875,118706080,47530332,21271.03515625,86608.9453125,200221.96875,668360.75,4411.23388671875,2801583.5,1138729.75,63592.48828125,498773.25,21557.626953125,837991.25,720.6337280273438,475540.5,448685.59375,242606.640625,987074.0,70653.6328125,77864.7578125,17525.177734375,4301.99169921875,279181.3125,15134.3408203125,143113.09375,35365.42578125,408007.46875,1102398.0,58687.12109375,7276.6796875,123752.8828125,13609.5107421875,616919.875,9000,34.05128479003906,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,204343087,24484,0,38.11412048339844,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:30:52.351,"{'cid': '0dbab732-cb41-466f-a4c2-a28f6f7d1df4', 'uuid': '426fef07-9ba9-4eef-bb45-ca0166b2549e', 'annotationId': 'a1507bd2-01cc-4f0d-b9dc-99ba98278270', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768789849906, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:30:50.137Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.83,49.67,1600.0,1598.72,21470060.0,200.0,200.32,22340093.0,1250.0,1249.04,22450138.0,150.0,149.93,22040109.0,3800.0,3799.49,24020116.0,0.0,341981.81,32.86,32.69,1009.14
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,a1507bd2-01cc-4f0d-b9dc-99ba98278270,dab1e95b-c908-4521-b496-fd3a3114acd5,1247.6253662109375,496591.34375,201237.125,8161.14599609375,7147.0673828125,26073.736328125,185664.953125,182767.671875,237561.390625,72155.40625,133386.421875,18662.677734375,281625.1875,5711.3134765625,19772.353515625,37496.92578125,259203.296875,53226.66015625,195712.890625,21074.69140625,6908.74853515625,13332.1865234375,29903.390625,45924.94921875,2958334.0,370513.5625,970207.4375,3681600.5,11070312,5630.80419921875,72446.1796875,118306168,47356144,21268.34375,86642.6015625,200239.15625,668428.3125,4412.5126953125,2802883.0,1139048.875,63590.078125,498337.03125,21559.8125,837766.375,720.9429321289062,475302.375,448572.03125,242588.6875,988088.0625,70586.09375,77916.4609375,17522.033203125,4291.48681640625,278417.625,15117.931640625,143532.4375,35371.6484375,408128.5625,1103027.0,58690.13671875,7276.732421875,123711.6328125,13612.255859375,616844.1875,9301,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,204348104,24484,0,36.76789855957031,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:30:52.652,"{'cid': '0dbab732-cb41-466f-a4c2-a28f6f7d1df4', 'uuid': '426fef07-9ba9-4eef-bb45-ca0166b2549e', 'annotationId': 'a1507bd2-01cc-4f0d-b9dc-99ba98278270', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768789849906, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:30:50.137Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,49.66,1600.0,1598.91,21470060.0,200.0,200.51,22340093.0,1250.0,1249.09,22450138.0,150.0,150.07,22040109.0,3800.0,3799.08,24020116.0,0.0,342062.38,32.86,32.69,1009.09
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,a1507bd2-01cc-4f0d-b9dc-99ba98278270,dab1e95b-c908-4521-b496-fd3a3114acd5,1247.003173828125,496614.78125,201197.03125,8161.302734375,7147.68994140625,26074.158203125,185707.78125,182719.1875,236878.296875,72155.2109375,133371.640625,18663.708984375,281146.6875,5697.7529296875,19770.720703125,37486.11328125,259291.53125,53230.03515625,195910.8125,21027.15234375,6909.1416015625,13328.39453125,29902.6484375,45921.078125,2955372.75,369437.53125,971971.5,3680331.75,11060474,5631.88330078125,72951.578125,117640592,47240432,21266.755859375,86612.2578125,200251.9375,668481.0625,4410.52001953125,2805467.75,1134315.125,63595.0703125,497890.0,21560.0390625,838131.6875,721.8628540039062,475013.25,448568.0,242603.1875,988589.0625,70620.3046875,77922.75,17517.345703125,4294.52197265625,277405.25,15144.7294921875,143555.171875,35372.7734375,408091.875,1104197.625,58694.1015625,7276.35546875,123648.890625,13602.94921875,617028.1875,9602,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,204348104,24484,0,36.76789855957031,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 5, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:30:52.954,"{'cid': '0dbab732-cb41-466f-a4c2-a28f6f7d1df4', 'uuid': '426fef07-9ba9-4eef-bb45-ca0166b2549e', 'annotationId': 'a1507bd2-01cc-4f0d-b9dc-99ba98278270', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768789849906, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:30:50.137Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,49.66,1600.0,1599.2,21470060.0,200.0,200.66,22340093.0,1250.0,1249.16,22450138.0,150.0,150.12,22040109.0,3800.0,3798.65,24020116.0,0.0,342249.44,32.85,32.69,1009.04
