component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_181425,FLW0_181425,ANLT0_181425,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,b8c143db-000f-402d-a4d2-747b1bbaffae,dab1e95b-c908-4521-b496-fd3a3114acd5,1286.574462890625,500706.4375,202209.046875,8181.75634765625,7161.716796875,26123.392578125,186808.234375,184641.25,239870.453125,73416.09375,137894.796875,18692.9453125,279410.9375,5746.576171875,20488.123046875,37708.5859375,258213.78125,54068.44140625,195427.078125,22124.71875,6917.17919921875,13416.8662109375,32536.673828125,46022.91015625,2981501.5,377575.8125,821584.1875,3716614.75,11005920,5670.185546875,69078.2578125,110821040,44712020,21400.71875,87172.046875,200090.765625,666060.9375,4455.41845703125,2917164.75,1137121.5,64031.1484375,501303.8125,21801.619140625,841006.5,752.725830078125,506557.09375,450514.21875,244575.171875,1014853.0,70974.5390625,78381.953125,17650.072265625,4739.92236328125,281740.59375,15321.9912109375,149442.59375,39159.8359375,411331.59375,1105625.375,58890.93359375,7297.20166015625,124959.8828125,13641.7578125,622688.875,6060,34.05128479003906,35.824180603027344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207343195,24484,0,36.89495468139648,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:20:49.267,"{'cid': 'c092b03d-2f33-4ea1-9246-d603e9540344', 'uuid': '1b56bea1-02b8-4413-af45-b56f7ca0b64b', 'annotationId': 'b8c143db-000f-402d-a4d2-747b1bbaffae', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768792848749, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:20:48.972Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",30.04,49.75,1250.0,1248.88,22450138.0,1600.0,1597.12,21470060.0,150.0,148.84,22040109.0,200.0,202.0,22340093.0,3800.0,3806.16,24020116.0,0.0,285794.03,37.9,32.83,1008.5
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,b8c143db-000f-402d-a4d2-747b1bbaffae,dab1e95b-c908-4521-b496-fd3a3114acd5,1285.5809326171875,500639.15625,202207.609375,8182.32080078125,7161.484375,26124.96875,186802.25,184640.390625,240059.75,73371.6484375,137881.546875,18693.7421875,277344.46875,5743.78662109375,20486.974609375,37704.4453125,258509.28125,54053.69921875,195475.90625,22125.47265625,6917.14892578125,13408.12109375,32534.5390625,46016.89453125,2980180.0,378240.78125,820721.5625,3714137.0,10992279,5671.1025390625,68019.8828125,110115312,44757024,21397.951171875,87159.9375,200054.265625,666221.375,4454.421875,2912842.25,1139022.75,64017.57421875,501029.875,21801.994140625,840227.1875,752.943359375,506158.5,451122.5625,244578.84375,1015153.1875,71004.34375,78342.7421875,17648.267578125,4747.083984375,281939.0,15345.6591796875,149869.140625,39154.140625,411179.78125,1106063.875,58880.90625,7297.4853515625,124851.46875,13649.03125,622875.0,6359,34.212459564208984,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207343195,24484,0,36.89495468139648,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:20:49.565,"{'cid': 'c092b03d-2f33-4ea1-9246-d603e9540344', 'uuid': '1b56bea1-02b8-4413-af45-b56f7ca0b64b', 'annotationId': 'b8c143db-000f-402d-a4d2-747b1bbaffae', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768792848749, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:20:48.972Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",30.04,49.75,1250.0,1248.88,22450138.0,1600.0,1597.12,21470060.0,150.0,148.84,22040109.0,200.0,202.0,22340093.0,3800.0,3806.16,24020116.0,0.0,285794.03,37.9,32.83,1008.5
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,b8c143db-000f-402d-a4d2-747b1bbaffae,dab1e95b-c908-4521-b496-fd3a3114acd5,1286.2010498046875,500440.0625,202194.90625,8182.236328125,7161.72802734375,26126.583984375,186757.34375,184648.078125,240017.53125,73428.4921875,137948.171875,18694.142578125,275834.0,5726.15576171875,20485.208984375,37710.00390625,258049.0625,54063.56640625,195783.8125,22125.740234375,6917.806640625,13399.4052734375,32539.94921875,46024.48046875,2982386.25,378672.25,820189.0,3717326.0,10998418,5670.25732421875,66044.25,110384432,45311360,21401.63671875,87147.0703125,200011.140625,666082.9375,4455.27001953125,2911068.25,1136493.5,64015.5859375,500959.34375,21802.51171875,839816.875,751.5109252929688,505857.5625,450623.40625,244554.609375,1014135.625,70945.5390625,78365.8203125,17645.5078125,4747.02978515625,281890.375,15346.4599609375,149869.390625,39157.09375,410721.875,1106127.625,58873.62890625,7297.14111328125,124752.9140625,13653.341796875,622707.1875,6663,34.131874084472656,35.90476608276367,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207343195,24484,0,36.89495468139648,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:20:49.870,"{'cid': 'c092b03d-2f33-4ea1-9246-d603e9540344', 'uuid': '1b56bea1-02b8-4413-af45-b56f7ca0b64b', 'annotationId': 'b8c143db-000f-402d-a4d2-747b1bbaffae', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768792848749, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:20:48.972Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",30.04,49.75,1250.0,1248.91,22450138.0,1600.0,1597.49,21470060.0,150.0,149.03,22040109.0,200.0,201.61,22340093.0,3800.0,3805.07,24020116.0,0.0,285794.03,37.9,32.83,1008.5
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,b8c143db-000f-402d-a4d2-747b1bbaffae,dab1e95b-c908-4521-b496-fd3a3114acd5,1284.4376220703125,500256.0625,202210.5,8181.80908203125,7162.025390625,26123.2109375,186818.9375,184650.140625,239561.75,73446.8515625,137950.140625,18693.638671875,275938.21875,5723.603515625,20487.123046875,37708.48046875,257916.640625,54063.30859375,196053.578125,22155.568359375,6918.13037109375,13403.6943359375,32538.94140625,46028.40625,2984295.5,375729.03125,821446.875,3718800.25,10994509,5670.77880859375,66393.3125,110234864,45474024,21399.162109375,87143.640625,200003.546875,666167.1875,4452.35693359375,2912299.75,1136532.0,64015.7890625,500990.5,21802.89453125,839198.375,751.8494873046875,505634.0625,450667.65625,244515.796875,1012671.6875,70926.953125,78369.453125,17643.255859375,4750.93359375,281922.6875,15320.94140625,148996.359375,39145.7890625,410822.5,1105960.875,58870.48828125,7297.70556640625,124948.9296875,13629.3291015625,623077.75,6962,34.29304504394531,35.824180603027344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207343195,24484,0,36.89495468139648,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:20:50.169,"{'cid': 'c092b03d-2f33-4ea1-9246-d603e9540344', 'uuid': '1b56bea1-02b8-4413-af45-b56f7ca0b64b', 'annotationId': 'b8c143db-000f-402d-a4d2-747b1bbaffae', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768792848749, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:20:48.972Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",30.05,49.74,1250.0,1248.96,22450138.0,1600.0,1598.03,21470060.0,150.0,149.32,22040109.0,200.0,201.01,22340093.0,3800.0,3803.39,24020116.0,0.0,285605.12,37.9,32.83,1008.5
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,b8c143db-000f-402d-a4d2-747b1bbaffae,dab1e95b-c908-4521-b496-fd3a3114acd5,1285.1746826171875,500161.65625,202230.59375,8181.93505859375,7162.06298828125,26124.212890625,186867.46875,184660.953125,239621.421875,73495.4609375,138001.484375,18695.369140625,277366.03125,5724.6953125,20483.9140625,37714.8984375,258417.84375,54076.61328125,196345.0625,22174.58984375,6917.87353515625,13410.9150390625,32540.806640625,46028.546875,2986214.75,377281.15625,822135.625,3721664.25,10994961,5670.849609375,67674.0859375,110352488,45602852,21396.740234375,87143.046875,199969.59375,666232.9375,4453.35546875,2913140.25,1135002.75,64013.90625,500637.59375,21802.67578125,839562.125,752.0159301757812,505516.625,450353.65625,244514.78125,1011399.625,70960.40625,78365.8203125,17648.498046875,4751.88330078125,281700.90625,15303.76953125,149119.0,39137.10546875,410362.4375,1105331.375,58870.72265625,7296.85546875,124856.8515625,13632.89453125,622723.0,7263,34.131874084472656,35.90476608276367,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207343195,24484,0,36.89495468139648,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:20:50.470,"{'cid': 'c092b03d-2f33-4ea1-9246-d603e9540344', 'uuid': '1b56bea1-02b8-4413-af45-b56f7ca0b64b', 'annotationId': 'b8c143db-000f-402d-a4d2-747b1bbaffae', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768792848749, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:20:48.972Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",30.05,49.73,1250.0,1249.01,22450138.0,1600.0,1598.58,21470060.0,150.0,149.61,22040109.0,200.0,200.42,22340093.0,3800.0,3801.69,24020116.0,0.0,285233.47,37.91,32.83,1008.5
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,b8c143db-000f-402d-a4d2-747b1bbaffae,dab1e95b-c908-4521-b496-fd3a3114acd5,1284.81689453125,500867.21875,202264.578125,8182.54638671875,7161.98974609375,26124.33203125,186836.453125,184687.15625,239738.34375,73536.1171875,137922.21875,18693.921875,276851.3125,5734.38037109375,20484.544921875,37719.08203125,258175.796875,54055.3203125,196603.0,22146.244140625,6918.28271484375,13428.837890625,32536.521484375,46022.51953125,2987368.0,375244.8125,824216.9375,3724011.75,11001029,5671.2353515625,68595.734375,110731032,45677868,21396.1484375,87127.921875,199940.59375,666226.125,4452.95556640625,2912226.0,1134541.875,64008.0625,500913.09375,21802.19921875,839624.9375,751.838623046875,505788.375,450498.90625,244518.609375,1010777.6875,70927.328125,78373.2734375,17646.728515625,4751.080078125,280732.8125,15356.1806640625,148733.703125,39129.19921875,410636.75,1104238.25,58861.8828125,7296.63037109375,124768.171875,13642.25390625,622279.75,7564,34.131874084472656,35.824180603027344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207343195,24484,0,36.89495468139648,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:20:50.772,"{'cid': 'c092b03d-2f33-4ea1-9246-d603e9540344', 'uuid': '1b56bea1-02b8-4413-af45-b56f7ca0b64b', 'annotationId': 'b8c143db-000f-402d-a4d2-747b1bbaffae', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768792848749, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:20:48.972Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",30.05,49.73,1250.0,1249.05,22450138.0,1600.0,1599.01,21470060.0,150.0,149.82,22040109.0,200.0,200.12,22340093.0,3800.0,3800.27,24020116.0,0.0,284860.59,37.92,32.84,1008.5
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,b8c143db-000f-402d-a4d2-747b1bbaffae,dab1e95b-c908-4521-b496-fd3a3114acd5,1284.40576171875,500458.25,202283.40625,8182.51611328125,7161.912109375,26126.111328125,186829.40625,184744.625,239826.03125,73462.28125,137970.5,18694.326171875,276512.65625,5751.62939453125,20482.814453125,37721.328125,258324.859375,54057.21484375,196522.40625,22140.939453125,6917.556640625,13431.0947265625,32533.466796875,46011.8046875,2990616.5,377017.03125,823885.1875,3724846.25,11015124,5671.00390625,68571.8359375,111518528,45927548,21400.31640625,87123.40625,199972.015625,665999.875,4453.75634765625,2907028.75,1135045.875,64016.40625,500906.5,21801.5859375,839788.6875,750.8306884765625,506243.625,450756.0625,244564.96875,1010383.75,70941.34375,78360.7578125,17643.0625,4750.453125,280177.3125,15360.07421875,148646.609375,39123.21875,410621.6875,1103371.25,58880.72265625,7296.26123046875,124760.078125,13645.5205078125,621151.0,7867,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207343195,24484,0,36.89495468139648,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:20:51.074,"{'cid': 'c092b03d-2f33-4ea1-9246-d603e9540344', 'uuid': '1b56bea1-02b8-4413-af45-b56f7ca0b64b', 'annotationId': 'b8c143db-000f-402d-a4d2-747b1bbaffae', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768792848749, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:20:48.972Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",30.03,49.73,1250.0,1249.07,22450138.0,1600.0,1599.15,21470060.0,150.0,149.85,22040109.0,200.0,200.5,22340093.0,3800.0,3799.52,24020116.0,0.0,284487.71,37.93,32.84,1008.5
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,b8c143db-000f-402d-a4d2-747b1bbaffae,dab1e95b-c908-4521-b496-fd3a3114acd5,1284.404296875,500638.90625,202286.171875,8182.5625,7162.0263671875,26126.345703125,186823.65625,184713.625,239106.125,73512.65625,137980.984375,18695.599609375,276628.8125,5734.14404296875,20483.677734375,37726.14453125,257673.328125,54057.0625,196393.890625,22079.365234375,6917.79443359375,13428.4130859375,32534.33203125,46013.7421875,2992765.0,376547.65625,823707.0625,3726045.75,11025016,5671.35595703125,68424.65625,112121296,45821492,21403.287109375,87122.2109375,199885.859375,665860.5625,4452.58349609375,2904677.75,1134026.125,64023.94921875,501100.125,21801.732421875,840333.0625,752.3955688476562,506611.96875,451144.0625,244601.9375,1010213.5,70941.1484375,78321.15625,17645.826171875,4753.07421875,280220.46875,15339.529296875,148202.546875,39130.3046875,410541.34375,1102708.25,58882.59375,7296.169921875,124786.7578125,13648.259765625,620620.1875,8166,34.05128479003906,35.90476608276367,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207343195,24484,0,36.89495468139648,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:20:51.373,"{'cid': 'c092b03d-2f33-4ea1-9246-d603e9540344', 'uuid': '1b56bea1-02b8-4413-af45-b56f7ca0b64b', 'annotationId': 'b8c143db-000f-402d-a4d2-747b1bbaffae', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768792848749, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:20:48.972Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",30.02,49.72,1250.0,1249.1,22450138.0,1600.0,1599.29,21470060.0,150.0,149.87,22040109.0,200.0,200.88,22340093.0,3800.0,3798.79,24020116.0,0.0,284451.29,37.93,32.84,1008.47
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,b8c143db-000f-402d-a4d2-747b1bbaffae,dab1e95b-c908-4521-b496-fd3a3114acd5,1285.420166015625,501282.84375,202285.046875,8183.16162109375,7161.6005859375,26127.26171875,186789.203125,184710.578125,239620.296875,73515.5703125,137930.703125,18693.900390625,276275.53125,5729.29150390625,20478.33984375,37721.0390625,258007.21875,54054.44921875,196694.90625,22092.84765625,6917.8544921875,13435.83203125,32534.6640625,46009.234375,2991080.5,376506.9375,822601.3125,3725865.75,11029075,5671.134765625,69084.1875,112352048,45648280,21405.244140625,87118.9609375,199873.171875,665738.8125,4453.1044921875,2901880.75,1134006.125,64034.87890625,501935.0625,21803.5546875,840583.125,752.3189697265625,506538.71875,451289.3125,244622.59375,1010632.375,70954.640625,78290.8046875,17639.962890625,4767.1025390625,281544.84375,15314.02734375,148800.8125,39128.4453125,410267.6875,1102596.5,58875.75,7296.5498046875,124697.9609375,13640.4609375,620829.0,8469,34.212459564208984,35.824180603027344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207343195,24484,0,36.89495468139648,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:20:51.679,"{'cid': 'c092b03d-2f33-4ea1-9246-d603e9540344', 'uuid': '1b56bea1-02b8-4413-af45-b56f7ca0b64b', 'annotationId': 'b8c143db-000f-402d-a4d2-747b1bbaffae', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768792848749, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:20:48.972Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",30.01,49.72,1250.0,1249.12,22450138.0,1600.0,1599.44,21470060.0,150.0,149.9,22040109.0,200.0,201.27,22340093.0,3800.0,3798.04,24020116.0,0.0,284582.6,37.93,32.84,1008.41
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,b8c143db-000f-402d-a4d2-747b1bbaffae,dab1e95b-c908-4521-b496-fd3a3114acd5,1284.3408203125,502501.15625,202316.5625,8183.4541015625,7161.40380859375,26126.60546875,186879.171875,184716.875,239393.859375,73437.609375,137926.484375,18694.765625,276821.6875,5718.0634765625,20483.71484375,37724.38671875,258260.9375,54045.671875,197442.328125,22115.03515625,6917.7626953125,13422.4208984375,32536.697265625,46014.9140625,2992781.5,376979.8125,821073.875,3725894.0,11034602,5670.029296875,68538.4921875,112670976,45421644,21400.533203125,87118.765625,199902.5,665701.125,4453.0458984375,2900180.25,1134864.75,64035.63671875,501499.03125,21803.255859375,841258.5,752.9534301757812,506510.25,451384.34375,244664.984375,1011521.8125,70946.5625,78318.5625,17642.88671875,4770.62255859375,281725.96875,15312.9716796875,148366.0625,39125.27734375,410148.65625,1102607.5,58866.92578125,7296.796875,124857.984375,13645.482421875,620778.0,8768,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,207343195,24484,0,36.89495468139648,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-14RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:20:51.975,"{'cid': 'c092b03d-2f33-4ea1-9246-d603e9540344', 'uuid': '1b56bea1-02b8-4413-af45-b56f7ca0b64b', 'annotationId': 'b8c143db-000f-402d-a4d2-747b1bbaffae', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768792848749, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:20:48.972Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",30.02,49.73,1250.0,1249.33,22450138.0,1600.0,1599.44,21470060.0,150.0,149.94,22040109.0,200.0,201.03,22340093.0,3800.0,3798.25,24020116.0,0.0,284709.61,37.92,32.84,1008.36
