component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_453024,FLW0_453024,ANLT0_453024
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,b7b33a88-c1ab-4a85-bd1b-f19179cf14ed,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1285.2801513671875,502529.09375,202176.78125,8180.68701171875,7160.37939453125,26119.533203125,186522.34375,184455.65625,240073.296875,73500.09375,137230.15625,18687.080078125,278058.6875,5785.65234375,20342.76953125,37688.78125,261212.09375,53872.97265625,195785.46875,22192.490234375,6916.0869140625,13382.8876953125,32300.123046875,45978.671875,2978532.25,375463.6875,850409.0,3717371.0,11005788,5665.80908203125,73366.4609375,111740520,45741896,21390.9140625,87017.9921875,199448.828125,666630.9375,4449.984375,2917557.25,1164194.75,63958.890625,500635.15625,21772.44921875,835452.8125,748.0048828125,502886.1875,450188.78125,244308.75,1007133.375,70896.765625,78170.1015625,17637.7109375,4674.04833984375,277563.5625,15303.4306640625,149197.8125,38832.08203125,409846.78125,1102251.75,58830.15234375,7294.7705078125,123845.8125,13677.0673828125,622165.1875,6290,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,206440165,24484,0,37.01644134521485,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 19, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:05:49.453,"{'cid': '2bb8419f-954f-4f15-b71c-12cd66e12469', 'uuid': '721539ff-35b7-44a9-b5be-e10b4519f518', 'annotationId': 'b7b33a88-c1ab-4a85-bd1b-f19179cf14ed', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768791949096, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:05:49.315Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",30.0,49.91,0.0,296725.59,37.5,32.8,1008.56,210.0,207.54,22040109.0,1600.0,1597.6,21470060.0,3800.0,3802.4,24020116.0,1190.0,1187.84,22450138.0,200.0,200.24,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,b7b33a88-c1ab-4a85-bd1b-f19179cf14ed,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1284.5386962890625,502339.6875,202216.65625,8180.55322265625,7160.890625,26121.08203125,186648.21875,184493.8125,240110.234375,73463.6875,137296.828125,18689.265625,278616.28125,5790.90380859375,20342.70703125,37693.0625,261038.015625,53865.7109375,195997.21875,22193.365234375,6916.1572265625,13417.5810546875,32294.65234375,45977.60546875,2982218.25,378700.40625,850678.125,3719308.75,11025763,5665.3212890625,72423.5,112814720,45739456,21394.265625,87007.0625,199411.734375,666261.25,4449.97412109375,2913466.5,1162534.875,63966.6328125,500579.25,21773.00390625,837123.125,746.7665405273438,502622.03125,450682.34375,244360.28125,1006729.375,70898.84375,78168.921875,17640.69921875,4686.16943359375,278029.71875,15298.8310546875,148854.984375,38832.3828125,409946.625,1101495.625,58822.796875,7294.05859375,123709.3671875,13669.681640625,621444.625,6591,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,206440165,24484,0,37.01644134521485,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 19, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:05:49.754,"{'cid': '2bb8419f-954f-4f15-b71c-12cd66e12469', 'uuid': '721539ff-35b7-44a9-b5be-e10b4519f518', 'annotationId': 'b7b33a88-c1ab-4a85-bd1b-f19179cf14ed', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768791949096, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:05:49.315Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",30.0,49.91,0.0,296725.59,37.5,32.8,1008.56,210.0,207.54,22040109.0,1600.0,1597.6,21470060.0,3800.0,3802.4,24020116.0,1190.0,1187.84,22450138.0,200.0,200.24,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,b7b33a88-c1ab-4a85-bd1b-f19179cf14ed,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1284.1646728515625,501574.40625,202226.953125,8180.3447265625,7160.541015625,26122.107421875,186701.84375,184490.265625,239368.65625,73417.609375,137321.96875,18688.578125,279228.125,5791.228515625,20343.052734375,37692.7421875,260776.875,53863.49609375,195892.15625,22195.05859375,6916.2421875,13376.953125,32290.69921875,45977.0546875,2985817.5,378824.5625,847698.3125,3720770.25,11039737,5664.5087890625,72505.0546875,113676880,45635028,21395.525390625,87023.8515625,199466.453125,666029.5,4448.267578125,2904605.0,1163806.25,63978.69140625,501006.875,21769.55078125,838571.3125,747.4886474609375,502829.6875,451121.09375,244436.390625,1006489.5,70886.6796875,78172.9375,17639.822265625,4679.3388671875,278162.5,15319.6494140625,148711.796875,38831.35546875,410230.3125,1100802.125,58828.9609375,7294.42333984375,123807.1953125,13667.9794921875,620942.125,6892,34.131874084472656,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,206445168,24484,0,37.10992431640625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 19, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:05:50.059,"{'cid': '2bb8419f-954f-4f15-b71c-12cd66e12469', 'uuid': '721539ff-35b7-44a9-b5be-e10b4519f518', 'annotationId': 'b7b33a88-c1ab-4a85-bd1b-f19179cf14ed', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768791949096, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:05:49.315Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",30.0,49.91,0.0,296691.83,37.5,32.8,1008.56,210.0,207.64,22040109.0,1600.0,1597.63,21470060.0,3800.0,3802.27,24020116.0,1190.0,1187.86,22450138.0,200.0,200.2,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,b7b33a88-c1ab-4a85-bd1b-f19179cf14ed,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1285.019775390625,502136.46875,202235.4375,8180.451171875,7160.4091796875,26123.5234375,186624.34375,184506.875,239852.765625,73521.2890625,137301.34375,18688.908203125,278992.40625,5801.4560546875,20348.416015625,37690.546875,260619.8125,53868.453125,195245.59375,22196.5625,6915.73193359375,13397.4501953125,32284.0,45969.23046875,2989841.75,380177.5625,848517.0,3721521.0,11052878,5664.15625,72910.5078125,114417208,45403472,21384.6875,87060.6328125,199456.96875,665876.75,4448.283203125,2896262.75,1163754.125,63986.98828125,501241.875,21773.41015625,838786.6875,746.6431884765625,503068.3125,450453.375,244472.296875,1007253.0625,70903.7578125,78179.4453125,17645.771484375,4689.62060546875,278270.84375,15251.19140625,149226.171875,38836.04296875,410205.96875,1100103.75,58835.9296875,7294.17333984375,123734.9765625,13664.453125,621134.5625,7193,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,206445168,24484,0,37.10992431640625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 19, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:05:50.356,"{'cid': '2bb8419f-954f-4f15-b71c-12cd66e12469', 'uuid': '721539ff-35b7-44a9-b5be-e10b4519f518', 'annotationId': 'b7b33a88-c1ab-4a85-bd1b-f19179cf14ed', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768791949096, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:05:49.315Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",30.0,49.91,0.0,296622.69,37.5,32.8,1008.55,210.0,208.38,22040109.0,1600.0,1597.83,21470060.0,3800.0,3801.19,24020116.0,1190.0,1188.05,22450138.0,200.0,199.85,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,b7b33a88-c1ab-4a85-bd1b-f19179cf14ed,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1284.7542724609375,501342.25,202264.96875,8180.935546875,7161.30517578125,26124.3828125,186663.53125,184511.34375,239712.6875,73491.3671875,137313.3125,18688.25,279053.9375,5791.31591796875,20345.435546875,37685.9296875,260335.234375,53867.58984375,194746.859375,22185.15625,6915.69384765625,13412.1953125,32278.75,45965.0078125,2988909.25,378739.46875,850949.25,3721054.75,11060829,5664.3955078125,72793.3828125,114694048,45133372,21388.697265625,87036.453125,199505.796875,665857.9375,4449.40185546875,2898634.25,1162355.625,63986.3984375,501264.375,21767.5546875,839919.5625,746.9461669921875,502949.34375,450929.125,244490.984375,1008696.3125,70887.625,78206.1953125,17639.75390625,4685.07177734375,278696.53125,15259.3134765625,148571.734375,38829.28125,410152.15625,1099826.25,58840.26171875,7294.60546875,123782.2421875,13666.9501953125,620911.6875,7494,34.05128479003906,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,206445168,24484,0,37.10992431640625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 19, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:05:50.656,"{'cid': '2bb8419f-954f-4f15-b71c-12cd66e12469', 'uuid': '721539ff-35b7-44a9-b5be-e10b4519f518', 'annotationId': 'b7b33a88-c1ab-4a85-bd1b-f19179cf14ed', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768791949096, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:05:49.315Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",30.0,49.91,0.0,296552.85,37.49,32.8,1008.55,210.0,209.12,22040109.0,1600.0,1598.03,21470060.0,3800.0,3800.1,24020116.0,1190.0,1188.24,22450138.0,200.0,199.49,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,b7b33a88-c1ab-4a85-bd1b-f19179cf14ed,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1284.6583251953125,502069.125,202238.484375,8180.7041015625,7160.54638671875,26126.66796875,186769.84375,184509.0,239892.390625,73490.8671875,137265.34375,18687.98046875,277469.21875,5791.66015625,20341.828125,37679.2265625,260513.734375,53861.6171875,195524.9375,22164.64453125,6916.30078125,13414.880859375,32278.20703125,45963.36328125,2983348.0,378479.3125,853347.5,3719779.25,11058179,5664.6533203125,71940.203125,114424760,44848580,21394.107421875,87044.1875,199521.96875,665846.8125,4448.69970703125,2896522.5,1160308.125,63988.8515625,501310.34375,21770.919921875,839998.0625,747.1257934570312,502850.15625,450659.375,244518.421875,1010316.125,70911.71875,78167.71875,17640.51171875,4688.0966796875,278889.75,15261.0185546875,148352.5625,38827.34765625,410409.5,1100597.25,58842.17578125,7294.26318359375,123868.7265625,13644.2431640625,620333.75,7795,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,206445168,24484,0,37.10992431640625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 19, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:05:50.959,"{'cid': '2bb8419f-954f-4f15-b71c-12cd66e12469', 'uuid': '721539ff-35b7-44a9-b5be-e10b4519f518', 'annotationId': 'b7b33a88-c1ab-4a85-bd1b-f19179cf14ed', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768791949096, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:05:49.315Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",30.0,49.9,0.0,296482.31,37.49,32.8,1008.54,210.0,209.88,22040109.0,1600.0,1598.23,21470060.0,3800.0,3798.99,24020116.0,1190.0,1188.43,22450138.0,200.0,199.13,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,b7b33a88-c1ab-4a85-bd1b-f19179cf14ed,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1285.4267578125,502862.5625,202214.984375,8180.1630859375,7160.716796875,26124.44140625,186662.109375,184499.328125,240080.453125,73454.6328125,137221.3125,18688.212890625,278638.96875,5794.03662109375,20341.19140625,37683.4140625,260138.96875,53853.99609375,195372.015625,22180.51953125,6915.697265625,13425.7109375,32274.224609375,45962.5703125,2978313.0,378438.59375,852996.5,3718284.75,11052741,5664.66015625,72900.703125,113963880,44618696,21393.98046875,87063.8671875,199550.859375,665828.5625,4449.1611328125,2898487.25,1161681.875,63990.15625,500885.34375,21768.837890625,840147.75,747.8206787109375,502909.9375,450082.34375,244495.671875,1011464.6875,70891.3359375,78188.375,17645.140625,4681.5888671875,279734.5625,15236.361328125,148386.296875,38832.15625,410661.375,1101860.625,58843.83203125,7294.57373046875,123743.546875,13658.443359375,620645.0,8096,34.05128479003906,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,206445168,24484,0,37.10992431640625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 19, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:05:51.258,"{'cid': '2bb8419f-954f-4f15-b71c-12cd66e12469', 'uuid': '721539ff-35b7-44a9-b5be-e10b4519f518', 'annotationId': 'b7b33a88-c1ab-4a85-bd1b-f19179cf14ed', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768791949096, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:05:49.315Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",30.0,49.89,0.0,296152.77,37.49,32.8,1008.51,210.0,210.05,22040109.0,1600.0,1598.44,21470060.0,3800.0,3798.76,24020116.0,1190.0,1188.74,22450138.0,200.0,199.48,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,b7b33a88-c1ab-4a85-bd1b-f19179cf14ed,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1286.08984375,502689.5625,202182.265625,8180.50146484375,7160.22021484375,26123.658203125,186662.796875,184460.96875,239291.625,73448.0625,137131.296875,18686.94921875,278736.90625,5814.87109375,20340.384765625,37674.59375,260676.625,53843.33203125,195830.28125,22171.671875,6915.6552734375,13421.5654296875,32276.80078125,45962.40625,2975197.25,379067.0625,857761.6875,3716524.25,11040518,5663.55517578125,72905.4609375,113138304,44469120,21394.3984375,87073.8984375,199597.90625,666010.8125,4449.68212890625,2890274.75,1163006.125,63992.0,500671.875,21768.666015625,841276.5625,748.0931396484375,503023.0625,450561.1875,244495.078125,1012406.0,70901.3828125,78184.375,17639.416015625,4682.6142578125,278933.40625,15233.357421875,148334.640625,38827.25390625,410668.3125,1103204.375,58844.99609375,7294.69189453125,123756.859375,13651.9169921875,620883.875,8397,34.131874084472656,35.824180603027344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,206445168,24484,0,37.10992431640625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 19, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:05:51.563,"{'cid': '2bb8419f-954f-4f15-b71c-12cd66e12469', 'uuid': '721539ff-35b7-44a9-b5be-e10b4519f518', 'annotationId': 'b7b33a88-c1ab-4a85-bd1b-f19179cf14ed', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768791949096, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:05:49.315Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",30.0,49.88,0.0,295747.24,37.48,32.8,1008.46,210.0,210.07,22040109.0,1600.0,1598.64,21470060.0,3800.0,3798.8,24020116.0,1190.0,1189.11,22450138.0,200.0,200.08,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,b7b33a88-c1ab-4a85-bd1b-f19179cf14ed,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1285.568603515625,499899.09375,202117.0625,8180.60107421875,7159.98583984375,26120.95703125,186636.109375,184435.6875,239687.484375,73613.390625,137220.09375,18686.1484375,277469.53125,5796.92578125,20339.62890625,37667.9296875,260390.046875,53860.12109375,195857.40625,22174.0546875,6916.087890625,13411.1943359375,32279.103515625,45957.95703125,2971434.25,376936.75,854949.375,3713604.25,11023810,5664.22119140625,74504.1328125,112063864,44418616,21398.927734375,87088.8671875,199600.34375,666352.0625,4447.82958984375,2886102.5,1163850.875,63987.36328125,500549.46875,21769.32421875,841594.0,746.634521484375,503123.4375,450566.875,244454.09375,1012972.0,70931.265625,78164.34375,17636.43359375,4670.30078125,279799.28125,15240.095703125,148768.265625,38837.22265625,410562.1875,1104473.625,58854.69140625,7295.71533203125,123611.1796875,13655.736328125,621501.625,8698,34.212459564208984,35.90476608276367,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,206445168,24484,0,37.10992431640625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 19, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:05:51.860,"{'cid': '2bb8419f-954f-4f15-b71c-12cd66e12469', 'uuid': '721539ff-35b7-44a9-b5be-e10b4519f518', 'annotationId': 'b7b33a88-c1ab-4a85-bd1b-f19179cf14ed', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768791949096, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:05:49.315Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",30.0,49.89,0.0,295352.35,37.48,32.8,1008.42,210.0,210.08,22040109.0,1600.0,1598.84,21470060.0,3800.0,3798.85,24020116.0,1190.0,1189.46,22450138.0,200.0,200.67,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,b7b33a88-c1ab-4a85-bd1b-f19179cf14ed,5a6d44c8-343a-44d2-a653-7d545c1d04d9,1285.0035400390625,500018.59375,202104.234375,8180.56005859375,7159.83935546875,26119.259765625,186589.578125,184387.734375,240148.328125,73495.515625,137222.984375,18686.587890625,277730.8125,5804.79541015625,20339.021484375,37671.9453125,260487.890625,53865.87890625,195634.21875,22174.841796875,6915.5888671875,13423.751953125,32281.861328125,45960.33203125,2969013.75,373009.0,855169.375,3710575.5,11003951,5664.16455078125,74260.7890625,110923096,44496768,21401.705078125,87073.359375,199581.09375,666552.6875,4449.27734375,2889556.25,1163465.75,63970.81640625,500586.5,21769.4296875,842271.0625,745.7913208007812,502999.21875,450908.28125,244414.515625,1013529.1875,70935.921875,78207.8671875,17644.509765625,4681.63623046875,278990.90625,15242.3701171875,148345.90625,38836.05859375,410751.1875,1105247.125,58860.43359375,7295.625,123625.6875,13662.7783203125,621618.375,8999,34.05128479003906,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,206445168,24484,0,37.10992431640625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 19, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 03:05:52.161,"{'cid': '2bb8419f-954f-4f15-b71c-12cd66e12469', 'uuid': '721539ff-35b7-44a9-b5be-e10b4519f518', 'annotationId': 'b7b33a88-c1ab-4a85-bd1b-f19179cf14ed', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768791949096, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T03:05:49.315Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.99,49.9,0.0,294952.14,37.47,32.8,1008.38,210.0,210.08,22040109.0,1600.0,1599.07,21470060.0,3800.0,3798.37,24020116.0,1190.0,1189.61,22450138.0,200.0,200.94,22340093.0
