component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_183624,FLW0_183624,ANLT0_183624
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,37d5737d-d71a-4191-ad8b-743b83eab156,afe24904-dd20-4a91-963d-dcdbae1125c8,1274.4097900390625,501390.3125,201817.828125,8174.060546875,7154.54052734375,26102.697265625,186223.34375,183842.65625,238906.265625,72837.03125,135500.28125,18676.0546875,275773.46875,5779.31103515625,20023.4375,37609.14453125,259157.515625,53553.17578125,194377.09375,21925.318359375,6912.4560546875,13385.513671875,31322.9296875,45937.66796875,2984046.25,375807.0,917201.5,3706182.5,10944674,5651.09716796875,69634.03125,116448496,45840808,21334.94921875,86960.1875,199551.65625,667622.0625,4431.876953125,2842934.5,1146027.375,63793.20703125,499975.34375,21672.544921875,836127.625,734.7201538085938,491272.84375,451702.34375,243825.40625,998784.375,70796.015625,78102.21875,17598.73828125,4540.23486328125,280854.5,15216.287109375,142683.390625,37742.09765625,409441.46875,1103643.0,58810.0,7288.0888671875,123458.875,13652.5234375,616041.875,5517,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,205090599,24484,0,37.36073303222656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:43:18.952,"{'cid': '602d3e4b-265c-405c-9762-99fd94d751a1', 'uuid': '2e6ee325-5132-443b-8708-68a16240c9a4', 'annotationId': '37d5737d-d71a-4191-ad8b-743b83eab156', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790598083, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:43:18.306Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.88,50.02,0.0,312355.52,35.93,32.7,1009.07,200.0,200.4,22340093.0,3800.0,3802.0,24020116.0,1600.0,1597.52,21470060.0,1130.0,1128.32,22450138.0,270.0,270.16,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,37d5737d-d71a-4191-ad8b-743b83eab156,afe24904-dd20-4a91-963d-dcdbae1125c8,1274.8447265625,500930.5,201816.375,8173.87744140625,7154.29052734375,26101.806640625,186271.171875,183857.609375,239096.40625,72836.4296875,135479.328125,18676.01171875,275007.09375,5792.1884765625,20020.462890625,37603.7109375,259218.671875,53552.39453125,194857.6875,21927.31640625,6912.63330078125,13391.205078125,31322.75,45940.17578125,2980157.75,375682.84375,915351.0625,3705265.75,10924647,5651.36669921875,70147.375,116209544,45628476,21333.38671875,86958.1328125,199584.15625,667596.6875,4430.2421875,2842713.0,1146825.5,63787.01171875,499894.71875,21670.0859375,836722.3125,734.6422729492188,491106.9375,451082.40625,243824.21875,999885.625,70770.8984375,78101.4453125,17603.298828125,4545.59912109375,280931.28125,15254.986328125,143647.4375,37740.72265625,409354.53125,1103758.5,58802.6171875,7287.9794921875,123582.015625,13658.345703125,616748.375,5818,34.05128479003906,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,205090599,24484,0,37.36073303222656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:43:19.253,"{'cid': '602d3e4b-265c-405c-9762-99fd94d751a1', 'uuid': '2e6ee325-5132-443b-8708-68a16240c9a4', 'annotationId': '37d5737d-d71a-4191-ad8b-743b83eab156', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790598083, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:43:18.306Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.89,50.02,0.0,311985.42,35.92,32.7,1009.06,200.0,200.06,22340093.0,3800.0,3801.65,24020116.0,1600.0,1598.02,21470060.0,1130.0,1128.42,22450138.0,270.0,270.16,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,37d5737d-d71a-4191-ad8b-743b83eab156,afe24904-dd20-4a91-963d-dcdbae1125c8,1274.1370849609375,501154.46875,201766.875,8173.52490234375,7153.982421875,26100.146484375,186244.609375,183840.625,238679.984375,72850.0,135456.25,18675.703125,274934.375,5789.5380859375,20022.96484375,37597.60546875,259303.40625,53557.25390625,194270.9375,21914.220703125,6912.45263671875,13395.30078125,31321.712890625,45939.4453125,2976557.25,377527.09375,914457.3125,3704175.75,10914093,5651.35009765625,70634.0625,115835216,45476952,21335.365234375,86971.7421875,199648.359375,667594.9375,4432.81640625,2842609.0,1148650.0,63776.015625,499839.21875,21669.76953125,837383.875,734.1965942382812,491338.3125,451186.65625,243814.328125,1000759.25,70793.953125,78063.9765625,17602.1015625,4526.978515625,280891.21875,15238.9482421875,143289.859375,37745.8828125,409503.5625,1104642.5,58807.82421875,7288.904296875,123582.265625,13648.8671875,616923.0625,6119,34.05128479003906,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,205090599,24484,0,37.36073303222656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:43:19.554,"{'cid': '602d3e4b-265c-405c-9762-99fd94d751a1', 'uuid': '2e6ee325-5132-443b-8708-68a16240c9a4', 'annotationId': '37d5737d-d71a-4191-ad8b-743b83eab156', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790598083, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:43:18.306Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.9,50.01,0.0,311615.32,35.91,32.7,1009.05,200.0,199.66,22340093.0,3800.0,3801.21,24020116.0,1600.0,1598.64,21470060.0,1130.0,1128.53,22450138.0,270.0,270.16,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,37d5737d-d71a-4191-ad8b-743b83eab156,afe24904-dd20-4a91-963d-dcdbae1125c8,1275.0701904296875,500471.125,201700.71875,8173.52099609375,7153.96826171875,26099.494140625,186185.28125,183820.0,238586.546875,72834.5,135453.109375,18676.443359375,275294.03125,5788.32470703125,20023.59375,37603.20703125,259463.53125,53545.93359375,194509.125,21916.77734375,6912.701171875,13387.73046875,31319.7734375,45933.7421875,2973760.25,375848.625,911823.75,3702405.0,10915879,5652.4541015625,70194.1640625,115423952,45360452,21333.458984375,86972.5,199696.875,667603.5,4431.4970703125,2838957.0,1147089.875,63784.30078125,500439.0625,21672.28515625,836125.0625,734.4464111328125,491031.21875,450682.125,243798.515625,1000985.875,70779.2890625,78058.6328125,17599.115234375,4534.96044921875,281133.03125,15262.8388671875,144068.6875,37745.70703125,409639.3125,1106052.125,58811.4140625,7288.85595703125,123843.9921875,13659.1376953125,616597.375,6420,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,205090599,24484,0,37.36073303222656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:43:19.855,"{'cid': '602d3e4b-265c-405c-9762-99fd94d751a1', 'uuid': '2e6ee325-5132-443b-8708-68a16240c9a4', 'annotationId': '37d5737d-d71a-4191-ad8b-743b83eab156', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790598083, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:43:18.306Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.9,50.01,0.0,311245.22,35.9,32.7,1009.04,200.0,199.25,22340093.0,3800.0,3800.77,24020116.0,1600.0,1599.26,21470060.0,1130.0,1128.65,22450138.0,270.0,270.16,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,37d5737d-d71a-4191-ad8b-743b83eab156,afe24904-dd20-4a91-963d-dcdbae1125c8,1275.7379150390625,500601.90625,201669.5,8173.6142578125,7153.744140625,26098.326171875,186160.3125,183786.3125,238163.40625,72817.78125,135446.34375,18674.638671875,274230.25,5794.01171875,20021.89453125,37594.34375,259387.046875,53572.29296875,195614.734375,21934.796875,6912.1640625,13374.044921875,31318.03515625,45937.2734375,2970926.25,375272.8125,911738.25,3700915.75,10907098,5651.0,70550.21875,114787400,45326120,21335.693359375,86959.4609375,199680.3125,667820.375,4430.10205078125,2836711.5,1151146.5,63784.10546875,500110.0625,21669.91015625,835923.1875,734.845703125,490666.09375,451273.8125,243778.484375,1001371.5,70782.2265625,78095.46875,17590.748046875,4540.880859375,279750.9375,15217.625,144398.34375,37741.08203125,409426.65625,1106602.5,58815.70703125,7289.71728515625,123601.234375,13657.390625,615543.3125,6721,34.05128479003906,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,205090599,24484,0,37.36073303222656,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:43:20.158,"{'cid': '602d3e4b-265c-405c-9762-99fd94d751a1', 'uuid': '2e6ee325-5132-443b-8708-68a16240c9a4', 'annotationId': '37d5737d-d71a-4191-ad8b-743b83eab156', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790598083, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:43:18.306Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.89,50.01,0.0,311287.98,35.88,32.7,1009.01,200.0,199.08,22340093.0,3800.0,3800.33,24020116.0,1600.0,1599.7,21470060.0,1130.0,1128.98,22450138.0,270.0,270.15,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,37d5737d-d71a-4191-ad8b-743b83eab156,afe24904-dd20-4a91-963d-dcdbae1125c8,1275.8458251953125,500548.125,201644.46875,8173.287109375,7153.7412109375,26096.796875,186210.015625,183781.5,238432.484375,72752.53125,135433.796875,18674.74609375,274450.21875,5792.32763671875,20022.25,37592.8828125,259146.828125,53574.890625,194221.75,21937.912109375,6913.26513671875,13391.716796875,31319.66796875,45943.0859375,2968817.75,375616.5,912358.5,3699010.0,10873485,5649.68603515625,70102.640625,113897480,45386592,21332.35546875,86968.9296875,199737.578125,667970.625,4431.26220703125,2837666.75,1150438.875,63773.78125,499944.96875,21666.962890625,835855.625,734.7698974609375,490812.34375,451804.40625,243762.0,1001621.5,70788.40625,78095.9453125,17601.6328125,4534.3330078125,281014.90625,15226.8173828125,143966.859375,37739.6875,409512.0,1106915.625,58823.4296875,7288.80517578125,123525.9921875,13645.1748046875,614466.625,7022,34.05128479003906,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,205095631,24484,0,37.92330551147461,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:43:20.459,"{'cid': '602d3e4b-265c-405c-9762-99fd94d751a1', 'uuid': '2e6ee325-5132-443b-8708-68a16240c9a4', 'annotationId': '37d5737d-d71a-4191-ad8b-743b83eab156', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790598083, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:43:18.306Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.88,50.0,0.0,311751.31,35.87,32.7,1008.96,200.0,199.15,22340093.0,3800.0,3799.89,24020116.0,1600.0,1599.91,21470060.0,1130.0,1129.55,22450138.0,270.0,270.13,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,37d5737d-d71a-4191-ad8b-743b83eab156,afe24904-dd20-4a91-963d-dcdbae1125c8,1274.8009033203125,500794.59375,201692.84375,8173.6923828125,7154.13330078125,26096.86328125,186243.984375,183769.015625,238871.953125,72795.6328125,135426.265625,18676.857421875,274751.4375,5787.70654296875,20022.056640625,37592.1875,259180.953125,53570.93359375,194017.5,21940.228515625,6913.18115234375,13385.1328125,31316.58203125,45944.74609375,2967437.5,375366.28125,914081.5,3696429.25,10853646,5650.49462890625,69577.4140625,113258512,45527344,21339.728515625,86929.21875,199746.0,668079.0625,4433.33203125,2841078.0,1149353.375,63768.26171875,500181.625,21669.9140625,835910.625,734.5845336914062,491007.4375,451288.6875,243731.234375,1001694.4375,70754.390625,78123.8046875,17598.71484375,4542.7001953125,279557.75,15256.7060546875,144158.21875,37740.2265625,409636.5,1107095.75,58816.1484375,7288.97412109375,123735.546875,13645.9697265625,614719.125,7323,33.80952835083008,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,205095631,24484,0,37.92330551147461,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:43:20.760,"{'cid': '602d3e4b-265c-405c-9762-99fd94d751a1', 'uuid': '2e6ee325-5132-443b-8708-68a16240c9a4', 'annotationId': '37d5737d-d71a-4191-ad8b-743b83eab156', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790598083, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:43:18.306Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.88,50.0,0.0,312214.64,35.86,32.7,1008.91,200.0,199.22,22340093.0,3800.0,3799.46,24020116.0,1600.0,1600.13,21470060.0,1130.0,1130.13,22450138.0,270.0,270.1,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,37d5737d-d71a-4191-ad8b-743b83eab156,afe24904-dd20-4a91-963d-dcdbae1125c8,1275.956787109375,500760.75,201677.875,8173.80908203125,7153.603515625,26095.986328125,186245.140625,183775.609375,238750.625,72752.6953125,135438.03125,18675.42578125,275901.09375,5787.35107421875,20020.47265625,37600.5234375,259284.640625,53569.7265625,193901.015625,21921.09375,6912.68994140625,13389.7158203125,31320.591796875,45948.984375,2966230.75,375068.09375,914191.6875,3696357.5,10857139,5651.3583984375,68372.5078125,112852944,45701956,21337.775390625,86978.2109375,199790.953125,668161.9375,4431.71337890625,2842243.0,1147084.125,63759.66015625,500061.125,21668.0859375,834840.5625,735.8291015625,490964.84375,451202.71875,243702.890625,1001093.875,70757.84375,78087.796875,17597.583984375,4550.234375,280514.1875,15222.4423828125,142979.84375,37740.13671875,409570.65625,1107373.375,58822.1796875,7288.84326171875,123422.46875,13645.7109375,615596.25,7624,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,205095631,24484,0,37.92330551147461,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:43:21.066,"{'cid': '602d3e4b-265c-405c-9762-99fd94d751a1', 'uuid': '2e6ee325-5132-443b-8708-68a16240c9a4', 'annotationId': '37d5737d-d71a-4191-ad8b-743b83eab156', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790598083, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:43:18.306Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.88,50.0,0.0,312685.67,35.85,32.7,1008.86,200.0,199.3,22340093.0,3800.0,3799.01,24020116.0,1600.0,1600.23,21470060.0,1130.0,1130.63,22450138.0,270.0,270.07,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,37d5737d-d71a-4191-ad8b-743b83eab156,afe24904-dd20-4a91-963d-dcdbae1125c8,1275.97705078125,500829.375,201693.984375,8173.8486328125,7153.57763671875,26097.34765625,186183.15625,183748.875,238828.421875,72762.40625,135444.90625,18676.486328125,275307.46875,5781.25830078125,20020.517578125,37597.984375,259398.890625,53565.109375,193698.75,21926.865234375,6913.0498046875,13390.779296875,31317.77734375,45958.45703125,2966002.75,375590.53125,915853.6875,3696768.0,10853999,5651.71240234375,68849.7421875,112677048,45923192,21338.154296875,86982.2734375,199752.1875,668191.0,4432.400390625,2844218.0,1145563.375,63758.7265625,499937.0625,21670.04296875,835362.1875,735.7437744140625,491015.0,451278.3125,243703.96875,999902.8125,70741.0390625,78030.484375,17599.5234375,4542.45361328125,280721.625,15231.6376953125,143861.828125,37740.40625,409338.90625,1107417.25,58824.5859375,7289.166015625,123516.6328125,13655.7470703125,614968.25,7925,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,205095631,24484,0,37.92330551147461,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:43:21.362,"{'cid': '602d3e4b-265c-405c-9762-99fd94d751a1', 'uuid': '2e6ee325-5132-443b-8708-68a16240c9a4', 'annotationId': '37d5737d-d71a-4191-ad8b-743b83eab156', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790598083, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:43:18.306Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.89,49.99,0.0,312707.12,35.84,32.7,1008.85,200.0,199.44,22340093.0,3800.0,3798.58,24020116.0,1600.0,1599.55,21470060.0,1130.0,1130.57,22450138.0,270.0,270.0,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,37d5737d-d71a-4191-ad8b-743b83eab156,afe24904-dd20-4a91-963d-dcdbae1125c8,1277.2012939453125,500729.09375,201670.40625,8174.14453125,7153.81201171875,26098.55859375,186211.375,183777.609375,238783.765625,72840.890625,135445.34375,18675.841796875,275595.59375,5781.630859375,20017.369140625,37595.38671875,259573.765625,53567.76171875,193780.234375,21928.599609375,6913.212890625,13395.03515625,31319.3359375,45957.9296875,2968223.75,376051.46875,914513.375,3698153.0,10844513,5650.90576171875,69563.484375,112761024,46129232,21337.904296875,86979.7421875,199746.328125,668191.875,4431.24462890625,2845927.5,1145398.625,63762.03125,500086.9375,21673.873046875,834965.125,735.4125366210938,491185.5625,450751.9375,243691.109375,998938.875,70795.234375,78057.484375,17607.748046875,4546.79638671875,280753.0,15236.2451171875,143800.46875,37737.359375,409193.0,1106951.5,58813.625,7288.46630859375,123570.8125,13661.1572265625,614850.125,8226,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,205095631,24484,0,37.92330551147461,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-14RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '14rh', 'identifier': 'cOR84', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-19 02:43:21.662,"{'cid': '602d3e4b-265c-405c-9762-99fd94d751a1', 'uuid': '2e6ee325-5132-443b-8708-68a16240c9a4', 'annotationId': '37d5737d-d71a-4191-ad8b-743b83eab156', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768790598083, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-19T02:43:18.306Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.89,49.99,0.0,312632.88,35.84,32.7,1008.85,200.0,199.59,22340093.0,3800.0,3798.14,24020116.0,1600.0,1598.86,21470060.0,1130.0,1130.51,22450138.0,270.0,269.93,22040109.0
