component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_181425,FLW0_181425,ANLT0_181425
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6010fd8b-359c-46df-ab87-9b9422b417d0,820d6ab3-9911-43b7-9492-cf7c373fe35e,1408.4935302734375,479460.96875,197935.078125,8116.90283203125,7128.56494140625,25918.599609375,182516.921875,174590.609375,232399.515625,68226.03125,123357.328125,18660.775390625,270446.8125,6689.8916015625,18942.365234375,36798.53515625,259056.859375,51732.7890625,190377.375,19287.947265625,6899.955078125,13193.41796875,25751.501953125,45441.25390625,2871685.5,348042.5,1485946.5,3477147.5,11233134,5509.78662109375,70035.8046875,144833056,65894256,20843.8515625,85876.71875,202025.609375,672984.625,4290.91650390625,2825416.25,1129848.0,62653.03515625,483496.09375,20984.548828125,826529.3125,689.9353637695312,417158.46875,440330.03125,234472.78125,911988.625,69120.890625,76980.4921875,17074.88671875,4171.8359375,273722.375,14909.5341796875,141837.90625,31338.701171875,400739.8125,1098349.5,58497.796875,7299.4345703125,122094.7265625,13603.369140625,597849.875,5155,33.56776809692383,35.17948913574219,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187692068,24484,0,37.03432083129883,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-3RH-75ccm-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 8, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:53:18.463,"{'cid': 'c869a6c0-c093-4da9-b8a1-aae588afa1bc', 'uuid': '4c323474-e457-48a1-8efd-2ceb6f56211c', 'annotationId': '6010fd8b-359c-46df-ab87-9b9422b417d0', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773198100, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:53:18.323Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.47,8.74,0.0,598655.38,9.36,31.71,1009.92,1400.0,1396.72,22450138.0,3700.0,3700.72,22340093.0,1600.0,1597.92,21470060.0,0.0,0.0,22040109.0,300.0,301.04,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6010fd8b-359c-46df-ab87-9b9422b417d0,820d6ab3-9911-43b7-9492-cf7c373fe35e,1407.9462890625,480584.875,197967.796875,8116.87158203125,7128.654296875,25919.96484375,182524.390625,174598.40625,232348.875,68218.3125,123362.0859375,18658.380859375,271381.9375,6685.38037109375,18943.30078125,36799.1484375,259045.9375,51764.26171875,190809.21875,19290.32421875,6899.96826171875,13200.775390625,25753.3671875,45439.91796875,2874038.5,344642.1875,1488538.625,3479546.25,11242788,5510.2001953125,69645.515625,145613936,66162296,20845.72265625,85897.234375,202028.703125,672869.3125,4289.65234375,2829462.5,1127611.125,62653.26171875,483370.15625,20985.60546875,825730.9375,689.6677856445312,417187.40625,440631.15625,234462.046875,911876.0,69122.078125,77027.03125,17070.751953125,4172.49609375,273687.375,14901.70703125,141685.109375,31335.26953125,400801.71875,1097718.875,58493.33984375,7299.29443359375,122130.09375,13599.884765625,597951.875,5456,33.56776809692383,35.17948913574219,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187692068,24484,0,37.03432083129883,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-3RH-75ccm-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 8, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:53:18.762,"{'cid': 'c869a6c0-c093-4da9-b8a1-aae588afa1bc', 'uuid': '4c323474-e457-48a1-8efd-2ceb6f56211c', 'annotationId': '6010fd8b-359c-46df-ab87-9b9422b417d0', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773198100, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:53:18.323Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.47,8.74,0.0,598655.38,9.36,31.71,1009.92,1400.0,1396.72,22450138.0,3700.0,3700.72,22340093.0,1600.0,1597.92,21470060.0,0.0,0.0,22040109.0,300.0,301.04,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6010fd8b-359c-46df-ab87-9b9422b417d0,820d6ab3-9911-43b7-9492-cf7c373fe35e,1409.1324462890625,479714.3125,198000.140625,8116.88671875,7129.50634765625,25919.9921875,182523.65625,174623.234375,232531.8125,68261.53125,123377.8359375,18660.662109375,266370.03125,6717.55078125,18943.3359375,36795.640625,259113.453125,51771.30078125,190474.5625,19294.921875,6899.95849609375,13196.8310546875,25750.880859375,45438.21875,2876300.5,344145.5,1487994.875,3481192.25,11255926,5510.18310546875,69358.6015625,146635760,66351064,20846.802734375,85918.4921875,202000.515625,672765.0,4289.6337890625,2828926.75,1127490.875,62650.78125,483629.21875,20984.8671875,825319.5625,690.1494140625,417296.96875,440462.53125,234465.5,911477.25,69131.484375,77013.015625,17070.1640625,4178.97607421875,274013.125,14894.2509765625,142697.625,31339.013671875,400713.4375,1096970.25,58484.8984375,7299.265625,122029.2890625,13591.5458984375,597221.4375,5757,33.56776809692383,35.26007461547852,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187692068,24484,0,37.03432083129883,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-3RH-75ccm-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 8, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:53:19.067,"{'cid': 'c869a6c0-c093-4da9-b8a1-aae588afa1bc', 'uuid': '4c323474-e457-48a1-8efd-2ceb6f56211c', 'annotationId': '6010fd8b-359c-46df-ab87-9b9422b417d0', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773198100, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:53:18.323Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.47,8.73,0.0,598612.22,9.36,31.71,1009.92,1400.0,1396.84,22450138.0,3700.0,3700.88,22340093.0,1600.0,1597.99,21470060.0,0.0,0.0,22040109.0,300.0,301.01,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6010fd8b-359c-46df-ab87-9b9422b417d0,820d6ab3-9911-43b7-9492-cf7c373fe35e,1408.4017333984375,479623.03125,197998.828125,8116.77587890625,7129.4697265625,25921.478515625,182690.125,174640.984375,232455.0625,68207.2421875,123383.5703125,18659.353515625,269766.34375,6676.875,18942.22265625,36804.34375,258962.015625,51775.26953125,191362.921875,19284.572265625,6899.86767578125,13203.99609375,25752.490234375,45436.703125,2878897.5,344260.9375,1485765.125,3482225.75,11265421,5510.75634765625,69578.3125,147563072,66454676,20848.69921875,85914.9375,201982.3125,672609.25,4290.73974609375,2829955.5,1124119.25,62655.7421875,483596.21875,20984.11328125,825310.3125,690.506591796875,417500.03125,440525.15625,234450.71875,911354.875,69132.3125,77013.359375,17071.5703125,4174.8720703125,272561.875,14869.693359375,142028.53125,31335.22265625,400595.8125,1095966.875,58494.46484375,7298.828125,122118.0234375,13601.1884765625,596675.75,6058,33.40659713745117,35.09890365600586,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187692068,24484,0,37.03432083129883,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-3RH-75ccm-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 8, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:53:19.362,"{'cid': 'c869a6c0-c093-4da9-b8a1-aae588afa1bc', 'uuid': '4c323474-e457-48a1-8efd-2ceb6f56211c', 'annotationId': '6010fd8b-359c-46df-ab87-9b9422b417d0', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773198100, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:53:18.323Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.46,8.72,0.0,598472.3,9.37,31.71,1009.92,1400.0,1397.65,22450138.0,3700.0,3702.09,22340093.0,1600.0,1598.62,21470060.0,0.0,0.0,22040109.0,300.0,300.63,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6010fd8b-359c-46df-ab87-9b9422b417d0,820d6ab3-9911-43b7-9492-cf7c373fe35e,1408.2652587890625,480982.84375,198010.34375,8116.85205078125,7129.197265625,25920.85546875,182620.953125,174648.25,232618.453125,68245.9140625,123381.4140625,18659.578125,271163.375,6688.9208984375,18939.216796875,36807.33984375,258142.5,51771.15625,191335.6875,19284.125,6899.935546875,13197.6591796875,25754.1953125,45434.015625,2881130.0,344116.25,1485133.125,3483832.0,11276104,5510.26708984375,69931.6171875,148402512,66412512,20851.58984375,85879.53125,201979.46875,672408.1875,4290.37255859375,2826697.0,1123711.5,62659.4296875,483432.09375,20987.56640625,825770.0,690.1945190429688,417132.5625,440865.46875,234466.953125,911115.4375,69154.6171875,77026.3046875,17067.39453125,4180.7587890625,272247.6875,14897.10546875,142257.265625,31333.4609375,400548.6875,1095822.25,58496.33203125,7299.23828125,121826.6484375,13604.119140625,596361.25,6359,33.40659713745117,35.09890365600586,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187692068,24484,0,37.03432083129883,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-3RH-75ccm-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 8, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:53:19.665,"{'cid': 'c869a6c0-c093-4da9-b8a1-aae588afa1bc', 'uuid': '4c323474-e457-48a1-8efd-2ceb6f56211c', 'annotationId': '6010fd8b-359c-46df-ab87-9b9422b417d0', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773198100, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:53:18.323Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.46,8.71,0.0,598328.59,9.38,31.71,1009.92,1400.0,1398.49,22450138.0,3700.0,3703.34,22340093.0,1600.0,1599.27,21470060.0,0.0,0.0,22040109.0,300.0,300.25,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6010fd8b-359c-46df-ab87-9b9422b417d0,820d6ab3-9911-43b7-9492-cf7c373fe35e,1408.0098876953125,480870.0625,198049.46875,8117.1943359375,7129.99951171875,25921.748046875,182682.484375,174663.796875,232482.9375,68241.6640625,123388.0390625,18658.748046875,271265.40625,6677.58740234375,18940.201171875,36809.359375,258792.59375,51781.94140625,190758.390625,19298.24609375,6899.2919921875,13199.220703125,25753.9609375,45438.05859375,2884453.25,345081.28125,1486872.375,3484324.0,11288267,5510.77490234375,70237.8359375,149410080,66266840,20847.44140625,85879.6796875,201953.203125,672254.625,4289.8955078125,2820472.75,1124678.125,62665.9765625,483757.6875,20987.50390625,826504.0,689.1397094726562,417427.78125,440730.46875,234534.578125,911044.5625,69176.1953125,77005.7109375,17070.775390625,4178.4755859375,272207.4375,14889.6298828125,141820.71875,31336.005859375,400432.34375,1095408.5,58512.7109375,7298.64501953125,121965.1796875,13599.966796875,596025.6875,6660,33.56776809692383,35.09890365600586,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187697071,24484,0,37.20027160644531,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-3RH-75ccm-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 8, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:53:19.967,"{'cid': 'c869a6c0-c093-4da9-b8a1-aae588afa1bc', 'uuid': '4c323474-e457-48a1-8efd-2ceb6f56211c', 'annotationId': '6010fd8b-359c-46df-ab87-9b9422b417d0', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773198100, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:53:18.323Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.46,8.72,0.0,598185.35,9.39,31.71,1009.92,1400.0,1399.33,22450138.0,3700.0,3704.59,22340093.0,1600.0,1599.92,21470060.0,0.0,0.01,22040109.0,300.0,299.86,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6010fd8b-359c-46df-ab87-9b9422b417d0,820d6ab3-9911-43b7-9492-cf7c373fe35e,1409.1068115234375,480145.46875,198050.015625,8116.9755859375,7129.6279296875,25922.326171875,182641.375,174688.515625,232454.515625,68246.9453125,123380.390625,18658.244140625,269991.375,6700.8037109375,18942.845703125,36799.4921875,258779.640625,51781.12890625,190870.171875,19297.533203125,6899.1171875,13185.0810546875,25753.650390625,45435.47265625,2887225.25,344640.8125,1490632.875,3485328.5,11297365,5510.859375,70474.8359375,150242144,66027560,20841.931640625,85871.53125,201998.28125,672187.125,4289.5966796875,2816774.75,1126591.5,62672.11328125,484149.5,20986.595703125,827738.4375,689.7354736328125,417295.03125,441009.84375,234544.390625,911419.1875,69167.90625,76996.484375,17070.837890625,4181.1806640625,271920.8125,14893.5810546875,142129.78125,31341.34375,400470.71875,1095368.5,58508.96875,7298.9775390625,122062.4921875,13604.8017578125,595906.8125,6961,33.4871826171875,35.17948913574219,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187697071,24484,0,37.20027160644531,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-3RH-75ccm-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 8, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:53:20.266,"{'cid': 'c869a6c0-c093-4da9-b8a1-aae588afa1bc', 'uuid': '4c323474-e457-48a1-8efd-2ceb6f56211c', 'annotationId': '6010fd8b-359c-46df-ab87-9b9422b417d0', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773198100, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:53:18.323Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.45,8.74,0.0,598214.31,9.39,31.71,1009.88,1400.0,1399.65,22450138.0,3700.0,3703.95,22340093.0,1600.0,1599.97,21470060.0,0.0,0.01,22040109.0,300.0,299.88,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6010fd8b-359c-46df-ab87-9b9422b417d0,820d6ab3-9911-43b7-9492-cf7c373fe35e,1407.7777099609375,479437.8125,198060.453125,8117.26611328125,7129.703125,25921.67578125,182703.4375,174687.4375,232582.90625,68235.296875,123390.890625,18659.39453125,270236.125,6689.73388671875,18942.423828125,36796.4609375,258981.703125,51779.328125,191182.859375,19285.04296875,6899.46533203125,13197.892578125,25752.43359375,45441.6484375,2888802.0,346284.59375,1494301.125,3485742.25,11303169,5510.23779296875,70239.6328125,150778400,65697824,20840.271484375,85880.1875,201959.984375,672120.5625,4290.04052734375,2812912.5,1124862.75,62680.49609375,484410.53125,20985.61328125,828475.125,688.92138671875,417600.40625,441153.5625,234572.0,912049.125,69170.125,76995.4140625,17067.71875,4173.04931640625,271625.4375,14857.12890625,141406.578125,31344.392578125,400495.6875,1095312.125,58514.9453125,7299.13525390625,122203.359375,13592.765625,595750.5625,7262,33.40659713745117,35.09890365600586,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187697071,24484,0,37.20027160644531,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-3RH-75ccm-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 8, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:53:20.567,"{'cid': 'c869a6c0-c093-4da9-b8a1-aae588afa1bc', 'uuid': '4c323474-e457-48a1-8efd-2ceb6f56211c', 'annotationId': '6010fd8b-359c-46df-ab87-9b9422b417d0', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773198100, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:53:18.323Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.45,8.75,0.0,598350.89,9.39,31.71,1009.82,1400.0,1399.82,22450138.0,3700.0,3702.74,22340093.0,1600.0,1599.83,21470060.0,0.0,0.01,22040109.0,300.0,300.05,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6010fd8b-359c-46df-ab87-9b9422b417d0,820d6ab3-9911-43b7-9492-cf7c373fe35e,1408.3958740234375,480440.375,198060.359375,8116.64892578125,7129.93310546875,25923.7109375,182636.921875,174721.84375,232302.6875,68163.3671875,123378.453125,18660.15625,269766.375,6699.67138671875,18941.5859375,36798.09765625,258696.84375,51773.421875,190682.28125,19287.169921875,6899.29833984375,13198.4140625,25751.7734375,45446.84375,2887959.75,348003.71875,1490354.875,3486131.75,11307606,5510.18798828125,70255.1953125,151247408,65309128,20845.55859375,85865.046875,201954.984375,672058.6875,4291.31591796875,2807209.5,1127604.375,62679.2421875,484249.21875,20985.806640625,828707.8125,689.2716674804688,417242.5625,441058.96875,234585.6875,912937.4375,69143.1953125,76950.25,17075.65234375,4170.71240234375,271748.84375,14840.7177734375,141391.359375,31345.95703125,400465.1875,1095315.875,58507.94921875,7298.91796875,122145.84375,13618.251953125,595941.0625,7563,33.56776809692383,35.09890365600586,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187697071,24484,0,37.20027160644531,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-3RH-75ccm-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 8, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:53:20.867,"{'cid': 'c869a6c0-c093-4da9-b8a1-aae588afa1bc', 'uuid': '4c323474-e457-48a1-8efd-2ceb6f56211c', 'annotationId': '6010fd8b-359c-46df-ab87-9b9422b417d0', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773198100, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:53:18.323Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.45,8.75,0.0,598487.03,9.39,31.72,1009.75,1400.0,1399.98,22450138.0,3700.0,3701.52,22340093.0,1600.0,1599.69,21470060.0,0.0,0.0,22040109.0,300.0,300.21,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,6010fd8b-359c-46df-ab87-9b9422b417d0,820d6ab3-9911-43b7-9492-cf7c373fe35e,1409.0120849609375,480813.96875,198054.40625,8116.4912109375,7130.01416015625,25925.20703125,182539.859375,174714.0,232434.875,68242.859375,123361.078125,18659.99609375,270228.34375,6679.0302734375,18940.287109375,36794.32421875,258496.1875,51754.7734375,190725.0,19292.5078125,6899.13232421875,13198.216796875,25751.8359375,45444.22265625,2885526.5,347492.9375,1489532.375,3485421.75,11307359,5510.13525390625,71044.1171875,151420688,64883084,20845.802734375,85885.2265625,201947.40625,672045.75,4290.3720703125,2805715.0,1126866.375,62679.203125,484433.875,20983.583984375,829311.9375,689.8969116210938,417363.0625,440935.125,234558.109375,913648.9375,69145.7578125,76961.7734375,17067.701171875,4179.34765625,273386.15625,14854.234375,140918.953125,31345.728515625,400688.40625,1095809.375,58509.53515625,7298.69140625,122176.7578125,13625.4111328125,597090.0625,7864,33.56776809692383,35.17948913574219,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187697071,24484,0,37.20027160644531,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-3RH-75ccm-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 8, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:53:21.169,"{'cid': 'c869a6c0-c093-4da9-b8a1-aae588afa1bc', 'uuid': '4c323474-e457-48a1-8efd-2ceb6f56211c', 'annotationId': '6010fd8b-359c-46df-ab87-9b9422b417d0', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773198100, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:53:18.323Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.46,8.72,0.0,598624.07,9.39,31.72,1009.68,1400.0,1399.97,22450138.0,3700.0,3700.24,22340093.0,1600.0,1599.66,21470060.0,0.0,0.01,22040109.0,300.0,300.17,24020116.0
