component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_453024,FLW0_453024,ANLT0_453024,T0_183225,H0_183225,SETP0_094324,FLW0_094324,ANLT0_094324
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,2ae8f705-2811-49a7-9c05-62e49f8bf6fe,57ac2775-33b0-42db-b70c-99b78f79ffa2,1316.0887451171875,481055.34375,197542.171875,8094.07666015625,7112.71484375,25872.08984375,181905.109375,173531.90625,232876.390625,67830.5,121733.328125,18618.986328125,271280.75,6081.67041015625,18783.400390625,36762.6953125,257403.375,51712.8359375,188441.046875,19224.240234375,6890.4873046875,13158.005859375,25446.357421875,45354.73046875,2860424.5,361070.65625,1612103.0,3461305.25,11224023,5501.85693359375,69805.3984375,145262320,66095864,20791.8359375,85584.6484375,202309.0625,672556.5,4273.91845703125,2818729.25,1128197.625,62495.21875,480755.65625,20897.619140625,820335.875,688.7015991210938,413862.3125,440092.28125,232975.625,901114.1875,69080.6875,76954.796875,17086.25,4154.5830078125,269951.84375,14731.689453125,140763.109375,30681.4140625,399451.75,1097003.5,58399.30859375,7261.49072265625,121458.734375,13553.302734375,594432.5,6290,33.890113830566406,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189944657,24484,0,37.87115097045898,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 23, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:30:49.380,"{'cid': '8622039e-4588-4b0f-b322-27079eb8f17e', 'uuid': '62a85ca3-7efc-4b87-a481-c79fe51df74f', 'annotationId': '2ae8f705-2811-49a7-9c05-62e49f8bf6fe', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768775448863, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:30:49.086Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,597676.03,7.9,32.4,1009.59,30.0,28.4,22040109.0,1370.0,1367.76,22450138.0,300.0,299.76,24020116.0,3700.0,3698.24,22340093.0,29.81,8.74,1600.0,1599.52,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,2ae8f705-2811-49a7-9c05-62e49f8bf6fe,57ac2775-33b0-42db-b70c-99b78f79ffa2,1318.53564453125,481952.0,197571.234375,8094.1962890625,7113.158203125,25872.390625,181914.15625,173546.25,232802.53125,67861.734375,121736.65625,18620.138671875,271905.59375,6092.70849609375,18781.65625,36768.83203125,257123.859375,51719.5,188222.46875,19217.498046875,6890.0966796875,13196.2119140625,25446.58984375,45354.63671875,2863461.0,360028.46875,1609921.5,3462914.0,11239207,5502.24609375,68641.1171875,146590336,66300484,20790.80078125,85574.671875,202261.765625,672278.4375,4273.86279296875,2821247.0,1128290.5,62501.1875,480976.78125,20897.982421875,820330.9375,688.0650634765625,413985.25,440056.46875,233002.28125,900808.125,69066.7421875,76954.6015625,17087.244140625,4153.29150390625,271508.125,14735.322265625,141035.4375,30682.537109375,399309.9375,1095656.25,58392.78515625,7261.36279296875,121493.78125,13548.5341796875,594301.3125,6591,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189944657,24484,0,37.87115097045898,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 23, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:30:49.682,"{'cid': '8622039e-4588-4b0f-b322-27079eb8f17e', 'uuid': '62a85ca3-7efc-4b87-a481-c79fe51df74f', 'annotationId': '2ae8f705-2811-49a7-9c05-62e49f8bf6fe', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768775448863, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:30:49.086Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,597812.69,7.9,32.4,1009.6,30.0,28.4,22040109.0,1370.0,1367.76,22450138.0,300.0,299.76,24020116.0,3700.0,3698.24,22340093.0,29.81,8.74,1600.0,1599.52,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,2ae8f705-2811-49a7-9c05-62e49f8bf6fe,57ac2775-33b0-42db-b70c-99b78f79ffa2,1315.841064453125,482032.90625,197579.65625,8094.0537109375,7112.876953125,25874.80859375,181941.75,173576.75,232918.984375,67816.2421875,121740.921875,18620.140625,272486.84375,6077.20263671875,18780.751953125,36771.54296875,257009.359375,51696.6875,187690.3125,19224.814453125,6889.70947265625,13182.9775390625,25448.69140625,45357.96875,2867342.25,361051.40625,1611621.5,3464963.75,11258125,5501.85400390625,69103.9765625,148218464,66386100,20795.916015625,85566.25,202206.890625,671947.3125,4273.86181640625,2824849.25,1125142.625,62513.80859375,481193.25,20898.814453125,821069.25,688.705322265625,413992.21875,439527.75,233046.296875,900344.3125,69068.8046875,76979.1328125,17078.201171875,4150.0087890625,271971.84375,14710.55859375,141259.125,30681.57421875,399025.1875,1094915.875,58391.7421875,7261.48974609375,121324.5,13541.7294921875,593310.3125,6894,33.80952835083008,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189944657,24484,0,37.87115097045898,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 23, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:30:49.985,"{'cid': '8622039e-4588-4b0f-b322-27079eb8f17e', 'uuid': '62a85ca3-7efc-4b87-a481-c79fe51df74f', 'annotationId': '2ae8f705-2811-49a7-9c05-62e49f8bf6fe', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768775448863, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:30:49.086Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,597949.8,7.9,32.4,1009.61,30.0,28.74,22040109.0,1370.0,1368.13,22450138.0,300.0,299.8,24020116.0,3700.0,3698.83,22340093.0,29.81,8.74,1600.0,1599.52,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,2ae8f705-2811-49a7-9c05-62e49f8bf6fe,57ac2775-33b0-42db-b70c-99b78f79ffa2,1316.4661865234375,482437.0,197621.578125,8093.72998046875,7113.12158203125,25876.369140625,182000.28125,173591.203125,232876.546875,67819.7265625,121748.7421875,18620.603515625,271369.65625,6060.951171875,18781.28125,36772.77734375,257076.59375,51715.2421875,188038.03125,19227.431640625,6889.732421875,13181.4638671875,25445.244140625,45348.71875,2870994.0,357567.5625,1611300.25,3466739.0,11276369,5501.7744140625,69140.96875,150019504,66218208,20793.578125,85562.234375,202199.84375,671739.5625,4275.30517578125,2824657.0,1127625.375,62527.77734375,481639.5625,20898.232421875,821176.75,688.3294067382812,414223.375,439445.5,233098.703125,900383.375,69054.5703125,76971.96875,17080.806640625,4152.99365234375,272189.78125,14743.466796875,141464.5,30681.9765625,399454.53125,1094437.75,58397.40625,7261.50341796875,121181.6640625,13546.046875,593389.9375,7193,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189944657,24484,0,37.87115097045898,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 23, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:30:50.284,"{'cid': '8622039e-4588-4b0f-b322-27079eb8f17e', 'uuid': '62a85ca3-7efc-4b87-a481-c79fe51df74f', 'annotationId': '2ae8f705-2811-49a7-9c05-62e49f8bf6fe', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768775448863, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:30:49.086Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,598085.11,7.9,32.4,1009.62,30.0,29.23,22040109.0,1370.0,1368.67,22450138.0,300.0,299.85,24020116.0,3700.0,3699.74,22340093.0,29.8,8.73,1600.0,1599.52,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,2ae8f705-2811-49a7-9c05-62e49f8bf6fe,57ac2775-33b0-42db-b70c-99b78f79ffa2,1317.2259521484375,483315.71875,197640.765625,8094.05810546875,7112.31982421875,25876.1171875,181941.359375,173632.515625,232748.96875,67826.9453125,121726.796875,18619.982421875,270908.6875,6047.88720703125,18780.5390625,36771.0625,256903.25,51702.7421875,187243.8125,19231.82421875,6889.677734375,13187.90234375,25445.251953125,45349.0703125,2875007.0,356146.5625,1614396.25,3468144.75,11290655,5501.77978515625,68760.015625,151390800,65913716,20791.966796875,85550.8984375,202163.4375,671630.3125,4273.86962890625,2828695.25,1127311.75,62528.78125,481686.5,20897.65234375,821820.4375,688.2320556640625,414356.84375,439552.40625,233149.21875,901032.0,69065.1875,76993.96875,17082.2578125,4152.50439453125,272258.75,14742.9912109375,141820.9375,30683.37109375,399146.09375,1093960.5,58400.1171875,7261.1328125,121270.015625,13542.0693359375,593442.5,7494,33.80952835083008,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189944657,24484,0,37.87115097045898,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 23, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:30:50.585,"{'cid': '8622039e-4588-4b0f-b322-27079eb8f17e', 'uuid': '62a85ca3-7efc-4b87-a481-c79fe51df74f', 'annotationId': '2ae8f705-2811-49a7-9c05-62e49f8bf6fe', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768775448863, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:30:49.086Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,598768.86,7.9,32.4,1009.59,30.0,29.73,22040109.0,1370.0,1369.22,22450138.0,300.0,299.91,24020116.0,3700.0,3700.64,22340093.0,29.8,8.73,1600.0,1599.52,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,2ae8f705-2811-49a7-9c05-62e49f8bf6fe,57ac2775-33b0-42db-b70c-99b78f79ffa2,1316.4573974609375,482902.5625,197648.125,8093.88720703125,7112.93505859375,25878.46875,181952.015625,173631.828125,232638.625,67822.9140625,121710.5,18620.078125,271353.46875,6065.53076171875,18781.19140625,36765.53515625,257239.5625,51710.92578125,186771.0625,19232.1171875,6889.91015625,13187.1923828125,25443.443359375,45350.63671875,2877205.0,359063.28125,1613009.125,3469878.75,11301513,5501.951171875,69067.546875,152463824,65441612,20794.5546875,85550.484375,202148.15625,671596.9375,4274.4765625,2830197.5,1124898.5,62535.9296875,481754.21875,20898.236328125,821821.4375,687.9177856445312,414403.71875,439833.96875,233183.6875,901739.1875,69056.40625,77003.265625,17082.205078125,4146.50390625,272178.0625,14743.5869140625,142028.15625,30680.5078125,399234.46875,1093604.0,58385.5390625,7261.205078125,121363.28125,13549.0595703125,593170.5,7795,33.80952835083008,35.42124938964844,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189944657,24484,0,37.87115097045898,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 23, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:30:50.886,"{'cid': '8622039e-4588-4b0f-b322-27079eb8f17e', 'uuid': '62a85ca3-7efc-4b87-a481-c79fe51df74f', 'annotationId': '2ae8f705-2811-49a7-9c05-62e49f8bf6fe', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768775448863, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:30:49.086Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,599729.13,7.91,32.4,1009.54,30.0,30.05,22040109.0,1370.0,1369.58,22450138.0,300.0,299.96,24020116.0,3700.0,3701.39,22340093.0,29.79,8.72,1600.0,1599.53,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,2ae8f705-2811-49a7-9c05-62e49f8bf6fe,57ac2775-33b0-42db-b70c-99b78f79ffa2,1315.65673828125,481717.40625,197650.65625,8094.11474609375,7113.283203125,25877.431640625,182047.21875,173616.71875,232608.8125,67778.1171875,121719.3125,18620.345703125,272350.71875,6062.98828125,18779.10546875,36762.24609375,257161.640625,51715.8984375,186706.203125,19221.6796875,6889.921875,13189.5234375,25441.44140625,45343.51953125,2874716.25,360288.59375,1611463.125,3469424.0,11305087,5501.962890625,69244.546875,152884944,64929256,20797.126953125,85551.7734375,202161.671875,671540.4375,4274.62744140625,2828621.0,1125680.0,62536.90234375,482182.6875,20897.4140625,822378.1875,688.331298828125,414027.78125,439650.0,233214.671875,902839.5,69077.5625,76993.5,17073.484375,4144.048828125,272319.4375,14728.751953125,142043.640625,30685.2109375,399376.59375,1093818.0,58400.140625,7261.29248046875,121456.21875,13548.30859375,594321.9375,8096,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189944657,24484,0,37.87115097045898,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 23, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:30:51.187,"{'cid': '8622039e-4588-4b0f-b322-27079eb8f17e', 'uuid': '62a85ca3-7efc-4b87-a481-c79fe51df74f', 'annotationId': '2ae8f705-2811-49a7-9c05-62e49f8bf6fe', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768775448863, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:30:49.086Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,600689.4,7.91,32.4,1009.49,30.0,30.01,22040109.0,1370.0,1369.51,22450138.0,300.0,300.02,24020116.0,3700.0,3701.75,22340093.0,29.79,8.72,1600.0,1599.58,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,2ae8f705-2811-49a7-9c05-62e49f8bf6fe,57ac2775-33b0-42db-b70c-99b78f79ffa2,1315.9468994140625,481620.59375,197633.578125,8094.7099609375,7113.60888671875,25878.8671875,182083.96875,173631.203125,232353.046875,67826.7890625,121695.328125,18618.8359375,272197.6875,6048.95361328125,18780.521484375,36768.0234375,256708.953125,51689.23046875,186915.0,19223.1171875,6890.0947265625,13191.9248046875,25439.7578125,45332.984375,2869220.0,360376.875,1610161.25,3466675.25,11299886,5502.005859375,70104.5546875,152475440,64369524,20794.490234375,85545.4453125,202156.546875,671550.9375,4274.49365234375,2829801.25,1125542.375,62538.5390625,482208.0,20894.9375,823216.8125,687.8689575195312,413859.84375,439448.96875,233203.265625,904189.9375,69074.7578125,77013.6875,17073.875,4141.06103515625,272400.40625,14736.5068359375,141889.875,30687.435546875,399558.1875,1094257.5,58405.58984375,7261.4150390625,121465.25,13553.23828125,594577.5625,8397,33.80952835083008,35.42124938964844,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189944657,24484,0,37.87115097045898,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 23, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:30:51.488,"{'cid': '8622039e-4588-4b0f-b322-27079eb8f17e', 'uuid': '62a85ca3-7efc-4b87-a481-c79fe51df74f', 'annotationId': '2ae8f705-2811-49a7-9c05-62e49f8bf6fe', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768775448863, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:30:49.086Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,601649.67,7.92,32.4,1009.44,30.0,29.97,22040109.0,1370.0,1369.43,22450138.0,300.0,300.07,24020116.0,3700.0,3702.1,22340093.0,29.78,8.73,1600.0,1599.63,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,2ae8f705-2811-49a7-9c05-62e49f8bf6fe,57ac2775-33b0-42db-b70c-99b78f79ffa2,1316.7293701171875,482158.9375,197609.8125,8093.8740234375,7112.3701171875,25877.0546875,182071.03125,173589.84375,232769.421875,67882.8671875,121669.8046875,18617.486328125,272130.71875,6072.4658203125,18779.29296875,36760.24609375,256517.578125,51705.60546875,187692.9375,19225.814453125,6889.47314453125,13185.2353515625,25438.94921875,45339.41015625,2863865.25,356247.40625,1607508.875,3464219.5,11288832,5501.890625,69203.546875,151528256,63950340,20795.560546875,85557.1953125,202225.953125,671484.125,4274.392578125,2827192.25,1126002.0,62540.18359375,482006.21875,20895.740234375,823166.1875,687.6480712890625,414007.625,439461.3125,233188.4375,905050.25,69068.9765625,77022.8828125,17072.560546875,4154.67041015625,272318.8125,14733.4921875,142915.015625,30694.24609375,399781.4375,1095103.125,58408.828125,7261.24560546875,121509.21875,13545.720703125,594325.75,8698,33.80952835083008,35.42124938964844,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189944657,24484,0,37.87115097045898,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 23, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:30:51.789,"{'cid': '8622039e-4588-4b0f-b322-27079eb8f17e', 'uuid': '62a85ca3-7efc-4b87-a481-c79fe51df74f', 'annotationId': '2ae8f705-2811-49a7-9c05-62e49f8bf6fe', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768775448863, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:30:49.086Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,601595.81,7.92,32.4,1009.43,30.0,29.93,22040109.0,1370.0,1369.36,22450138.0,300.0,300.13,24020116.0,3700.0,3702.46,22340093.0,29.78,8.73,1600.0,1599.68,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,2ae8f705-2811-49a7-9c05-62e49f8bf6fe,57ac2775-33b0-42db-b70c-99b78f79ffa2,1316.737548828125,481702.75,197623.140625,8094.34423828125,7112.4111328125,25875.3515625,181969.34375,173574.0,232373.046875,67921.75,121650.015625,18619.1484375,271456.6875,6076.20703125,18781.9296875,36759.8359375,256445.0,51687.4140625,187441.34375,19221.9609375,6890.05859375,13189.125,25436.646484375,45336.40625,2859760.5,354839.53125,1602768.625,3462119.0,11272260,5501.85009765625,69370.2734375,150111376,63617372,20791.78515625,85570.625,202200.4375,671610.875,4275.59130859375,2825235.75,1125991.0,62534.390625,481908.9375,20893.837890625,823573.75,687.8031616210938,413931.59375,439310.46875,233162.453125,905529.0625,69072.8984375,76991.5546875,17074.033203125,4149.806640625,271994.34375,14752.5634765625,142300.921875,30694.029296875,399963.09375,1096416.0,58418.20703125,7260.76025390625,121516.71875,13547.71484375,594129.25,8999,33.890113830566406,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189944657,24484,0,37.87115097045898,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 23, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:30:52.090,"{'cid': '8622039e-4588-4b0f-b322-27079eb8f17e', 'uuid': '62a85ca3-7efc-4b87-a481-c79fe51df74f', 'annotationId': '2ae8f705-2811-49a7-9c05-62e49f8bf6fe', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768775448863, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:30:49.086Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,601320.24,7.93,32.4,1009.42,30.0,29.94,22040109.0,1370.0,1368.99,22450138.0,300.0,300.19,24020116.0,3700.0,3702.23,22340093.0,29.78,8.73,1600.0,1599.3,21470060.0
