component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_543024,FLW0_543024,ANLT0_543024,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_094324,FLW0_094324,ANLT0_094324
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,a08a954f-5021-4742-a599-79e8c5447684,57ac2775-33b0-42db-b70c-99b78f79ffa2,1443.4942626953125,480581.09375,198334.3125,8132.76904296875,7142.25537109375,25963.744140625,182895.703125,175750.671875,233914.859375,68249.7890625,124717.6875,18697.544921875,267086.875,6939.31591796875,19079.3828125,36865.1640625,257904.0,51865.91796875,189293.0,19353.65234375,6907.45458984375,13240.32421875,26028.904296875,45535.5703125,2893171.5,354034.5,1408890.375,3502905.75,11316513,5521.86328125,68096.8828125,145199888,65627080,20899.3984375,86270.8046875,201723.3125,673661.875,4304.36962890625,2793658.0,1131186.375,62800.0390625,484863.0,21058.3828125,830893.1875,690.4911499023438,420554.34375,442400.78125,235703.0625,921591.375,69445.3359375,76905.015625,17124.529296875,4201.4462890625,274036.46875,14900.6708984375,138418.5625,31925.689453125,401804.21875,1099980.0,58590.859375,7321.71484375,122609.9375,13651.716796875,605207.6875,5387,33.084251403808594,34.77656173706055,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,186944532,24484,0,37.187129974365234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:40:48.552,"{'cid': 'deac4a67-d4cc-4c10-85f8-d813de9286f3', 'uuid': '4992f5d3-82d3-4ad8-b888-9cacb0f15876', 'annotationId': 'a08a954f-5021-4742-a599-79e8c5447684', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768772448160, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:40:48.382Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.1,8.67,30.0,29.26,22040109.0,3700.0,3699.28,22340093.0,300.0,300.0,24020116.0,1370.0,1367.92,22450138.0,0.0,588336.69,11.22,31.19,1010.18,1600.0,1600.32,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,a08a954f-5021-4742-a599-79e8c5447684,57ac2775-33b0-42db-b70c-99b78f79ffa2,1442.9263916015625,481105.65625,198342.890625,8133.33251953125,7141.82666015625,25964.962890625,182913.796875,175745.828125,234162.765625,68254.8203125,124737.5234375,18697.765625,268487.125,6912.82861328125,19081.68359375,36863.4296875,258314.640625,51861.609375,189523.9375,19355.083984375,6907.1875,13237.8271484375,26027.279296875,45543.6484375,2896045.75,353737.34375,1408767.875,3504501.25,11327461,5521.89208984375,67955.390625,146030416,65803124,20898.888671875,86273.4765625,201686.171875,673391.5,4304.7841796875,2791191.75,1132192.625,62799.97265625,485080.90625,21059.18359375,830481.25,690.3880004882812,420450.15625,442030.09375,235713.078125,921356.1875,69441.8046875,76924.34375,17119.052734375,4208.0947265625,274207.4375,14915.01171875,138691.484375,31925.255859375,401613.4375,1099231.125,58592.80859375,7321.76220703125,122545.6796875,13654.6708984375,603742.3125,5688,33.084251403808594,34.69597625732422,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,186944532,24484,0,37.187129974365234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:40:48.851,"{'cid': 'deac4a67-d4cc-4c10-85f8-d813de9286f3', 'uuid': '4992f5d3-82d3-4ad8-b888-9cacb0f15876', 'annotationId': 'a08a954f-5021-4742-a599-79e8c5447684', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768772448160, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:40:48.382Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.1,8.67,30.0,29.26,22040109.0,3700.0,3699.28,22340093.0,300.0,300.0,24020116.0,1370.0,1367.92,22450138.0,0.0,588336.69,11.22,31.19,1010.18,1600.0,1600.32,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,a08a954f-5021-4742-a599-79e8c5447684,57ac2775-33b0-42db-b70c-99b78f79ffa2,1442.9656982421875,480709.78125,198372.21875,8133.78076171875,7141.78564453125,25965.0703125,182925.53125,175762.796875,234377.046875,68266.03125,124732.8125,18695.7265625,268004.34375,6920.80908203125,19085.703125,36866.875,258525.703125,51856.4765625,190385.15625,19345.6484375,6907.06396484375,13238.6005859375,26026.705078125,45538.40625,2898547.75,353297.96875,1407233.875,3505741.75,11342047,5520.935546875,67719.4921875,147154496,65830900,20901.017578125,86281.6171875,201655.953125,673220.1875,4303.51513671875,2787096.5,1132268.75,62800.96875,485347.40625,21059.015625,830318.5625,690.1806640625,420714.625,442425.625,235724.3125,920984.8125,69414.1484375,76927.5703125,17119.435546875,4209.2939453125,274289.40625,14922.486328125,139496.078125,31925.994140625,401679.3125,1098777.125,58586.32421875,7321.240234375,122592.2109375,13652.6904296875,603694.0625,5989,33.16483688354492,34.69597625732422,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,186944532,24484,0,37.187129974365234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:40:49.152,"{'cid': 'deac4a67-d4cc-4c10-85f8-d813de9286f3', 'uuid': '4992f5d3-82d3-4ad8-b888-9cacb0f15876', 'annotationId': 'a08a954f-5021-4742-a599-79e8c5447684', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768772448160, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:40:48.382Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.11,8.67,30.0,29.3,22040109.0,3700.0,3699.34,22340093.0,300.0,299.99,24020116.0,1370.0,1367.93,22450138.0,0.0,588336.69,11.22,31.19,1010.18,1600.0,1600.32,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,a08a954f-5021-4742-a599-79e8c5447684,57ac2775-33b0-42db-b70c-99b78f79ffa2,1441.785888671875,480920.9375,198374.453125,8133.380859375,7141.9716796875,25964.478515625,182933.40625,175780.015625,233857.921875,68374.21875,124735.4296875,18697.646484375,266625.09375,6949.267578125,19082.982421875,36859.8671875,258164.734375,51849.62890625,190995.96875,19342.64453125,6907.0712890625,13250.4638671875,26026.162109375,45535.5390625,2901314.5,355970.40625,1408439.0,3506783.0,11355466,5520.6083984375,68066.7578125,148238704,65735860,20896.359375,86266.0859375,201682.3125,673054.875,4302.91552734375,2782702.25,1133798.375,62809.04296875,485340.25,21059.98046875,830205.375,689.7564086914062,420655.8125,442586.84375,235737.078125,920834.9375,69438.453125,76926.6015625,17126.27734375,4208.10888671875,274656.03125,14918.921875,140690.140625,31930.095703125,401698.15625,1098665.625,58587.84375,7321.32958984375,122513.171875,13653.271484375,603476.9375,6290,33.084251403808594,34.61539077758789,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,186944532,24484,0,37.187129974365234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:40:49.453,"{'cid': 'deac4a67-d4cc-4c10-85f8-d813de9286f3', 'uuid': '4992f5d3-82d3-4ad8-b888-9cacb0f15876', 'annotationId': 'a08a954f-5021-4742-a599-79e8c5447684', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768772448160, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:40:48.382Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.12,8.67,30.0,29.51,22040109.0,3700.0,3699.67,22340093.0,300.0,299.92,24020116.0,1370.0,1368.03,22450138.0,0.0,588291.19,11.22,31.19,1010.18,1600.0,1600.32,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,a08a954f-5021-4742-a599-79e8c5447684,57ac2775-33b0-42db-b70c-99b78f79ffa2,1442.3592529296875,480965.34375,198380.453125,8133.34716796875,7141.8525390625,25967.16796875,182917.96875,175799.9375,233949.375,68319.9453125,124729.5390625,18696.767578125,266151.4375,6943.04150390625,19079.69140625,36859.58984375,257975.75,51841.6171875,190279.421875,19336.943359375,6906.67431640625,13248.900390625,26025.328125,45536.71875,2903756.5,356899.0,1410299.25,3507571.75,11367214,5521.3828125,67918.8046875,149313872,65510260,20903.47265625,86273.1875,201683.109375,672947.5625,4303.80322265625,2782325.75,1132934.0,62820.12890625,485453.84375,21060.46875,831321.5625,690.192138671875,420887.0,442522.90625,235787.765625,921126.375,69438.1171875,76948.5234375,17128.75390625,4212.06884765625,274221.21875,14935.216796875,140455.203125,31938.318359375,401837.625,1098672.0,58575.6796875,7321.0849609375,122578.140625,13650.16015625,603201.4375,6593,33.16483688354492,34.77656173706055,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,186944532,24484,0,37.187129974365234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:40:49.756,"{'cid': 'deac4a67-d4cc-4c10-85f8-d813de9286f3', 'uuid': '4992f5d3-82d3-4ad8-b888-9cacb0f15876', 'annotationId': 'a08a954f-5021-4742-a599-79e8c5447684', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768772448160, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:40:48.382Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.13,8.67,30.0,29.74,22040109.0,3700.0,3700.01,22340093.0,300.0,299.84,24020116.0,1370.0,1368.13,22450138.0,0.0,588158.63,11.23,31.19,1010.17,1600.0,1600.32,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,a08a954f-5021-4742-a599-79e8c5447684,57ac2775-33b0-42db-b70c-99b78f79ffa2,1441.1805419921875,481202.59375,198397.96875,8133.65771484375,7141.84814453125,25967.37109375,182879.15625,175804.84375,233695.703125,68410.0390625,124739.4921875,18696.619140625,266408.8125,6932.0810546875,19077.14453125,36863.21484375,258388.5625,51836.4296875,190577.5,19340.646484375,6906.6435546875,13255.365234375,26025.01171875,45534.19140625,2905628.0,356711.25,1410189.5,3508122.0,11379101,5521.333984375,67627.0,150233424,65188360,20907.66015625,86278.6015625,201677.390625,672897.25,4303.115234375,2781005.5,1131373.25,62827.609375,485683.34375,21058.64453125,831806.1875,690.8751220703125,421053.28125,442319.5,235800.21875,921714.6875,69458.7734375,76961.328125,17123.869140625,4206.0859375,274253.1875,14948.037109375,140033.578125,31933.62890625,401840.53125,1098841.125,58575.46875,7321.68603515625,122419.96875,13652.576171875,604418.1875,6892,33.003665924072266,34.69597625732422,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,186944532,24484,0,37.187129974365234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:40:50.055,"{'cid': 'deac4a67-d4cc-4c10-85f8-d813de9286f3', 'uuid': '4992f5d3-82d3-4ad8-b888-9cacb0f15876', 'annotationId': 'a08a954f-5021-4742-a599-79e8c5447684', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768772448160, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:40:48.382Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.14,8.67,30.0,29.95,22040109.0,3700.0,3700.34,22340093.0,300.0,299.77,24020116.0,1370.0,1368.22,22450138.0,0.0,588027.81,11.24,31.19,1010.17,1600.0,1600.32,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,a08a954f-5021-4742-a599-79e8c5447684,57ac2775-33b0-42db-b70c-99b78f79ffa2,1442.2156982421875,481440.875,198363.75,8133.55517578125,7141.974609375,25964.986328125,182927.5625,175770.15625,233809.609375,68339.84375,124727.890625,18695.962890625,266832.5625,6910.13525390625,19081.228515625,36864.36328125,258176.609375,51850.78515625,189936.734375,19359.705078125,6906.8623046875,13249.92578125,26022.908203125,45530.72265625,2901707.0,357895.53125,1414738.375,3506888.25,11377327,5521.43505859375,67503.0546875,150211728,64724484,20900.298828125,86261.7890625,201715.90625,672908.8125,4302.31884765625,2779225.75,1129700.5,62832.41015625,485513.34375,21060.2578125,832287.9375,690.7718505859375,421053.125,441953.40625,235828.40625,923021.875,69472.3203125,76940.1796875,17124.30859375,4200.96826171875,272716.625,14959.685546875,140421.15625,31938.5625,402013.96875,1099274.0,58589.58984375,7321.6181640625,122485.2890625,13652.8984375,604828.875,7196,33.16483688354492,34.77656173706055,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,186944532,24484,0,37.187129974365234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:40:50.358,"{'cid': 'deac4a67-d4cc-4c10-85f8-d813de9286f3', 'uuid': '4992f5d3-82d3-4ad8-b888-9cacb0f15876', 'annotationId': 'a08a954f-5021-4742-a599-79e8c5447684', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768772448160, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:40:48.382Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.15,8.67,30.0,29.98,22040109.0,3700.0,3701.01,22340093.0,300.0,300.01,24020116.0,1370.0,1368.7,22450138.0,0.0,587895.25,11.25,31.19,1010.16,1600.0,1600.32,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,a08a954f-5021-4742-a599-79e8c5447684,57ac2775-33b0-42db-b70c-99b78f79ffa2,1443.6693115234375,480950.75,198386.484375,8133.123046875,7142.08447265625,25966.125,182865.828125,175781.796875,233539.984375,68347.1875,124725.9765625,18696.1484375,266772.125,6938.11767578125,19080.16015625,36865.29296875,258251.984375,51854.8203125,189963.53125,19345.490234375,6906.6767578125,13252.087890625,26023.0546875,45532.4140625,2897276.25,356746.46875,1411920.125,3505335.25,11370140,5520.67236328125,66988.9375,149646656,64302584,20901.9921875,86243.640625,201736.90625,672890.25,4302.7392578125,2777159.25,1131130.0,62828.0,485287.0,21062.328125,832170.75,690.5323486328125,421216.4375,442174.0625,235821.078125,923947.25,69495.8125,76932.234375,17123.275390625,4205.3291015625,272770.34375,14929.3466796875,139780.9375,31942.203125,402176.90625,1099492.75,58586.2109375,7321.60791015625,122454.0625,13656.1064453125,604859.0,7495,33.084251403808594,34.77656173706055,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,186944532,24484,0,37.187129974365234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:40:50.658,"{'cid': 'deac4a67-d4cc-4c10-85f8-d813de9286f3', 'uuid': '4992f5d3-82d3-4ad8-b888-9cacb0f15876', 'annotationId': 'a08a954f-5021-4742-a599-79e8c5447684', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768772448160, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:40:48.382Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.15,8.67,30.0,29.97,22040109.0,3700.0,3701.75,22340093.0,300.0,300.32,24020116.0,1370.0,1369.28,22450138.0,0.0,587624.21,11.25,31.19,1010.14,1600.0,1600.32,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,a08a954f-5021-4742-a599-79e8c5447684,57ac2775-33b0-42db-b70c-99b78f79ffa2,1442.427490234375,481180.96875,198381.25,8133.107421875,7141.28125,25966.33203125,182933.921875,175788.421875,233357.734375,68369.265625,124695.8515625,18695.328125,266697.6875,6943.45166015625,19082.63671875,36862.265625,257822.15625,51849.44921875,190466.171875,19358.041015625,6906.34130859375,13247.2939453125,26024.8359375,45532.859375,2894393.75,353731.5,1410877.0,3503988.0,11361611,5521.55615234375,67136.296875,148916304,63984512,20901.861328125,86261.25,201721.1875,672941.9375,4302.53076171875,2777876.0,1131026.875,62825.01953125,485294.1875,21060.306640625,832186.5,690.890869140625,421114.875,442511.90625,235819.796875,924629.0625,69470.515625,76962.3984375,17128.18359375,4204.14990234375,272810.6875,14927.2763671875,141094.703125,31944.1640625,402351.5625,1100447.125,58589.453125,7321.36865234375,122422.0859375,13653.787109375,604884.6875,7796,33.16483688354492,34.61539077758789,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,186944532,24484,0,37.187129974365234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:40:50.959,"{'cid': 'deac4a67-d4cc-4c10-85f8-d813de9286f3', 'uuid': '4992f5d3-82d3-4ad8-b888-9cacb0f15876', 'annotationId': 'a08a954f-5021-4742-a599-79e8c5447684', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768772448160, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:40:48.382Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.16,8.67,30.0,29.95,22040109.0,3700.0,3702.49,22340093.0,300.0,300.63,24020116.0,1370.0,1369.85,22450138.0,0.0,587213.88,11.26,31.19,1010.1,1600.0,1600.32,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,a08a954f-5021-4742-a599-79e8c5447684,57ac2775-33b0-42db-b70c-99b78f79ffa2,1443.9180908203125,481023.125,198352.4375,8133.54052734375,7141.65087890625,25965.228515625,182870.25,175773.734375,233385.796875,68314.3515625,124696.765625,18696.306640625,267147.8125,6968.44921875,19081.54296875,36864.328125,257840.75,51861.421875,190037.78125,19358.064453125,6905.88671875,13244.8076171875,26026.64453125,45532.8125,2891467.25,353515.9375,1408333.625,3502466.5,11346641,5521.8349609375,67133.5703125,147654672,63783948,20901.873046875,86261.109375,201774.765625,673207.375,4302.21337890625,2778166.5,1130330.625,62824.51171875,485305.96875,21060.873046875,831782.6875,690.47509765625,421069.1875,442714.84375,235822.21875,925202.875,69439.765625,76979.640625,17118.7265625,4208.302734375,274146.65625,14925.0224609375,141100.359375,31947.15625,402280.4375,1100997.0,58596.21875,7321.5859375,122293.21875,13659.26953125,605315.25,8097,33.16483688354492,34.69597625732422,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,186944532,24484,0,37.187129974365234,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 3, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:40:51.262,"{'cid': 'deac4a67-d4cc-4c10-85f8-d813de9286f3', 'uuid': '4992f5d3-82d3-4ad8-b888-9cacb0f15876', 'annotationId': 'a08a954f-5021-4742-a599-79e8c5447684', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768772448160, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:40:48.382Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.15,8.68,30.0,29.95,22040109.0,3700.0,3702.23,22340093.0,300.0,300.74,24020116.0,1370.0,1370.12,22450138.0,0.0,586800.81,11.26,31.19,1010.06,1600.0,1600.32,21470060.0
