component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_183624,FLW0_183624,ANLT0_183624,T0_183225,H0_183225,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,c6d8ebbb-c4a5-46f6-aa83-442045368014,57ac2775-33b0-42db-b70c-99b78f79ffa2,1412.2354736328125,479463.4375,197915.546875,8115.31640625,7128.0009765625,25915.4296875,182429.921875,174468.109375,232435.828125,68073.109375,123137.6640625,18654.9765625,266547.40625,6750.61962890625,18926.455078125,36797.21875,259653.328125,51728.25,191305.671875,19286.662109375,6899.54052734375,13185.3662109375,25717.21875,45424.3046875,2873278.5,342286.5,1512345.375,3477530.75,11287493,5509.86572265625,69200.171875,148816640,64119476,20840.859375,85844.5859375,202204.921875,672557.75,4289.25,2821537.0,1125176.25,62655.0390625,483339.65625,20975.861328125,828346.1875,690.114990234375,417032.25,439951.5,234418.890625,914623.0,69159.2421875,77057.78125,17105.4453125,4167.3955078125,273762.8125,14862.486328125,141217.71875,31285.22265625,401008.375,1099443.125,58505.1015625,7296.2255859375,122219.9296875,13613.740234375,597610.9375,5856,33.56776809692383,35.17948913574219,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187842574,24484,0,37.00261688232422,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 9, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:55:48.978,"{'cid': 'c869a6c0-c093-4da9-b8a1-aae588afa1bc', 'uuid': 'fe26d9d7-ba68-4f35-92f6-130dce233b79', 'annotationId': 'c6d8ebbb-c4a5-46f6-aa83-442045368014', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773348411, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:55:48.654Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,299.92,24020116.0,3700.0,3703.12,22340093.0,1600.0,1597.84,21470060.0,1370.0,1368.4,22450138.0,30.0,28.06,22040109.0,29.49,8.76,0.0,598130.81,9.18,31.82,1009.94
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,c6d8ebbb-c4a5-46f6-aa83-442045368014,57ac2775-33b0-42db-b70c-99b78f79ffa2,1411.5203857421875,479385.4375,197876.515625,8114.59375,7127.39404296875,25914.3671875,182341.828125,174443.71875,232311.109375,68116.890625,123142.1953125,18656.42578125,269321.34375,6710.19384765625,18923.99609375,36792.32421875,259213.46875,51745.52734375,191250.65625,19287.40234375,6899.27294921875,13167.580078125,25717.419921875,45421.2890625,2871306.0,343054.90625,1508326.625,3476283.25,11272517,5509.99267578125,69783.03125,147660240,64170316,20840.94140625,85859.71875,202255.15625,672628.4375,4289.39892578125,2818983.0,1125922.375,62646.17578125,483011.59375,20974.23828125,827719.75,690.0105590820312,416917.75,440186.40625,234387.296875,914950.8125,69158.796875,77075.484375,17110.05859375,4172.87744140625,274027.25,14864.361328125,141047.3125,31286.158203125,401083.53125,1099780.125,58509.18359375,7296.3671875,122240.6953125,13621.470703125,597135.75,6157,33.64835357666016,35.17948913574219,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187842574,24484,0,37.00261688232422,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 9, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:55:49.281,"{'cid': 'c869a6c0-c093-4da9-b8a1-aae588afa1bc', 'uuid': 'fe26d9d7-ba68-4f35-92f6-130dce233b79', 'annotationId': 'c6d8ebbb-c4a5-46f6-aa83-442045368014', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773348411, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:55:48.654Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,299.92,24020116.0,3700.0,3703.12,22340093.0,1600.0,1597.84,21470060.0,1370.0,1368.4,22450138.0,30.0,28.06,22040109.0,29.49,8.76,0.0,598130.81,9.18,31.82,1009.94
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,c6d8ebbb-c4a5-46f6-aa83-442045368014,57ac2775-33b0-42db-b70c-99b78f79ffa2,1410.0865478515625,479425.71875,197887.25,8115.44482421875,7127.3857421875,25913.384765625,182359.0,174440.25,232479.0,68191.4453125,123137.6640625,18654.66015625,270987.0,6751.61962890625,18926.07421875,36798.26171875,258743.078125,51747.08203125,190944.484375,19288.765625,6899.65771484375,13166.5791015625,25719.642578125,45427.35546875,2870087.25,343304.71875,1508390.125,3474943.25,11258430,5508.8095703125,68408.84375,146436640,64317652,20841.150390625,85874.09375,202275.515625,672742.4375,4288.6123046875,2816466.0,1124682.0,62646.2109375,483088.9375,20974.06640625,826935.9375,691.0776977539062,416941.84375,439924.25,234398.65625,914709.9375,69175.375,77039.703125,17105.849609375,4171.91943359375,273807.625,14901.9765625,141768.875,31285.380859375,400895.15625,1099460.625,58500.71875,7295.72705078125,122216.7734375,13608.9892578125,596909.3125,6458,33.64835357666016,35.26007461547852,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187842574,24484,0,37.00261688232422,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 9, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:55:49.582,"{'cid': 'c869a6c0-c093-4da9-b8a1-aae588afa1bc', 'uuid': 'fe26d9d7-ba68-4f35-92f6-130dce233b79', 'annotationId': 'c6d8ebbb-c4a5-46f6-aa83-442045368014', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773348411, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:55:48.654Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,300.35,24020116.0,3700.0,3702.37,22340093.0,1600.0,1598.41,21470060.0,1370.0,1369.0,22450138.0,30.0,28.5,22040109.0,29.49,8.76,0.0,598130.81,9.18,31.82,1009.94
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,c6d8ebbb-c4a5-46f6-aa83-442045368014,57ac2775-33b0-42db-b70c-99b78f79ffa2,1410.7662353515625,480013.375,197857.21875,8115.00439453125,7127.66845703125,25913.435546875,182288.6875,174448.484375,232496.71875,68190.3984375,123135.6640625,18655.958984375,266817.71875,6735.8212890625,18923.07421875,36800.26171875,259098.890625,51748.8671875,190323.96875,19279.845703125,6899.5791015625,13165.5068359375,25720.8828125,45430.9140625,2869276.5,342753.96875,1510150.875,3473781.0,11254461,5508.5986328125,70568.515625,146060544,64588000,20840.0234375,85892.09375,202258.0625,672876.375,4288.921875,2815790.5,1124041.25,62640.734375,483304.75,20972.482421875,826693.0,689.6700439453125,416823.28125,440150.125,234340.6875,914291.375,69156.59375,77019.9140625,17107.861328125,4168.7744140625,273766.03125,14860.8203125,141054.234375,31288.24609375,400866.1875,1099205.5,58507.453125,7295.6015625,122095.4296875,13617.9267578125,597450.5,6759,33.4871826171875,35.09890365600586,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187842574,24484,0,37.00261688232422,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 9, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:55:49.884,"{'cid': 'c869a6c0-c093-4da9-b8a1-aae588afa1bc', 'uuid': 'fe26d9d7-ba68-4f35-92f6-130dce233b79', 'annotationId': 'c6d8ebbb-c4a5-46f6-aa83-442045368014', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773348411, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:55:48.654Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,300.88,24020116.0,3700.0,3701.44,22340093.0,1600.0,1599.13,21470060.0,1370.0,1369.77,22450138.0,30.0,29.08,22040109.0,29.49,8.75,0.0,598198.99,9.19,31.82,1009.94
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,c6d8ebbb-c4a5-46f6-aa83-442045368014,57ac2775-33b0-42db-b70c-99b78f79ffa2,1413.2445068359375,479577.40625,197863.3125,8115.4404296875,7127.83203125,25913.244140625,182207.78125,174437.328125,232642.5625,68195.1796875,123166.2265625,18655.6171875,269165.0,6741.0234375,18926.255859375,36796.83203125,259589.3125,51735.0625,190523.4375,19277.146484375,6899.6728515625,13182.001953125,25722.0234375,45434.99609375,2868810.0,345607.53125,1507227.0,3473378.75,11248598,5508.7919921875,69799.53125,145467712,64938372,20840.85546875,85873.9765625,202254.34375,672908.375,4289.1962890625,2815735.25,1123746.625,62637.125,483128.03125,20975.41015625,826028.8125,690.333251953125,416949.09375,440368.90625,234345.484375,913458.6875,69158.3203125,77004.3984375,17109.578125,4165.50146484375,273697.71875,14875.478515625,141896.3125,31287.837890625,400840.375,1098879.875,58504.6640625,7295.59765625,122036.4453125,13611.8837890625,597277.0625,7060,33.56776809692383,35.26007461547852,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187842574,24484,0,37.00261688232422,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 9, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:55:50.185,"{'cid': 'c869a6c0-c093-4da9-b8a1-aae588afa1bc', 'uuid': 'fe26d9d7-ba68-4f35-92f6-130dce233b79', 'annotationId': 'c6d8ebbb-c4a5-46f6-aa83-442045368014', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773348411, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:55:48.654Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,301.4,24020116.0,3700.0,3700.5,22340093.0,1600.0,1599.84,21470060.0,1370.0,1370.53,22450138.0,30.0,29.65,22040109.0,29.48,8.74,0.0,598341.49,9.22,31.82,1009.93
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,c6d8ebbb-c4a5-46f6-aa83-442045368014,57ac2775-33b0-42db-b70c-99b78f79ffa2,1411.4310302734375,479682.40625,197881.09375,8115.3310546875,7127.33447265625,25912.740234375,182223.28125,174458.21875,232713.75,68222.3984375,123187.265625,18656.240234375,269936.8125,6744.53369140625,18924.197265625,36802.6796875,259598.546875,51740.6875,190110.125,19287.537109375,6899.77392578125,13187.0673828125,25721.966796875,45433.51953125,2870836.0,346377.8125,1508066.0,3474446.5,11246533,5509.25830078125,70235.7734375,145340896,65308432,20839.26953125,85878.1328125,202251.796875,672973.5625,4289.2236328125,2818158.25,1122132.125,62634.4140625,483203.40625,20976.52734375,825441.0625,690.4619750976562,417029.34375,439730.75,234322.5,912712.1875,69196.828125,77004.1015625,17108.189453125,4175.8896484375,273697.78125,14867.197265625,141524.359375,31286.310546875,400626.65625,1098208.75,58500.63671875,7295.1591796875,122075.1796875,13621.5009765625,597350.375,7361,33.56776809692383,35.26007461547852,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187847577,24484,0,37.20835494995117,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 9, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:55:50.487,"{'cid': 'c869a6c0-c093-4da9-b8a1-aae588afa1bc', 'uuid': 'fe26d9d7-ba68-4f35-92f6-130dce233b79', 'annotationId': 'c6d8ebbb-c4a5-46f6-aa83-442045368014', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773348411, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:55:48.654Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,301.51,24020116.0,3700.0,3700.57,22340093.0,1600.0,1600.14,21470060.0,1370.0,1370.81,22450138.0,30.0,29.97,22040109.0,29.48,8.74,0.0,598484.47,9.24,31.82,1009.92
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,c6d8ebbb-c4a5-46f6-aa83-442045368014,57ac2775-33b0-42db-b70c-99b78f79ffa2,1411.161865234375,479545.03125,197892.0625,8115.29931640625,7127.537109375,25913.4296875,182297.390625,174470.734375,232842.515625,68226.6328125,123206.2109375,18656.0859375,268096.78125,6710.048828125,18927.916015625,36801.21875,259722.359375,51743.76953125,190966.015625,19281.47265625,6899.529296875,13187.0390625,25722.765625,45434.40234375,2873220.5,344241.1875,1507794.375,3476231.75,11248345,5509.5146484375,70111.25,145498096,65666140,20842.146484375,85865.1171875,202197.71875,673040.875,4290.13037109375,2819576.75,1125675.25,62635.48828125,483073.0,20978.1171875,826226.375,690.044677734375,417104.71875,440137.71875,234315.140625,911631.5625,69161.7421875,76988.65625,17105.017578125,4173.0556640625,273399.21875,14885.2314453125,140963.171875,31279.8359375,400701.46875,1098119.375,58495.40234375,7295.75048828125,122228.8046875,13620.9609375,596720.0625,7662,33.40659713745117,35.09890365600586,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187847577,24484,0,37.20835494995117,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 9, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:55:50.786,"{'cid': 'c869a6c0-c093-4da9-b8a1-aae588afa1bc', 'uuid': 'fe26d9d7-ba68-4f35-92f6-130dce233b79', 'annotationId': 'c6d8ebbb-c4a5-46f6-aa83-442045368014', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773348411, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:55:48.654Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,301.16,24020116.0,3700.0,3701.81,22340093.0,1600.0,1599.93,21470060.0,1370.0,1370.48,22450138.0,30.0,29.97,22040109.0,29.49,8.74,0.0,598626.03,9.26,31.82,1009.91
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,c6d8ebbb-c4a5-46f6-aa83-442045368014,57ac2775-33b0-42db-b70c-99b78f79ffa2,1413.0537109375,479718.5,197912.421875,8115.34033203125,7127.51806640625,25913.3515625,182291.3125,174497.109375,233184.5,68147.1796875,123208.078125,18655.79296875,269630.5625,6730.71875,18926.81640625,36804.921875,259336.234375,51749.80078125,189892.15625,19283.783203125,6899.7685546875,13180.828125,25724.36328125,45440.47265625,2875242.75,345188.875,1509820.5,3477875.5,11256049,5509.67822265625,69551.71875,146164320,65945168,20838.966796875,85836.8984375,202198.59375,672901.6875,4289.7490234375,2819482.0,1126287.75,62628.83984375,483357.75,20972.26953125,826433.5,689.8651733398438,417042.03125,439799.0625,234323.953125,911249.8125,69155.6640625,77024.046875,17100.310546875,4174.30810546875,273343.09375,14886.78125,141356.75,31283.544921875,400670.90625,1097675.375,58488.19140625,7295.4404296875,122174.015625,13615.7099609375,596565.3125,7963,33.64835357666016,35.26007461547852,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187847577,24484,0,37.20835494995117,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 9, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:55:51.089,"{'cid': 'c869a6c0-c093-4da9-b8a1-aae588afa1bc', 'uuid': 'fe26d9d7-ba68-4f35-92f6-130dce233b79', 'annotationId': 'c6d8ebbb-c4a5-46f6-aa83-442045368014', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773348411, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:55:48.654Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,300.79,24020116.0,3700.0,3703.06,22340093.0,1600.0,1599.71,21470060.0,1370.0,1370.14,22450138.0,30.0,29.96,22040109.0,29.49,8.75,0.0,598436.68,9.27,31.82,1009.87
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,c6d8ebbb-c4a5-46f6-aa83-442045368014,57ac2775-33b0-42db-b70c-99b78f79ffa2,1411.5677490234375,480209.125,197946.875,8115.23486328125,7128.638671875,25914.517578125,182293.265625,174499.265625,233029.53125,68248.453125,123208.3046875,18656.5546875,270953.1875,6753.55126953125,18927.16015625,36803.265625,259403.984375,51756.97265625,190473.71875,19286.376953125,6899.662109375,13203.8125,25724.330078125,45440.41015625,2877436.25,345756.34375,1510477.625,3479665.0,11264603,5508.28759765625,69577.1875,146954816,66106672,20839.236328125,85846.46875,202160.046875,672683.3125,4290.16015625,2816923.5,1126965.75,62628.87890625,483378.03125,20971.90234375,826252.3125,689.9932861328125,416959.0625,439827.59375,234327.65625,910872.5625,69157.1953125,77033.9765625,17105.861328125,4175.9453125,273298.21875,14859.6796875,140272.109375,31281.19921875,400711.8125,1097308.625,58488.64453125,7295.62841796875,122080.3984375,13610.068359375,595862.25,8264,33.56776809692383,35.17948913574219,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187847577,24484,0,37.20835494995117,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 9, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:55:51.392,"{'cid': 'c869a6c0-c093-4da9-b8a1-aae588afa1bc', 'uuid': 'fe26d9d7-ba68-4f35-92f6-130dce233b79', 'annotationId': 'c6d8ebbb-c4a5-46f6-aa83-442045368014', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773348411, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:55:48.654Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,300.48,24020116.0,3700.0,3704.01,22340093.0,1600.0,1599.47,21470060.0,1370.0,1369.8,22450138.0,30.0,29.96,22040109.0,29.5,8.75,0.0,598161.72,9.27,31.82,1009.81
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,c6d8ebbb-c4a5-46f6-aa83-442045368014,57ac2775-33b0-42db-b70c-99b78f79ffa2,1411.9486083984375,481042.625,197982.84375,8115.08349609375,7128.6015625,25916.599609375,182302.125,174523.171875,233004.171875,68183.8515625,123200.359375,18654.330078125,272147.1875,6753.71240234375,18924.1328125,36807.43359375,259458.203125,51757.54296875,191278.71875,19280.927734375,6899.39599609375,13209.2724609375,25724.0703125,45438.2578125,2882633.75,345818.53125,1511024.75,3481470.0,11290009,5509.484375,68333.1015625,149368896,66012060,20839.69921875,85833.2109375,202180.046875,672290.9375,4289.59228515625,2810986.0,1125638.25,62642.76953125,483647.875,20971.681640625,826845.125,690.3137817382812,416791.40625,440584.3125,234381.265625,910349.875,69141.59375,77059.875,17104.091796875,4173.0,273548.8125,14858.1767578125,140442.984375,31275.955078125,400717.6875,1095861.375,58495.3671875,7295.21435546875,121971.5390625,13610.40234375,596461.25,8866,33.4871826171875,35.17948913574219,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187847577,24484,0,37.20835494995117,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-10ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 9, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:55:51.990,"{'cid': 'c869a6c0-c093-4da9-b8a1-aae588afa1bc', 'uuid': 'fe26d9d7-ba68-4f35-92f6-130dce233b79', 'annotationId': 'c6d8ebbb-c4a5-46f6-aa83-442045368014', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773348411, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:55:48.654Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,300.48,24020116.0,3700.0,3701.55,22340093.0,1600.0,1598.47,21470060.0,1370.0,1369.04,22450138.0,30.0,29.96,22040109.0,29.49,8.74,0.0,597619.05,9.28,31.82,1009.7
