component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_181425,FLW0_181425,ANLT0_181425,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,d5ac498e-5368-4040-818e-c6a4136267ab,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1414.3143310546875,478704.40625,197823.53125,8112.95263671875,7126.775390625,25908.046875,182342.15625,174349.796875,232086.96875,68265.53125,122942.8671875,18652.486328125,269203.625,6727.86767578125,18913.44921875,36780.6328125,258899.0,51735.27734375,189251.984375,19287.08984375,6898.02294921875,13199.9169921875,25690.650390625,45423.26171875,2866690.25,346566.03125,1521082.375,3471205.0,11247404,5507.783203125,69225.7734375,146107632,63791908,20842.998046875,85884.7109375,202199.4375,672487.6875,4287.21826171875,2785453.25,1119922.125,62643.4140625,483270.59375,20962.41796875,830279.8125,689.8323974609375,416925.1875,438969.75,234208.4375,914240.6875,69201.15625,76943.71875,17100.150390625,4168.78955078125,274153.125,14819.1845703125,141964.078125,31212.5390625,401142.9375,1100594.625,58528.14453125,7293.17822265625,122139.6171875,13613.62109375,599535.4375,5894,33.72894287109375,35.34066390991211,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187993080,24484,0,37.01913833618164,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:58:19.201,"{'cid': 'e6f7945f-c866-44e4-8cf8-f3df8f200a7a', 'uuid': '49df1f4a-7bed-4497-b7c3-c1232c87d26b', 'annotationId': 'd5ac498e-5368-4040-818e-c6a4136267ab', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773498759, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:58:18.978Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.5,8.74,1340.0,1339.04,22450138.0,60.0,60.25,22040109.0,3700.0,3698.16,22340093.0,1600.0,1599.04,21470060.0,300.0,300.48,24020116.0,0.0,597607.25,9.07,31.88,1010.04
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,d5ac498e-5368-4040-818e-c6a4136267ab,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1412.169921875,478737.59375,197826.25,8112.36376953125,7127.20654296875,25907.98046875,182238.859375,174353.34375,232695.859375,68175.9765625,122943.828125,18652.130859375,268737.40625,6682.38720703125,18913.7109375,36785.3203125,258904.21875,51727.15625,189633.125,19285.1171875,6898.2529296875,13220.35546875,25692.787109375,45425.56640625,2864866.75,346654.78125,1518945.125,3469509.0,11232208,5507.3935546875,70108.0859375,144694240,64112436,20845.767578125,85905.8515625,202224.203125,672670.3125,4288.90771484375,2789932.5,1124046.875,62636.296875,483119.8125,20963.908203125,829975.75,689.8475952148438,416759.6875,439323.25,234161.3125,914222.5625,69219.2109375,76949.890625,17100.578125,4173.1298828125,274268.21875,14817.82421875,142262.5,31210.302734375,401191.0,1100637.125,58538.82421875,7293.28515625,122096.8828125,13608.7861328125,599816.0,6195,33.64835357666016,35.26007461547852,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187993080,24484,0,37.01913833618164,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:58:19.501,"{'cid': 'e6f7945f-c866-44e4-8cf8-f3df8f200a7a', 'uuid': '49df1f4a-7bed-4497-b7c3-c1232c87d26b', 'annotationId': 'd5ac498e-5368-4040-818e-c6a4136267ab', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773498759, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:58:18.978Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.5,8.74,1340.0,1339.04,22450138.0,60.0,60.25,22040109.0,3700.0,3698.16,22340093.0,1600.0,1599.04,21470060.0,300.0,300.48,24020116.0,0.0,597607.25,9.07,31.88,1010.04
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,d5ac498e-5368-4040-818e-c6a4136267ab,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1413.23388671875,478705.3125,197826.71875,8112.87451171875,7126.74853515625,25907.53515625,182386.546875,174332.953125,232377.984375,68147.859375,122969.6171875,18652.193359375,269528.84375,6716.7119140625,18913.89453125,36784.43359375,258881.21875,51726.2890625,191044.78125,19286.951171875,6898.7802734375,13205.892578125,25693.822265625,45427.8359375,2863906.0,345625.34375,1518701.0,3468024.25,11221279,5508.3466796875,69966.71875,143645824,64555372,20839.98046875,85891.1796875,202265.375,672777.875,4287.451171875,2789801.75,1123627.625,62629.6640625,483015.6875,20964.337890625,829000.0,688.970703125,416915.40625,439019.34375,234133.578125,913466.4375,69180.7578125,76952.9609375,17098.234375,4169.67578125,272541.5,14808.2080078125,141512.984375,31213.1875,401208.96875,1100818.0,58525.84375,7292.95751953125,122288.203125,13614.7724609375,599707.75,6496,33.56776809692383,35.09890365600586,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187993080,24484,0,37.01913833618164,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:58:19.806,"{'cid': 'e6f7945f-c866-44e4-8cf8-f3df8f200a7a', 'uuid': '49df1f4a-7bed-4497-b7c3-c1232c87d26b', 'annotationId': 'd5ac498e-5368-4040-818e-c6a4136267ab', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773498759, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:58:18.978Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.5,8.74,1340.0,1339.02,22450138.0,60.0,60.19,22040109.0,3700.0,3698.11,22340093.0,1600.0,1598.89,21470060.0,300.0,300.27,24020116.0,0.0,597607.25,9.07,31.88,1010.04
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,d5ac498e-5368-4040-818e-c6a4136267ab,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1413.8975830078125,479545.21875,197792.859375,8113.07666015625,7126.60205078125,25907.818359375,182411.421875,174348.0625,232474.015625,68195.9296875,122980.7265625,18653.82421875,268515.6875,6706.58837890625,18915.3125,36788.79296875,259244.578125,51733.83203125,191381.015625,19291.015625,6898.69775390625,13211.4384765625,25696.689453125,45427.62890625,2866570.25,345445.5,1526071.625,3469604.25,11218946,5507.72607421875,69175.3515625,143396368,65083788,20840.33984375,85888.8828125,202302.84375,672897.6875,4287.48388671875,2793127.5,1122049.25,62629.44921875,483141.03125,20961.861328125,828499.9375,689.4963989257812,416784.84375,439019.25,234128.125,912169.0625,69174.8359375,76961.25,17094.2265625,4171.88671875,273504.28125,14805.4287109375,141934.34375,31209.021484375,401028.6875,1100713.625,58523.86328125,7292.97802734375,122217.1171875,13607.8642578125,599723.875,6797,33.64835357666016,35.26007461547852,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187993080,24484,0,37.01913833618164,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:58:20.105,"{'cid': 'e6f7945f-c866-44e4-8cf8-f3df8f200a7a', 'uuid': '49df1f4a-7bed-4497-b7c3-c1232c87d26b', 'annotationId': 'd5ac498e-5368-4040-818e-c6a4136267ab', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773498759, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:58:18.978Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.51,8.75,1340.0,1338.97,22450138.0,60.0,60.04,22040109.0,3700.0,3697.99,22340093.0,1600.0,1598.54,21470060.0,300.0,299.75,24020116.0,0.0,596891.36,9.07,31.88,1010.04
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,d5ac498e-5368-4040-818e-c6a4136267ab,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1413.0401611328125,480106.6875,197825.296875,8113.6220703125,7126.90673828125,25906.96484375,182406.421875,174363.203125,232701.328125,68151.9453125,122998.7421875,18653.376953125,268090.21875,6664.84814453125,18915.611328125,36800.078125,259430.890625,51741.28515625,190314.9375,19286.3984375,6898.787109375,13206.8681640625,25697.57421875,45430.2265625,2870021.5,346085.40625,1529593.5,3472383.5,11224754,5509.55810546875,69265.484375,143815760,65616576,20842.361328125,85874.140625,202259.140625,672950.75,4288.43212890625,2795579.25,1123851.75,62630.07421875,483043.875,20964.45703125,827813.625,689.65478515625,416635.9375,438684.90625,234133.71875,910772.3125,69170.765625,76989.3671875,17100.177734375,4169.59228515625,273552.96875,14784.5029296875,141663.75,31205.12890625,400857.0625,1099992.25,58520.7109375,7293.43603515625,122113.5234375,13601.365234375,598414.9375,7098,33.56776809692383,35.26007461547852,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187993080,24484,0,37.01913833618164,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:58:20.404,"{'cid': 'e6f7945f-c866-44e4-8cf8-f3df8f200a7a', 'uuid': '49df1f4a-7bed-4497-b7c3-c1232c87d26b', 'annotationId': 'd5ac498e-5368-4040-818e-c6a4136267ab', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773498759, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:58:18.978Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.52,8.75,1340.0,1338.92,22450138.0,60.0,59.9,22040109.0,3700.0,3697.87,22340093.0,1600.0,1598.18,21470060.0,300.0,299.22,24020116.0,0.0,595682.03,9.08,31.88,1010.04
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,d5ac498e-5368-4040-818e-c6a4136267ab,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1411.1143798828125,480331.84375,197872.78125,8113.548828125,7127.0703125,25908.484375,182450.796875,174368.9375,233003.328125,68292.9765625,123039.84375,18654.0546875,267804.03125,6653.7421875,18914.970703125,36798.2109375,259187.171875,51741.26171875,191167.84375,19296.0078125,6898.4638671875,13204.330078125,25696.87109375,45430.38671875,2872838.75,347555.8125,1526968.0,3475048.25,11237785,5509.11767578125,70577.53125,144914096,66035108,20835.955078125,85878.2265625,202203.15625,672878.9375,4287.3876953125,2797621.75,1122787.125,62629.78125,483058.125,20964.146484375,826851.625,690.1400756835938,417018.3125,438907.375,234138.65625,909906.875,69145.90625,76962.7265625,17100.216796875,4173.728515625,273673.03125,14805.30859375,142209.625,31204.669921875,400680.125,1099065.875,58513.83984375,7293.5869140625,122165.7265625,13608.884765625,597539.0625,7399,33.64835357666016,35.17948913574219,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187993080,24484,0,37.01913833618164,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:58:20.710,"{'cid': 'e6f7945f-c866-44e4-8cf8-f3df8f200a7a', 'uuid': '49df1f4a-7bed-4497-b7c3-c1232c87d26b', 'annotationId': 'd5ac498e-5368-4040-818e-c6a4136267ab', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773498759, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:58:18.978Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.52,8.75,1340.0,1338.92,22450138.0,60.0,59.76,22040109.0,3700.0,3697.76,22340093.0,1600.0,1597.88,21470060.0,300.0,298.74,24020116.0,0.0,594444.38,9.09,31.88,1010.04
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,d5ac498e-5368-4040-818e-c6a4136267ab,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1413.0943603515625,479952.875,197916.65625,8113.46337890625,7127.1552734375,25910.126953125,182390.671875,174414.890625,233034.296875,68272.1484375,123047.6171875,18651.42578125,267573.90625,6653.916015625,18916.20703125,36799.75390625,259070.828125,51747.88671875,190386.296875,19288.611328125,6898.6279296875,13200.9462890625,25698.236328125,45436.34765625,2876388.25,346645.0,1526385.25,3477732.5,11253173,5508.08203125,71400.4296875,146377472,66294164,20839.021484375,85840.96875,202213.171875,672619.375,4287.21484375,2793070.75,1122048.25,62633.48046875,482712.6875,20964.50390625,826997.625,689.2529907226562,416768.125,438932.625,234163.46875,909364.5,69143.015625,76943.734375,17094.908203125,4173.65185546875,272268.8125,14776.8251953125,142032.796875,31201.828125,400459.0,1097561.875,58506.984375,7292.80810546875,122107.0078125,13602.2587890625,597633.8125,7700,33.4871826171875,35.26007461547852,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187998083,24484,0,37.22829818725586,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:58:21.006,"{'cid': 'e6f7945f-c866-44e4-8cf8-f3df8f200a7a', 'uuid': '49df1f4a-7bed-4497-b7c3-c1232c87d26b', 'annotationId': 'd5ac498e-5368-4040-818e-c6a4136267ab', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773498759, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:58:18.978Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.52,8.75,1340.0,1339.34,22450138.0,60.0,59.81,22040109.0,3700.0,3697.73,22340093.0,1600.0,1598.47,21470060.0,300.0,299.14,24020116.0,0.0,593247.18,9.1,31.88,1010.04
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,d5ac498e-5368-4040-818e-c6a4136267ab,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1415.4244384765625,479835.46875,197921.875,8113.5732421875,7127.27294921875,25912.4453125,182437.578125,174470.953125,233018.90625,68357.421875,123058.7734375,18652.291015625,268719.96875,6691.76220703125,18917.939453125,36799.2890625,259122.59375,51750.85546875,189584.296875,19293.57421875,6898.71923828125,13197.2861328125,25698.90625,45434.6875,2879981.5,346599.96875,1526493.125,3479882.75,11271812,5508.6923828125,70011.296875,148122400,66343640,20830.607421875,85831.7265625,202150.171875,672348.75,4287.5263671875,2789029.75,1121070.5,62636.62109375,482890.09375,20963.65234375,826919.375,689.1783447265625,416961.15625,438721.28125,234205.109375,909114.875,69162.2109375,76923.3671875,17098.931640625,4173.755859375,271717.40625,14793.3017578125,142611.9375,31197.375,400360.4375,1096669.625,58509.05859375,7293.32763671875,122057.2578125,13603.673828125,597208.125,8001,33.56776809692383,35.34066390991211,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187998083,24484,0,37.22829818725586,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:58:21.307,"{'cid': 'e6f7945f-c866-44e4-8cf8-f3df8f200a7a', 'uuid': '49df1f4a-7bed-4497-b7c3-c1232c87d26b', 'annotationId': 'd5ac498e-5368-4040-818e-c6a4136267ab', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773498759, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:58:18.978Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.53,8.76,1340.0,1339.77,22450138.0,60.0,59.86,22040109.0,3700.0,3697.71,22340093.0,1600.0,1599.06,21470060.0,300.0,299.55,24020116.0,0.0,593035.54,9.1,31.88,1010.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,d5ac498e-5368-4040-818e-c6a4136267ab,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1415.2100830078125,480353.15625,197951.8125,8113.837890625,7126.77978515625,25913.08984375,182385.578125,174493.671875,233215.625,68356.75,123048.828125,18651.599609375,267927.53125,6658.61669921875,18916.533203125,36799.90625,259376.71875,51739.23828125,190484.921875,19287.484375,6898.427734375,13193.8798828125,25695.455078125,45425.56640625,2883494.25,346636.5,1530978.0,3481680.75,11290929,5509.005859375,69689.5,149894352,66175536,20837.58203125,85847.59375,202164.40625,672066.5625,4287.66943359375,2788251.0,1122379.25,62648.23046875,483150.1875,20963.568359375,827213.5625,689.0660400390625,417159.5,439135.15625,234231.328125,908874.0625,69173.4375,76932.5234375,17095.21484375,4178.0009765625,273136.21875,14783.7734375,142642.03125,31196.705078125,400380.75,1096252.125,58507.54296875,7292.88623046875,122045.8984375,13611.7314453125,596590.8125,8302,33.56776809692383,35.17948913574219,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187998083,24484,0,37.22829818725586,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:58:21.611,"{'cid': 'e6f7945f-c866-44e4-8cf8-f3df8f200a7a', 'uuid': '49df1f4a-7bed-4497-b7c3-c1232c87d26b', 'annotationId': 'd5ac498e-5368-4040-818e-c6a4136267ab', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773498759, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:58:18.978Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.53,8.76,1340.0,1340.2,22450138.0,60.0,59.9,22040109.0,3700.0,3697.69,22340093.0,1600.0,1599.67,21470060.0,300.0,299.96,24020116.0,0.0,593170.97,9.1,31.88,1009.95
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,d5ac498e-5368-4040-818e-c6a4136267ab,0bdb786f-6622-4911-a85b-ca4fbefbf2f7,1413.9942626953125,480070.5,197956.109375,8113.43359375,7127.43994140625,25913.76953125,182468.953125,174497.265625,232876.03125,68221.765625,123044.609375,18651.119140625,268216.78125,6656.93115234375,18916.185546875,36798.83203125,258924.703125,51737.36328125,191131.046875,19289.607421875,6898.2509765625,13199.2783203125,25694.451171875,45422.78515625,2886867.25,346767.25,1531289.125,3483429.75,11303416,5508.869140625,69627.3671875,151221744,65814244,20836.060546875,85845.7734375,202175.375,671952.1875,4287.720703125,2786931.0,1122987.625,62660.4921875,483195.78125,20962.509765625,828136.25,689.9818115234375,417032.4375,439488.28125,234299.703125,909316.0625,69201.0390625,76997.0859375,17089.513671875,4177.85595703125,273352.25,14788.216796875,142401.390625,31190.01171875,400258.15625,1095839.875,58508.57421875,7293.2275390625,122112.8125,13611.8408203125,596903.3125,8603,33.56776809692383,35.42124938964844,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,187998083,24484,0,37.22829818725586,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-20ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 10, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:58:21.909,"{'cid': 'e6f7945f-c866-44e4-8cf8-f3df8f200a7a', 'uuid': '49df1f4a-7bed-4497-b7c3-c1232c87d26b', 'annotationId': 'd5ac498e-5368-4040-818e-c6a4136267ab', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768773498759, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:58:18.978Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.52,8.76,1340.0,1340.37,22450138.0,60.0,59.9,22040109.0,3700.0,3697.66,22340093.0,1600.0,1599.8,21470060.0,300.0,300.06,24020116.0,0.0,593303.73,9.11,31.88,1009.9
