component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_183624,FLW0_183624,ANLT0_183624
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,1bd6dda7-bf71-4212-bf4a-2709f52ca9ef,354a879b-8110-4221-bec1-d8adc0833017,1325.421142578125,478593.96875,197619.5625,8095.8271484375,7114.35498046875,25879.439453125,181836.765625,173622.546875,232434.75,68162.8203125,121801.1953125,18623.123046875,268389.9375,6099.31005859375,18796.912109375,36741.48828125,256212.0625,51691.8671875,191793.234375,19227.845703125,6891.70654296875,13192.96484375,25466.462890625,45354.13671875,2860870.75,359746.8125,1603532.625,3464115.75,11320412,5500.93310546875,69281.65625,150993120,64216608,20807.533203125,85652.765625,202364.921875,671611.3125,4274.32763671875,2801688.0,1119875.75,62559.890625,482181.5625,20906.552734375,823788.875,688.79736328125,414678.375,439977.75,233241.46875,905128.9375,69108.8359375,77033.2890625,17082.484375,4154.595703125,271127.03125,14804.1240234375,140248.890625,30734.478515625,399902.59375,1096862.625,58401.1953125,7264.5146484375,121722.890625,13532.8232421875,593317.4375,5369,33.80952835083008,35.42124938964844,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189643643,24484,0,38.166969299316406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 21, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:25:48.641,"{'cid': 'b819c476-1597-4745-8cb3-2d9deeff5360', 'uuid': '75be2a2b-f9a2-40b9-8875-858acdbb576b', 'annotationId': '1bd6dda7-bf71-4212-bf4a-2709f52ca9ef', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768775148198, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:25:48.425Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.77,8.73,0.0,599707.19,8.02,32.36,1009.86,300.0,298.88,24020116.0,1250.0,1247.6,22450138.0,1600.0,1596.32,21470060.0,3700.0,3704.32,22340093.0,150.0,148.18,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,1bd6dda7-bf71-4212-bf4a-2709f52ca9ef,354a879b-8110-4221-bec1-d8adc0833017,1325.039306640625,478604.3125,197659.15625,8095.7431640625,7114.3515625,25877.7265625,181920.3125,173603.71875,232174.59375,68039.265625,121775.3515625,18622.0625,269641.53125,6115.5703125,18797.5390625,36736.7578125,255638.40625,51702.75,191663.34375,19220.2421875,6891.34814453125,13181.4208984375,25468.943359375,45348.91796875,2858759.25,359786.0,1602609.25,3463285.25,11309768,5501.251953125,69061.5625,150172224,64013992,20812.501953125,85634.640625,202418.046875,671684.0,4275.56103515625,2797386.0,1120184.25,62561.94140625,481756.5,20905.701171875,824759.6875,689.1790161132812,414460.90625,439683.4375,233254.234375,905540.5,69113.6875,77052.0,17077.12890625,4154.22998046875,271201.125,14810.9755859375,140013.25,30738.552734375,399992.75,1097955.125,58404.96484375,7264.6357421875,121851.2421875,13543.31640625,594100.3125,5670,33.890113830566406,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189643643,24484,0,38.166969299316406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 21, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:25:48.941,"{'cid': 'b819c476-1597-4745-8cb3-2d9deeff5360', 'uuid': '75be2a2b-f9a2-40b9-8875-858acdbb576b', 'annotationId': '1bd6dda7-bf71-4212-bf4a-2709f52ca9ef', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768775148198, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:25:48.425Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.77,8.73,0.0,599707.19,8.02,32.36,1009.86,300.0,298.88,24020116.0,1250.0,1247.6,22450138.0,1600.0,1596.32,21470060.0,3700.0,3704.32,22340093.0,150.0,148.18,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,1bd6dda7-bf71-4212-bf4a-2709f52ca9ef,354a879b-8110-4221-bec1-d8adc0833017,1325.1337890625,479131.40625,197638.96875,8094.89453125,7113.869140625,25877.5,181886.546875,173590.09375,231839.796875,67988.859375,121779.7734375,18622.619140625,270332.0625,6119.63623046875,18798.220703125,36737.4375,255850.953125,51711.23046875,191668.3125,19215.52734375,6891.74609375,13190.1064453125,25468.322265625,45349.421875,2857008.5,360251.40625,1598114.875,3461934.75,11297964,5501.591796875,69464.65625,149100544,63957912,20810.75390625,85664.4453125,202472.640625,671930.5625,4274.55126953125,2793214.0,1120454.25,62558.6328125,481721.53125,20903.794921875,824225.0625,689.2007446289062,414561.9375,439713.15625,233228.5625,905863.0625,69113.8125,77052.1015625,17083.0625,4153.83447265625,272384.0,14804.1357421875,140309.5,30740.1484375,399875.1875,1098615.5,58396.0,7265.2666015625,121875.4140625,13540.666015625,594469.5,5971,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189643643,24484,0,38.166969299316406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 21, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:25:49.241,"{'cid': 'b819c476-1597-4745-8cb3-2d9deeff5360', 'uuid': '75be2a2b-f9a2-40b9-8875-858acdbb576b', 'annotationId': '1bd6dda7-bf71-4212-bf4a-2709f52ca9ef', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768775148198, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:25:48.425Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.77,8.73,0.0,599589.92,8.02,32.36,1009.86,300.0,298.99,24020116.0,1250.0,1247.6,22450138.0,1600.0,1596.7,21470060.0,3700.0,3704.03,22340093.0,150.0,148.36,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,1bd6dda7-bf71-4212-bf4a-2709f52ca9ef,354a879b-8110-4221-bec1-d8adc0833017,1324.688232421875,477232.15625,197627.859375,8095.78125,7114.73828125,25876.55859375,181864.265625,173561.03125,232125.765625,68019.8515625,121793.6484375,18620.185546875,270405.875,6116.060546875,18799.9296875,36744.4765625,256331.390625,51704.59765625,191497.296875,19225.22265625,6891.44873046875,13202.06640625,25470.50390625,45349.3359375,2855688.25,359170.3125,1594073.0,3460067.25,11283761,5502.35009765625,69079.9375,147837344,64045116,20807.962890625,85644.78125,202470.453125,672047.25,4275.80078125,2792687.0,1121890.625,62549.82421875,481570.375,20903.67578125,823192.625,688.9669799804688,414306.4375,439982.78125,233199.484375,905958.125,69092.3515625,77033.7265625,17083.263671875,4161.021484375,272467.625,14847.669921875,140546.625,30741.54296875,400069.1875,1098827.625,58384.4375,7265.1572265625,121911.109375,13541.3662109375,594288.125,6272,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189643643,24484,0,38.166969299316406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 21, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:25:49.542,"{'cid': 'b819c476-1597-4745-8cb3-2d9deeff5360', 'uuid': '75be2a2b-f9a2-40b9-8875-858acdbb576b', 'annotationId': '1bd6dda7-bf71-4212-bf4a-2709f52ca9ef', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768775148198, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:25:48.425Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.76,8.73,0.0,599316.28,8.03,32.36,1009.86,300.0,299.25,24020116.0,1250.0,1247.6,22450138.0,1600.0,1597.6,21470060.0,3700.0,3703.31,22340093.0,150.0,148.81,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,1bd6dda7-bf71-4212-bf4a-2709f52ca9ef,354a879b-8110-4221-bec1-d8adc0833017,1326.2471923828125,477437.25,197584.921875,8095.76708984375,7113.7802734375,25877.48828125,181884.84375,173570.375,232275.578125,67965.234375,121802.2578125,18621.00390625,269808.65625,6127.5537109375,18795.62109375,36741.8125,256213.515625,51698.46484375,191787.953125,19222.025390625,6892.15380859375,13191.701171875,25471.86328125,45352.640625,2854500.0,359579.0,1595702.375,3458781.5,11271055,5501.986328125,68564.0703125,146767984,64254940,20809.689453125,85636.828125,202522.296875,672146.6875,4275.32470703125,2791264.75,1122806.25,62539.62109375,481224.0,20905.9453125,822369.8125,688.8323974609375,414427.28125,440071.15625,233198.359375,906054.5,69089.6484375,77016.6015625,17080.685546875,4164.078125,272451.25,14815.6572265625,140453.5,30742.267578125,400075.15625,1099231.125,58400.0703125,7265.36328125,121948.3828125,13536.7275390625,594086.875,6573,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189643643,24484,0,38.166969299316406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 21, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:25:49.842,"{'cid': 'b819c476-1597-4745-8cb3-2d9deeff5360', 'uuid': '75be2a2b-f9a2-40b9-8875-858acdbb576b', 'annotationId': '1bd6dda7-bf71-4212-bf4a-2709f52ca9ef', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768775148198, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:25:48.425Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.76,8.73,0.0,599043.56,8.03,32.35,1009.86,300.0,299.52,24020116.0,1250.0,1247.6,22450138.0,1600.0,1598.51,21470060.0,3700.0,3702.6,22340093.0,150.0,149.26,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,1bd6dda7-bf71-4212-bf4a-2709f52ca9ef,354a879b-8110-4221-bec1-d8adc0833017,1326.3179931640625,477035.90625,197562.34375,8095.6806640625,7114.404296875,25876.49609375,181842.34375,173560.453125,232284.8125,67991.0703125,121819.9765625,18620.068359375,270760.84375,6126.31640625,18799.390625,36741.79296875,256207.53125,51706.015625,192545.515625,19226.255859375,6891.31396484375,13189.7314453125,25472.53125,45358.46875,2854972.75,361872.5,1596122.75,3457781.25,11262131,5502.22998046875,68826.09375,146013488,64568800,20809.693359375,85640.59375,202504.28125,672307.625,4276.70361328125,2792927.5,1123824.25,62537.28125,481180.46875,20903.42578125,823343.0,688.3876953125,414189.90625,440476.5,233166.9375,905466.5,69096.6484375,77000.9921875,17080.029296875,4156.0810546875,272721.40625,14855.3701171875,141235.140625,30740.92578125,399871.71875,1099482.125,58396.11328125,7265.599609375,121888.3359375,13534.740234375,594381.875,6874,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189643643,24484,0,38.166969299316406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 21, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:25:50.146,"{'cid': 'b819c476-1597-4745-8cb3-2d9deeff5360', 'uuid': '75be2a2b-f9a2-40b9-8875-858acdbb576b', 'annotationId': '1bd6dda7-bf71-4212-bf4a-2709f52ca9ef', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768775148198, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:25:48.425Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.75,8.74,0.0,598767.2,8.04,32.35,1009.86,300.0,299.79,24020116.0,1250.0,1247.62,22450138.0,1600.0,1599.41,21470060.0,3700.0,3701.94,22340093.0,150.0,149.7,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,1bd6dda7-bf71-4212-bf4a-2709f52ca9ef,354a879b-8110-4221-bec1-d8adc0833017,1326.549560546875,476403.46875,197575.96875,8095.7236328125,7114.09912109375,25875.892578125,181812.046875,173568.0625,231925.71875,68047.3671875,121825.3046875,18621.54296875,271184.75,6122.8583984375,18798.4140625,36748.56640625,256506.25,51697.9921875,191664.84375,19226.373046875,6891.322265625,13188.6376953125,25473.63671875,45360.96875,2855776.75,360404.625,1596005.125,3458247.75,11256660,5502.85693359375,66449.0078125,145545376,64951660,20809.0625,85634.3125,202449.984375,672353.1875,4276.859375,2795054.25,1123155.125,62534.140625,481123.9375,20899.083984375,822850.9375,688.627197265625,414358.75,440193.03125,233166.09375,904490.6875,69120.7421875,77017.046875,17085.40234375,4149.0283203125,272743.90625,14820.736328125,140186.84375,30738.716796875,400081.0,1099208.0,58378.37890625,7264.96826171875,121804.6875,13530.1328125,594408.5625,7175,33.72894287109375,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189643643,24484,0,38.166969299316406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 21, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:25:50.441,"{'cid': 'b819c476-1597-4745-8cb3-2d9deeff5360', 'uuid': '75be2a2b-f9a2-40b9-8875-858acdbb576b', 'annotationId': '1bd6dda7-bf71-4212-bf4a-2709f52ca9ef', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768775148198, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:25:48.425Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.74,8.76,0.0,598811.47,8.04,32.35,1009.83,300.0,300.22,24020116.0,1250.0,1247.83,22450138.0,1600.0,1600.09,21470060.0,3700.0,3702.22,22340093.0,150.0,149.78,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,1bd6dda7-bf71-4212-bf4a-2709f52ca9ef,354a879b-8110-4221-bec1-d8adc0833017,1327.5308837890625,477077.625,197590.46875,8095.80078125,7114.1083984375,25875.32421875,181782.984375,173560.65625,232290.078125,68062.96875,121823.21875,18622.697265625,271787.21875,6103.75927734375,18798.314453125,36747.51953125,256525.875,51703.59765625,190382.359375,19221.892578125,6891.31982421875,13185.4697265625,25476.052734375,45363.31640625,2858122.25,359861.84375,1599042.5,3460423.75,11256162,5501.9716796875,65037.38671875,145536720,65348104,20807.783203125,85635.8671875,202435.515625,672394.3125,4276.0185546875,2798363.75,1122753.625,62529.30859375,481062.6875,20901.8515625,822487.0,689.210693359375,414444.0625,440503.875,233166.296875,903614.0,69119.90625,77011.2109375,17085.732421875,4147.2861328125,272866.875,14810.5263671875,140635.359375,30738.97265625,400136.53125,1098547.875,58373.77734375,7265.03857421875,121799.3125,13534.4072265625,594844.8125,7476,33.80952835083008,35.42124938964844,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189643643,24484,0,38.166969299316406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 21, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:25:50.744,"{'cid': 'b819c476-1597-4745-8cb3-2d9deeff5360', 'uuid': '75be2a2b-f9a2-40b9-8875-858acdbb576b', 'annotationId': '1bd6dda7-bf71-4212-bf4a-2709f52ca9ef', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768775148198, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:25:48.425Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.74,8.77,0.0,599086.45,8.04,32.35,1009.78,300.0,300.65,24020116.0,1250.0,1248.04,22450138.0,1600.0,1600.78,21470060.0,3700.0,3702.51,22340093.0,150.0,149.86,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,1bd6dda7-bf71-4212-bf4a-2709f52ca9ef,354a879b-8110-4221-bec1-d8adc0833017,1324.6905517578125,477173.65625,197582.703125,8095.46240234375,7114.60546875,25877.037109375,181887.6875,173575.265625,232223.203125,68044.0703125,121833.953125,18623.861328125,270605.78125,6096.77734375,18798.541015625,36749.984375,256814.71875,51709.015625,190632.890625,19223.98046875,6891.48388671875,13193.8564453125,25475.880859375,45361.0703125,2860500.25,361179.8125,1598680.0,3462347.0,11261108,5502.40478515625,66504.09375,145947744,65702036,20810.525390625,85634.6640625,202385.859375,672430.0,4277.01416015625,2796117.25,1121003.625,62527.97265625,480940.90625,20899.05078125,822133.875,688.8677368164062,414335.15625,439733.6875,233124.40625,902712.9375,69106.140625,77023.765625,17085.0,4146.8935546875,273061.21875,14800.6357421875,140627.890625,30730.783203125,399986.84375,1097625.875,58373.15234375,7264.5419921875,121745.1328125,13536.162109375,595012.0,7777,33.890113830566406,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189643643,24484,0,38.166969299316406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 21, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:25:51.046,"{'cid': 'b819c476-1597-4745-8cb3-2d9deeff5360', 'uuid': '75be2a2b-f9a2-40b9-8875-858acdbb576b', 'annotationId': '1bd6dda7-bf71-4212-bf4a-2709f52ca9ef', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768775148198, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:25:48.425Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.73,8.77,0.0,599360.52,8.05,32.36,1009.73,300.0,301.08,24020116.0,1250.0,1248.26,22450138.0,1600.0,1601.48,21470060.0,3700.0,3702.8,22340093.0,150.0,149.94,22040109.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,1bd6dda7-bf71-4212-bf4a-2709f52ca9ef,354a879b-8110-4221-bec1-d8adc0833017,1326.546630859375,477614.875,197654.71875,8095.91845703125,7114.3125,25879.8203125,181835.859375,173605.90625,232375.03125,68128.671875,121850.4453125,18625.150390625,270201.375,6115.16162109375,18797.837890625,36754.07421875,256115.96875,51707.18359375,190787.640625,19222.7734375,6891.91162109375,13193.9599609375,25475.9140625,45357.82421875,2863489.5,363825.875,1601078.25,3463779.75,11277467,5502.11083984375,65858.96875,147410128,66346520,20804.779296875,85606.015625,202323.96875,672104.125,4277.51708984375,2794181.0,1118883.875,62520.65234375,480822.21875,20898.47265625,822457.3125,689.3646850585938,414563.375,440052.65625,233133.984375,902222.9375,69081.2890625,76994.5859375,17080.6875,4147.978515625,272716.53125,14825.1494140625,140138.25,30734.5859375,399586.0625,1097024.0,58370.25,7264.68017578125,121607.78125,13533.3740234375,594350.8125,8080,33.970699310302734,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189643643,24484,0,38.166969299316406,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 21, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:25:51.348,"{'cid': 'b819c476-1597-4745-8cb3-2d9deeff5360', 'uuid': '75be2a2b-f9a2-40b9-8875-858acdbb576b', 'annotationId': '1bd6dda7-bf71-4212-bf4a-2709f52ca9ef', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768775148198, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:25:48.425Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.74,8.76,0.0,599634.59,8.05,32.36,1009.68,300.0,301.08,24020116.0,1250.0,1248.2,22450138.0,1600.0,1601.2,21470060.0,3700.0,3701.65,22340093.0,150.0,149.96,22040109.0
