component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_094324,FLW0_094324,ANLT0_094324,T0_183225,H0_183225
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,98b8e110-6da3-48c2-b742-a08f422f005f,64760d40-3065-408a-824b-75f1eeec7042,1272.9674072265625,475069.15625,197338.109375,8085.3115234375,7108.314453125,25855.376953125,181676.59375,173100.671875,231360.171875,67884.84375,121044.625,18604.986328125,271857.96875,5824.41845703125,18718.96484375,36710.88671875,254542.546875,51673.7265625,187913.421875,19188.126953125,6889.10888671875,13125.2470703125,25336.99609375,45339.0078125,2840609.25,357471.21875,1652609.875,3448481.75,11190233,5499.61572265625,67708.0078125,144723552,64371648,20788.150390625,85561.0625,202905.96875,672130.9375,4269.93115234375,2797989.75,1137798.625,62457.5625,480245.5,20875.658203125,820896.6875,688.7747802734375,412154.8125,438623.84375,232605.1875,901817.5625,69011.546875,76923.1484375,17073.25,4130.29833984375,273355.96875,14768.7470703125,141465.953125,30475.03515625,399174.9375,1098966.0,58366.96484375,7244.97314453125,121702.40625,13517.083984375,596561.25,5459,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191444704,24484,0,37.23183822631836,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-5ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 33, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:55:48.598,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': 'bc82ee03-e9d2-4127-b908-0dd056aa632a', 'annotationId': '98b8e110-6da3-48c2-b742-a08f422f005f', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776948148, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:55:48.366Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,609047.71,7.56,32.52,1010.05,15.0,14.6,22040109.0,1385.0,1382.88,22450138.0,3700.0,3699.76,22340093.0,300.0,298.88,24020116.0,1600.0,1597.2,21470060.0,29.8,8.74
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,98b8e110-6da3-48c2-b742-a08f422f005f,64760d40-3065-408a-824b-75f1eeec7042,1272.7054443359375,474848.6875,197374.0625,8085.3037109375,7108.33447265625,25856.6953125,181673.890625,173122.234375,231613.921875,67833.5234375,121061.125,18603.01953125,272651.625,5829.68994140625,18718.1796875,36716.51171875,254735.328125,51662.90234375,187279.296875,19184.603515625,6889.345703125,13128.8896484375,25339.32421875,45342.17578125,2842961.0,357377.6875,1649335.125,3449393.25,11186935,5499.2216796875,68968.78125,144467408,64907344,20789.205078125,85559.9140625,202930.40625,672182.9375,4269.63671875,2798751.25,1136391.5,62459.3515625,480185.59375,20876.41015625,820728.125,688.5049438476562,412085.4375,439104.5625,232595.4375,900665.5,68978.3828125,76929.109375,17077.916015625,4131.15673828125,273388.8125,14750.5625,140988.65625,30474.208984375,398944.625,1098623.375,58356.3515625,7245.69580078125,121648.0859375,13505.9072265625,596546.4375,5760,33.970699310302734,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191444704,24484,0,37.23183822631836,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-5ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 33, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:55:48.897,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': 'bc82ee03-e9d2-4127-b908-0dd056aa632a', 'annotationId': '98b8e110-6da3-48c2-b742-a08f422f005f', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776948148, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:55:48.366Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,609610.93,7.56,32.52,1010.05,15.0,14.6,22040109.0,1385.0,1382.88,22450138.0,3700.0,3699.76,22340093.0,300.0,298.88,24020116.0,1600.0,1597.2,21470060.0,29.8,8.74
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,98b8e110-6da3-48c2-b742-a08f422f005f,64760d40-3065-408a-824b-75f1eeec7042,1273.3046875,475400.34375,197342.171875,8086.28662109375,7108.359375,25857.162109375,181600.828125,173144.5625,231685.1875,68014.453125,121072.234375,18604.220703125,270701.78125,5825.84912109375,18720.9921875,36719.85546875,254571.890625,51670.5859375,188185.953125,19183.275390625,6889.39208984375,13138.13671875,25339.857421875,45347.34375,2846902.0,358499.65625,1649930.625,3452291.0,11190403,5499.19287109375,68564.5234375,144937040,65463952,20790.6015625,85555.359375,202930.375,672343.9375,4271.1005859375,2803207.0,1137656.5,62464.00390625,480472.5625,20876.876953125,820012.9375,688.3479614257812,412159.21875,438753.375,232596.5625,899331.125,68965.84375,76946.9609375,17077.30859375,4118.6611328125,273424.34375,14729.998046875,139348.4375,30465.78125,398883.1875,1098213.125,58352.984375,7245.146484375,121639.1953125,13509.9248046875,596171.25,6063,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191444704,24484,0,37.23183822631836,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-5ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 33, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:55:49.202,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': 'bc82ee03-e9d2-4127-b908-0dd056aa632a', 'annotationId': '98b8e110-6da3-48c2-b742-a08f422f005f', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776948148, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:55:48.366Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,610185.46,7.56,32.52,1010.05,15.0,14.65,22040109.0,1385.0,1383.06,22450138.0,3700.0,3699.62,22340093.0,300.0,299.05,24020116.0,1600.0,1597.71,21470060.0,29.8,8.74
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,98b8e110-6da3-48c2-b742-a08f422f005f,64760d40-3065-408a-824b-75f1eeec7042,1272.4527587890625,475608.8125,197371.203125,8086.06640625,7107.32421875,25859.66796875,181623.0625,173148.5625,231805.546875,67923.375,121074.5,18603.884765625,271733.4375,5823.86962890625,18718.93359375,36724.125,254864.6875,51663.375,188690.21875,19184.263671875,6889.416015625,13138.216796875,25343.251953125,45347.0625,2850211.5,360202.40625,1652310.75,3454587.5,11202782,5499.4873046875,68508.75,146106368,65861636,20791.818359375,85563.7109375,202936.34375,672257.625,4270.572265625,2804962.75,1136077.75,62456.3515625,480319.875,20876.853515625,820058.4375,688.1976318359375,412251.28125,438328.875,232599.15625,898512.25,68971.5703125,76939.0859375,17085.47265625,4121.130859375,272279.375,14742.837890625,140906.734375,30465.00390625,398593.4375,1096864.125,58353.71484375,7245.0517578125,121688.390625,13505.087890625,595909.125,6362,33.80952835083008,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191444704,24484,0,37.23183822631836,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-5ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 33, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:55:49.499,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': 'bc82ee03-e9d2-4127-b908-0dd056aa632a', 'annotationId': '98b8e110-6da3-48c2-b742-a08f422f005f', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776948148, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:55:48.366Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,610744.92,7.56,32.52,1010.05,15.0,14.77,22040109.0,1385.0,1383.46,22450138.0,3700.0,3699.32,22340093.0,300.0,299.45,24020116.0,1600.0,1598.92,21470060.0,29.8,8.73
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,98b8e110-6da3-48c2-b742-a08f422f005f,64760d40-3065-408a-824b-75f1eeec7042,1271.0675048828125,475512.375,197494.671875,8086.00732421875,7108.38720703125,25863.37890625,181691.03125,173245.609375,231802.375,67927.4296875,121112.859375,18605.939453125,271133.78125,5803.802734375,18723.578125,36723.27734375,254341.609375,51665.73046875,187940.015625,19186.34375,6888.9189453125,13129.8828125,25342.681640625,45341.62109375,2857631.25,358075.46875,1656688.125,3459322.5,11239238,5498.92431640625,68060.203125,149379184,66037332,20789.265625,85572.6953125,202966.140625,671615.9375,4270.8642578125,2803329.0,1133227.125,62482.56640625,480581.53125,20878.58203125,820329.875,688.0970458984375,412399.25,438168.25,232668.421875,897646.875,68991.46875,76892.8671875,17079.92578125,4120.07666015625,271882.625,14754.7197265625,141777.640625,30461.70703125,398693.21875,1094511.5,58343.421875,7244.96142578125,121669.7578125,13504.8564453125,594913.8125,6964,33.890113830566406,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191444704,24484,0,37.23183822631836,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-5ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 33, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:55:50.104,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': 'bc82ee03-e9d2-4127-b908-0dd056aa632a', 'annotationId': '98b8e110-6da3-48c2-b742-a08f422f005f', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776948148, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:55:48.366Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,611206.03,7.57,32.52,1010.06,15.0,15.01,22040109.0,1385.0,1384.25,22450138.0,3700.0,3698.69,22340093.0,300.0,300.25,24020116.0,1600.0,1601.26,21470060.0,29.79,8.71
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,98b8e110-6da3-48c2-b742-a08f422f005f,64760d40-3065-408a-824b-75f1eeec7042,1270.53466796875,475417.09375,197497.59375,8086.08056640625,7108.1923828125,25866.626953125,181704.265625,173267.609375,231483.671875,67828.7578125,121104.8984375,18603.072265625,272227.09375,5824.712890625,18720.404296875,36723.69921875,254163.359375,51653.2109375,187063.03125,19188.27734375,6888.60498046875,13132.0341796875,25340.115234375,45337.2890625,2861178.75,358046.28125,1655992.75,3461461.25,11256521,5498.78515625,68218.6875,151119312,65805152,20786.96875,85564.1328125,202915.953125,671393.3125,4270.4794921875,2804247.5,1130461.25,62492.4765625,480864.65625,20876.671875,821107.5,687.8193969726562,412686.0625,438560.28125,232760.140625,897882.9375,69001.390625,76929.8671875,17082.298828125,4124.8447265625,271613.90625,14778.578125,141410.0,30461.716796875,398514.375,1094003.875,58353.5859375,7245.10302734375,121706.3984375,13499.544921875,595502.875,7265,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191444704,24484,0,37.23183822631836,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-5ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 33, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:55:50.401,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': 'bc82ee03-e9d2-4127-b908-0dd056aa632a', 'annotationId': '98b8e110-6da3-48c2-b742-a08f422f005f', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776948148, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:55:48.366Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,611346.53,7.57,32.52,1010.06,15.0,15.0,22040109.0,1385.0,1384.34,22450138.0,3700.0,3698.39,22340093.0,300.0,300.44,24020116.0,1600.0,1600.93,21470060.0,29.79,8.71
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,98b8e110-6da3-48c2-b742-a08f422f005f,64760d40-3065-408a-824b-75f1eeec7042,1271.5306396484375,475537.625,197509.03125,8086.25244140625,7107.96484375,25866.126953125,181699.109375,173246.96875,231502.265625,67820.03125,121094.1796875,18602.466796875,270922.90625,5834.51318359375,18719.615234375,36728.35546875,253878.6875,51661.58203125,187046.484375,19180.306640625,6888.51953125,13131.9775390625,25340.970703125,45328.609375,2863715.5,354693.03125,1652935.0,3463032.75,11271217,5499.46826171875,67263.4140625,152408064,65355708,20786.90625,85566.9765625,202894.015625,671350.9375,4269.55029296875,2797974.75,1131231.0,62499.66796875,481037.125,20876.50390625,821606.5,688.2487182617188,412825.3125,438853.40625,232769.125,898890.75,68968.6484375,76954.1484375,17079.01171875,4114.24755859375,272012.65625,14792.9453125,141155.34375,30464.064453125,398504.53125,1093879.0,58356.81640625,7244.62451171875,121781.1796875,13495.931640625,595624.75,7566,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191444704,24484,0,37.23183822631836,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-5ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 33, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:55:50.702,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': 'bc82ee03-e9d2-4127-b908-0dd056aa632a', 'annotationId': '98b8e110-6da3-48c2-b742-a08f422f005f', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776948148, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:55:48.366Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,611488.91,7.58,32.52,1010.07,15.0,14.99,22040109.0,1385.0,1384.44,22450138.0,3700.0,3698.08,22340093.0,300.0,300.63,24020116.0,1600.0,1600.59,21470060.0,29.79,8.72
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,98b8e110-6da3-48c2-b742-a08f422f005f,64760d40-3065-408a-824b-75f1eeec7042,1270.293701171875,475461.25,197497.890625,8085.5478515625,7107.765625,25865.87890625,181718.84375,173245.6875,231275.421875,67843.25,121071.3046875,18605.00390625,271249.25,5804.99609375,18720.619140625,36724.4765625,253903.453125,51650.21484375,187293.890625,19183.033203125,6889.1376953125,13138.982421875,25337.6484375,45330.828125,2861018.75,357818.53125,1649811.375,3462441.5,11274260,5498.52392578125,67975.78125,152849648,64826036,20786.9609375,85575.734375,202855.4375,671269.9375,4268.44970703125,2797378.25,1129763.125,62505.55078125,480788.21875,20875.376953125,822117.75,687.261962890625,412685.6875,439050.71875,232780.71875,899915.125,68966.1328125,76950.5859375,17079.5625,4118.71728515625,271701.9375,14771.125,141046.578125,30462.806640625,398702.96875,1094357.75,58358.01953125,7244.67138671875,121726.921875,13494.2646484375,596063.75,7867,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191444704,24484,0,37.23183822631836,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-5ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 33, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:55:51.003,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': 'bc82ee03-e9d2-4127-b908-0dd056aa632a', 'annotationId': '98b8e110-6da3-48c2-b742-a08f422f005f', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776948148, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:55:48.366Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,611104.62,7.58,32.52,1010.03,15.0,14.97,22040109.0,1385.0,1384.53,22450138.0,3700.0,3697.77,22340093.0,300.0,300.82,24020116.0,1600.0,1600.26,21470060.0,29.79,8.74
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,98b8e110-6da3-48c2-b742-a08f422f005f,64760d40-3065-408a-824b-75f1eeec7042,1271.7640380859375,475652.125,197472.3125,8086.0322265625,7108.78662109375,25865.79296875,181770.578125,173242.765625,231510.828125,67842.53125,121057.03125,18602.005859375,270533.4375,5806.10107421875,18718.2265625,36719.19921875,254083.984375,51639.8828125,187149.421875,19184.458984375,6889.36572265625,13121.8369140625,25334.49609375,45333.12109375,2855855.25,359107.5625,1650400.75,3459516.75,11267507,5498.806640625,67702.7421875,152203872,64278916,20784.791015625,85546.375,202854.328125,671168.0,4270.86279296875,2798687.25,1131098.0,62495.86328125,481066.1875,20872.669921875,822227.375,687.8505859375,412421.65625,438722.46875,232749.515625,901163.0625,68962.7890625,76968.0703125,17082.41796875,4121.0537109375,271755.375,14768.9716796875,139230.765625,30470.45703125,398741.84375,1095171.875,58361.75,7245.03857421875,121781.21875,13498.0869140625,595825.9375,8168,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191444704,24484,0,37.23183822631836,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-5ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 33, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:55:51.307,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': 'bc82ee03-e9d2-4127-b908-0dd056aa632a', 'annotationId': '98b8e110-6da3-48c2-b742-a08f422f005f', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776948148, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:55:48.366Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,610530.45,7.58,32.52,1009.97,15.0,14.98,22040109.0,1385.0,1384.63,22450138.0,3700.0,3698.65,22340093.0,300.0,300.67,24020116.0,1600.0,1599.58,21470060.0,29.79,8.75
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,98b8e110-6da3-48c2-b742-a08f422f005f,64760d40-3065-408a-824b-75f1eeec7042,1272.384033203125,475491.90625,197433.5,8086.0283203125,7108.0986328125,25863.767578125,181692.5,173224.671875,231185.0,67790.9765625,121050.15625,18603.35546875,272364.9375,5821.0029296875,18720.712890625,36710.27734375,253911.953125,51644.37890625,186938.734375,19191.091796875,6889.36376953125,13135.6953125,25332.06640625,45331.93359375,2852248.5,358497.75,1648463.25,3457426.5,11258384,5499.662109375,66337.8671875,151185872,63919048,20784.98046875,85529.03125,202926.328125,671191.0,4270.20947265625,2799936.25,1133630.625,62487.8046875,481094.875,20870.97265625,822114.0625,688.4923095703125,412434.53125,438671.96875,232759.09375,901965.25,68981.34375,76970.8046875,17084.505859375,4120.5361328125,273193.0625,14766.2734375,138492.859375,30470.18359375,398819.75,1096076.0,58373.3671875,7244.9345703125,121767.0234375,13489.435546875,596330.0,8469,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,191444704,24484,0,37.23183822631836,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-5ppb-3RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 33, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:55:51.605,"{'cid': 'ead5bd6d-79e7-4ebe-b85c-79089553d2e4', 'uuid': 'bc82ee03-e9d2-4127-b908-0dd056aa632a', 'annotationId': '98b8e110-6da3-48c2-b742-a08f422f005f', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768776948148, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:55:48.366Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,609967.61,7.59,32.52,1009.91,15.0,14.99,22040109.0,1385.0,1384.72,22450138.0,3700.0,3699.98,22340093.0,300.0,300.39,24020116.0,1600.0,1598.78,21470060.0,29.79,8.75
