component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_094324,FLW0_094324,ANLT0_094324
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,15fd8bc6-4c1a-44b1-8366-9f54bf6f7424,5d2ce9d6-fc8a-4390-bc63-c52c71c9ef6c,1337.8829345703125,477121.3125,197629.375,8098.1708984375,7116.18603515625,25883.1953125,181995.609375,173668.484375,232851.453125,68054.9375,121985.53125,18625.626953125,270227.125,6226.74755859375,18807.728515625,36756.99609375,255712.25,51756.12109375,190309.40625,19238.841796875,6892.18505859375,13158.0546875,25499.455078125,45390.00390625,2867499.5,362831.21875,1594371.125,3466867.75,11259555,5501.22119140625,68689.6953125,149029024,66243888,20796.1328125,85607.3828125,202322.21875,671855.5,4278.1298828125,2769567.75,1132361.625,62535.16015625,481734.65625,20912.015625,824264.75,688.510009765625,414544.625,439826.1875,233359.984375,902847.5625,69121.859375,77048.8671875,17076.181640625,4152.8232421875,272252.96875,14791.771484375,142655.140625,30791.662109375,399894.25,1096264.5,58436.3828125,7269.47021484375,121772.2265625,13550.7607421875,595406.375,5086,33.72894287109375,35.34066390991211,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189342627,24484,0,38.22434616088867,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-3RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 19, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:20:48.191,"{'cid': '3d2f2aa6-2adf-4d3a-be88-9a06c04119fd', 'uuid': '1ffbc984-99f0-4a5c-81f9-e679a50cb7c9', 'annotationId': '15fd8bc6-4c1a-44b1-8366-9f54bf6f7424', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768774847760, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:20:47.979Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.7,8.75,0.0,601821.94,8.13,32.29,1010.06,210.0,209.83,22040109.0,300.0,299.68,24020116.0,1190.0,1185.6,22450138.0,3700.0,3694.8,22340093.0,1600.0,1599.68,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,15fd8bc6-4c1a-44b1-8366-9f54bf6f7424,5d2ce9d6-fc8a-4390-bc63-c52c71c9ef6c,1339.489501953125,477165.78125,197625.21875,8098.44921875,7116.0234375,25882.98046875,182076.90625,173686.3125,232795.625,68126.609375,121992.328125,18628.310546875,271334.4375,6227.29296875,18808.8515625,36762.4609375,255644.515625,51765.609375,191492.984375,19255.763671875,6892.2470703125,13152.693359375,25499.92578125,45381.75,2870628.5,362595.40625,1598173.75,3467918.0,11272062,5501.28759765625,68324.1875,150104240,66027560,20798.66015625,85620.6875,202313.78125,671758.8125,4278.37255859375,2764248.0,1132563.75,62537.1796875,482059.875,20914.41796875,824787.5,688.7710571289062,414306.9375,439823.625,233358.09375,902977.625,69119.296875,77054.5,17084.271484375,4154.37646484375,272022.6875,14835.3955078125,141931.625,30797.109375,399867.75,1095861.25,58436.15625,7269.81591796875,122095.75,13558.0673828125,595334.5,5387,33.72894287109375,35.42124938964844,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189342627,24484,0,38.22434616088867,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-3RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 19, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:20:48.493,"{'cid': '3d2f2aa6-2adf-4d3a-be88-9a06c04119fd', 'uuid': '1ffbc984-99f0-4a5c-81f9-e679a50cb7c9', 'annotationId': '15fd8bc6-4c1a-44b1-8366-9f54bf6f7424', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768774847760, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:20:47.979Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.7,8.75,0.0,601821.94,8.13,32.29,1010.06,210.0,209.83,22040109.0,300.0,299.68,24020116.0,1190.0,1185.6,22450138.0,3700.0,3694.8,22340093.0,1600.0,1599.68,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,15fd8bc6-4c1a-44b1-8366-9f54bf6f7424,5d2ce9d6-fc8a-4390-bc63-c52c71c9ef6c,1339.445556640625,477366.40625,197632.84375,8098.19873046875,7115.64599609375,25883.87109375,182109.328125,173711.828125,232806.59375,68177.1328125,121970.7265625,18626.796875,271675.59375,6202.73046875,18809.87109375,36762.73046875,255631.09375,51746.79296875,190662.828125,19231.578125,6892.076171875,13143.298828125,25500.271484375,45374.109375,2871898.75,362404.75,1600150.375,3468891.5,11279770,5501.509765625,68215.9765625,150799872,65690936,20800.759765625,85603.0234375,202273.78125,671723.5625,4279.11865234375,2772020.0,1131007.25,62537.984375,482102.0,20913.44140625,825382.3125,688.5957641601562,414523.28125,440013.375,233389.046875,903365.6875,69083.53125,77041.4375,17089.19921875,4150.4560546875,272260.84375,14819.2060546875,142586.25,30797.326171875,399957.6875,1095611.25,58425.8125,7269.51025390625,122148.3984375,13559.69921875,595473.9375,5688,33.890113830566406,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189342627,24484,0,38.22434616088867,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-3RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 19, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:20:48.792,"{'cid': '3d2f2aa6-2adf-4d3a-be88-9a06c04119fd', 'uuid': '1ffbc984-99f0-4a5c-81f9-e679a50cb7c9', 'annotationId': '15fd8bc6-4c1a-44b1-8366-9f54bf6f7424', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768774847760, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:20:47.979Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.7,8.76,0.0,601403.74,8.13,32.29,1010.06,210.0,209.84,22040109.0,300.0,299.79,24020116.0,1190.0,1185.76,22450138.0,3700.0,3695.13,22340093.0,1600.0,1599.68,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,15fd8bc6-4c1a-44b1-8366-9f54bf6f7424,5d2ce9d6-fc8a-4390-bc63-c52c71c9ef6c,1338.5081787109375,477502.09375,197644.203125,8097.9501953125,7115.8369140625,25883.34765625,182022.078125,173722.140625,232765.0625,68143.90625,121957.9375,18626.525390625,270756.3125,6213.9140625,18809.69921875,36762.41796875,255227.1875,51749.35546875,190871.875,19246.06640625,6891.41650390625,13160.1591796875,25498.95703125,45376.74609375,2870874.75,362959.9375,1595381.25,3469015.75,11284732,5501.03466796875,68597.671875,151093440,65275692,20800.2734375,85606.2421875,202296.875,671685.3125,4279.26416015625,2768508.0,1131098.75,62544.8828125,482203.6875,20915.505859375,825533.125,688.8336791992188,414400.625,439623.75,233384.25,904272.9375,69100.8203125,77051.4140625,17083.435546875,4158.52001953125,271210.71875,14816.3291015625,142970.875,30800.046875,400081.0,1095533.375,58432.87890625,7269.1142578125,122152.6953125,13555.8251953125,595059.25,5989,33.80952835083008,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189342627,24484,0,38.22434616088867,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-3RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 19, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:20:49.095,"{'cid': '3d2f2aa6-2adf-4d3a-be88-9a06c04119fd', 'uuid': '1ffbc984-99f0-4a5c-81f9-e679a50cb7c9', 'annotationId': '15fd8bc6-4c1a-44b1-8366-9f54bf6f7424', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768774847760, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:20:47.979Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.71,8.76,0.0,600301.89,8.13,32.29,1010.06,210.0,209.88,22040109.0,300.0,300.08,24020116.0,1190.0,1186.21,22450138.0,3700.0,3696.14,22340093.0,1600.0,1599.68,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,15fd8bc6-4c1a-44b1-8366-9f54bf6f7424,5d2ce9d6-fc8a-4390-bc63-c52c71c9ef6c,1339.225830078125,477437.6875,197644.625,8098.1904296875,7116.39501953125,25883.623046875,181952.5625,173704.375,232686.59375,68024.8359375,121951.0546875,18625.423828125,270546.8125,6217.9609375,18810.251953125,36759.5625,255177.828125,51752.23828125,190887.578125,19240.576171875,6891.18408203125,13147.0419921875,25499.224609375,45373.25,2866881.0,362688.5625,1591641.375,3467559.25,11283160,5501.33447265625,69572.671875,150870848,64853880,20793.76171875,85606.109375,202326.875,671667.875,4278.67724609375,2767982.5,1132213.0,62547.1953125,482039.59375,20913.73828125,825681.6875,688.562744140625,414607.0625,439780.25,233391.328125,905344.5,69132.921875,77048.90625,17082.826171875,4154.298828125,272112.09375,14819.8671875,142730.890625,30803.087890625,400041.375,1095719.5,58436.0546875,7269.73779296875,122072.7421875,13551.6025390625,595008.5,6290,33.890113830566406,35.42124938964844,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189342627,24484,0,38.22434616088867,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-3RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 19, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:20:49.393,"{'cid': '3d2f2aa6-2adf-4d3a-be88-9a06c04119fd', 'uuid': '1ffbc984-99f0-4a5c-81f9-e679a50cb7c9', 'annotationId': '15fd8bc6-4c1a-44b1-8366-9f54bf6f7424', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768774847760, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:20:47.979Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.71,8.77,0.0,599218.21,8.14,32.29,1010.05,210.0,209.91,22040109.0,300.0,300.36,24020116.0,1190.0,1186.66,22450138.0,3700.0,3697.14,22340093.0,1600.0,1599.68,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,15fd8bc6-4c1a-44b1-8366-9f54bf6f7424,5d2ce9d6-fc8a-4390-bc63-c52c71c9ef6c,1338.2254638671875,477046.40625,197603.453125,8098.34814453125,7115.75439453125,25882.693359375,181991.796875,173686.078125,232156.46875,68089.9765625,121966.515625,18625.46484375,270449.78125,6204.97412109375,18809.546875,36754.546875,255142.875,51757.12890625,190274.015625,19242.025390625,6891.662109375,13152.9189453125,25499.47265625,45374.34765625,2860012.0,361444.40625,1591361.125,3464689.75,11269819,5501.376953125,68519.1875,149537264,64259072,20797.482421875,85617.6640625,202344.734375,671728.875,4277.32373046875,2778842.25,1131320.25,62548.54296875,482205.09375,20913.291015625,824502.0625,687.7371826171875,414803.875,439989.65625,233405.859375,906470.375,69141.71875,77057.765625,17081.732421875,4154.5380859375,272357.34375,14803.568359375,138678.59375,30807.033203125,399948.65625,1096955.375,58450.4296875,7270.03466796875,122023.0078125,13559.6708984375,595724.3125,6892,33.80952835083008,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189342627,24484,0,38.22434616088867,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-3RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 19, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:20:49.996,"{'cid': '3d2f2aa6-2adf-4d3a-be88-9a06c04119fd', 'uuid': '1ffbc984-99f0-4a5c-81f9-e679a50cb7c9', 'annotationId': '15fd8bc6-4c1a-44b1-8366-9f54bf6f7424', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768774847760, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:20:47.979Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.71,8.74,0.0,597824.86,8.14,32.29,1010.03,210.0,209.91,22040109.0,300.0,300.64,24020116.0,1190.0,1188.02,22450138.0,3700.0,3698.23,22340093.0,1600.0,1600.05,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,15fd8bc6-4c1a-44b1-8366-9f54bf6f7424,5d2ce9d6-fc8a-4390-bc63-c52c71c9ef6c,1339.012939453125,477008.90625,197578.671875,8098.2236328125,7115.8671875,25882.7265625,181958.71875,173651.59375,232590.296875,68104.59375,121954.703125,18626.265625,270646.21875,6233.7236328125,18808.845703125,36758.15234375,255535.265625,51766.1328125,189883.84375,19247.7265625,6891.9677734375,13155.8056640625,25500.57421875,45375.3515625,2857948.0,362000.40625,1599160.375,3463471.25,11260171,5501.349609375,69193.265625,148577488,64157404,20789.90234375,85629.203125,202392.484375,671968.1875,4278.701171875,2778463.75,1132340.25,62545.54296875,481782.4375,20913.607421875,824552.1875,688.1992797851562,414678.625,440401.1875,233366.53125,906974.6875,69122.3671875,77091.125,17087.392578125,4149.400390625,272761.5,14809.818359375,140496.953125,30809.44140625,399914.90625,1097889.5,58451.07421875,7269.58740234375,122054.8515625,13560.576171875,596271.125,7193,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189342627,24484,0,38.22434616088867,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-3RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 19, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:20:50.297,"{'cid': '3d2f2aa6-2adf-4d3a-be88-9a06c04119fd', 'uuid': '1ffbc984-99f0-4a5c-81f9-e679a50cb7c9', 'annotationId': '15fd8bc6-4c1a-44b1-8366-9f54bf6f7424', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768774847760, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:20:47.979Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.71,8.73,0.0,598234.23,8.15,32.29,1009.98,210.0,209.87,22040109.0,300.0,300.64,24020116.0,1190.0,1188.93,22450138.0,3700.0,3698.3,22340093.0,1600.0,1600.41,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,15fd8bc6-4c1a-44b1-8366-9f54bf6f7424,5d2ce9d6-fc8a-4390-bc63-c52c71c9ef6c,1338.533203125,476977.4375,197541.265625,8098.45458984375,7115.80615234375,25882.2109375,181912.65625,173652.34375,232217.078125,68062.296875,121939.0859375,18625.501953125,270014.125,6222.20947265625,18808.193359375,36755.21484375,255686.15625,51764.66015625,191046.984375,19246.13671875,6891.9267578125,13155.5048828125,25500.771484375,45374.2734375,2856319.25,362450.46875,1601862.25,3462330.0,11245257,5501.30908203125,68342.90625,147245552,64201932,20796.6875,85607.0390625,202401.546875,672140.3125,4278.68603515625,2780951.5,1133259.5,62538.38671875,481835.3125,20911.455078125,824681.375,688.2881469726562,414647.53125,440111.21875,233351.609375,907231.5,69089.1171875,77067.6171875,17087.6171875,4151.20166015625,271160.0,14799.1337890625,140987.59375,30810.6640625,399908.9375,1098482.375,58444.625,7270.224609375,122191.203125,13561.8701171875,595916.375,7494,33.80952835083008,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189347644,24484,0,36.75994110107422,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-3RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 19, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:20:50.599,"{'cid': '3d2f2aa6-2adf-4d3a-be88-9a06c04119fd', 'uuid': '1ffbc984-99f0-4a5c-81f9-e679a50cb7c9', 'annotationId': '15fd8bc6-4c1a-44b1-8366-9f54bf6f7424', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768774847760, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:20:47.979Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.71,8.72,0.0,598644.96,8.15,32.29,1009.94,210.0,209.83,22040109.0,300.0,300.64,24020116.0,1190.0,1189.84,22450138.0,3700.0,3698.37,22340093.0,1600.0,1600.76,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,15fd8bc6-4c1a-44b1-8366-9f54bf6f7424,5d2ce9d6-fc8a-4390-bc63-c52c71c9ef6c,1340.2781982421875,476421.0625,197528.96875,8098.125,7115.95166015625,25879.529296875,181918.375,173643.8125,232552.453125,67993.1640625,121943.2578125,18628.333984375,269782.53125,6217.97265625,18811.759765625,36753.87890625,255709.71875,51766.27734375,191021.265625,19248.544921875,6891.5283203125,13160.9287109375,25500.3359375,45371.91796875,2855354.75,363303.375,1594828.875,3460691.25,11234591,5501.74658203125,69499.1796875,146263424,64353408,20794.505859375,85612.2265625,202399.0625,672260.8125,4277.890625,2777705.5,1132188.75,62526.6484375,481624.75,20914.29296875,824611.75,688.54296875,414287.625,439720.15625,233325.765625,907059.0,69105.984375,77067.8359375,17075.181640625,4154.0107421875,270876.875,14802.01171875,140649.421875,30807.548828125,399931.96875,1098656.625,58437.55078125,7270.205078125,122078.515625,13561.7490234375,596581.75,7795,33.64835357666016,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189347644,24484,0,36.75994110107422,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-3RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 19, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:20:50.899,"{'cid': '3d2f2aa6-2adf-4d3a-be88-9a06c04119fd', 'uuid': '1ffbc984-99f0-4a5c-81f9-e679a50cb7c9', 'annotationId': '15fd8bc6-4c1a-44b1-8366-9f54bf6f7424', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768774847760, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:20:47.979Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.71,8.73,0.0,599052.97,8.16,32.29,1009.89,210.0,209.83,22040109.0,300.0,300.64,24020116.0,1190.0,1190.31,22450138.0,3700.0,3699.88,22340093.0,1600.0,1600.59,21470060.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,15fd8bc6-4c1a-44b1-8366-9f54bf6f7424,5d2ce9d6-fc8a-4390-bc63-c52c71c9ef6c,1340.0911865234375,477231.84375,197526.59375,8098.3408203125,7116.02392578125,25878.78125,181864.640625,173648.125,232223.921875,68034.5078125,121946.6171875,18624.81640625,269081.65625,6198.4677734375,18809.6875,36749.15234375,255542.84375,51763.55859375,190830.8125,19252.935546875,6891.37744140625,13154.98828125,25499.677734375,45369.82421875,2853939.75,364552.9375,1593693.5,3459779.25,11229974,5501.6259765625,68352.8046875,145709712,64631880,20793.30859375,85594.3046875,202375.859375,672353.875,4278.31494140625,2774054.0,1130788.25,62520.70703125,481586.5,20911.41015625,824211.375,688.4607543945312,414296.71875,439217.0,233284.640625,906498.6875,69093.25,77051.5,17081.435546875,4149.90966796875,272150.09375,14763.3740234375,140700.953125,30806.42578125,400015.625,1099218.125,58447.5,7269.416015625,122202.0625,13551.904296875,596258.4375,8096,33.80952835083008,35.42124938964844,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,189347644,24484,0,36.75994110107422,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-3RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 19, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 22:20:51.201,"{'cid': '3d2f2aa6-2adf-4d3a-be88-9a06c04119fd', 'uuid': '1ffbc984-99f0-4a5c-81f9-e679a50cb7c9', 'annotationId': '15fd8bc6-4c1a-44b1-8366-9f54bf6f7424', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768774847760, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T22:20:47.979Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.7,8.73,0.0,599464.46,8.16,32.29,1009.88,210.0,209.83,22040109.0,300.0,300.64,24020116.0,1190.0,1190.55,22450138.0,3700.0,3702.22,22340093.0,1600.0,1600.16,21470060.0
