component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_181425,FLW0_181425,ANLT0_181425,T0_183225,H0_183225,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_453024,FLW0_453024,ANLT0_453024
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,d438e297-d9f6-4ba2-aa21-72b967b4522c,70f8b869-20e8-49a8-a612-47b3ecd7d700,1489.2056884765625,481507.78125,198751.515625,8146.44873046875,7150.10107421875,25993.91015625,183505.375,176761.4375,234229.609375,68468.5703125,125987.015625,18717.97265625,271898.5625,7299.11865234375,19163.923828125,36932.94921875,258983.4375,51989.89453125,192604.875,19415.791015625,6912.01806640625,13283.728515625,26292.923828125,45627.3359375,2901699.0,348890.53125,1351314.5,3520710.75,11280326,5532.5849609375,66682.765625,142198960,63942272,20954.921875,86362.796875,201404.078125,674323.6875,4315.50341796875,2729461.25,1120295.75,62905.85546875,486753.0,21123.67578125,828916.375,692.57373046875,424624.59375,443438.375,236764.171875,932189.625,69647.2734375,76982.2890625,17168.662109375,4203.0673828125,274924.8125,14949.3154296875,143064.015625,32388.15625,402995.40625,1102083.625,58633.4765625,7336.8505859375,122929.421875,13683.7158203125,604583.375,6692,32.84249496459961,34.29304504394531,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,186643519,24484,0,37.357872009277344,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-3RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 1, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:35:49.917,"{'cid': '6377d88d-6af6-4e13-9db8-4a20cc385a00', 'uuid': 'ed32a1fb-3c9a-47d1-8a29-895ef6e1123e', 'annotationId': 'd438e297-d9f6-4ba2-aa21-72b967b4522c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768772149595, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:35:49.836Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",270.0,264.39,22040109.0,1600.0,1595.52,21470060.0,1130.0,1129.12,22450138.0,300.0,300.96,24020116.0,28.91,8.56,0.0,549503.62,13.09,31.07,1010.38,3700.0,3699.76,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,d438e297-d9f6-4ba2-aa21-72b967b4522c,70f8b869-20e8-49a8-a612-47b3ecd7d700,1489.1517333984375,481652.03125,198770.296875,8146.78271484375,7149.85791015625,25993.916015625,183506.0,176793.421875,234303.828125,68484.453125,125997.5078125,18716.37109375,271333.09375,7270.31103515625,19165.392578125,36930.6484375,259210.78125,52002.4609375,192463.90625,19425.501953125,6911.68115234375,13267.60546875,26293.814453125,45628.51953125,2904625.5,350363.34375,1350956.0,3522850.75,11289213,5532.05029296875,65812.0,142863792,64258912,20955.291015625,86354.8515625,201374.40625,674246.625,4315.87109375,2733627.25,1119784.375,62908.88671875,486544.5,21124.861328125,828706.875,692.6309814453125,424627.125,443718.0625,236775.96875,931352.25,69667.515625,76993.9453125,17164.458984375,4191.751953125,274741.84375,14967.8818359375,142454.90625,32387.033203125,403029.34375,1101255.25,58635.93359375,7337.2041015625,122962.1796875,13683.974609375,604761.4375,6993,32.84249496459961,34.53480529785156,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,186643519,24484,0,37.357872009277344,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-3RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 1, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:35:50.221,"{'cid': '6377d88d-6af6-4e13-9db8-4a20cc385a00', 'uuid': 'ed32a1fb-3c9a-47d1-8a29-895ef6e1123e', 'annotationId': 'd438e297-d9f6-4ba2-aa21-72b967b4522c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768772149595, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:35:49.836Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",270.0,264.59,22040109.0,1600.0,1595.61,21470060.0,1130.0,1129.13,22450138.0,300.0,300.94,24020116.0,28.91,8.56,0.0,549503.62,13.09,31.07,1010.38,3700.0,3699.76,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,d438e297-d9f6-4ba2-aa21-72b967b4522c,70f8b869-20e8-49a8-a612-47b3ecd7d700,1487.5611572265625,481863.25,198818.4375,8146.87109375,7149.98681640625,25997.64453125,183554.40625,176817.171875,234202.078125,68368.9609375,126005.0859375,18717.5625,271106.0,7303.50537109375,19165.41015625,36934.38671875,259148.84375,52000.1953125,191818.109375,19420.615234375,6911.76904296875,13273.4462890625,26293.708984375,45623.0546875,2906517.5,349106.25,1351982.25,3524516.25,11298784,5531.9462890625,67226.875,143703616,64405984,20954.474609375,86344.25,201353.390625,673903.1875,4315.22412109375,2731795.25,1119607.625,62919.33203125,486742.25,21124.263671875,829044.4375,692.2819213867188,424836.3125,443690.40625,236813.828125,930827.75,69658.53125,77017.6796875,17170.439453125,4196.85400390625,275056.71875,14958.2783203125,142193.90625,32389.34375,402900.875,1100252.375,58627.046875,7336.74755859375,122964.7265625,13682.5771484375,604965.9375,7294,32.92308044433594,34.53480529785156,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,186643519,24484,0,37.357872009277344,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-3RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 1, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:35:50.518,"{'cid': '6377d88d-6af6-4e13-9db8-4a20cc385a00', 'uuid': 'ed32a1fb-3c9a-47d1-8a29-895ef6e1123e', 'annotationId': 'd438e297-d9f6-4ba2-aa21-72b967b4522c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768772149595, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:35:49.836Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",270.0,266.21,22040109.0,1600.0,1596.6,21470060.0,1130.0,1129.18,22450138.0,300.0,300.71,24020116.0,28.92,8.56,0.0,549503.62,13.09,31.07,1010.38,3700.0,3699.76,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,d438e297-d9f6-4ba2-aa21-72b967b4522c,70f8b869-20e8-49a8-a612-47b3ecd7d700,1486.239990234375,481923.1875,198867.40625,8146.56005859375,7149.87109375,25998.30078125,183490.140625,176850.96875,234017.46875,68385.5625,126008.59375,18718.08984375,271173.1875,7307.5009765625,19164.3046875,36935.98046875,259408.6875,52006.37109375,191477.359375,19408.87109375,6911.41845703125,13266.5400390625,26293.06640625,45620.02734375,2909377.75,350767.875,1352105.875,3526212.5,11310868,5532.79736328125,66997.8203125,144751152,64418712,20956.046875,86371.9765625,201325.203125,673728.625,4314.6708984375,2731275.25,1119814.125,62925.953125,486764.0,21124.0859375,828539.0625,692.5048217773438,424888.65625,443459.5,236835.28125,930429.8125,69643.796875,77015.8125,17169.708984375,4197.2607421875,275208.28125,14964.8642578125,142397.484375,32388.947265625,402969.375,1099390.25,58633.859375,7337.24658203125,122933.5390625,13678.6923828125,603616.75,7595,33.003665924072266,34.53480529785156,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,186643519,24484,0,37.357872009277344,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-3RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 1, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:35:50.819,"{'cid': '6377d88d-6af6-4e13-9db8-4a20cc385a00', 'uuid': 'ed32a1fb-3c9a-47d1-8a29-895ef6e1123e', 'annotationId': 'd438e297-d9f6-4ba2-aa21-72b967b4522c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768772149595, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:35:49.836Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",270.0,267.86,22040109.0,1600.0,1597.61,21470060.0,1130.0,1129.24,22450138.0,300.0,300.47,24020116.0,28.93,8.57,0.0,549503.62,13.09,31.07,1010.38,3700.0,3699.76,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,d438e297-d9f6-4ba2-aa21-72b967b4522c,70f8b869-20e8-49a8-a612-47b3ecd7d700,1486.9407958984375,482010.03125,198884.90625,8146.8779296875,7150.72314453125,25999.70703125,183465.953125,176845.859375,234082.078125,68425.265625,126006.578125,18716.08203125,270558.8125,7300.2255859375,19166.478515625,36938.1328125,259149.953125,51976.19140625,191605.65625,19413.6484375,6911.68505859375,13270.615234375,26292.13671875,45621.27734375,2912962.25,349434.0,1353535.875,3527626.0,11319937,5531.90576171875,66215.078125,145570176,64236468,20955.064453125,86383.5546875,201291.328125,673646.6875,4316.61474609375,2730695.0,1118871.75,62936.48046875,487093.75,21125.625,829148.0625,692.5279541015625,424960.4375,443665.125,236897.515625,930384.75,69644.453125,77003.75,17166.923828125,4201.724609375,275443.1875,14944.4794921875,141870.359375,32389.861328125,402960.90625,1099033.5,58634.57421875,7336.87646484375,122972.0703125,13675.4716796875,603407.625,7896,32.84249496459961,34.37363052368164,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,186643519,24484,0,37.357872009277344,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-3RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 1, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:35:51.120,"{'cid': '6377d88d-6af6-4e13-9db8-4a20cc385a00', 'uuid': 'ed32a1fb-3c9a-47d1-8a29-895ef6e1123e', 'annotationId': 'd438e297-d9f6-4ba2-aa21-72b967b4522c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768772149595, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:35:49.836Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",270.0,269.51,22040109.0,1600.0,1598.61,21470060.0,1130.0,1129.3,22450138.0,300.0,300.23,24020116.0,28.95,8.57,0.0,549240.47,13.1,31.07,1010.38,3700.0,3699.76,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,d438e297-d9f6-4ba2-aa21-72b967b4522c,70f8b869-20e8-49a8-a612-47b3ecd7d700,1485.7991943359375,481961.4375,198891.125,8147.302734375,7150.392578125,25997.984375,183496.234375,176836.234375,234083.515625,68468.828125,126009.546875,18715.380859375,270264.78125,7289.458984375,19168.013671875,36931.7578125,258780.59375,51972.3359375,191390.625,19413.31640625,6911.703125,13265.859375,26291.55859375,45614.671875,2915657.75,349787.75,1356257.375,3528851.0,11328568,5532.08251953125,66770.7421875,146290800,63976224,20953.9609375,86362.984375,201301.125,673587.0,4315.92333984375,2731440.75,1120091.375,62937.9140625,487264.09375,21125.15234375,829442.0625,692.9431762695312,425106.09375,443872.40625,236905.046875,930861.4375,69643.5234375,76991.296875,17168.88671875,4207.2666015625,275165.1875,14950.076171875,142408.65625,32388.609375,402971.75,1098526.625,58636.421875,7336.6455078125,122934.4453125,13679.724609375,604269.125,8197,33.003665924072266,34.61539077758789,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,186648552,24484,0,37.9293212890625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-3RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 1, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:35:51.424,"{'cid': '6377d88d-6af6-4e13-9db8-4a20cc385a00', 'uuid': 'ed32a1fb-3c9a-47d1-8a29-895ef6e1123e', 'annotationId': 'd438e297-d9f6-4ba2-aa21-72b967b4522c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768772149595, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:35:49.836Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",270.0,269.88,22040109.0,1600.0,1599.23,21470060.0,1130.0,1129.36,22450138.0,300.0,299.99,24020116.0,28.96,8.58,0.0,548892.66,13.1,31.07,1010.39,3700.0,3700.15,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,d438e297-d9f6-4ba2-aa21-72b967b4522c,70f8b869-20e8-49a8-a612-47b3ecd7d700,1486.59716796875,481950.5625,198923.796875,8147.31640625,7150.30029296875,25998.783203125,183489.125,176854.28125,234032.65625,68496.4453125,126003.1484375,18715.779296875,270643.46875,7316.97509765625,19167.40234375,36930.60546875,258371.328125,51978.83203125,192161.046875,19418.24609375,6911.634765625,13274.966796875,26291.962890625,45612.9296875,2913997.25,349361.90625,1358245.125,3528325.0,11328335,5532.123046875,68048.546875,146450256,63625392,20956.13671875,86369.7890625,201243.515625,673593.0625,4315.6611328125,2728527.5,1121329.5,62940.97265625,487745.03125,21123.681640625,829379.375,693.5538330078125,425096.5625,443399.0625,236919.59375,931898.875,69662.984375,77003.9375,17170.490234375,4195.53759765625,275567.34375,14960.056640625,142843.671875,32388.62109375,403009.59375,1098721.625,58644.73046875,7336.78955078125,122911.0234375,13690.12109375,604433.5,8498,33.003665924072266,34.53480529785156,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,186648552,24484,0,37.9293212890625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-3RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 1, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:35:51.722,"{'cid': '6377d88d-6af6-4e13-9db8-4a20cc385a00', 'uuid': 'ed32a1fb-3c9a-47d1-8a29-895ef6e1123e', 'annotationId': 'd438e297-d9f6-4ba2-aa21-72b967b4522c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768772149595, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:35:49.836Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",270.0,269.85,22040109.0,1600.0,1599.71,21470060.0,1130.0,1129.42,22450138.0,300.0,299.75,24020116.0,28.95,8.57,0.0,548551.71,13.11,31.07,1010.39,3700.0,3700.67,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,d438e297-d9f6-4ba2-aa21-72b967b4522c,70f8b869-20e8-49a8-a612-47b3ecd7d700,1486.4954833984375,481736.3125,198903.734375,8147.8779296875,7150.26806640625,25997.666015625,183464.46875,176851.578125,233830.0,68403.484375,125985.703125,18715.587890625,270165.21875,7298.533203125,19169.544921875,36930.01171875,258627.359375,51972.57421875,191144.28125,19417.533203125,6911.5380859375,13277.3232421875,26291.78515625,45615.3828125,2910157.5,348423.3125,1356407.25,3526940.0,11325035,5532.19482421875,68785.296875,146168112,63250540,20950.5,86350.859375,201265.9375,673541.375,4315.353515625,2726895.75,1121246.375,62940.50390625,487534.9375,21127.333984375,830204.0625,693.2916259765625,425014.53125,443795.90625,236919.375,932638.75,69671.734375,76995.3515625,17171.201171875,4205.42578125,275744.28125,14948.0732421875,142843.46875,32393.453125,403036.25,1099552.625,58645.15234375,7336.75,123041.3203125,13689.0244140625,605041.75,8799,33.003665924072266,34.45421600341797,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,186648552,24484,0,37.9293212890625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-3RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 1, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:35:52.028,"{'cid': '6377d88d-6af6-4e13-9db8-4a20cc385a00', 'uuid': 'ed32a1fb-3c9a-47d1-8a29-895ef6e1123e', 'annotationId': 'd438e297-d9f6-4ba2-aa21-72b967b4522c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768772149595, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:35:49.836Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",270.0,269.83,22040109.0,1600.0,1600.19,21470060.0,1130.0,1129.48,22450138.0,300.0,299.51,24020116.0,28.94,8.56,0.0,548201.61,13.12,31.07,1010.4,3700.0,3701.2,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,d438e297-d9f6-4ba2-aa21-72b967b4522c,70f8b869-20e8-49a8-a612-47b3ecd7d700,1485.6566162109375,481960.5,198865.0,8147.2216796875,7150.0693359375,25995.919921875,183551.734375,176850.8125,233784.765625,68479.6015625,125978.96875,18716.509765625,270621.8125,7302.61376953125,19166.748046875,36932.04296875,258582.359375,51981.84765625,190105.875,19414.900390625,6911.7294921875,13264.5234375,26289.337890625,45614.0390625,2906710.25,347841.46875,1355172.625,3526014.5,11319592,5532.0341796875,68446.53125,145913536,62952792,20956.85546875,86347.71875,201295.421875,673520.875,4314.6953125,2725412.5,1122380.0,62939.453125,487340.40625,21124.501953125,829893.1875,693.4512329101562,425042.09375,444209.0,236937.28125,933461.25,69669.828125,76981.4921875,17166.546875,4206.01953125,275800.8125,14956.8154296875,142709.796875,32397.296875,403004.21875,1100430.125,58645.80859375,7336.86669921875,122873.171875,13687.888671875,604920.0,9100,33.003665924072266,34.45421600341797,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,186648552,24484,0,37.9293212890625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-3RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 1, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:35:52.324,"{'cid': '6377d88d-6af6-4e13-9db8-4a20cc385a00', 'uuid': 'ed32a1fb-3c9a-47d1-8a29-895ef6e1123e', 'annotationId': 'd438e297-d9f6-4ba2-aa21-72b967b4522c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768772149595, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:35:49.836Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",270.0,269.83,22040109.0,1600.0,1600.48,21470060.0,1130.0,1129.54,22450138.0,300.0,299.35,24020116.0,28.93,8.55,0.0,548285.26,13.12,31.07,1010.35,3700.0,3701.2,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,d438e297-d9f6-4ba2-aa21-72b967b4522c,70f8b869-20e8-49a8-a612-47b3ecd7d700,1487.66796875,481843.125,198832.9375,8147.64501953125,7150.12890625,25995.7578125,183453.84375,176810.140625,233850.5,68431.8515625,125965.0078125,18715.400390625,271175.125,7292.9990234375,19168.58203125,36927.18359375,258723.40625,51993.80078125,190514.8125,19421.66015625,6911.703125,13262.53515625,26292.544921875,45610.578125,2903798.5,350684.5,1355478.75,3524460.0,11314448,5532.79345703125,68756.8515625,145148112,62772704,20953.880859375,86362.6171875,201376.421875,673565.625,4313.8779296875,2726293.25,1124365.5,62939.69921875,486865.75,21124.22265625,830217.125,693.203857421875,424857.125,444322.96875,236928.171875,934202.375,69649.1171875,76971.6640625,17167.775390625,4202.6240234375,275804.0,14966.97265625,143022.1875,32400.41796875,402899.5,1101342.25,58644.9453125,7336.32373046875,122698.65625,13686.666015625,604681.625,9401,32.92308044433594,34.45421600341797,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,186648552,24484,0,37.9293212890625,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-3RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 1, 'TrialName': '3rh', 'identifier': '8D11v', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 21:35:52.625,"{'cid': '6377d88d-6af6-4e13-9db8-4a20cc385a00', 'uuid': 'ed32a1fb-3c9a-47d1-8a29-895ef6e1123e', 'annotationId': 'd438e297-d9f6-4ba2-aa21-72b967b4522c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768772149595, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T21:35:49.836Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",270.0,269.87,22040109.0,1600.0,1600.48,21470060.0,1130.0,1129.6,22450138.0,300.0,299.33,24020116.0,28.93,8.55,0.0,548399.77,13.13,31.07,1010.29,3700.0,3700.34,22340093.0
