component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_181425,FLW0_181425,ANLT0_181425,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_453024,FLW0_453024,ANLT0_453024
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,bed29bbe-8d3a-4751-96da-ec41fc138f11,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1262.2467041015625,481605.4375,198393.75,8103.3017578125,7117.3955078125,25915.4765625,183126.859375,176252.359375,233218.734375,68960.9609375,124135.5546875,18608.439453125,273629.75,5755.39306640625,18988.216796875,36898.078125,255045.4375,51874.046875,188218.953125,19425.04296875,6893.1142578125,13159.4013671875,25878.646484375,45507.26953125,2890538.5,369081.34375,1390197.75,3518548.0,11251569,5533.75537109375,66229.8359375,141964240,60129300,20907.85546875,85879.53125,202257.296875,671860.0,4300.53369140625,2734759.25,1111907.375,62714.02734375,484895.71875,21039.734375,823043.3125,693.1763305664062,423625.03125,441101.75,235656.359375,924047.0,69442.6796875,77175.4765625,17179.869140625,4146.5107421875,272292.78125,14892.77734375,142283.921875,31150.681640625,401450.78125,1095692.125,58436.5078125,7247.29736328125,122057.4140625,13544.517578125,599603.6875,4423,33.970699310302734,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194590315,24484,0,37.27256774902344,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:48:17.855,"{'cid': 'c04d07ee-94c6-44df-ad3c-f46614593299', 'uuid': 'c7aee882-f5a7-43f1-bd32-45d89285d4a7', 'annotationId': 'bed29bbe-8d3a-4751-96da-ec41fc138f11', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768780097534, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:48:17.774Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.83,20.03,1600.0,1597.84,21470060.0,1100.0,1100.0,24020116.0,0.0,563101.44,14.11,32.6,1009.97,1400.0,1396.64,22450138.0,0.0,0.0,22040109.0,2900.0,2897.36,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,bed29bbe-8d3a-4751-96da-ec41fc138f11,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1261.761474609375,481596.9375,198363.03125,8102.80859375,7117.07373046875,25912.55859375,183010.0,176213.125,233423.328125,68862.171875,124103.7578125,18609.708984375,272903.28125,5756.5009765625,18989.595703125,36884.7109375,254745.203125,51881.921875,188984.890625,19423.1484375,6892.87939453125,13152.71484375,25879.353515625,45502.65625,2886906.0,365823.6875,1390004.875,3517178.5,11238083,5533.76123046875,66811.9140625,140974176,59811244,20909.291015625,85890.03125,202305.953125,671868.625,4300.73046875,2738684.5,1114095.0,62711.171875,485057.0625,21045.4921875,823734.75,692.6488647460938,423684.25,441219.28125,235644.046875,924689.8125,69438.53125,77188.921875,17186.73046875,4142.115234375,273951.6875,14880.849609375,142611.859375,31152.72265625,401602.1875,1096624.5,58438.37109375,7248.041015625,122000.1953125,13544.73828125,599413.6875,4724,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194590315,24484,0,37.27256774902344,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:48:18.156,"{'cid': 'c04d07ee-94c6-44df-ad3c-f46614593299', 'uuid': 'c7aee882-f5a7-43f1-bd32-45d89285d4a7', 'annotationId': 'bed29bbe-8d3a-4751-96da-ec41fc138f11', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768780097534, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:48:17.774Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.83,20.03,1600.0,1597.84,21470060.0,1100.0,1100.0,24020116.0,0.0,563101.44,14.11,32.6,1009.97,1400.0,1396.64,22450138.0,0.0,0.0,22040109.0,2900.0,2897.36,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,bed29bbe-8d3a-4751-96da-ec41fc138f11,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1262.7498779296875,480855.90625,198321.078125,8102.70068359375,7116.91748046875,25913.90234375,183009.046875,176175.265625,233248.0,68913.90625,124097.8984375,18610.220703125,272348.5,5749.54052734375,18986.421875,36883.3359375,255023.6875,51875.2890625,187598.546875,19429.86328125,6892.7724609375,13141.8681640625,25878.5078125,45506.421875,2883566.5,364094.75,1390852.25,3515370.75,11223859,5533.23681640625,67907.3984375,139700592,59637672,20908.419921875,85912.046875,202390.5,672103.125,4301.3896484375,2737551.25,1112684.125,62712.8046875,484537.59375,21042.5859375,824076.5625,693.1542358398438,423596.34375,441002.09375,235608.390625,925118.1875,69448.5625,77168.7578125,17181.87890625,4144.46630859375,273976.28125,14867.873046875,141997.734375,31159.06640625,401627.96875,1097658.25,58445.76953125,7247.56884765625,122041.4140625,13542.9716796875,600464.3125,5025,33.890113830566406,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194590315,24484,0,37.27256774902344,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:48:18.463,"{'cid': 'c04d07ee-94c6-44df-ad3c-f46614593299', 'uuid': 'c7aee882-f5a7-43f1-bd32-45d89285d4a7', 'annotationId': 'bed29bbe-8d3a-4751-96da-ec41fc138f11', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768780097534, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:48:17.774Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.83,20.02,1600.0,1597.86,21470060.0,1100.0,1100.0,24020116.0,0.0,563106.66,14.11,32.6,1009.97,1400.0,1396.67,22450138.0,0.0,0.0,22040109.0,2900.0,2897.37,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,bed29bbe-8d3a-4751-96da-ec41fc138f11,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1262.49169921875,480788.03125,198274.1875,8102.21240234375,7116.7939453125,25911.447265625,182976.59375,176142.9375,233076.734375,68909.3203125,124091.328125,18608.154296875,273118.375,5745.4814453125,18985.896484375,36899.75390625,255062.21875,51879.0859375,187533.296875,19433.904296875,6892.84619140625,13165.81640625,25879.755859375,45505.7265625,2881111.5,365878.09375,1391487.875,3513603.5,11203845,5533.69775390625,67704.2578125,137976144,59657632,20910.0,85926.03125,202345.1875,672342.625,4299.92236328125,2736091.25,1110684.5,62705.61328125,484419.34375,21041.810546875,823531.9375,692.6956787109375,423324.21875,440699.4375,235587.625,925560.5625,69448.2421875,77148.46875,17180.93359375,4143.15576171875,274329.9375,14875.216796875,140795.296875,31159.88671875,401707.1875,1098263.375,58444.58984375,7247.669921875,122029.9140625,13532.7783203125,600976.625,5326,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194590315,24484,0,37.27256774902344,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:48:18.757,"{'cid': 'c04d07ee-94c6-44df-ad3c-f46614593299', 'uuid': 'c7aee882-f5a7-43f1-bd32-45d89285d4a7', 'annotationId': 'bed29bbe-8d3a-4751-96da-ec41fc138f11', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768780097534, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:48:17.774Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,20.01,1600.0,1598.26,21470060.0,1100.0,1100.07,24020116.0,0.0,563224.79,14.11,32.6,1009.97,1400.0,1398.26,22450138.0,0.0,0.02,22040109.0,2900.0,2898.28,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,bed29bbe-8d3a-4751-96da-ec41fc138f11,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1262.5343017578125,480467.9375,198245.328125,8102.20458984375,7117.04736328125,25910.037109375,182861.828125,176118.140625,233400.203125,69043.1015625,124097.09375,18609.744140625,272613.0625,5752.80126953125,18984.48046875,36899.3828125,255083.9375,51888.52734375,188348.453125,19441.99609375,6892.82373046875,13155.37109375,25883.400390625,45516.8828125,2879276.25,366730.5625,1387739.875,3511733.5,11188129,5534.27587890625,67529.484375,136699744,59827932,20913.4765625,85912.6328125,202337.625,672558.3125,4300.35107421875,2740066.0,1112147.875,62686.57421875,484236.96875,21039.8125,822962.25,692.5596923828125,423235.09375,440142.3125,235524.71875,925800.125,69433.453125,77154.46875,17182.48828125,4140.24072265625,274200.34375,14880.3935546875,140926.78125,31163.10546875,401781.8125,1098675.5,58452.8984375,7247.77099609375,122156.2734375,13535.251953125,602094.0625,5627,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194595347,24484,0,37.898136138916016,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:48:19.058,"{'cid': 'c04d07ee-94c6-44df-ad3c-f46614593299', 'uuid': 'c7aee882-f5a7-43f1-bd32-45d89285d4a7', 'annotationId': 'bed29bbe-8d3a-4751-96da-ec41fc138f11', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768780097534, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:48:17.774Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.81,20.01,1600.0,1598.67,21470060.0,1100.0,1100.15,24020116.0,0.0,563345.73,14.1,32.59,1009.98,1400.0,1399.88,22450138.0,0.0,0.05,22040109.0,2900.0,2899.21,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,bed29bbe-8d3a-4751-96da-ec41fc138f11,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1262.64306640625,480567.21875,198213.875,8102.23876953125,7116.42626953125,25907.955078125,182882.984375,176109.40625,233418.03125,68905.4453125,124073.21875,18607.671875,272751.15625,5764.27685546875,18987.08203125,36912.91796875,255127.125,51884.13671875,188633.84375,19440.17578125,6893.03759765625,13159.7470703125,25885.984375,45513.77734375,2877372.75,366176.65625,1387090.125,3509507.75,11176326,5534.28125,67872.2734375,135587824,60145024,20909.71875,85903.109375,202352.625,672704.4375,4301.1240234375,2738477.5,1111963.875,62681.48828125,484021.71875,21042.130859375,821363.8125,692.9672241210938,423255.25,440109.71875,235486.890625,924987.0625,69452.1875,77141.8203125,17179.01953125,4144.5498046875,274136.84375,14862.9287109375,141586.25,31165.876953125,401817.71875,1099135.375,58439.515625,7247.88623046875,122136.625,13543.1015625,600922.375,5928,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194595347,24484,0,37.898136138916016,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:48:19.359,"{'cid': 'c04d07ee-94c6-44df-ad3c-f46614593299', 'uuid': 'c7aee882-f5a7-43f1-bd32-45d89285d4a7', 'annotationId': 'bed29bbe-8d3a-4751-96da-ec41fc138f11', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768780097534, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:48:17.774Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.81,20.0,1600.0,1599.07,21470060.0,1100.0,1100.22,24020116.0,0.0,563466.67,14.1,32.59,1009.98,1400.0,1401.51,22450138.0,0.0,0.08,22040109.0,2900.0,2900.14,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,bed29bbe-8d3a-4751-96da-ec41fc138f11,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1263.500244140625,480337.625,198199.265625,8102.06689453125,7116.85400390625,25910.2109375,182882.34375,176107.734375,233306.140625,68937.40625,124097.7890625,18608.869140625,272418.03125,5750.89013671875,18988.591796875,36908.23046875,255297.90625,51877.3203125,188245.40625,19435.20703125,6893.00048828125,13171.298828125,25885.84375,45522.8671875,2877273.5,364271.59375,1386568.25,3508992.5,11167632,5533.35009765625,66246.796875,134853552,60567364,20911.48046875,85876.71875,202368.5,672833.875,4299.11328125,2741625.5,1114475.875,62680.25,483987.1875,21041.208984375,820660.875,693.5643920898438,422677.125,440119.21875,235481.21875,924344.875,69435.015625,77126.421875,17178.28125,4143.32275390625,274199.53125,14864.6103515625,141141.734375,31158.380859375,401704.34375,1099392.75,58432.48828125,7247.09326171875,122036.2421875,13543.3544921875,602009.9375,6229,33.80952835083008,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194595347,24484,0,37.898136138916016,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:48:19.661,"{'cid': 'c04d07ee-94c6-44df-ad3c-f46614593299', 'uuid': 'c7aee882-f5a7-43f1-bd32-45d89285d4a7', 'annotationId': 'bed29bbe-8d3a-4751-96da-ec41fc138f11', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768780097534, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:48:17.774Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.81,20.01,1600.0,1599.23,21470060.0,1100.0,1100.14,24020116.0,0.0,563414.92,14.1,32.59,1009.97,1400.0,1401.19,22450138.0,0.0,0.08,22040109.0,2900.0,2900.86,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,bed29bbe-8d3a-4751-96da-ec41fc138f11,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1262.137451171875,480914.6875,198239.546875,8102.45556640625,7117.16650390625,25909.39453125,182865.265625,176084.0625,233304.421875,68943.3828125,124104.4140625,18610.69140625,272030.78125,5766.80322265625,18988.03515625,36905.53125,255367.515625,51873.71875,188743.8125,19433.431640625,6892.673828125,13188.06640625,25886.59765625,45514.24609375,2879938.25,364490.09375,1387241.875,3511167.75,11169876,5533.953125,67223.4140625,134809760,61055784,20911.119140625,85900.0234375,202372.90625,672892.5625,4299.7607421875,2744870.0,1115134.375,62683.00390625,484257.40625,21039.85546875,820491.1875,692.8743286132812,422858.5625,440427.5,235471.671875,923060.875,69399.8046875,77108.1328125,17181.865234375,4137.740234375,274236.3125,14865.7421875,141043.234375,31155.873046875,401539.90625,1098768.125,58439.73046875,7247.05322265625,121943.1796875,13534.0595703125,601044.4375,6530,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194595347,24484,0,37.898136138916016,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:48:19.962,"{'cid': 'c04d07ee-94c6-44df-ad3c-f46614593299', 'uuid': 'c7aee882-f5a7-43f1-bd32-45d89285d4a7', 'annotationId': 'bed29bbe-8d3a-4751-96da-ec41fc138f11', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768780097534, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:48:17.774Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.81,20.01,1600.0,1599.28,21470060.0,1100.0,1100.0,24020116.0,0.0,562571.08,14.1,32.59,1009.93,1400.0,1399.83,22450138.0,0.0,0.06,22040109.0,2900.0,2901.46,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,bed29bbe-8d3a-4751-96da-ec41fc138f11,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1262.439453125,481085.8125,198239.453125,8102.16845703125,7116.72607421875,25909.41796875,182821.484375,176083.96875,233206.265625,68906.671875,124136.015625,18608.720703125,272817.59375,5746.03662109375,18989.900390625,36917.0859375,255018.46875,51883.89453125,189730.203125,19431.240234375,6893.1318359375,13189.169921875,25885.525390625,45519.65625,2883552.0,364046.59375,1392602.25,3514235.0,11183237,5533.798828125,66794.21875,135724208,61504172,20910.080078125,85885.1328125,202378.109375,672974.4375,4300.12060546875,2746620.75,1115493.5,62687.55078125,484418.5,21040.44140625,819950.75,693.2122192382812,422844.9375,440123.375,235474.15625,921620.5625,69426.390625,77095.78125,17181.71875,4140.7880859375,274427.96875,14851.0458984375,141794.203125,31152.236328125,401551.375,1098334.25,58431.08203125,7247.12646484375,122048.6875,13547.216796875,601309.8125,6831,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194595347,24484,0,37.898136138916016,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:48:20.264,"{'cid': 'c04d07ee-94c6-44df-ad3c-f46614593299', 'uuid': 'c7aee882-f5a7-43f1-bd32-45d89285d4a7', 'annotationId': 'bed29bbe-8d3a-4751-96da-ec41fc138f11', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768780097534, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:48:17.774Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.81,20.02,1600.0,1599.33,21470060.0,1100.0,1099.86,24020116.0,0.0,561724.43,14.1,32.6,1009.88,1400.0,1398.47,22450138.0,0.0,0.05,22040109.0,2900.0,2902.06,22340093.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,bed29bbe-8d3a-4751-96da-ec41fc138f11,8431e6bd-5d3e-4c11-b2cc-504dddc0c609,1262.717529296875,481315.1875,198293.390625,8102.15234375,7116.66748046875,25910.671875,182832.28125,176132.46875,233421.109375,68931.96875,124149.8125,18610.90625,272952.9375,5750.4296875,18986.537109375,36926.8984375,255132.453125,51898.60546875,190381.921875,19433.947265625,6893.1455078125,13180.255859375,25887.04296875,45521.5234375,2886422.0,365374.125,1397049.0,3516652.25,11193699,5533.279296875,66869.3515625,136618144,61838140,20907.232421875,85896.1328125,202373.765625,672863.25,4299.291015625,2751360.5,1115828.75,62688.31640625,484377.65625,21040.529296875,820354.9375,694.0925903320312,422825.65625,439921.5625,235469.109375,920829.125,69460.0234375,77106.8125,17176.462890625,4147.63525390625,273316.25,14855.5048828125,141104.953125,31148.078125,401343.15625,1097221.375,58417.30078125,7247.1416015625,122041.234375,13536.4462890625,600639.5625,7132,33.80952835083008,35.824180603027344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194595347,24484,0,37.898136138916016,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-0ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 16, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:48:20.562,"{'cid': 'c04d07ee-94c6-44df-ad3c-f46614593299', 'uuid': 'c7aee882-f5a7-43f1-bd32-45d89285d4a7', 'annotationId': 'bed29bbe-8d3a-4751-96da-ec41fc138f11', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768780097534, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:48:17.774Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.81,20.01,1600.0,1599.37,21470060.0,1100.0,1099.79,24020116.0,0.0,560889.0,14.1,32.6,1009.84,1400.0,1397.62,22450138.0,0.0,0.04,22040109.0,2900.0,2902.28,22340093.0
