component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_181425,FLW0_181425,ANLT0_181425,SETP0_543024,FLW0_543024,ANLT0_543024
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3a52fe1f-679b-4b58-940a-282039bfba4e,e1773a0d-6566-43bf-927c-1c7badefb370,1301.908447265625,479354.0625,198124.4375,8098.90380859375,7113.49853515625,25899.17578125,182444.875,175082.796875,232023.046875,68592.578125,122851.203125,18607.462890625,272880.40625,5977.275390625,18862.35546875,36820.3125,255991.8125,51780.7734375,189464.125,19293.14453125,6891.24462890625,13122.5283203125,25599.595703125,45424.00390625,2880821.5,354509.96875,1529288.375,3497566.5,11226081,5520.5048828125,68655.4765625,147177456,63255676,20856.359375,85745.5859375,203153.609375,671879.6875,4283.728515625,2795615.5,1125397.75,62629.203125,483488.84375,20967.263671875,819557.8125,691.379150390625,418216.9375,441107.09375,234380.390625,910713.625,69219.96875,76998.5390625,17146.46484375,4163.65185546875,273266.65625,14809.4423828125,138857.546875,30784.193359375,399669.5,1093722.625,58423.40625,7250.97216796875,122142.3984375,13518.2021484375,594902.6875,5334,33.970699310302734,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193095296,24484,0,36.86569213867188,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:23:18.651,"{'cid': '6b2c92ff-b6f4-4749-8412-be93095e22bc', 'uuid': '380760a7-2e5c-4f7d-bc30-1c835cb3a98b', 'annotationId': '3a52fe1f-679b-4b58-940a-282039bfba4e', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768778598311, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:23:18.542Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.83,19.41,0.0,576901.44,11.18,32.54,1009.54,150.0,149.07,22040109.0,1600.0,1598.48,21470060.0,2900.0,2898.24,22340093.0,1100.0,1099.44,24020116.0,1250.0,1249.44,22450138.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3a52fe1f-679b-4b58-940a-282039bfba4e,e1773a0d-6566-43bf-927c-1c7badefb370,1299.7548828125,479904.09375,198121.875,8098.814453125,7113.63427734375,25898.787109375,182490.0625,175078.09375,232293.15625,68517.765625,122817.515625,18609.283203125,272056.78125,6000.6142578125,18862.55078125,36824.08984375,255597.359375,51778.22265625,189922.78125,19295.533203125,6890.87255859375,13117.5634765625,25598.86328125,45425.93359375,2877369.25,354502.84375,1531305.125,3496601.25,11226176,5520.0791015625,68870.078125,147320784,62727644,20857.966796875,85743.09375,203083.328125,671811.25,4285.19091796875,2796159.0,1125256.0,62627.734375,483495.625,20967.640625,819380.375,691.921630859375,418357.84375,440749.0625,234368.109375,911845.8125,69225.2421875,77023.109375,17145.62109375,4167.86181640625,273162.6875,14819.2568359375,139214.84375,30791.404296875,399825.96875,1093938.125,58429.40234375,7250.5048828125,122287.2265625,13523.8115234375,595397.1875,5635,34.131874084472656,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193095296,24484,0,36.86569213867188,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:23:18.951,"{'cid': '6b2c92ff-b6f4-4749-8412-be93095e22bc', 'uuid': '380760a7-2e5c-4f7d-bc30-1c835cb3a98b', 'annotationId': '3a52fe1f-679b-4b58-940a-282039bfba4e', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768778598311, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:23:18.542Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.83,19.41,0.0,576901.44,11.18,32.54,1009.54,150.0,149.07,22040109.0,1600.0,1598.48,21470060.0,2900.0,2898.24,22340093.0,1100.0,1099.44,24020116.0,1250.0,1249.44,22450138.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3a52fe1f-679b-4b58-940a-282039bfba4e,e1773a0d-6566-43bf-927c-1c7badefb370,1301.062255859375,479625.28125,198108.65625,8099.111328125,7113.7158203125,25898.12890625,182493.15625,175065.109375,232320.5,68494.21875,122804.0078125,18607.359375,273075.625,5975.06298828125,18860.09375,36821.796875,255748.5625,51813.65625,189127.59375,19294.169921875,6890.8046875,13126.31640625,25599.029296875,45426.9453125,2872171.5,358178.5625,1528075.875,3493894.25,11216692,5519.57666015625,68727.0546875,146604192,62252072,20853.765625,85728.84375,203170.125,671782.4375,4285.48974609375,2794431.25,1127154.125,62628.23828125,483183.53125,20967.728515625,820787.5625,692.10595703125,418538.28125,441059.5,234382.671875,913080.75,69218.578125,77037.7890625,17141.78125,4161.75732421875,273329.6875,14858.69921875,139679.453125,30793.818359375,399831.09375,1094747.5,58434.8671875,7251.10302734375,122400.2265625,13526.2314453125,596091.875,5936,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193095296,24484,0,36.86569213867188,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:23:19.253,"{'cid': '6b2c92ff-b6f4-4749-8412-be93095e22bc', 'uuid': '380760a7-2e5c-4f7d-bc30-1c835cb3a98b', 'annotationId': '3a52fe1f-679b-4b58-940a-282039bfba4e', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768778598311, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:23:18.542Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.83,19.39,0.0,576848.34,11.18,32.54,1009.54,150.0,149.09,22040109.0,1600.0,1598.49,21470060.0,2900.0,2898.3,22340093.0,1100.0,1099.46,24020116.0,1250.0,1249.44,22450138.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3a52fe1f-679b-4b58-940a-282039bfba4e,e1773a0d-6566-43bf-927c-1c7badefb370,1300.9476318359375,479886.46875,198057.640625,8099.03125,7113.666015625,25897.509765625,182402.9375,175052.828125,231986.015625,68477.0859375,122780.921875,18608.54296875,272772.40625,5999.26904296875,18858.533203125,36818.0078125,255169.75,51781.95703125,188984.515625,19302.216796875,6891.0771484375,13122.1904296875,25599.765625,45428.9921875,2868327.25,355378.8125,1529014.875,3491675.25,11202761,5520.12255859375,68838.9921875,145391728,61914860,20852.48046875,85714.7421875,203243.046875,671909.6875,4285.09033203125,2791367.5,1128120.125,62635.8515625,483139.5,20965.404296875,821046.625,691.2446899414062,418126.625,441007.0,234403.65625,913914.0,69242.640625,77044.265625,17145.048828125,4166.34326171875,274059.25,14829.048828125,139662.9375,30795.193359375,400279.65625,1096044.875,58424.62109375,7250.99560546875,122053.921875,13519.1640625,595853.5,6237,33.970699310302734,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193095296,24484,0,36.86569213867188,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:23:19.549,"{'cid': '6b2c92ff-b6f4-4749-8412-be93095e22bc', 'uuid': '380760a7-2e5c-4f7d-bc30-1c835cb3a98b', 'annotationId': '3a52fe1f-679b-4b58-940a-282039bfba4e', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768778598311, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:23:18.542Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.83,19.38,0.0,576723.61,11.19,32.54,1009.53,150.0,149.33,22040109.0,1600.0,1598.55,21470060.0,2900.0,2899.48,22340093.0,1100.0,1099.95,24020116.0,1250.0,1249.44,22450138.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3a52fe1f-679b-4b58-940a-282039bfba4e,e1773a0d-6566-43bf-927c-1c7badefb370,1300.4342041015625,479833.46875,197999.390625,8099.0927734375,7113.12841796875,25896.326171875,182330.171875,175020.546875,231713.515625,68428.0,122765.3828125,18608.29296875,271909.03125,5996.56591796875,18861.34765625,36815.16796875,255115.578125,51791.61328125,189129.25,19304.23828125,6891.2734375,13127.3056640625,25597.080078125,45427.15625,2864694.25,358482.46875,1527976.875,3489518.25,11185404,5520.423828125,69054.3046875,143956016,61712036,20854.5390625,85697.25,203280.421875,672181.0,4284.48876953125,2789081.75,1127755.875,62633.92578125,483143.65625,20964.626953125,819668.8125,691.354248046875,418348.46875,441097.21875,234384.25,914543.3125,69218.9921875,77019.1171875,17150.26171875,4168.73583984375,272362.125,14844.052734375,139483.265625,30801.02734375,400115.53125,1097458.0,58440.984375,7250.78271484375,122137.1875,13516.7001953125,596734.1875,6538,33.970699310302734,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193095296,24484,0,36.86569213867188,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:23:19.851,"{'cid': '6b2c92ff-b6f4-4749-8412-be93095e22bc', 'uuid': '380760a7-2e5c-4f7d-bc30-1c835cb3a98b', 'annotationId': '3a52fe1f-679b-4b58-940a-282039bfba4e', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768778598311, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:23:18.542Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.83,19.36,0.0,576596.35,11.19,32.54,1009.53,150.0,149.58,22040109.0,1600.0,1598.61,21470060.0,2900.0,2900.67,22340093.0,1100.0,1100.46,24020116.0,1250.0,1249.44,22450138.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3a52fe1f-679b-4b58-940a-282039bfba4e,e1773a0d-6566-43bf-927c-1c7badefb370,1301.2847900390625,478893.0,197939.25,8098.51806640625,7112.83349609375,25891.7265625,182358.46875,174988.3125,231577.59375,68395.296875,122756.1015625,18608.201171875,271835.625,5997.6572265625,18856.837890625,36813.734375,255412.15625,51785.25,189853.125,19302.873046875,6891.3369140625,13125.390625,25598.728515625,45427.30859375,2862007.25,353910.53125,1525965.625,3487449.0,11167557,5520.3173828125,67394.3828125,142447408,61726036,20853.9765625,85707.515625,203292.296875,672418.6875,4284.6796875,2794298.5,1126018.875,62618.26171875,483032.75,20964.5390625,819218.5,691.096923828125,418158.78125,440820.9375,234367.9375,915059.1875,69246.796875,77036.3125,17150.5078125,4165.48828125,271980.78125,14825.97265625,140129.484375,30803.08984375,400132.125,1098136.25,58443.4375,7250.34423828125,122197.140625,13520.0166015625,596624.625,6839,33.890113830566406,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193095296,24484,0,36.86569213867188,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:23:20.152,"{'cid': '6b2c92ff-b6f4-4749-8412-be93095e22bc', 'uuid': '380760a7-2e5c-4f7d-bc30-1c835cb3a98b', 'annotationId': '3a52fe1f-679b-4b58-940a-282039bfba4e', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768778598311, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:23:18.542Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.83,19.36,0.0,576469.51,11.2,32.54,1009.52,150.0,149.83,22040109.0,1600.0,1598.67,21470060.0,2900.0,2901.87,22340093.0,1100.0,1100.96,24020116.0,1250.0,1249.44,22450138.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3a52fe1f-679b-4b58-940a-282039bfba4e,e1773a0d-6566-43bf-927c-1c7badefb370,1298.94921875,479094.46875,197936.59375,8098.517578125,7113.189453125,25892.09375,182316.796875,174962.859375,231669.6875,68438.453125,122755.3984375,18607.22265625,272041.0,5981.58837890625,18858.423828125,36810.203125,255306.078125,51799.2734375,188889.796875,19296.556640625,6891.35205078125,13163.21484375,25597.646484375,45433.0234375,2859369.5,356524.21875,1526561.625,3485407.0,11150626,5519.73828125,65185.296875,140981280,61912584,20854.62890625,85745.546875,203285.765625,672591.25,4284.92236328125,2793684.0,1124380.125,62601.19140625,482677.84375,20960.71875,818603.875,691.9014282226562,418057.96875,440315.0625,234305.28125,915177.0,69235.78125,76994.96875,17145.890625,4167.87939453125,271925.15625,14824.2744140625,140672.171875,30802.833984375,400037.8125,1098848.125,58430.890625,7250.67626953125,122190.34375,13519.3876953125,597627.25,7140,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193095296,24484,0,36.86569213867188,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:23:20.451,"{'cid': '6b2c92ff-b6f4-4749-8412-be93095e22bc', 'uuid': '380760a7-2e5c-4f7d-bc30-1c835cb3a98b', 'annotationId': '3a52fe1f-679b-4b58-940a-282039bfba4e', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768778598311, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:23:18.542Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,19.36,0.0,576133.07,11.2,32.54,1009.49,150.0,149.9,22040109.0,1600.0,1598.73,21470060.0,2900.0,2902.27,22340093.0,1100.0,1100.93,24020116.0,1250.0,1249.55,22450138.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3a52fe1f-679b-4b58-940a-282039bfba4e,e1773a0d-6566-43bf-927c-1c7badefb370,1301.1802978515625,479331.0625,197924.546875,8098.6875,7113.24560546875,25892.0703125,182311.515625,174935.0,231470.921875,68506.3515625,122747.453125,18607.951171875,271216.40625,6002.4736328125,18862.943359375,36817.71875,255644.78125,51787.79296875,188785.03125,19297.2734375,6891.3759765625,13135.2333984375,25599.193359375,45435.73046875,2858087.0,353860.59375,1528312.75,3483381.75,11137216,5520.19580078125,66946.984375,139790272,62237476,20852.279296875,85737.75,203229.515625,672711.75,4284.41552734375,2794884.5,1124472.875,62588.5,482402.65625,20964.888671875,818633.125,692.392333984375,417982.09375,440350.25,234239.953125,914451.1875,69228.234375,77018.0546875,17148.78515625,4175.6708984375,271860.96875,14829.7978515625,140544.265625,30799.314453125,400067.125,1099252.75,58445.26171875,7251.0087890625,122015.8671875,13520.0390625,597162.6875,7441,33.80952835083008,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193095296,24484,0,36.86569213867188,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:23:20.753,"{'cid': '6b2c92ff-b6f4-4749-8412-be93095e22bc', 'uuid': '380760a7-2e5c-4f7d-bc30-1c835cb3a98b', 'annotationId': '3a52fe1f-679b-4b58-940a-282039bfba4e', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768778598311, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:23:18.542Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,19.36,0.0,575627.5,11.19,32.54,1009.44,150.0,149.89,22040109.0,1600.0,1598.79,21470060.0,2900.0,2902.32,22340093.0,1100.0,1100.64,24020116.0,1250.0,1249.72,22450138.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3a52fe1f-679b-4b58-940a-282039bfba4e,e1773a0d-6566-43bf-927c-1c7badefb370,1301.223388671875,478851.75,197937.890625,8098.36865234375,7113.44384765625,25890.73828125,182359.09375,174941.9375,231563.515625,68487.6328125,122770.3828125,18609.064453125,271528.25,5988.447265625,18860.4375,36818.9140625,255647.5,51816.6171875,189433.796875,19296.099609375,6891.34716796875,13158.0439453125,25600.146484375,45428.79296875,2858017.0,353207.625,1527511.5,3482774.5,11128457,5519.5146484375,66645.4296875,139136272,62693748,20848.09765625,85713.625,203176.6875,672852.1875,4284.78076171875,2794557.75,1124992.625,62581.60546875,482686.28125,20961.91015625,818043.8125,691.5120239257812,417703.25,440476.3125,234225.15625,913571.875,69223.2265625,76983.5625,17139.33203125,4165.19775390625,273334.59375,14845.8759765625,140150.171875,30796.501953125,400136.3125,1099178.375,58443.421875,7250.45849609375,122225.6796875,13518.4296875,597723.875,7742,33.890113830566406,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193095296,24484,0,36.86569213867188,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:23:21.055,"{'cid': '6b2c92ff-b6f4-4749-8412-be93095e22bc', 'uuid': '380760a7-2e5c-4f7d-bc30-1c835cb3a98b', 'annotationId': '3a52fe1f-679b-4b58-940a-282039bfba4e', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768778598311, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:23:18.542Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,19.36,0.0,575121.93,11.19,32.55,1009.39,150.0,149.89,22040109.0,1600.0,1598.86,21470060.0,2900.0,2902.37,22340093.0,1100.0,1100.35,24020116.0,1250.0,1249.89,22450138.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,3a52fe1f-679b-4b58-940a-282039bfba4e,e1773a0d-6566-43bf-927c-1c7badefb370,1301.512451171875,479344.6875,197934.265625,8098.3427734375,7113.56591796875,25889.32421875,182359.140625,174928.71875,231754.59375,68441.2265625,122775.9609375,18609.212890625,271568.6875,5990.01220703125,18860.890625,36812.62890625,255811.484375,51802.2578125,189717.3125,19295.71875,6891.447265625,13150.51171875,25599.291015625,45435.43359375,2861314.0,356221.0,1526322.625,3484981.0,11129777,5520.30908203125,67177.53125,139162304,63208104,20849.732421875,85688.46875,203188.421875,672844.9375,4284.9560546875,2792951.75,1126964.875,62580.578125,482210.25,20963.482421875,817381.5,692.6619873046875,417812.6875,439876.875,234196.109375,912313.5625,69242.5078125,77042.59375,17139.95703125,4166.94873046875,273531.84375,14833.2451171875,139908.84375,30793.115234375,399846.53125,1098649.75,58436.3203125,7250.35595703125,122188.296875,13519.03515625,596978.375,8043,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,193095296,24484,0,36.86569213867188,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-50ppb-6RH-75ccm-Anthony-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:23:21.356,"{'cid': '6b2c92ff-b6f4-4749-8412-be93095e22bc', 'uuid': '380760a7-2e5c-4f7d-bc30-1c835cb3a98b', 'annotationId': '3a52fe1f-679b-4b58-940a-282039bfba4e', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768778598311, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:23:18.542Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.82,19.37,0.0,574618.03,11.18,32.55,1009.34,150.0,149.91,22040109.0,1600.0,1598.92,21470060.0,2900.0,2902.42,22340093.0,1100.0,1100.12,24020116.0,1250.0,1249.95,22450138.0
