component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_453024,FLW0_453024,ANLT0_453024,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_181425,FLW0_181425,ANLT0_181425
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,530e1af9-e4ab-4f0a-9187-a6ae779bfbe4,385f529f-e7e3-4a16-8114-35e1089efa2f,1297.3033447265625,476712.65625,197631.484375,8092.57080078125,7111.0078125,25875.77734375,181846.84375,173622.984375,231850.546875,68358.265625,121504.3515625,18609.328125,268870.46875,6047.0859375,18748.203125,36749.421875,255073.171875,51694.609375,188283.84375,19201.775390625,6890.15966796875,13141.953125,25380.748046875,45360.94921875,2865246.0,361442.8125,1613340.25,3467335.0,11250589,5510.9921875,66694.1796875,148189600,64010048,20811.91796875,85590.96875,203001.546875,671933.25,4272.96728515625,2816424.25,1120309.75,62548.44140625,480958.375,20899.96484375,823394.375,690.6494750976562,413684.3125,439225.6875,233154.5625,903481.0,69133.1953125,76930.9296875,17113.326171875,4166.61376953125,272199.875,14788.0126953125,143229.90625,30514.01953125,398980.375,1095612.0,58400.02734375,7249.86279296875,121520.1171875,13516.404296875,597941.9375,7494,33.890113830566406,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192342759,24484,0,37.02164459228516,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 1, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:10:50.848,"{'cid': '4f8482c6-62da-4dd8-9fd4-2326b3dabd22', 'uuid': 'b34322d3-0fc7-4de7-931c-589c1aae5e43', 'annotationId': '530e1af9-e4ab-4f0a-9187-a6ae779bfbe4', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777850545, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:10:50.775Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.77,17.95,1600.0,1599.92,21470060.0,210.0,223.1,22040109.0,1190.0,1193.12,22450138.0,2900.0,2906.16,22340093.0,0.0,570632.5,8.34,32.64,1009.8,1100.0,1099.84,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,530e1af9-e4ab-4f0a-9187-a6ae779bfbe4,385f529f-e7e3-4a16-8114-35e1089efa2f,1297.7449951171875,476886.0,197613.109375,8092.361328125,7110.96484375,25874.751953125,181866.34375,173612.515625,231875.875,68345.9140625,121497.1875,18609.79296875,267455.0,6050.6435546875,18747.16796875,36750.1875,255138.390625,51699.90625,188330.90625,19205.890625,6890.189453125,13129.916015625,25381.734375,45358.5,2863583.25,361150.71875,1613965.625,3466468.5,11240219,5510.580078125,67948.4296875,147461552,63797096,20812.373046875,85582.390625,203066.84375,672026.25,4273.7822265625,2816298.5,1120448.75,62543.40234375,481100.90625,20901.984375,823799.3125,691.1320190429688,413681.96875,439059.25,233104.4375,904014.25,69126.4296875,76961.03125,17109.67578125,4162.92333984375,272380.9375,14786.2490234375,143163.28125,30521.1640625,399194.875,1096334.875,58407.015625,7249.22021484375,121634.765625,13515.69140625,598158.125,7795,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192347762,24484,0,37.105716705322266,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 1, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:10:51.153,"{'cid': '4f8482c6-62da-4dd8-9fd4-2326b3dabd22', 'uuid': 'b34322d3-0fc7-4de7-931c-589c1aae5e43', 'annotationId': '530e1af9-e4ab-4f0a-9187-a6ae779bfbe4', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777850545, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:10:50.775Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.77,17.94,1600.0,1599.9,21470060.0,210.0,222.79,22040109.0,1190.0,1193.05,22450138.0,2900.0,2906.09,22340093.0,0.0,570632.5,8.34,32.64,1009.8,1100.0,1099.84,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,530e1af9-e4ab-4f0a-9187-a6ae779bfbe4,385f529f-e7e3-4a16-8114-35e1089efa2f,1297.677490234375,477282.5625,197592.296875,8092.6181640625,7111.068359375,25875.47265625,181772.15625,173557.734375,231823.875,68320.859375,121479.953125,18609.302734375,266524.375,6041.49951171875,18744.6640625,36755.59765625,255120.640625,51713.39453125,188315.921875,19205.978515625,6890.330078125,13126.2705078125,25382.73046875,45358.4921875,2861109.75,359819.59375,1611530.125,3464856.5,11226543,5510.61328125,66968.8671875,146509808,63744244,20808.46875,85567.1171875,203027.46875,672212.0625,4273.69580078125,2819382.75,1122093.625,62533.8359375,480958.65625,20902.236328125,823027.1875,690.6205444335938,413696.375,439123.15625,233106.546875,904266.5,69123.296875,76934.6015625,17111.609375,4162.71435546875,272653.15625,14779.205078125,143266.546875,30521.521484375,399010.71875,1096853.75,58408.1171875,7249.10302734375,121707.296875,13514.1513671875,597503.8125,8096,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192347762,24484,0,37.105716705322266,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 1, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:10:51.449,"{'cid': '4f8482c6-62da-4dd8-9fd4-2326b3dabd22', 'uuid': 'b34322d3-0fc7-4de7-931c-589c1aae5e43', 'annotationId': '530e1af9-e4ab-4f0a-9187-a6ae779bfbe4', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777850545, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:10:50.775Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.78,17.93,1600.0,1599.66,21470060.0,210.0,218.85,22040109.0,1190.0,1191.88,22450138.0,2900.0,2904.49,22340093.0,0.0,570632.5,8.34,32.64,1009.8,1100.0,1099.84,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,530e1af9-e4ab-4f0a-9187-a6ae779bfbe4,385f529f-e7e3-4a16-8114-35e1089efa2f,1298.5205078125,476135.6875,197530.15625,8093.03662109375,7111.33740234375,25873.5234375,181842.0,173562.265625,231919.9375,68245.8125,121506.296875,18609.53515625,267084.8125,6050.10986328125,18749.380859375,36753.85546875,254988.953125,51708.8515625,187953.453125,19219.056640625,6890.7470703125,13126.025390625,25383.603515625,45368.43359375,2857678.25,352329.375,1614842.875,3461497.5,11205169,5510.60546875,67855.3515625,144563872,64063372,20813.810546875,85587.8046875,203025.578125,672500.375,4273.69921875,2822100.75,1120629.125,62514.2890625,480438.3125,20900.8671875,821762.5625,690.8994140625,413691.65625,439040.46875,233060.40625,904166.5,69131.4375,76928.40625,17113.775390625,4156.689453125,272612.34375,14758.98046875,143553.25,30521.9921875,399027.0,1097583.5,58397.65625,7249.388671875,121543.296875,13518.8642578125,597429.875,8698,33.890113830566406,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192347762,24484,0,37.105716705322266,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 1, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:10:52.053,"{'cid': '4f8482c6-62da-4dd8-9fd4-2326b3dabd22', 'uuid': 'b34322d3-0fc7-4de7-931c-589c1aae5e43', 'annotationId': '530e1af9-e4ab-4f0a-9187-a6ae779bfbe4', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777850545, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:10:50.775Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.79,17.91,1600.0,1599.18,21470060.0,210.0,210.83,22040109.0,1190.0,1189.48,22450138.0,2900.0,2901.24,22340093.0,0.0,569136.15,8.35,32.64,1009.8,1100.0,1099.84,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,530e1af9-e4ab-4f0a-9187-a6ae779bfbe4,385f529f-e7e3-4a16-8114-35e1089efa2f,1299.14892578125,476030.3125,197520.984375,8092.796875,7110.7138671875,25872.134765625,181856.984375,173553.140625,231640.40625,68262.734375,121503.75,18608.296875,268054.21875,6044.70849609375,18746.97265625,36757.4921875,255281.46875,51711.078125,188466.40625,19211.83984375,6890.13916015625,13132.3408203125,25382.515625,45369.609375,2856592.75,350091.46875,1610278.5,3460146.25,11198064,5510.89208984375,67696.2890625,144070096,64384136,20812.228515625,85561.3828125,203087.015625,672563.1875,4274.68994140625,2821654.5,1121191.25,62512.65234375,480628.40625,20900.087890625,822091.0,690.4166259765625,413543.21875,439178.71875,233000.375,903612.0625,69108.234375,76907.28125,17117.54296875,4158.43896484375,272455.375,14735.0908203125,143558.3125,30525.677734375,399195.0,1097943.25,58402.56640625,7249.6416015625,121632.6953125,13519.0634765625,597849.25,8999,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192347762,24484,0,37.105716705322266,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 1, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:10:52.352,"{'cid': '4f8482c6-62da-4dd8-9fd4-2326b3dabd22', 'uuid': 'b34322d3-0fc7-4de7-931c-589c1aae5e43', 'annotationId': '530e1af9-e4ab-4f0a-9187-a6ae779bfbe4', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777850545, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:10:50.775Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.78,17.92,1600.0,1599.12,21470060.0,210.0,209.75,22040109.0,1190.0,1189.12,22450138.0,2900.0,2900.78,22340093.0,0.0,568279.04,8.35,32.64,1009.81,1100.0,1099.7,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,530e1af9-e4ab-4f0a-9187-a6ae779bfbe4,385f529f-e7e3-4a16-8114-35e1089efa2f,1299.044921875,476878.5625,197493.125,8092.42626953125,7110.3994140625,25872.271484375,181816.34375,173551.859375,231502.8125,68276.8203125,121497.109375,18607.681640625,267462.8125,6049.59716796875,18746.103515625,36752.53515625,255240.328125,51721.94921875,188247.75,19216.076171875,6890.7666015625,13137.64453125,25383.201171875,45368.62890625,2857454.75,351241.625,1609252.625,3460716.0,11195047,5511.31689453125,67459.359375,143866160,64749664,20809.755859375,85558.0390625,203048.734375,672523.5625,4273.06787109375,2822100.5,1120486.5,62518.13671875,480742.46875,20899.5,821348.0,691.5486450195312,413570.6875,439430.28125,233009.078125,902801.4375,69125.453125,76907.7578125,17115.173828125,4157.4775390625,272812.09375,14744.5654296875,142265.71875,30526.810546875,399124.375,1097566.375,58388.79296875,7250.44921875,121647.8671875,13519.5771484375,597805.5,9300,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192347762,24484,0,37.105716705322266,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 1, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:10:52.653,"{'cid': '4f8482c6-62da-4dd8-9fd4-2326b3dabd22', 'uuid': 'b34322d3-0fc7-4de7-931c-589c1aae5e43', 'annotationId': '530e1af9-e4ab-4f0a-9187-a6ae779bfbe4', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777850545, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:10:50.775Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.78,17.93,1600.0,1599.12,21470060.0,210.0,209.81,22040109.0,1190.0,1189.12,22450138.0,2900.0,2900.88,22340093.0,0.0,567416.2,8.36,32.64,1009.81,1100.0,1099.51,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,530e1af9-e4ab-4f0a-9187-a6ae779bfbe4,385f529f-e7e3-4a16-8114-35e1089efa2f,1298.5906982421875,476557.0625,197508.625,8093.1123046875,7111.27099609375,25872.53515625,181843.75,173543.5625,231750.890625,68181.5,121504.3203125,18609.48046875,267042.09375,6017.46044921875,18744.845703125,36749.67578125,255323.703125,51720.00390625,188345.0625,19204.806640625,6890.6953125,13126.3701171875,25381.947265625,45374.56640625,2859894.0,351670.25,1606166.125,3462684.75,11197133,5510.83203125,68272.21875,144097296,65141548,20806.5,85563.328125,203020.28125,672624.6875,4273.9521484375,2820918.5,1120373.625,62512.60546875,480698.21875,20896.98828125,821265.25,690.8829345703125,413376.375,439672.3125,232990.234375,901717.0,69097.03125,76933.2578125,17109.5625,4162.984375,272972.40625,14746.1103515625,142376.953125,30521.58984375,399274.09375,1097051.625,58390.32421875,7249.92431640625,121614.765625,13522.17578125,597411.0,9601,33.80952835083008,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192347762,24484,0,37.105716705322266,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 1, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:10:52.962,"{'cid': '4f8482c6-62da-4dd8-9fd4-2326b3dabd22', 'uuid': 'b34322d3-0fc7-4de7-931c-589c1aae5e43', 'annotationId': '530e1af9-e4ab-4f0a-9187-a6ae779bfbe4', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777850545, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:10:50.775Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.77,17.95,1600.0,1599.12,21470060.0,210.0,209.87,22040109.0,1190.0,1189.12,22450138.0,2900.0,2900.98,22340093.0,0.0,567201.85,8.36,32.64,1009.77,1100.0,1099.32,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,530e1af9-e4ab-4f0a-9187-a6ae779bfbe4,385f529f-e7e3-4a16-8114-35e1089efa2f,1298.7425537109375,476444.90625,197506.1875,8092.5244140625,7110.01220703125,25873.517578125,181786.9375,173551.90625,231611.921875,68273.1953125,121508.421875,18608.701171875,267011.625,6020.3583984375,18747.744140625,36750.75,255421.515625,51706.6015625,187979.40625,19196.7421875,6890.5859375,13127.2578125,25381.1328125,45372.05859375,2862044.75,356730.1875,1606631.0,3464647.25,11202888,5510.80419921875,67813.8125,144604832,65455408,20802.57421875,85546.796875,202947.515625,672572.6875,4274.080078125,2824368.5,1119600.75,62514.36328125,480694.90625,20895.279296875,820948.1875,690.4915771484375,413378.15625,439049.0,233000.25,900922.25,69063.8515625,76895.625,17111.671875,4154.98681640625,272636.875,14771.4970703125,143054.296875,30513.9609375,398967.5625,1096552.125,58404.53515625,7249.72705078125,121526.9765625,13510.5078125,597274.875,9902,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192347762,24484,0,37.105716705322266,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 1, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:10:53.255,"{'cid': '4f8482c6-62da-4dd8-9fd4-2326b3dabd22', 'uuid': 'b34322d3-0fc7-4de7-931c-589c1aae5e43', 'annotationId': '530e1af9-e4ab-4f0a-9187-a6ae779bfbe4', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777850545, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:10:50.775Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.77,17.94,1600.0,1599.12,21470060.0,210.0,209.89,22040109.0,1190.0,1189.14,22450138.0,2900.0,2900.92,22340093.0,0.0,567082.56,8.36,32.64,1009.73,1100.0,1099.39,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,530e1af9-e4ab-4f0a-9187-a6ae779bfbe4,385f529f-e7e3-4a16-8114-35e1089efa2f,1298.916748046875,477198.59375,197541.875,8092.37060546875,7110.482421875,25874.537109375,181751.265625,173560.53125,231627.890625,68194.1953125,121491.6328125,18608.74609375,267582.6875,6019.859375,18744.119140625,36754.9921875,255241.84375,51706.71484375,187580.546875,19207.2265625,6890.533203125,13132.048828125,25380.408203125,45365.1640625,2864047.25,359905.28125,1605382.125,3466022.5,11215340,5509.515625,68127.3671875,145600496,65697256,20804.23046875,85543.875,202981.828125,672411.3125,4272.89404296875,2823381.75,1120248.625,62517.41796875,480724.375,20893.771484375,820610.5625,690.7845458984375,413151.9375,438916.96875,233015.84375,900232.875,69064.90625,76890.7109375,17114.287109375,4156.09765625,272617.875,14773.6943359375,143350.34375,30510.453125,398808.21875,1095318.75,58401.18359375,7249.18701171875,121582.3046875,13518.966796875,597200.125,10203,33.80952835083008,35.42124938964844,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192347762,24484,0,37.105716705322266,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 1, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:10:53.556,"{'cid': '4f8482c6-62da-4dd8-9fd4-2326b3dabd22', 'uuid': 'b34322d3-0fc7-4de7-931c-589c1aae5e43', 'annotationId': '530e1af9-e4ab-4f0a-9187-a6ae779bfbe4', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777850545, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:10:50.775Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.78,17.93,1600.0,1599.12,21470060.0,210.0,209.84,22040109.0,1190.0,1189.22,22450138.0,2900.0,2900.57,22340093.0,0.0,566960.01,8.36,32.64,1009.69,1100.0,1099.92,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,530e1af9-e4ab-4f0a-9187-a6ae779bfbe4,385f529f-e7e3-4a16-8114-35e1089efa2f,1297.84765625,476735.75,197542.5,8092.76708984375,7110.6708984375,25874.880859375,181704.71875,173576.71875,231583.171875,68176.34375,121483.2890625,18609.083984375,267449.78125,6008.12451171875,18746.123046875,36751.39453125,255106.546875,51679.515625,187781.765625,19201.14453125,6890.5478515625,13133.8466796875,25378.978515625,45364.34375,2866252.0,361307.875,1605885.125,3467282.75,11226540,5510.2080078125,68488.875,146699936,65794200,20803.83203125,85514.984375,202996.546875,672201.625,4273.2255859375,2820979.75,1117837.375,62516.87890625,480805.4375,20891.015625,819866.5625,690.3295288085938,412994.78125,439097.9375,232998.984375,899925.4375,69118.2578125,76892.59375,17106.861328125,4154.1025390625,272527.78125,14776.923828125,143177.375,30508.193359375,398910.8125,1094687.125,58400.58984375,7249.53076171875,121518.4296875,13513.9052734375,596409.0,10504,33.80952835083008,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,192347762,24484,0,37.105716705322266,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-70ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 1, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:10:53.859,"{'cid': '4f8482c6-62da-4dd8-9fd4-2326b3dabd22', 'uuid': 'b34322d3-0fc7-4de7-931c-589c1aae5e43', 'annotationId': '530e1af9-e4ab-4f0a-9187-a6ae779bfbe4', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768777850545, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:10:50.775Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.79,17.93,1600.0,1599.12,21470060.0,210.0,209.78,22040109.0,1190.0,1189.29,22450138.0,2900.0,2900.21,22340093.0,0.0,566841.94,8.36,32.64,1009.65,1100.0,1100.45,24020116.0
