component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_183225,H0_183225,bVOC_274625,GASR0_274625,H0_274625,T0_274625,P0_274625,SETP0_453024,FLW0_453024,ANLT0_453024,SETP0_183624,FLW0_183624,ANLT0_183624,SETP0_543024,FLW0_543024,ANLT0_543024,SETP0_094324,FLW0_094324,ANLT0_094324,SETP0_181425,FLW0_181425,ANLT0_181425
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,9414ccf9-3937-434d-9ed9-bd4772532737,2ae9df38-ca80-4c2e-a243-05013a219277,1270.22265625,480607.3125,198349.765625,8104.5419921875,7116.73193359375,25916.18359375,182954.328125,176282.078125,232882.96875,68874.09375,124231.3046875,18611.40625,272207.0625,5798.60498046875,18996.330078125,36911.31640625,254380.921875,51918.33984375,189336.328125,19441.3984375,6892.9111328125,13169.935546875,25907.3828125,45497.5234375,2884909.75,366914.5625,1394708.5,3515523.25,11179051,5534.54931640625,66674.640625,136845936,60185684,20912.083984375,85862.15625,202188.15625,672773.6875,4298.921875,2710030.0,1111220.625,62705.2421875,484530.4375,21046.31640625,821044.125,694.303466796875,423682.5,441375.78125,235671.453125,926244.375,69435.4921875,77263.4921875,17179.36328125,4147.96044921875,274846.28125,14879.9326171875,142461.375,31186.15234375,402425.625,1099739.5,58470.78515625,7248.59228515625,122028.7890625,13532.1318359375,599859.1875,5387,33.890113830566406,35.743595123291016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194891329,24484,0,37.528656005859375,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:53:18.597,"{'cid': '796fc6f8-c120-45fd-be27-2fbb44152901', 'uuid': 'b03a88ad-d6e6-4d23-a63a-3fb2a734b7ac', 'annotationId': '9414ccf9-3937-434d-9ed9-bd4772532737', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768780398047, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:53:18.270Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.73,20.02,0.0,554863.19,14.38,32.57,1009.8,2900.0,2901.84,22340093.0,270.0,273.41,22040109.0,1130.0,1129.68,22450138.0,1600.0,1598.4,21470060.0,1100.0,1100.56,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,9414ccf9-3937-434d-9ed9-bd4772532737,2ae9df38-ca80-4c2e-a243-05013a219277,1270.875244140625,481489.28125,198335.75,8104.560546875,7117.08203125,25916.404296875,182858.890625,176263.96875,232632.34375,68822.1953125,124237.65625,18611.89453125,271152.21875,5798.23193359375,18998.603515625,36921.7421875,255019.90625,51920.57421875,188629.59375,19457.119140625,6892.81298828125,13174.96875,25908.9296875,45503.87109375,2884553.75,367010.25,1400965.5,3513894.5,11171241,5534.8193359375,65882.203125,136324976,60454832,20910.4921875,85856.0,202151.28125,672904.1875,4298.69970703125,2715122.5,1111130.0,62700.359375,484400.6875,21047.08203125,820441.375,694.8853149414062,423652.59375,441788.28125,235629.203125,925396.875,69429.15625,77229.3828125,17183.060546875,4155.3134765625,275114.59375,14874.5361328125,141609.21875,31180.4375,402213.0625,1100185.875,58470.33203125,7248.45068359375,121953.984375,13528.869140625,600063.75,5688,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194891329,24484,0,37.528656005859375,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:53:18.902,"{'cid': '796fc6f8-c120-45fd-be27-2fbb44152901', 'uuid': 'b03a88ad-d6e6-4d23-a63a-3fb2a734b7ac', 'annotationId': '9414ccf9-3937-434d-9ed9-bd4772532737', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768780398047, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:53:18.270Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.74,20.04,0.0,554752.27,14.38,32.57,1009.8,2900.0,2901.84,22340093.0,270.0,273.41,22040109.0,1130.0,1129.68,22450138.0,1600.0,1598.4,21470060.0,1100.0,1100.56,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,9414ccf9-3937-434d-9ed9-bd4772532737,2ae9df38-ca80-4c2e-a243-05013a219277,1271.0357666015625,481166.375,198347.359375,8104.560546875,7117.18359375,25915.83984375,182913.75,176243.984375,232911.546875,68785.40625,124237.65625,18612.96484375,271998.625,5821.251953125,18999.05859375,36920.94140625,255008.390625,51922.875,189817.734375,19450.865234375,6892.61181640625,13174.150390625,25910.9765625,45501.59765625,2885156.5,366888.46875,1405033.125,3514272.5,11167679,5534.5537109375,66284.6328125,136082960,60777236,20911.833984375,85844.3203125,202198.4375,672873.9375,4299.8271484375,2713922.25,1113216.5,62697.20703125,484135.78125,21044.26953125,820213.75,694.5628051757812,423512.84375,442428.5,235608.484375,924540.125,69424.296875,77234.1875,17180.421875,4140.4169921875,275200.15625,14882.7373046875,140672.0625,31176.974609375,402163.6875,1100146.5,58461.11328125,7248.3701171875,121986.9609375,13530.69921875,600380.4375,5989,33.80952835083008,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194891329,24484,0,37.528656005859375,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:53:19.201,"{'cid': '796fc6f8-c120-45fd-be27-2fbb44152901', 'uuid': 'b03a88ad-d6e6-4d23-a63a-3fb2a734b7ac', 'annotationId': '9414ccf9-3937-434d-9ed9-bd4772532737', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768780398047, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:53:18.270Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.74,20.06,0.0,554403.17,14.38,32.57,1009.8,2900.0,2902.01,22340093.0,270.0,272.62,22040109.0,1130.0,1129.63,22450138.0,1600.0,1598.59,21470060.0,1100.0,1100.56,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,9414ccf9-3937-434d-9ed9-bd4772532737,2ae9df38-ca80-4c2e-a243-05013a219277,1271.2196044921875,481009.15625,198295.71875,8104.24169921875,7117.25732421875,25915.560546875,182961.5,176254.921875,233027.765625,68868.1640625,124236.9375,18612.58984375,271894.6875,5816.275390625,18999.236328125,36920.51171875,254843.8125,51928.8359375,188827.203125,19449.9921875,6892.734375,13176.1220703125,25910.029296875,45503.69921875,2887396.75,365595.28125,1409086.375,3516034.0,11168206,5534.71826171875,65793.4296875,136204288,61110140,20917.0390625,85830.1875,202116.703125,672925.125,4299.70361328125,2714619.25,1114678.375,62692.3125,484191.8125,21042.849609375,820196.3125,694.2431640625,423504.875,442079.75,235625.390625,923334.0,69424.0,77247.890625,17182.2421875,4146.62841796875,275342.84375,14876.3212890625,141420.84375,31182.87890625,401865.4375,1099566.0,58449.96484375,7248.634765625,121994.7578125,13518.8505859375,600304.625,6290,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194891329,24484,0,37.528656005859375,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:53:19.504,"{'cid': '796fc6f8-c120-45fd-be27-2fbb44152901', 'uuid': 'b03a88ad-d6e6-4d23-a63a-3fb2a734b7ac', 'annotationId': '9414ccf9-3937-434d-9ed9-bd4772532737', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768780398047, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:53:18.270Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.75,20.08,0.0,554049.41,14.38,32.57,1009.81,2900.0,2902.23,22340093.0,270.0,271.61,22040109.0,1130.0,1129.56,22450138.0,1600.0,1598.83,21470060.0,1100.0,1100.56,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,9414ccf9-3937-434d-9ed9-bd4772532737,2ae9df38-ca80-4c2e-a243-05013a219277,1271.7857666015625,480595.21875,198342.46875,8104.91455078125,7117.27099609375,25915.908203125,182913.75,176266.40625,233426.96875,68862.203125,124232.515625,18614.3203125,271673.125,5817.4111328125,18994.44140625,36913.5390625,254636.984375,51937.65234375,189150.4375,19449.384765625,6892.7509765625,13168.333984375,25910.04296875,45501.72265625,2889720.75,364874.21875,1405451.375,3518163.75,11172526,5535.0361328125,66118.2578125,136591680,61358840,20913.330078125,85835.703125,202045.65625,672913.3125,4301.1533203125,2714373.75,1114702.375,62693.81640625,484454.96875,21046.478515625,820959.625,694.11962890625,423559.75,441628.78125,235622.640625,922844.4375,69409.6328125,77253.6484375,17184.978515625,4148.43505859375,275218.90625,14872.2802734375,141773.8125,31176.0625,401937.8125,1098587.625,58450.19921875,7248.78955078125,122022.734375,13535.4248046875,600451.0,6591,33.890113830566406,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194891329,24484,0,37.528656005859375,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:53:19.803,"{'cid': '796fc6f8-c120-45fd-be27-2fbb44152901', 'uuid': 'b03a88ad-d6e6-4d23-a63a-3fb2a734b7ac', 'annotationId': '9414ccf9-3937-434d-9ed9-bd4772532737', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768780398047, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:53:18.270Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.74,20.08,0.0,553700.31,14.38,32.57,1009.81,2900.0,2902.44,22340093.0,270.0,270.61,22040109.0,1130.0,1129.49,22450138.0,1600.0,1599.06,21470060.0,1100.0,1100.56,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,9414ccf9-3937-434d-9ed9-bd4772532737,2ae9df38-ca80-4c2e-a243-05013a219277,1271.4412841796875,482041.6875,198444.5,8105.1005859375,7117.673828125,25920.384765625,183004.703125,176351.625,233221.4375,68861.3359375,124252.703125,18612.9765625,273374.875,5800.07080078125,19001.583984375,36917.6796875,254800.890625,51938.8515625,189075.75,19445.099609375,6892.79638671875,13164.5205078125,25905.75,45507.55078125,2894343.75,365546.875,1408196.75,3521455.5,11196026,5535.20166015625,66668.6796875,138594928,61647224,20911.783203125,85831.5859375,202128.25,672604.6875,4299.44580078125,2713278.25,1114987.5,62703.109375,484297.09375,21043.92578125,820374.875,693.9005126953125,423659.71875,441971.0625,235656.28125,922047.75,69433.046875,77242.515625,17185.546875,4149.6826171875,275088.875,14875.5009765625,141757.015625,31165.26953125,401436.65625,1097138.0,58440.3203125,7248.640625,121657.3515625,13536.0625,599507.875,7195,33.890113830566406,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194896361,24484,0,37.89027404785156,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:53:20.406,"{'cid': '796fc6f8-c120-45fd-be27-2fbb44152901', 'uuid': 'b03a88ad-d6e6-4d23-a63a-3fb2a734b7ac', 'annotationId': '9414ccf9-3937-434d-9ed9-bd4772532737', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768780398047, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:53:18.270Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.73,20.06,0.0,553513.5,14.38,32.57,1009.73,2900.0,2902.87,22340093.0,270.0,269.91,22040109.0,1130.0,1129.36,22450138.0,1600.0,1599.47,21470060.0,1100.0,1100.29,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,9414ccf9-3937-434d-9ed9-bd4772532737,2ae9df38-ca80-4c2e-a243-05013a219277,1271.466796875,481415.5,198454.25,8104.67431640625,7117.2880859375,25920.52734375,183023.75,176338.25,233128.671875,68902.7109375,124246.9765625,18612.666015625,273774.0625,5795.65478515625,19001.10546875,36926.109375,254708.078125,51950.97265625,189379.171875,19451.048828125,6892.732421875,13176.1142578125,25907.064453125,45500.94921875,2897295.75,366519.875,1404969.875,3522323.75,11208087,5534.87939453125,67772.296875,139584336,61588608,20907.53515625,85819.453125,202123.046875,672352.5625,4299.84130859375,2715667.25,1112728.5,62706.61328125,484260.3125,21044.169921875,820288.375,694.1594848632812,423486.1875,441706.0,235667.375,921765.8125,69431.6015625,77258.046875,17178.181640625,4146.69677734375,275177.65625,14882.7333984375,139753.734375,31163.373046875,401723.875,1096731.375,58448.796875,7248.7431640625,121775.828125,13538.158203125,599161.625,7494,33.970699310302734,35.582420349121094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194896361,24484,0,37.89027404785156,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:53:20.705,"{'cid': '796fc6f8-c120-45fd-be27-2fbb44152901', 'uuid': 'b03a88ad-d6e6-4d23-a63a-3fb2a734b7ac', 'annotationId': '9414ccf9-3937-434d-9ed9-bd4772532737', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768780398047, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:53:18.270Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.72,20.06,0.0,553513.5,14.37,32.58,1009.67,2900.0,2903.08,22340093.0,270.0,269.82,22040109.0,1130.0,1129.29,22450138.0,1600.0,1599.66,21470060.0,1100.0,1100.1,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,9414ccf9-3937-434d-9ed9-bd4772532737,2ae9df38-ca80-4c2e-a243-05013a219277,1271.9031982421875,481255.96875,198428.84375,8104.71240234375,7116.8291015625,25921.189453125,183001.515625,176329.296875,233182.8125,68945.9140625,124246.4453125,18614.880859375,272991.4375,5811.23828125,18995.779296875,36926.26171875,254852.421875,51927.0,189964.875,19448.5859375,6892.63232421875,13169.8330078125,25904.375,45503.8046875,2899160.5,365277.84375,1404178.875,3523139.75,11215156,5534.7158203125,67347.2265625,140167088,61279928,20911.91015625,85831.5078125,202095.015625,672172.0,4298.693359375,2715644.75,1110866.875,62723.18359375,484664.1875,21046.3515625,820619.375,695.25390625,423513.875,442112.125,235726.3125,922243.3125,69402.265625,77248.1953125,17181.5234375,4159.4833984375,275297.03125,14891.97265625,139781.671875,31160.60546875,401722.65625,1096265.25,58443.70703125,7248.845703125,121816.0859375,13533.9462890625,599674.1875,7796,33.890113830566406,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194896361,24484,0,37.89027404785156,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:53:21.012,"{'cid': '796fc6f8-c120-45fd-be27-2fbb44152901', 'uuid': 'b03a88ad-d6e6-4d23-a63a-3fb2a734b7ac', 'annotationId': '9414ccf9-3937-434d-9ed9-bd4772532737', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768780398047, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:53:18.270Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.73,20.06,0.0,553513.5,14.37,32.58,1009.61,2900.0,2903.09,22340093.0,270.0,269.74,22040109.0,1130.0,1129.23,22450138.0,1600.0,1599.85,21470060.0,1100.0,1099.92,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,9414ccf9-3937-434d-9ed9-bd4772532737,2ae9df38-ca80-4c2e-a243-05013a219277,1272.092041015625,481341.03125,198438.078125,8104.71484375,7117.0224609375,25919.1015625,182954.6875,176346.28125,233008.6875,68897.25,124223.9375,18611.3125,272720.46875,5819.03076171875,18990.30859375,36923.16796875,254604.078125,51920.421875,189642.03125,19449.849609375,6892.662109375,13170.5810546875,25903.603515625,45503.74609375,2898833.5,364415.0625,1400517.375,3523588.0,11219723,5534.33837890625,67310.8046875,140560512,60909564,20912.537109375,85835.140625,202102.140625,672137.5,4299.357421875,2715900.75,1111173.625,62724.11328125,484978.6875,21044.861328125,821268.1875,694.6354370117188,423383.53125,442305.53125,235727.53125,923144.8125,69439.203125,77278.96875,17180.5390625,4159.82861328125,274908.09375,14849.462890625,139326.53125,31162.384765625,401855.03125,1096447.125,58449.94921875,7248.603515625,121659.8125,13531.9384765625,598988.25,8097,33.890113830566406,35.501834869384766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194896361,24484,0,37.89027404785156,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:53:21.308,"{'cid': '796fc6f8-c120-45fd-be27-2fbb44152901', 'uuid': 'b03a88ad-d6e6-4d23-a63a-3fb2a734b7ac', 'annotationId': '9414ccf9-3937-434d-9ed9-bd4772532737', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768780398047, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:53:18.270Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.74,20.06,0.0,553791.38,14.37,32.58,1009.6,2900.0,2901.38,22340093.0,270.0,269.76,22040109.0,1130.0,1129.16,22450138.0,1600.0,1599.94,21470060.0,1100.0,1099.88,24020116.0
0000000027-4125-asu-nz,0000000018-3024-oms-nz,AmbientSamplingRFC,9414ccf9-3937-434d-9ed9-bd4772532737,2ae9df38-ca80-4c2e-a243-05013a219277,1272.6844482421875,481011.71875,198457.4375,8105.0576171875,7117.95263671875,25919.0,182906.4375,176351.96875,232814.484375,68930.6640625,124220.1328125,18612.375,272515.09375,5808.41357421875,18996.8671875,36912.21875,254837.46875,51921.6171875,188773.328125,19448.8515625,6892.54248046875,13171.9013671875,25901.087890625,45508.8359375,2895164.25,363640.875,1394767.25,3521874.5,11216959,5534.83837890625,67845.671875,140334032,60521604,20910.232421875,85838.5546875,202079.484375,672112.3125,4300.482421875,2719279.0,1109890.125,62723.6484375,484908.5,21044.931640625,821217.8125,693.8032836914062,423605.09375,441856.8125,235738.28125,924061.125,69450.9296875,77265.890625,17180.02734375,4167.80615234375,274887.0,14869.271484375,140937.96875,31163.287109375,401995.5625,1096970.875,58447.796875,7248.490234375,121768.7109375,13534.373046875,598729.625,8398,33.970699310302734,35.66300582885742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,UNKNOWN,0,0,0,0,194896361,24484,0,37.89027404785156,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5-90ppb-6RH-75ccm-Jude-Q425', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '6rh', 'identifier': 'ckUf6', 'Concentration': 0}, 'Experiment_Rig': 'DA3'}",,2026-01-18 23:53:21.609,"{'cid': '796fc6f8-c120-45fd-be27-2fbb44152901', 'uuid': 'b03a88ad-d6e6-4d23-a63a-3fb2a734b7ac', 'annotationId': '9414ccf9-3937-434d-9ed9-bd4772532737', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1768780398047, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-01-18T23:53:18.270Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",29.75,20.06,0.0,554142.81,14.37,32.58,1009.59,2900.0,2899.64,22340093.0,270.0,269.78,22040109.0,1130.0,1129.09,22450138.0,1600.0,1600.04,21470060.0,1100.0,1099.85,24020116.0
