component_sn,product_sn,event_name,annotation_id,configuration_id,CHRA1,CHRA2,CHRA3,CHRA4,CHRA5,CHRA6,CHRA7,CHRA8,CHRB1,CHRB2,CHRB3,CHRB4,CHRB5,CHRB6,CHRB7,CHRB8,CHRC1,CHRC2,CHRC3,CHRC4,CHRC5,CHRC6,CHRC7,CHRC8,CHRD1,CHRD2,CHRD3,CHRD4,CHRD5,CHRD6,CHRD7,CHRD8,CHRE1,CHRE2,CHRE3,CHRE4,CHRE5,CHRE6,CHRE7,CHRE8,CHRF1,CHRF2,CHRF3,CHRF4,CHRF5,CHRF6,CHRF7,CHRF8,CHRG1,CHRG2,CHRG3,CHRG4,CHRG5,CHRG6,CHRG7,CHRG8,CHRH1,CHRH2,CHRH3,CHRH4,CHRH5,CHRH6,CHRH7,CHRH8,BT1,BT2,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_452225,GASR0_452225,H0_452225,T0_452225,P0_452225,SETP0_183425,FLW0_183425,ANLT0_183425,SETP0_093324,FLW0_093324,ANLT0_093324,FLW0_091225,SETP0_453624,FLW0_453624,ANLT0_453624,FLW0_093125,bVOC_454524,GASR0_454524,H0_454524,T0_454524,P0_454524
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,13f65bc8-89df-4196-b9c8-d766499baddb,a661db87-8dfc-473e-9578-ed90da9aca97,3629494732.0202,5690061746.1229,4118017268.2825,7156.3009,7605.9114,6722580864.2499,4446033419.3114,4369308446.2064,3017993063.7601,5682392629.2393,4101014192.479,39127.7863,61710.4186,6738123723.6215,4451090715.1678,4392347927.16,2914087078.1348,5677828485.4564,4099682580.7788,787265.403,4553.5638,6715180630.9362,4445538237.2729,4345137162.5691,4046611182.0271,5791425752.7039,4120526178.8279,341043.9175,176278345.4623,6782366595.2891,4496905626.1343,4385902835.3507,3864718821.6359,5709368876.0807,4117754083.0126,9561260.818,8669360.7429,6759471572.4774,4477908618.5474,4390311497.1783,3478946074.1261,5712631730.6999,4109265064.6183,214433.903,9809.8408,6748383330.4926,4445804317.3535,4387438491.7344,2608675346.0778,5753264609.8004,4111605213.9593,18139.9629,9781.3665,6750668371.6965,4444542600.8969,4391807515.6345,2170961322.0237,5724591158.6247,4117601414.6037,23438.6257,7999.4739,6730577135.5716,4442549305.2443,4136302976.5939,21.9634,23.3333,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-15ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 05:15:03.751,"{'cid': '771dcab8-db57-476a-bfdb-0f296d01ef5e', 'uuid': 'dbfbf265-8f40-4b25-b423-39155dde0ebb', 'annotationId': '13f65bc8-89df-4196-b9c8-d766499baddb', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759382101872, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T05:15:02.241Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,460512.35,29.55,24.93,102784.63,0.0,0.06,22160328.0,2500.0,2502.02,22450181.0,0.15,2500.0,2502.03,22340098.0,0.14,0.5,310708.33,30.57,24.96,102739.37
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,13f65bc8-89df-4196-b9c8-d766499baddb,a661db87-8dfc-473e-9578-ed90da9aca97,3632163289.6305,5690057438.2539,4117803609.5075,7156.8655,7606.7512,6722005093.3786,4445783010.9336,4365940801.0563,3062490042.1517,5681573589.5046,4101225071.2251,39126.2569,61733.3271,6735827662.4702,4452089837.1701,4390886958.4463,2919474945.6141,5677822037.5412,4100316950.6448,789496.7299,4553.571,6714040189.9271,4445786375.1051,4343709015.2718,4047231641.3032,5791419175.6796,4120735960.0271,342201.8686,176342165.5202,6787593862.5064,4496647762.7176,4385900071.851,3840495831.7177,5708542717.1877,4117757203.7865,9559389.0722,8672168.1531,6760045248.8688,4479174057.9628,4390314263.583,3480328164.126,5710570687.4189,4108841143.8061,213956.3993,9855.5333,6751264387.4158,4445556739.1792,4388409555.9365,2602647484.3801,5754934282.1872,4112036459.9564,18147.4957,9859.3703,6752967763.9434,4444543721.9731,4392292577.6277,2172217644.4737,5725000361.1934,4117388319.7254,23433.5785,7999.7829,6732291276.9937,4442299848.731,4130044763.6894,22.044,23.3333,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-15ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 05:15:04.955,"{'cid': '771dcab8-db57-476a-bfdb-0f296d01ef5e', 'uuid': 'dbfbf265-8f40-4b25-b423-39155dde0ebb', 'annotationId': '13f65bc8-89df-4196-b9c8-d766499baddb', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759382101872, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T05:15:02.241Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,507255.16,29.82,24.95,102792.22,0.0,0.05,22160328.0,2500.0,2510.47,22450181.0,0.15,2500.0,2513.94,22340098.0,0.14,0.5,324849.08,30.8,24.97,102743.12
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,13f65bc8-89df-4196-b9c8-d766499baddb,a661db87-8dfc-473e-9578-ed90da9aca97,3635171132.3179,5690053130.3848,4117588932.8063,7158.1043,7606.5509,6721431966.7261,4446779204.7558,4362099274.4063,3110272159.6041,5681572155.7101,4101226625.2266,39135.5098,61672.0746,6734110043.371,4451588255.1089,4391857878.1338,2919042211.9816,5677010744.9857,4100530350.1139,790914.3903,4553.6033,6714040189.9271,4445787496.4957,4347278952.5583,4048269908.5662,5790995981.0011,4121167039.7168,342484.6374,176343251.017,6786432122.0432,4496391629.8061,4385416413.3739,3820441176.4706,5708946761.7607,4117755643.3996,9557830.9842,8673992.5087,6760044395.1165,4479932195.7283,4390312050.4592,3483861037.8188,5708511849.024,4108628956.9279,214538.577,9837.6353,6748383330.4926,4445304703.7058,4388650038.7125,2596645997.3753,5755765124.5552,4111822903.142,18148.6088,9914.8355,6749515001.7047,4444792308.9859,4392777747.0246,2170600247.0152,5724168291.8021,4117173686.9475,23436.9975,7999.6366,6731716398.8778,4442297047.4536,4125090720.0416,21.9634,23.3333,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-15ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 05:15:06.146,"{'cid': '771dcab8-db57-476a-bfdb-0f296d01ef5e', 'uuid': 'dbfbf265-8f40-4b25-b423-39155dde0ebb', 'annotationId': '13f65bc8-89df-4196-b9c8-d766499baddb', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759382101872, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T05:15:02.241Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,539735.78,30.07,24.97,102791.27,0.0,0.03,22160328.0,2500.0,2499.68,22450181.0,0.14,2500.0,2499.5,22340098.0,0.13,0.5,340478.5,30.98,24.98,102742.94
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,13f65bc8-89df-4196-b9c8-d766499baddb,a661db87-8dfc-473e-9578-ed90da9aca97,3632835855.1123,5689643908.3926,4117590493.031,7156.5302,7606.4163,6722572374.5649,4446527590.8479,4363296310.5515,3150486892.8756,5681571438.8128,4101650002.5903,39128.2423,61840.4128,6735256442.9701,4452339266.6629,4393559960.1373,2911720295.6643,5676604111.4533,4100529832.1939,792140.012,4553.6057,6714037646.2608,4446036222.9449,4348946128.1307,4048687611.7497,5791419906.4601,4120954611.701,342723.5718,176394726.4053,6784685973.7812,4495627941.2599,4385659334.5861,3841632405.7015,5709365994.2363,4117760324.5605,9556110.5483,8675698.977,6758894579.5988,4477908618.5474,4390313157.0211,3491248016.9223,5714685607.1532,4108414197.4988,215228.4234,9890.283,6745510690.8595,4444808004.933,4388895525.69,2588205304.2938,5749086688.4295,4111608329.8712,18171.3759,9897.7709,6752395327.0231,4444794551.2641,4393024247.1213,2166600734.2063,5723757763.9752,4117386759.5819,23440.956,7999.526,6731145868.7521,4442297047.4536,4134365360.5669,22.044,23.2527,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-15ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 05:15:07.347,"{'cid': '771dcab8-db57-476a-bfdb-0f296d01ef5e', 'uuid': 'dbfbf265-8f40-4b25-b423-39155dde0ebb', 'annotationId': '13f65bc8-89df-4196-b9c8-d766499baddb', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759382101872, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T05:15:02.241Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,551061.94,30.32,24.97,102791.0,0.0,0.05,22160328.0,2500.0,2497.42,22450181.0,0.15,2500.0,2498.71,22340098.0,0.14,0.5,350890.37,31.15,24.98,102742.09
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,13f65bc8-89df-4196-b9c8-d766499baddb,a661db87-8dfc-473e-9578-ed90da9aca97,3630833104.2068,5688827794.1282,4117591533.1808,7158.4689,7606.7079,6722001697.7929,4446527590.8479,4364017817.8619,3131364858.4533,5680758368.5757,4101649484.5361,39128.8285,61913.7938,6734686171.1175,4451840435.6858,4391618705.036,2905394099.5156,5676604827.7344,4100528278.4338,793868.6738,4553.9279,6714606122.2759,4445788617.8862,4346803790.5346,4049310239.1171,5790997442.4552,4120739082.9126,343279.4623,176444535.2094,6784684260.132,4495880018.1447,4385658229.2473,3860415083.309,5708956847.4894,4117548759.5569,9554161.1836,8678004.5927,6758897140.4183,4476395099.3677,4390315370.145,3406491077.1877,5713447480.3547,4108626362.2211,213934.1525,9841.6835,6742062154.1081,4445058302.5003,4389867234.6075,2588290274.0532,5750341024.5247,4111396894.6357,18170.8679,9890.5023,6748362877.1093,4444545403.5874,4393511792.714,2169885038.5491,5722514983.0313,4117171606.8643,23436.369,7999.961,6729422962.5223,4442295366.6872,4151482237.2207,22.1245,23.3333,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-15ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 05:15:08.548,"{'cid': '771dcab8-db57-476a-bfdb-0f296d01ef5e', 'uuid': 'dbfbf265-8f40-4b25-b423-39155dde0ebb', 'annotationId': '13f65bc8-89df-4196-b9c8-d766499baddb', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759382101872, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T05:15:02.241Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,550329.96,30.54,24.97,102791.01,0.0,0.08,22160328.0,2500.0,2498.44,22450181.0,0.16,2500.0,2500.56,22340098.0,0.15,0.5,357573.32,31.35,24.97,102741.76
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,13f65bc8-89df-4196-b9c8-d766499baddb,a661db87-8dfc-473e-9578-ed90da9aca97,3636012115.0934,5688829947.5989,4117591533.1808,7158.8685,7607.2097,6722003395.5857,4446032297.858,4364256723.313,3169072103.073,5681167741.9355,4101650520.6445,39130.2262,61906.7204,6740998552.822,4451593869.3016,4389678061.7325,2892192796.6102,5676604827.7344,4100317468.538,796005.4037,4553.6933,6715175542.7408,4445538797.9368,4349663999.123,4021913727.4803,5790152699.642,4120526178.8279,343791.6385,176555726.7543,6784106408.499,4495882853.2547,4385416413.3739,3876693737.7691,5708135849.6002,4117763965.4634,9552470.8678,8680494.7051,6759480962.9503,4477411904.2241,4389834034.0783,3414295750.3663,5710972832.7448,4108200498.132,214176.8327,9937.9816,6738617138.9669,4445805999.4393,4390107877.8491,2582945073.5942,5752008274.0601,4110969416.896,18160.7629,9893.7748,6750087801.5514,4444050554.8705,4393266899.1862,2168388626.8919,5721684354.9202,4117167966.7187,23440.4449,8000.4577,6728851121.6859,4442544262.6625,4147780972.2948,22.044,23.3333,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-15ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 05:15:09.750,"{'cid': '771dcab8-db57-476a-bfdb-0f296d01ef5e', 'uuid': 'dbfbf265-8f40-4b25-b423-39155dde0ebb', 'annotationId': '13f65bc8-89df-4196-b9c8-d766499baddb', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759382101872, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T05:15:02.241Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,544039.82,30.76,24.98,102791.21,0.0,0.05,22160328.0,2500.0,2499.92,22450181.0,0.15,2500.0,2498.53,22340098.0,0.15,0.5,360937.55,31.51,24.97,102742.74
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,13f65bc8-89df-4196-b9c8-d766499baddb,a661db87-8dfc-473e-9578-ed90da9aca97,3632501833.8529,5687602267.8341,4117591533.1808,7158.7213,7607.1853,6721431117.9017,4445783010.9336,4365698410.0787,3205870638.7112,5681168458.7814,4101652074.807,39125.7819,61974.3271,6738706493.0644,4451594430.7209,4391379558.4085,2902618960.3343,5676606260.2965,4100529832.1939,797691.785,4553.8436,6716315521.6285,4445540479.9282,4350621162.2807,4025393132.8728,5790151238.4014,4120525658.3741,344094.6467,176701455.4891,6782364025.6959,4495373058.1699,4385416966.0127,3892730890.1552,5708131527.7678,4117767086.2374,9550353.6039,8682233.9171,6759480962.9503,4475890820.8197,4389835693.7376,3424658914.0584,5708508967.8023,4108415235.3277,214523.3862,9892.1621,6742063005.5343,4445557860.5068,4391081783.9752,2584211780.8398,5754091338.1253,4111179250.1817,18158.1992,9857.9528,6752966911.1376,4444049433.92,4393268006.422,2170781455.863,5721685798.8593,4116953876.5535,23436.1121,8000.7736,6728281077.4067,4442793186.5299,4145391567.8387,22.1245,23.3333,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-15ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 05:15:10.951,"{'cid': '771dcab8-db57-476a-bfdb-0f296d01ef5e', 'uuid': 'dbfbf265-8f40-4b25-b423-39155dde0ebb', 'annotationId': '13f65bc8-89df-4196-b9c8-d766499baddb', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759382101872, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T05:15:02.241Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,531884.53,30.98,24.98,102791.12,0.0,0.06,22160328.0,2500.0,2498.03,22450181.0,0.15,2500.0,2498.78,22340098.0,0.15,0.5,362825.62,31.68,24.98,102745.93
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,13f65bc8-89df-4196-b9c8-d766499baddb,a661db87-8dfc-473e-9578-ed90da9aca97,3637856290.1745,5687600832.4961,4117161206.4483,7158.8371,7606.8435,6722000000.0,4446030615.6779,4366659329.7749,3164243308.0304,5680761952.5482,4101439598.0108,39124.6743,62002.6021,6736986557.7676,4450595532.106,4390160986.944,2896542893.726,5676606976.5776,4100315914.8584,798088.2325,4553.9606,6715740819.2689,4445038681.4665,4352047822.7487,4027237664.5155,5790998173.1823,4120955652.7171,344084.3124,176807830.0771,6781201507.2364,4495881152.1887,4385654913.2309,3868160605.321,5707727600.1152,4117339816.9336,9548000.9804,8684735.8195,6760054640.1434,4476900056.4653,4389830161.5402,3432397313.6915,5707277833.7894,4108202573.682,214137.8123,9991.7932,6740338781.0691,4445557299.843,4391322007.6365,2578631565.2287,5758688417.3812,4110749740.3946,18182.9467,9919.7503,6750085244.2247,4443799249.0052,4393022032.7724,2173302006.0456,5721271296.5637,4116735648.9185,23434.357,8000.649,6728275129.5777,4442790384.9386,4140615769.9734,22.044,23.2527,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-15ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 05:15:12.149,"{'cid': '771dcab8-db57-476a-bfdb-0f296d01ef5e', 'uuid': 'dbfbf265-8f40-4b25-b423-39155dde0ebb', 'annotationId': '13f65bc8-89df-4196-b9c8-d766499baddb', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759382101872, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T05:15:02.241Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,522053.67,31.2,24.98,102792.92,0.0,0.07,22160328.0,2500.0,2499.3,22450181.0,0.14,2500.0,2499.41,22340098.0,0.14,0.5,362569.58,31.84,24.98,102743.84
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,13f65bc8-89df-4196-b9c8-d766499baddb,a661db87-8dfc-473e-9578-ed90da9aca97,3645404646.8829,5687601550.1651,4117160166.4067,7160.5564,7606.8759,6722568978.6909,4446278808.9497,4368344159.4187,3145084981.3359,5681170609.319,4101229215.2292,39123.1046,61928.0762,6735833616.8765,4450093725.4462,4388702024.1124,2907321363.0021,5677010028.6533,4099889182.3313,797141.5917,4553.9667,6715167062.4152,4445035878.4617,4349421211.2908,4029910505.4409,5791426483.4844,4120957214.2411,344107.8691,176859139.1905,6781204076.3895,4495884554.3207,4385900071.851,3859842661.6007,5707726879.8617,4117552920.3724,9546755.0842,8686246.6219,6760616461.7486,4475629692.3511,4389580682.6354,3438673061.8977,5705636429.0857,4108416792.071,215225.0397,9918.4879,6737468731.3877,4445306385.603,4392293131.123,2578632542.6821,5759103989.5356,4110959551.3786,18183.1612,9923.7122,6748355207.0905,4444045510.593,4393262470.243,2172944004.8357,5720858297.8416,4116518483.8559,23441.1799,8000.6925,6729985551.5893,4442789264.3021,4137376681.6143,22.1245,23.1722,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-15ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 05:15:13.347,"{'cid': '771dcab8-db57-476a-bfdb-0f296d01ef5e', 'uuid': 'dbfbf265-8f40-4b25-b423-39155dde0ebb', 'annotationId': '13f65bc8-89df-4196-b9c8-d766499baddb', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759382101872, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T05:15:02.241Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,511410.86,31.39,24.99,102792.29,0.0,0.07,22160328.0,2500.0,2500.14,22450181.0,0.14,2500.0,2500.49,22340098.0,0.14,0.5,361474.5,31.98,24.98,102743.97
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,13f65bc8-89df-4196-b9c8-d766499baddb,a661db87-8dfc-473e-9578-ed90da9aca97,3642883218.3908,5687599397.158,4117375838.5771,7159.8338,7606.9274,6722567280.7539,4446277126.6753,4364496755.0324,3183380225.0804,5680761952.5482,4101020926.137,39124.2944,61793.091,6734690423.5414,4450095970.367,4390646785.4376,2907957249.8898,5676197536.1696,4100104091.1445,797644.8526,4553.9341,6715734882.5375,4445286763.4692,4348706707.5844,4031551022.4845,5791849740.554,4120743767.2409,344091.7411,176913162.4712,6780039386.9338,4495883420.2767,4385898413.7512,3877445684.0869,5708143052.6543,4117561242.0034,9545059.0937,8688023.5116,6761186064.3839,4474362302.4831,4389575703.9332,3446020270.5642,5703989491.867,4108416792.071,215407.8161,9973.5287,6736892972.6051,4446799955.1343,4393018711.2489,2575092405.8046,5759105442.9184,4110535278.5421,18170.6895,9930.7498,6747211145.1943,4444547645.7399,4393996677.7409,2170901180.3459,5720858297.8416,4116948676.6159,23438.4457,8001.4254,6729986401.4958,4442542021.515,4134998697.1703,21.9634,23.4139,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-15ppbNO-Maxwell-Q425', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 05:15:14.548,"{'cid': '771dcab8-db57-476a-bfdb-0f296d01ef5e', 'uuid': 'dbfbf265-8f40-4b25-b423-39155dde0ebb', 'annotationId': '13f65bc8-89df-4196-b9c8-d766499baddb', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759382101872, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T05:15:02.241Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,501785.22,31.58,24.98,102791.15,0.0,0.06,22160328.0,2500.0,2501.05,22450181.0,0.14,2500.0,2500.24,22340098.0,0.14,0.5,360474.07,32.13,24.98,102741.98
