component_sn,product_sn,event_name,annotation_id,configuration_id,CHRA1,CHRA2,CHRA3,CHRA4,CHRA5,CHRA6,CHRA7,CHRA8,CHRB1,CHRB2,CHRB3,CHRB4,CHRB5,CHRB6,CHRB7,CHRB8,CHRC1,CHRC2,CHRC3,CHRC4,CHRC5,CHRC6,CHRC7,CHRC8,CHRD1,CHRD2,CHRD3,CHRD4,CHRD5,CHRD6,CHRD7,CHRD8,CHRE1,CHRE2,CHRE3,CHRE4,CHRE5,CHRE6,CHRE7,CHRE8,CHRF1,CHRF2,CHRF3,CHRF4,CHRF5,CHRF6,CHRF7,CHRF8,CHRG1,CHRG2,CHRG3,CHRG4,CHRG5,CHRG6,CHRG7,CHRG8,CHRH1,CHRH2,CHRH3,CHRH4,CHRH5,CHRH6,CHRH7,CHRH8,BT1,BT2,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_454524,GASR0_454524,H0_454524,T0_454524,P0_454524,bVOC_452225,GASR0_452225,H0_452225,T0_452225,P0_452225,SETP0_093324,FLW0_093324,ANLT0_093324,SETP0_183425,FLW0_183425,ANLT0_183425,SETP0_453624,FLW0_453624,ANLT0_453624,FLW0_093125,FLW0_091225
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,3c92e6ba-1c8b-42ae-82c0-3ce76400a757,5e945b7e-62a7-48af-b1af-239f10e11179,4392460581.8343,6645733925.7272,4558169945.9211,8200.1448,5749.8127,6930624454.1485,4604890434.7826,4322637632.1814,4382750387.7687,6649140317.0343,4558996490.0167,12471.5831,83101.9869,6930695196.5065,4661690140.8451,4809714389.6671,4408401404.1344,6694589596.352,4654587005.0523,242487.233,4895.2891,6941563156.0532,4608383709.4622,4604196563.3345,4468164106.6185,6694987333.2207,4692079114.1114,12991349.0617,8883445.5012,6946833858.5434,4645038007.2506,4780982460.3701,4401611682.8929,6660952781.0452,4575639870.6399,6320862.6921,644269.8635,6929550296.8914,4635894951.8529,4775021973.3911,4392251151.9458,6659158336.8333,4575559020.559,916111.7206,3561.5904,6928828254.6058,4605445269.0167,4316530590.0283,4379869353.4101,6690663347.1179,4638806791.5691,28547.7246,15365.8111,6927058310.0559,4720416567.6254,4812055451.0708,3032033527.6968,6659712701.6129,4562389151.215,26507.3307,7734.539,6931864954.5772,4638254116.5479,4505712987.1606,21.641,23.011,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 03:35:05.298,"{'cid': 'ef71c1b4-bad8-440a-b771-423f85dcff62', 'uuid': '2e850391-0d2d-4582-9b04-c27281580271', 'annotationId': '3c92e6ba-1c8b-42ae-82c0-3ce76400a757', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759376102701, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T03:35:02.963Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,317945.7,30.56,25.0,102688.13,0.5,492180.1,29.58,24.98,102733.02,2500.0,2498.19,22450181.0,0.0,0.07,22160328.0,2500.0,2499.46,22340098.0,0.15,0.15
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,3c92e6ba-1c8b-42ae-82c0-3ce76400a757,5e945b7e-62a7-48af-b1af-239f10e11179,4392947251.5269,6645174350.3772,4557643810.4004,8201.9562,5749.4647,6930021832.1544,4605423817.2542,4364339882.2299,4384454419.5068,6648581851.7276,4558995914.6096,12470.2684,83001.2046,6930703930.131,4658956011.7302,4810006670.7095,4408892170.521,6694586218.5442,4647760309.7319,242734.0278,4895.4556,6941563156.0532,4608382549.1675,4621121016.1394,4467661773.0096,6694989866.5766,4692636067.5155,12991675.436,8882790.7019,6946231072.2101,4645577777.7778,4781268233.8758,4401124770.5401,6660394018.3147,4575112599.6073,6320670.3413,644299.365,6929552916.5211,4636166102.4863,4775019565.3483,4392252817.4096,6659158336.8333,4584559657.4471,916262.8076,3555.9439,6928836112.8089,4605448167.9035,4358118371.1601,4378660136.1448,6690666722.9302,4630674459.3805,28542.1564,15317.1878,6927667394.151,4721819532.7825,4812639402.9488,3041984759.2657,6659155816.8837,4562915802.8104,26514.4581,7734.1233,6931264739.2785,4638254700.4554,4529685304.7004,21.641,23.0916,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 03:35:06.501,"{'cid': 'ef71c1b4-bad8-440a-b771-423f85dcff62', 'uuid': '2e850391-0d2d-4582-9b04-c27281580271', 'annotationId': '3c92e6ba-1c8b-42ae-82c0-3ce76400a757', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759376102701, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T03:35:02.963Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,335663.74,30.77,25.01,102687.62,0.5,531654.49,29.86,24.99,102734.68,2500.0,2497.92,22450181.0,0.0,0.07,22160328.0,2500.0,2498.5,22340098.0,0.14,0.14
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,3c92e6ba-1c8b-42ae-82c0-3ce76400a757,5e945b7e-62a7-48af-b1af-239f10e11179,4393681901.4828,6645170159.2624,4557645536.1252,8202.7925,5750.055,6929418442.1935,4605157980.1728,4401954373.8899,4385673503.3259,6648580174.4381,4558737629.4591,12471.9078,82888.4774,6928885008.2948,4656497450.0264,4810298380.7387,4408150768.8879,6694580307.3805,4643129395.218,242820.202,4895.3449,6940955129.8872,4607849063.1707,4636001285.9481,4467912925.631,6694984799.8649,4693468783.3195,12992082.7205,8882390.5934,6945623140.2065,4645851219.3696,4781557055.8804,4401366822.4299,6660390657.8174,4574849587.1586,6320460.3653,644338.6122,6929547677.2616,4636167853.3909,4774736335.1794,4392253372.5643,6659716901.8817,4583499942.1497,915726.5692,3562.3947,6928227693.3822,4604913043.4783,4395867745.6904,4379631331.3036,6691797079.4294,4633656939.0023,28573.1136,15331.1602,6927667394.151,4722663495.8383,4812639402.9488,3036474452.5547,6659715221.7742,4562916378.7146,26508.329,7734.5591,6931868448.6373,4637713101.3545,4552081157.0912,21.641,23.1722,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 03:35:07.702,"{'cid': 'ef71c1b4-bad8-440a-b771-423f85dcff62', 'uuid': '2e850391-0d2d-4582-9b04-c27281580271', 'annotationId': '3c92e6ba-1c8b-42ae-82c0-3ce76400a757', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759376102701, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T03:35:02.963Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,349096.29,30.96,25.02,102686.85,0.5,546221.24,30.09,25.0,102734.04,2500.0,2498.01,22450181.0,0.0,0.07,22160328.0,2500.0,2498.51,22340098.0,0.15,0.14
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,3c92e6ba-1c8b-42ae-82c0-3ce76400a757,5e945b7e-62a7-48af-b1af-239f10e11179,4394414574.539,6646286049.6311,4558696202.5316,8206.6094,5750.3093,6930024452.0129,4605424976.8089,4435744169.137,4387623114.4632,6648022641.5094,4558736478.7112,12471.8195,82944.7602,6928881515.7601,4664152427.9255,4810879480.8031,4407411286.2793,6694576929.5727,4638776932.0843,242855.5229,4895.4669,6940344586.3215,4608649918.7747,4649884504.8954,4468165236.0515,6694985644.3168,4693190783.6285,12992096.0184,8882806.5247,6946232822.7571,4645850634.54,4781553439.0259,4401368491.3218,6660946899.6807,4574584295.612,6320309.9682,644337.0706,6928947000.7858,4636171355.2002,4774736937.1539,4392741102.6595,6659715221.7742,4581908975.2487,916614.3265,3568.6154,6928832620.2742,4605178850.9479,4430799486.0048,4380601295.6093,6692361134.5602,4636368424.1325,28550.6175,15394.9211,6927057437.1508,4724066607.196,4812053024.3281,3040925284.703,6658589786.6622,4562652461.8485,26508.952,7735.4441,6930657641.9214,4637441181.6218,4485542107.3469,21.641,23.0916,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 03:35:08.906,"{'cid': 'ef71c1b4-bad8-440a-b771-423f85dcff62', 'uuid': '2e850391-0d2d-4582-9b04-c27281580271', 'annotationId': '3c92e6ba-1c8b-42ae-82c0-3ce76400a757', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759376102701, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T03:35:02.963Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,357076.57,31.14,25.03,102687.47,0.5,548647.1,30.32,25.02,102734.17,2500.0,2499.62,22450181.0,0.0,0.08,22160328.0,2500.0,2499.75,22340098.0,0.14,0.14
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,3c92e6ba-1c8b-42ae-82c0-3ce76400a757,5e945b7e-62a7-48af-b1af-239f10e11179,4394907788.0236,6646844973.5893,4558959663.9623,8204.6988,5751.7204,6930628820.9607,4605689105.3517,4467282712.7809,4387868670.6228,6647462686.5672,4559258833.0073,12473.5374,83123.2052,6928881515.7601,4661411888.9737,4810881906.957,4406920848.8832,6695138924.0774,4637961716.3262,243196.2245,4895.651,6940348959.2444,4608645857.5075,4662480747.7515,4467912925.631,6694413577.6408,4692912816.868,12991522.5173,8882746.6325,6945623140.2065,4645846540.7334,4782133598.6013,4401613351.8776,6660941018.3162,4574850164.5592,6320326.184,644413.6726,6927741597.5557,4635897869.857,4775026789.4769,4392495558.5165,6659711861.5591,4590139041.7705,915523.873,3574.9261,6928832620.2742,4605173633.2541,4462517443.169,4380842746.4009,6692354381.2257,4639351797.6344,28585.2478,15371.0747,6926451950.7725,4714533206.7185,4811468607.8253,3036944593.8677,6659145737.0853,4562649582.4935,26509.8713,7736.1617,6931262118.9624,4637169877.4081,4511867106.6105,21.7216,23.011,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 03:35:10.099,"{'cid': 'ef71c1b4-bad8-440a-b771-423f85dcff62', 'uuid': '2e850391-0d2d-4582-9b04-c27281580271', 'annotationId': '3c92e6ba-1c8b-42ae-82c0-3ce76400a757', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759376102701, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T03:35:02.963Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,361957.06,31.33,25.02,102685.98,0.5,544360.62,30.55,25.02,102734.14,2500.0,2499.65,22450181.0,0.0,0.08,22160328.0,2500.0,2499.52,22340098.0,0.14,0.15
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,3c92e6ba-1c8b-42ae-82c0-3ce76400a757,5e945b7e-62a7-48af-b1af-239f10e11179,4395642535.6964,6647403152.7754,4558694476.4097,8206.6504,5750.6712,6930022705.4406,4605418599.2579,4411523613.5061,4388604947.8589,6648025995.8071,4559523508.0854,12473.3345,82752.5229,6928275711.5418,4657858566.9051,4810886759.2649,4406677620.5859,6695139768.6006,4635249517.3463,243158.8846,4895.4969,6940949007.2597,4608375007.2518,4674037951.5587,4467660643.7041,6694977199.7973,4692911632.3146,12989806.7115,8882437.3301,6946832983.1933,4645841277.2677,4782134201.4831,4401365709.8353,6660937657.5365,4575113177.0412,6320370.2974,644416.6942,6927732867.7433,4635352745.5214,4774742354.9242,4392739992.227,6661389799.1765,4587745222.9299,915133.855,3568.3654,6928225074.2099,4605441210.5751,4407367455.8186,4381085331.4137,6692351848.7253,4641523725.8348,28611.9076,15418.4766,6926452823.6013,4716209701.3596,4811762314.9721,3036356267.5272,6660272200.2856,4562392030.4042,26515.4633,7735.7333,6931263865.8398,4637440597.8166,4535389146.2229,21.7216,22.9304,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 03:35:11.300,"{'cid': 'ef71c1b4-bad8-440a-b771-423f85dcff62', 'uuid': '2e850391-0d2d-4582-9b04-c27281580271', 'annotationId': '3c92e6ba-1c8b-42ae-82c0-3ce76400a757', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759376102701, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T03:35:02.963Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,364336.68,31.46,25.03,102685.86,0.5,533105.07,30.77,25.02,102732.74,2500.0,2498.77,22450181.0,0.0,0.08,22160328.0,2500.0,2499.55,22340098.0,0.15,0.14
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,3c92e6ba-1c8b-42ae-82c0-3ce76400a757,5e945b7e-62a7-48af-b1af-239f10e11179,4395641424.5236,6647400637.2631,4558689298.0437,8206.8225,5751.1002,6930627947.5983,4604616543.9685,4444709970.2965,4389334812.7601,6647466879.0877,4559783609.5764,12471.5809,83003.7076,6929489172.197,4655401160.4056,4811178575.7613,4406183448.4295,6694569329.5052,4634432030.8844,243047.1419,4895.4853,6940337589.6449,4607837461.5697,4683712058.5804,4467155036.1337,6695541761.6755,4692632514.0657,12987869.5269,8882712.5851,6946827731.0924,4645840692.4382,4781844707.0171,4401365709.8353,6661502394.7567,4575115486.7768,6319671.2491,644403.6865,6928346429.195,4635083440.3081,4775319686.9356,4392494448.1457,6660826751.8064,4585885281.0094,914680.7184,3571.8004,6927621999.127,4605441210.5751,4359073819.6009,4381816016.8365,6692353537.0589,4633110929.1854,28579.0199,15433.7389,6927661283.2824,4717608979.6888,4812344982.405,3051528067.3307,6660269679.9126,4562390302.8907,26511.6614,7736.066,6931268233.0335,4637170461.1792,4557317703.8442,21.8022,23.0916,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 03:35:12.508,"{'cid': 'ef71c1b4-bad8-440a-b771-423f85dcff62', 'uuid': '2e850391-0d2d-4582-9b04-c27281580271', 'annotationId': '3c92e6ba-1c8b-42ae-82c0-3ce76400a757', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759376102701, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T03:35:02.963Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,365595.71,31.63,25.03,102686.12,0.5,522225.75,31.0,25.03,102734.54,2500.0,2500.86,22450181.0,0.0,0.07,22160328.0,2500.0,2499.21,22340098.0,0.13,0.13
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,3c92e6ba-1c8b-42ae-82c0-3ce76400a757,5e945b7e-62a7-48af-b1af-239f10e11179,4395643091.2828,6647400637.2631,4558428744.0308,8205.6374,5751.9156,6931234168.9231,4605156240.9415,4475869970.0886,4389822449.0928,6648576819.8591,4560306204.6737,12472.4341,82935.8379,6929485679.3573,4653495606.3269,4811762921.621,4405447964.8087,6694004053.0271,4638500673.2627,243044.5331,4895.477,6941555283.415,4608376167.5466,4693155621.3018,4466649542.7346,6695539228.1057,4693464636.8914,12986161.5044,8883734.5129,6946826855.7423,4645300859.5989,4781271247.7396,4400876626.9885,6661502394.7567,4574850164.5592,6318954.0921,644408.8477,6927738105.6307,4634810665.7331,4775028595.509,4392495003.3311,6660830952.781,4584029159.9167,914578.3809,3579.5918,6928226820.3248,4605444109.462,4397332963.6817,4380119027.847,6692917686.7877,4635551135.0339,28599.7914,15396.6066,6927663029.2449,4719293013.308,4811764134.9187,3061242835.0116,6660266319.4153,4561866075.5412,26502.5806,7736.0196,6933084920.4962,4637444100.648,4577869552.6696,21.641,22.9304,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 03:35:13.699,"{'cid': 'ef71c1b4-bad8-440a-b771-423f85dcff62', 'uuid': '2e850391-0d2d-4582-9b04-c27281580271', 'annotationId': '3c92e6ba-1c8b-42ae-82c0-3ce76400a757', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759376102701, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T03:35:02.963Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,363898.62,31.81,25.03,102686.01,0.5,510511.83,31.21,25.03,102733.62,2500.0,2500.46,22450181.0,0.0,0.07,22160328.0,2500.0,2499.47,22340098.0,0.15,0.15
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,3c92e6ba-1c8b-42ae-82c0-3ce76400a757,5e945b7e-62a7-48af-b1af-239f10e11179,4396131021.837,6647399798.759,4557903699.0163,8207.9247,5750.9146,6931844863.7317,4605156820.6853,4419901354.2886,4390310748.5711,6648019287.2117,4559780732.0442,12473.5641,82663.7568,6928880642.6264,4648866974.8932,4812347409.295,4405204899.7773,6694574396.2169,4633351461.9883,242975.1571,4895.5659,6941563156.0532,4608112310.0128,4701796787.0058,4466902275.1651,6694975510.8934,4693185452.8224,12960782.4847,8878047.4363,6947438501.2694,4645844786.2448,4781848926.9351,4400635741.6986,6661509957.1465,4575120106.2478,6318400.3187,644423.778,6928349921.4248,4634815916.9146,4775037625.6697,4392496113.702,6660276400.9073,4592000115.9152,913889.567,3577.7344,6929440272.4415,4605179430.6916,4349978607.8657,4378908567.6334,6692921907.9781,4637724186.3732,28599.9094,15472.4836,6928273092.3695,4720694716.8242,4811767774.8119,3058745017.6077,6660267999.664,4561079960.8543,26504.8826,7736.374,6933695063.3464,4637716604.3905,4508790790.2217,21.7216,23.0916,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 03:35:14.910,"{'cid': 'ef71c1b4-bad8-440a-b771-423f85dcff62', 'uuid': '2e850391-0d2d-4582-9b04-c27281580271', 'annotationId': '3c92e6ba-1c8b-42ae-82c0-3ce76400a757', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759376102701, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T03:35:02.963Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,361773.95,31.95,25.04,102687.99,0.5,499255.05,31.43,25.03,102734.15,2500.0,2499.54,22450181.0,0.0,0.07,22160328.0,2500.0,2500.04,22340098.0,0.14,0.16
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,3c92e6ba-1c8b-42ae-82c0-3ce76400a757,5e945b7e-62a7-48af-b1af-239f10e11179,4396375861.3025,6647399798.759,4557904849.5657,8208.6152,5749.3163,6931242903.3103,4604892753.6232,4450963071.0517,4391045066.0451,6648020964.3606,4559519479.7721,12472.6348,82801.1549,6928276584.5993,4657317659.4747,4813225317.0702,4404717180.7148,6694011652.4529,4637421714.9546,242796.4701,4895.7934,6942166914.5307,4608379068.2833,4709628288.1064,4466903404.2793,6694972977.5376,4693185452.8224,12960405.0635,8877836.9411,6947438501.2694,4645573099.4152,4782138421.6555,4400394327.03,6662069747.8992,4575383149.5063,6318165.0085,644362.3667,6928954858.9889,4634816500.3793,4775611415.4976,4392741657.8757,6660277241.0317,4598665041.4998,914036.7436,3574.1669,6928233804.7844,4604913623.1884,4388563444.1924,4379637420.4262,6694052182.724,4630137914.9135,28616.7183,15343.5583,6929480440.0978,4722095470.2176,4812349836.1849,3054353504.9076,6660267159.5396,4561340817.5014,26500.5423,7736.3146,6933689820.8825,4637445268.2585,4511387372.0137,21.641,23.0916,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 03:35:16.102,"{'cid': 'ef71c1b4-bad8-440a-b771-423f85dcff62', 'uuid': '2e850391-0d2d-4582-9b04-c27281580271', 'annotationId': '3c92e6ba-1c8b-42ae-82c0-3ce76400a757', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759376102701, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T03:35:02.963Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,359857.56,32.09,25.04,102687.34,0.5,489630.22,31.58,25.03,102735.65,2500.0,2499.93,22450181.0,0.0,0.07,22160328.0,2500.0,2499.64,22340098.0,0.15,0.15
