component_sn,product_sn,event_name,annotation_id,configuration_id,CHRA1,CHRA2,CHRA3,CHRA4,CHRA5,CHRA6,CHRA7,CHRA8,CHRB1,CHRB2,CHRB3,CHRB4,CHRB5,CHRB6,CHRB7,CHRB8,CHRC1,CHRC2,CHRC3,CHRC4,CHRC5,CHRC6,CHRC7,CHRC8,CHRD1,CHRD2,CHRD3,CHRD4,CHRD5,CHRD6,CHRD7,CHRD8,CHRE1,CHRE2,CHRE3,CHRE4,CHRE5,CHRE6,CHRE7,CHRE8,CHRF1,CHRF2,CHRF3,CHRF4,CHRF5,CHRF6,CHRF7,CHRF8,CHRG1,CHRG2,CHRG3,CHRG4,CHRG5,CHRG6,CHRG7,CHRG8,CHRH1,CHRH2,CHRH3,CHRH4,CHRH5,CHRH6,CHRH7,CHRH8,BT1,BT2,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_454524,GASR0_454524,H0_454524,T0_454524,P0_454524,bVOC_452225,GASR0_452225,H0_452225,T0_452225,P0_452225,SETP0_453624,FLW0_453624,ANLT0_453624,SETP0_183425,FLW0_183425,ANLT0_183425,SETP0_093324,FLW0_093324,ANLT0_093324,FLW0_091225,FLW0_093125
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,9d855b71-8e9d-4a71-b9ab-9bf8a44e6b9e,5e945b7e-62a7-48af-b1af-239f10e11179,4422612778.8026,6680880667.4532,4581278478.0849,8382.1186,5835.1203,6974973191.5268,4635699445.5792,4618830004.0766,4419433582.8399,6682048213.0816,4580512805.6888,12583.2574,84568.0587,6972563922.3267,4676948304.2864,4830677264.1452,4430304065.4049,6731389997.4527,4661344354.8862,249445.839,4931.9793,6985429577.4648,4641404697.9081,4605383543.3482,4491679818.3366,6728914445.7647,4713462224.8662,13229592.3346,8994388.7457,6995072719.2596,4676651948.6636,4802564785.6624,4424679268.4973,6695114432.9026,4597588928.2191,6407548.9633,637744.8173,6971442501.9766,4667131609.8707,4798308529.9456,4414233666.2389,6692171197.0285,4599910009.2894,956602.796,4361.393,6974368078.7485,4636791780.9818,4421043037.1279,4398556735.42,6687699510.7137,4659453657.9628,29135.9271,20914.2274,6973817558.6607,4738624947.8017,4833930399.805,2849411510.1688,6698935271.2523,4587911865.192,27021.0699,8027.694,6977428119.2298,4695169050.7152,4302772110.6891,19.0623,20.4322,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:16:34.180,"{'cid': 'ed02edac-3032-4d8f-b651-d412a9f84f3a', 'uuid': 'd0a7042c-9d3c-41fe-aea6-4830f4b118ff', 'annotationId': '9d855b71-8e9d-4a71-b9ab-9bf8a44e6b9e', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759360591968, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:16:32.229Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,216726.36,33.68,22.55,102469.66,0.5,307681.28,32.7,22.57,102512.76,2500.0,2499.22,22340098.0,0.0,0.03,22160328.0,2500.0,2498.06,22450181.0,0.14,0.14
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,9d855b71-8e9d-4a71-b9ab-9bf8a44e6b9e,5e945b7e-62a7-48af-b1af-239f10e11179,4422365567.3561,6680312631.6677,4581543399.0632,8382.9583,5836.367,6974976707.3921,4635697111.176,4636407693.2071,4419184494.2188,6682043998.6514,4580774745.6059,12582.0872,84622.6533,6971956598.1374,4685499911.5201,4832150603.1437,4429311947.1504,6730813380.8796,4664635855.1663,249657.4065,4931.8942,6986045426.534,4641132340.0526,4624751880.5761,4491679250.6387,6728910202.0031,4713741448.0338,13230539.6588,8994191.8647,6993840662.7302,4676377818.3317,4802566602.0828,4424926733.7808,6695111054.8096,4597855153.2033,6407695.2093,637814.1614,6971446015.9888,4666584420.1621,4798892182.9622,4414482758.6207,6691605469.7392,4609004653.8685,957253.8981,4368.543,6973756041.8314,4636791780.9818,4455876502.9779,4398067152.1485,6688259512.3597,4662466898.1345,29144.3612,20934.489,6974423448.7608,4741167482.3923,4833636419.0383,2873752636.5554,6698933581.2067,4588175237.4334,27025.8807,8028.2588,6978041681.3225,4692115895.8001,4269126244.9529,19.2234,20.5128,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:16:35.376,"{'cid': 'ed02edac-3032-4d8f-b651-d412a9f84f3a', 'uuid': 'd0a7042c-9d3c-41fe-aea6-4830f4b118ff', 'annotationId': '9d855b71-8e9d-4a71-b9ab-9bf8a44e6b9e', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759360591968, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:16:32.229Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,230819.82,33.92,22.55,102471.78,0.5,345174.06,33.03,22.59,102512.99,2500.0,2500.09,22340098.0,0.0,0.02,22160328.0,2500.0,2498.5,22450181.0,0.15,0.15
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,9d855b71-8e9d-4a71-b9ab-9bf8a44e6b9e,5e945b7e-62a7-48af-b1af-239f10e11179,4422362772.4986,6680305890.284,4581539929.4512,8384.3379,5836.1576,6974973191.5268,4635697694.7768,4574795800.6461,4419926815.6425,6682043998.6514,4581570577.6904,12583.3895,84605.1269,6970735242.4455,4683567216.9811,4832446840.9188,4428563671.9843,6729662139.219,4667654648.2856,249690.488,4932.123,6986045426.534,4641946587.1903,4641561420.9633,4493207450.7354,6729475426.5343,4713742042.9532,13230777.1425,8994292.4612,6993840662.7302,4677205016.4861,4803150054.4992,4425421747.399,6695111054.8096,4597588928.2191,6407932.5038,637824.2377,6971450408.5039,4666862699.0189,4799188600.472,4414237013.8928,6691603781.5481,4608469637.0405,958194.396,4359.3399,6973139718.8049,4636794699.6673,4405543580.9122,4399044203.5029,6687690231.1456,4655069917.7438,29154.9014,20940.5061,6974420812.0935,4743717527.6202,4829517749.4977,2866538252.2581,6698929356.0926,4588972487.6919,27017.6005,8028.137,6978044319.3809,4690178908.8333,4120379858.6572,18.9011,20.4322,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:16:36.574,"{'cid': 'ed02edac-3032-4d8f-b651-d412a9f84f3a', 'uuid': 'd0a7042c-9d3c-41fe-aea6-4830f4b118ff', 'annotationId': '9d855b71-8e9d-4a71-b9ab-9bf8a44e6b9e', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759360591968, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:16:32.229Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,240523.93,34.15,22.56,102470.71,0.5,362484.64,33.34,22.6,102512.46,2500.0,2498.65,22340098.0,0.0,0.02,22160328.0,2500.0,2497.8,22450181.0,0.15,0.14
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,9d855b71-8e9d-4a71-b9ab-9bf8a44e6b9e,5e945b7e-62a7-48af-b1af-239f10e11179,4422609983.7889,6681990053.9447,4581539351.1826,8384.7471,5835.9694,6975587201.1252,4636240004.6694,4571920216.7522,4419431348.4527,6682040627.1072,4581570577.6904,12582.2253,84767.8051,6971961869.6187,4681912059.4129,4833040034.1235,4428317474.5326,6730232617.3699,4664081945.0168,249749.3772,4932.1403,6985433098.5915,4642218455.964,4657401491.5732,4492444923.9155,6728903411.9844,4714585267.1665,13230432.6725,8993319.8045,6993837137.5694,4676928466.2938,4804025800.9812,4425172548.8003,6695105987.67,4597587767.6551,6408460.737,637875.9474,6970833626.142,4666862699.0189,4799770650.5295,4413744490.9344,6692167820.3613,4606595150.8809,958526.2835,4362.0206,6972523504.0858,4637336680.4834,4359926878.8828,4397085533.2629,6688251919.3453,4647696368.8626,29159.0372,20893.4096,6974421690.9826,4746269717.9732,4829518967.302,2865076683.224,6698926821.0242,4589238299.3513,27022.5687,8028.576,6978045198.7337,4687966831.9169,4177586007.0597,18.9011,20.5934,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:16:37.771,"{'cid': 'ed02edac-3032-4d8f-b651-d412a9f84f3a', 'uuid': 'd0a7042c-9d3c-41fe-aea6-4830f4b118ff', 'annotationId': '9d855b71-8e9d-4a71-b9ab-9bf8a44e6b9e', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759360591968, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:16:32.229Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,246300.08,34.34,22.56,102473.02,0.5,364939.38,33.61,22.61,102515.01,2500.0,2500.86,22340098.0,0.0,0.02,22160328.0,2500.0,2499.71,22450181.0,0.15,0.14
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,9d855b71-8e9d-4a71-b9ab-9bf8a44e6b9e,5e945b7e-62a7-48af-b1af-239f10e11179,4422359977.6411,6681425200.1686,4581272117.4974,8384.9286,5836.5513,6976195164.8352,4635972335.7068,4593932460.6117,4416461426.817,6682604737.4189,4581568842.8844,12584.5192,84760.2329,6972571830.2434,4689652261.1879,4832747379.9659,4428069625.5667,6730234315.3069,4658049268.0346,249833.9405,4932.1372,6984200844.9217,4642219040.3834,4671413005.0654,4492447762.8889,6728341678.6896,4714868789.0509,13230089.5169,8992960.9628,6993216425.8019,4677202661.3283,4804316777.7105,4424178829.0555,6695668918.9189,4597318092.1434,6408809.435,637861.7868,6970832747.7161,4666587945.0123,4799480212.9977,4413991296.5856,6692734487.1254,4605257498.2562,958869.9171,4371.8598,6972519989.4561,4637609177.9542,4399661581.1373,4396105462.0214,6688250232.0088,4651515293.8414,29150.3706,20956.5056,6975032082.2712,4738342877.5948,4829811228.8394,2873121000.5817,6698363329.1086,4588707865.1685,27016.4643,8028.2222,6977428998.5052,4695726531.0948,4178263252.1867,18.9817,20.5934,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:16:38.981,"{'cid': 'ed02edac-3032-4d8f-b651-d412a9f84f3a', 'uuid': 'd0a7042c-9d3c-41fe-aea6-4830f4b118ff', 'annotationId': '9d855b71-8e9d-4a71-b9ab-9bf8a44e6b9e', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759360591968, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:16:32.229Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,248695.24,34.55,22.57,102472.34,0.5,360482.19,33.84,22.62,102515.56,2500.0,2500.61,22340098.0,0.0,0.04,22160328.0,2500.0,2499.2,22450181.0,0.15,0.15
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,9d855b71-8e9d-4a71-b9ab-9bf8a44e6b9e,5e945b7e-62a7-48af-b1af-239f10e11179,4422853868.5152,6680860441.5978,4581269226.3213,8384.8468,5835.7119,6975581926.8636,4635974086.6114,4525138080.566,4416957347.0299,6683168942.8427,4581568842.8844,12584.5834,84838.546,6973187170.4745,4687161149.466,4833043690.2078,4429059508.4812,6730804041.4332,4652304756.3124,249913.7278,4932.1886,6983584440.7287,4642219624.8028,4683846926.1206,4492704559.6502,6729484763.6024,4714308323.9127,13228372.3144,8992589.962,6993220831.8646,4677755859.145,4804609001.1509,4424922259.5078,6696804358.8444,4597853412.2563,6409285.0963,637891.1295,6970218708.8274,4666315573.0482,4798900653.4366,4414237013.8928,6692733642.8873,4603918879.656,958317.3816,4376.2148,6971912669.1267,4637340767.1201,4436148682.6649,4395616423.1346,6687124420.0759,4654795840.4324,29175.5597,20941.4901,6975031203.3049,4740602769.1573,4830104743.9255,2894558807.3697,6698369243.7685,4588711340.2062,27015.1402,8028.7357,6977428998.5052,4692954626.0191,4230073082.2575,19.2234,20.5934,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:16:40.178,"{'cid': 'ed02edac-3032-4d8f-b651-d412a9f84f3a', 'uuid': 'd0a7042c-9d3c-41fe-aea6-4830f4b118ff', 'annotationId': '9d855b71-8e9d-4a71-b9ab-9bf8a44e6b9e', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759360591968, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:16:32.229Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,251080.44,34.75,22.57,102471.09,0.5,352279.73,34.09,22.63,102514.4,2500.0,2499.62,22340098.0,0.0,0.03,22160328.0,2500.0,2499.91,22450181.0,0.15,0.15
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,9d855b71-8e9d-4a71-b9ab-9bf8a44e6b9e,5e945b7e-62a7-48af-b1af-239f10e11179,4423345074.3598,6681986682.4005,4581265178.6747,8387.3015,5835.7574,6975581047.82,4635976421.1509,4550885981.5229,4417449469.5701,6683730714.1051,4581829169.5582,12584.4923,84673.3553,6973793830.7408,4685501681.1184,4833928571.4286,4429799552.0717,6730799796.2303,4657219021.8669,249825.7824,4932.3548,6984197324.4147,4642486849.7954,4695789224.3931,4492188156.4753,6729478821.8318,4715144608.4266,13227660.6039,8992748.1057,6993835374.989,4678030740.2391,4804608395.4207,4424676472.2331,6696242081.2569,4597583125.3989,6409364.6681,637892.0288,6970219587.1761,4666590882.3875,4799773676.2481,4414233666.2389,6692731110.1731,4602846685.6446,956770.4501,4376.0551,6972525261.4006,4637070052.5394,4445390695.0673,4396841169.2786,6686562078.2726,4657806584.3621,29175.3279,20941.427,6975033840.2039,4743151012.1216,4830987940.0658,2886176040.9058,6698365019.0114,4588970750.0724,27002.0473,8029.0094,6978037284.5586,4690179499.2915,4212516468.3383,19.0623,20.5128,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:16:41.374,"{'cid': 'ed02edac-3032-4d8f-b651-d412a9f84f3a', 'uuid': 'd0a7042c-9d3c-41fe-aea6-4830f4b118ff', 'annotationId': '9d855b71-8e9d-4a71-b9ab-9bf8a44e6b9e', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759360591968, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:16:32.229Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,250168.28,34.9,22.57,102471.6,0.5,344117.25,34.3,22.63,102514.9,2500.0,2498.39,22340098.0,0.0,0.02,22160328.0,2500.0,2500.72,22450181.0,0.15,0.15
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,9d855b71-8e9d-4a71-b9ab-9bf8a44e6b9e,5e945b7e-62a7-48af-b1af-239f10e11179,4423096662.3805,6682547416.3365,4580732539.3154,8386.2712,5836.8579,6976189890.1099,4635974086.6114,4574545192.3632,4418192885.4638,6683731557.2043,4581827434.6519,12583.5505,84736.3149,6973791194.3053,4683568985.8491,4833932837.6402,4429800671.8925,6730228372.5274,4661329646.4082,249733.3991,4932.0875,6985418133.8028,4642213780.609,4705834816.6607,4492955706.9847,6730051782.6825,4715146393.7158,13225010.4653,8991915.0839,6994447382.3374,4678034862.4934,4804322834.6457,4425173108.1157,6696241236.5909,4597048447.9257,6409379.9672,637868.5794,6970210803.6891,4666315573.0482,4799486869.1758,4414974330.3571,6692733642.8873,4601242232.4177,955321.2162,4371.2979,6972523504.0858,4637071220.0817,4477821692.7333,4398802401.8681,6686570512.8205,4650427892.2345,29193.5877,20964.7694,6975645218.0028,4744849770.0257,4831579556.5302,2887650734.4881,6698937806.3208,4589505300.3534,27011.1297,8029.3815,6978652713.0419,4688244702.8271,4208282651.3825,19.2234,20.5934,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:16:42.582,"{'cid': 'ed02edac-3032-4d8f-b651-d412a9f84f3a', 'uuid': 'd0a7042c-9d3c-41fe-aea6-4830f4b118ff', 'annotationId': '9d855b71-8e9d-4a71-b9ab-9bf8a44e6b9e', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759360591968, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:16:32.229Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,249792.91,35.09,22.57,102471.02,0.5,334337.17,34.54,22.62,102513.49,2500.0,2498.71,22340098.0,0.0,0.02,22160328.0,2500.0,2498.95,22450181.0,0.15,0.16
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,9d855b71-8e9d-4a71-b9ab-9bf8a44e6b9e,5e945b7e-62a7-48af-b1af-239f10e11179,4423586804.5848,6682546573.3794,4580198288.8195,8386.2648,5836.3979,6976185494.5055,4635972335.7068,4508120736.6985,4417943935.6712,6684296795.9528,4582091261.3498,12584.2661,84786.1484,6975632911.3924,4681913238.2412,4830990985.5037,4429549857.2308,6730801494.3114,4664895784.2675,249761.6813,4932.0561,6984186762.8939,4641943665.2641,4623404453.7717,4492188156.4753,6730051782.6825,4715146988.8122,13221861.1763,8990603.7375,6993830087.2477,4677759981.1565,4804324046.0327,4425663701.9634,6696800979.8953,4596778254.8155,6409220.1383,637837.7097,6969603899.5257,4666043820.4887,4799486869.1758,4414726856.7602,6692168664.5281,4599903622.8518,954791.2812,4372.9748,6972520868.1135,4637071803.8529,4507133439.418,4397574342.7269,6687129481.2315,4654247782.412,29212.6825,20940.0409,6975640822.7848,4745983151.1023,4831873895.827,2913173222.2509,6698942876.4577,4588708444.3415,27016.1821,8028.9696,6979265611.2577,4686310324.4838,4236920282.1116,19.0623,20.5934,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:16:43.781,"{'cid': 'ed02edac-3032-4d8f-b651-d412a9f84f3a', 'uuid': 'd0a7042c-9d3c-41fe-aea6-4830f4b118ff', 'annotationId': '9d855b71-8e9d-4a71-b9ab-9bf8a44e6b9e', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759360591968, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:16:32.229Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,249704.68,35.24,22.57,102470.0,0.5,323542.09,34.74,22.63,102514.16,2500.0,2499.03,22340098.0,0.0,0.02,22160328.0,2500.0,2499.54,22450181.0,0.14,0.15
0000000027-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,9d855b71-8e9d-4a71-b9ab-9bf8a44e6b9e,5e945b7e-62a7-48af-b1af-239f10e11179,4423337806.1053,6681979939.3122,4580193664.0074,8386.6007,5835.8365,6976182857.1429,4635702947.1841,4535753503.0026,4418188417.9371,6683729871.0058,4581029777.3923,12583.9338,84736.1006,6975017139.8435,4679984092.382,4831876332.6226,4429548177.5936,6729658743.6333,4659405434.0155,249826.7275,4932.3725,6983567719.7923,4641668906.6791,4640746050.3218,4492189859.7627,6730055178.2683,4714865218.6849,13219933.3701,8989966.7422,6993830087.2477,4677486309.8393,4804326468.8068,4425662023.8295,6696237857.9272,4596774193.5484,6409381.9282,637802.1957,6968994467.3751,4666044995.3008,4799780937.9728,4415466011.8317,6692171197.0285,4599901881.0961,955860.9901,4375.4538,6972518232.1413,4636529301.8912,4451381342.6134,4396597943.8733,6687696979.9224,4647422571.5626,29211.4805,20970.2405,6975646097.0464,4747686330.7633,4832173144.8763,2919976721.8445,6697814295.3701,4588708444.3415,27014.9527,8028.8011,6979883015.2168,4684653220.0991,4214139873.5186,19.2234,20.4322,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-01 23:16:44.977,"{'cid': 'ed02edac-3032-4d8f-b651-d412a9f84f3a', 'uuid': 'd0a7042c-9d3c-41fe-aea6-4830f4b118ff', 'annotationId': '9d855b71-8e9d-4a71-b9ab-9bf8a44e6b9e', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759360591968, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-01T23:16:32.229Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,248016.79,35.38,22.58,102470.37,0.5,315443.5,34.89,22.63,102514.46,2500.0,2500.21,22340098.0,0.0,0.04,22160328.0,2500.0,2498.86,22450181.0,0.16,0.14
