component_sn,product_sn,event_name,annotation_id,configuration_id,CHRA1,CHRA2,CHRA3,CHRA4,CHRA5,CHRA6,CHRA7,CHRA8,CHRB1,CHRB2,CHRB3,CHRB4,CHRB5,CHRB6,CHRB7,CHRB8,CHRC1,CHRC2,CHRC3,CHRC4,CHRC5,CHRC6,CHRC7,CHRC8,CHRD1,CHRD2,CHRD3,CHRD4,CHRD5,CHRD6,CHRD7,CHRD8,CHRE1,CHRE2,CHRE3,CHRE4,CHRE5,CHRE6,CHRE7,CHRE8,CHRF1,CHRF2,CHRF3,CHRF4,CHRF5,CHRF6,CHRF7,CHRF8,CHRG1,CHRG2,CHRG3,CHRG4,CHRG5,CHRG6,CHRG7,CHRG8,CHRH1,CHRH2,CHRH3,CHRH4,CHRH5,CHRH6,CHRH7,CHRH8,BT1,BT2,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,bVOC_454524,GASR0_454524,H0_454524,T0_454524,P0_454524,bVOC_452225,GASR0_452225,H0_452225,T0_452225,P0_452225,SETP0_183425,FLW0_183425,ANLT0_183425,SETP0_093324,FLW0_093324,ANLT0_093324,FLW0_091225,FLW0_093125,SETP0_453624,FLW0_453624,ANLT0_453624
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,c7a97318-933c-488b-a7c0-4c506dc4f896,5e945b7e-62a7-48af-b1af-239f10e11179,3646599779.0869,5690881803.8202,4117183567.3427,7160.1845,7614.9816,6723742039.5687,4449281185.1187,4360164285.7143,2965960371.5634,5680358371.5596,4101035947.3739,39192.7171,62191.8299,6744456179.2011,4453095024.1492,4379246730.3129,2876076864.3975,5678237443.5767,4100131538.0632,795159.5432,4556.7879,6716896259.2247,4446530394.7959,4338233654.0564,4028297245.095,5793146198.8304,4121848188.2549,343217.3083,179428241.6296,6784126970.5278,4498186305.1001,4385657676.5779,3675344899.5686,5710228419.0806,4117374661.9513,9601294.4569,8701939.4107,6761830913.7489,4478692312.0375,4390325329.2022,3494981030.5276,5708937472.9866,4108221253.6322,214338.2023,10351.5129,6731182420.9453,4453543024.0395,4394959016.3934,2726385396.9347,5757856727.6954,4111410396.2196,18178.092,10118.6377,6745511542.7208,4444792308.9859,4392998228.5208,2159180386.054,5727480667.7748,4117183567.3427,23471.1504,8009.377,6730583935.4016,4444040466.3154,4151236789.7876,22.1245,23.4139,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 02:55:03.374,"{'cid': 'd6c7c43f-0576-4559-ad2b-7503c56be446', 'uuid': 'a1642358-74aa-400d-ba19-d4f290fc5fb3', 'annotationId': 'c7a97318-933c-488b-a7c0-4c506dc4f896', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759373701397, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T02:55:01.712Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,309013.35,30.47,24.97,102656.61,0.5,453047.89,29.45,24.92,102710.32,0.0,0.07,22160328.0,2500.0,2497.66,22450181.0,0.14,0.15,2500.0,2497.28,22340098.0
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,c7a97318-933c-488b-a7c0-4c506dc4f896,5e945b7e-62a7-48af-b1af-239f10e11179,3643576749.7471,5694564202.055,4116973636.3164,7161.0747,7614.7767,6722601239.494,4449032656.2675,4361363561.418,2966741598.2916,5680358371.5596,4101253561.2536,39181.2188,62046.4804,6742159216.688,4452593216.5319,4375862145.0234,2884381056.4663,5678239593.0358,4100135680.9943,797531.8597,4556.62,6716895410.9763,4446779204.7558,4337521180.6505,4029941014.9497,5793994736.0725,4121635691.6029,344390.6975,179438774.6584,6783543219.3952,4498440939.5212,4385414202.8185,3655440158.7155,5710637025.2937,4116943837.7535,9598990.6115,8703846.5098,6762410111.8798,4479451412.4294,4390326435.7641,3496374950.3509,5707291516.6355,4108436510.8194,215016.3543,10310.0323,6734617281.8507,4453542462.368,4395201883.1349,2709526613.0412,5758692777.2126,4111196385.9175,18181.9701,10221.3497,6748961050.0298,4444792869.5555,4392998228.5208,2159055393.2676,5727066050.0072,4116756447.5874,23472.2402,8009.4926,6731727450.4803,4444289557.7602,4148407486.7988,22.1245,23.4945,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 02:55:04.576,"{'cid': 'd6c7c43f-0576-4559-ad2b-7503c56be446', 'uuid': 'a1642358-74aa-400d-ba19-d4f290fc5fb3', 'annotationId': 'c7a97318-933c-488b-a7c0-4c506dc4f896', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759373701397, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T02:55:01.712Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,323716.71,30.68,24.97,102661.1,0.5,503339.37,29.74,24.94,102710.48,0.0,0.07,22160328.0,2500.0,2498.77,22450181.0,0.15,0.15,2500.0,2498.08,22340098.0
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,c7a97318-933c-488b-a7c0-4c506dc4f896,5e945b7e-62a7-48af-b1af-239f10e11179,3640557801.8747,5694562764.9637,4117397160.5388,7160.471,7615.0005,6722597843.62,4448779666.7228,4362560197.9109,2967742672.963,5681174910.3943,4101038019.2686,39186.5153,62023.831,6739284255.3191,4452089837.1701,4378997903.1012,2877745429.4334,5679056252.2393,4100133091.6624,798864.5099,4556.7217,6716892017.9829,4447026920.9198,4340366460.6465,4031585613.9994,5794843521.4975,4121419573.139,344712.6068,179495934.649,6781798561.1511,4498440939.5212,4385897308.3513,3658317403.1491,5711048573.0758,4116937077.4831,9597634.4966,8705835.3378,6761241567.7568,4477929515.4185,4390321456.2355,3494675782.9731,5706060911.5127,4108435472.9905,215579.1591,10309.4993,6733467687.0748,4453039986.5214,4395199113.8189,2689563385.5459,5759533430.2326,4111408838.3445,18175.3191,10260.079,6751835777.6262,4445041484.4714,4393483556.6382,2159944556.7269,5726654382.5421,4116755927.6206,23473.9527,8009.5897,6732873055.0123,4444539798.2063,4144929739.3303,22.1245,23.4139,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 02:55:05.776,"{'cid': 'd6c7c43f-0576-4559-ad2b-7503c56be446', 'uuid': 'a1642358-74aa-400d-ba19-d4f290fc5fb3', 'annotationId': 'c7a97318-933c-488b-a7c0-4c506dc4f896', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759373701397, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T02:55:01.712Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,339062.4,30.89,24.97,102660.27,0.5,533096.96,30.03,24.96,102708.48,0.0,0.07,22160328.0,2500.0,2499.34,22450181.0,0.15,0.14,2500.0,2498.9,22340098.0
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,c7a97318-933c-488b-a7c0-4c506dc4f896,5e945b7e-62a7-48af-b1af-239f10e11179,3637708094.2106,5694153614.025,4117395080.3474,7160.6865,7614.5438,6723164374.2571,4448528949.7307,4359444597.0444,2967407907.0639,5681577173.991,4101248381.2484,39182.2378,61963.4003,6738709046.0386,4452089837.1701,4381659212.6332,2883320101.9665,5679868128.7178,4099921288.3849,799990.711,4556.8177,6717463522.226,4447528045.7707,4341795152.3773,4021736019.4865,5794421291.2188,4120991567.7701,345032.3842,179529514.792,6780637951.7041,4498186305.1001,4385656571.2391,3693020881.8868,5711458738.7387,4116937077.4831,9595780.3657,8708313.8143,6762402425.4847,4478440465.4315,4389840672.7152,3497147523.6161,5705239363.6167,4108007575.3645,214403.8934,10391.5633,6731175620.5372,4453036616.8707,4395200775.4085,2675689078.1868,5759534156.9767,4111621312.8376,18187.1475,10282.0405,6750107407.7231,4445287324.1016,4394216180.2979,2159353702.4902,5725415402.3985,4116969996.36,23477.9389,8010.1151,6731151819.1091,4444288997.2535,4144723673.2135,22.1245,23.4945,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 02:55:06.975,"{'cid': 'd6c7c43f-0576-4559-ad2b-7503c56be446', 'uuid': 'a1642358-74aa-400d-ba19-d4f290fc5fb3', 'annotationId': 'c7a97318-933c-488b-a7c0-4c506dc4f896', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759373701397, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T02:55:01.712Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,348271.17,31.08,24.98,102659.87,0.5,539021.74,30.26,24.97,102709.77,0.0,0.06,22160328.0,2500.0,2499.68,22450181.0,0.15,0.15,2500.0,2498.48,22340098.0
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,c7a97318-933c-488b-a7c0-4c506dc4f896,5e945b7e-62a7-48af-b1af-239f10e11179,3636871385.2933,5693337643.6782,4117610255.8768,7162.8294,7615.4218,6723164374.2571,4448779105.65,4361367958.2303,2967629951.6546,5681169892.4731,4101246309.2463,39183.1237,61974.7319,6736988259.316,4452089837.1701,4384083199.8232,2875965128.9502,5679865261.9508,4099917663.5078,801382.1829,4556.9527,6717461825.5853,4447029725.1823,4341558704.4534,4023989337.3953,5794843521.4975,4121420614.2634,345627.7862,179596114.8733,6786451834.0761,4497930565.0102,4385657123.9085,3691292862.4674,5710637745.9105,4116727679.2678,9593385.1022,8711032.7906,6762410965.9236,4479960447.5082,4389603363.3899,3497920879.509,5704415173.1088,4108221772.5197,214382.6151,10386.0541,6731745303.0689,4452535938.9039,4390824987.5505,2666281874.221,5760790143.1998,4111193270.3292,18185.0514,10255.7453,6748950822.4665,4446283855.773,4391297105.8602,2157638119.6628,5725000361.1934,4116967916.385,23477.7452,8010.8705,6731148418.9051,4444039345.3649,4137578349.064,22.1245,23.4139,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 02:55:08.177,"{'cid': 'd6c7c43f-0576-4559-ad2b-7503c56be446', 'uuid': 'a1642358-74aa-400d-ba19-d4f290fc5fb3', 'annotationId': 'c7a97318-933c-488b-a7c0-4c506dc4f896', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759373701397, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T02:55:01.712Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,353658.97,31.25,24.98,102660.85,0.5,535454.09,30.47,24.98,102710.96,0.0,0.06,22160328.0,2500.0,2499.31,22450181.0,0.13,0.14,2500.0,2499.24,22340098.0
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,c7a97318-933c-488b-a7c0-4c506dc4f896,5e945b7e-62a7-48af-b1af-239f10e11179,3634691958.3467,5692925795.5607,4117609735.802,7162.6689,7615.0727,6722592749.809,4448030405.0264,4358732835.329,2955183056.5404,5680760518.9592,4101031285.6107,39182.2965,62053.2253,6736410888.9834,4452089275.6878,4386505997.4573,2878480331.564,5679051236.1161,4100130502.3304,802103.0837,4556.8798,6717461825.5853,4447031407.7398,4344650971.804,4026652271.1107,5794842059.0816,4121849229.4877,346003.597,179647984.6807,6784709964.8702,4497933968.6862,4385173519.0097,3685428877.1048,5710641348.9947,4116515183.0283,9590889.3613,8713818.8367,6761256084.0236,4477941940.5851,4390090179.8064,3498539191.8746,5706881255.8508,4108432878.4183,215123.1576,10472.4897,6730028046.9148,4452785421.4635,4391310386.8076,2738022620.3652,5761214742.6577,4111407799.7611,18186.6487,10335.5709,6746080252.1724,4445788057.1909,4391543442.1693,2163092913.2135,5724174070.0614,4117180447.2179,23474.0267,8011.0538,6731723199.864,4443793644.5665,4131532934.1317,21.9634,23.3333,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 02:55:09.376,"{'cid': 'd6c7c43f-0576-4559-ad2b-7503c56be446', 'uuid': 'a1642358-74aa-400d-ba19-d4f290fc5fb3', 'annotationId': 'c7a97318-933c-488b-a7c0-4c506dc4f896', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759373701397, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T02:55:01.712Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,356406.0,31.42,24.99,102661.04,0.5,526720.74,30.71,24.98,102710.0,0.0,0.08,22160328.0,2500.0,2498.13,22450181.0,0.14,0.15,2500.0,2499.06,22340098.0
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,c7a97318-933c-488b-a7c0-4c506dc4f896,5e945b7e-62a7-48af-b1af-239f10e11179,3633687686.3105,5692519752.9091,4117609215.7271,7161.8405,7615.4807,6722596145.683,4447783137.9368,4355625445.963,2952641882.3178,5681172043.0108,4100819391.9304,39182.8483,61981.326,6733551020.4082,4452842702.3081,4385537993.921,2886798410.3256,5678647176.8415,4100129466.5976,803244.0665,4556.9865,6717462673.9057,4446534320.323,4342987631.3485,4027872026.8347,5794844252.7055,4121636212.1922,346229.3109,179643885.5276,6783551786.1732,4498189708.9692,4385418071.2904,3688345980.1685,5709417867.4352,4116304788.6445,9588616.1476,8715140.74,6760105011.5257,4479207954.3529,4390092946.0581,3501793670.4385,5705649388.049,4108004981.0616,216596.8274,10370.6027,6729452706.7222,4453034370.4369,4392281507.7213,2717546088.0909,5761627044.711,4111401568.2609,18184.5324,10301.9386,6744352269.8237,4446034540.7648,4391785378.2722,2167500753.6931,5723761375.1264,4117179407.1763,23478.1834,8011.12,6731150969.0581,4444040466.3154,4124214876.0331,22.1245,23.4139,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 02:55:10.569,"{'cid': 'd6c7c43f-0576-4559-ad2b-7503c56be446', 'uuid': 'a1642358-74aa-400d-ba19-d4f290fc5fb3', 'annotationId': 'c7a97318-933c-488b-a7c0-4c506dc4f896', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759373701397, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T02:55:01.712Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,357232.99,31.58,24.99,102660.46,0.5,515087.02,30.94,24.99,102709.71,0.0,0.07,22160328.0,2500.0,2498.27,22450181.0,0.15,0.15,2500.0,2500.68,22340098.0
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,c7a97318-933c-488b-a7c0-4c506dc4f896,5e945b7e-62a7-48af-b1af-239f10e11179,3636864500.1377,5692519752.9091,4117822853.2792,7162.7589,7614.5911,6722023769.1002,4448279943.899,4357299033.6042,2950765045.6493,5680356221.3303,4100819909.8772,39178.4025,62088.5394,6731832015.6423,4453342319.5732,4387236842.1053,2894212450.1956,5678647893.3792,4100129984.464,803190.5827,4556.8369,6716328244.2748,4447037016.2647,4345608674.2238,4001173827.4347,5794847177.5373,4121421134.8256,346280.7456,179733200.5188,6782391434.6895,4498447180.3018,4385421939.7624,3681810028.347,5708997910.8133,4116726639.2803,9586742.0343,8716949.6374,6758944088.7751,4477432798.735,4390091839.5574,3502108124.8342,5705242963.0696,4108222810.2947,215853.322,10424.9118,6730602634.9341,4452290414.9587,4389615001.6595,2703392985.2123,5762465643.8595,4110550334.8736,18189.9127,10280.5279,6742627724.7956,4446535441.9022,4385232095.4907,2165294874.603,5723349461.9773,4118250715.2146,23471.1277,8011.6558,6730009348.9716,4443546290.0695,4117570316.5542,22.1245,23.4139,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 02:55:11.771,"{'cid': 'd6c7c43f-0576-4559-ad2b-7503c56be446', 'uuid': 'a1642358-74aa-400d-ba19-d4f290fc5fb3', 'annotationId': 'c7a97318-933c-488b-a7c0-4c506dc4f896', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759373701397, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T02:55:01.712Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,356892.1,31.75,25.0,102660.95,0.5,504004.79,31.17,24.98,102708.62,0.0,0.06,22160328.0,2500.0,2500.33,22450181.0,0.14,0.14,2500.0,2502.05,22340098.0
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,c7a97318-933c-488b-a7c0-4c506dc4f896,5e945b7e-62a7-48af-b1af-239f10e11179,3636361466.7952,5692106586.2242,4118035992.9262,7163.1486,7615.638,6722595296.7145,4448283870.9677,4359935717.8177,2999893927.3402,5680353354.3578,4100609073.959,39180.3795,62321.2981,6733551870.7483,4452844387.0388,4385541862.3929,2899422147.3561,5679049086.349,4099916109.9891,803998.3697,4557.1405,6716895410.9763,4446787056.2503,4343942960.3679,4005639120.5459,5794422753.5278,4121422175.95,346323.1865,179744842.3809,6781809695.1011,4498191978.2152,4385182360.7427,3677344163.379,5709816269.1837,4116726119.2866,9585167.5506,8719460.5933,6758943235.1686,4475915095.4048,4389844545.2534,3505057293.2797,5704414453.3218,4108220215.8572,215302.1758,10400.4332,6734610477.9724,4453041109.7383,4386218217.9969,2686448328.5254,5763302305.2869,4110977205.4624,18206.0348,10289.3074,6746650762.5458,4446787617.0714,4382327148.2218,2165473836.9705,5722936164.067,4118251755.5267,23472.4835,8011.4753,6730007649.1586,4443796446.7859,4136072247.7064,22.1245,23.4139,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 02:55:12.972,"{'cid': 'd6c7c43f-0576-4559-ad2b-7503c56be446', 'uuid': 'a1642358-74aa-400d-ba19-d4f290fc5fb3', 'annotationId': 'c7a97318-933c-488b-a7c0-4c506dc4f896', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759373701397, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T02:55:01.712Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,355832.5,31.91,25.0,102660.12,0.5,493402.68,31.36,24.99,102709.97,0.0,0.06,22160328.0,2500.0,2500.64,22450181.0,0.15,0.14,2500.0,2501.69,22340098.0
0000000009-3725-asu-nz,0000000027-3524-oms-nz,HumidBaselineZ,c7a97318-933c-488b-a7c0-4c506dc4f896,5e945b7e-62a7-48af-b1af-239f10e11179,3635359944.9415,5692106586.2242,4118250715.2146,7161.2297,7614.7715,6722026315.7895,4448286115.007,4361135963.9481,2996931461.227,5680759085.3702,4100608038.1189,39177.7694,62407.7744,6732981889.2951,4452095451.9933,4382634892.583,2888387567.4887,5679458936.5057,4100130502.3304,803523.1011,4556.9355,6716903893.46,4446292267.1452,4342756526.022,4009908925.3188,5794846446.3293,4121853394.419,346258.3268,179733678.2688,6780075348.9169,4498451151.7077,4385186781.6092,3682637817.2353,5710232021.9052,4116943837.7535,9584170.1178,8720694.4435,6757805752.3257,4477437881.1836,4390092946.0581,3508951191.4253,5710988686.3155,4107794438.1031,215437.8817,10409.3195,6733465986.3946,4453541339.0249,4387429645.6018,2670165969.5048,5756604924.8202,4111190154.7409,18178.0463,10271.8369,6743781297.905,4446790421.1766,4383783007.4025,2162983343.8175,5722937608.3189,4118250715.2146,23475.0693,8011.5171,6729441658.8765,4443798688.5613,4129818352.1574,22.044,23.4139,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'BFU5000ccm-20ppbNO-Maxwell-Q325', 'Trial_Details': {'RH': 0, 'group': 1, 'detail': 'N/A', 'TrialName': 'NO2 low ppb bottom twin', 'Concentration': 0}, 'Experiment_Rig': 'DA11'}",,2025-10-02 02:55:14.173,"{'cid': 'd6c7c43f-0576-4559-ad2b-7503c56be446', 'uuid': 'a1642358-74aa-400d-ba19-d4f290fc5fb3', 'annotationId': 'c7a97318-933c-488b-a7c0-4c506dc4f896', 'name': 'HumidBaselineZ', 'description': 'HumidBaselineZ', 'labels': 'HumidBaselineZ', 'metadata': {'Length': 300, 'Progress': 0, 'startTime': 1759373701397, 'Notification': 'Event HumidBaselineZ Started.'}, 'createdAt': '2025-10-02T02:55:01.712Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.5,354225.13,32.07,24.99,102660.8,0.5,482593.71,31.56,24.99,102710.25,0.0,0.07,22160328.0,2500.0,2499.41,22450181.0,0.15,0.15,2500.0,2502.02,22340098.0
