component_sn,sn,d,t,SETP0,FLW0,ANLT0,event_name
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:19:51.380Z,E,0,0.0,22040122,pre-baseline
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:19:52.391Z,E,0,0.056,22040122,pre-baseline
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:19:53.398Z,E,30,29.908,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:19:54.406Z,E,30,29.9,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:19:55.413Z,E,30,29.928,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:19:56.421Z,E,30,29.992,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:19:57.428Z,E,30,29.908,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:19:58.435Z,E,30,29.956,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:19:59.443Z,E,30,29.912,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:00.450Z,E,30,30.016,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:01.458Z,E,30,29.984,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:02.466Z,E,30,29.948,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:03.473Z,E,30,29.952,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:04.480Z,E,30,29.984,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:05.488Z,E,30,29.972,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:06.495Z,E,30,30.012,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:07.503Z,E,30,29.924,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:08.511Z,E,30,29.944,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:09.518Z,E,30,30.024,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:10.525Z,E,30,29.948,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:11.533Z,E,30,29.94,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:12.540Z,E,30,30.08,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:13.548Z,E,30,30.148,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:14.555Z,E,30,30.1,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:15.562Z,E,30,30.052,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:16.570Z,E,30,30.032,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:17.577Z,E,30,29.948,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:18.585Z,E,30,30.0,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:19.593Z,E,30,30.024,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:20.600Z,E,30,30.036,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:21.607Z,E,30,29.948,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:22.615Z,E,30,30.0,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:23.622Z,E,30,29.94,22040122,AmbientSamplingRFC
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:24.630Z,E,30,29.968,22040122,BreathSampleCollection
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:25.637Z,E,30,29.972,22040122,BreathSampleCollection
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:26.644Z,E,30,29.924,22040122,BreathSampleCollection
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:27.652Z,E,30,29.996,22040122,BreathSampleCollection
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:28.660Z,E,30,30.036,22040122,BreathSampleCollection
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:29.667Z,E,30,30.024,22040122,BreathSampleCollection
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:30.674Z,E,30,30.028,22040122,BreathSampleCollection
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:31.683Z,E,30,29.944,22040122,BreathSampleCollection
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:32.689Z,E,30,29.988,22040122,FeNOWindow
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:33.697Z,E,30,30.016,22040122,FeNOWindow
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:34.704Z,E,30,29.916,22040122,FeNOWindow
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:35.712Z,E,30,29.928,22040122,FeNOWindow
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:36.719Z,E,30,29.956,22040122,FeNOWindow
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:37.727Z,E,30,29.984,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:38.734Z,E,30,29.964,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:39.741Z,E,30,30.004,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:40.749Z,E,30,30.02,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:41.756Z,E,30,29.952,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:42.764Z,E,30,30.0,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:43.771Z,E,30,29.992,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:44.779Z,E,30,30.044,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:45.786Z,E,30,30.032,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:46.794Z,E,30,30.064,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:47.801Z,E,30,29.968,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:48.809Z,E,30,29.88,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:49.816Z,E,30,30.04,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:50.824Z,E,30,30.064,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:51.831Z,E,30,29.976,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:52.839Z,E,30,30.04,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:53.846Z,E,30,30.056,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:54.854Z,E,30,29.972,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:55.861Z,E,30,30.06,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:56.868Z,E,30,30.016,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:57.876Z,E,30,29.944,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:58.883Z,E,30,29.956,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:20:59.891Z,E,30,30.012,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:21:00.900Z,E,30,30.044,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:21:01.906Z,E,30,29.924,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:21:02.913Z,E,30,30.04,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:21:03.921Z,E,30,29.96,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:21:04.928Z,E,30,29.94,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:21:05.936Z,E,30,29.968,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:21:06.943Z,E,30,30.02,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:21:07.951Z,E,30,30.02,22040122,FeNOMeasurement
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:21:08.958Z,E,0,1.632,22040122,recoveryOff
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:21:09.965Z,E,0,1.484,22040122,recoveryOff
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:21:10.973Z,E,0,1.404,22040122,recoveryOff
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:21:11.980Z,E,0,1.304,22040122,recoveryOff
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:21:12.988Z,E,0,1.204,22040122,recoveryOff
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:21:13.995Z,E,0,1.176,22040122,recoveryOff
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:21:15.003Z,E,0,1.052,22040122,recoveryOff
0000000027-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:21:16.010Z,E,0,0.952,22040122,recoveryOff
