component_sn,sn,d,t,FLW0,event_name
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:25.282Z,E,-0.0015625000232830644,pre-baseline
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:26.289Z,E,-0.0011718750465661287,pre-baseline
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:27.297Z,E,0.0003906250058207661,pre-baseline
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:28.304Z,E,0.0011718750465661287,pre-baseline
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:29.312Z,E,-0.0007812500116415322,pre-baseline
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:30.319Z,E,0.0,AmbientSamplingRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:31.329Z,E,-0.001953125,AmbientSamplingRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:32.336Z,E,-0.0011718750465661287,AmbientSamplingRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:33.345Z,E,0.0015625000232830644,AmbientSamplingRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:34.354Z,E,0.0027343749534338713,AmbientSamplingRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:35.361Z,E,-0.0007812500116415322,AmbientSamplingRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:36.381Z,E,0.0003906250058207661,AmbientSamplingRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:37.389Z,E,-0.0011718750465661287,AmbientSamplingRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:38.397Z,E,-0.0007812500116415322,AmbientSamplingRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:39.405Z,E,-0.0007812500116415322,AmbientSamplingRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:40.413Z,E,-0.0015625000232830644,AmbientSamplingRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:41.420Z,E,0.0,AmbientSamplingRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:42.428Z,E,-0.0003906250058207661,AmbientSamplingRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:43.435Z,E,-0.0031250000465661287,AmbientSamplingRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:44.443Z,E,0.0027343749534338713,AmbientSamplingRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:38:45.451Z,E,0.0,AmbientSamplingRFC
