component_sn,sn,d,t,FLW0,event_name
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:41:20.774Z,E,-0.0015625000232830644,pre-baseline
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:41:21.782Z,E,0.0,cleaningRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:41:22.789Z,E,0.0007812500116415322,cleaningRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:41:23.797Z,E,0.0011718750465661287,cleaningRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:41:24.805Z,E,0.0011718750465661287,cleaningRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:41:25.812Z,E,0.0,cleaningRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:41:26.820Z,E,-0.001953125,cleaningRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:41:27.828Z,E,-0.0003906250058207661,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:41:28.835Z,E,0.0054687499068677425,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:41:29.843Z,E,0.0003906250058207661,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:41:30.851Z,E,0.0,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:41:31.858Z,E,-0.001953125,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:41:32.866Z,E,0.0015625000232830644,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:41:33.874Z,E,-0.0007812500116415322,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:41:34.882Z,E,-0.0011718750465661287,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:41:35.889Z,E,-0.00390625,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:41:36.897Z,E,-0.0042968750931322575,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:41:37.904Z,E,-0.0011718750465661287,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:41:38.912Z,E,0.0015625000232830644,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T21:41:39.920Z,E,0.0031250000465661287,recoveryOff
