component_sn,sn,d,t,SETP0,FLW0,ANLT0,event_name
0000000072-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:41:20.758Z,E,0,1.04,22450156,pre-baseline
0000000072-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:41:21.776Z,E,0,0.4,22450156,cleaningRFC
0000000072-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:41:22.783Z,E,0,0.48,22450156,cleaningRFC
0000000072-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:41:23.790Z,E,0,0.88,22450156,cleaningRFC
0000000072-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:41:24.797Z,E,0,0.24,22450156,cleaningRFC
0000000072-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:41:25.805Z,E,0,0.64,22450156,cleaningRFC
0000000072-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:41:26.812Z,E,0,0.56,22450156,cleaningRFC
0000000072-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:41:27.819Z,E,0,0.16,22450156,recoveryOff
0000000072-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:41:28.827Z,E,0,0.72,22450156,recoveryOff
0000000072-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:41:29.834Z,E,0,0.16,22450156,recoveryOff
0000000072-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:41:30.841Z,E,0,0.56,22450156,recoveryOff
0000000072-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:41:31.848Z,E,0,0.88,22450156,recoveryOff
0000000072-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:41:32.855Z,E,0,0.56,22450156,recoveryOff
0000000072-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:41:33.863Z,E,0,0.4,22450156,recoveryOff
0000000072-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:41:34.870Z,E,0,0.48,22450156,recoveryOff
0000000072-3024-mfc-nz,0000000009-4324-oms-nz,2026-03-23T21:41:35.877Z,E,0,1.12,22450156,recoveryOff
