component_sn,sn,d,t,FLW0,event_name
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:21.068Z,E,-0.0003906250058207661,pre-baseline
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:22.076Z,E,0.0003906250058207661,cleaningRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:23.084Z,E,0.0003906250058207661,cleaningRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:24.092Z,E,-0.0011718750465661287,cleaningRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:25.099Z,E,0.0,cleaningRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:26.108Z,E,-0.001953125,cleaningRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:27.115Z,E,-0.0003906250058207661,cleaningRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:28.123Z,E,-0.0015625000232830644,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:29.131Z,E,0.0007812500116415322,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:30.138Z,E,0.0011718750465661287,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:31.145Z,E,0.001953125,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:32.154Z,E,-0.0003906250058207661,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:33.161Z,E,-0.006640625186264515,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:34.169Z,E,-0.005078124813735485,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:35.177Z,E,0.0023437500931322575,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:36.186Z,E,-0.0027343749534338713,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:37.194Z,E,0.0,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:38.200Z,E,0.0011718750465661287,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:39.208Z,E,0.0003906250058207661,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:40.215Z,E,-0.0011718750465661287,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:41.223Z,E,-0.0007812500116415322,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:42.232Z,E,0.0035156249068677425,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:43.238Z,E,0.001953125,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:44.246Z,E,-0.001953125,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:00:45.254Z,E,0.0,recoveryOff
