component_sn,sn,d,t,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,event_name
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:11:50.901Z,E,2831.621826171875,3213.093017578125,345131040.0,3741.837646484375,40274.0078125,2332449792.0,5174.29052734375,7281496.5,3004916480.0,11261.419921875,520.5724487304688,606171072.0,11913.86328125,4110.701171875,6700.486328125,2157058.0,1143683328.0,982944512.0,4045.57861328125,16281.69921875,477.95782470703125,5563.40380859375,1025.1673583984375,4906722816.0,2005830400.0,3914482176.0,3124064000.0,2927652608.0,2546302976.0,5022105600.0,4640698368.0,4864723968.0,3558583040.0,1915200896.0,4508422656.0,4695266816.0,728886592.0,6286439424.0,4458647552.0,4941798912.0,1001618.375,3081245.5,706890.0625,508782528.0,616.4497680664062,4014.78857421875,3379.567626953125,4881376256.0,4793.8603515625,3314.3759765625,4741.66845703125,7969.45654296875,759.3114624023438,4023312128.0,3760895488.0,4518564864.0,3921.28759765625,6399.720703125,486.9015808105469,13264.6103515625,3164.86865234375,6352537088.0,864372160.0,3842606080.0,688,25.992673873901367,28.08791160583496,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,7998636,24484,0,48.966224670410156,13,pre-baseline
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:11:50.938Z,E,2826.0478515625,3212.90380859375,345186464.0,3740.922607421875,40406.30078125,2323032320.0,5182.40380859375,7383234.0,2990826752.0,11260.90625,521.2491455078125,608725376.0,11935.7099609375,4112.15771484375,6724.5,2161145.5,1143602944.0,982090688.0,4035.064208984375,16439.23046875,478.1456604003906,5552.1494140625,1026.8624267578125,4908542464.0,2006289408.0,3909645312.0,3124558080.0,2933077760.0,2546385920.0,5032977920.0,4640154624.0,4867110400.0,3546957312.0,1906577920.0,4502794752.0,4696943104.0,728233664.0,6287430656.0,4466444800.0,4943644672.0,1008222.3125,3075864.25,707207.375,509025152.0,617.112060546875,4019.66455078125,3390.369384765625,4895528448.0,4800.751953125,3320.9521484375,4739.50927734375,7968.8408203125,760.2415161132812,4019221248.0,3786825216.0,4516248576.0,3914.873046875,6407.17822265625,487.0010070800781,13264.7216796875,3164.7919921875,6359166464.0,864036352.0,3831074304.0,989,26.073259353637695,28.007326126098633,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,7998636,24484,0,48.966224670410156,13,pre-baseline
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:11:51.347Z,E,2845.74658203125,3218.29638671875,344677888.0,3740.156982421875,40415.81640625,2391475456.0,5172.30322265625,6941493.5,2921681920.0,11363.1904296875,520.7249755859375,609295168.0,11648.326171875,4137.099609375,6677.1650390625,2203011.0,1134551680.0,977562240.0,4053.6103515625,16498.85546875,477.67059326171875,5558.14599609375,1026.7801513671875,4907638784.0,1986791168.0,3915639040.0,3109108480.0,2896812032.0,2548043008.0,4748297216.0,4647228928.0,4885990400.0,3595280128.0,1946235008.0,4535212544.0,4695872512.0,725834368.0,6252665856.0,4476543488.0,4908143104.0,1010210.0625,3223199.5,712150.5,511459776.0,616.3339233398438,4017.9228515625,3382.783447265625,4938500096.0,4799.50048828125,3322.755615234375,4765.796875,7969.22802734375,760.9528198242188,4052838656.0,3723042048.0,4592889856.0,3929.22314453125,6407.6220703125,487.8283386230469,13265.095703125,3165.061279296875,6346444800.0,872632768.0,3983785984.0,8214,26.153844833374023,28.08791160583496,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8003679,24484,0,49.5650520324707,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:11:51.649Z,E,2847.6923828125,3217.5380859375,344784608.0,3740.963134765625,40485.8359375,2400733440.0,5189.24658203125,7088618.5,2925142528.0,11370.607421875,521.2538452148438,609563648.0,11705.5400390625,4136.7431640625,6699.7529296875,2190715.0,1134188672.0,977439104.0,4061.72802734375,16438.072265625,477.9415283203125,5571.296875,1026.09765625,4912197632.0,1984638080.0,3904058624.0,3108005632.0,2893317888.0,2547222016.0,4707308544.0,4646413824.0,4888097280.0,3582279168.0,1946284800.0,4538328576.0,4697554432.0,727916032.0,6253177344.0,4480857600.0,4911800320.0,1012641.8125,3253291.75,711968.75,512588896.0,616.1356201171875,4028.057861328125,3385.3349609375,4949280256.0,4800.3701171875,3324.85888671875,4750.96923828125,7969.31787109375,759.3826904296875,4061585664.0,3726721280.0,4588113408.0,3920.28515625,6423.07421875,487.78094482421875,13264.5078125,3164.8037109375,6339340288.0,875020928.0,3988014848.0,8515,26.23443031311035,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8008682,24484,0,48.6217041015625,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:11:51.950Z,E,2850.298828125,3221.278076171875,346062880.0,3740.720458984375,40480.87109375,2418878720.0,5179.3994140625,7210070.5,2923945216.0,11370.7939453125,520.730712890625,610591488.0,11807.0771484375,4137.853515625,6685.53369140625,2193769.25,1132708480.0,975884416.0,4051.999267578125,16415.888671875,478.17877197265625,5556.12109375,1025.8619384765625,4912502272.0,1983184640.0,3896561920.0,3109107712.0,2899779328.0,2544424960.0,4799893504.0,4645868032.0,4892917248.0,3558934272.0,1938621184.0,4541975552.0,4699517952.0,729210496.0,6256138752.0,4480873472.0,4909364224.0,1015315.625,3252244.0,711606.4375,512516320.0,616.3693237304688,4013.951416015625,3399.081787109375,4955151360.0,4809.3974609375,3321.776123046875,4753.666015625,7969.72265625,760.0869750976562,4070588160.0,3733233664.0,4598223360.0,3922.027587890625,6370.609375,487.9949951171875,13264.2587890625,3164.726318359375,6337312768.0,874895232.0,3935458560.0,8817,26.073259353637695,28.08791160583496,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8008682,24484,0,48.6217041015625,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:11:52.253Z,E,2844.76611328125,3229.60009765625,346276832.0,3740.69384765625,40604.88671875,2427230464.0,5155.2099609375,7291111.5,2946173184.0,11371.3671875,520.1112670898438,611551296.0,11838.15625,4139.9521484375,6701.87548828125,2195575.25,1136394752.0,978518272.0,4056.465087890625,16486.646484375,478.0517272949219,5562.7958984375,1026.5848388671875,4907034112.0,1981989760.0,3886809344.0,3105446400.0,2897233920.0,2544343296.0,4893156352.0,4646139904.0,4862639616.0,3551428864.0,1945997568.0,4548487168.0,4700358144.0,727746944.0,6255654912.0,4481132032.0,4912409600.0,1005092.625,3271564.75,712139.5,511221440.0,615.8023071289062,4014.693603515625,3390.670654296875,4928685056.0,4812.65625,3320.364013671875,4765.4404296875,7969.7841796875,760.8206787109375,4067862016.0,3715154432.0,4618564096.0,3922.949462890625,6391.05126953125,487.8591613769531,13264.4560546875,3164.9140625,6346444288.0,874607168.0,3891928064.0,9119,26.153844833374023,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8008682,24484,0,48.6217041015625,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:11:52.556Z,E,2848.014892578125,3227.14208984375,348092544.0,3739.937744140625,40229.078125,2446457344.0,5163.375,7389690.5,2941242880.0,11389.673828125,520.695068359375,609718464.0,11680.28515625,4141.1630859375,6691.138671875,2193969.5,1141067520.0,980929856.0,4048.07275390625,16473.32421875,478.4056396484375,5539.119140625,1024.536376953125,4894630400.0,1974343936.0,3874447872.0,3102038784.0,2895536896.0,2539176704.0,5021742592.0,4646956032.0,4856691200.0,3571605504.0,1947240960.0,4546402304.0,4704548352.0,725490560.0,6261056512.0,4476830208.0,4921849856.0,1009050.25,3272629.5,711894.8125,512211136.0,615.9347534179688,4021.448974609375,3386.906005859375,4933895168.0,4818.51025390625,3320.84716796875,4758.74853515625,7969.68212890625,760.057373046875,4081303040.0,3687091456.0,4635023360.0,3922.1416015625,6391.09130859375,487.9786682128906,13264.169921875,3164.801513671875,6342383616.0,874596096.0,3919886592.0,9419,26.23443031311035,27.926740646362305,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8008682,24484,0,48.6217041015625,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:11:52.854Z,E,2851.9013671875,3230.341552734375,348542400.0,3740.534423828125,40470.1328125,2461976576.0,5165.93212890625,7448490.5,2918776320.0,11410.3369140625,520.9069213867188,608173568.0,11724.8251953125,4140.7333984375,6715.294921875,2202693.25,1145845632.0,983032960.0,4051.717041015625,16401.130859375,478.7710266113281,5565.85009765625,1027.87548828125,4881088512.0,1973899392.0,3874070784.0,3093797376.0,2892573440.0,2540651520.0,5143181824.0,4648046080.0,4854317568.0,3612842752.0,1952062592.0,4556844032.0,4703997952.0,724421056.0,6293885440.0,4477595648.0,4917893120.0,1004192.0,3293490.75,712549.0,511695136.0,616.1618041992188,4014.0771484375,3372.702392578125,4925327872.0,4795.73046875,3321.408447265625,4745.22314453125,7970.03076171875,761.236328125,4109968896.0,3692080384.0,4644247040.0,3924.206787109375,6432.32275390625,488.0663757324219,13264.0703125,3164.98193359375,6360197120.0,875006592.0,3938802688.0,9720,26.23443031311035,28.007326126098633,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8008682,24484,0,48.6217041015625,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:11:53.155Z,E,2849.82080078125,3226.990478515625,349149696.0,3739.853759765625,40662.7734375,2478404864.0,5175.34814453125,7543395.0,2963397632.0,11396.396484375,520.7548217773438,610374208.0,11700.1240234375,4144.84423828125,6719.3095703125,2225207.0,1149262720.0,984733120.0,4051.97265625,16368.4638671875,478.8944091796875,5542.67724609375,1027.1981201171875,4870309888.0,1972910592.0,3868210432.0,3084510720.0,2885821184.0,2547550208.0,5258012160.0,4648858624.0,4850461184.0,3658908416.0,1958368128.0,4562604032.0,4700099584.0,725681024.0,6323022848.0,4482665472.0,4916680704.0,995967.8125,3279667.75,711920.0,511565696.0,615.859619140625,4036.446533203125,3391.9169921875,4919834112.0,4806.49462890625,3322.9931640625,4759.54541015625,7969.599609375,761.5881958007812,4118325248.0,3694669568.0,4651875328.0,3925.73388671875,6426.380859375,488.2572937011719,13264.3212890625,3164.93505859375,6376058368.0,874052800.0,3951191808.0,10022,26.23443031311035,28.08791160583496,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8008682,24484,0,48.6217041015625,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:11:53.456Z,E,2849.874267578125,3227.232177734375,349299264.0,3740.463623046875,40730.76171875,2485675776.0,5169.39111328125,7540392.5,2960173056.0,11400.9658203125,520.7059326171875,609899200.0,11699.666015625,4146.80029296875,6727.5458984375,2222075.75,1150665088.0,984548160.0,4035.808837890625,16405.046875,479.5528259277344,5548.87158203125,1027.26708984375,4863145984.0,1972515200.0,3873123840.0,3085469952.0,2879837696.0,2547964672.0,5366411264.0,4650219520.0,4848092160.0,3693551616.0,1965307776.0,4567318016.0,4698142208.0,725189376.0,6348858880.0,4473555968.0,4917604352.0,992395.1875,3281732.0,712502.375,511159520.0,615.6219482421875,4030.062255859375,3389.1123046875,4915266560.0,4806.16845703125,3323.143310546875,4750.8505859375,7969.736328125,761.22412109375,4132759040.0,3681583872.0,4661987840.0,3917.040283203125,6419.4013671875,488.1083679199219,13264.3115234375,3164.948486328125,6390449664.0,877804864.0,3947846144.0,10322,26.153844833374023,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8008682,24484,0,48.6217041015625,13,AmbientSamplingRFC
