component_sn,sn,d,t,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,event_name
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:14:51.037Z,E,2769.056884765625,3138.75537109375,349670112.0,3737.37353515625,39408.97265625,2439420672.0,5097.38671875,8704529.0,2809253120.0,11024.806640625,515.1282348632812,598209472.0,11504.7724609375,4002.564208984375,6674.2353515625,2215497.5,1139486592.0,977681472.0,3979.39306640625,15956.4306640625,471.2990417480469,5434.4658203125,1005.262939453125,4869068800.0,1999188992.0,3924962048.0,3125175808.0,2932218112.0,2551500032.0,4852623872.0,4637986304.0,4874864128.0,3535858176.0,1939871360.0,4478170112.0,4704194560.0,724140480.0,6269498368.0,4438121472.0,4930097664.0,960806.1875,3117274.25,693499.0625,513745216.0,610.0603637695312,3995.238037109375,3372.813232421875,4910978560.0,4742.1220703125,3251.383544921875,4691.75439453125,7958.5498046875,749.525634765625,4070579200.0,3646120704.0,4520340992.0,3827.349853515625,6287.15771484375,473.4713134765625,13254.51171875,3158.872802734375,6343397888.0,873195968.0,3603842816.0,872,26.23443031311035,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8179250,24484,0,48.96257400512695,13,pre-baseline
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:14:51.681Z,E,2785.46337890625,3150.841064453125,349252544.0,3736.60888671875,39839.9765625,2409564160.0,5098.93896484375,8819979.0,2835366912.0,11158.8623046875,515.04150390625,593043072.0,11490.0205078125,4033.91650390625,6661.06005859375,2201660.5,1140545408.0,974404928.0,3974.306884765625,15851.916015625,470.06427001953125,5449.71337890625,1004.5059814453125,4884968960.0,1997713920.0,3916030208.0,3126054656.0,2938637312.0,2537465600.0,4849055232.0,4633926144.0,4874575360.0,3500845312.0,1926908416.0,4530833920.0,4707843072.0,728805632.0,6288962560.0,4486172160.0,4965288448.0,961715.9375,3041981.5,701869.3125,503168448.0,610.72119140625,3996.539794921875,3365.613525390625,4922858496.0,4744.6455078125,3271.61669921875,4702.52685546875,7959.431640625,749.2962036132812,4070775552.0,3790842368.0,4511597056.0,3850.921630859375,6290.62890625,474.2557678222656,13252.974609375,3158.930419921875,6355609088.0,854453440.0,3527529216.0,8397,26.153844833374023,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8184294,24484,0,49.7110595703125,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:14:51.986Z,E,2788.94921875,3155.958740234375,349716544.0,3736.90576171875,39575.34765625,2433838080.0,5079.60400390625,8881699.0,2818076672.0,11185.5634765625,515.1084594726562,592805888.0,11430.4326171875,4035.76513671875,6630.35498046875,2211226.25,1143881472.0,976750784.0,3975.48046875,15794.1279296875,470.8260803222656,5442.85693359375,1004.4962158203125,4884669952.0,2001618560.0,3929632768.0,3124702720.0,2937002240.0,2542864640.0,4793500672.0,4633384448.0,4875772928.0,3480836608.0,1917718016.0,4518456320.0,4708106752.0,730040448.0,6284467200.0,4490508288.0,4964355072.0,959701.5,3034974.0,701965.9375,503218304.0,610.0550537109375,3983.130859375,3363.38818359375,4926220288.0,4755.41455078125,3272.905029296875,4713.453125,7959.751953125,749.5585327148438,4066808576.0,3775996160.0,4506467328.0,3851.97412109375,6293.49951171875,474.45465087890625,13254.5771484375,3158.720458984375,6348996096.0,853019200.0,3534153728.0,8699,26.153844833374023,28.007326126098633,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8184294,24484,0,49.7110595703125,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:14:52.285Z,E,2789.4150390625,3153.94287109375,349939968.0,3736.948974609375,39229.203125,2413254144.0,5090.8916015625,8826649.0,2819078400.0,11213.46875,515.2930908203125,591445056.0,11528.380859375,4036.4677734375,6649.8212890625,2190730.0,1141961856.0,974176704.0,3982.991455078125,15799.802734375,470.7088928222656,5440.40380859375,1004.3457641601562,4889484800.0,2000604288.0,3932358144.0,3124695808.0,2940163584.0,2546888192.0,4774124544.0,4631218688.0,4878168576.0,3486044928.0,1917485056.0,4499506176.0,4709507072.0,728259328.0,6287964672.0,4494583296.0,4970581504.0,962010.75,3050760.25,702488.25,505143136.0,611.21826171875,3980.2021484375,3358.085205078125,4925304320.0,4757.8466796875,3273.556884765625,4697.57470703125,7959.470703125,750.0780639648438,4063858432.0,3773294336.0,4504677376.0,3849.9365234375,6260.90625,474.28985595703125,13253.9375,3158.92578125,6366846976.0,851821440.0,3518904320.0,9001,26.23443031311035,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8189297,24484,0,48.6243782043457,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:14:52.586Z,E,2792.691650390625,3158.24658203125,350343104.0,3736.401123046875,38987.14453125,2432410368.0,5084.5126953125,8722509.0,2838819840.0,11207.1142578125,514.7501220703125,593142976.0,11613.36328125,4038.506103515625,6627.96337890625,2202281.0,1134906880.0,968334016.0,3985.455322265625,15777.6259765625,471.7339172363281,5443.44189453125,1004.1299438476562,4887982592.0,1996855808.0,3925342976.0,3123709952.0,2942567936.0,2547958528.0,4728441344.0,4633653248.0,4878170112.0,3504253184.0,1909074048.0,4510502400.0,4711201280.0,729516992.0,6285958656.0,4499439616.0,4973076992.0,966399.9375,3041042.0,702656.0,505663136.0,610.6422119140625,3984.4501953125,3363.690673828125,4914625024.0,4746.9658203125,3262.9892578125,4714.8720703125,7959.484375,748.8685302734375,4049276928.0,3761086976.0,4505963520.0,3852.888916015625,6258.5654296875,474.1924133300781,13253.69140625,3159.2138671875,6374014976.0,853410112.0,3556396800.0,9300,26.153844833374023,28.32967185974121,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8189297,24484,0,48.6243782043457,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:14:52.887Z,E,2788.68701171875,3160.8173828125,349167264.0,3736.4033203125,39167.08203125,2397319168.0,5090.82861328125,8690106.0,2836777984.0,11194.23828125,515.483154296875,593938304.0,11482.3515625,4038.10107421875,6651.70556640625,2220289.75,1132591872.0,967697664.0,3982.896240234375,15874.8671875,471.29718017578125,5457.82080078125,1003.7696533203125,4875675136.0,1992715776.0,3937048832.0,3126421248.0,2946073088.0,2549278976.0,4864830464.0,4635274240.0,4869192192.0,3536813312.0,1912595200.0,4518467584.0,4698673664.0,729769088.0,6317017600.0,4505822208.0,4965613568.0,969297.0625,3041107.75,702732.625,504843904.0,610.3180541992188,3983.05517578125,3377.34375,4905816576.0,4746.1669921875,3267.64013671875,4694.89697265625,7959.23876953125,748.6414794921875,4058011136.0,3763947776.0,4525246464.0,3856.83935546875,6295.58642578125,474.4283447265625,13253.32421875,3159.322509765625,6389946368.0,855873280.0,3585732352.0,9601,26.23443031311035,28.249082565307617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8189297,24484,0,48.6243782043457,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:14:53.189Z,E,2797.666748046875,3162.418212890625,349102912.0,3736.70458984375,39526.87890625,2398480640.0,5099.0908203125,8573790.0,2817070336.0,11183.7314453125,515.0050659179688,592353152.0,11587.611328125,4040.26708984375,6679.99072265625,2212078.0,1128556032.0,964657344.0,3988.8271484375,15877.451171875,470.9781188964844,5424.55615234375,1003.216552734375,4869691904.0,1993067904.0,3936069120.0,3124440576.0,2949586432.0,2546310912.0,4850804224.0,4633109504.0,4862929920.0,3601281792.0,1911758080.0,4529284096.0,4688140800.0,730714816.0,6344840704.0,4504553472.0,4954158080.0,969427.8125,3030920.25,703029.375,504060960.0,610.2781372070312,3995.779052734375,3373.745361328125,4901270528.0,4735.27685546875,3267.102783203125,4702.193359375,7959.49853515625,748.8446044921875,4073706752.0,3760020736.0,4542612992.0,3839.10107421875,6275.7890625,474.2510681152344,13253.32421875,3159.130126953125,6399750144.0,856748992.0,3606482944.0,9903,26.315019607543945,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8189297,24484,0,48.6243782043457,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:14:53.492Z,E,2780.5302734375,3159.74267578125,347530432.0,3736.0244140625,39437.01953125,2365617920.0,5084.55615234375,8048160.5,2856975360.0,11191.2294921875,515.2593383789062,594308032.0,11748.458984375,4039.09814453125,6650.17822265625,2217044.25,1128505344.0,965886080.0,3987.82666015625,15903.6943359375,471.3219299316406,5449.24755859375,1002.0257568359375,4858071040.0,1995742976.0,3949423872.0,3127775232.0,2955534592.0,2550926848.0,4980293120.0,4630673408.0,4849562112.0,3658843392.0,1916415744.0,4536269312.0,4693674496.0,730742272.0,6372398080.0,4511734784.0,4944898560.0,976067.6875,3038218.0,703660.375,504316512.0,610.5398559570312,3984.854248046875,3377.1640625,4891304448.0,4753.49560546875,3270.154296875,4725.68701171875,7959.06103515625,749.0391235351562,4072029184.0,3726361600.0,4556447744.0,3864.47998046875,6320.48583984375,474.2314758300781,13252.81640625,3159.008544921875,6403367424.0,859916352.0,3622668032.0,10203,26.315019607543945,28.08791160583496,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8189297,24484,0,48.6243782043457,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:14:53.789Z,E,2792.14892578125,3156.24169921875,346460672.0,3736.488525390625,39276.12890625,2341065472.0,5087.35009765625,8102740.5,2826534144.0,11176.96875,514.559326171875,593037696.0,11630.48046875,4039.338623046875,6651.61083984375,2197029.75,1129566848.0,967816832.0,3970.92041015625,15935.7177734375,470.2142028808594,5422.1689453125,1003.4730834960938,4851538944.0,1996351360.0,3958106112.0,3129633792.0,2961067264.0,2552660992.0,4996343296.0,4628243968.0,4844531712.0,3685410560.0,1916653184.0,4546405888.0,4697558016.0,734051392.0,6398631424.0,4516105728.0,4939050496.0,978750.0625,3036303.5,703959.375,505490752.0,610.2445678710938,3990.736572265625,3369.03564453125,4888290816.0,4750.83154296875,3273.572998046875,4683.7998046875,7958.9931640625,748.9891967773438,4085925376.0,3712365312.0,4567998976.0,3860.3173828125,6272.82666015625,474.30072021484375,13252.3134765625,3159.189208984375,6408545280.0,856929856.0,3595675136.0,10504,26.153844833374023,28.249082565307617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8189297,24484,0,48.6243782043457,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:14:54.090Z,E,2790.138427734375,3160.646484375,346145120.0,3736.169677734375,39801.578125,2321113344.0,5060.65673828125,8115350.5,2820176384.0,11195.6103515625,514.846435546875,593292672.0,11625.810546875,4041.5234375,6675.18017578125,2196265.5,1132362624.0,970056960.0,3998.2998046875,15953.923828125,470.8657531738281,5441.4365234375,1005.0970458984375,4842663424.0,1998477568.0,3962068992.0,3129513472.0,2962064640.0,2554478336.0,5118199296.0,4629861376.0,4840101376.0,3732308992.0,1915115776.0,4555020288.0,4700056064.0,736114432.0,6421438464.0,4514827264.0,4939357184.0,975268.75,3044369.75,704366.25,507096704.0,610.2138671875,3993.2255859375,3374.510009765625,4884981760.0,4746.1591796875,3272.983642578125,4687.29248046875,7958.78515625,747.9097900390625,4104819712.0,3738513920.0,4577491968.0,3849.15869140625,6318.06982421875,474.3429260253906,13253.220703125,3159.0751953125,6419965952.0,855921536.0,3639682048.0,10805,25.992673873901367,28.249082565307617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8189297,24484,0,48.6243782043457,13,AmbientSamplingRFC
