component_sn,sn,d,t,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,event_name
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:18:55.890Z,E,2710.169189453125,3075.482177734375,355127232.0,3734.38720703125,39666.98046875,2513771264.0,5034.92529296875,9030493.0,2837286144.0,10773.2041015625,511.5762023925781,604403456.0,11458.1494140625,3900.59521484375,6562.2333984375,2215117.25,1141879168.0,980017152.0,3917.310302734375,15557.6162109375,464.44952392578125,5345.0078125,986.30615234375,4914635264.0,1992813312.0,3891953920.0,3111159552.0,2919881472.0,2534027776.0,4768932864.0,4630406144.0,4867707392.0,3625236224.0,1798854528.0,4522329600.0,4699192320.0,725419328.0,6287988224.0,4527464960.0,4972789760.0,959346.0625,2748349.0,694073.3125,504160736.0,605.9751586914062,3973.682861328125,3350.35498046875,4912801280.0,4660.9873046875,3216.64453125,4622.3837890625,7951.697265625,741.4508666992188,4092497152.0,3808724736.0,4549136896.0,3809.235595703125,6242.76708984375,463.6888427734375,13244.4521484375,3155.373046875,6323669504.0,864657152.0,3667180288.0,678,26.153844833374023,28.08791160583496,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8425106,24484,0,49.432796478271484,13,pre-baseline
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:18:55.926Z,E,2708.084228515625,3069.1474609375,354263968.0,3733.8037109375,39335.73828125,2490163968.0,5052.263671875,8836352.0,2806963200.0,10787.234375,510.79754638671875,601188608.0,11507.771484375,3903.6455078125,6548.904296875,2211513.75,1139499904.0,978318912.0,3933.222412109375,15695.5673828125,464.6221618652344,5358.89013671875,986.0120849609375,4915852800.0,1993118336.0,3896166656.0,3112754176.0,2919237888.0,2532321024.0,4859790848.0,4629055488.0,4865021440.0,3610368256.0,1810024704.0,4524922880.0,4706424320.0,726443072.0,6291464704.0,4527733248.0,4931984384.0,961657.0625,2749311.0,694069.375,505561728.0,605.8541259765625,3976.386474609375,3341.8154296875,4920421888.0,4650.0068359375,3215.056396484375,4616.25537109375,7952.0498046875,741.7157592773438,4093981952.0,3774001152.0,4540802048.0,3793.681884765625,6253.11181640625,463.7936096191406,13244.71875,3155.120361328125,6315605504.0,862882368.0,3684603648.0,979,26.315019607543945,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8425106,24484,0,49.432796478271484,13,pre-baseline
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:18:56.431Z,E,2721.881591796875,3083.612060546875,350931808.0,3734.018798828125,39699.546875,2416741632.0,5030.48583984375,8866952.0,2882909440.0,10883.4765625,510.97930908203125,593067008.0,11491.16796875,3926.965576171875,6533.65625,2343185.0,1140461184.0,974087808.0,3941.60595703125,15657.4306640625,465.5517578125,5356.2890625,989.0420532226562,4898862080.0,1997563264.0,3925551360.0,3116201216.0,2933196288.0,2541547520.0,4582377472.0,4638809600.0,4874903040.0,3558767360.0,1918328704.0,4480209408.0,4699224576.0,730698240.0,6277968896.0,4495133184.0,4967494656.0,972796.5625,3011016.5,697859.8125,513942336.0,606.2545776367188,3969.174560546875,3354.658203125,4905232896.0,4639.5400390625,3220.022216796875,4612.54736328125,7952.60107421875,740.3331909179688,4001942528.0,3723186944.0,4546020864.0,3801.24267578125,6262.6572265625,464.4295959472656,13245.8916015625,3155.37744140625,6352574464.0,849949568.0,3820707328.0,8203,26.395605087280273,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8430109,24484,0,48.78215789794922,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:18:56.734Z,E,2720.457275390625,3088.842529296875,352852640.0,3733.865234375,39887.41015625,2452036352.0,5043.61962890625,8916187.0,2896749568.0,10882.8486328125,511.1142578125,592614464.0,11423.9013671875,3926.985595703125,6534.71630859375,2340055.75,1139066496.0,973552448.0,3940.005859375,15685.986328125,465.97625732421875,5361.05859375,988.9052124023438,4875687424.0,1998628352.0,3927692032.0,3117918720.0,2932324864.0,2540567296.0,4683078144.0,4638539264.0,4866533376.0,3583417600.0,1929092096.0,4478696448.0,4696437760.0,727212544.0,6278473728.0,4482667520.0,4959726080.0,973391.5625,3042910.0,697680.0625,513732256.0,605.8744506835938,3971.06494140625,3353.1806640625,4871809024.0,4667.962890625,3212.702392578125,4638.8359375,7952.8046875,740.4354858398438,4014945280.0,3757332736.0,4536919040.0,3805.647705078125,6263.52734375,464.4187316894531,13245.0615234375,3155.352294921875,6352578048.0,848242624.0,3840185344.0,8506,26.315019607543945,28.249082565307617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8430109,24484,0,48.78215789794922,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:18:57.035Z,E,2721.252685546875,3086.1416015625,354541280.0,3733.86865234375,39608.23828125,2464920320.0,5031.50537109375,8970929.0,2895478528.0,10881.509765625,511.8438720703125,592318656.0,11342.1455078125,3926.652587890625,6506.1845703125,2350995.75,1138384384.0,973684096.0,3941.77685546875,15598.890625,465.75164794921875,5367.931640625,988.6830444335938,4878984192.0,2001214336.0,3930423296.0,3120131584.0,2933632768.0,2542284800.0,4763192832.0,4637993984.0,4850764288.0,3570963200.0,1938589952.0,4479207424.0,4697266688.0,725594496.0,6275499520.0,4464461312.0,4956622848.0,972170.125,3065274.25,698350.5,513541600.0,605.7234497070312,3971.90869140625,3352.031005859375,4875995648.0,4660.99658203125,3208.8818359375,4628.60302734375,7952.62255859375,739.998291015625,4020870656.0,3777794304.0,4538741248.0,3808.307861328125,6227.01171875,464.417724609375,13244.8017578125,3155.382080078125,6353596416.0,849633024.0,3848963840.0,8807,26.315019607543945,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8430109,24484,0,48.78215789794922,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:18:57.336Z,E,2722.002197265625,3086.874755859375,355427040.0,3734.359130859375,39693.3984375,2485221632.0,5028.755859375,9014616.0,2902065152.0,10897.021484375,511.13226318359375,594073280.0,11497.853515625,3928.744384765625,6512.8720703125,2361892.5,1135773952.0,972798336.0,3929.534912109375,15578.947265625,465.4904479980469,5348.2451171875,989.3217163085938,4875085824.0,2004520704.0,3931013120.0,3114613248.0,2928965632.0,2544337920.0,4830116352.0,4637725696.0,4853138944.0,3560529152.0,1929332096.0,4481233920.0,4696988160.0,725232384.0,6277001728.0,4439910912.0,4960033792.0,972467.1875,3072551.25,697813.25,512533312.0,605.9856567382812,3969.48193359375,3350.173828125,4863448576.0,4657.103515625,3218.985595703125,4625.107421875,7952.9111328125,741.3826904296875,4027225856.0,3776897280.0,4538486272.0,3806.755126953125,6252.76904296875,464.347412109375,13243.9677734375,3155.318603515625,6342918656.0,847963968.0,3818131712.0,9108,26.23443031311035,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8430109,24484,0,48.78215789794922,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:18:57.634Z,E,2730.2236328125,3092.050048828125,354868320.0,3733.662109375,39524.63671875,2496327424.0,5017.0185546875,9080346.0,2923200768.0,10926.021484375,510.8587341308594,595319488.0,11436.220703125,3928.85595703125,6541.791015625,2352817.0,1137686912.0,974402304.0,3940.6650390625,15614.8583984375,465.536865234375,5358.32568359375,987.7589111328125,4861947392.0,2004521344.0,3933550336.0,3113266176.0,2930917632.0,2539582208.0,4960346112.0,4637994496.0,4847508992.0,3611521024.0,1928855680.0,4494429184.0,4697538560.0,726952576.0,6306476032.0,4447397376.0,4953224704.0,969627.0,3091640.0,697667.4375,513232992.0,605.1685791015625,3966.06689453125,3352.78271484375,4868525568.0,4659.591796875,3221.048828125,4611.2255859375,7952.9345703125,740.2470703125,4037314816.0,3741518848.0,4553078784.0,3813.4951171875,6271.38330078125,464.5444030761719,13244.931640625,3155.189697265625,6360734208.0,846168512.0,3829956096.0,9407,26.395605087280273,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8430109,24484,0,48.78215789794922,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:18:57.936Z,E,2726.62353515625,3080.18115234375,353667712.0,3734.35595703125,39448.8359375,2476150016.0,5004.73974609375,9124663.0,2931648512.0,10899.5361328125,511.6024169921875,597122944.0,11542.3173828125,3931.46484375,6536.8642578125,2356249.5,1141924352.0,977408192.0,3947.48828125,15637.384765625,465.2977294921875,5354.10986328125,988.7968139648438,4856889856.0,2004318208.0,3941970944.0,3112415232.0,2937551616.0,2537214208.0,5083702272.0,4636366336.0,4841891840.0,3657051648.0,1933636608.0,4510519296.0,4698938368.0,724565824.0,6338248704.0,4427005440.0,4943047168.0,965175.5,3105332.5,697495.75,513578240.0,605.7201538085938,3981.212646484375,3345.231689453125,4869723136.0,4655.2119140625,3214.9892578125,4609.88330078125,7953.15283203125,740.6051635742188,4057848832.0,3742589440.0,4565922304.0,3815.87744140625,6272.76416015625,464.4471130371094,13244.0546875,3155.6376953125,6372497408.0,846328000.0,3815012096.0,9708,26.153844833374023,28.41025733947754,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8430109,24484,0,48.78215789794922,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:18:58.237Z,E,2728.724853515625,3086.224853515625,350596480.0,3733.783447265625,39333.0546875,2379637248.0,4997.724609375,8433773.0,2911246592.0,10900.0380859375,510.6720275878906,596115264.0,11451.41796875,3929.455810546875,6526.0546875,2353671.0,1148532480.0,979892672.0,3944.017578125,15663.5751953125,465.24993896484375,5357.39013671875,988.48974609375,4845030400.0,2001213568.0,3937071616.0,3107406080.0,2932540928.0,2535905536.0,5200312320.0,4633388544.0,4838648320.0,3698908160.0,1932782848.0,4521306624.0,4698111488.0,726670016.0,6366249472.0,4440153600.0,4943976448.0,968448.3125,3110192.5,698284.5625,513618784.0,605.677734375,3969.201171875,3346.213134765625,4866142208.0,4666.01953125,3214.178466796875,4620.34130859375,7952.71630859375,740.9366455078125,4074592256.0,3741526528.0,4579105280.0,3802.799072265625,6262.4423828125,464.597412109375,13244.0341796875,3155.435302734375,6382754304.0,850267328.0,3827737344.0,10009,26.315019607543945,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8435112,24484,0,49.04545593261719,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:18:58.538Z,E,2724.301025390625,3082.82763671875,350603680.0,3733.245849609375,39172.7578125,2382800896.0,5014.8701171875,8468385.0,2911773440.0,10904.8798828125,511.2655944824219,596203584.0,11433.08984375,3931.40087890625,6530.126953125,2351073.0,1148718464.0,978025600.0,3936.39453125,15616.40234375,464.966064453125,5335.5712890625,986.6591796875,4840303616.0,2003298048.0,3939622400.0,3105329664.0,2932434176.0,2535824384.0,5308468736.0,4633118208.0,4835405824.0,3740673280.0,1930461696.0,4533700096.0,4698116608.0,728622656.0,6393478144.0,4445643776.0,4939359232.0,965003.9375,3113116.5,698911.5625,514557312.0,606.1290283203125,3965.32568359375,3345.771728515625,4862863360.0,4659.927734375,3217.046630859375,4609.4658203125,7952.40869140625,740.2467651367188,4092960512.0,3737459456.0,4587316736.0,3798.0703125,6256.8056640625,464.5885009765625,13244.546875,3155.336669921875,6393569792.0,852893632.0,3773713408.0,10310,26.395605087280273,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8435112,24484,0,49.04545593261719,13,AmbientSamplingRFC
