component_sn,sn,d,t,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,event_name
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:24:51.019Z,E,2621.816162109375,2990.70263671875,349722368.0,3729.7177734375,39066.9453125,2368320768.0,4975.2197265625,7916765.0,2897172480.0,10321.90234375,505.72601318359375,592265152.0,11294.962890625,3763.751953125,6476.2138671875,2063230.25,1134393856.0,972267904.0,3859.653564453125,15412.962890625,457.6345520019531,5240.14453125,963.0626220703125,4902501376.0,1989742592.0,3880909056.0,3095122176.0,2903924480.0,2531331072.0,4768920064.0,4625555968.0,4850473472.0,3419672576.0,1898820608.0,4458309632.0,4656453120.0,730107264.0,6274523136.0,4495094784.0,4906999808.0,933184.9375,2971559.5,668248.5,500778464.0,597.8302001953125,3956.829345703125,3332.6748046875,4915566592.0,4589.46630859375,3151.81640625,4492.8994140625,7942.7392578125,728.811767578125,4106770432.0,3828984064.0,4525515264.0,3717.11572265625,6170.27099609375,450.43121337890625,13230.791015625,3151.11865234375,6337323520.0,857429440.0,3845414912.0,773,26.315019607543945,28.249082565307617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8776274,24484,0,48.56390380859375,13,pre-baseline
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:24:51.668Z,E,2638.484619140625,3005.620361328125,349488064.0,3730.0166015625,39810.98046875,2393944064.0,4977.083984375,7687613.5,2840244736.0,10465.552734375,505.62738037109375,579797952.0,11472.1044921875,3790.405029296875,6436.24658203125,2096384.375,1133216384.0,968304128.0,3838.279296875,15169.947265625,458.07379150390625,5278.05078125,964.6363525390625,4893751296.0,1982233088.0,3833763328.0,3079811328.0,2914298368.0,2531334144.0,4644265984.0,4619100160.0,4852564992.0,3378349824.0,1897917952.0,4454567936.0,4655949312.0,731566528.0,6275984896.0,4491303936.0,4979708928.0,944521.75,3034476.25,677552.6875,515367648.0,597.3929443359375,3948.076904296875,3329.397216796875,4923509760.0,4601.9091796875,3159.8291015625,4513.60400390625,7943.48486328125,728.3875122070312,4096114176.0,3773327616.0,4502903808.0,3717.43359375,6145.79541015625,451.1733703613281,13232.2001953125,3151.50732421875,6351549440.0,851243072.0,3929067008.0,8298,26.395605087280273,28.249082565307617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8786319,24484,0,49.538700103759766,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:24:51.972Z,E,2638.782958984375,3003.372314453125,348643872.0,3729.76904296875,39324.6171875,2369879552.0,5010.6435546875,7531760.5,2850492160.0,10455.423828125,505.0835266113281,578603200.0,11406.1201171875,3792.82470703125,6432.857421875,2101596.75,1132919168.0,968530560.0,3851.781982421875,15175.6669921875,458.0871276855469,5246.79052734375,963.5870971679688,4894353920.0,1983182720.0,3837289728.0,3081373696.0,2914404352.0,2531253760.0,4743452672.0,4622328320.0,4855826432.0,3386737920.0,1907806336.0,4457574400.0,4646692864.0,729716864.0,6276981760.0,4493355008.0,4979714560.0,949287.375,3046099.5,677745.0625,515867616.0,597.070556640625,3934.855712890625,3324.0029296875,4913137664.0,4590.3291015625,3163.4306640625,4509.64111328125,7943.3232421875,728.9827880859375,4089541120.0,3727969280.0,4498821120.0,3717.030517578125,6161.53857421875,451.2054138183594,13232.001953125,3151.296142578125,6361747968.0,853695040.0,3974242816.0,8599,26.395605087280273,28.249082565307617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8786319,24484,0,49.538700103759766,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:24:52.270Z,E,2641.314453125,3001.959228515625,348653856.0,3729.348876953125,39456.61328125,2368256512.0,5002.82177734375,7465528.0,2873384448.0,10453.3818359375,505.4257507324219,581690816.0,11419.794921875,3793.0673828125,6439.224609375,2102893.0,1131526016.0,967965184.0,3845.2109375,15200.546875,458.2430419921875,5243.2275390625,965.1943969726562,4878403072.0,1984486528.0,3848106752.0,3082818304.0,2914404352.0,2526380800.0,4829799424.0,4622331392.0,4857609728.0,3422902272.0,1928310144.0,4461329920.0,4652668928.0,729138048.0,6276977664.0,4495642112.0,4936641024.0,949054.125,3053642.0,677704.5625,514814592.0,597.4432373046875,3939.36376953125,3332.86376953125,4916791296.0,4602.33447265625,3166.2734375,4503.955078125,7943.4208984375,729.101806640625,4082359808.0,3708025088.0,4494735872.0,3725.408935546875,6140.68115234375,451.2305908203125,13230.8271484375,3151.257080078125,6359203328.0,854522944.0,4002989568.0,8900,26.315019607543945,28.41025733947754,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8786319,24484,0,49.538700103759766,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:24:52.571Z,E,2637.916259765625,3004.607177734375,348666080.0,3729.53271484375,39478.87109375,2379201536.0,5011.0947265625,7489347.0,2881757696.0,10459.1142578125,504.1859436035156,581773888.0,11455.9443359375,3793.931884765625,6435.62890625,2103448.5,1130365952.0,967184576.0,3859.567138671875,15220.6650390625,458.50262451171875,5242.77392578125,963.7965087890625,4883805184.0,1986888448.0,3850539008.0,3084381184.0,2914618112.0,2528248320.0,4915057152.0,4620987392.0,4859097088.0,3474887168.0,1937321344.0,4469623296.0,4661392384.0,731090176.0,6275971072.0,4500241920.0,4906409984.0,949684.9375,3061609.0,677601.6875,512835584.0,597.1856689453125,3936.37109375,3330.54541015625,4920757248.0,4590.7900390625,3161.226318359375,4496.89794921875,7943.37158203125,728.9298095703125,4084265472.0,3682818304.0,4491429888.0,3722.373291015625,6149.7421875,451.35107421875,13231.9619140625,3151.289306640625,6350538240.0,860591680.0,4043484160.0,9201,26.395605087280273,28.32967185974121,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8786319,24484,0,49.538700103759766,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:24:52.872Z,E,2648.369384765625,3002.58154296875,348323008.0,3729.814697265625,39794.62890625,2390905088.0,4991.71875,7470006.0,2870873344.0,10474.94921875,504.52099609375,582666560.0,11472.23828125,3792.336669921875,6412.3056640625,2098856.0,1132346368.0,968085376.0,3856.296630859375,15157.416015625,458.3293151855469,5252.720703125,965.1552124023438,4871817216.0,1985134336.0,3858606848.0,3088235264.0,2914946304.0,2529304320.0,4928536576.0,4620987392.0,4849300992.0,3537299200.0,1942337024.0,4488574464.0,4670986240.0,733267200.0,6308448256.0,4504334336.0,4903989760.0,950444.5,3079570.0,677518.1875,512374016.0,597.6480102539062,3949.569580078125,3334.44775390625,4916797952.0,4597.14697265625,3157.90234375,4502.57568359375,7943.2509765625,727.0388793945312,4089339392.0,3671872256.0,4510078464.0,3724.25048828125,6151.7548828125,451.3357849121094,13231.580078125,3151.353271484375,6359711744.0,862196352.0,4001378816.0,9502,26.395605087280273,28.249082565307617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8786319,24484,0,49.538700103759766,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:24:53.173Z,E,2641.960205078125,3008.024658203125,347371520.0,3729.279541015625,39518.3984375,2352050688.0,4988.1435546875,7363582.5,2856457216.0,10473.2275390625,504.7137145996094,581282176.0,11487.80078125,3794.7431640625,6447.58349609375,2082719.375,1135882624.0,969350080.0,3864.20849609375,15198.1142578125,459.381103515625,5254.81640625,963.7974853515625,4860485632.0,1986683776.0,3870489600.0,3088839680.0,2915911936.0,2529707008.0,5050613760.0,4617759232.0,4840135680.0,3591377920.0,1944207872.0,4501806080.0,4675669504.0,734766720.0,6338730496.0,4505113600.0,4899150336.0,951285.6875,3087737.75,677857.5625,511750976.0,596.9913940429688,3942.916748046875,3336.25634765625,4912846848.0,4593.1015625,3166.599365234375,4518.462890625,7942.9755859375,727.4357299804688,4097403648.0,3671716864.0,4530695680.0,3720.15625,6139.79052734375,451.3769226074219,13231.1884765625,3151.420166015625,6375571456.0,864228992.0,4015580160.0,9803,26.395605087280273,28.41025733947754,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8786319,24484,0,49.538700103759766,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:24:53.474Z,E,2642.155517578125,3006.1220703125,347572672.0,3729.883056640625,39718.796875,2364843520.0,5002.2041015625,7300934.0,2853778432.0,10472.669921875,505.5697021484375,582286848.0,11451.673828125,3793.072021484375,6451.1181640625,2068661.25,1141067776.0,971475456.0,3860.832763671875,15201.11328125,459.8658447265625,5239.2529296875,964.89404296875,4851866624.0,1989744512.0,3883588608.0,3087996416.0,2911303680.0,2529136384.0,5048684032.0,4617755136.0,4833353728.0,3589748224.0,1937747456.0,4514357760.0,4672655360.0,732251840.0,6368785920.0,4509980160.0,4897337856.0,953820.4375,3093553.0,678165.375,512780288.0,596.94921875,3944.46044921875,3322.868408203125,4909809152.0,4603.83837890625,3175.078369140625,4512.81494140625,7942.8525390625,728.2628173828125,4105927936.0,3651035392.0,4543938048.0,3718.40185546875,6154.56103515625,451.3261413574219,13232.458984375,3151.626953125,6386356736.0,867013952.0,4009470720.0,10104,26.4761905670166,28.41025733947754,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8786319,24484,0,49.538700103759766,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:24:53.774Z,E,2636.27734375,3010.60595703125,347449600.0,3728.925537109375,39781.5703125,2375834880.0,4970.68994140625,7230875.0,2850387200.0,10479.4990234375,504.9285888671875,581104000.0,11428.8505859375,3796.39990234375,6460.98681640625,2063070.625,1140385152.0,970229504.0,3855.185546875,15282.0263671875,458.25640869140625,5245.1474609375,964.7667236328125,4839441920.0,1988438912.0,3888736512.0,3091491072.0,2920114432.0,2526621184.0,5166708224.0,4614533632.0,4828357120.0,3588934144.0,1939748352.0,4522330112.0,4663342080.0,730740800.0,6394486784.0,4515116544.0,4896434688.0,949322.4375,3100048.5,678674.5625,512940704.0,597.2066650390625,3931.82763671875,3331.61474609375,4900111872.0,4601.09130859375,3169.912109375,4485.70068359375,7943.23095703125,727.2589721679688,4104638976.0,3664917504.0,4557519360.0,3730.3359375,6122.0205078125,451.4073181152344,13230.4931640625,3151.40576171875,6399244288.0,866287104.0,3985239808.0,10405,26.4761905670166,28.249082565307617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8786319,24484,0,49.538700103759766,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:24:54.076Z,E,2643.524169921875,3005.111328125,348458528.0,3729.044677734375,39484.9296875,2412893184.0,4965.8291015625,7255243.5,2855121664.0,10473.1357421875,505.27508544921875,581573632.0,11472.3681640625,3794.9072265625,6438.39013671875,2070357.375,1135434624.0,966328832.0,3844.230224609375,15179.79296875,458.9081115722656,5240.935546875,965.9080810546875,4831193088.0,1988993280.0,3892558080.0,3093064960.0,2923778048.0,2531004416.0,5136181760.0,4614803968.0,4822492672.0,3581793280.0,1933936640.0,4530590720.0,4657622528.0,728377472.0,6416756224.0,4500996608.0,4894023168.0,951365.3125,3102809.25,678484.1875,513892896.0,597.6615600585938,3931.553955078125,3324.891845703125,4894374912.0,4605.3544921875,3169.707763671875,4491.04150390625,7942.615234375,726.576904296875,4159745280.0,3680098048.0,4568813056.0,3713.913330078125,6123.796875,451.49444580078125,13232.0595703125,3151.12255859375,6413223424.0,864926912.0,3884693248.0,10706,26.395605087280273,28.249082565307617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8786319,24484,0,49.538700103759766,13,AmbientSamplingRFC
