component_sn,sn,d,t,FLW0,event_name
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:27:51.329Z,E,0.0031250000465661287,pre-baseline
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:27:52.337Z,E,-0.0003906250058207661,cleaningRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:27:53.345Z,E,-0.0007812500116415322,cleaningRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:27:54.354Z,E,0.0007812500116415322,cleaningRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:27:55.360Z,E,0.001953125,cleaningRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:27:56.367Z,E,0.0,cleaningRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:27:57.375Z,E,-0.0007812500116415322,cleaningRFC
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:27:58.382Z,E,0.0007812500116415322,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:27:59.390Z,E,0.0011718750465661287,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:28:00.398Z,E,0.0,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:28:01.406Z,E,-0.0023437500931322575,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:28:02.413Z,E,-0.0003906250058207661,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:28:03.421Z,E,0.0,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:28:04.431Z,E,0.0011718750465661287,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:28:05.436Z,E,-0.0015625000232830644,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:28:06.446Z,E,0.0003906250058207661,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:28:07.457Z,E,0.0042968750931322575,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:28:08.475Z,E,0.0,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:28:09.483Z,E,-0.001953125,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:28:10.490Z,E,-0.0003906250058207661,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:28:11.498Z,E,-0.0007812500116415322,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:28:12.506Z,E,-0.0003906250058207661,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:28:13.514Z,E,0.0,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:28:14.521Z,E,-0.0007812500116415322,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:28:15.529Z,E,-0.001953125,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:28:16.537Z,E,0.001953125,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:28:17.544Z,E,-0.0031250000465661287,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:28:18.553Z,E,0.0015625000232830644,recoveryOff
0000000018-1225-flw-nz,0000000009-4324-oms-nz,2026-03-23T22:28:19.560Z,E,0.0015625000232830644,recoveryOff
