component_sn,sn,d,t,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,event_name
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:27:51.370Z,E,2597.7333984375,2961.087646484375,350134976.0,3726.90380859375,37343.21484375,2481405440.0,4898.77783203125,7588980.0,2880814592.0,10280.0263671875,501.8291015625,591750400.0,11522.4052734375,3741.28515625,6384.86279296875,2336571.5,1128524416.0,963777664.0,3825.24853515625,15241.1982421875,454.58099365234375,5283.45947265625,953.3634033203125,4892823040.0,1941475712.0,3757538048.0,3060763648.0,2858006016.0,2506060544.0,5090345472.0,4644251648.0,4612715520.0,3539052544.0,1915638784.0,4540638208.0,4714504192.0,730907520.0,6265517568.0,4491862016.0,4956281344.0,912726.0625,3020499.25,667916.875,505339456.0,593.4925537109375,3905.7412109375,3317.8310546875,4905234432.0,4565.576171875,3131.12255859375,4512.08642578125,7934.18994140625,719.7547607421875,4100386560.0,3664393216.0,4627992064.0,3696.380615234375,6108.33544921875,444.8238525390625,13223.1845703125,3147.32421875,6348488192.0,869806912.0,3817229312.0,745,26.315019607543945,28.249082565307617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8956880,24484,0,48.56024932861328,13,pre-baseline
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:27:51.994Z,E,2619.892333984375,2980.141357421875,350469216.0,3726.97314453125,37997.98046875,2440248320.0,4919.2255859375,8023725.0,2898756608.0,10385.29296875,501.6172180175781,589475200.0,11389.8212890625,3767.65966796875,6394.884765625,2304065.75,1131700224.0,970915136.0,3856.01025390625,15279.62890625,455.15570068359375,5263.1650390625,952.3074340820312,4874493440.0,1942097024.0,3754868224.0,3067406592.0,2866386688.0,2522588928.0,4862793728.0,4648324096.0,4600404992.0,3474629120.0,1941431680.0,4541931520.0,4722987520.0,728140096.0,6246770176.0,4470293504.0,4925238272.0,919945.75,3121900.75,674234.6875,504989664.0,593.8009033203125,3905.38623046875,3310.0029296875,4917405184.0,4567.1240234375,3138.539306640625,4471.3525390625,7934.7724609375,719.1868896484375,4068496896.0,3620589824.0,4641520640.0,3686.2578125,6142.44873046875,445.4518127441406,13223.4384765625,3147.724853515625,6333281792.0,847408384.0,3878034688.0,8872,26.4761905670166,28.32967185974121,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8966927,24484,0,49.296539306640625,13,cleaningRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:27:52.297Z,E,2620.899658203125,2975.2578125,350361696.0,3727.390869140625,38187.98828125,2447605504.0,4926.25048828125,7998070.0,2898006272.0,10379.7080078125,501.2509460449219,588991744.0,11521.453125,3768.7333984375,6393.79541015625,2328403.25,1132537600.0,971713728.0,3856.04443359375,15228.244140625,454.50482177734375,5264.16015625,952.6858520507812,4874495488.0,1941049216.0,3753445376.0,3068242432.0,2874298368.0,2520087552.0,4946128384.0,4647507968.0,4585773568.0,3447100160.0,1927704192.0,4539078144.0,4721597952.0,727194432.0,6241845248.0,4455439872.0,4931364864.0,917602.6875,3107890.75,673871.875,504843936.0,594.9666748046875,3907.869384765625,3314.33642578125,4906765824.0,4571.19677734375,3143.6630859375,4467.525390625,7934.69921875,719.4026489257812,4077522176.0,3629245696.0,4644245504.0,3687.859130859375,6137.5810546875,445.5619812011719,13222.9365234375,3147.6455078125,6313600000.0,848595904.0,3899047168.0,9173,26.315019607543945,28.41025733947754,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8966927,24484,0,49.296539306640625,13,cleaningRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:27:52.597Z,E,2620.012939453125,2982.694091796875,351408928.0,3727.14990234375,38219.05859375,2486401280.0,4900.16845703125,8180766.5,2903965952.0,10395.771484375,502.2256774902344,589094848.0,11505.8115234375,3769.760986328125,6382.6923828125,2344669.25,1137823744.0,974287040.0,3857.40673828125,15284.4794921875,454.4153137207031,5279.189453125,953.5875854492188,4881089024.0,1943392128.0,3752741120.0,3068720896.0,2874506752.0,2515419136.0,5033965568.0,4647237120.0,4586049024.0,3431402240.0,1919716480.0,4535978496.0,4719367168.0,725679040.0,6248735232.0,4447427584.0,4939969536.0,920190.875,3101989.25,674231.75,503225248.0,594.4671020507812,3907.232177734375,3316.625732421875,4908283392.0,4580.2890625,3140.894775390625,4470.4765625,7934.9248046875,721.3444213867188,4086806528.0,3611670016.0,4623396864.0,3697.7998046875,6161.0166015625,445.51904296875,13222.029296875,3147.817626953125,6314105856.0,849271424.0,3854047232.0,9474,26.395605087280273,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8966927,24484,0,49.296539306640625,13,cleaningRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:27:52.897Z,E,2622.726806640625,2980.528564453125,350950592.0,3726.72998046875,38143.703125,2476859392.0,4901.76611328125,8268028.5,2926105344.0,10382.330078125,501.514404296875,589835584.0,11465.908203125,3769.907470703125,6426.982421875,2344337.0,1134968448.0,970551424.0,3853.741943359375,15286.4775390625,454.3396911621094,5265.95654296875,953.2963256835938,4884996096.0,1945069312.0,3747410688.0,3057342720.0,2873669376.0,2515823872.0,5106436096.0,4646962688.0,4601479168.0,3423826944.0,1917379456.0,4529765376.0,4709857280.0,726375104.0,6251204096.0,4452689920.0,4945217024.0,916559.9375,3100788.25,674309.9375,501848160.0,593.630126953125,3912.228759765625,3316.08154296875,4884723712.0,4577.3955078125,3141.001708984375,4464.3955078125,7934.5322265625,721.1004638671875,4098034944.0,3632069888.0,4640709120.0,3685.99462890625,6192.05615234375,445.58184814453125,13222.94140625,3147.808837890625,6325191168.0,850776832.0,3811537664.0,9775,26.55677604675293,28.249082565307617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8966927,24484,0,49.296539306640625,13,cleaningRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:27:53.199Z,E,2621.456298828125,2985.056884765625,350541824.0,3727.0673828125,37999.98828125,2464083200.0,4907.9287109375,8231119.5,2892812544.0,10410.154296875,501.5964660644531,589456256.0,11471.53125,3771.10888671875,6398.93310546875,2359557.0,1132650112.0,967782080.0,3835.7548828125,15212.0263671875,454.8351135253906,5268.17333984375,953.5166625976562,4886503424.0,1945501824.0,3746708480.0,3058285312.0,2877330688.0,2515661824.0,5023409152.0,4646964224.0,4586313728.0,3454910208.0,1924033152.0,4535206400.0,4705108480.0,724712448.0,6248745472.0,4452191232.0,4946761728.0,915240.25,3106961.5,674259.5625,502674720.0,593.8211059570312,3909.303466796875,3314.647705078125,4864066560.0,4589.126953125,3142.291015625,4458.072265625,7934.33203125,720.5409545898438,4114251520.0,3605410560.0,4658695168.0,3689.167236328125,6195.75341796875,445.52691650390625,13223.408203125,3147.9072265625,6327718400.0,851886592.0,3780586240.0,10076,26.395605087280273,28.32967185974121,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8966927,24484,0,49.296539306640625,13,cleaningRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:27:53.501Z,E,2625.8759765625,2978.1552734375,350058176.0,3727.3134765625,38056.94140625,2469883136.0,4907.42822265625,8194593.0,2905455872.0,10407.216796875,501.3951721191406,587381120.0,11370.099609375,3771.50048828125,6360.5595703125,2338161.25,1133434624.0,968321472.0,3835.73779296875,15284.0234375,453.6856384277344,5269.3857421875,953.8828735351562,4888611328.0,1942673152.0,3744759552.0,3060175360.0,2878904064.0,2515180288.0,4975697408.0,4645876736.0,4616203776.0,3459122944.0,1936422528.0,4532628992.0,4705104384.0,723415808.0,6250710016.0,4442193920.0,4951389696.0,920406.8125,3113957.75,674313.1875,502782624.0,594.4495239257812,3914.7939453125,3316.80712890625,4862275584.0,4597.6181640625,3141.2490234375,4462.41064453125,7934.32470703125,721.46484375,4108480256.0,3641613056.0,4671596032.0,3703.63916015625,6167.548828125,445.5496826171875,13222.85546875,3147.804443359375,6340375552.0,853684800.0,3794361600.0,10378,26.395605087280273,28.41025733947754,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8966927,24484,0,49.296539306640625,13,cleaningRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:27:53.803Z,E,2627.60107421875,2983.53662109375,352945088.0,3727.37744140625,38183.53515625,2492860928.0,4899.19970703125,8129899.5,2897262336.0,10402.5146484375,501.2388916015625,588651456.0,11289.716796875,3770.49267578125,6361.33544921875,2327252.5,1136662400.0,969959040.0,3849.26025390625,15340.5546875,453.7958679199219,5269.1298828125,955.4186401367188,4888310784.0,1939756288.0,3743164928.0,3057570560.0,2871487488.0,2517432576.0,4907456000.0,4645060608.0,4599607808.0,3446317568.0,1940381824.0,4525654016.0,4706207744.0,722095616.0,6251689984.0,4439931392.0,4952620032.0,922380.0,3118715.0,673938.0,502933504.0,593.0590209960938,3915.31982421875,3314.9541015625,4872427008.0,4579.25146484375,3144.708251953125,4469.37255859375,7934.67041015625,720.3619384765625,4123703040.0,3686949120.0,4688162304.0,3696.733154296875,6214.89697265625,445.6612548828125,13223.060546875,3147.871826171875,6344431104.0,854062592.0,3764038400.0,10680,26.395605087280273,28.32967185974121,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8966927,24484,0,49.296539306640625,13,cleaningRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:27:54.101Z,E,2626.009765625,2981.64306640625,351930400.0,3726.605224609375,37708.71484375,2459542016.0,4900.16748046875,8133836.0,2875975680.0,10398.51171875,501.13055419921875,585693376.0,11261.9296875,3772.58154296875,6382.7080078125,2297051.0,1136615680.0,970951488.0,3865.437255859375,15288.41015625,454.5602111816406,5280.41943359375,955.3869018554688,4891926016.0,1941760256.0,3742102272.0,3052505600.0,2871692288.0,2511254528.0,4987616768.0,4643970560.0,4585248768.0,3502106880.0,1947095808.0,4519984128.0,4706757632.0,725433408.0,6253665792.0,4441678848.0,4956020224.0,920210.375,3125900.75,675433.6875,503928992.0,594.2017822265625,3913.75927734375,3318.60009765625,4880514560.0,4572.94921875,3128.175537109375,4455.71484375,7934.625,721.8012084960938,4140330496.0,3728133888.0,4703727616.0,3688.93359375,6162.41943359375,445.6426696777344,13222.28515625,3147.962646484375,6354098688.0,853759872.0,3763855104.0,10979,26.55677604675293,28.571428298950195,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8966927,24484,0,49.296539306640625,13,cleaningRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:27:54.402Z,E,2624.84130859375,2982.230712890625,350815168.0,3726.39501953125,38232.11328125,2456862720.0,4920.70458984375,8109463.0,2880383232.0,10409.3681640625,501.66900634765625,585659392.0,11281.1279296875,3775.48046875,6378.59716796875,2281142.25,1135742080.0,970674752.0,3856.51611328125,15332.7587890625,455.4105529785156,5288.37158203125,953.3255615234375,4890117120.0,1943435264.0,3739095808.0,3048154368.0,2874508288.0,2505504256.0,5067187200.0,4643153920.0,4572038144.0,3507386368.0,1943488128.0,4512786432.0,4708978688.0,728738048.0,6257117184.0,4445661696.0,4955399680.0,921091.4375,3144637.75,675665.1875,507273056.0,594.5767211914062,3918.03466796875,3324.853515625,4892550656.0,4559.275390625,3142.172119140625,4466.10888671875,7934.81591796875,720.4764404296875,4149016832.0,3771686144.0,4715473408.0,3696.968017578125,6191.47314453125,445.7540588378906,13222.7060546875,3147.951904296875,6356135424.0,848191936.0,3743728384.0,11280,26.4761905670166,28.249082565307617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,8966927,24484,0,49.296539306640625,13,cleaningRFC
