component_sn,sn,d,t,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,event_name
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:36:21.195Z,E,2819.802490234375,3191.788818359375,347540192.0,3728.838623046875,38958.33203125,2358296576.0,5011.1015625,8149562.0,2894412544.0,11397.0986328125,502.4051208496094,595682688.0,11593.216796875,4093.63720703125,6615.72021484375,2164110.5,1136387840.0,975139264.0,3963.781494140625,15970.0703125,469.3655700683594,5503.0107421875,973.748046875,4861943808.0,2005129856.0,3970804736.0,3126158080.0,2918610944.0,2544104192.0,4934380544.0,4639918592.0,4886303744.0,3544932352.0,1953733632.0,4512761344.0,4697511424.0,718056960.0,6265066496.0,4469519872.0,4909092864.0,946343.625,3141909.0,710359.9375,498365280.0,592.401123046875,3906.115234375,3326.20654296875,4879882752.0,4742.7109375,3264.125244140625,4685.3818359375,7938.826171875,719.7429809570312,4028024576.0,3751848192.0,4593692160.0,3834.1640625,6313.84912109375,461.5892028808594,13220.1005859375,3154.15283203125,6357639168.0,857533632.0,3856104960.0,1402,26.153844833374023,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,9468501,24484,0,48.95348358154297,13,pre-baseline
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:36:21.677Z,E,2835.1259765625,3194.148193359375,348104224.0,3728.63916015625,38833.8515625,2324463360.0,5036.74462890625,7837090.0,2936549888.0,11523.9140625,502.7279357910156,591028800.0,11758.34765625,4110.5712890625,6621.1943359375,2121573.25,1140716032.0,974225024.0,3998.040771484375,15980.5087890625,469.31903076171875,5511.0888671875,975.3890380859375,4884401664.0,1959291392.0,3811795456.0,3065639936.0,2865135872.0,2525103104.0,4885299200.0,4649152000.0,4706564608.0,3547625984.0,2026710784.0,4510757376.0,4708183552.0,719133312.0,6257135616.0,4465238016.0,4954762752.0,960864.5625,3322709.75,714350.8125,537573760.0,593.7294311523438,3910.194580078125,3301.7421875,4917399040.0,4738.8037109375,3266.421630859375,4709.37158203125,7938.6826171875,722.9678955078125,4078997248.0,3698151168.0,4587304448.0,3834.736572265625,6333.24267578125,462.25555419921875,13220.1767578125,3154.42431640625,6355089920.0,852817024.0,3737153280.0,8327,26.23443031311035,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,9478548,24484,0,48.572898864746094,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:36:21.976Z,E,2832.271728515625,3194.004638671875,348952512.0,3729.619140625,38771.1484375,2365107456.0,5038.62841796875,7954507.5,2921258496.0,11524.0478515625,503.0447998046875,590857408.0,11777.52734375,4110.60546875,6603.25048828125,2108169.25,1137757952.0,972921088.0,4003.080810546875,15851.037109375,469.1473693847656,5505.625,975.6470336914062,4887111168.0,1957930240.0,3816380928.0,3067896064.0,2865137920.0,2526643712.0,4835712512.0,4648876032.0,4725064192.0,3604478464.0,2026344960.0,4520527872.0,4712927232.0,720486784.0,6253178880.0,4467503104.0,4952906240.0,969450.875,3304504.25,714073.75,540659840.0,593.645751953125,3909.400146484375,3302.17919921875,4932376064.0,4763.41796875,3272.673583984375,4706.15478515625,7938.9755859375,722.7479858398438,4088903424.0,3728848896.0,4578830336.0,3833.75,6321.41015625,462.3570556640625,13220.013671875,3154.285888671875,6364787200.0,850601280.0,3710159616.0,8626,26.395605087280273,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,9478548,24484,0,48.572898864746094,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:36:22.281Z,E,2840.291015625,3195.214599609375,348357280.0,3729.1513671875,38250.63671875,2374379520.0,5039.4794921875,7964990.5,2910303744.0,11547.6630859375,503.38507080078125,589989184.0,11711.8916015625,4110.98583984375,6640.64404296875,2115394.25,1137257728.0,972651456.0,3999.125732421875,15931.94140625,470.0577697753906,5513.9326171875,977.0823974609375,4892834304.0,1959682560.0,3824128768.0,3069087488.0,2862755840.0,2527376640.0,4783643136.0,4648333312.0,4697369600.0,3583271168.0,2017420672.0,4525941248.0,4714038784.0,719762880.0,6240863744.0,4469779456.0,4953507328.0,969188.8125,3292797.0,713689.125,536491712.0,593.8184814453125,3914.60498046875,3309.104736328125,4942821888.0,4756.00390625,3267.838623046875,4686.00830078125,7938.94775390625,721.9053955078125,4091651584.0,3764155648.0,4565912576.0,3833.8427734375,6298.3046875,462.4173278808594,13219.7236328125,3154.2060546875,6375539712.0,847890112.0,3691117568.0,8927,26.315019607543945,28.08791160583496,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,9478548,24484,0,48.572898864746094,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:36:22.579Z,E,2836.662841796875,3187.252197265625,348554912.0,3729.689208984375,38594.640625,2391614720.0,5040.8525390625,7933421.0,2895284992.0,11552.8466796875,503.0136413574219,589543360.0,11664.1201171875,4112.48974609375,6654.31640625,2116716.25,1136948224.0,972412160.0,3993.317138671875,15903.7919921875,470.5914001464844,5504.46826171875,975.6083984375,4888615424.0,1958513920.0,3831527680.0,3070279936.0,2863899648.0,2525998336.0,4873857024.0,4648058880.0,4672197120.0,3558464256.0,2015875072.0,4532138496.0,4709832704.0,719112448.0,6235465216.0,4470274560.0,4957844992.0,968658.5,3300659.75,714538.0,533771488.0,593.9833374023438,3901.14404296875,3313.67041015625,4950224384.0,4742.875,3264.7646484375,4704.5732421875,7939.2529296875,721.1707763671875,4087636992.0,3752196096.0,4562239488.0,3827.17822265625,6313.07421875,462.3898620605469,13220.6611328125,3154.2431640625,6366322176.0,849143744.0,3693359360.0,9228,26.23443031311035,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,9478548,24484,0,48.572898864746094,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:36:22.880Z,E,2840.23046875,3194.452880859375,348893024.0,3729.758056640625,38855.20703125,2402051328.0,5010.89697265625,7911390.5,2900697344.0,11521.5146484375,503.08551025390625,589127424.0,11640.12890625,4114.337890625,6664.384765625,2101809.75,1140160384.0,974987136.0,3995.41650390625,16009.3984375,468.7019958496094,5495.9453125,976.2069091796875,4877500928.0,1961293824.0,3846415360.0,3067658496.0,2858317056.0,2526971392.0,5003318272.0,4648333824.0,4685170688.0,3530849792.0,2012889216.0,4539652096.0,4704813568.0,720347648.0,6270005248.0,4465492992.0,4949505536.0,967261.0625,3332881.25,714982.0625,532448704.0,594.3301391601562,3903.958984375,3309.30615234375,4936985600.0,4738.1787109375,3258.0458984375,4689.71728515625,7939.048828125,722.1792602539062,4077722368.0,3720947456.0,4578041344.0,3824.99755859375,6303.19482421875,462.3984069824219,13220.728515625,3154.216064453125,6378108928.0,851782592.0,3723951616.0,9529,26.073259353637695,28.007326126098633,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,9478548,24484,0,48.572898864746094,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:36:23.180Z,E,2841.364501953125,3196.90771484375,348772928.0,3729.552734375,38592.86328125,2403960064.0,5020.3173828125,7850145.0,2957544448.0,11546.59765625,502.9675598144531,591768768.0,11655.98046875,4116.060546875,6634.439453125,2100316.25,1141711104.0,975011904.0,4003.533447265625,15956.29296875,469.6316223144531,5508.779296875,976.9544067382812,4864051712.0,1962417280.0,3842866176.0,3071344896.0,2863179008.0,2530544640.0,5016656896.0,4650241536.0,4698496512.0,3569213952.0,1980761728.0,4545636352.0,4695927296.0,723551488.0,6304933376.0,4466006528.0,4944576000.0,968681.125,3225782.75,715124.1875,527960800.0,593.805908203125,3906.331298828125,3313.98046875,4924123648.0,4742.61328125,3268.081298828125,4694.580078125,7939.25634765625,722.3893432617188,4105690112.0,3711857920.0,4588904448.0,3829.3642578125,6315.1572265625,462.4283447265625,13220.326171875,3154.036376953125,6374515200.0,857762304.0,3735902720.0,9830,26.395605087280273,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,9478548,24484,0,48.572898864746094,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:36:23.481Z,E,2842.068603515625,3203.0576171875,348843456.0,3728.21142578125,38676.94140625,2418361600.0,5025.3134765625,7821286.5,2952345088.0,11536.6455078125,502.3893737792969,591014912.0,11606.990234375,4116.42333984375,6646.10009765625,2093897.0,1138124416.0,971635456.0,3993.078369140625,15959.5693359375,468.79656982421875,5495.6279296875,975.0388793945312,4854235136.0,1959975424.0,3840449536.0,3071224576.0,2860384768.0,2529083648.0,5139511808.0,4651879936.0,4708822016.0,3608084224.0,2000728192.0,4549540864.0,4693429248.0,723695424.0,6333665280.0,4442706432.0,4936898560.0,967995.5,3277324.25,716131.3125,527442368.0,593.71044921875,3906.09716796875,3313.197265625,4918023680.0,4731.8583984375,3266.188232421875,4710.2607421875,7939.24462890625,721.4366455078125,4124764416.0,3724980224.0,4599815680.0,3831.9638671875,6314.626953125,462.4494934082031,13220.9326171875,3154.08203125,6387872768.0,863414528.0,3752551936.0,10131,26.23443031311035,28.08791160583496,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,9478548,24484,0,48.572898864746094,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:36:23.789Z,E,2839.483642578125,3198.892822265625,348207328.0,3728.42041015625,38641.6171875,2402278656.0,5045.3447265625,7766744.5,2966520064.0,11556.6845703125,502.51434326171875,592426688.0,11575.3994140625,4113.9140625,6620.42919921875,2106106.25,1139519232.0,973080960.0,3997.427734375,15881.0087890625,470.046630859375,5499.80126953125,974.7389526367188,4845347840.0,1961633280.0,3856341248.0,3075996672.0,2863483648.0,2524139776.0,5204772864.0,4651607040.0,4717785088.0,3619795200.0,1990216320.0,4559994368.0,4690396672.0,724375552.0,6363163648.0,4442716160.0,4931995648.0,967194.1875,3267150.5,716551.0625,525077184.0,593.7221069335938,3907.6015625,3315.38525390625,4910114304.0,4746.78076171875,3263.704833984375,4705.9033203125,7939.2138671875,722.9798583984375,4151204864.0,3734844416.0,4614266880.0,3841.92236328125,6259.99951171875,462.33258056640625,13220.2431640625,3154.097412109375,6395608064.0,868046144.0,3768106496.0,10434,26.315019607543945,28.32967185974121,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,9478548,24484,0,48.572898864746094,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T22:36:24.085Z,E,2839.355224609375,3189.01318359375,349277376.0,3728.4248046875,38565.5859375,2450581248.0,5066.30322265625,7766951.5,3037031168.0,11554.01953125,502.27911376953125,594443456.0,11649.0439453125,4114.31982421875,6593.82470703125,2107491.0,1144236416.0,975870144.0,3985.040771484375,15863.29296875,469.645263671875,5477.84130859375,975.1337280273438,4835607040.0,1958853888.0,3851468544.0,3074328832.0,2866184704.0,2524380160.0,5315247616.0,4651332608.0,4725938176.0,3658079232.0,1999460736.0,4563941888.0,4686803456.0,722497664.0,6388297728.0,4446705664.0,4927714816.0,954221.75,3273716.5,717028.25,523015488.0,593.6611328125,3897.537109375,3310.2158203125,4899203072.0,4752.7802734375,3266.19287109375,4694.45458984375,7939.0947265625,722.806884765625,4163459072.0,3720428800.0,4626110464.0,3830.014404296875,6302.28271484375,462.3144226074219,13219.9697265625,3153.884521484375,6406978560.0,867940608.0,3759159552.0,10735,26.315019607543945,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,9478548,24484,0,48.572898864746094,13,AmbientSamplingRFC
