component_sn,sn,d,t,SETP0,FLW0,ANLT0,event_name
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:21.826Z,E,0,0.24,22450143,pre-baseline
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:22.843Z,E,0,0.88,22450143,pre-baseline
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:23.850Z,E,0,0.8,22450143,pre-baseline
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:24.857Z,E,0,0.72,22450143,pre-baseline
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:25.865Z,E,0,0.24,22450143,pre-baseline
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:26.872Z,E,1370,1372.48,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:27.880Z,E,1370,1368.88,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:28.887Z,E,1370,1370.16,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:29.895Z,E,1370,1368.5601,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:30.902Z,E,1370,1370.72,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:31.910Z,E,1370,1369.92,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:32.918Z,E,1370,1368.64,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:33.924Z,E,1370,1371.2799,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:34.932Z,E,1370,1369.6801,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:35.940Z,E,1370,1369.7601,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:36.947Z,E,1370,1369.4403,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:37.955Z,E,1370,1369.0402,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:38.962Z,E,1370,1369.6798,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:39.969Z,E,1370,1368.8,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:40.977Z,E,1370,1369.28,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:41.984Z,E,1370,1370.08,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:42.992Z,E,1370,1369.8401,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:43.999Z,E,1370,1370.1602,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:45.006Z,E,1370,1369.7601,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:46.014Z,E,1370,1370.0001,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:47.021Z,E,1370,1370.88,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:48.029Z,E,1370,1371.2,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:49.036Z,E,1370,1370.16,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:50.044Z,E,1370,1369.2001,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:51.051Z,E,1370,1369.8402,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:52.059Z,E,1370,1369.84,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:53.066Z,E,1370,1369.6,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:54.074Z,E,1370,1369.92,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:55.081Z,E,1370,1370.0001,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:56.089Z,E,1370,1369.92,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:57.096Z,E,1370,1369.76,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:58.103Z,E,1370,1369.8402,22450143,BreathSampleCollection
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:00:59.111Z,E,1370,1371.04,22450143,BreathSampleCollection
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:00.118Z,E,1370,1370.3201,22450143,BreathSampleCollection
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:01.126Z,E,1370,1369.8401,22450143,BreathSampleCollection
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:02.133Z,E,1370,1368.96,22450143,BreathSampleCollection
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:03.141Z,E,1370,1370.5599,22450143,BreathSampleCollection
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:04.149Z,E,1370,1369.5201,22450143,BreathSampleCollection
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:05.156Z,E,1370,1370.4799,22450143,BreathSampleCollection
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:06.163Z,E,1370,1369.52,22450143,BreathSampleCollection
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:07.171Z,E,1370,1368.64,22450143,FeNOWindow
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:08.178Z,E,1370,1370.0,22450143,FeNOWindow
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:09.185Z,E,1370,1370.3201,22450143,FeNOWindow
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:10.193Z,E,1370,1367.6001,22450143,FeNOWindow
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:11.200Z,E,1370,1370.3201,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:12.208Z,E,1370,1370.08,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:13.215Z,E,1370,1370.2401,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:14.223Z,E,1370,1369.36,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:15.230Z,E,1370,1369.3601,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:16.238Z,E,1370,1369.92,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:17.245Z,E,1370,1370.72,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:18.253Z,E,1370,1370.0801,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:19.260Z,E,1370,1369.2799,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:20.268Z,E,1370,1369.92,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:21.275Z,E,1370,1370.08,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:22.282Z,E,1370,1370.72,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:23.290Z,E,1370,1369.6801,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:24.298Z,E,1370,1370.1602,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:25.305Z,E,1370,1370.4,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:26.312Z,E,1370,1369.6,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:27.320Z,E,1370,1369.2001,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:28.327Z,E,1370,1369.28,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:29.335Z,E,1370,1370.0,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:30.343Z,E,1370,1369.2001,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:31.350Z,E,1370,1368.64,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:32.357Z,E,1370,1370.24,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:33.364Z,E,1370,1371.1201,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:34.372Z,E,1370,1370.9602,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:35.379Z,E,1370,1370.0001,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:36.387Z,E,1370,1369.4401,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:37.394Z,E,1370,1370.9601,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:38.402Z,E,1370,1369.76,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:39.409Z,E,1370,1369.6,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:40.417Z,E,1370,1368.0,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:41.424Z,E,1370,1370.6401,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:42.432Z,E,1370,1369.6801,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:43.439Z,E,1400,1401.6,22450143,recoveryOff
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:01:44.446Z,E,1400,1398.8801,22450143,recoveryOff
