component_sn,sn,d,t,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,event_name
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:06:22.782Z,E,2631.706298828125,3023.665283203125,349029664.0,3714.705810546875,37583.72265625,2333370112.0,4861.9111328125,9107013.0,2875169280.0,10538.1572265625,486.686279296875,588599488.0,11665.9248046875,3815.908203125,6434.17041015625,2032628.375,1128080256.0,964255680.0,3856.576904296875,15497.8310546875,455.2259521484375,5271.06201171875,925.9067993164062,4906460160.0,1954283008.0,3789033472.0,3055358976.0,2852743168.0,2525589760.0,4984142336.0,4646703104.0,4811939328.0,3504742656.0,1918913408.0,4508432384.0,4699524096.0,732318272.0,6268065792.0,4503108096.0,4952000512.0,879168.4375,2947173.5,670636.125,508309056.0,573.5510864257812,3779.908935546875,3233.66943359375,4914381824.0,4551.599609375,3155.71875,4449.630859375,7898.310546875,688.0541381835938,4084904448.0,3649691392.0,4678246400.0,3674.853515625,6077.0791015625,435.1308288574219,13169.634765625,3142.72412109375,6361733632.0,863308096.0,3573937920.0,1405,26.315019607543945,28.16849708557129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11269619,24484,0,48.66692352294922,13,pre-baseline
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:06:23.173Z,E,2646.7197265625,3040.26416015625,351077184.0,3712.552734375,37038.5234375,2379632640.0,4887.5849609375,9667609.0,2959406080.0,10626.9267578125,486.30218505859375,597642112.0,11634.4833984375,3838.608154296875,6438.8232421875,2036868.125,1135190400.0,971261888.0,3872.94091796875,15570.2353515625,456.2677307128906,5229.56005859375,925.6085815429688,4905574912.0,1950646656.0,3782671872.0,3066358528.0,2871373056.0,2521396736.0,4841637376.0,4646710272.0,4697981440.0,3486227712.0,1901220096.0,4525160960.0,4708167168.0,732508288.0,6267558400.0,4486771200.0,4960977920.0,896190.375,3030147.75,675004.375,505541088.0,573.1558837890625,3780.02490234375,3228.065673828125,4925376512.0,4565.98291015625,3158.37109375,4454.71484375,7897.5361328125,687.22216796875,4052448768.0,3634613760.0,4662564864.0,3688.40625,6049.32568359375,435.8343505859375,13167.7099609375,3142.608154296875,6351542784.0,860027264.0,3606237696.0,8934,26.23443031311035,28.41025733947754,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11279666,24484,0,49.342369079589844,13,pre-baseline
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:06:23.472Z,E,2650.03125,3039.125,351579584.0,3714.561767578125,37150.171875,2402071040.0,4904.57958984375,9801323.0,2974321664.0,10657.2021484375,485.4701232910156,599379456.0,11601.7900390625,3838.753662109375,6466.61474609375,2042505.25,1133940480.0,970368064.0,3847.930419921875,15607.7158203125,456.5601501464844,5190.75048828125,927.0413818359375,4908303360.0,1949634688.0,3779603200.0,3061378816.0,2865861888.0,2521965824.0,4864569856.0,4646708736.0,4716691456.0,3475514880.0,1902645248.0,4529294336.0,4707880960.0,731246784.0,6269061120.0,4466018304.0,4957583872.0,894254.8125,3038783.0,675758.0,505265856.0,573.1258544921875,3785.774658203125,3218.61962890625,4926601216.0,4552.4482421875,3157.171630859375,4453.64111328125,7897.78955078125,686.67431640625,4054734080.0,3629112064.0,4639924736.0,3688.568359375,6092.82177734375,435.7878723144531,13168.8818359375,3142.950439453125,6339355648.0,858963520.0,3592638464.0,9232,26.395605087280273,28.41025733947754,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11279666,24484,0,49.342369079589844,13,pre-baseline
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:06:23.773Z,E,2651.823974609375,3034.646484375,352092288.0,3713.50341796875,37153.3984375,2421569792.0,4898.34765625,9829350.0,2963401728.0,10644.3056640625,485.7690734863281,598522304.0,11646.5341796875,3840.052490234375,6435.0400390625,2041520.0,1137222400.0,972450048.0,3862.469970703125,15543.419921875,457.0389099121094,5243.11767578125,926.9927978515625,4910734336.0,1948430976.0,3777441792.0,3059132416.0,2865451264.0,2521725696.0,4811001344.0,4646982656.0,4700211712.0,3482083840.0,1911786752.0,4530064384.0,4707050496.0,732368832.0,6268563968.0,4470562816.0,4964415488.0,891542.375,3041562.25,676875.5,505596992.0,573.39111328125,3784.740478515625,3229.020263671875,4936096256.0,4555.57275390625,3157.85791015625,4453.013671875,7897.83544921875,687.2771606445312,4066629888.0,3618823936.0,4634504192.0,3688.466552734375,6070.52880859375,435.8131103515625,13168.0830078125,3142.76806640625,6349507584.0,858374912.0,3579463680.0,9534,26.315019607543945,28.32967185974121,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11279666,24484,0,49.342369079589844,13,pre-baseline
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:06:24.076Z,E,2652.830078125,3039.827880859375,351817888.0,3714.430419921875,37322.5703125,2426794752.0,4905.3427734375,9915515.0,2939934464.0,10657.248046875,485.91864013671875,597666112.0,11540.1640625,3840.422607421875,6411.41845703125,2029677.625,1140771456.0,978296512.0,3862.58251953125,15551.9501953125,457.2332763671875,5217.56787109375,925.501708984375,4914385920.0,1950648704.0,3777078528.0,3063038208.0,2869397504.0,2523339008.0,4898922496.0,4648070144.0,4723433472.0,3515639040.0,1912482432.0,4524897280.0,4706214400.0,731987328.0,6268066816.0,4475363840.0,4969392128.0,892084.625,3042137.5,676791.0,507079232.0,573.4851684570312,3780.11376953125,3228.703369140625,4932109312.0,4538.95263671875,3150.067138671875,4485.1689453125,7897.73828125,686.604248046875,4064747008.0,3598069504.0,4641285632.0,3690.042236328125,6079.998046875,435.87188720703125,13168.4599609375,3142.79296875,6347974144.0,858993216.0,3604580096.0,9836,26.4761905670166,28.41025733947754,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11279666,24484,0,49.342369079589844,13,pre-baseline
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:06:24.375Z,E,2654.30126953125,3036.85791015625,352605920.0,3714.88623046875,36979.17578125,2426049024.0,4880.30126953125,10080298.0,2904736256.0,10650.876953125,485.7933044433594,595427904.0,11441.26171875,3840.82275390625,6427.02880859375,2019290.875,1138245888.0,974735936.0,3860.573486328125,15533.7060546875,456.3246154785156,5248.09716796875,924.3486938476562,4916821504.0,1951179648.0,3784663808.0,3066722304.0,2869710336.0,2526497024.0,4973481984.0,4649976320.0,4741782528.0,3544281344.0,1917930240.0,4534195712.0,4706775040.0,732258048.0,6271038976.0,4480433152.0,4966273536.0,901974.3125,3036809.25,677066.1875,506757280.0,574.2713623046875,3782.75732421875,3228.428466796875,4893785600.0,4550.82763671875,3159.196044921875,4445.3017578125,7898.2255859375,687.2685546875,4053481216.0,3579819008.0,4651083264.0,3692.626708984375,6068.34375,435.9085998535156,13168.7509765625,3142.85595703125,6356637184.0,858879296.0,3597200128.0,10136,26.315019607543945,28.32967185974121,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11279666,24484,0,49.342369079589844,13,pre-baseline
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:06:24.676Z,E,2651.5966796875,3038.83740234375,353247200.0,3714.30810546875,37187.5625,2449206528.0,4875.85986328125,10123227.0,2880296448.0,10668.2626953125,486.26470947265625,593799616.0,11643.6357421875,3843.169189453125,6432.7509765625,2036629.75,1133119488.0,970648256.0,3862.95458984375,15451.107421875,456.845458984375,5251.3388671875,925.297119140625,4918043648.0,1950696064.0,3782495744.0,3068986112.0,2874815488.0,2530067200.0,4905912320.0,4649162752.0,4757705216.0,3560863232.0,1901356416.0,4515369472.0,4708713472.0,732475072.0,6276491776.0,4481456128.0,4970312704.0,893876.0,2954904.75,677973.375,501977312.0,573.9778442382812,3783.80322265625,3232.02783203125,4899225088.0,4540.60498046875,3158.469482421875,4463.17138671875,7898.15185546875,687.5374145507812,4038560256.0,3559500544.0,4635318272.0,3703.87548828125,6091.97265625,435.8182373046875,13167.8203125,3142.734375,6364294656.0,855750272.0,3584008704.0,10436,26.315019607543945,28.249082565307617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11279666,24484,0,49.342369079589844,13,pre-baseline
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:06:24.978Z,E,2654.824462890625,3036.802001953125,353787488.0,3714.2080078125,36836.7734375,2455697152.0,4874.576171875,10136398.0,2869948672.0,10690.6103515625,486.51904296875,593370048.0,11543.91796875,3842.119384765625,6447.275390625,2045067.75,1130987520.0,967408064.0,3868.667724609375,15588.1201171875,456.6463928222656,5250.55908203125,927.6083374023438,4918958080.0,1953306368.0,3786664448.0,3074949888.0,2879213824.0,2531366912.0,4992315904.0,4649163264.0,4772870656.0,3589435392.0,1908175872.0,4523342336.0,4709535744.0,732857408.0,6275976192.0,4485266944.0,4965955584.0,895284.5,2947432.5,677783.0,506428576.0,573.989990234375,3795.430419921875,3224.77392578125,4919876096.0,4533.4150390625,3155.611083984375,4471.134765625,7897.91064453125,687.763671875,4045382656.0,3569618176.0,4648082944.0,3685.258056640625,6085.89892578125,435.99029541015625,13168.2236328125,3142.9462890625,6362764800.0,855428544.0,3598833664.0,10738,26.4761905670166,28.249082565307617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11279666,24484,0,49.342369079589844,13,pre-baseline
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:06:25.279Z,E,2657.008056640625,3042.505615234375,353420832.0,3715.154052734375,36877.875,2427908864.0,4886.79443359375,10054430.0,2884401664.0,10666.0361328125,485.52044677734375,594637120.0,11589.1328125,3844.23486328125,6458.427734375,2052250.75,1131411456.0,966340544.0,3872.664306640625,15402.3720703125,456.343994140625,5262.40087890625,925.97119140625,4921701376.0,1954128000.0,3785212928.0,3076860672.0,2879315200.0,2533889024.0,5075613184.0,4649437184.0,4780346368.0,3576786176.0,1911649280.0,4522563072.0,4708411392.0,731323392.0,6276959232.0,4484504064.0,4964091392.0,894941.25,2966567.5,678135.875,506653056.0,573.7979125976562,3789.27880859375,3225.16552734375,4924765696.0,4558.52685546875,3157.40625,4462.2705078125,7897.78369140625,687.2305908203125,4037113856.0,3591016192.0,4653817856.0,3690.666015625,6077.60009765625,435.95947265625,13168.25390625,3143.013671875,6358170624.0,854410304.0,3581240320.0,11039,26.315019607543945,28.41025733947754,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11279666,24484,0,49.342369079589844,13,pre-baseline
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:06:25.581Z,E,2653.134521484375,3036.733154296875,352624352.0,3715.197265625,36412.07421875,2387575808.0,4898.72021484375,10073185.0,2879773184.0,10678.7421875,485.43402099609375,593652032.0,11589.2763671875,3844.85400390625,6467.044921875,2049597.0,1127705600.0,963303040.0,3876.5966796875,15561.4111328125,456.26953125,5246.76904296875,926.1677856445312,4924756992.0,1953739520.0,3788475648.0,3079372544.0,2877008640.0,2530798336.0,4997677056.0,4649982976.0,4757992960.0,3590903552.0,1923462528.0,4529278464.0,4708687872.0,729618624.0,6280445952.0,4477149184.0,4960043008.0,895581.5625,2987291.25,678032.5,506203296.0,573.4843139648438,3792.116455078125,3232.476318359375,4936711680.0,4558.3505859375,3156.704833984375,4475.5419921875,7897.9599609375,688.4016723632812,4037734144.0,3627760384.0,4670800384.0,3698.254638671875,6095.109375,435.8847961425781,13168.3857421875,3143.10888671875,6359193600.0,853668608.0,3572665600.0,11340,26.315019607543945,28.249082565307617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11279666,24484,0,49.342369079589844,13,pre-baseline
