component_sn,sn,d,t,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,event_name
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:09:22.469Z,E,2584.5966796875,2969.4208984375,351393248.0,3712.798583984375,36421.78125,2393146112.0,4865.42919921875,10707338.0,2882498816.0,10246.4892578125,481.74884033203125,583440064.0,11432.896484375,3731.179443359375,6378.13818359375,2149787.5,1139685504.0,969826816.0,3812.64306640625,15168.8203125,450.5691223144531,5165.6015625,913.9144287109375,4853643776.0,1946803072.0,3768276992.0,3050538240.0,2867636736.0,2522200576.0,5469767680.0,4640187904.0,4766530560.0,3460632576.0,1937985792.0,4472885248.0,4632265216.0,731954816.0,6253627904.0,4389964800.0,4962802176.0,852675.5625,3011721.75,656851.0,503858656.0,569.701416015625,3772.978759765625,3202.740478515625,4861376000.0,4507.5078125,3091.509521484375,4346.09814453125,7884.181640625,680.8207397460938,4139457024.0,3667948288.0,4728981504.0,3661.614990234375,6033.93115234375,428.1791687011719,13159.064453125,3137.652587890625,6362250752.0,848308288.0,3479582720.0,774,26.315019607543945,28.249082565307617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11450119,24484,0,48.96916580200195,13,pre-baseline
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:09:22.908Z,E,2599.27099609375,2973.952392578125,358291168.0,3711.986572265625,36683.21875,2550640384.0,4855.68115234375,11514975.0,2954988032.0,10380.33203125,482.81182861328125,593956160.0,11540.44140625,3757.831787109375,6348.13525390625,2147067.75,1132231552.0,965900928.0,3823.732666015625,15330.955078125,450.9304504394531,5159.09423828125,914.34912109375,4899499520.0,1959825152.0,3792253696.0,3053827584.0,2881523968.0,2529969152.0,4752010240.0,4638024192.0,4856101888.0,3376345856.0,1912482944.0,4410030592.0,4600096256.0,740169600.0,6239876608.0,4425340416.0,4947002368.0,854388.0,2965062.75,664397.375,504720384.0,569.552490234375,3770.136474609375,3184.49658203125,4901922816.0,4514.89697265625,3100.35791015625,4361.751953125,7884.37744140625,679.787841796875,4111259648.0,3729891328.0,4585996288.0,3668.434326171875,5995.5771484375,428.8937072753906,13159.2861328125,3137.91064453125,6360209920.0,840307904.0,3521103616.0,8600,26.395605087280273,28.32967185974121,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11455163,24484,0,49.69786834716797,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:09:23.207Z,E,2598.419677734375,2973.8203125,358871424.0,3711.595458984375,37198.93359375,2564672256.0,4859.19140625,11609261.0,2960415232.0,10386.1845703125,482.37841796875,592307840.0,11576.109375,3760.7509765625,6357.39794921875,2138980.75,1132265216.0,966524736.0,3829.39599609375,15171.7685546875,451.4071350097656,5163.7099609375,915.962158203125,4887731200.0,1957007232.0,3791163904.0,3057603840.0,2883308032.0,2528913920.0,4732388352.0,4637484032.0,4856997888.0,3349917696.0,1915742592.0,4403171840.0,4588131840.0,740687552.0,6242832896.0,4432775168.0,4951650304.0,850357.6875,2954065.0,665258.75,503334112.0,569.6417236328125,3761.5830078125,3188.71728515625,4903135744.0,4502.3076171875,3102.528076171875,4364.41845703125,7884.43310546875,680.223388671875,4106992384.0,3695564288.0,4577790976.0,3659.972900390625,5991.63818359375,428.84283447265625,13159.169921875,3137.91162109375,6363273728.0,840970368.0,3511258624.0,8901,26.4761905670166,28.32967185974121,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11455163,24484,0,49.69786834716797,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:09:23.508Z,E,2599.74267578125,2975.43017578125,358405952.0,3711.70751953125,37140.7109375,2538721280.0,4872.77783203125,11662568.0,2941584128.0,10391.80859375,482.61065673828125,590649536.0,11701.62109375,3761.561279296875,6372.220703125,2109041.75,1133844608.0,967908544.0,3812.081298828125,15220.9775390625,452.0143127441406,5156.1103515625,916.166259765625,4894667776.0,1962023040.0,3804830208.0,3067203328.0,2892269056.0,2530862080.0,4691673088.0,4633693696.0,4858788864.0,3358149632.0,1935890944.0,4403412480.0,4600069120.0,740722752.0,6246284288.0,4438980608.0,4956608000.0,850069.6875,2975888.5,664691.5,504374976.0,570.1834716796875,3779.217041015625,3192.008544921875,4910722560.0,4503.6533203125,3097.219970703125,4369.12109375,7884.2724609375,678.955322265625,4114896896.0,3672737024.0,4586265600.0,3655.46533203125,6019.380859375,428.65673828125,13159.591796875,3137.796630859375,6367880704.0,842129984.0,3506592512.0,9202,26.4761905670166,28.490842819213867,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11460166,24484,0,48.64987564086914,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:09:23.810Z,E,2603.44873046875,2981.1748046875,356620832.0,3711.942138671875,36952.625,2525864704.0,4834.8291015625,10226529.0,2907413760.0,10389.2744140625,482.1294860839844,589226368.0,11537.8115234375,3761.21435546875,6345.7900390625,2103767.0,1139458432.0,971706688.0,3813.1484375,15176.7490234375,451.1637268066406,5162.09130859375,916.0572509765625,4890738688.0,1960656128.0,3802272768.0,3064468992.0,2893219072.0,2530780416.0,4655752704.0,4631801344.0,4848394240.0,3395175168.0,1939751552.0,4407072256.0,4608606720.0,742085568.0,6250226688.0,4441961984.0,4962192896.0,851861.8125,2973645.25,664986.125,504720832.0,569.6497802734375,3773.027099609375,3192.326416015625,4918942208.0,4499.44677734375,3100.275634765625,4372.88232421875,7884.5947265625,679.7791137695312,4117683968.0,3712041728.0,4574362624.0,3659.687255859375,6033.05029296875,428.909423828125,13159.451171875,3137.893310546875,6361235968.0,846147584.0,3524712704.0,9503,26.315019607543945,28.249082565307617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11460166,24484,0,48.64987564086914,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:09:24.110Z,E,2600.072998046875,2976.703125,355801280.0,3713.295166015625,36724.66796875,2505777920.0,4858.01025390625,10411062.0,2912443136.0,10400.98828125,482.46343994140625,588951808.0,11582.982421875,3762.31396484375,6355.1611328125,2095265.5,1135339648.0,968505984.0,3828.297607421875,15202.2685546875,451.0492858886719,5174.2880859375,916.3189697265625,4878412288.0,1963681024.0,3801539072.0,3066606848.0,2896077056.0,2530373888.0,4620921856.0,4631259136.0,4853139456.0,3379658496.0,1923171968.0,4415648256.0,4619858944.0,742775936.0,6256639488.0,4380982272.0,4964983296.0,854994.5625,2966536.5,663650.5,504387904.0,569.9241333007812,3771.4296875,3187.8896484375,4923214848.0,4519.37548828125,3102.827880859375,4358.05029296875,7884.60009765625,680.3942260742188,4107195648.0,3713612544.0,4566458880.0,3655.128173828125,6060.1337890625,428.88385009765625,13159.7666015625,3137.698974609375,6355627520.0,845832576.0,3527702528.0,9804,26.315019607543945,28.32967185974121,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11460166,24484,0,48.64987564086914,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:09:24.413Z,E,2601.5185546875,2976.459228515625,355754688.0,3711.601806640625,36707.546875,2491426304.0,4853.2275390625,10503312.0,2924500224.0,10401.2314453125,481.9349670410156,590333760.0,11617.875,3763.18603515625,6388.93798828125,2080206.75,1134401280.0,967652480.0,3818.9658203125,15194.0830078125,451.263427734375,5178.44921875,917.0762939453125,4867344384.0,1963686272.0,3813822208.0,3066728192.0,2893113344.0,2531592704.0,4761697280.0,4628021760.0,4844258816.0,3445110784.0,1918862976.0,4435126272.0,4626602496.0,744486848.0,6290922496.0,4389495296.0,4958792192.0,850019.5625,2974971.0,664099.1875,505549440.0,569.7139892578125,3776.747314453125,3182.71240234375,4918638080.0,4516.5986328125,3102.114013671875,4366.08203125,7884.20849609375,679.8026123046875,4117246976.0,3723762176.0,4578849792.0,3654.942626953125,6051.404296875,428.9716796875,13159.58984375,3137.741455078125,6370439680.0,844876992.0,3491425792.0,10107,26.315019607543945,28.32967185974121,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11460166,24484,0,48.64987564086914,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:09:24.712Z,E,2596.339599609375,2976.614501953125,354612320.0,3711.14990234375,36466.45703125,2476231936.0,4867.4296875,10495242.0,2912329728.0,10402.087890625,481.9561767578125,588560384.0,11520.6982421875,3762.522705078125,6387.62158203125,2067481.125,1133595776.0,967845184.0,3825.43505859375,15297.8642578125,451.5472717285156,5160.80322265625,916.400390625,4856918528.0,1968195328.0,3827463168.0,3070535936.0,2899898368.0,2537217280.0,4895194624.0,4623979520.0,4840425472.0,3458817024.0,1919794176.0,4453791744.0,4618540544.0,745708608.0,6323548160.0,4393398272.0,4949213696.0,852973.875,2993151.25,664696.4375,508072544.0,570.3078002929688,3761.75244140625,3171.199951171875,4902539776.0,4489.625,3100.0576171875,4361.32275390625,7884.23876953125,680.3934936523438,4130156800.0,3730260736.0,4584678400.0,3652.913330078125,6055.1123046875,428.8839111328125,13159.3583984375,3137.87158203125,6385323008.0,843478912.0,3447596544.0,10406,26.55677604675293,28.249082565307617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11460166,24484,0,48.64987564086914,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:09:25.018Z,E,2599.367431640625,2979.228759765625,353477120.0,3712.115234375,36659.18359375,2442746112.0,4851.6513671875,10552858.0,2920078848.0,10379.615234375,482.16033935546875,590815936.0,11651.537109375,3763.24462890625,6379.4521484375,2062361.875,1138345984.0,971026432.0,3821.94482421875,15251.814453125,451.38153076171875,5176.74462890625,917.0711059570312,4847427584.0,1967601920.0,3829874688.0,3072677120.0,2904258304.0,2535010560.0,4921102848.0,4624517632.0,4835123200.0,3434655744.0,1925473792.0,4462815744.0,4616682496.0,745707648.0,6351433216.0,4397554176.0,4944291328.0,847927.0,3007386.25,664615.125,510555808.0,569.5667114257812,3764.013916015625,3194.081298828125,4899513344.0,4511.1064453125,3105.690673828125,4363.6953125,7884.08984375,680.0359497070312,4132978176.0,3731148800.0,4592115712.0,3650.404296875,6040.26611328125,428.8950500488281,13158.0771484375,3137.9130859375,6399240192.0,846993088.0,3443541248.0,10707,26.4761905670166,28.32967185974121,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11460166,24484,0,48.64987564086914,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:09:25.316Z,E,2600.779541015625,2979.532958984375,353709152.0,3712.448974609375,36667.859375,2460984832.0,4852.47216796875,10716767.0,2944328192.0,10387.712890625,482.2884521484375,593757952.0,11636.27734375,3762.282958984375,6380.90478515625,2071147.75,1136794496.0,969603776.0,3830.63037109375,15336.7451171875,451.7789611816406,5160.37646484375,915.3307495117188,4843882496.0,1969174784.0,3836922624.0,3075899904.0,2903829248.0,2534193920.0,5047642112.0,4622088192.0,4831002112.0,3497162240.0,1925195904.0,4483472896.0,4626633216.0,748921536.0,6376475648.0,4400489984.0,4936912896.0,845239.5625,3013820.0,665003.125,509383936.0,569.1300048828125,3780.321533203125,3192.105224609375,4893170688.0,4498.8388671875,3109.328125,4355.77783203125,7884.04052734375,678.7474975585938,4161272064.0,3722185984.0,4605181952.0,3651.4443359375,6054.06689453125,429.009765625,13158.21484375,3137.876953125,6409589760.0,850893568.0,3474555136.0,11010,26.4761905670166,28.249082565307617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11460166,24484,0,48.64987564086914,13,AmbientSamplingRFC
