component_sn,sn,d,t,SETP0,FLW0,ANLT0,event_name
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:21.083Z,E,0,1.28,22450143,pre-baseline
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:22.096Z,E,1400,1394.8,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:23.103Z,E,1400,1398.8,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:24.110Z,E,1400,1398.72,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:25.118Z,E,1400,1399.4401,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:26.126Z,E,1400,1398.7999,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:27.133Z,E,1400,1399.04,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:28.141Z,E,1400,1399.7599,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:29.148Z,E,1400,1400.7198,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:30.155Z,E,1400,1399.7599,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:31.163Z,E,1400,1400.0,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:32.170Z,E,1400,1399.92,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:33.177Z,E,1400,1399.0399,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:34.185Z,E,1400,1399.52,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:35.192Z,E,1400,1400.7999,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:36.200Z,E,1400,1401.36,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:37.207Z,E,1400,1399.92,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:38.215Z,E,1400,1399.8398,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:39.222Z,E,1400,1399.6799,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:40.230Z,E,1400,1400.1599,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:41.237Z,E,1400,1400.64,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:42.245Z,E,1400,1400.8,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:43.252Z,E,1400,1399.6801,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:44.260Z,E,1400,1400.3999,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:45.267Z,E,1400,1400.0801,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:46.274Z,E,1400,1401.52,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:47.282Z,E,1400,1400.3201,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:48.289Z,E,1400,1399.28,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:49.297Z,E,1400,1398.88,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:50.305Z,E,1400,1400.1599,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:51.312Z,E,1400,1399.6799,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:52.319Z,E,1400,1400.0,22450143,AmbientSamplingRFC
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:53.327Z,E,1400,1398.3199,22450143,BreathSampleCollection
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:54.335Z,E,1400,1400.3199,22450143,BreathSampleCollection
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:55.342Z,E,1400,1399.8398,22450143,BreathSampleCollection
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:56.349Z,E,1400,1399.5999,22450143,BreathSampleCollection
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:57.357Z,E,1400,1400.4001,22450143,BreathSampleCollection
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:58.364Z,E,1400,1400.72,22450143,BreathSampleCollection
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:15:59.371Z,E,1400,1399.12,22450143,BreathSampleCollection
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:00.379Z,E,1400,1399.6001,22450143,BreathSampleCollection
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:01.387Z,E,1400,1401.2,22450143,FeNOWindow
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:02.394Z,E,1400,1399.84,22450143,FeNOWindow
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:03.402Z,E,1400,1400.0,22450143,FeNOWindow
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:04.409Z,E,1400,1400.3201,22450143,FeNOWindow
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:05.416Z,E,1400,1399.2802,22450143,FeNOWindow
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:06.424Z,E,1400,1400.8,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:07.431Z,E,1400,1399.84,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:08.439Z,E,1400,1399.0399,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:09.446Z,E,1400,1399.28,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:10.454Z,E,1400,1399.6799,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:11.461Z,E,1400,1401.6798,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:12.468Z,E,1400,1399.36,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:13.476Z,E,1400,1399.5199,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:14.483Z,E,1400,1400.3199,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:15.491Z,E,1400,1400.8,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:16.498Z,E,1400,1401.1199,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:17.506Z,E,1400,1399.92,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:18.513Z,E,1400,1399.4398,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:19.521Z,E,1400,1400.2399,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:20.528Z,E,1400,1400.8799,22450143,FeNOMeasurement
0000000027-4324-mfc-nz,0000000009-4324-oms-nz,2026-03-23T23:16:21.536Z,E,1400,1401.5199,22450143,FeNOMeasurement
