component_sn,sn,d,t,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,event_name
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:18:21.251Z,E,2525.003173828125,2894.431884765625,348294176.0,3700.76123046875,36630.625,2270572544.0,4766.55810546875,9316474.0,2943002112.0,9994.9375,474.23663330078125,593184576.0,11218.060546875,3632.195556640625,6314.8466796875,2148523.75,1152184832.0,989508672.0,3781.997802734375,14970.7373046875,442.0683288574219,5020.115234375,888.189208984375,4919540736.0,1939947776.0,3775294464.0,3034726144.0,2834863104.0,2507593216.0,5058441216.0,4640181248.0,4723679744.0,3469424128.0,1895592960.0,4526925312.0,4691957760.0,737500032.0,6263048704.0,4496983552.0,4953213440.0,869579.375,2798173.25,649903.0,494566464.0,559.2642211914062,3712.677734375,3170.505126953125,4938228736.0,4418.40869140625,3048.415283203125,4241.0224609375,7849.193359375,665.2924194335938,4031373568.0,3633245184.0,4619095552.0,3567.64111328125,5955.31103515625,415.06060791015625,13121.1171875,3128.025146484375,6368392192.0,849928832.0,3546523392.0,774,26.395605087280273,28.41025733947754,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11986945,24484,0,48.573822021484375,13,pre-baseline
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:18:21.786Z,E,2536.967041015625,2901.498291015625,347192672.0,3699.47314453125,37026.6796875,2283422464.0,4786.56005859375,8586400.0,3034237440.0,10087.55078125,475.17083740234375,584333632.0,11238.7578125,3654.779541015625,6306.3017578125,2152123.25,1132843904.0,968152640.0,3781.911376953125,14902.384765625,442.6622009277344,5020.39501953125,890.3802490234375,4906758656.0,1951954816.0,3778359808.0,3029171968.0,2872940032.0,2504482048.0,5355363840.0,4632898560.0,4827149824.0,3408920064.0,1909346944.0,4444088832.0,4681995264.0,736350464.0,6248737280.0,4414508032.0,4950418432.0,872615.3125,2924786.0,654549.25,495613824.0,559.2171630859375,3715.314453125,3161.95703125,4909195776.0,4422.1806640625,3048.435546875,4268.92431640625,7849.32373046875,663.4462890625,4077327360.0,3724981504.0,4641028608.0,3580.048583984375,5990.05859375,415.5097961425781,13122.5361328125,3128.177001953125,6336837632.0,856350720.0,3492525824.0,8602,26.55677604675293,28.41025733947754,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11996993,24484,0,49.29244613647461,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:18:22.083Z,E,2538.84814453125,2906.1767578125,347261760.0,3699.8232421875,37236.12890625,2283823616.0,4773.08251953125,8720524.0,3007125504.0,10092.3017578125,475.2321472167969,584258368.0,11237.7060546875,3655.716552734375,6314.68994140625,2146784.5,1128072704.0,965203776.0,3779.78271484375,14916.306640625,442.0080871582031,5026.6572265625,889.0897216796875,4907970048.0,1952585600.0,3777812736.0,3031606784.0,2874506752.0,2503045120.0,5407704576.0,4633438720.0,4835680768.0,3422189824.0,1920521600.0,4450823168.0,4666594816.0,734991680.0,6249713152.0,4401981440.0,4953192448.0,872420.1875,2940789.75,655153.3125,496314400.0,558.7249145507812,3712.5791015625,3167.6015625,4910414336.0,4425.5966796875,3050.02294921875,4263.93212890625,7849.30126953125,664.5535888671875,4084279552.0,3685407488.0,4639403008.0,3572.98583984375,5991.478515625,415.7828063964844,13121.744140625,3128.007080078125,6332791296.0,860477376.0,3540362752.0,8901,26.4761905670166,28.490842819213867,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11996993,24484,0,49.29244613647461,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:18:22.385Z,E,2537.833984375,2896.973388671875,349836288.0,3700.007568359375,36734.68359375,2185572864.0,4777.27392578125,8773800.0,2986907648.0,10109.8896484375,474.9988098144531,584835200.0,11312.29296875,3656.98486328125,6309.392578125,2134224.5,1128266496.0,965249984.0,3787.527099609375,14896.818359375,442.4044494628906,5009.2392578125,889.311279296875,4907667968.0,1954377088.0,3785036544.0,3030447872.0,2874091520.0,2510144000.0,5454309888.0,4632357888.0,4843950080.0,3435990272.0,1933102976.0,4447332864.0,4656461312.0,733510656.0,6253657088.0,4400018944.0,4956588544.0,875517.625,2957142.5,655675.5625,497752352.0,559.6898803710938,3709.599609375,3163.64208984375,4917414400.0,4420.61328125,3058.26220703125,4264.08837890625,7849.49365234375,665.0894775390625,4084070656.0,3693664512.0,4647286784.0,3572.496826171875,6003.1376953125,415.91802978515625,13122.1103515625,3127.65234375,6325712384.0,859658432.0,3564133632.0,9202,26.4761905670166,28.41025733947754,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11996993,24484,0,49.29244613647461,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:18:22.685Z,E,2536.93994140625,2904.417236328125,348893024.0,3699.991455078125,37117.5078125,2180848384.0,4769.9970703125,7729267.5,2979262208.0,10110.19140625,475.0530700683594,585974336.0,11257.1279296875,3654.845703125,6310.57568359375,2128717.25,1127941504.0,965931520.0,3787.49853515625,14928.8212890625,442.9775085449219,5022.4609375,889.2611694335938,4909188608.0,1955687808.0,3786483712.0,3031956992.0,2873154304.0,2509265152.0,5493698048.0,4631276544.0,4845138432.0,3443752704.0,1969099904.0,4448077312.0,4661911552.0,733428352.0,6256116736.0,4338740736.0,4956588544.0,874249.9375,2972980.5,655960.6875,498727680.0,559.4805297851562,3721.138427734375,3161.12451171875,4880823808.0,4421.93798828125,3059.8427734375,4268.51220703125,7849.48828125,664.8011474609375,4078800640.0,3693146624.0,4627489792.0,3578.83251953125,6009.15087890625,415.60150146484375,13121.5498046875,3127.963623046875,6318649856.0,864182656.0,3607367680.0,9503,26.4761905670166,28.41025733947754,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11996993,24484,0,49.29244613647461,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:18:22.986Z,E,2538.7685546875,2905.0205078125,348945664.0,3700.2451171875,36701.4375,2225692672.0,4801.0419921875,6947038.0,2981402368.0,10121.1572265625,475.1522216796875,585248640.0,11268.1171875,3656.278076171875,6287.7939453125,2129994.75,1130956032.0,967212608.0,3781.1728515625,14925.2451171875,443.33966064453125,5026.05810546875,888.8106689453125,4897073152.0,1958846336.0,3801755136.0,3040928000.0,2886467584.0,2514389760.0,5434451968.0,4631002112.0,4841005568.0,3411986944.0,1960718848.0,4438372352.0,4656434688.0,732962048.0,6240329216.0,4304274432.0,4940845568.0,873465.3125,2974932.25,656511.25,500246240.0,559.021484375,3706.21826171875,3169.09912109375,4890446848.0,4424.0048828125,3055.111572265625,4275.474609375,7849.3349609375,663.8606567382812,4084913920.0,3650353920.0,4620483072.0,3583.7060546875,5999.3740234375,415.9488830566406,13120.61328125,3127.97314453125,6327232000.0,865851392.0,3621242624.0,9804,26.315019607543945,28.32967185974121,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11996993,24484,0,49.29244613647461,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:18:23.287Z,E,2539.496337890625,2903.135986328125,347193856.0,3699.890380859375,37357.61328125,2240390400.0,4771.22412109375,6261936.5,2970981632.0,10120.2060546875,475.2171936035156,584139328.0,11362.05078125,3656.54248046875,6271.92578125,2125975.0,1132137728.0,966722496.0,3782.428466796875,14851.0439453125,442.8047180175781,5039.419921875,888.13525390625,4882013184.0,1962551424.0,3813477376.0,3046433024.0,2889100032.0,2515355136.0,5525878784.0,4627761152.0,4835406336.0,3437324288.0,1940812544.0,4457306112.0,4657269760.0,734488832.0,6277415936.0,4312266240.0,4931951104.0,874738.4375,2963020.25,656628.0,498701696.0,558.9189453125,3715.220458984375,3167.161376953125,4882323968.0,4417.1953125,3057.1103515625,4269.779296875,7849.0625,664.4165649414062,4118571776.0,3670871040.0,4621835776.0,3578.493896484375,5992.00537109375,415.956298828125,13121.826171875,3127.984375,6342424064.0,869727488.0,3581086208.0,10106,26.637361526489258,28.41025733947754,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11996993,24484,0,49.29244613647461,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:18:23.589Z,E,2543.476318359375,2898.862060546875,348071008.0,3700.690673828125,37669.25390625,2271365632.0,4768.40478515625,6645715.0,2993700608.0,10123.40625,475.0263366699219,583563968.0,11264.16796875,3658.264892578125,6296.45361328125,2110478.0,1132369536.0,966736320.0,3775.966796875,14982.07421875,442.8982849121094,5033.0205078125,888.8318481445312,4874217984.0,1965343232.0,3817893888.0,3050074112.0,2891531264.0,2515996672.0,5471999488.0,4626411008.0,4830701568.0,3497001728.0,1945562112.0,4476912640.0,4658376704.0,734769600.0,6310921728.0,4324058112.0,4924309504.0,873444.5625,2968053.25,657331.1875,498073984.0,559.0703125,3712.992431640625,3167.658203125,4882929152.0,4399.28759765625,3054.85791015625,4263.00927734375,7849.3974609375,664.6444702148438,4140794624.0,3679918848.0,4621570560.0,3574.150390625,5978.361328125,415.9333801269531,13121.771484375,3127.954833984375,6357169664.0,867070592.0,3559165952.0,10406,26.55677604675293,28.41025733947754,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11996993,24484,0,49.29244613647461,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:18:23.892Z,E,2538.976318359375,2902.766357421875,348284288.0,3699.961669921875,37244.1953125,2293078272.0,4760.4375,6969519.5,2976349440.0,10111.609375,475.10980224609375,582354496.0,11311.95703125,3658.22607421875,6288.8076171875,2104693.25,1132186368.0,966423872.0,3786.177001953125,14976.974609375,443.22882080078125,5041.3515625,889.221435546875,4866447872.0,1962015104.0,3815136000.0,3047256576.0,2892589056.0,2523008768.0,5565095424.0,4624251904.0,4826886144.0,3481324800.0,1953232896.0,4488550912.0,4645580800.0,733327488.0,6344280576.0,4334951936.0,4924933632.0,872429.8125,2994580.25,657736.4375,498530624.0,559.1544799804688,3717.43701171875,3166.95458984375,4872742400.0,4404.873046875,3047.566162109375,4274.18603515625,7849.06396484375,664.5816040039062,4144932608.0,3664576512.0,4619959296.0,3572.575439453125,5987.818359375,416.0386047363281,13120.96484375,3128.173095703125,6360744448.0,867778560.0,3596708864.0,10707,26.395605087280273,28.490842819213867,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11996993,24484,0,49.29244613647461,13,AmbientSamplingRFC
0000000063-0926-asu-nz,0000000009-4324-oms-nz,2026-03-23T23:18:24.192Z,E,2536.8388671875,2898.395263671875,347277440.0,3700.296875,37292.73046875,2265615616.0,4776.37158203125,7182761.0,2973103616.0,10105.1796875,474.67071533203125,583369472.0,11371.9462890625,3656.77783203125,6293.78271484375,2105814.25,1134535168.0,967912128.0,3781.38232421875,14931.3603515625,442.70831298828125,5056.962890625,887.0936279296875,4856919040.0,1965191296.0,3836386816.0,3051599360.0,2892902912.0,2524704512.0,5513903104.0,4625869312.0,4824247296.0,3455029248.0,1958961536.0,4495680000.0,4652111872.0,733937472.0,6372340736.0,4349957632.0,4919748608.0,872657.9375,2986935.0,657687.8125,498610080.0,559.0256958007812,3716.456298828125,3171.7744140625,4869457920.0,4409.51416015625,3044.885009765625,4281.6435546875,7849.1005859375,664.7733764648438,4166792192.0,3681288704.0,4628588032.0,3578.5654296875,5961.49853515625,415.96942138671875,13121.7822265625,3127.884521484375,6370462720.0,868458304.0,3610985216.0,11010,26.4761905670166,28.490842819213867,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,False,UNKNOWN,0,0.0,0.0,0,11996993,24484,0,49.29244613647461,13,AmbientSamplingRFC
