A1-median,A1-peak2peak,A1-slope,A1-std,A4-median,A4-peak2peak,A4-slope,A4-std,B6-median,B6-peak2peak,B6-slope,B6-std,F5-median,F5-peak2peak,F5-slope,F5-std,G4-median,G4-peak2peak,G4-slope,G4-std,G5-median,G5-peak2peak,G5-slope,G5-std,H4-median,H4-peak2peak,H4-slope,H4-std,H5-median,H5-peak2peak,H5-slope,H5-std,normalized_A1-median,normalized_A1-peak2peak,normalized_A1-slope,normalized_A1-std,normalized_A4-median,normalized_A4-peak2peak,normalized_A4-slope,normalized_A4-std,normalized_B6-median,normalized_B6-peak2peak,normalized_B6-slope,normalized_B6-std,normalized_F5-median,normalized_F5-peak2peak,normalized_F5-slope,normalized_F5-std,normalized_G4-median,normalized_G4-peak2peak,normalized_G4-slope,normalized_G4-std,normalized_G5-median,normalized_G5-peak2peak,normalized_G5-slope,normalized_G5-std,normalized_H4-median,normalized_H4-peak2peak,normalized_H4-slope,normalized_H4-std,normalized_H5-median,normalized_H5-peak2peak,normalized_H5-slope,normalized_H5-std,group,trial_num,payloadCreateAt
4012.07,10.25,-0.291,0.41,3735.76,6.24,-0.167,0.3,6809.44,16.89,0.451,0.99,600.12,1.27,0.022,0.11,8004.47,14.05,-0.376,0.09,790.3,1.34,-0.036,0.13,13255.95,7.03,-0.168,0.29,3223.11,1.5,-0.043,0.03,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,concentration_value_20ppb,1,2026-03-24 16:30:53
3986.23,14.87,-0.333,0.95,3732.51,3.21,-0.089,0.34,6763.55,7.24,-0.126,0.51,599.9,0.87,-0.006,0.17,7996.36,3.0,-0.1,0.06,790.46,1.97,-0.036,0.34,13250.99,1.41,-0.018,0.09,3220.98,0.27,-0.002,0.02,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,concentration_value_10ppb,2,2026-03-24 16:33:56
3989.1,10.88,-0.182,1.53,3729.77,2.61,-0.042,0.14,6757.67,5.86,-0.078,0.6,599.22,0.66,0.0,0.15,7991.46,1.88,-0.051,0.05,790.99,1.17,-0.016,0.24,13246.29,0.76,0.004,0.18,3219.36,0.32,0.006,0.06,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,concentration_value_0ppb,3,2026-03-24 16:36:54
4014.19,18.23,-0.099,3.61,3729.01,2.43,-0.07,0.15,6785.82,10.38,-0.27,1.43,599.95,0.71,-0.006,0.19,7987.45,2.55,-0.081,0.04,791.9,1.32,0.025,0.19,13242.19,1.83,-0.044,0.12,3218.01,0.54,-0.015,0.05,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,concentration_value_75ppb,4,2026-03-24 16:39:52
3810.59,24.31,-0.483,1.87,3726.89,1.98,-0.036,0.18,6505.24,5.04,-0.111,0.31,598.13,0.75,-0.012,0.15,7982.97,2.08,-0.049,0.11,788.11,0.97,-0.013,0.16,13239.72,1.77,0.022,0.28,3214.43,1.32,-0.027,0.25,0.0,0.01,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,concentration_value_5ppb,5,2026-03-24 16:42:53
3836.64,19.06,-0.493,0.53,3726.08,2.44,-0.058,0.24,6538.46,4.28,-0.093,0.43,597.39,1.19,-0.011,0.25,7980.35,2.59,-0.068,0.11,786.08,2.34,-0.077,0.1,13236.39,2.62,-0.007,0.38,3214.66,0.46,-0.011,0.06,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,concentration_value_100ppb,6,2026-03-24 16:45:53
3646.62,15.97,-0.385,1.84,3722.91,3.66,-0.084,0.32,6195.7,8.74,-0.012,0.35,594.64,0.98,0.024,0.28,7974.83,2.64,-0.063,0.02,781.7,2.4,-0.042,0.2,13231.91,2.69,-0.044,0.17,3210.49,0.74,-0.012,0.06,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,concentration_value_50ppb,7,2026-03-24 16:48:53
3830.95,9.25,0.038,1.47,3727.13,1.16,0.001,0.13,6455.25,18.46,0.671,0.56,593.89,1.17,-0.001,0.19,7985.4,0.85,-0.009,0.07,781.04,2.16,0.046,0.24,13233.27,2.1,-0.05,0.18,3212.77,0.38,0.005,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,concentration_value_20ppb,8,2026-03-24 16:57:53
3786.33,16.05,-0.422,1.96,3722.48,1.27,-0.013,0.1,6422.5,7.44,-0.115,1.25,593.59,0.91,0.017,0.19,7973.37,2.8,-0.068,0.09,779.29,1.18,-0.001,0.25,13225.72,1.78,-0.023,0.39,3210.08,0.76,-0.016,0.12,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,concentration_value_75ppb,9,2026-03-24 17:00:53
3627.77,16.32,-0.057,2.08,3720.97,1.74,0.001,0.23,6174.76,7.38,-0.005,2.04,590.4,1.19,0.009,0.08,7967.79,2.2,-0.056,0.09,774.38,2.19,-0.029,0.57,13221.61,1.43,-0.03,0.25,3207.08,0.37,-0.007,0.02,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,concentration_value_10ppb,10,2026-03-24 17:03:53
