time,event_name,normalized_A1_p_value,normalized_B6_p_value,normalized_A1_significant,normalized_B6_significant,normalized_A1_n1,normalized_B6_n1,normalized_A1_n2,normalized_B6_n2
34.613,BreathSampleCollection,0.10103484381937616,2.3621680326623375e-10,False,True,72,72,85,85
35.613,BreathSampleCollection,0.7051272710740697,1.221230448190166e-10,False,True,71,71,80,80
36.613,BreathSampleCollection,0.7696005079341386,4.961282244845166e-11,False,True,79,79,85,85
37.613,BreathSampleCollection,0.8690507327850255,4.813758153921111e-09,False,True,82,82,85,85
38.613,BreathSampleCollection,0.6585369284881004,6.673260868002209e-05,False,True,80,80,80,80
39.613,FeNOWindow,0.10443540069189776,0.0923876306120624,False,False,85,85,85,85
40.613,FeNOWindow,0.015454185543933775,0.7270493456938758,True,False,85,85,85,85
41.613,FeNOWindow,0.0011941198198088777,0.004693439013933537,True,True,80,80,80,80
42.613,FeNOWindow,3.2620385540106496e-05,7.949220627633346e-07,True,True,85,85,85,85
43.613,FeNOWindow,1.945863916869711e-06,6.613719116340621e-11,True,True,85,85,85,85
44.613,FeNOMeasurement,6.008178600148992e-07,1.6289238848896186e-15,True,True,80,80,80,80
45.613,FeNOMeasurement,1.7279658905786784e-07,1.366765581949048e-20,True,True,85,85,85,85
46.613,FeNOMeasurement,7.48343279202607e-08,1.8800916529012975e-23,True,True,85,85,85,85
47.613,FeNOMeasurement,1.3087679190620638e-07,2.570964330382277e-25,True,True,80,80,80,80
48.613,FeNOMeasurement,7.417222107631642e-09,2.481556988452386e-27,True,True,85,85,85,85
49.613,FeNOMeasurement,1.0839109844196767e-09,2.3535365844394223e-26,True,True,81,81,81,81
50.613,FeNOMeasurement,2.388740272818872e-09,6.532214318913366e-21,True,True,64,64,64,64
51.613,FeNOMeasurement,4.702569426004179e-09,1.2404641819335674e-17,True,True,53,53,53,53
52.613,FeNOMeasurement,3.6136204021653893e-08,4.384548882782853e-14,True,True,41,41,41,41
53.613,FeNOMeasurement,1.2421717561895602e-06,1.153916809411498e-08,True,True,22,22,24,24
54.613,,1.5758642029322092e-05,1.5758642029322092e-05,True,True,11,11,16,16
