component_sn,sn,d,t,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,event_name,payloadCreateAt
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:27:22.629Z,E,247.2862548828125,608.0958251953125,7201.2119140625,9488.376953125,5138.08984375,5986.34130859375,8424.90234375,7625.8349609375,3210.325927734375,482.2281494140625,939.121826171875,1353.177734375,6946.60107421875,12794.3388671875,10409.1455078125,5908.12451171875,326.0579833984375,2525.7490234375,966.938720703125,3138.01025390625,723776.9375,120735.5234375,25621.521484375,21679.8984375,193.56593322753903,568.0043334960938,1918.48974609375,1864.6787109375,3363.787353515625,890.1102294921875,344.40576171875,677.4742431640625,420.5937194824219,380.5242614746094,439.8289794921875,255.6137237548828,2456.9384765625,1906.1663818359373,891.7941284179688,1260.4893798828125,2688.67138671875,1074.0582275390625,36342.59765625,8140.1669921875,1263.5419921875,1413.7822265625,1020.4655151367188,4092.45263671875,74572.9921875,84535.53125,72143.25,69939.0078125,1066.93701171875,741.3087158203125,183221648.0,1122.275634765625,21253.361328125,21056.875,19271.265625,18485.59765625,8480.6416015625,8136.10791015625,7704.72607421875,6939.45068359375,9552,27.765565872192383,29.13553237915039,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.48902702331543,24.91301918029785,1025.7198486328125,321176.1875,5.265132904052734,0,5983370,True,BME690,13585,0.0,0.0,0,5980236,24484,0,29.894018173217773,13,AmbientSamplingRFC,2026-03-18 15:27:22.629000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:27:22.931Z,E,247.30892944335935,608.0532836914062,7205.0673828125,9490.4443359375,5137.99169921875,5985.21728515625,8424.5751953125,7626.0732421875,3206.483154296875,481.9932556152344,938.2517700195312,1350.5450439453125,6933.17333984375,12773.03125,10405.90625,5931.455078125,325.6252136230469,2528.026611328125,966.0061645507812,3132.1171875,723914.6875,120756.8515625,25624.044921875,21674.763671875,193.5550079345703,568.5064086914062,1918.2392578125,1861.65283203125,3372.794921875,889.8673706054688,344.3572998046875,677.8744506835938,420.6692810058594,380.5368347167969,439.9195556640625,255.6109619140625,2457.79931640625,1905.8897705078125,891.7826538085938,1260.800537109375,2685.67529296875,1072.9755859375,36352.62890625,8138.54296875,1262.9390869140625,1411.8453369140625,1022.4575805664062,4087.64990234375,74562.4296875,84531.5859375,72141.09375,69925.2890625,1066.8109130859375,742.1522827148438,182976272.0,1121.94482421875,21253.560546875,21055.74609375,19268.466796875,18496.46875,8481.453125,8136.232421875,7703.3974609375,6939.462890625,9853,27.68498039245605,29.0549430847168,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.48902702331543,24.92506599426269,1025.7198486328125,320940.25,5.267679214477539,0,5983810,True,BME690,13586,0.0,0.0,0,5980236,24484,0,29.894018173217773,13,AmbientSamplingRFC,2026-03-18 15:27:22.931000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:27:23.232Z,E,247.29949951171875,608.108154296875,7206.451171875,9490.115234375,5138.42333984375,5986.9931640625,8425.271484375,7625.9970703125,3212.924560546875,482.2037048339844,937.5928955078124,1352.67724609375,6926.41552734375,12869.7275390625,10421.2294921875,5923.67236328125,325.7900085449219,2532.541259765625,966.5598754882812,3124.794921875,723818.9375,120812.8203125,25634.244140625,21675.66796875,193.5829925537109,567.995849609375,1913.7572021484373,1862.4742431640625,3363.53271484375,889.5591430664062,344.3878173828125,677.97998046875,420.6239318847656,380.5435485839844,440.048095703125,255.60499572753903,2457.3623046875,1906.0362548828125,891.8265380859375,1260.7188720703125,2690.392822265625,1073.368408203125,36365.99609375,8137.75830078125,1263.5576171875,1416.747314453125,1022.0530395507812,4097.51708984375,74568.9296875,84546.9921875,72149.6875,69920.046875,1067.2861328125,742.8062133789062,182708096.0,1121.7833251953125,21254.26171875,21055.41796875,19286.447265625,18491.185546875,8481.4033203125,8136.0615234375,7704.56396484375,6938.83251953125,10154,27.68498039245605,29.0549430847168,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.48902702331543,24.92506599426269,1025.7198486328125,320940.25,5.267679214477539,0,5983810,True,BME690,13586,0.0,0.0,0,5980236,24484,0,29.894018173217773,13,AmbientSamplingRFC,2026-03-18 15:27:23.232000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:27:23.533Z,E,247.16598510742188,607.6480102539062,7204.30419921875,9491.25390625,5137.86962890625,5985.455078125,8426.4814453125,7624.7958984375,3212.541259765625,482.7397766113281,938.3239135742188,1350.6578369140625,6951.89306640625,12797.3330078125,10397.16015625,5898.7939453125,325.7972106933594,2530.8662109375,965.5626831054688,3133.46923828125,723833.8125,120811.703125,25621.021484375,21679.8984375,193.66363525390625,567.7657470703125,1913.4281005859373,1864.442626953125,3372.474853515625,890.0341186523438,344.5046081542969,677.6533813476562,420.62060546875,380.5643310546875,440.0050354003906,255.6013641357422,2457.122314453125,1906.4149169921875,892.083251953125,1261.0653076171875,2681.08349609375,1073.6087646484375,36354.82421875,8139.9912109375,1262.880615234375,1417.259033203125,1022.324462890625,4094.585693359375,74583.6640625,84542.28125,72159.4375,69921.4296875,1066.907958984375,742.8009643554688,182558800.0,1121.822509765625,21255.15234375,21056.490234375,19264.46484375,18487.951171875,8481.6689453125,8136.115234375,7703.74365234375,6940.1572265625,10456,27.84615135192871,29.21611785888672,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.48902702331543,24.92506599426269,1025.71826171875,320000.0,5.267679214477539,0,5984250,True,BME690,13587,0.0,0.0,0,5980236,24484,0,29.894018173217773,13,AmbientSamplingRFC,2026-03-18 15:27:23.533000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:27:23.833Z,E,247.1401214599609,608.9226684570312,7198.56689453125,9490.97265625,5138.41162109375,5986.220703125,8425.7685546875,7627.26611328125,3208.985595703125,482.1788940429688,938.0750122070312,1351.327392578125,6896.34521484375,12868.7265625,10431.0634765625,5896.623046875,326.07977294921875,2525.29833984375,966.2662353515624,3130.48291015625,723605.5,120804.296875,25621.6171875,21681.759765625,193.54202270507807,568.281494140625,1914.72802734375,1863.1724853515625,3385.7861328125,890.447998046875,344.53076171875,677.4501953125,420.7022399902344,380.6205139160156,440.0087585449219,255.5961151123047,2457.05029296875,1906.046142578125,891.8876953125,1261.0330810546875,2689.08935546875,1073.695556640625,36321.171875,8141.22509765625,1263.117431640625,1416.4830322265625,1021.42578125,4092.548583984375,74574.9453125,84543.28125,72165.7421875,69939.7578125,1069.655517578125,743.3861694335938,182480976.0,1121.9927978515625,21255.58203125,21058.265625,19274.794921875,18483.240234375,8482.2216796875,8135.78857421875,7703.95458984375,6939.21142578125,10756,27.68498039245605,29.0549430847168,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.48902702331543,24.93108940124512,1025.71826171875,319765.8125,5.2689528465271,0,5984690,True,BME690,13588,0.0,0.0,0,5980236,24484,0,29.894018173217773,13,AmbientSamplingRFC,2026-03-18 15:27:23.833000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:27:24.135Z,E,247.1534881591797,607.767578125,7205.4638671875,9490.8759765625,5138.32080078125,5986.3369140625,8426.9326171875,7626.59033203125,3210.301025390625,482.5708618164063,937.7269287109376,1352.8265380859375,6929.513671875,12827.0458984375,10431.2529296875,5911.859375,325.6602478027344,2531.415771484375,966.1649169921876,3142.255126953125,723575.5625,120804.5625,25624.796875,21676.484375,193.575439453125,567.7440185546875,1911.4510498046875,1864.8912353515625,3374.79443359375,890.2561645507812,344.4182434082031,677.5368041992188,420.6883544921875,380.57373046875,439.9668273925781,255.62049865722656,2457.47802734375,1906.3050537109373,892.0950927734375,1260.88623046875,2696.6884765625,1073.7855224609375,36326.640625,8140.09765625,1262.400634765625,1415.7066650390625,1021.3226928710938,4088.747314453125,74588.0234375,84555.171875,72163.203125,69939.2109375,1068.5943603515625,742.6134643554688,182352272.0,1122.723388671875,21255.568359375,21048.36328125,19269.826171875,18479.486328125,8482.9130859375,8135.94921875,7704.46435546875,6939.49658203125,11057,27.68498039245605,28.97435760498047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.48902702331543,24.93108940124512,1025.71826171875,319765.8125,5.2689528465271,0,5984690,True,BME690,13588,0.0,0.0,0,5980236,24484,0,29.894018173217773,13,AmbientSamplingRFC,2026-03-18 15:27:24.135000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:27:24.436Z,E,247.12429809570312,608.091796875,7203.21826171875,9489.8017578125,5137.7421875,5985.50439453125,8425.1796875,7626.177734375,3205.6796875,482.4009399414063,937.6657104492188,1350.33935546875,6965.62109375,12864.591796875,10432.86328125,5899.13330078125,325.46337890625,2525.630859375,965.1160278320312,3122.8369140625,723185.5625,120720.0625,25609.49609375,21661.583984375,193.54388427734372,567.6710205078125,1910.2667236328125,1864.0601806640625,3367.3173828125,890.0181884765625,344.3431091308594,677.562744140625,420.6721496582031,380.6000671386719,439.7893371582031,255.59898376464844,2457.013671875,1905.816650390625,892.0484619140625,1260.8687744140625,2687.483154296875,1073.92822265625,36354.5234375,8139.7861328125,1263.1011962890625,1415.5277099609375,1023.419677734375,4084.259033203125,74587.4375,84573.9375,72169.828125,69939.515625,1069.3701171875,742.1243896484375,182100176.0,1121.6611328125,21256.740234375,21055.1953125,19269.34765625,18487.7890625,8482.9580078125,8136.56201171875,7705.27978515625,6939.619140625,11358,27.68498039245605,29.0549430847168,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.48902702331543,24.93108940124512,1025.6539306640625,320704.6875,5.2689528465271,0,5985130,True,BME690,13589,0.0,0.0,0,5985250,24484,0,29.07776260375977,13,AmbientSamplingRFC,2026-03-18 15:27:24.436000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:27:24.738Z,E,247.16534423828125,607.81787109375,7201.17138671875,9489.451171875,5137.4833984375,5984.36279296875,8423.1474609375,7624.89208984375,3206.55029296875,482.3804321289063,937.6077270507812,1354.3011474609375,6945.5791015625,12728.0556640625,10403.4677734375,5905.9853515625,325.67510986328125,2525.130126953125,965.68408203125,3119.99560546875,722769.25,120638.5,25612.109375,21675.181640625,193.6307373046875,568.3297119140625,1910.6669921875,1861.6119384765625,3385.164794921875,889.6054077148438,344.241455078125,677.371337890625,420.5567321777344,380.5167541503906,439.9483337402344,255.62765502929688,2456.525634765625,1905.3802490234373,891.8047485351562,1260.8660888671875,2689.468505859375,1074.5731201171875,36347.5234375,8140.55810546875,1263.021484375,1416.877197265625,1021.79296875,4083.70556640625,74572.2109375,84569.6640625,72170.53125,69951.734375,1068.603515625,741.4168090820312,181932960.0,1122.0958251953125,21255.32421875,21058.287109375,19263.419921875,18483.0,8483.4697265625,8136.15283203125,7705.5498046875,6939.837890625,11659,27.68498039245605,29.0549430847168,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.489694595336918,24.93708610534668,1025.5994873046875,320469.4375,5.270419120788574,0,5985570,True,BME690,13590,0.0,0.0,0,5985250,24484,0,29.07776260375977,13,AmbientSamplingRFC,2026-03-18 15:27:24.738000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:27:25.037Z,E,247.2200469970703,607.8733520507812,7200.68212890625,9488.4697265625,5136.64111328125,5984.77587890625,8422.876953125,7624.47705078125,3207.462646484375,482.5337219238281,937.5005493164062,1348.900634765625,6933.9306640625,12778.861328125,10418.1865234375,5923.322265625,325.7450866699219,2523.571533203125,965.4894409179688,3143.572998046875,722807.4375,120580.015625,25617.44140625,21674.697265625,193.5919952392578,567.4059448242188,1904.8309326171875,1861.7127685546875,3385.448974609375,889.2866821289062,344.3024597167969,677.224853515625,420.54736328125,380.49658203125,439.74749755859375,255.59646606445312,2455.647705078125,1904.8665771484373,891.7216186523438,1260.747802734375,2691.7919921875,1073.4183349609375,36344.93359375,8138.736328125,1262.5308837890625,1416.2957763671875,1020.9642333984376,4089.44873046875,74538.15625,84551.828125,72151.703125,69933.125,1067.5010986328125,740.8123168945312,181881696.0,1121.8511962890625,21251.75390625,21049.98046875,19265.2109375,18482.0625,8480.5185546875,8134.95263671875,7704.63818359375,6939.5087890625,11961,27.765565872192383,29.13553237915039,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.489694595336918,24.93708610534668,1025.5994873046875,320469.4375,5.270419120788574,0,5985570,True,BME690,13590,0.0,0.0,0,5985250,24484,0,29.07776260375977,13,AmbientSamplingRFC,2026-03-18 15:27:25.037000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:27:25.339Z,E,247.2623291015625,607.5296630859375,7200.90673828125,9488.810546875,5136.498046875,5985.23876953125,8420.5947265625,7623.90234375,3205.583984375,482.17669677734375,938.0943603515624,1350.0560302734375,6905.3212890625,12783.2470703125,10431.2373046875,5903.55517578125,325.5953674316406,2525.802734375,965.9899291992188,3137.108642578125,722720.0,120547.2578125,25598.216796875,21672.783203125,193.60304260253903,568.0810546875,1909.989013671875,1860.2598876953125,3369.423095703125,889.4838256835938,344.2640686035156,677.334228515625,420.5084228515625,380.4708557128906,439.9272766113281,255.6067352294922,2454.60498046875,1904.2861328125,891.8145141601562,1260.435546875,2681.275390625,1073.7796630859375,36339.40625,8140.697265625,1262.9896240234375,1416.0758056640625,1021.9467163085938,4092.57080078125,74498.53125,84494.46875,72130.015625,69906.7265625,1067.84765625,741.0444946289062,181645904.0,1121.1591796875,21251.232421875,21042.9453125,19264.150390625,18483.251953125,8478.935546875,8134.5908203125,7703.63232421875,6938.3662109375,12261,27.765565872192383,29.0549430847168,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,23.48936080932617,24.931076049804688,1025.54931640625,320940.25,5.269049167633057,0,5986011,True,BME690,13591,0.0,0.0,0,5985250,24484,0,29.07776260375977,13,AmbientSamplingRFC,2026-03-18 15:27:25.339000+00:00
