component_sn,sn,d,t,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,event_name,payloadCreateAt
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:20:52.730Z,E,216.9326171875,524.0905151367188,7150.298828125,9410.46875,5105.69580078125,5944.2392578125,8309.3955078125,7542.4580078125,2811.0146484375,436.1012878417969,864.3634643554688,1252.6939697265625,6316.42529296875,11899.810546875,9819.8564453125,5039.76171875,301.6260986328125,2441.873046875,891.2813720703125,2836.5751953125,712977.3125,119910.34375,25442.5859375,21548.85546875,178.20262145996094,535.7625732421875,1822.6927490234373,1781.9735107421875,3063.69189453125,750.8031005859375,302.6199035644531,584.0626220703125,418.1383056640625,378.5010070800781,438.0976257324219,254.71926879882807,2433.862060546875,1889.798095703125,888.0055541992188,1252.8709716796875,2438.200927734375,983.2823486328124,36181.94921875,8116.43115234375,1140.521484375,1263.61181640625,943.9231567382812,3975.76171875,74114.21875,84132.421875,71914.2890625,69626.140625,1017.9996337890624,722.0120849609375,179000784.0,1078.07275390625,21148.490234375,20937.58984375,19162.302734375,18393.5859375,8432.1376953125,8082.28271484375,7642.9150390625,6878.572265625,9703,28.249082565307617,29.457874298095703,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.226964950561523,24.021730422973636,1025.5682373046875,365816.375,5.293763160705566,0,9192939,True,BME690,20873,0.0,0.0,0,9190364,24484,0,29.657644271850582,13,AmbientSamplingRFC,2026-03-18 16:20:52.730000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:20:53.028Z,E,217.0378570556641,523.7221069335938,7147.8486328125,9410.056640625,5105.49169921875,5945.03955078125,8310.9775390625,7541.44140625,2811.5380859375,435.642333984375,863.1702270507812,1250.7890625,6357.748046875,11873.5615234375,9840.6416015625,5046.52001953125,301.8091125488281,2435.85107421875,891.9026489257812,2853.52978515625,713437.4375,119876.578125,25440.65625,21544.759765625,178.16452026367188,535.8289794921875,1824.741455078125,1780.8006591796875,3063.719482421875,751.12744140625,302.67724609375,584.5868530273438,418.17486572265625,378.5310363769531,438.1032409667969,254.73309326171875,2433.517333984375,1889.634765625,888.2034301757812,1253.284912109375,2436.535888671875,984.3128051757812,36195.08984375,8116.56884765625,1140.7237548828125,1260.8101806640625,945.0746459960938,3978.314208984375,74111.2109375,84129.7890625,71915.921875,69617.90625,1017.0137329101562,721.9487915039062,179112240.0,1078.691162109375,21149.4375,20940.5625,19167.748046875,18398.505859375,8432.615234375,8081.9970703125,7642.88671875,6879.56689453125,10004,28.16849708557129,29.538461685180664,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.22663116455078,24.02777862548828,1025.565673828125,365816.375,5.2949957847595215,0,9193379,True,BME690,20874,0.0,0.0,0,9190364,24484,0,29.657644271850582,13,AmbientSamplingRFC,2026-03-18 16:20:53.028000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:20:53.336Z,E,217.00250244140625,524.3198852539062,7147.86669921875,9409.4189453125,5105.75537109375,5947.240234375,8310.072265625,7542.1904296875,2808.88525390625,435.9043273925781,863.6785278320312,1252.942138671875,6365.55322265625,11905.923828125,9846.9052734375,5047.564453125,301.6188049316406,2442.686279296875,892.3076782226562,2844.85302734375,713656.375,119873.140625,25445.634765625,21540.740234375,178.1809844970703,535.2823486328125,1825.4501953125,1778.0274658203125,3066.851318359375,750.6088256835938,302.70733642578125,583.7464599609375,418.0948181152344,378.5408935546875,438.0376892089844,254.7084503173828,2433.544677734375,1889.2877197265625,888.1871948242188,1253.398681640625,2438.003662109375,984.3721313476562,36186.078125,8116.59765625,1139.3392333984375,1262.506103515625,942.9434814453124,3977.736328125,74110.8046875,84132.2734375,71940.265625,69613.046875,1015.9977416992188,721.441650390625,179007744.0,1078.879638671875,21148.591796875,20940.3984375,19158.3671875,18403.126953125,8433.3505859375,8082.140625,7642.408203125,6879.14306640625,10306,28.16849708557129,29.457874298095703,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.22663116455078,24.02777862548828,1025.565673828125,366429.96875,5.2949957847595215,0,9193820,True,BME690,20875,0.0,0.0,0,9190364,24484,0,29.657644271850582,13,AmbientSamplingRFC,2026-03-18 16:20:53.336000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:20:53.629Z,E,216.86215209960935,524.28515625,7149.2109375,9410.1220703125,5106.12109375,5944.62646484375,8310.03515625,7540.228515625,2808.13134765625,435.3424987792969,864.60888671875,1252.996826171875,6324.76611328125,11909.4775390625,9795.283203125,5043.69921875,301.779296875,2439.589111328125,891.3148193359375,2840.61181640625,713677.4375,119857.671875,25442.18359375,21547.046875,178.09970092773438,535.296142578125,1819.33447265625,1781.7200927734375,3057.836669921875,750.3714599609375,302.71728515625,583.4107055664062,418.15240478515625,378.5016479492188,438.1509399414063,254.74118041992188,2432.98193359375,1889.1368408203125,888.1222534179688,1253.322998046875,2439.37890625,983.8096313476562,36185.875,8115.07763671875,1140.4190673828125,1264.6416015625,944.0768432617188,3976.66552734375,74113.0859375,84119.9453125,71942.6171875,69615.609375,1017.7122802734376,722.2578125,179098592.0,1080.7437744140625,21149.056640625,20948.912109375,19158.55859375,18395.556640625,8433.1181640625,8082.21533203125,7642.98876953125,6878.85546875,10606,28.08791160583496,29.619047164916992,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.22663116455078,24.02777862548828,1025.565673828125,366429.96875,5.2949957847595215,0,9193820,True,BME690,20875,0.0,0.0,0,9190364,24484,0,29.657644271850582,13,AmbientSamplingRFC,2026-03-18 16:20:53.629000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:20:53.931Z,E,217.0081024169922,524.0160522460938,7150.06689453125,9409.25,5106.2685546875,5946.4736328125,8311.2578125,7541.1796875,2808.8583984375,435.3922729492188,863.8391723632812,1250.70751953125,6302.33056640625,11946.5634765625,9820.85546875,5042.65869140625,301.8349914550781,2439.853515625,892.123046875,2836.2900390625,713901.5625,119896.6171875,25431.546875,21544.267578125,178.0926971435547,534.7076416015625,1814.8392333984373,1776.942626953125,3070.313232421875,750.1939086914062,302.7731628417969,583.939208984375,418.2332153320313,378.5724487304688,438.101318359375,254.7110290527344,2433.33642578125,1889.5198974609373,888.1188354492188,1253.414794921875,2434.19921875,984.81494140625,36179.4375,8115.2265625,1140.1673583984375,1263.068115234375,944.5177612304688,3982.757080078125,74116.1796875,84117.625,71922.5859375,69608.8828125,1015.9476318359376,721.3989868164062,178902416.0,1080.6229248046875,21149.45703125,20950.4375,19159.029296875,18395.609375,8433.439453125,8082.0361328125,7643.06640625,6879.03173828125,10907,28.08791160583496,29.538461685180664,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.22629737854004,24.03382682800293,1025.563232421875,366122.90625,5.296228885650635,0,9194260,True,BME690,20876,0.0,0.0,0,9190364,24484,0,29.657644271850582,13,AmbientSamplingRFC,2026-03-18 16:20:53.931000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:20:54.232Z,E,216.97921752929688,524.7096557617188,7146.83349609375,9409.4384765625,5106.060546875,5946.67578125,8310.341796875,7541.2626953125,2809.63720703125,435.5949401855469,864.611328125,1253.239990234375,6284.86376953125,11946.6005859375,9792.744140625,5039.1533203125,301.68316650390625,2434.96826171875,891.9373168945312,2831.325927734375,713669.875,119903.21875,25437.560546875,21542.8359375,178.15792846679688,535.9876098632812,1818.1351318359373,1785.8677978515625,3051.86474609375,750.822265625,302.777099609375,583.5661010742188,418.18017578125,378.5691833496094,438.0489807128906,254.7465667724609,2434.171875,1889.302978515625,888.2334594726562,1253.447509765625,2433.292724609375,983.9179077148438,36174.62109375,8117.10888671875,1140.755126953125,1262.827392578125,943.3660888671876,3970.736083984375,74126.0078125,84130.3515625,71949.6171875,69609.984375,1015.6814575195312,720.6801147460938,179030000.0,1080.3680419921875,21148.755859375,20947.388671875,19158.79296875,18396.078125,8432.890625,8082.2158203125,7642.69482421875,6879.37451171875,11208,28.08791160583496,29.619047164916992,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.22629737854004,24.03382682800293,1025.563232421875,366737.5625,5.296228885650635,0,9194701,True,BME690,20877,0.0,0.0,0,9190364,24484,0,29.657644271850582,13,AmbientSamplingRFC,2026-03-18 16:20:54.232000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:20:54.533Z,E,216.8602294921875,524.4505615234375,7146.568359375,9409.107421875,5105.99853515625,5946.7587890625,8309.9775390625,7538.94580078125,2811.611572265625,435.49658203125,863.699462890625,1252.0654296875,6321.7978515625,11890.43359375,9834.0927734375,5041.80029296875,301.5458374023437,2434.40576171875,891.1951904296875,2820.2802734375,713649.375,119853.625,25432.396484375,21538.912109375,178.15614318847656,535.4739990234375,1816.0272216796875,1778.1170654296875,3057.216796875,750.7471923828125,302.7931823730469,584.1439208984375,418.1849670410156,378.573974609375,438.0923461914063,254.7436370849609,2434.094482421875,1889.7186279296875,888.0385131835938,1253.218505859375,2422.85498046875,984.6283569335938,36175.5546875,8115.44970703125,1140.2318115234375,1262.022216796875,943.5040283203124,3980.1806640625,74130.4453125,84156.9921875,71963.9453125,69609.84375,1016.619873046875,722.1068725585938,178939184.0,1079.6458740234375,21149.802734375,20943.966796875,19160.580078125,18397.271484375,8433.1640625,8082.45263671875,7643.66796875,6879.421875,11509,28.16849708557129,29.619047164916992,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.22629737854004,24.03382682800293,1025.563232421875,366737.5625,5.296228885650635,0,9194701,True,BME690,20877,0.0,0.0,0,9190364,24484,0,29.657644271850582,13,AmbientSamplingRFC,2026-03-18 16:20:54.533000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:20:54.837Z,E,216.8687438964844,524.20703125,7144.84375,9408.5537109375,5106.0087890625,5945.99072265625,8309.3251953125,7538.611328125,2808.69189453125,435.897216796875,864.410400390625,1250.555419921875,6319.94970703125,11903.3193359375,9905.0830078125,5041.5625,301.7314453125,2433.72607421875,891.0153198242188,2826.21533203125,713382.5,119774.640625,25436.306640625,21539.6171875,178.19015502929688,535.88232421875,1813.0235595703125,1777.979736328125,3060.174072265625,750.7479248046875,302.75030517578125,583.5719604492188,418.178466796875,378.5111083984375,438.1109924316406,254.7112274169922,2433.047607421875,1889.70556640625,888.2394409179688,1253.2432861328125,2426.218505859375,984.6105346679688,36192.22265625,8116.59228515625,1139.9407958984375,1262.77685546875,943.93896484375,3979.105712890625,74131.6171875,84148.953125,71967.765625,69625.265625,1015.3953247070312,721.8274536132812,179006048.0,1079.4317626953125,21150.22265625,20944.611328125,19162.001953125,18400.0625,8433.6123046875,8082.736328125,7644.79443359375,6879.56689453125,11810,28.007326126098636,29.619047164916992,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.22663116455078,24.0338134765625,1025.4981689453125,365510.3125,5.29632568359375,0,9195142,True,BME690,20878,0.0,0.0,0,9190364,24484,0,29.657644271850582,13,AmbientSamplingRFC,2026-03-18 16:20:54.837000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:20:55.136Z,E,216.8434600830078,523.9348754882812,7141.83642578125,9407.9287109375,5105.55126953125,5944.46484375,8307.58984375,7539.4052734375,2809.6611328125,435.88421630859375,865.1864624023438,1251.4703369140625,6311.42626953125,11876.7548828125,9757.8056640625,5042.00244140625,301.5587463378906,2435.995849609375,891.602783203125,2830.772705078125,713041.0,119743.40625,25429.5625,21540.982421875,178.1563720703125,535.7628784179688,1817.9110107421875,1777.454345703125,3056.02587890625,751.0916137695312,302.77685546875,584.2908935546875,418.0566711425781,378.5205383300781,438.07666015625,254.7166748046875,2433.51513671875,1889.0828857421875,888.1986083984375,1253.17822265625,2436.876708984375,984.6480102539062,36181.04296875,8115.52099609375,1140.1868896484375,1263.9739990234375,943.8037109375,3974.42138671875,74113.0859375,84146.234375,71967.6015625,69606.25,1017.7255249023438,720.9679565429688,180630544.0,1079.0411376953125,21148.9375,20947.671875,19161.84375,18400.353515625,8432.7783203125,8081.68408203125,7643.3984375,6879.18701171875,12112,28.08791160583496,29.538461685180664,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.22663116455078,24.0338134765625,1025.4404296875,365204.8125,5.29632568359375,0,9195583,True,BME690,20879,0.0,0.0,0,9195398,24484,0,30.17764663696289,13,AmbientSamplingRFC,2026-03-18 16:20:55.136000+00:00
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:20:55.436Z,E,216.9078063964844,523.9019165039062,7142.8525390625,9406.6728515625,5105.861328125,5944.03662109375,8307.482421875,7535.51904296875,2813.699462890625,436.0406799316406,864.6250610351562,1251.9569091796875,6308.259765625,11893.3447265625,9881.4033203125,5046.32958984375,301.4652099609375,2435.020751953125,891.3651123046875,2832.1962890625,712605.375,119729.3984375,25436.40234375,21537.40625,178.20437622070312,535.1961669921875,1817.094482421875,1776.1617431640625,3056.612060546875,750.9964599609375,302.74371337890625,584.1220092773438,418.0567626953125,378.5339965820313,438.067138671875,254.72463989257807,2432.33642578125,1888.3992919921875,887.8988647460938,1253.3941650390625,2436.67919921875,984.8485107421876,36204.55859375,8116.6962890625,1140.47412109375,1266.5389404296875,943.0336303710938,3969.954833984375,74081.40625,84112.1015625,71950.53125,69598.4296875,1016.6005249023438,721.8179321289062,180439056.0,1077.21826171875,21147.50390625,20946.017578125,19159.759765625,18396.296875,8432.3544921875,8081.02978515625,7642.18017578125,6879.27783203125,12412,28.08791160583496,29.619047164916992,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.22663116455078,24.0338134765625,1025.4404296875,365204.8125,5.29632568359375,0,9195583,True,BME690,20879,0.0,0.0,0,9195398,24484,0,30.17764663696289,13,AmbientSamplingRFC,2026-03-18 16:20:55.436000+00:00
