component_sn,sn,d,t,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,event_name
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:18:22.565Z,E,252.07249450683594,625.6526489257812,7219.04833984375,9508.548828125,5146.2177734375,5995.59228515625,8443.1787109375,7638.62841796875,3331.913330078125,495.0849304199219,948.633056640625,1370.0169677734375,7096.125,12969.48828125,10522.6572265625,6100.212890625,330.52777099609375,2556.593017578125,969.6444091796875,3229.931640625,726230.3125,121088.921875,25659.140625,21703.396484375,197.72438049316406,573.04345703125,1947.1590576171875,1876.579345703125,3457.666259765625,923.0520629882812,350.71636962890625,690.0325927734375,421.0525817871094,380.88751220703125,440.61492919921875,255.7194061279297,2466.3662109375,1909.5235595703125,893.108154296875,1264.593017578125,2704.287841796875,1074.5838623046875,36417.1015625,8153.9697265625,1300.0487060546875,1452.423828125,1038.0546875,4121.54833984375,74673.7890625,84678.6171875,72245.2890625,70023.0703125,1077.7698974609375,745.5098876953125,180665280.0,1131.63037109375,21292.572265625,21077.6875,19294.8046875,18521.748046875,8491.2470703125,8145.8876953125,7712.19775390625,6948.68017578125,673,27.443222045898438,28.490842819213867,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,22.91250991821289,25.89739227294922,1025.6934814453125,318135.90625,5.2961931228637695,0,5434684,True,BME690,12339,0.0,0.0,0,5433482,24484,0,28.86161231994629,13,pre-baseline
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:18:22.603Z,E,251.90463256835938,625.612060546875,7217.54443359375,9509.7177734375,5146.11962890625,5994.8984375,8443.3154296875,7637.64208984375,3332.9599609375,495.291015625,948.7657470703125,1367.19580078125,7117.45458984375,12996.96484375,10516.4287109375,6108.27587890625,330.0228576660156,2565.8095703125,969.6994018554688,3236.70068359375,726177.9375,121097.328125,25658.435546875,21710.599609375,197.60731506347656,573.5484008789062,1944.3052978515625,1875.6922607421875,3463.685302734375,923.2893676757812,350.6976013183594,689.9373168945312,421.0632019042969,380.9215087890625,440.7904968261719,255.7276611328125,2466.1181640625,1909.2769775390625,893.1207885742188,1264.67822265625,2704.180419921875,1073.3436279296875,36425.18359375,8154.1318359375,1300.516845703125,1453.449462890625,1037.5384521484375,4119.5849609375,74671.390625,84674.2265625,72243.5078125,70026.8046875,1078.127197265625,745.612548828125,180560352.0,1128.9716796875,21293.052734375,21077.416015625,19296.732421875,18514.435546875,8490.841796875,8146.05615234375,7712.8134765625,6948.76806640625,974,27.36263656616211,28.652013778686523,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,22.912843704223633,25.903392791748047,1025.692626953125,317904.4375,5.297521591186523,0,5435125,True,BME690,12340,0.0,0.0,0,5433482,24484,0,28.86161231994629,13,pre-baseline
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:18:23.144Z,E,252.13400268554688,625.613037109375,7219.69921875,9514.85546875,5148.0263671875,5997.83935546875,8447.7177734375,7637.45166015625,3332.831787109375,495.08636474609375,947.9834594726562,1366.1475830078125,7134.41552734375,12963.134765625,10534.373046875,6102.2978515625,330.01385498046875,2555.901611328125,970.4248046875,3216.497314453125,726846.75,121275.78125,25681.650390625,21695.712890625,197.7933349609375,573.7306518554688,1944.2164306640625,1880.982177734375,3465.421875,921.9735717773438,350.62677001953125,690.443603515625,421.1107177734375,380.96270751953125,440.9873962402344,255.82762145996094,2467.352294921875,1910.1591796875,893.15234375,1264.762939453125,2716.610107421875,1072.606201171875,36471.3515625,8156.44580078125,1299.6036376953125,1452.23681640625,1037.1329345703125,4134.17919921875,74731.609375,84712.5859375,72314.7890625,70047.234375,1081.023681640625,745.841796875,181261248.0,1129.95654296875,21294.3203125,21087.14453125,19296.0703125,18518.45703125,8492.841796875,8148.2978515625,7715.56298828125,6950.107421875,9703,27.28205108642578,28.813186645507812,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,22.920185089111328,26.047456741333008,1025.6826171875,316981.875,5.329217910766602,0,5443930,True,BME690,12360,0.0,0.0,0,5443519,24484,0,29.91776466369629,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:18:23.444Z,E,251.9839630126953,625.6067504882812,7221.1669921875,9514.896484375,5148.77734375,5997.8173828125,8446.9482421875,7640.98388671875,3332.868896484375,495.5214538574219,948.284423828125,1368.5230712890625,7111.0439453125,13041.669921875,10533.7802734375,6097.9140625,330.1431579589844,2556.641357421875,969.2672119140625,3238.368408203125,726793.3125,121279.2421875,25687.224609375,21702.064453125,197.86280822753906,573.2135620117188,1944.4072265625,1876.068603515625,3470.333740234375,923.1415405273438,350.6967468261719,690.1181030273438,421.18609619140625,380.9945373535156,441.0367736816406,255.81112670898438,2467.3935546875,1909.6771240234375,893.136474609375,1264.7144775390625,2716.114501953125,1072.9349365234375,36451.046875,8155.78271484375,1300.7564697265625,1454.255859375,1035.6715087890625,4127.8681640625,74743.125,84701.125,72317.1328125,70051.546875,1079.357177734375,745.3109130859375,180767520.0,1130.5865478515625,21292.107421875,21081.017578125,19300.271484375,18519.74609375,8494.109375,8147.91796875,7715.384765625,6949.6162109375,10004,27.5238094329834,28.813186645507812,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,22.920516967773438,26.04744529724121,1025.6834716796875,318599.90625,5.329317092895508,0,5444371,True,BME690,12361,0.0,0.0,0,5443519,24484,0,29.91776466369629,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:18:23.746Z,E,252.1461181640625,625.5242919921875,7224.380859375,9516.4033203125,5148.4794921875,5998.41162109375,8446.658203125,7642.03955078125,3329.335205078125,494.98089599609375,948.7478637695312,1367.56787109375,7133.45361328125,13018.4091796875,10522.6318359375,6106.9228515625,330.0102844238281,2552.61328125,968.7489013671875,3231.5859375,726892.5625,121281.375,25699.26953125,21704.380859375,197.8313751220703,573.1410522460938,1939.9515380859375,1880.2301025390625,3473.88916015625,923.2167358398438,350.60833740234375,689.8648071289062,421.143798828125,380.97613525390625,440.885009765625,255.83114624023438,2467.524169921875,1909.9248046875,893.192138671875,1264.470458984375,2710.79931640625,1073.493408203125,36459.0859375,8157.4130859375,1300.1590576171875,1454.7005615234375,1035.95751953125,4128.16015625,74737.0234375,84679.046875,72316.7890625,70049.234375,1080.5760498046875,746.9834594726562,181261104.0,1129.39306640625,21293.021484375,21080.39453125,19300.4140625,18518.591796875,8492.87890625,8148.20947265625,7715.87451171875,6949.58203125,10307,27.443222045898438,28.732601165771484,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,22.920516967773438,26.04744529724121,1025.6834716796875,318599.90625,5.329317092895508,0,5444371,True,BME690,12361,0.0,0.0,0,5443519,24484,0,29.91776466369629,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:18:24.048Z,E,252.1275177001953,625.4343872070312,7217.8310546875,9514.431640625,5147.83642578125,5998.37890625,8447.4619140625,7640.20703125,3329.506591796875,494.91448974609375,948.6133422851562,1365.5341796875,7096.6005859375,12990.6865234375,10508.17578125,6095.6669921875,330.188720703125,2562.348876953125,969.0310668945312,3238.56201171875,726795.125,121251.4140625,25691.5390625,21708.818359375,197.74562072753906,573.7400512695312,1938.9495849609375,1879.217041015625,3470.654296875,923.0753173828125,350.7705383300781,690.3330688476562,421.1510009765625,380.96307373046875,440.9646911621094,255.81700134277344,2468.114013671875,1910.285400390625,893.2457275390625,1264.6837158203125,2708.64794921875,1074.268310546875,36494.66015625,8156.4951171875,1300.5894775390625,1452.5860595703125,1034.4798583984375,4120.43994140625,74742.0078125,84686.2890625,72314.9765625,70053.390625,1080.8671875,746.6594848632812,184729760.0,1129.9310302734375,21292.478515625,21080.642578125,19299.060546875,18517.5546875,8493.5029296875,8148.31591796875,7714.06591796875,6949.59228515625,10608,27.443222045898438,28.652013778686523,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,22.921184539794922,26.053434371948242,1025.68505859375,317673.3125,5.330745697021484,0,5444811,True,BME690,12362,0.0,0.0,0,5443519,24484,0,29.91776466369629,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:18:24.347Z,E,252.0068359375,625.7462768554688,7222.2060546875,9516.1923828125,5148.92138671875,5998.5244140625,8446.55078125,7637.783203125,3330.340087890625,495.3092041015625,949.5885620117188,1368.586669921875,7127.9853515625,13039.107421875,10537.9794921875,6102.064453125,329.98846435546875,2561.2509765625,969.124755859375,3224.9677734375,726784.5,121235.1796875,25689.16015625,21705.490234375,197.79197692871094,573.0346069335938,1940.0560302734375,1878.618408203125,3461.50537109375,923.4891357421875,350.8584289550781,690.7155151367188,421.17803955078125,381.02685546875,440.95135498046875,255.84390258789062,2467.90234375,1911.1192626953125,893.2313842773438,1264.8773193359375,2715.79931640625,1073.930908203125,36481.17578125,8156.6064453125,1301.4942626953125,1455.7557373046875,1034.4830322265625,4120.3544921875,74730.796875,84692.1015625,72330.8359375,70050.5234375,1078.4288330078125,745.8286743164062,184439520.0,1131.3201904296875,21291.345703125,21081.98046875,19297.044921875,18526.056640625,8494.2880859375,8149.0595703125,7715.59814453125,6950.07666015625,10908,27.36263656616211,28.813186645507812,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,22.921518325805664,26.05943489074707,1025.6859130859375,317673.3125,5.332075119018555,0,5445252,True,BME690,12363,0.0,0.0,0,5443519,24484,0,29.91776466369629,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:18:24.647Z,E,251.98252868652344,625.95263671875,7220.4404296875,9514.080078125,5148.56982421875,5999.84814453125,8447.4716796875,7640.27734375,3335.57666015625,495.44036865234375,947.6030883789062,1368.1937255859375,7151.34423828125,12946.7333984375,10513.86328125,6104.7919921875,330.22698974609375,2553.057861328125,969.4442138671875,3232.250732421875,726600.5625,121291.515625,25695.5625,21706.826171875,197.80404663085938,574.5586547851562,1946.220703125,1874.58349609375,3463.671142578125,923.3457641601562,350.7864990234375,690.3750610351562,421.22076416015625,381.02154541015625,440.9139099121094,255.83737182617188,2468.10888671875,1910.644775390625,893.1560668945312,1265.140625,2714.897705078125,1074.230712890625,36490.99609375,8157.0498046875,1300.484375,1455.5689697265625,1034.4920654296875,4123.9287109375,74735.8671875,84698.984375,72335.9921875,70060.203125,1079.022705078125,746.4841918945312,184815728.0,1130.6348876953125,21294.775390625,21078.521484375,19304.05078125,18520.095703125,8494.38671875,8148.01708984375,7715.3369140625,6949.16748046875,11208,27.443222045898438,28.813186645507812,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,22.921518325805664,26.05943489074707,1025.6859130859375,317673.3125,5.332075119018555,0,5445252,True,BME690,12363,0.0,0.0,0,5443519,24484,0,29.91776466369629,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:18:24.948Z,E,251.91807556152344,625.6295776367188,7217.46728515625,9512.4599609375,5147.8662109375,5998.88720703125,8445.3291015625,7642.376953125,3331.736572265625,495.5071716308594,948.4791259765625,1368.840576171875,7107.14697265625,12943.5107421875,10491.6884765625,6102.380859375,330.2950134277344,2554.870849609375,969.3973999023438,3241.551025390625,725780.5625,121194.7890625,25683.2421875,21700.212890625,197.78793334960938,573.6207885742188,1940.87158203125,1876.1905517578125,3466.679443359375,921.141357421875,350.5773010253906,690.4173583984375,421.1311340332031,381.0195007324219,440.8987731933594,255.82662963867188,2468.637939453125,1910.538818359375,893.1737670898438,1264.70849609375,2718.50146484375,1072.9859619140625,36456.890625,8156.14404296875,1301.0283203125,1450.846435546875,1036.7618408203125,4123.4296875,74739.9765625,84722.34375,72341.3671875,70055.0703125,1080.3670654296875,747.429931640625,185068288.0,1131.556884765625,21295.546875,21086.861328125,19298.0078125,18519.79296875,8493.1044921875,8149.14306640625,7716.1298828125,6950.3720703125,11509,27.36263656616211,28.652013778686523,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,22.921852111816406,26.06543731689453,1025.62255859375,317212.0,5.333405494689941,0,5445692,True,BME690,12364,0.0,0.0,0,5443519,24484,0,29.91776466369629,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T15:18:25.251Z,E,251.906494140625,625.6290283203125,7219.4248046875,9509.611328125,5148.1298828125,5997.28564453125,8443.89453125,7639.02197265625,3331.20556640625,495.0901184082031,948.9719848632812,1367.650634765625,7113.60498046875,12943.6923828125,10476.4423828125,6105.22607421875,330.2287292480469,2558.188720703125,969.343017578125,3243.912841796875,725213.5625,121182.109375,25683.849609375,21692.041015625,197.7686767578125,574.2771606445312,1942.411865234375,1874.1124267578125,3458.284912109375,922.6527709960938,350.7922668457031,690.5927734375,421.0634765625,381.0052185058594,440.8568420410156,255.844482421875,2467.212646484375,1910.0115966796875,893.3448486328125,1264.7503662109375,2713.93359375,1074.00830078125,36447.71484375,8157.96435546875,1301.138427734375,1453.370849609375,1035.43896484375,4125.36474609375,74712.625,84733.4921875,72335.203125,70064.953125,1081.101318359375,747.7617797851562,185291536.0,1132.4420166015625,21294.57421875,21084.880859375,19300.16015625,18521.50390625,8495.14453125,8148.87744140625,7717.34765625,6950.45849609375,11811,27.28205108642578,28.732601165771484,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,22.921852111816406,26.06543731689453,1025.5682373046875,317904.4375,5.333405494689941,0,5446133,True,BME690,12365,0.0,0.0,0,5443519,24484,0,29.91776466369629,13,AmbientSamplingRFC
