component_sn,sn,d,t,T0,H0,event_name
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:25.110Z,E,23.0,16.28,cleaningRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:26.116Z,E,23.0,16.25,cleaningRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:27.123Z,E,23.0,16.3,cleaningRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:28.130Z,E,22.98,16.31,cleaningRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:29.138Z,E,22.99,16.33,cleaningRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:30.143Z,E,22.99,16.37,cleaningRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:31.148Z,E,22.99,16.37,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:32.157Z,E,23.02,16.36,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:33.163Z,E,23.01,16.37,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:34.169Z,E,23.01,16.32,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:35.178Z,E,22.99,16.31,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:36.185Z,E,23.0,16.35,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:37.192Z,E,23.0,16.3,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:38.248Z,E,22.99,16.31,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:39.254Z,E,23.0,16.31,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:40.260Z,E,22.98,16.28,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:41.266Z,E,22.99,16.28,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:42.274Z,E,23.0,16.26,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:43.281Z,E,22.98,16.27,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:44.286Z,E,23.0,16.26,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:45.291Z,E,22.97,16.23,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:46.296Z,E,23.0,16.24,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:47.304Z,E,22.98,16.23,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:48.360Z,E,22.99,16.23,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:49.366Z,E,23.0,16.24,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:50.371Z,E,22.98,16.22,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:51.376Z,E,23.01,16.26,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:52.383Z,E,23.01,16.18,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:53.389Z,E,23.01,16.15,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:54.395Z,E,22.99,16.17,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:55.401Z,E,22.98,16.18,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:56.406Z,E,22.99,16.18,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:57.412Z,E,23.0,16.13,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:58.469Z,E,23.0,16.15,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:36:59.476Z,E,22.98,16.13,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:00.481Z,E,22.99,16.15,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:01.487Z,E,22.98,16.11,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:02.492Z,E,22.98,16.12,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:03.498Z,E,22.99,16.14,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:04.503Z,E,22.98,16.08,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:05.508Z,E,22.98,16.07,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:06.515Z,E,22.99,16.15,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:07.523Z,E,23.0,16.09,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:08.585Z,E,22.99,16.07,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:09.590Z,E,22.98,16.13,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:10.595Z,E,22.98,16.1,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:11.602Z,E,22.98,16.05,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:12.608Z,E,22.98,16.06,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:13.613Z,E,22.99,16.07,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T15:37:14.619Z,E,22.98,16.06,recoveryOff
