component_sn,sn,d,t,SETP0,FLW0,ANLT0,event_name
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:23.284Z,E,0,2.2461,000000000DFEC3B1,pre-baseline
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:24.290Z,E,3700.0,3697.1679,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:25.298Z,E,3700.0,3693.2616,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:26.307Z,E,3700.0,3702.3437,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:27.316Z,E,3700.0,3697.3634,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:28.325Z,E,3700.0,3697.9492,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:29.333Z,E,3700.0,3701.5624,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:30.341Z,E,3700.0,3695.0195,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:31.351Z,E,3700.0,3693.4571,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:32.359Z,E,3700.0,3703.711,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:33.368Z,E,3700.0,3703.711,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:34.377Z,E,3700.0,3701.5624,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:35.386Z,E,3700.0,3698.4375,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:36.394Z,E,3700.0,3697.8517,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:37.403Z,E,3700.0,3700.6836,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:38.412Z,E,3700.0,3702.1484,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:39.421Z,E,3700.0,3699.8048,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:40.429Z,E,3700.0,3700.1953,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:41.438Z,E,3700.0,3698.1444,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:42.446Z,E,3700.0,3699.414,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:43.455Z,E,3700.0,3700.7813,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:44.464Z,E,3700.0,3699.3165,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:45.473Z,E,3700.0,3697.6562,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:46.481Z,E,3700.0,3702.9297,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:47.490Z,E,3700.0,3698.7305,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:48.500Z,E,3700.0,3693.5546,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:49.508Z,E,3700.0,3700.6836,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:50.517Z,E,3700.0,3700.7813,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:51.525Z,E,3700.0,3700.8789,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:52.534Z,E,3700.0,3700.2931,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:53.542Z,E,3700.0,3700.9766,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:54.551Z,E,3700.0,3699.0235,000000000DFEC3B1,AmbientSamplingRFC
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:55.560Z,E,3700.0,3703.0272,000000000DFEC3B1,BreathSampleCollection
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:56.569Z,E,3700.0,3695.3125,000000000DFEC3B1,BreathSampleCollection
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:57.578Z,E,3700.0,3700.2931,000000000DFEC3B1,BreathSampleCollection
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:58.587Z,E,3700.0,3701.3671,000000000DFEC3B1,BreathSampleCollection
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:48:59.595Z,E,3700.0,3698.2422,000000000DFEC3B1,BreathSampleCollection
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:49:00.604Z,E,3700.0,3706.836,000000000DFEC3B1,BreathSampleCollection
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:49:01.612Z,E,3700.0,3701.0741,000000000DFEC3B1,BreathSampleCollection
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:49:02.621Z,E,3700.0,3701.0741,000000000DFEC3B1,BreathSampleCollection
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:49:03.630Z,E,3700.0,3700.4883,000000000DFEC3B1,FeNOWindow
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:49:04.639Z,E,3700.0,3701.4649,000000000DFEC3B1,FeNOWindow
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:49:05.647Z,E,3700.0,3701.7579,000000000DFEC3B1,FeNOWindow
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:49:06.656Z,E,3700.0,3700.1953,000000000DFEC3B1,FeNOWindow
0000000045-4625-mfc-nz,0000000009-1625-oms-nz,2026-03-18T15:49:07.665Z,E,3700.0,3699.707,000000000DFEC3B1,FeNOWindow
