component_sn,sn,d,t,T0,H0,event_name
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:22.921Z,E,23.19,16.4,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:23.927Z,E,23.18,16.42,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:24.934Z,E,23.17,16.4,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:25.941Z,E,23.19,16.47,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:26.948Z,E,23.19,16.56,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:27.954Z,E,23.18,16.59,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:28.962Z,E,23.18,16.59,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:29.967Z,E,23.17,16.58,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:30.973Z,E,23.18,16.56,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:31.978Z,E,23.2,16.59,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:32.985Z,E,23.16,16.5,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:34.040Z,E,23.21,16.5,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:35.046Z,E,23.18,16.48,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:36.052Z,E,23.2,16.48,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:37.062Z,E,23.2,16.47,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:38.067Z,E,23.2,16.45,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:39.073Z,E,23.19,16.46,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:40.083Z,E,23.21,16.45,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:41.088Z,E,23.19,16.43,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:42.094Z,E,23.21,16.43,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:43.099Z,E,23.19,16.41,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:44.106Z,E,23.21,16.41,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:45.162Z,E,23.19,16.43,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:46.168Z,E,23.19,16.43,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:47.175Z,E,23.2,16.38,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:48.181Z,E,23.21,16.38,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:49.187Z,E,23.17,16.39,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:50.193Z,E,23.17,16.36,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:51.198Z,E,23.19,16.36,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:52.204Z,E,23.21,16.35,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:53.209Z,E,23.18,16.32,AmbientSamplingRFC
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:54.223Z,E,23.17,16.3,BreathSampleCollection
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:55.230Z,E,23.15,16.33,BreathSampleCollection
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:56.286Z,E,23.18,16.34,BreathSampleCollection
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:57.290Z,E,23.2,16.34,BreathSampleCollection
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T16:00:58.296Z,E,23.18,16.34,BreathSampleCollection
