component_sn,sn,d,t,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,event_name
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:03:22.393Z,E,221.97621154785156,536.9769287109375,7160.2587890625,9430.951171875,5113.0419921875,5952.1513671875,8332.97265625,7558.5078125,2872.2958984375,445.8719482421875,879.67041015625,1270.04638671875,6388.96630859375,12308.884765625,9781.4541015625,5154.52978515625,307.5892333984375,2463.049072265625,916.0010986328125,2944.548095703125,714802.375,119855.03125,25486.10546875,21566.52734375,181.01556396484375,542.12646484375,1842.3948974609375,1804.231201171875,3113.900634765625,767.3627319335938,309.6360168457031,602.2079467773438,418.73834228515625,379.0007019042969,438.14483642578125,254.98204040527344,2441.372314453125,1892.3193359375,888.9010009765625,1255.12646484375,2491.387939453125,1010.4984130859375,36233.98046875,8119.00390625,1160.0140380859375,1299.3955078125,960.4068603515625,3989.33251953125,74222.7890625,84168.5,71984.875,69630.0703125,1029.511962890625,727.2857666015625,179844288.0,1092.6058349609375,21172.947265625,20946.626953125,19199.166015625,18414.341796875,8442.1982421875,8093.20068359375,7659.32861328125,6891.9169921875,661,27.926740646362305,29.538461685180664,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.181262969970703,24.102027893066406,1025.6434326171875,350553.625,5.297745227813721,0,8134213,True,BME690,18469,0.0,0.0,0,8132108,24484,0,28.840261459350586,13,pre-baseline
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:03:22.430Z,E,221.9915008544922,536.8021240234375,7160.416015625,9431.5126953125,5113.23583984375,5950.03955078125,8334.4052734375,7556.619140625,2872.813720703125,446.1296691894531,878.456298828125,1270.179931640625,6409.84521484375,12333.302734375,9841.0166015625,5147.3076171875,307.50225830078125,2465.42041015625,915.6985473632812,2913.3857421875,715087.6875,119837.7109375,25497.548828125,21571.197265625,181.09434509277344,542.7518310546875,1845.134765625,1801.578857421875,3115.671630859375,767.1276245117188,309.68017578125,602.13525390625,418.72412109375,378.9552307128906,438.2631530761719,254.96995544433594,2441.45556640625,1891.838623046875,888.9450073242188,1255.006103515625,2492.932861328125,1010.1875610351562,36257.3125,8119.5908203125,1160.64111328125,1298.952880859375,961.3985595703125,3984.328125,74215.96875,84170.8984375,71974.1328125,69630.296875,1030.0576171875,726.8030395507812,179397472.0,1091.37353515625,21170.830078125,20942.791015625,19199.076171875,18418.689453125,8442.11328125,8093.57568359375,7659.69921875,6891.93408203125,961,28.007326126098633,29.296703338623047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.181262969970703,24.102027893066406,1025.6434326171875,350553.625,5.297745227813721,0,8134213,True,BME690,18469,0.0,0.0,0,8132108,24484,0,28.840261459350586,13,pre-baseline
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:03:22.971Z,E,222.24652099609375,537.623779296875,7165.26171875,9432.8349609375,5113.91455078125,5953.615234375,8336.369140625,7561.54833984375,2876.301513671875,445.783203125,877.9537963867188,1270.344970703125,6417.8330078125,12336.275390625,9727.1591796875,5166.4365234375,307.52691650390625,2465.04541015625,915.3838500976562,2922.0478515625,715242.6875,119938.3515625,25480.01171875,21577.595703125,181.0752410888672,543.2333984375,1835.6181640625,1799.380126953125,3119.222412109375,767.07666015625,309.68194580078125,602.2752685546875,418.8061218261719,379.0616149902344,438.5713806152344,254.99427795410156,2442.4638671875,1892.7958984375,888.899169921875,1255.368408203125,2484.32275390625,1009.8582763671875,36240.78515625,8117.25,1160.6961669921875,1300.0047607421875,960.4766235351562,3994.45556640625,74264.6796875,84209.8046875,72006.609375,69667.5703125,1027.5023193359375,727.0330810546875,179817072.0,1091.346923828125,21172.736328125,20954.771484375,19201.46484375,18415.763671875,8441.603515625,8095.025390625,7663.052734375,6893.81103515625,9991,28.16849708557129,29.457874298095703,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.183931350708008,24.168292999267578,1025.64990234375,352533.625,5.313112735748291,0,8143456,True,BME690,18490,0.0,0.0,0,8142145,24484,0,29.912263870239258,13,cleaningRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:03:23.273Z,E,222.3006134033203,537.5484008789062,7163.51025390625,9433.7138671875,5113.98193359375,5952.51025390625,8336.556640625,7559.064453125,2874.81005859375,445.90399169921875,877.5518188476562,1270.9461669921875,6419.4892578125,12355.1689453125,9727.3212890625,5175.6435546875,307.4279479980469,2467.850341796875,915.8695678710938,2926.971435546875,715278.8125,119910.8125,25488.82421875,21573.958984375,181.0756072998047,543.6150512695312,1845.614501953125,1800.6295166015625,3122.2236328125,767.493408203125,309.7123718261719,602.1949462890625,418.78704833984375,379.11419677734375,438.6091613769531,254.9805145263672,2442.387451171875,1892.846435546875,888.97705078125,1255.71923828125,2485.238525390625,1010.0850219726562,36262.02734375,8116.974609375,1161.1669921875,1301.3046875,961.4869384765625,3992.021728515625,74251.4921875,84208.6171875,71996.1484375,69663.203125,1027.7403564453125,727.5756225585938,180566704.0,1091.07421875,21172.150390625,20959.8125,19200.388671875,18418.353515625,8441.546875,8095.2890625,7662.88330078125,6893.7490234375,10292,28.007326126098633,29.538461685180664,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.183931350708008,24.174327850341797,1025.64990234375,352818.3125,5.314438819885254,0,8143897,True,BME690,18491,0.0,0.0,0,8142145,24484,0,29.912263870239258,13,cleaningRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:03:23.574Z,E,222.3131866455078,537.8538818359375,7159.33984375,9434.62109375,5113.94189453125,5953.59619140625,8336.2666015625,7558.80712890625,2874.36962890625,445.6952209472656,877.6270751953125,1270.5731201171875,6419.8505859375,12394.1748046875,9763.98828125,5179.56982421875,307.6285095214844,2461.640625,915.954345703125,2931.713134765625,715398.3125,119908.9375,25485.984375,21575.279296875,181.13278198242188,543.3721313476562,1841.468017578125,1802.1082763671875,3120.19140625,767.3617553710938,309.78338623046875,602.527587890625,418.80133056640625,379.09716796875,438.31414794921875,255.0177459716797,2442.671142578125,1893.0904541015625,888.984130859375,1255.9840087890625,2484.606201171875,1009.8097534179688,36267.94921875,8118.7333984375,1160.72119140625,1301.3148193359375,961.2466430664062,3998.77392578125,74250.96875,84193.9765625,72014.453125,69664.8515625,1028.0091552734375,727.0609741210938,180713456.0,1092.06689453125,21171.634765625,20962.681640625,19202.640625,18418.966796875,8442.439453125,8095.7734375,7663.3955078125,6893.5205078125,10593,28.16849708557129,29.457874298095703,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.183931350708008,24.174327850341797,1025.64990234375,352818.3125,5.314438819885254,0,8143897,True,BME690,18491,0.0,0.0,0,8142145,24484,0,29.912263870239258,13,cleaningRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:03:23.875Z,E,222.27743530273438,537.6664428710938,7156.958984375,9435.4111328125,5113.94677734375,5954.373046875,8336.296875,7560.61181640625,2874.525146484375,445.7193908691406,878.7760620117188,1270.2056884765625,6400.044921875,12330.3916015625,9775.2783203125,5187.6455078125,307.65667724609375,2463.14990234375,916.3489990234375,2909.32666015625,715582.625,119870.1171875,25493.63671875,21576.935546875,181.07138061523438,543.202392578125,1841.92431640625,1801.9962158203125,3121.3271484375,767.8955688476562,309.7966003417969,602.8970947265625,418.8019104003906,379.0645751953125,438.37548828125,254.98345947265625,2442.205322265625,1893.240478515625,889.2396850585938,1255.665283203125,2483.40283203125,1009.0216064453125,36248.56640625,8121.0048828125,1161.144287109375,1300.2830810546875,960.500244140625,3998.362060546875,74249.0625,84205.90625,71986.046875,69678.265625,1029.097412109375,726.9848022460938,181275696.0,1093.2083740234375,21170.40234375,20963.083984375,19201.3828125,18417.17578125,8442.4619140625,8095.1982421875,7663.275390625,6893.71630859375,10894,28.08791160583496,29.538461685180664,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.183931350708008,24.174327850341797,1025.64990234375,353961.625,5.314438819885254,0,8144337,True,BME690,18492,0.0,0.0,0,8142145,24484,0,29.912263870239258,13,cleaningRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:03:24.175Z,E,222.27076721191406,537.919189453125,7158.7119140625,9432.2900390625,5114.08984375,5953.02099609375,8335.650390625,7557.4326171875,2871.31201171875,445.6089782714844,878.398193359375,1268.0389404296875,6397.7744140625,12371.572265625,9760.8916015625,5176.34326171875,307.15130615234375,2465.82470703125,916.4844360351562,2917.909423828125,715714.75,119887.078125,25499.7109375,21582.642578125,181.10525512695312,542.5997924804688,1843.2861328125,1804.1312255859375,3133.8017578125,767.0182495117188,309.78643798828125,602.5628662109375,418.8058776855469,379.0429992675781,438.522705078125,255.01251220703125,2442.660888671875,1893.2880859375,889.0908203125,1255.1114501953125,2477.8876953125,1009.39501953125,36241.61328125,8119.26416015625,1160.7537841796875,1299.5068359375,960.5489501953125,4008.757080078125,74260.9765625,84200.6875,71993.59375,69666.2734375,1028.8104248046875,726.4713745117188,181679472.0,1092.6422119140625,21171.04296875,20960.228515625,19197.736328125,18419.32421875,8442.302734375,8095.8671875,7662.96923828125,6893.740234375,11195,28.16849708557129,29.619047164916992,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.183931350708008,24.180360794067383,1025.651611328125,354248.625,5.315765380859375,0,8144777,True,BME690,18493,0.0,0.0,0,8142145,24484,0,29.912263870239258,13,cleaningRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:03:24.477Z,E,222.28631591796875,537.7692260742188,7165.09716796875,9434.7109375,5114.064453125,5953.2890625,8336.755859375,7557.9560546875,2875.443115234375,445.3307800292969,877.9431762695312,1268.2335205078125,6432.27685546875,12385.57421875,9754.9697265625,5191.12060546875,307.3584289550781,2462.196044921875,915.5906982421875,2921.54052734375,715831.6875,119943.1640625,25482.728515625,21580.763671875,181.06503295898438,543.5244140625,1841.41455078125,1806.08837890625,3136.42919921875,767.546875,309.73065185546875,602.4776611328125,418.7779846191406,379.11407470703125,438.53326416015625,254.9630889892578,2442.73388671875,1893.6026611328125,889.1046752929688,1255.5087890625,2485.54833984375,1008.7728271484375,36252.1484375,8120.8955078125,1161.9420166015625,1299.144775390625,961.005615234375,4001.3828125,74258.828125,84194.4296875,71999.3828125,69691.859375,1027.923583984375,726.5552978515625,182018304.0,1092.6875,21171.134765625,20950.005859375,19199.486328125,18414.37890625,8442.6865234375,8096.44921875,7663.1611328125,6894.47021484375,11496,28.16849708557129,29.619047164916992,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.183931350708008,24.180360794067383,1025.651611328125,354248.625,5.315765380859375,0,8144777,True,BME690,18493,0.0,0.0,0,8142145,24484,0,29.912263870239258,13,cleaningRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:03:24.778Z,E,222.329345703125,537.8633422851562,7162.9189453125,9434.0302734375,5114.28076171875,5953.75537109375,8336.5791015625,7561.416015625,2878.02880859375,445.6773376464844,877.5012817382812,1268.511474609375,6423.7861328125,12413.853515625,9699.265625,5183.43505859375,307.0533447265625,2458.80029296875,915.081787109375,2921.87841796875,715869.6875,119925.9375,25479.78515625,21583.330078125,181.11245727539062,543.3961791992188,1840.0938720703125,1803.8603515625,3119.732666015625,767.601806640625,309.78399658203125,602.40283203125,418.7929382324219,379.0667419433594,438.3810119628906,254.97642517089844,2442.083740234375,1892.934326171875,889.21533203125,1255.5416259765625,2477.489013671875,1009.7993774414062,36259.96875,8119.982421875,1160.7017822265625,1296.76123046875,960.0057983398438,3994.558349609375,74261.1796875,84201.1796875,72008.8515625,69681.765625,1030.1341552734375,726.8118286132812,182448688.0,1092.3409423828125,21170.453125,20960.337890625,19200.80859375,18411.123046875,8442.9404296875,8095.43359375,7663.7841796875,6893.84765625,11797,28.08791160583496,29.538461685180664,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.18426513671875,24.174314498901367,1025.65234375,353961.625,5.314537525177002,0,8145217,True,BME690,18494,0.0,0.0,0,8142145,24484,0,29.912263870239258,13,cleaningRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:03:25.080Z,E,222.33627319335938,537.5366821289062,7161.7041015625,9434.3544921875,5114.126953125,5953.72265625,8336.8369140625,7562.5205078125,2877.005615234375,445.07012939453125,878.8755493164062,1270.9774169921875,6414.81103515625,12408.3671875,9768.890625,5173.31640625,307.64532470703125,2462.46875,915.5611572265625,2943.19580078125,715846.6875,119903.8046875,25474.572265625,21582.453125,181.05328369140625,543.0360717773438,1837.7528076171875,1803.4752197265625,3123.251220703125,767.399169921875,309.7572326660156,602.966552734375,418.83795166015625,379.0672912597656,438.382080078125,254.95201110839844,2442.112548828125,1893.360107421875,889.2599487304688,1255.8896484375,2474.91015625,1010.0892333984375,36239.11328125,8119.3291015625,1161.183837890625,1299.5101318359375,960.2213745117188,3992.341552734375,74260.0,84208.828125,72021.7421875,69679.1484375,1028.4791259765625,725.5697021484375,182747744.0,1091.8125,21169.95703125,20953.28125,19198.36328125,18412.3125,8442.169921875,8095.47900390625,7661.79736328125,6894.1640625,12098,27.926740646362305,29.538461685180664,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.183931350708008,24.180360794067383,1025.64990234375,352818.3125,5.315765380859375,0,8145657,True,BME690,18495,0.0,0.0,0,8142145,24484,0,29.912263870239258,13,cleaningRFC
