component_sn,sn,d,t,SETP0,FLW0,ANLT0,event_name
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:17:56.207Z,E,0,0.64,22450161,pre-baseline
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:17:57.224Z,E,1600,1595.6,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:17:58.233Z,E,1600,1599.2799,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:17:59.242Z,E,1600,1599.12,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:00.251Z,E,1600,1598.72,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:01.260Z,E,1600,1598.0801,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:02.268Z,E,1600,1600.0,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:03.277Z,E,1600,1599.4399,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:04.286Z,E,1600,1600.3999,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:05.294Z,E,1600,1597.52,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:06.303Z,E,1600,1599.6,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:07.312Z,E,1600,1598.8002,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:08.320Z,E,1600,1600.2399,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:09.330Z,E,1600,1600.5599,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:10.338Z,E,1600,1599.6,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:11.347Z,E,1600,1600.0,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:12.355Z,E,1600,1599.36,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:13.365Z,E,1600,1598.88,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:14.373Z,E,1600,1600.6401,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:15.381Z,E,1600,1600.8002,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:16.390Z,E,1600,1599.7598,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:17.399Z,E,1600,1600.72,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:18.408Z,E,1600,1599.76,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:19.417Z,E,1600,1599.2001,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:20.425Z,E,1600,1600.48,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:21.434Z,E,1600,1600.5599,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:22.443Z,E,1600,1600.7998,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:23.451Z,E,1600,1600.0,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:24.460Z,E,1600,1599.6799,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:25.469Z,E,1600,1599.92,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:26.478Z,E,1600,1599.6,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:27.487Z,E,1600,1599.2799,22450161,AmbientSamplingRFC
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:28.496Z,E,1600,1599.6802,22450161,BreathSampleCollection
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:29.504Z,E,1600,1598.0801,22450161,BreathSampleCollection
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:30.512Z,E,1600,1599.2,22450161,BreathSampleCollection
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:31.521Z,E,1600,1599.7599,22450161,BreathSampleCollection
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:32.530Z,E,1600,1599.52,22450161,BreathSampleCollection
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:33.539Z,E,1600,1600.0,22450161,BreathSampleCollection
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:34.547Z,E,1600,1599.9199,22450161,BreathSampleCollection
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:35.557Z,E,1600,1599.2799,22450161,BreathSampleCollection
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:36.566Z,E,1600,1599.0399,22450161,FeNOWindow
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:37.574Z,E,1600,1598.96,22450161,FeNOWindow
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:38.582Z,E,1600,1599.52,22450161,FeNOWindow
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:39.591Z,E,1600,1598.3999,22450161,FeNOWindow
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:40.600Z,E,1600,1599.92,22450161,FeNOWindow
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:41.609Z,E,1600,1600.8799,22450161,FeNOMeasurement
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:42.617Z,E,1600,1599.84,22450161,FeNOMeasurement
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:43.626Z,E,1600,1600.5599,22450161,FeNOMeasurement
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:44.635Z,E,1600,1600.3197,22450161,FeNOMeasurement
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:45.644Z,E,1600,1600.4003,22450161,FeNOMeasurement
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:46.652Z,E,1600,1599.1199,22450161,FeNOMeasurement
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:47.661Z,E,1600,1599.2001,22450161,FeNOMeasurement
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:48.670Z,E,1600,1601.12,22450161,FeNOMeasurement
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:49.679Z,E,1600,1599.92,22450161,FeNOMeasurement
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:50.688Z,E,1600,1600.1599,22450161,FeNOMeasurement
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:51.696Z,E,1600,1601.04,22450161,FeNOMeasurement
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:52.705Z,E,1600,1599.92,22450161,FeNOMeasurement
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:53.713Z,E,1600,1599.52,22450161,FeNOMeasurement
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:54.722Z,E,1600,1599.9199,22450161,FeNOMeasurement
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:55.731Z,E,1600,1600.4797,22450161,FeNOMeasurement
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:56.740Z,E,1600,1599.52,22450161,FeNOMeasurement
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:57.748Z,E,1600,1599.1199,22450161,FeNOMeasurement
0000000081-3024-mfc-nz,0000000009-1625-oms-nz,2026-03-18T16:18:58.757Z,E,1600,1600.2399,22450161,FeNOMeasurement
