component_sn,sn,d,t,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,event_name
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:44:52.166Z,E,213.28089904785156,515.601806640625,7131.44189453125,9384.185546875,5095.45263671875,5934.6884765625,8274.1650390625,7508.24853515625,2729.179443359375,425.438232421875,849.9362182617188,1235.2125244140625,6246.33837890625,11621.7890625,9724.43359375,4979.5693359375,295.662353515625,2404.52783203125,868.3921508789062,2751.85107421875,707889.75,119461.3125,25322.994140625,21512.67578125,175.10533142089844,528.1116333007812,1794.743896484375,1767.743408203125,3052.940673828125,739.8623046875,296.8041687011719,566.4371337890625,417.3735656738281,377.778076171875,437.02191162109375,254.3591766357422,2425.84814453125,1883.31396484375,887.0186157226562,1250.951416015625,2400.491943359375,954.206787109375,36115.1796875,8104.0458984375,1116.494384765625,1231.6846923828125,924.51611328125,3947.595947265625,73951.9453125,83991.171875,71821.96875,69486.4453125,1003.7225341796875,713.8023681640625,179393424.0,1064.501953125,21115.439453125,20925.814453125,19130.162109375,18383.646484375,8419.1669921875,8067.1318359375,7625.751953125,6860.166015625,1438,28.007326126098633,29.296703338623047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.179927825927734,23.571056365966797,1025.4818115234375,382134.125,5.18064546585083,0,10624662,True,BME690,24124,0.0,0.0,0,10624712,24484,0,30.179489135742188,13,pre-baseline
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:44:52.657Z,E,213.22164916992188,514.4708251953125,7132.5,9388.072265625,5096.30517578125,5936.52880859375,8274.3916015625,7511.2216796875,2728.354736328125,425.94940185546875,849.3574829101562,1233.3720703125,6256.96044921875,11612.7802734375,9746.2666015625,4980.2021484375,296.07147216796875,2417.173828125,869.1625366210938,2740.044677734375,708839.125,119429.3046875,25372.076171875,21511.1796875,175.18032836914062,527.9978637695312,1797.5810546875,1763.06787109375,3047.508544921875,739.9846801757812,296.86798095703125,566.6791381835938,417.4228515625,377.8446960449219,437.0206604003906,254.3380126953125,2427.619873046875,1883.3218994140625,886.89306640625,1250.6103515625,2408.9267578125,955.164794921875,36144.78515625,8105.390625,1116.0888671875,1233.3038330078125,923.3897705078125,3946.759765625,73968.1875,84020.3359375,71821.96875,69522.078125,1002.76123046875,713.5173950195312,178726496.0,1065.0684814453125,21117.623046875,20912.921875,19132.337890625,18382.17578125,8419.9140625,8068.10595703125,7628.09716796875,6862.0771484375,9566,28.08791160583496,29.377288818359375,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.18059539794922,23.619306564331055,1025.4833984375,384150.03125,5.191445350646973,0,10633024,True,BME690,24143,0.0,0.0,0,10629745,24484,0,29.94144058227539,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:44:52.957Z,E,213.20252990722656,515.2001342773438,7134.10302734375,9386.3291015625,5096.576171875,5935.9345703125,8275.0625,7504.7470703125,2729.11572265625,426.1602478027344,849.2863159179688,1236.3673095703125,6253.9375,11594.1591796875,9687.2373046875,4971.81591796875,296.0008850097656,2403.27587890625,869.0573120117188,2733.73583984375,708694.75,119469.953125,25368.03515625,21510.775390625,175.20213317871094,527.6204833984375,1797.8828125,1763.0152587890625,3055.756591796875,740.3861083984375,296.9345397949219,567.053955078125,417.4263916015625,377.8226013183594,436.8013610839844,254.34915161132812,2427.0654296875,1883.5531005859375,887.031494140625,1250.5042724609375,2401.248291015625,955.4158935546875,36155.00390625,8105.21044921875,1115.7039794921875,1230.73974609375,925.7892456054688,3936.85107421875,73981.625,84018.9296875,71827.546875,69519.53125,1000.9945678710938,714.9462890625,178917168.0,1064.7164306640625,21118.10546875,20916.921875,19133.65234375,18384.1171875,8419.4140625,8068.40673828125,7628.39892578125,6861.78564453125,9866,28.007326126098633,29.377288818359375,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.18059539794922,23.619306564331055,1025.4833984375,384150.03125,5.191445350646973,0,10633024,True,BME690,24143,0.0,0.0,0,10629745,24484,0,29.94144058227539,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:44:53.261Z,E,213.1615753173828,515.1763305664062,7128.802734375,9386.2880859375,5096.55615234375,5936.509765625,8274.869140625,7509.96240234375,2725.618408203125,426.36669921875,849.8895874023438,1237.0966796875,6285.18359375,11605.76953125,9638.857421875,4979.76318359375,296.1329040527344,2409.830322265625,870.1204223632812,2743.989501953125,708713.5,119490.421875,25380.951171875,21503.587890625,175.21392822265625,528.063720703125,1800.344482421875,1763.2568359375,3055.437744140625,740.306884765625,296.9849548339844,566.7678833007812,417.45751953125,377.812744140625,437.0076904296875,254.35169982910156,2427.429931640625,1883.4024658203125,886.9298095703125,1250.84716796875,2403.651611328125,954.9445190429688,36154.53515625,8105.099609375,1115.71044921875,1232.042236328125,924.4660034179688,3942.96533203125,73984.1015625,84018.6796875,71826.4140625,69526.109375,1004.1734008789062,713.1299438476562,179169104.0,1065.1429443359375,21119.140625,20917.08203125,19124.109375,18380.689453125,8419.8798828125,8067.62255859375,7628.986328125,6861.86962890625,10167,28.08791160583496,29.457874298095703,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.18059539794922,23.625341415405273,1025.4833984375,382803.71875,5.192771911621094,0,10633464,True,BME690,24144,0.0,0.0,0,10629745,24484,0,29.94144058227539,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:44:53.559Z,E,213.118896484375,514.7767333984375,7133.58837890625,9388.966796875,5096.9599609375,5937.0400390625,8274.6748046875,7509.19384765625,2724.307861328125,426.2415466308594,850.346923828125,1233.9302978515625,6243.72705078125,11608.09765625,9698.2060546875,4975.14599609375,295.9429931640625,2408.63916015625,869.9127807617188,2746.027099609375,708848.0,119524.75,25384.2109375,21508.8359375,175.23300170898438,527.3552856445312,1797.6500244140625,1767.2838134765625,3069.04248046875,740.236572265625,296.9654541015625,567.4725952148438,417.48284912109375,377.89422607421875,436.9627685546875,254.37742614746094,2427.166015625,1883.2557373046875,887.05419921875,1250.97021484375,2401.876953125,954.5234375,36153.26171875,8104.67724609375,1116.440673828125,1230.90625,925.3450927734375,3941.44775390625,73991.8984375,84036.265625,71820.625,69528.3984375,1002.4658813476562,712.7173461914062,179402176.0,1066.77001953125,21120.5234375,20918.76953125,19130.359375,18386.10546875,8419.2958984375,8068.11767578125,7628.76904296875,6860.9404296875,10468,28.007326126098633,29.457874298095703,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.18092918395996,23.625328063964844,1025.48583984375,383139.4375,5.192866325378418,0,10633905,True,BME690,24145,0.0,0.0,0,10629745,24484,0,29.94144058227539,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:44:53.860Z,E,213.2681884765625,515.206787109375,7135.8095703125,9387.716796875,5097.00830078125,5937.0703125,8275.5224609375,7505.44970703125,2729.553955078125,426.4490661621094,849.5986328125,1234.7158203125,6288.81982421875,11642.23828125,9759.3046875,4995.0751953125,296.0270080566406,2417.1328125,869.2654418945312,2749.844970703125,708999.3125,119471.109375,25376.572265625,21509.705078125,175.22500610351562,528.125244140625,1797.2381591796875,1763.9591064453125,3045.459716796875,740.4537963867188,296.9363708496094,567.0294799804688,417.4283752441406,377.90032958984375,437.0494689941406,254.33294677734375,2427.35546875,1883.803955078125,886.8082885742188,1250.672607421875,2405.536376953125,955.2848510742188,36152.796875,8104.5859375,1116.18359375,1233.301513671875,924.1099853515625,3945.947021484375,73978.765625,84035.5078125,71826.5625,69529.546875,1001.9466552734375,713.6557006835938,179628048.0,1065.57470703125,21117.26171875,20915.62890625,19128.619140625,18382.369140625,8419.53125,8067.60498046875,7628.72119140625,6861.35595703125,10769,27.926740646362305,29.457874298095703,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.18092918395996,23.625328063964844,1025.48583984375,383139.4375,5.192866325378418,0,10633905,True,BME690,24145,0.0,0.0,0,10629745,24484,0,29.94144058227539,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:44:54.161Z,E,213.28294372558594,515.3289184570312,7136.02587890625,9386.6875,5096.88037109375,5936.6591796875,8276.5419921875,7505.998046875,2729.080810546875,425.9400329589844,850.4255981445312,1234.838134765625,6265.6318359375,11654.0439453125,9761.501953125,4985.6982421875,295.9257507324219,2415.696044921875,869.4268798828125,2749.76904296875,709027.625,119533.265625,25372.1171875,21511.80859375,175.21751403808594,528.2975463867188,1799.58837890625,1763.3515625,3055.42822265625,740.037841796875,296.9598083496094,566.8543090820312,417.4430236816406,377.8938903808594,437.0030822753906,254.36854553222656,2428.0673828125,1883.9169921875,886.948974609375,1250.892822265625,2398.986572265625,954.9197387695312,36129.08203125,8103.60302734375,1116.3997802734375,1236.0272216796875,924.64501953125,3936.809814453125,74002.265625,84038.21875,71839.3828125,69528.2734375,1003.1221313476562,714.38916015625,179827040.0,1067.4351806640625,21118.2890625,20912.359375,19126.7578125,18382.8515625,8419.1171875,8067.7783203125,7627.74462890625,6861.9169921875,11070,28.007326126098633,29.377288818359375,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.18092918395996,23.631362915039062,1025.4842529296875,383139.4375,5.194192886352539,0,10634345,True,BME690,24146,0.0,0.0,0,10629745,24484,0,29.94144058227539,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:44:54.462Z,E,213.3309783935547,515.0318603515625,7133.19970703125,9387.134765625,5096.4814453125,5936.67529296875,8275.3271484375,7510.060546875,2725.927490234375,426.3058166503906,850.615966796875,1236.96142578125,6252.322265625,11659.5517578125,9753.951171875,4983.48486328125,295.9222717285156,2412.454833984375,869.1892700195312,2734.576171875,708799.0,119494.5234375,25380.85546875,21508.40234375,175.2016143798828,527.40087890625,1797.09130859375,1765.56396484375,3059.59423828125,740.67041015625,296.965576171875,566.9234619140625,417.4117736816406,377.87799072265625,437.06402587890625,254.3741455078125,2428.143798828125,1884.218505859375,886.926025390625,1251.19775390625,2400.096435546875,955.0628662109375,36123.62890625,8104.29638671875,1115.76611328125,1235.1639404296875,923.1287231445312,3949.055419921875,74012.96875,84034.890625,71835.4375,69542.5625,1003.3395385742188,715.0210571289062,179684320.0,1068.67578125,21116.916015625,20914.412109375,19131.435546875,18386.154296875,8420.302734375,8067.87841796875,7628.408203125,6861.84423828125,11371,28.08791160583496,29.377288818359375,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.18059539794922,23.631376266479492,1025.42236328125,385505.875,5.194097995758057,0,10634785,True,BME690,24147,0.0,0.0,0,10634759,24484,0,28.915096282958984,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:44:54.763Z,E,213.24928283691406,514.8941650390625,7125.06640625,9386.36328125,5096.7158203125,5936.30810546875,8272.9365234375,7508.36328125,2730.600341796875,426.3485107421875,851.0043334960938,1234.7310791015625,6243.623046875,11619.4052734375,9709.59765625,4981.546875,295.84954833984375,2411.86279296875,868.7073974609375,2724.089111328125,708368.875,119414.21875,25369.73046875,21506.126953125,175.1644744873047,528.23681640625,1801.9058837890625,1761.6219482421875,3059.102783203125,740.4552612304688,296.90069580078125,566.954833984375,417.32177734375,377.8302307128906,436.9393005371094,254.38082885742188,2427.4501953125,1883.8150634765625,886.7196044921875,1251.170166015625,2402.629638671875,955.4811401367188,36139.9609375,8104.74560546875,1116.402099609375,1234.0770263671875,922.3976440429688,3947.824951171875,73992.0859375,84027.3046875,71839.5859375,69547.6796875,1002.3836669921875,713.548828125,179743648.0,1066.452880859375,21117.25,20915.3046875,19133.4453125,18391.3125,8419.73828125,8067.6591796875,7628.916015625,6862.47509765625,11673,28.08791160583496,29.457874298095703,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.18059539794922,23.631376266479492,1025.42236328125,385505.875,5.194097995758057,0,10634785,True,BME690,24147,0.0,0.0,0,10634759,24484,0,28.915096282958984,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T16:44:55.065Z,E,213.17649841308594,514.693359375,7125.67431640625,9386.3623046875,5096.24853515625,5936.017578125,8272.908203125,7509.95361328125,2727.693115234375,425.95263671875,849.9169921875,1235.93212890625,6249.11328125,11616.93359375,9757.4375,4977.62646484375,296.068359375,2412.615966796875,868.9258422851562,2729.8173828125,708408.8125,119389.0703125,25356.798828125,21497.07421875,175.1778106689453,527.8405151367188,1799.7203369140625,1756.2718505859375,3062.5966796875,741.2136840820312,296.8568420410156,566.8720092773438,417.3218078613281,377.82684326171875,437.10406494140625,254.40786743164062,2426.835205078125,1883.039794921875,886.7499389648438,1251.1544189453125,2396.674560546875,955.983154296875,36147.56640625,8104.8486328125,1116.026123046875,1233.710205078125,923.2525024414062,3950.101806640625,73975.2421875,84032.0234375,71829.3515625,69547.734375,1001.9811401367188,714.6253662109375,179537120.0,1067.9521484375,21116.49609375,20915.28515625,19128.3203125,18384.3359375,8419.5087890625,8067.904296875,7627.1171875,6861.8935546875,11974,28.08791160583496,29.457874298095703,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.18059539794922,23.64344596862793,1025.3663330078125,384488.125,5.196751117706299,0,10635225,True,BME690,24148,0.0,0.0,0,10634759,24484,0,28.915096282958984,13,AmbientSamplingRFC
