component_sn,sn,d,t,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,event_name
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T17:06:22.111Z,E,209.5186309814453,506.6963195800781,7116.22998046875,9366.916015625,5088.5361328125,5926.1708984375,8239.76953125,7479.5107421875,2654.553955078125,416.5923156738281,836.2764282226562,1219.578857421875,6199.34521484375,11496.5126953125,9613.9765625,4881.82421875,288.619140625,2391.122802734375,849.6171264648438,2636.191650390625,705351.75,119116.875,25278.634765625,21448.064453125,172.084228515625,517.7960205078125,1775.0224609375,1740.8250732421875,3045.173095703125,727.690185546875,292.0519714355469,552.50537109375,416.5665283203125,377.22900390625,436.53375244140625,254.1092071533203,2418.84326171875,1878.3455810546875,885.3659057617188,1248.46533203125,2367.806396484375,928.8551635742188,36093.7578125,8097.091796875,1091.8865966796875,1203.068359375,906.5344848632812,3933.851806640625,73891.546875,83937.671875,71745.9296875,69456.0078125,983.256103515625,704.8984375,181300816.0,1055.3250732421875,21084.193359375,20887.056640625,19110.970703125,18360.779296875,8405.275390625,8051.59521484375,7615.90185546875,6840.0576171875,790,27.84615135192871,29.21611785888672,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.053495407104492,23.371185302734375,1025.45458984375,403298.46875,5.100085735321045,0,11914120,True,BME690,27052,0.0,0.0,0,11913791,24484,0,28.980762481689453,13,pre-baseline
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T17:06:22.664Z,E,209.46449279785156,507.2166442871094,7120.95263671875,9370.3779296875,5089.8115234375,5926.77587890625,8241.9677734375,7481.7861328125,2654.54052734375,416.87451171875,835.406494140625,1220.2886962890625,6222.80126953125,11463.3115234375,9592.509765625,4884.2265625,288.79522705078125,2393.576171875,849.1972045898438,2633.605224609375,705810.0625,119208.921875,25275.716796875,21454.09375,172.07688903808594,518.9542236328125,1774.033203125,1742.841064453125,3050.321044921875,728.1372680664062,292.1787414550781,552.560791015625,416.6879577636719,377.2675476074219,436.5721435546875,254.1549530029297,2419.7275390625,1879.333740234375,885.5676879882812,1248.7164306640625,2364.510009765625,929.4324951171875,36109.96484375,8101.00732421875,1092.13037109375,1201.908447265625,906.8801879882812,3942.21044921875,73937.6796875,83961.609375,71794.5234375,69497.359375,984.8463745117188,705.991455078125,182426800.0,1051.6373291015625,21084.619140625,20894.873046875,19115.177734375,18361.205078125,8406.158203125,8053.0126953125,7617.0146484375,6841.40869140625,9519,27.926740646362305,29.377288818359375,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.054828643798828,23.44956398010254,1025.4561767578125,401077.125,5.117575645446777,0,11922487,True,BME690,27071,0.0,0.0,0,11918794,24484,0,29.932945251464844,13,pre-baseline
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T17:06:22.965Z,E,209.6002960205078,507.0823059082031,7120.40087890625,9371.3154296875,5090.22314453125,5929.09619140625,8241.9599609375,7485.95556640625,2651.707763671875,416.6476745605469,835.9999389648438,1220.472412109375,6224.31494140625,11431.533203125,9632.640625,4883.990234375,288.76531982421875,2394.073974609375,849.4713134765625,2642.679931640625,706002.5625,119198.8671875,25263.96875,21456.205078125,172.09326171875,518.1212768554688,1769.0335693359375,1740.590087890625,3052.424072265625,728.2506713867188,292.18011474609375,552.7445068359375,416.6079406738281,377.2948303222656,436.4829406738281,254.1472930908203,2419.498779296875,1879.4129638671875,885.6556396484375,1248.3814697265625,2367.305419921875,929.80078125,36094.23828125,8100.87744140625,1091.8760986328125,1202.6934814453125,906.4734497070312,3937.43701171875,73943.140625,83965.5703125,71788.328125,69502.9765625,985.17236328125,704.6373901367188,182096784.0,1054.93017578125,21085.494140625,20896.37109375,19115.72265625,18357.427734375,8405.654296875,8052.767578125,7616.771484375,6841.40185546875,9820,27.926740646362305,29.377288818359375,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.054828643798828,23.46162986755371,1025.45458984375,402926.53125,5.120208740234375,0,11922927,True,BME690,27072,0.0,0.0,0,11918794,24484,0,29.932945251464844,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T17:06:23.265Z,E,209.49586486816406,507.0109558105469,7118.99462890625,9371.42578125,5090.28515625,5928.365234375,8242.8330078125,7486.14208984375,2654.7197265625,416.853271484375,834.807373046875,1220.6072998046875,6217.99365234375,11438.125,9569.931640625,4882.27294921875,289.0157470703125,2394.994873046875,850.2369384765625,2633.582763671875,705793.3125,119206.09375,25250.6796875,21461.30859375,172.09027099609375,518.482421875,1775.5755615234375,1739.040771484375,3035.055908203125,728.1463012695312,292.1745300292969,552.2218627929688,416.6493835449219,377.3017883300781,436.5004577636719,254.16241455078125,2419.2109375,1879.3819580078125,885.392333984375,1248.3321533203125,2363.980712890625,929.27685546875,36089.7109375,8099.59228515625,1091.8505859375,1201.9808349609375,908.0210571289062,3941.824462890625,73950.4765625,83980.046875,71796.2421875,69494.390625,985.15673828125,704.8924560546875,181911616.0,1054.700927734375,21084.392578125,20896.625,19117.3046875,18363.537109375,8406.51171875,8053.4599609375,7617.5322265625,6841.60107421875,10121,28.007326126098633,29.377288818359375,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.054494857788086,23.46164321899414,1025.45361328125,403298.46875,5.120114803314209,0,11923367,True,BME690,27073,0.0,0.0,0,11918794,24484,0,29.932945251464844,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T17:06:23.567Z,E,209.58554077148438,507.27996826171875,7116.7236328125,9371.91015625,5090.53173828125,5927.84521484375,8243.833984375,7481.99169921875,2652.87548828125,416.6751403808594,835.1080322265625,1219.149169921875,6166.53076171875,11445.73828125,9605.68359375,4884.69970703125,289.0821838378906,2393.024169921875,850.1063232421875,2630.657470703125,705746.0,119243.0625,25252.556640625,21451.876953125,172.10369873046875,518.836181640625,1775.1690673828125,1743.4620361328125,3035.540771484375,728.4752807617188,292.16595458984375,552.5199584960938,416.6414489746094,377.2420349121094,436.4954528808594,254.19406127929688,2420.45166015625,1879.19189453125,885.5447998046875,1248.257568359375,2364.04833984375,928.7293701171875,36093.1015625,8099.6455078125,1091.7071533203125,1204.815185546875,906.708740234375,3943.69189453125,73956.71875,83984.8828125,71808.734375,69484.2578125,985.31005859375,704.4268188476562,181627728.0,1055.1529541015625,21084.015625,20899.13671875,19116.5703125,18354.884765625,8406.7001953125,8053.3681640625,7617.095703125,6841.1845703125,10423,27.84615135192871,29.377288818359375,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.054494857788086,23.46164321899414,1025.45361328125,403298.46875,5.120114803314209,0,11923367,True,BME690,27073,0.0,0.0,0,11918794,24484,0,29.932945251464844,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T17:06:23.867Z,E,209.51998901367188,506.9263610839844,7116.52197265625,9369.8076171875,5090.4638671875,5927.01953125,8243.037109375,7488.0712890625,2649.998046875,416.49664306640625,835.3509521484375,1220.4710693359375,6169.30126953125,11436.390625,9643.7490234375,4880.90869140625,289.01654052734375,2390.474365234375,850.4164428710938,2630.65966796875,705895.5625,119254.4140625,25259.685546875,21455.404296875,172.0907745361328,518.4539794921875,1773.6929931640625,1741.3455810546875,3050.59130859375,728.5244140625,292.2200927734375,552.6934204101562,416.7038879394531,377.25579833984375,436.6437683105469,254.1715087890625,2419.876220703125,1878.9591064453125,885.5933837890625,1248.2694091796875,2369.20361328125,929.1775512695312,36084.08203125,8100.6572265625,1091.9970703125,1202.8271484375,906.680419921875,3939.2763671875,73948.0234375,83970.0078125,71824.8984375,69482.7109375,985.5482177734375,707.4849853515625,181207232.0,1054.9129638671875,21085.2890625,20892.76171875,19116.89453125,18359.36328125,8405.8515625,8052.8857421875,7617.0625,6841.751953125,10723,28.007326126098633,29.296703338623047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.054494857788086,23.473711013793945,1025.45361328125,405168.46875,5.122748851776123,0,11923808,True,BME690,27074,0.0,0.0,0,11923830,24484,0,30.057775497436523,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T17:06:24.169Z,E,209.6208038330078,506.8681335449219,7121.1328125,9370.869140625,5090.650390625,5928.14794921875,8242.6748046875,7486.21240234375,2649.874267578125,416.63433837890625,834.9524536132812,1220.3681640625,6207.58642578125,11470.9365234375,9671.5673828125,4882.56982421875,288.9181823730469,2392.15234375,850.4905395507812,2637.7548828125,706303.375,119260.71875,25269.251953125,21457.54296875,172.12261962890625,518.7554321289062,1768.7352294921875,1739.7825927734375,3043.9912109375,728.6732788085938,292.20001220703125,552.3452758789062,416.66131591796875,377.3222351074219,436.6966857910156,254.1728057861328,2419.837646484375,1879.748046875,885.5715942382812,1248.4515380859375,2374.048583984375,928.902099609375,36085.5546875,8100.732421875,1092.1131591796875,1201.65283203125,906.8568725585938,3933.660888671875,73942.109375,83972.1015625,71837.296875,69498.5,984.7545166015625,706.5801391601562,181010736.0,1054.0533447265625,21085.3125,20889.45703125,19116.26171875,18364.10546875,8406.853515625,8053.24658203125,7616.42138671875,6842.1484375,11025,27.84615135192871,29.377288818359375,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.054494857788086,23.46767807006836,1025.455322265625,403671.09375,5.121431350708008,0,11924248,True,BME690,27075,0.0,0.0,0,11923830,24484,0,30.057775497436523,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T17:06:24.471Z,E,209.54141235351562,506.5618896484375,7120.36083984375,9368.73046875,5090.001953125,5927.564453125,8243.787109375,7483.8876953125,2656.000732421875,416.87603759765625,835.8261108398438,1223.473876953125,6192.0859375,11446.0625,9640.515625,4882.77392578125,288.810791015625,2392.667724609375,850.2376708984375,2634.43310546875,706246.75,119219.9453125,25264.724609375,21459.01171875,172.1026611328125,518.290283203125,1766.95849609375,1740.3580322265625,3041.165771484375,728.9041137695312,292.2019958496094,552.764892578125,416.7350769042969,377.30584716796875,436.6978759765625,254.1619415283203,2419.7861328125,1879.5230712890625,885.6613159179688,1248.3433837890625,2369.221435546875,930.2373046875,36083.91015625,8101.3564453125,1091.9967041015625,1204.136962890625,905.7691650390625,3929.739501953125,73943.34375,83974.546875,71817.6875,69516.375,984.5025634765625,705.2622680664062,180756112.0,1053.166748046875,21086.103515625,20890.3203125,19115.677734375,18368.326171875,8407.3974609375,8052.86328125,7615.88623046875,6842.2939453125,11327,28.007326126098633,29.377288818359375,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.054494857788086,23.473711013793945,1025.3927001953125,404418.40625,5.122748851776123,0,11924689,True,BME690,27076,0.0,0.0,0,11923830,24484,0,30.057775497436523,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T17:06:24.776Z,E,209.38690185546875,506.91943359375,7118.06201171875,9367.662109375,5089.9287109375,5927.4326171875,8241.4658203125,7481.47607421875,2650.12646484375,416.7650146484375,834.5564575195312,1220.375,6208.7861328125,11494.162109375,9654.0185546875,4888.791015625,288.9747314453125,2388.8056640625,850.0081787109375,2664.216552734375,706079.875,119180.5625,25247.298828125,21454.2890625,172.0727996826172,518.2974243164062,1764.899658203125,1737.188232421875,3040.881103515625,728.8482055664062,292.177001953125,551.9371337890625,416.65496826171875,377.3342590332031,436.5683288574219,254.15579223632812,2419.833251953125,1879.4573974609375,885.5252685546875,1248.1748046875,2364.933837890625,929.6427001953125,36076.62890625,8099.88427734375,1092.1683349609375,1203.1607666015625,906.0789184570312,3931.0810546875,73958.71875,83982.25,71804.640625,69524.28125,985.33251953125,705.5120239257812,180664688.0,1053.9376220703125,21084.822265625,20884.068359375,19118.375,18352.708984375,8406.4951171875,8053.3564453125,7616.55078125,6842.09716796875,11627,28.007326126098633,29.377288818359375,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.054494857788086,23.473711013793945,1025.3927001953125,404418.40625,5.122748851776123,0,11924689,True,BME690,27076,0.0,0.0,0,11923830,24484,0,30.057775497436523,13,AmbientSamplingRFC
0000000009-0926-asu-nz,0000000009-1625-oms-nz,2026-03-18T17:06:25.072Z,E,209.43692016601562,506.59619140625,7119.2001953125,9366.978515625,5090.11328125,5928.45556640625,8239.9248046875,7483.24755859375,2650.27880859375,416.7504577636719,834.9887084960938,1220.250244140625,6210.3359375,11477.396484375,9622.2998046875,4886.82861328125,288.86529541015625,2392.092529296875,849.5367431640625,2662.381591796875,705670.625,119146.8984375,25249.556640625,21454.853515625,172.0901641845703,518.4520874023438,1766.0419921875,1745.4774169921875,3045.78515625,728.2702026367188,292.1105041503906,552.1795043945312,416.6335144042969,377.23699951171875,436.6680603027344,254.1653289794922,2419.3330078125,1878.7435302734375,885.5501098632812,1248.2327880859375,2366.677001953125,929.62255859375,36099.421875,8099.53271484375,1090.9857177734375,1203.9300537109375,906.5458984375,3933.87060546875,73936.0546875,83985.5703125,71836.59375,69500.0078125,985.0150146484375,705.0984497070312,180707648.0,1055.474609375,21084.556640625,20884.4921875,19114.890625,18358.615234375,8407.2470703125,8053.90283203125,7615.84423828125,6842.34130859375,11928,27.926740646362305,29.296703338623047,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4095,0,0,1,24.054494857788086,23.47974395751953,1025.336669921875,405168.46875,5.124065399169922,0,11925129,True,BME690,27077,0.0,0.0,0,11923830,24484,0,30.057775497436523,13,AmbientSamplingRFC
