component_sn,sn,d,t,SETP0,FLW0,ANLT0,event_name
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:22.068Z,E,0,0.052,22160332,pre-baseline
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:23.077Z,E,60,59.78,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:24.085Z,E,60,59.772,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:25.093Z,E,60,59.992,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:26.102Z,E,60,59.94,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:27.110Z,E,60,59.996,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:28.119Z,E,60,59.956,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:29.128Z,E,60,60.0,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:30.136Z,E,60,59.972,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:31.144Z,E,60,60.024,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:32.153Z,E,60,59.936,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:33.160Z,E,60,60.02,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:34.170Z,E,60,59.916,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:35.177Z,E,60,60.032,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:36.187Z,E,60,59.96,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:37.195Z,E,60,59.908,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:38.204Z,E,60,59.864,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:39.214Z,E,60,59.948,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:40.220Z,E,60,60.056,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:41.230Z,E,60,59.972,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:42.236Z,E,60,60.02,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:43.245Z,E,60,59.98,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:44.253Z,E,60,59.772,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:45.262Z,E,60,59.968,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:46.269Z,E,60,59.924,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:47.278Z,E,60,59.82,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:48.287Z,E,60,60.036,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:49.294Z,E,60,59.908,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:50.303Z,E,60,60.044,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:51.312Z,E,60,60.08,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:52.320Z,E,60,60.108,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:53.329Z,E,60,60.124,22160332,AmbientSamplingRFC
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:54.337Z,E,60,60.048,22160332,BreathSampleCollection
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:55.346Z,E,60,60.032,22160332,BreathSampleCollection
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:56.354Z,E,60,60.18,22160332,BreathSampleCollection
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:57.362Z,E,60,60.08,22160332,BreathSampleCollection
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:58.371Z,E,60,60.02,22160332,BreathSampleCollection
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:06:59.379Z,E,60,59.892,22160332,BreathSampleCollection
0000000018-4225-mfc-sn,0000000009-1625-oms-nz,2026-03-18T17:07:00.387Z,E,60,60.084,22160332,BreathSampleCollection
