component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_454625,FLW0_454625,ANLT0_454625,FLW0_181225
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,631e2558-26ca-456e-98be-ba7c2ed8217a,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,726.8516235351562,1034.554931640625,6004.96630859375,5816.8095703125,6004.50927734375,5893.7607421875,10546.828125,8589.931640625,545.5560302734375,553.3355712890625,2559.768798828125,1592.613037109375,10510.7353515625,640.4923706054688,1874.3731689453125,1110.99462890625,1113.55615234375,677.7505493164062,6855.13916015625,6545.04833984375,153192.71875,73241.015625,27468.33203125,18674.873046875,258.9740295410156,525.9910888671875,5491.87109375,572.7299194335938,140.8113250732422,142.64122009277344,1077.545166015625,4015.631103515625,332.44927978515625,312.2754211425781,252.6047821044922,198.8673248291016,1495.7205810546875,1390.586181640625,739.775390625,2003.80322265625,4269.49609375,4020.9951171875,10976.1240234375,4997.14599609375,227.06326293945312,2853.193603515625,2237.17626953125,31749.044921875,87187.5859375,87262.5390625,75862.28125,98691.3984375,217577136,17893.90625,335.0323181152344,604.0935668945312,37757.90625,37893.546875,30268.7734375,40301.609375,8072.20751953125,8432.6376953125,8300.9853515625,9774.1767578125,8498,27.44322204589844,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.38337135314941,22.41293334960937,1003.3916625976562,112104.0,4.708367824554443,0,5576800,True,BME690,12662,0,0,0,5572125,24484,0,29.14916229248047,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 15:32:51.639,"{'cid': '7fd82d06-c79c-4c83-802d-5f43034bb9f7', 'uuid': '73455ac3-86c8-4076-843d-d28a8e5854b1', 'annotationId': '631e2558-26ca-456e-98be-ba7c2ed8217a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773329571061, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T15:32:51.287Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.98,16.26,300.0,292.68,000000000DFEC3B8,1600.0,1596.88,22450161.0,1370.0,1369.92,21470046.0,30.0,30.12,22160332.0,3700.0,3704.39,000000000DFEC3B1,-0.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,631e2558-26ca-456e-98be-ba7c2ed8217a,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,727.2305908203125,1034.2813720703125,6005.1806640625,5812.66162109375,6004.07373046875,5893.50439453125,10547.4833984375,8589.6708984375,546.2117309570312,553.0476684570312,2571.408935546875,1596.00244140625,10508.974609375,640.40087890625,1873.2811279296875,1111.182861328125,1113.999267578125,677.53076171875,6882.333984375,6560.24951171875,153184.078125,73238.1015625,27466.47265625,18676.263671875,258.7869567871094,525.4500122070312,5482.98291015625,573.8928833007812,140.82943725585938,142.67308044433594,1078.2669677734375,4017.719970703125,332.4538879394531,312.2938537597656,252.61761474609372,198.833984375,1495.689208984375,1390.5093994140625,739.7852172851562,2004.4033203125,4260.90625,4013.716552734375,10976.7353515625,4997.412109375,226.9098358154297,2857.7158203125,2237.931396484375,31700.29296875,87190.40625,87264.7109375,75871.171875,98673.734375,217478016,17807.046875,335.09283447265625,602.9528198242188,37751.296875,37887.703125,30265.33984375,40316.31640625,8070.24658203125,8428.740234375,8301.537109375,9774.1640625,8798,27.44322204589844,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.38337135314941,22.41293334960937,1003.3916625976562,112104.0,4.708367824554443,0,5576800,True,BME690,12662,0,0,0,5572125,24484,0,29.14916229248047,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 15:32:51.939,"{'cid': '7fd82d06-c79c-4c83-802d-5f43034bb9f7', 'uuid': '73455ac3-86c8-4076-843d-d28a8e5854b1', 'annotationId': '631e2558-26ca-456e-98be-ba7c2ed8217a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773329571061, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T15:32:51.287Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.98,16.27,300.0,292.68,000000000DFEC3B8,1600.0,1596.88,22450161.0,1370.0,1369.92,21470046.0,30.0,30.12,22160332.0,3700.0,3704.39,000000000DFEC3B1,-0.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,631e2558-26ca-456e-98be-ba7c2ed8217a,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,726.8367919921875,1034.120849609375,6003.81787109375,5812.03466796875,6003.90234375,5893.576171875,10549.1484375,8590.7119140625,546.1157836914062,554.34375,2574.884521484375,1592.3055419921875,10506.9072265625,640.3114624023438,1874.2352294921875,1111.1097412109375,1113.2486572265625,677.4896850585938,6871.748046875,6575.53515625,153211.546875,73259.7734375,27472.666015625,18676.138671875,258.735595703125,525.2291870117188,5490.98095703125,573.5307006835938,140.82965087890625,142.6211395263672,1076.3829345703125,4017.740234375,332.4294738769531,312.30340576171875,252.6018829345703,198.86134338378903,1495.5091552734375,1390.5927734375,739.807861328125,2004.1400146484373,4272.27001953125,4021.488525390625,10969.318359375,4997.1083984375,226.9781494140625,2853.99365234375,2240.44287109375,31696.12890625,87189.4453125,87262.6640625,75871.203125,98696.1328125,217246208,17724.369140625,334.8560485839844,603.9669189453125,37768.77734375,37905.04296875,30255.060546875,40301.75390625,8069.423828125,8433.4443359375,8301.2802734375,9774.033203125,9099,27.44322204589844,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.38337135314941,22.431150436401367,1003.3833618164062,112219.1796875,4.71219539642334,0,5577240,True,BME690,12663,0,0,0,5577156,24484,0,29.05135154724121,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 15:32:52.240,"{'cid': '7fd82d06-c79c-4c83-802d-5f43034bb9f7', 'uuid': '73455ac3-86c8-4076-843d-d28a8e5854b1', 'annotationId': '631e2558-26ca-456e-98be-ba7c2ed8217a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773329571061, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T15:32:51.287Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.98,16.28,300.0,294.02,000000000DFEC3B8,1600.0,1597.26,22450161.0,1370.0,1369.76,21470046.0,30.0,30.07,22160332.0,3700.0,3703.18,000000000DFEC3B1,-0.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,631e2558-26ca-456e-98be-ba7c2ed8217a,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,726.8292236328125,1034.3438720703125,6003.35009765625,5811.57763671875,6004.28564453125,5892.51123046875,10549.3798828125,8590.8583984375,546.0198974609375,553.8717041015625,2578.36962890625,1595.067626953125,10498.3564453125,640.37353515625,1873.75634765625,1111.00537109375,1114.6507568359375,678.4365844726562,6856.47314453125,6587.39404296875,153239.765625,73228.3671875,27477.80078125,18677.314453125,258.7574462890625,525.3159790039062,5467.70703125,572.9358520507812,140.79458618164062,142.66017150878906,1076.46240234375,4021.9208984375,332.42999267578125,312.3316650390625,252.6260528564453,198.81710815429688,1495.7027587890625,1390.561767578125,739.7486572265625,2003.278564453125,4265.11328125,4017.42333984375,10981.7138671875,4997.06396484375,227.01011657714844,2858.469970703125,2238.355712890625,31693.443359375,87190.078125,87263.265625,75872.90625,98697.3828125,216963888,17822.603515625,335.0391540527344,603.763916015625,37764.5625,37900.109375,30256.146484375,40300.453125,8069.44677734375,8431.5498046875,8301.814453125,9771.4169921875,9401,27.5238094329834,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.383037567138672,22.443309783935547,1003.3792114257812,112104.0,4.714660167694092,0,5577681,True,BME690,12664,0,0,0,5577156,24484,0,29.05135154724121,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 15:32:52.543,"{'cid': '7fd82d06-c79c-4c83-802d-5f43034bb9f7', 'uuid': '73455ac3-86c8-4076-843d-d28a8e5854b1', 'annotationId': '631e2558-26ca-456e-98be-ba7c2ed8217a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773329571061, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T15:32:51.287Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.99,16.29,300.0,295.6,000000000DFEC3B8,1600.0,1597.72,22450161.0,1370.0,1369.57,21470046.0,30.0,30.01,22160332.0,3700.0,3701.69,000000000DFEC3B1,-0.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,631e2558-26ca-456e-98be-ba7c2ed8217a,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,726.8065185546875,1034.09814453125,6006.80419921875,5812.5712890625,6003.26708984375,5893.31787109375,10548.3291015625,8593.41796875,546.2850341796875,553.9866943359375,2580.034423828125,1593.3990478515625,10508.521484375,640.4130249023438,1873.532958984375,1111.5338134765625,1113.324462890625,677.4984130859375,6882.29736328125,6597.4306640625,153237.5625,73237.09375,27481.21875,18670.6171875,258.8989562988281,525.5665893554688,5484.4833984375,572.9852905273438,140.77281188964844,142.64132690429688,1077.471923828125,4030.17724609375,332.4208679199219,312.2929992675781,252.61412048339844,198.7843475341797,1495.7987060546875,1390.600830078125,739.8003540039062,2003.1409912109373,4265.861328125,4019.19921875,10970.8203125,4997.25341796875,226.95323181152344,2865.40625,2250.468994140625,31685.04296875,87188.96875,87262.0859375,75870.1484375,98691.5,216721184,17856.47265625,334.9535827636719,603.7456665039062,37769.6796875,37905.41015625,30244.330078125,40275.01171875,8070.83251953125,8432.3544921875,8302.6025390625,9771.2470703125,9701,27.44322204589844,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.383037567138672,22.443309783935547,1003.3792114257812,112104.0,4.714660167694092,0,5577681,True,BME690,12664,0,0,0,5577156,24484,0,29.05135154724121,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 15:32:52.843,"{'cid': '7fd82d06-c79c-4c83-802d-5f43034bb9f7', 'uuid': '73455ac3-86c8-4076-843d-d28a8e5854b1', 'annotationId': '631e2558-26ca-456e-98be-ba7c2ed8217a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773329571061, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T15:32:51.287Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.99,16.3,300.0,297.17,000000000DFEC3B8,1600.0,1598.17,22450161.0,1370.0,1369.38,21470046.0,30.0,29.95,22160332.0,3700.0,3700.2,000000000DFEC3B1,-0.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,631e2558-26ca-456e-98be-ba7c2ed8217a,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,727.324951171875,1034.4954833984375,6007.45556640625,5815.68603515625,6003.59130859375,5892.78466796875,10551.5078125,8590.7099609375,546.0703735351562,553.9431762695312,2573.750244140625,1593.5579833984375,10509.4384765625,640.6055297851562,1874.127197265625,1111.51708984375,1113.3004150390625,676.990234375,6880.7119140625,6596.12646484375,153209.859375,73231.90625,27480.998046875,18675.314453125,258.7898254394531,525.8126220703125,5503.0869140625,573.2703247070312,140.8280487060547,142.65664672851562,1077.5601806640625,4021.6240234375,332.4693298339844,312.2635803222656,252.67567443847656,198.8374786376953,1495.6414794921875,1390.6427001953125,739.8059692382812,2003.1561279296875,4272.5869140625,4024.300537109375,10970.1298828125,4997.4638671875,226.97628784179688,2861.377197265625,2240.88232421875,31666.71484375,87205.4375,87278.6484375,75866.703125,98694.671875,216767840,17793.830078125,335.1252136230469,603.2560424804688,37762.87109375,37898.01171875,30263.54296875,40304.65625,8072.8193359375,8431.5712890625,8302.458984375,9772.916015625,10002,27.44322204589844,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.38337135314941,22.44936752319336,1003.376708984375,112219.1796875,4.71602201461792,0,5578121,True,BME690,12665,0,0,0,5577156,24484,0,29.05135154724121,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 15:32:53.144,"{'cid': '7fd82d06-c79c-4c83-802d-5f43034bb9f7', 'uuid': '73455ac3-86c8-4076-843d-d28a8e5854b1', 'annotationId': '631e2558-26ca-456e-98be-ba7c2ed8217a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773329571061, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T15:32:51.287Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.98,16.32,300.0,298.14,000000000DFEC3B8,1600.0,1598.63,22450161.0,1370.0,1369.3,21470046.0,30.0,29.92,22160332.0,3700.0,3699.33,000000000DFEC3B1,-0.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,631e2558-26ca-456e-98be-ba7c2ed8217a,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,727.0311279296875,1034.662841796875,6006.48876953125,5816.00146484375,6002.759765625,5893.6025390625,10548.6044921875,8592.1591796875,546.7272338867188,554.154541015625,2572.612548828125,1592.856201171875,10499.68359375,640.6663208007812,1873.5413818359373,1111.8541259765625,1113.1583251953125,677.29296875,6879.97900390625,6597.73095703125,153216.359375,73244.25,27487.689453125,18672.322265625,258.79034423828125,525.3673095703125,5489.3408203125,573.8019409179688,140.82301330566406,142.66748046875,1078.3197021484375,4029.999755859375,332.4430847167969,312.3370056152344,252.58888244628903,198.79579162597656,1495.7747802734375,1390.614501953125,739.7457885742188,2004.0523681640625,4273.6337890625,4026.85107421875,10969.1103515625,4997.2177734375,226.87210083007807,2867.537109375,2248.01513671875,31649.3125,87199.9375,87274.828125,75864.0625,98702.875,216733136,17816.921875,334.9945678710937,604.923583984375,37761.859375,37897.94140625,30249.505859375,40303.0390625,8072.19921875,8431.21875,8303.4375,9772.85546875,10304,27.604394912719727,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.38337135314941,22.455440521240234,1003.322021484375,112104.0,4.717297554016113,0,5578561,True,BME690,12666,0,0,0,5577156,24484,0,29.05135154724121,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 15:32:53.445,"{'cid': '7fd82d06-c79c-4c83-802d-5f43034bb9f7', 'uuid': '73455ac3-86c8-4076-843d-d28a8e5854b1', 'annotationId': '631e2558-26ca-456e-98be-ba7c2ed8217a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773329571061, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T15:32:51.287Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.98,16.35,300.0,298.52,000000000DFEC3B8,1600.0,1599.08,22450161.0,1370.0,1369.35,21470046.0,30.0,29.92,22160332.0,3700.0,3699.16,000000000DFEC3B1,-0.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,631e2558-26ca-456e-98be-ba7c2ed8217a,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,727.583251953125,1034.9481201171875,6007.2578125,5812.10791015625,6003.525390625,5893.4091796875,10550.8173828125,8592.7255859375,546.3025512695312,553.464599609375,2580.1435546875,1594.4342041015625,10485.982421875,640.3904418945312,1871.1812744140625,1111.088623046875,1114.472900390625,677.91015625,6893.275390625,6568.17236328125,153216.953125,73248.203125,27483.576171875,18671.82421875,258.8119812011719,525.1622314453125,5483.9267578125,573.3925170898438,140.8021240234375,142.64186096191406,1076.9801025390625,4032.45751953125,332.43994140625,312.27752685546875,252.61471557617188,198.86351013183597,1495.6463623046875,1390.435302734375,739.79541015625,2004.4876708984373,4266.849609375,4019.23388671875,10975.9482421875,4997.0986328125,226.92184448242188,2859.81396484375,2241.05517578125,31648.966796875,87194.3046875,87268.0234375,75866.109375,98688.6171875,216584576,17741.51171875,335.0549621582031,603.9314575195312,37767.23046875,37902.4140625,30247.4375,40248.87109375,8074.98095703125,8433.0751953125,8302.4443359375,9774.1416015625,10604,27.36263656616211,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.38337135314941,22.455440521240234,1003.322021484375,112104.0,4.717297554016113,0,5578561,True,BME690,12666,0,0,0,5577156,24484,0,29.05135154724121,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 15:32:53.748,"{'cid': '7fd82d06-c79c-4c83-802d-5f43034bb9f7', 'uuid': '73455ac3-86c8-4076-843d-d28a8e5854b1', 'annotationId': '631e2558-26ca-456e-98be-ba7c2ed8217a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773329571061, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T15:32:51.287Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.97,16.37,300.0,298.9,000000000DFEC3B8,1600.0,1599.54,22450161.0,1370.0,1369.4,21470046.0,30.0,29.92,22160332.0,3700.0,3698.98,000000000DFEC3B1,-0.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,631e2558-26ca-456e-98be-ba7c2ed8217a,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,727.1907958984375,1034.5098876953125,6006.56982421875,5816.21875,6003.92333984375,5893.130859375,10551.5029296875,8591.8212890625,546.6744384765625,553.8126831054688,2583.510986328125,1593.5146484375,10516.19140625,640.4087524414062,1873.0006103515625,1112.3818359375,1112.92724609375,676.3175659179688,6886.18603515625,6573.810546875,153221.828125,73252.3671875,27474.1015625,18673.435546875,258.5328369140625,524.7498168945312,5472.04833984375,573.8304443359375,140.82969665527344,142.69003295898438,1077.5501708984375,4033.366943359375,332.4335021972656,312.28729248046875,252.61981201171875,198.84622192382807,1495.7425537109375,1390.5489501953125,739.74365234375,2003.53369140625,4276.791015625,4025.0078125,10973.4775390625,4997.21484375,226.95758056640625,2865.046630859375,2246.926513671875,31602.91015625,87184.140625,87258.1328125,75862.0390625,98702.6953125,216430352,17832.78515625,335.1317749023437,605.299560546875,37768.546875,37904.94921875,30255.009765625,40294.44921875,8070.62109375,8432.2314453125,8303.4609375,9773.998046875,10905,27.5238094329834,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.38370513916016,22.461498260498047,1003.2731323242188,111989.0625,4.7186598777771,0,5579001,True,BME690,12667,0,0,0,5577156,24484,0,29.05135154724121,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 15:32:54.051,"{'cid': '7fd82d06-c79c-4c83-802d-5f43034bb9f7', 'uuid': '73455ac3-86c8-4076-843d-d28a8e5854b1', 'annotationId': '631e2558-26ca-456e-98be-ba7c2ed8217a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773329571061, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T15:32:51.287Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.97,16.38,300.0,299.25,000000000DFEC3B8,1600.0,1599.86,22450161.0,1370.0,1369.44,21470046.0,30.0,29.92,22160332.0,3700.0,3698.77,000000000DFEC3B1,-0.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,631e2558-26ca-456e-98be-ba7c2ed8217a,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,727.242919921875,1034.484375,6006.6826171875,5815.4765625,6004.4033203125,5892.46875,10548.6162109375,8592.5205078125,545.9659423828125,553.6050415039062,2582.226318359375,1595.5469970703125,10495.44921875,640.5255126953125,1873.53173828125,1112.0008544921875,1113.0772705078125,677.0562133789062,6893.1005859375,6572.6904296875,153178.484375,73250.65625,27477.986328125,18677.513671875,258.8783264160156,525.42724609375,5480.876953125,573.777099609375,140.79757690429688,142.66065979003906,1076.8831787109375,4030.395263671875,332.4466857910156,312.31768798828125,252.6069793701172,198.85626220703125,1495.52001953125,1390.503662109375,739.690673828125,2003.8082275390625,4265.86962890625,4018.0078125,10976.1591796875,4997.26220703125,227.0481719970703,2857.74169921875,2244.3017578125,31603.396484375,87196.0,87270.625,75872.5234375,98711.828125,216444320,17894.755859375,335.22564697265625,605.2919311523438,37764.32421875,37900.73046875,30232.923828125,40263.62890625,8070.0087890625,8435.505859375,8304.4130859375,9773.2724609375,11206,27.5238094329834,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.3840389251709,22.4736270904541,1003.229248046875,112104.0,4.721297264099121,0,5579441,True,BME690,12668,0,0,0,5577156,24484,0,29.05135154724121,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 15:32:54.350,"{'cid': '7fd82d06-c79c-4c83-802d-5f43034bb9f7', 'uuid': '73455ac3-86c8-4076-843d-d28a8e5854b1', 'annotationId': '631e2558-26ca-456e-98be-ba7c2ed8217a', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773329571061, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T15:32:51.287Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.98,16.39,300.0,299.42,000000000DFEC3B8,1600.0,1599.51,22450161.0,1370.0,1369.41,21470046.0,30.0,29.97,22160332.0,3700.0,3698.31,000000000DFEC3B1,-0.0
