component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_184324,FLW0_184324,ANLT0_184324,FLW0_181225,SETP0_813024,FLW0_813024,ANLT0_813024
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,6bf83ed1-c92c-4cf8-96ab-05a04cdc4a69,8ace83d2-b948-4266-8dcc-696a43a086a8,631.5481567382812,922.5516967773438,5964.27685546875,5782.29541015625,5960.87744140625,5863.03955078125,10407.546875,8482.888671875,534.1873779296875,543.7249145507812,2354.35205078125,1424.698974609375,9580.03125,572.4334106445312,1677.796875,971.3462524414062,1082.0001220703125,658.7304077148438,6376.42822265625,5991.52099609375,151948.859375,72632.546875,27277.025390625,18544.056640625,251.1058807373047,511.7859191894531,5349.10546875,565.033203125,134.5882110595703,137.4532928466797,998.9383544921876,3482.182861328125,329.9468078613281,310.2091979980469,251.97071838378903,198.3381500244141,1485.14697265625,1380.9627685546875,737.1551513671875,1993.419189453125,3994.61572265625,3758.529052734375,10912.7607421875,4967.5234375,223.1831817626953,2754.1005859375,2191.22802734375,30913.16015625,86431.4296875,86505.7265625,75249.984375,97823.8203125,218345312,17359.7734375,324.1650390625,585.2835693359375,37510.65625,37642.6875,30069.578125,39923.37890625,7973.12744140625,8325.603515625,8202.0185546875,9637.470703125,9660,28.007326126098636,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.993953704833984,19.42292022705078,1002.97607421875,118552.8203125,4.224220275878906,0,10556720,True,BME690,23971,0,0,0,10555682,24484,0,28.933853149414062,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 24, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:55:52.596,"{'cid': '5d40ac75-ab51-476e-bc7d-635de67eb7f2', 'uuid': 'cb893c5f-cc8d-43a3-acb1-bfecd6a76593', 'annotationId': '6bf83ed1-c92c-4cf8-96ab-05a04cdc4a69', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773334552170, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:55:52.396Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.34,16.26,300.0,299.8,000000000DFEC3B8,3700.0,3695.21,000000000DFEC3B1,150.0,149.55,22160332.0,1250.0,1248.32,21470046.0,-0.01,1600.0,1598.88,22450161.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,6bf83ed1-c92c-4cf8-96ab-05a04cdc4a69,8ace83d2-b948-4266-8dcc-696a43a086a8,631.8231201171875,922.7069702148438,5964.74755859375,5778.2099609375,5961.1416015625,5862.7890625,10413.8076171875,8481.5732421875,533.8198852539062,544.2587890625,2363.634765625,1425.8873291015625,9593.455078125,572.3076171875,1679.4217529296875,971.6506958007812,1082.0106201171875,658.5851440429688,6387.9658203125,6003.87744140625,151972.609375,72634.1796875,27282.30078125,18546.03125,251.1677398681641,511.563720703125,5355.55224609375,564.668701171875,134.59364318847656,137.4344940185547,1000.0994262695312,3478.801513671875,329.98309326171875,310.197021484375,251.99305725097656,198.3322906494141,1485.07763671875,1380.996826171875,737.1670532226562,1992.6998291015625,3994.989013671875,3759.2138671875,10910.986328125,4967.591796875,223.1502685546875,2751.220947265625,2196.3505859375,30842.271484375,86433.2890625,86507.875,75251.9765625,97816.875,218392544,17273.59375,324.11798095703125,584.2476806640625,37510.98046875,37643.5546875,30068.84375,39871.05078125,7971.82373046875,8324.7333984375,8203.3095703125,9636.2373046875,9961,28.007326126098636,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.994287490844727,19.42290306091309,1002.980224609375,118552.8203125,4.2242960929870605,0,10557160,True,BME690,23972,0,0,0,10555682,24484,0,28.933853149414062,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 24, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:55:52.895,"{'cid': '5d40ac75-ab51-476e-bc7d-635de67eb7f2', 'uuid': 'cb893c5f-cc8d-43a3-acb1-bfecd6a76593', 'annotationId': '6bf83ed1-c92c-4cf8-96ab-05a04cdc4a69', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773334552170, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:55:52.396Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.34,16.26,300.0,299.8,000000000DFEC3B8,3700.0,3695.21,000000000DFEC3B1,150.0,149.55,22160332.0,1250.0,1248.32,21470046.0,-0.01,1600.0,1598.88,22450161.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,6bf83ed1-c92c-4cf8-96ab-05a04cdc4a69,8ace83d2-b948-4266-8dcc-696a43a086a8,631.59033203125,922.4427490234376,5963.98779296875,5780.4287109375,5958.560546875,5862.1845703125,10413.6796875,8483.6376953125,534.6821899414062,544.7518920898438,2361.443603515625,1424.174560546875,9562.0419921875,572.3892211914062,1679.537109375,971.6765747070312,1080.9151611328125,657.7950439453125,6379.06884765625,6019.595703125,151945.5625,72642.484375,27272.59765625,18541.912109375,251.1142425537109,512.0450439453125,5359.9130859375,565.1629638671875,134.58453369140625,137.4447479248047,997.0120239257812,3481.70703125,329.9910583496094,310.2323303222656,251.97589111328125,198.34722900390625,1485.260009765625,1381.111328125,737.222412109375,1992.6002197265625,3994.485107421875,3759.419921875,10911.3857421875,4967.80078125,223.14788818359372,2753.793212890625,2196.83642578125,30899.771484375,86429.203125,86503.7109375,75251.2421875,97825.6875,218474096,17354.513671875,324.1940612792969,585.2125854492188,37508.671875,37641.046875,30069.90625,39892.23828125,7972.29541015625,8324.498046875,8202.615234375,9638.5625,10262,27.84615135192871,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,23.994287490844727,19.42898941040039,1002.9835205078124,118296.03125,4.225620269775391,0,10557600,True,BME690,23973,0,0,0,10555682,24484,0,28.933853149414062,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 24, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:55:53.196,"{'cid': '5d40ac75-ab51-476e-bc7d-635de67eb7f2', 'uuid': 'cb893c5f-cc8d-43a3-acb1-bfecd6a76593', 'annotationId': '6bf83ed1-c92c-4cf8-96ab-05a04cdc4a69', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773334552170, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:55:52.396Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.34,16.25,300.0,299.25,000000000DFEC3B8,3700.0,3695.98,000000000DFEC3B1,150.0,149.57,22160332.0,1250.0,1248.31,21470046.0,-0.01,1600.0,1598.88,22450161.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,6bf83ed1-c92c-4cf8-96ab-05a04cdc4a69,8ace83d2-b948-4266-8dcc-696a43a086a8,631.7341918945312,922.5993041992188,5962.30078125,5781.62744140625,5960.8798828125,5863.19140625,10409.822265625,8480.4970703125,533.3275146484375,543.5447998046875,2350.43359375,1423.7957763671875,9584.8486328125,572.4528198242188,1678.03271484375,971.4961547851562,1081.94921875,658.666015625,6381.5234375,6002.111328125,151910.15625,72638.0859375,27275.130859375,18542.857421875,251.34637451171875,512.3501586914062,5358.21337890625,565.4171752929688,134.5712127685547,137.45205688476562,999.7029418945312,3477.690185546875,329.9419860839844,310.1915588378906,251.99435424804688,198.3507843017578,1485.226318359375,1381.07177734375,737.1865234375,1993.3291015625,4012.625732421875,3773.970703125,10912.8427734375,4967.568359375,223.12591552734372,2767.459716796875,2194.052001953125,30765.849609375,86436.1328125,86509.859375,75249.3671875,97821.5546875,218553584,17333.232421875,324.2016906738281,584.8641967773438,37516.19921875,37648.1875,30067.923828125,39879.78125,7972.068359375,8325.4228515625,8202.138671875,9638.279296875,10563,27.84615135192871,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,23.994287490844727,19.42898941040039,1002.988525390625,118552.8203125,4.225620269775391,0,10558040,True,BME690,23974,0,0,0,10555682,24484,0,28.933853149414062,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 24, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:55:53.498,"{'cid': '5d40ac75-ab51-476e-bc7d-635de67eb7f2', 'uuid': 'cb893c5f-cc8d-43a3-acb1-bfecd6a76593', 'annotationId': '6bf83ed1-c92c-4cf8-96ab-05a04cdc4a69', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773334552170, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:55:52.396Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.33,16.24,300.0,297.58,000000000DFEC3B8,3700.0,3698.32,000000000DFEC3B1,150.0,149.63,22160332.0,1250.0,1248.29,21470046.0,-0.01,1600.0,1598.88,22450161.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,6bf83ed1-c92c-4cf8-96ab-05a04cdc4a69,8ace83d2-b948-4266-8dcc-696a43a086a8,631.7023315429688,922.390625,5963.97265625,5779.64306640625,5960.77880859375,5863.66650390625,10414.9482421875,8483.5205078125,534.1166381835938,543.9507446289062,2353.913818359375,1427.2884521484375,9550.349609375,572.4150390625,1679.5897216796875,971.552734375,1080.12841796875,657.8388061523438,6405.14208984375,5998.79345703125,151946.078125,72627.65625,27278.41796875,18542.091796875,251.19796752929688,511.7743225097656,5352.2978515625,565.3006591796875,134.60548400878906,137.4500732421875,999.7308349609376,3478.351806640625,329.9891967773437,310.2269897460937,251.99343872070312,198.3175048828125,1485.1458740234375,1381.1575927734375,737.201171875,1993.52099609375,3997.615966796875,3756.840576171875,10913.78125,4967.96923828125,223.1792907714844,2770.20458984375,2193.39306640625,30673.134765625,86433.9609375,86508.0390625,75250.1015625,97831.8125,218631504,17335.48828125,324.2708435058594,584.708984375,37503.92578125,37636.08203125,30068.435546875,39886.0390625,7973.54833984375,8324.095703125,8202.0048828125,9638.21875,10864,28.007326126098636,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,23.994287490844727,19.42898941040039,1002.988525390625,118552.8203125,4.225620269775391,0,10558040,True,BME690,23974,0,0,0,10555682,24484,0,28.933853149414062,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 24, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:55:53.797,"{'cid': '5d40ac75-ab51-476e-bc7d-635de67eb7f2', 'uuid': 'cb893c5f-cc8d-43a3-acb1-bfecd6a76593', 'annotationId': '6bf83ed1-c92c-4cf8-96ab-05a04cdc4a69', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773334552170, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:55:52.396Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.33,16.23,300.0,295.93,000000000DFEC3B8,3700.0,3700.64,000000000DFEC3B1,150.0,149.69,22160332.0,1250.0,1248.26,21470046.0,-0.01,1600.0,1598.88,22450161.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,6bf83ed1-c92c-4cf8-96ab-05a04cdc4a69,8ace83d2-b948-4266-8dcc-696a43a086a8,631.6372680664062,922.7528686523438,5964.40087890625,5776.04052734375,5959.287109375,5861.89404296875,10412.048828125,8481.5888671875,534.3067016601562,543.9996948242188,2356.738037109375,1425.773193359375,9617.708984375,572.47412109375,1679.96240234375,971.3410034179688,1082.159912109375,659.065185546875,6388.3779296875,6002.04638671875,151974.890625,72627.9296875,27281.673828125,18544.9609375,251.1251373291016,511.8525695800781,5350.81689453125,566.0623168945312,134.63064575195312,137.43556213378906,1000.5382690429688,3487.216796875,329.92578125,310.25469970703125,252.0041961669922,198.3468170166016,1485.23095703125,1380.9853515625,737.2302856445312,1993.0125732421875,3985.86279296875,3750.908935546875,10914.3515625,4967.72607421875,223.3197479248047,2758.11474609375,2194.22607421875,30731.625,86427.1484375,86502.046875,75250.984375,97834.296875,218739680,17427.35546875,324.3952941894531,585.153564453125,37514.7734375,37647.35546875,30065.857421875,39893.390625,7973.25634765625,8325.552734375,8202.6396484375,9637.2705078125,11165,28.007326126098636,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,23.994287490844727,19.441162109375,1002.9935302734376,118552.8203125,4.228267669677734,0,10558480,True,BME690,23975,0,0,0,10555682,24484,0,28.933853149414062,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 24, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:55:54.104,"{'cid': '5d40ac75-ab51-476e-bc7d-635de67eb7f2', 'uuid': 'cb893c5f-cc8d-43a3-acb1-bfecd6a76593', 'annotationId': '6bf83ed1-c92c-4cf8-96ab-05a04cdc4a69', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773334552170, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:55:52.396Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.33,16.24,300.0,294.24,000000000DFEC3B8,3700.0,3703.02,000000000DFEC3B1,150.0,149.75,22160332.0,1250.0,1248.24,21470046.0,-0.0,1600.0,1598.88,22450161.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,6bf83ed1-c92c-4cf8-96ab-05a04cdc4a69,8ace83d2-b948-4266-8dcc-696a43a086a8,631.7178344726562,922.4456787109376,5964.02392578125,5779.55859375,5960.048828125,5863.32177734375,10413.25,8482.7939453125,533.478515625,543.48046875,2356.646240234375,1426.3955078125,9552.78125,572.643310546875,1678.719482421875,971.5320434570312,1081.0316162109375,658.84033203125,6396.78662109375,5984.1103515625,151983.671875,72633.59375,27280.962890625,18544.869140625,251.19580078125,511.9502258300781,5360.74462890625,564.5151977539062,134.6163330078125,137.4333038330078,999.3966674804688,3476.771728515625,329.9751892089844,310.197998046875,251.96429443359372,198.347900390625,1485.2542724609375,1381.067626953125,737.2845458984375,1993.5322265625,3983.906494140625,3748.89990234375,10912.8740234375,4967.734375,223.16102600097656,2764.9853515625,2192.1865234375,30800.673828125,86436.46875,86511.2265625,75247.0234375,97843.2734375,218782944,17318.4921875,324.1395568847656,583.9749145507812,37535.00390625,37667.34765625,30066.51953125,39905.7109375,7974.50244140625,8325.1591796875,8202.1376953125,9638.5673828125,11466,27.84615135192871,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,23.99462127685547,19.41071319580078,1002.9428100585938,118681.640625,4.221724510192871,0,10558920,True,BME690,23976,0,0,0,10555682,24484,0,28.933853149414062,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 24, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:55:54.401,"{'cid': '5d40ac75-ab51-476e-bc7d-635de67eb7f2', 'uuid': 'cb893c5f-cc8d-43a3-acb1-bfecd6a76593', 'annotationId': '6bf83ed1-c92c-4cf8-96ab-05a04cdc4a69', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773334552170, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:55:52.396Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.34,16.25,300.0,295.1,000000000DFEC3B8,3700.0,3703.23,000000000DFEC3B1,150.0,149.81,22160332.0,1250.0,1248.54,21470046.0,-0.0,1600.0,1598.81,22450161.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,6bf83ed1-c92c-4cf8-96ab-05a04cdc4a69,8ace83d2-b948-4266-8dcc-696a43a086a8,631.7477416992188,922.9017333984376,5963.13671875,5779.42919921875,5960.7265625,5862.82666015625,10408.69921875,8482.62890625,533.6873168945312,544.0867309570312,2354.1923828125,1426.595458984375,9558.6220703125,572.46337890625,1678.2904052734375,971.710693359375,1079.7265625,657.402099609375,6377.84130859375,5995.111328125,151936.671875,72633.1640625,27291.33984375,18545.615234375,251.0760040283203,511.4347229003906,5368.38330078125,564.7060546875,134.597900390625,137.4505157470703,1000.08935546875,3480.161376953125,330.0075988769531,310.239013671875,251.98849487304688,198.30172729492188,1485.44287109375,1380.9375,737.2925415039062,1993.1409912109373,3988.535888671875,3754.103271484375,10910.2490234375,4967.962890625,223.11276245117188,2762.139404296875,2195.666259765625,30930.26953125,86440.1015625,86513.2890625,75257.5078125,97822.703125,218784960,17300.984375,324.2714233398437,584.9691772460938,37514.125,37646.390625,30074.42578125,39892.5859375,7972.7216796875,8327.12109375,8202.205078125,9638.8251953125,11767,27.765565872192383,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,23.99462127685547,19.41071319580078,1002.9428100585938,118681.640625,4.221724510192871,0,10558920,True,BME690,23976,0,0,0,10555682,24484,0,28.933853149414062,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 24, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:55:54.702,"{'cid': '5d40ac75-ab51-476e-bc7d-635de67eb7f2', 'uuid': 'cb893c5f-cc8d-43a3-acb1-bfecd6a76593', 'annotationId': '6bf83ed1-c92c-4cf8-96ab-05a04cdc4a69', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773334552170, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:55:52.396Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.34,16.26,300.0,295.98,000000000DFEC3B8,3700.0,3703.43,000000000DFEC3B1,150.0,149.87,22160332.0,1250.0,1248.85,21470046.0,-0.0,1600.0,1598.74,22450161.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,6bf83ed1-c92c-4cf8-96ab-05a04cdc4a69,8ace83d2-b948-4266-8dcc-696a43a086a8,631.85595703125,922.7955322265624,5963.77001953125,5778.41943359375,5960.03466796875,5862.75927734375,10405.974609375,8484.6279296875,533.71142578125,543.3349609375,2344.447998046875,1425.1409912109375,9568.5888671875,572.1539916992188,1678.677490234375,971.6917724609376,1082.1619873046875,659.0640258789062,6385.60791015625,5989.23046875,151950.78125,72625.1328125,27281.5703125,18546.638671875,251.1707763671875,511.87249755859375,5356.14306640625,565.2168579101562,134.61146545410156,137.4081573486328,999.0044555664062,3489.3828125,329.9409484863281,310.2176818847656,252.00668334960935,198.36578369140625,1485.4041748046875,1380.9505615234375,737.1820068359375,1992.5986328125,3980.552490234375,3746.263427734375,10913.314453125,4967.66259765625,223.16673278808597,2757.265380859375,2192.72802734375,30832.404296875,86438.0625,86512.4609375,75263.8359375,97829.9296875,218778720,17377.37890625,324.2666015625,585.4249877929688,37515.39453125,37648.1484375,30073.94921875,39908.51171875,7972.79638671875,8326.1181640625,8203.8359375,9638.005859375,12068,28.007326126098636,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.994287490844727,19.41073226928711,1002.8972778320312,118810.7265625,4.221649169921875,0,10559360,True,BME690,23977,0,0,0,10555682,24484,0,28.933853149414062,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 24, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:55:55.003,"{'cid': '5d40ac75-ab51-476e-bc7d-635de67eb7f2', 'uuid': 'cb893c5f-cc8d-43a3-acb1-bfecd6a76593', 'annotationId': '6bf83ed1-c92c-4cf8-96ab-05a04cdc4a69', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773334552170, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:55:52.396Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.34,16.27,300.0,296.85,000000000DFEC3B8,3700.0,3703.64,000000000DFEC3B1,150.0,149.93,22160332.0,1250.0,1249.16,21470046.0,-0.0,1600.0,1598.67,22450161.0
0000000036-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,6bf83ed1-c92c-4cf8-96ab-05a04cdc4a69,8ace83d2-b948-4266-8dcc-696a43a086a8,631.709716796875,922.5875854492188,5964.99267578125,5780.1748046875,5958.84423828125,5862.45751953125,10405.1796875,8484.51953125,533.5992431640625,543.0154418945312,2346.476806640625,1426.87255859375,9556.7841796875,572.6437377929688,1677.6925048828125,971.493408203125,1082.2352294921875,659.1928100585938,6382.958984375,6022.32861328125,151961.90625,72624.265625,27285.099609375,18545.6171875,251.1419982910156,512.0363159179688,5343.2880859375,564.7816772460938,134.57864379882812,137.43460083007812,999.3451538085938,3484.411865234375,329.9593811035156,310.2020263671875,251.94651794433597,198.3481292724609,1485.224365234375,1381.0306396484375,737.2681274414062,1992.800537109375,3991.5390625,3755.95849609375,10913.9111328125,4967.7353515625,223.1483154296875,2760.836669921875,2194.4189453125,30790.033203125,86439.171875,86514.0703125,75249.015625,97838.78125,218662592,17264.3046875,324.1725158691406,585.0982666015625,37522.609375,37655.3359375,30071.2578125,39941.0234375,7975.39111328125,8327.4296875,8202.693359375,9636.44921875,12369,27.926740646362305,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.994287490844727,19.41681671142578,1002.8557739257812,118810.7265625,4.222972869873047,0,10559800,True,BME690,23978,0,0,0,10555682,24484,0,28.933853149414062,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 24, 'TrialName': 'ASAU360926', 'identifier': 'Ua88K', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 16:55:55.303,"{'cid': '5d40ac75-ab51-476e-bc7d-635de67eb7f2', 'uuid': 'cb893c5f-cc8d-43a3-acb1-bfecd6a76593', 'annotationId': '6bf83ed1-c92c-4cf8-96ab-05a04cdc4a69', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773334552170, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T16:55:52.396Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.33,16.28,300.0,297.32,000000000DFEC3B8,3700.0,3703.35,000000000DFEC3B1,150.0,149.97,22160332.0,1250.0,1249.47,21470046.0,-0.0,1600.0,1598.6,22450161.0
