component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_184225,FLW0_184225,ANLT0_184225,FLW0_181225,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_454625,FLW0_454625,ANLT0_454625,T0_093225,H0_093225
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0c5342af-ea81-4a2e-8c69-42b951d97cc7,de4335f8-2d8f-494f-a206-cca1d5d280e6,729.413330078125,625.7369995117188,5167.8525390625,6660.8564453125,4302.36962890625,4086.529296875,7123.0869140625,6781.2548828125,268.1379089355469,9965.91015625,8070.52099609375,2660.001708984375,1948.107421875,2134.8173828125,23076.478515625,15300.388671875,644.1627197265625,1846.413330078125,7600.9814453125,814.2788696289062,85202.1484375,60804.66015625,19019.181640625,17610.630859375,111.9630889892578,125.68726348876952,1174.55615234375,1249.1207275390625,106.64873504638672,122.17798614501952,549.0929565429688,675.2421875,377.2704772949219,406.0178527832031,361.0355529785156,319.0343017578125,3529.989013671875,2171.917236328125,907.1704711914062,738.3146362304688,934.1275024414062,5530.73291015625,7293.001953125,8533.99609375,21428.927734375,811.1775512695312,935.489013671875,1045.121826171875,86801.5390625,87983.1328125,70080.265625,73503.640625,39781.8984375,230.6486053466797,488.51165771484375,221.59767150878903,21111.203125,17047.37109375,15176.0078125,15873.5654296875,7449.91015625,7079.64013671875,6650.63330078125,6129.88720703125,9114,27.68498039245605,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.80992126464844,24.31214714050293,988.4762573242188,127576.40625,5.232674598693848,0,4893689,True,BME690,11111,0,0,0,4889334,24484,0,27.14508819580078,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 12, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:13:52.181,"{'cid': '953511cb-1ada-4970-9cdf-5eae32274948', 'uuid': '6a563fc6-c048-4498-b615-ca4afae3b176', 'annotationId': '0c5342af-ea81-4a2e-8c69-42b951d97cc7', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773692031642, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:13:51.875Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,296.48,000000000DFEC3B8,1100.0,1099.28,21470046.0,300.0,299.22,22160332.0,-0.0,1600.0,1596.0,22450161.0,3700.0,3696.39,000000000DFEC3B1,22.56,21.08
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0c5342af-ea81-4a2e-8c69-42b951d97cc7,de4335f8-2d8f-494f-a206-cca1d5d280e6,729.4878540039062,625.43994140625,5168.26611328125,6659.70458984375,4303.5595703125,4086.485107421875,7124.291015625,6781.9541015625,268.0658569335937,9955.1787109375,8069.4345703125,2658.08544921875,1947.2423095703125,2135.664306640625,23233.830078125,15295.6484375,644.0046997070312,1849.2177734375,7603.27734375,813.9601440429688,85194.3359375,60805.3046875,19019.46875,17616.564453125,111.94168853759766,125.66919708251952,1171.4886474609375,1254.03125,106.6558074951172,122.1236801147461,548.742919921875,675.123779296875,377.2775573730469,406.0943298339844,361.0702209472656,318.9801940917969,3530.00341796875,2171.794189453125,907.009033203125,738.3389892578125,934.9774780273438,5536.69091796875,7292.4326171875,8533.6923828125,21418.603515625,811.3256225585938,935.4496459960938,1045.0107421875,86793.1640625,87979.34375,70080.75,73499.9609375,39995.53125,230.59103393554688,488.0167846679688,221.5457763671875,21111.326171875,17047.431640625,15174.7587890625,15874.0615234375,7449.99609375,7079.0244140625,6650.939453125,6129.58349609375,9415,27.5238094329834,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.80992126464844,24.32377243041992,988.4779052734376,128552.3671875,5.235176086425781,0,4894130,True,BME690,11112,0,0,0,4889334,24484,0,27.14508819580078,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 12, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:13:52.482,"{'cid': '953511cb-1ada-4970-9cdf-5eae32274948', 'uuid': '6a563fc6-c048-4498-b615-ca4afae3b176', 'annotationId': '0c5342af-ea81-4a2e-8c69-42b951d97cc7', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773692031642, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:13:51.875Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,296.48,000000000DFEC3B8,1100.0,1099.28,21470046.0,300.0,299.22,22160332.0,-0.0,1600.0,1596.0,22450161.0,3700.0,3696.39,000000000DFEC3B1,22.56,21.08
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0c5342af-ea81-4a2e-8c69-42b951d97cc7,de4335f8-2d8f-494f-a206-cca1d5d280e6,729.5858764648438,626.0473022460938,5168.95947265625,6660.26611328125,4302.72998046875,4086.54296875,7124.646484375,6783.67431640625,268.1498718261719,9911.88671875,8059.19287109375,2659.33984375,1950.1558837890625,2134.186767578125,23248.498046875,15278.5166015625,643.6201782226562,1850.1768798828125,7604.72998046875,813.979736328125,85199.5625,60805.31640625,19019.9453125,17613.552734375,111.95515441894533,125.70874786376952,1173.2701416015625,1250.255859375,106.65025329589844,122.16776275634766,548.9586181640625,675.6585693359375,377.2179870605469,406.0815124511719,361.0245971679688,319.0218200683594,3530.742919921875,2172.096435546875,907.0341796875,738.3749389648438,933.0419921875,5552.06884765625,7292.294921875,8534.58203125,21419.17578125,811.2673950195312,936.4304809570312,1045.3223876953125,86827.03125,87972.1484375,70077.9140625,73500.1171875,39887.28125,230.65049743652344,488.6095275878906,221.5188751220703,21110.615234375,17046.4375,15176.0615234375,15873.4111328125,7449.23876953125,7079.556640625,6651.140625,6129.486328125,9716,27.604394912719727,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.80992126464844,24.32377243041992,988.4779052734376,128552.3671875,5.235176086425781,0,4894130,True,BME690,11112,0,0,0,4894337,24484,0,26.75801467895508,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 12, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:13:52.784,"{'cid': '953511cb-1ada-4970-9cdf-5eae32274948', 'uuid': '6a563fc6-c048-4498-b615-ca4afae3b176', 'annotationId': '0c5342af-ea81-4a2e-8c69-42b951d97cc7', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773692031642, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:13:51.875Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,296.13,000000000DFEC3B8,1100.0,1099.23,21470046.0,300.0,299.22,22160332.0,-0.0,1600.0,1596.47,22450161.0,3700.0,3697.93,000000000DFEC3B1,22.56,21.08
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0c5342af-ea81-4a2e-8c69-42b951d97cc7,de4335f8-2d8f-494f-a206-cca1d5d280e6,729.4389038085938,625.9066162109375,5167.68212890625,6659.615234375,4302.998046875,4086.609375,7123.3779296875,6783.15771484375,268.1482849121094,9921.8134765625,8066.103515625,2659.83837890625,1945.33349609375,2138.24609375,23100.525390625,15387.5341796875,643.8035278320312,1847.385498046875,7597.45947265625,813.6619873046875,85188.1953125,60805.6953125,19017.88671875,17603.43359375,111.9818878173828,125.70368957519533,1173.6497802734375,1249.0506591796875,106.61373138427734,122.12911987304688,548.8410034179688,675.7265625,377.2376403808594,406.0112609863281,361.0091552734375,319.065673828125,3529.946533203125,2171.6806640625,907.091552734375,738.4364013671875,933.8200073242188,5546.35302734375,7292.5478515625,8532.470703125,21447.587890625,811.5313720703125,936.134765625,1046.65478515625,86824.6875,87975.0859375,70084.296875,73504.328125,40066.046875,230.7255706787109,488.1801452636719,221.5208740234375,21110.947265625,17048.1171875,15176.015625,15872.5234375,7450.748046875,7079.35693359375,6650.95947265625,6130.2353515625,10017,27.604394912719727,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.80992126464844,24.3295841217041,988.4762573242188,128250.4921875,5.2364277839660645,0,4894570,True,BME690,11113,0,0,0,4894337,24484,0,26.75801467895508,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 12, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:13:53.085,"{'cid': '953511cb-1ada-4970-9cdf-5eae32274948', 'uuid': '6a563fc6-c048-4498-b615-ca4afae3b176', 'annotationId': '0c5342af-ea81-4a2e-8c69-42b951d97cc7', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773692031642, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:13:51.875Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,295.63,000000000DFEC3B8,1100.0,1099.16,21470046.0,300.0,299.23,22160332.0,0.0,1600.0,1597.14,22450161.0,3700.0,3700.15,000000000DFEC3B1,22.58,21.12
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0c5342af-ea81-4a2e-8c69-42b951d97cc7,de4335f8-2d8f-494f-a206-cca1d5d280e6,729.6560668945312,625.8335571289062,5168.7626953125,6660.8505859375,4303.74755859375,4086.683349609375,7124.9638671875,6786.1455078125,268.28045654296875,9925.595703125,8052.69580078125,2662.818115234375,1946.88330078125,2136.282470703125,23249.212890625,15383.5244140625,644.5221557617188,1848.674072265625,7600.505859375,813.3184814453125,85172.640625,60803.01953125,19018.369140625,17604.49609375,111.97967529296876,125.70394134521484,1172.6904296875,1250.763671875,106.68045043945312,122.15625762939452,548.926513671875,676.00439453125,377.1976623535156,406.03521728515625,360.9939270019531,319.064208984375,3530.80419921875,2172.13037109375,907.1963500976562,738.493896484375,933.1438598632812,5534.48193359375,7292.72705078125,8532.98828125,21420.751953125,811.275146484375,935.3151245117188,1042.5635986328125,86819.609375,87991.0625,70080.734375,73502.8203125,40215.703125,230.6789703369141,488.4519653320313,221.6289825439453,21110.47265625,17047.001953125,15175.1884765625,15872.9306640625,7448.85302734375,7080.16943359375,6651.05029296875,6129.6474609375,10318,27.604394912719727,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.80992126464844,24.341209411621094,988.474609375,128552.3671875,5.238929271697998,0,4895010,True,BME690,11114,0,0,0,4894337,24484,0,26.75801467895508,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 12, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:13:53.385,"{'cid': '953511cb-1ada-4970-9cdf-5eae32274948', 'uuid': '6a563fc6-c048-4498-b615-ca4afae3b176', 'annotationId': '0c5342af-ea81-4a2e-8c69-42b951d97cc7', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773692031642, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:13:51.875Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,295.14,000000000DFEC3B8,1100.0,1099.09,21470046.0,300.0,299.23,22160332.0,0.0,1600.0,1597.8,22450161.0,3700.0,3702.35,000000000DFEC3B1,22.6,21.16
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0c5342af-ea81-4a2e-8c69-42b951d97cc7,de4335f8-2d8f-494f-a206-cca1d5d280e6,728.9634399414062,625.6954956054688,5169.2880859375,6660.05419921875,4302.97265625,4086.600830078125,7125.005859375,6782.12744140625,268.295166015625,9937.1083984375,8060.18310546875,2663.487548828125,1940.5555419921875,2135.188232421875,23249.431640625,15408.974609375,643.7191162109375,1846.8736572265625,7633.13232421875,813.453857421875,85180.2421875,60786.78515625,19016.91015625,17595.861328125,112.0015106201172,125.70794677734376,1171.930908203125,1247.706787109375,106.65586853027344,122.13743591308594,548.4364013671875,675.5401000976562,377.2312927246094,406.0418395996094,361.0312194824219,319.089599609375,3529.36083984375,2172.3740234375,907.0946044921876,738.4485473632812,934.4297485351562,5547.828125,7292.8173828125,8533.5888671875,21397.232421875,811.0806274414062,936.33935546875,1043.476318359375,86807.75,87990.1796875,70081.890625,73498.359375,40053.06640625,230.65087890625,488.2583312988281,221.6248016357422,21111.171875,17047.09765625,15175.5810546875,15873.27734375,7450.521484375,7080.15185546875,6651.01708984375,6129.73876953125,10620,27.68498039245605,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.80992126464844,24.341209411621094,988.474609375,128552.3671875,5.238929271697998,0,4895010,True,BME690,11114,0,0,0,4894337,24484,0,26.75801467895508,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 12, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:13:53.686,"{'cid': '953511cb-1ada-4970-9cdf-5eae32274948', 'uuid': '6a563fc6-c048-4498-b615-ca4afae3b176', 'annotationId': '0c5342af-ea81-4a2e-8c69-42b951d97cc7', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773692031642, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:13:51.875Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,296.21,000000000DFEC3B8,1100.0,1098.89,21470046.0,300.0,299.3,22160332.0,0.0,1600.0,1598.28,22450161.0,3700.0,3703.58,000000000DFEC3B1,22.61,21.2
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0c5342af-ea81-4a2e-8c69-42b951d97cc7,de4335f8-2d8f-494f-a206-cca1d5d280e6,730.8473510742188,625.7071533203125,5167.17529296875,6659.10009765625,4304.29345703125,4086.786865234375,7124.40869140625,6781.02197265625,268.2113952636719,9978.234375,8049.8818359375,2661.500244140625,1946.891845703125,2135.3896484375,22858.583984375,15211.6689453125,643.6647338867188,1846.9959716796875,7611.2197265625,813.6516723632812,85186.9453125,60788.3984375,19021.130859375,17601.01953125,112.0390625,125.64959716796876,1171.418701171875,1252.851806640625,106.64007568359376,122.13404846191406,548.547119140625,675.0379028320312,377.2928161621094,406.03564453125,360.95751953125,319.069091796875,3530.32421875,2172.227294921875,907.2559814453124,738.470947265625,934.156494140625,5542.50830078125,7293.40673828125,8532.2119140625,21421.517578125,811.2166748046875,936.0433349609376,1044.796142578125,86802.3828125,87992.390625,70085.4375,73502.203125,39850.42578125,230.59475708007807,488.07513427734375,221.71127319335935,21110.849609375,17047.720703125,15175.4677734375,15874.2900390625,7450.583984375,7079.2353515625,6650.69384765625,6129.7978515625,10920,27.68498039245605,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,23.81024932861328,24.341196060180664,988.4076538085938,128931.7265625,5.2390241622924805,0,4895451,True,BME690,11115,0,0,0,4894337,24484,0,26.75801467895508,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 12, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:13:53.988,"{'cid': '953511cb-1ada-4970-9cdf-5eae32274948', 'uuid': '6a563fc6-c048-4498-b615-ca4afae3b176', 'annotationId': '0c5342af-ea81-4a2e-8c69-42b951d97cc7', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773692031642, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:13:51.875Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,299.98,000000000DFEC3B8,1100.0,1098.49,21470046.0,300.0,299.47,22160332.0,0.0,1600.0,1598.4,22450161.0,3700.0,3702.91,000000000DFEC3B1,22.62,21.22
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0c5342af-ea81-4a2e-8c69-42b951d97cc7,de4335f8-2d8f-494f-a206-cca1d5d280e6,728.4278564453125,625.7679443359375,5167.2119140625,6659.54052734375,4303.240234375,4086.025634765625,7121.54345703125,6779.5927734375,268.30181884765625,9878.1279296875,8057.96337890625,2664.255615234375,1946.347412109375,2135.25390625,22894.76171875,15253.1103515625,643.9435424804688,1846.044189453125,7612.99658203125,813.6231689453125,85172.328125,60781.54296875,19024.623046875,17609.017578125,111.94410705566406,125.68063354492188,1169.552978515625,1252.8343505859375,106.67623138427734,122.1198272705078,548.391357421875,675.2003784179688,377.2777404785156,406.00537109375,361.0058898925781,319.0753479003906,3530.6640625,2173.027587890625,907.1878051757812,738.3717041015625,934.6044921875,5522.2744140625,7293.14404296875,8532.021484375,21424.9453125,811.0709228515625,936.0458984375,1046.2952880859375,86801.03125,87992.421875,70090.5078125,73502.8515625,39780.3203125,230.65676879882807,488.5297546386719,221.64047241210935,21110.806640625,17049.44921875,15175.0615234375,15873.65234375,7451.18017578125,7079.6279296875,6650.91455078125,6129.82763671875,11222,27.765565872192383,29.37728881835937,0,0,0,0,0,0,0,0,0,0,0,1,23.809593200683597,24.34703254699707,988.3482666015624,129697.2109375,5.240085124969482,0,4895892,True,BME690,11116,0,0,0,4894337,24484,0,26.75801467895508,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 12, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:13:54.292,"{'cid': '953511cb-1ada-4970-9cdf-5eae32274948', 'uuid': '6a563fc6-c048-4498-b615-ca4afae3b176', 'annotationId': '0c5342af-ea81-4a2e-8c69-42b951d97cc7', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773692031642, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:13:51.875Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,303.78,000000000DFEC3B8,1100.0,1098.08,21470046.0,300.0,299.65,22160332.0,0.0,1600.0,1598.52,22450161.0,3700.0,3702.23,000000000DFEC3B1,22.61,21.23
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0c5342af-ea81-4a2e-8c69-42b951d97cc7,de4335f8-2d8f-494f-a206-cca1d5d280e6,730.4835205078125,626.10498046875,5166.69091796875,6659.2939453125,4301.8544921875,4085.91064453125,7125.9140625,6778.3701171875,268.1498413085937,9926.4580078125,8062.5234375,2664.590576171875,1945.6224365234373,2136.887451171875,22902.13671875,15326.6796875,644.1417846679688,1848.0032958984373,7613.18994140625,813.228759765625,85158.1328125,60780.82421875,19020.029296875,17598.34765625,111.96920776367188,125.6810531616211,1170.162353515625,1248.5546875,106.65179443359376,122.1734390258789,548.6464233398438,675.2151489257812,377.2378234863281,406.0148010253906,361.0129699707031,319.025634765625,3529.382080078125,2171.9189453125,907.0476684570312,738.3187255859375,934.5447998046876,5522.19384765625,7292.3125,8533.697265625,21393.43359375,811.1746826171875,937.02880859375,1043.9051513671875,86807.2890625,87997.5546875,70081.609375,73493.953125,39952.41015625,230.64450073242188,488.5425720214844,221.6935272216797,21110.892578125,17047.48046875,15174.875,15872.814453125,7450.12451171875,7079.611328125,6650.41796875,6129.60400390625,11522,27.604394912719727,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.809593200683597,24.34703254699707,988.3482666015624,129697.2109375,5.240085124969482,0,4895892,True,BME690,11116,0,0,0,4894337,24484,0,26.75801467895508,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 12, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:13:54.591,"{'cid': '953511cb-1ada-4970-9cdf-5eae32274948', 'uuid': '6a563fc6-c048-4498-b615-ca4afae3b176', 'annotationId': '0c5342af-ea81-4a2e-8c69-42b951d97cc7', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773692031642, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:13:51.875Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,307.36,000000000DFEC3B8,1100.0,1097.69,21470046.0,300.0,299.83,22160332.0,-0.0,1600.0,1598.64,22450161.0,3700.0,3701.56,000000000DFEC3B1,22.61,21.24
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0c5342af-ea81-4a2e-8c69-42b951d97cc7,de4335f8-2d8f-494f-a206-cca1d5d280e6,729.6348266601562,625.5154418945312,5167.673828125,6658.9111328125,4302.21533203125,4086.453125,7125.13720703125,6781.853515625,268.2016906738281,9918.8193359375,8056.96923828125,2665.978271484375,1950.144287109375,2135.677978515625,22959.068359375,15272.8291015625,643.3872680664062,1847.86474609375,7592.8076171875,813.228515625,85156.15625,60781.15625,19020.248046875,17611.93359375,111.9462432861328,125.66959381103516,1171.2779541015625,1245.409423828125,106.62757110595705,122.10790252685548,548.7025756835938,675.507568359375,377.2012634277344,406.00189208984375,361.06097412109375,319.05352783203125,3530.1767578125,2171.97265625,907.0333251953124,738.334716796875,933.3414306640624,5533.40673828125,7292.03173828125,8533.9619140625,21373.6953125,811.1744384765625,936.6220092773438,1041.7008056640625,86808.2578125,87985.0546875,70078.3359375,73495.484375,39706.83984375,230.7285919189453,488.7815551757813,221.5714874267578,21109.912109375,17046.814453125,15174.830078125,15872.853515625,7450.24658203125,7078.576171875,6650.6298828125,6130.119140625,11823,27.68498039245605,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,23.80926513671875,24.352855682373047,988.2979125976562,128325.828125,5.241241931915283,0,4896332,True,BME690,11117,0,0,0,4894337,24484,0,26.75801467895508,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 12, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 20:13:54.890,"{'cid': '953511cb-1ada-4970-9cdf-5eae32274948', 'uuid': '6a563fc6-c048-4498-b615-ca4afae3b176', 'annotationId': '0c5342af-ea81-4a2e-8c69-42b951d97cc7', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773692031642, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T20:13:51.875Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,304.61,000000000DFEC3B8,1100.0,1098.16,21470046.0,300.0,299.82,22160332.0,-0.0,1600.0,1598.93,22450161.0,3700.0,3700.9,000000000DFEC3B1,22.61,21.22
