component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_184324,FLW0_184324,ANLT0_184324,FLW0_181225,SETP0_813024,FLW0_813024,ANLT0_813024,T0_093225,H0_093225
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,a1c8853c-3157-4788-a623-e8b2c84a30c1,8ace83d2-b948-4266-8dcc-696a43a086a8,801.7086791992188,714.5325317382812,5205.4853515625,6706.0302734375,4332.890625,4114.033203125,7191.00439453125,6860.70166015625,271.7284851074219,10059.08984375,8451.4384765625,3033.640380859375,2053.68017578125,2396.408203125,25146.37109375,16021.9501953125,660.2232666015625,1866.4454345703125,8183.47412109375,899.6104736328125,86255.796875,61461.49609375,19094.705078125,17689.90234375,112.5316162109375,126.27619934082033,1187.5648193359375,1273.59619140625,109.7580108642578,125.53509521484376,601.7798461914062,752.1056518554688,379.2923583984375,408.4841613769531,362.1701049804688,320.073974609375,3572.95361328125,2193.406494140625,910.1163330078124,740.339111328125,1014.9124755859376,5949.2822265625,7333.130859375,8589.0078125,21878.0703125,823.0655517578125,956.87744140625,1059.4241943359375,87783.2265625,88971.8203125,70844.65625,74248.3046875,40019.33203125,235.52896118164065,500.9812622070313,227.0118560791016,21208.615234375,17118.462890625,15232.9697265625,15929.515625,7525.63916015625,7158.18896484375,6721.380859375,6198.21142578125,10272,26.798534393310547,28.652013778686523,0,0,0,0,0,0,0,0,0,0,0,1,22.422117233276367,30.39436912536621,989.6707153320312,131492.78125,6.0437541007995605,0,2765115,True,BME690,6277,0,0,0,2765134,24484,0,27.623384475708008,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 19:38:23.441,"{'cid': '02c27f2a-de5a-4330-96ac-f2dc6480fab1', 'uuid': 'a6778f23-11cf-43d8-827a-296bb50b7c2d', 'annotationId': 'a1c8853c-3157-4788-a623-e8b2c84a30c1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773689902949, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T19:38:23.180Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3700.59,000000000DFEC3B1,300.0,297.27,000000000DFEC3B8,150.0,149.04,22160332.0,1250.0,1246.24,21470046.0,0.0,1600.0,1594.0,22450161.0,21.82,21.41
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,a1c8853c-3157-4788-a623-e8b2c84a30c1,8ace83d2-b948-4266-8dcc-696a43a086a8,801.1431884765625,714.6943969726562,5206.59375,6706.07763671875,4332.55615234375,4114.25537109375,7190.4931640625,6857.93212890625,271.6503601074219,10035.77734375,8437.49609375,3034.529296875,2057.9912109375,2399.74072265625,24872.126953125,16041.1806640625,659.3602294921875,1869.5555419921875,8170.68115234375,900.0751342773438,86263.265625,61464.31640625,19095.44140625,17685.583984375,112.59056854248048,126.2378158569336,1185.658447265625,1270.185546875,109.75792694091795,125.5647201538086,601.892822265625,752.00537109375,379.3061218261719,408.4944763183594,362.080322265625,320.0332946777344,3573.32568359375,2193.78857421875,910.20556640625,740.4427490234375,1016.7825317382812,5932.0205078125,7332.63671875,8589.6162109375,21888.234375,823.0083618164062,957.3541870117188,1055.6265869140625,87781.0,88979.2578125,70834.5546875,74248.0625,40241.41015625,235.50393676757807,500.8019104003906,227.14976501464844,21211.962890625,17119.0625,15233.318359375,15928.7138671875,7525.9130859375,7158.56396484375,6721.69482421875,6197.62158203125,10573,26.637361526489254,28.732601165771484,0,0,0,0,0,0,0,0,0,0,0,1,22.42277336120605,30.40013885498047,989.670654296875,131019.59375,6.045127868652344,0,2765555,True,BME690,6278,0,0,0,2765134,24484,0,27.623384475708008,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 19:38:23.742,"{'cid': '02c27f2a-de5a-4330-96ac-f2dc6480fab1', 'uuid': 'a6778f23-11cf-43d8-827a-296bb50b7c2d', 'annotationId': 'a1c8853c-3157-4788-a623-e8b2c84a30c1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773689902949, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T19:38:23.180Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3700.59,000000000DFEC3B1,300.0,297.27,000000000DFEC3B8,150.0,149.04,22160332.0,1250.0,1246.24,21470046.0,0.0,1600.0,1594.0,22450161.0,21.82,21.41
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,a1c8853c-3157-4788-a623-e8b2c84a30c1,8ace83d2-b948-4266-8dcc-696a43a086a8,801.5695190429688,714.7906494140625,5204.61376953125,6707.43994140625,4333.08154296875,4114.41845703125,7191.1630859375,6858.30615234375,271.77197265625,10042.3046875,8409.3623046875,3034.516357421875,2050.69384765625,2399.4365234375,24714.384765625,16203.6279296875,658.88525390625,1866.6361083984373,8147.80126953125,900.0941162109375,86255.3984375,61454.9765625,19088.943359375,17681.11328125,112.54115295410156,126.29670715332033,1187.165283203125,1273.9581298828125,109.7792739868164,125.57041931152344,601.9718017578125,753.24462890625,379.3059387207031,408.5031433105469,362.0738220214844,320.103759765625,3573.789794921875,2193.35009765625,910.3203125,740.4006958007812,1015.7249145507812,5933.0732421875,7332.82666015625,8589.8330078125,21907.8984375,823.124267578125,956.898193359375,1059.1937255859375,87774.578125,88989.4140625,70841.6640625,74243.265625,40090.7265625,235.5487060546875,500.9739074707031,226.87661743164065,21212.728515625,17118.6796875,15233.7666015625,15928.6142578125,7527.1337890625,7159.12646484375,6721.68798828125,6198.18994140625,10875,26.71794891357422,28.652013778686523,0,0,0,0,0,0,0,0,0,0,0,1,22.42277336120605,30.40013885498047,989.670654296875,131019.59375,6.045127868652344,0,2765555,True,BME690,6278,0,0,0,2765134,24484,0,27.623384475708008,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 19:38:24.043,"{'cid': '02c27f2a-de5a-4330-96ac-f2dc6480fab1', 'uuid': 'a6778f23-11cf-43d8-827a-296bb50b7c2d', 'annotationId': 'a1c8853c-3157-4788-a623-e8b2c84a30c1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773689902949, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T19:38:23.180Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3700.55,000000000DFEC3B1,300.0,297.84,000000000DFEC3B8,150.0,149.17,22160332.0,1250.0,1246.83,21470046.0,0.0,1600.0,1594.61,22450161.0,21.82,21.41
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,a1c8853c-3157-4788-a623-e8b2c84a30c1,8ace83d2-b948-4266-8dcc-696a43a086a8,800.479736328125,714.3038330078125,5204.81103515625,6706.14013671875,4333.0244140625,4114.34521484375,7191.5966796875,6857.51318359375,271.7275695800781,10015.7412109375,8409.3203125,3035.615966796875,2053.240966796875,2399.511962890625,24677.37890625,16197.5400390625,659.284423828125,1867.3447265625,8154.078125,899.15380859375,86260.4453125,61449.3984375,19093.716796875,17689.078125,112.5444107055664,126.26106262207033,1185.640869140625,1271.5997314453125,109.78099822998048,125.58651733398438,602.0296020507812,752.6680297851562,379.3282470703125,408.4730224609375,362.1231689453125,320.048095703125,3572.360595703125,2193.018310546875,910.1806030273438,740.4620971679688,1016.0347290039062,5942.5234375,7333.4169921875,8590.93359375,21912.216796875,823.0134887695312,955.0849609375,1057.4300537109375,87781.71875,88980.5,70851.1484375,74244.0,40031.0546875,235.49148559570312,501.1594543457031,226.77735900878903,21211.60546875,17119.1953125,15232.896484375,15929.796875,7526.2822265625,7158.73486328125,6722.146484375,6198.3115234375,11175,26.637361526489254,28.652013778686523,0,0,0,0,0,0,0,0,0,0,0,1,22.42277336120605,30.417490005493164,989.670654296875,132771.46875,6.048577785491943,0,2765995,True,BME690,6279,0,0,0,2765134,24484,0,27.623384475708008,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 19:38:24.343,"{'cid': '02c27f2a-de5a-4330-96ac-f2dc6480fab1', 'uuid': 'a6778f23-11cf-43d8-827a-296bb50b7c2d', 'annotationId': 'a1c8853c-3157-4788-a623-e8b2c84a30c1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773689902949, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T19:38:23.180Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3700.49,000000000DFEC3B1,300.0,298.8,000000000DFEC3B8,150.0,149.39,22160332.0,1250.0,1247.85,21470046.0,-0.0,1600.0,1595.71,22450161.0,21.83,21.47
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,a1c8853c-3157-4788-a623-e8b2c84a30c1,8ace83d2-b948-4266-8dcc-696a43a086a8,801.5957641601562,714.2855224609375,5205.2001953125,6705.23046875,4331.501953125,4113.3310546875,7191.60986328125,6858.00439453125,271.691650390625,10026.494140625,8461.01953125,3037.198486328125,2057.041748046875,2399.667724609375,24877.671875,16015.68359375,659.452880859375,1865.0108642578125,8166.4560546875,899.760498046875,86245.875,61448.80078125,19091.81640625,17683.373046875,112.55412292480467,126.28680419921876,1183.3505859375,1274.77783203125,109.75629425048828,125.56464385986328,602.1726684570312,753.2012329101562,379.3225708007813,408.5068664550781,362.0730590820313,320.1379699707031,3572.829345703125,2193.5498046875,910.2737426757812,740.37158203125,1015.29052734375,5952.26904296875,7333.31494140625,8589.892578125,21909.927734375,822.9494018554688,955.7832641601562,1058.44970703125,87786.1796875,88970.9921875,70851.8125,74248.984375,39906.44140625,235.5331115722656,500.8116455078125,227.0864715576172,21211.44140625,17118.92578125,15233.404296875,15928.8623046875,7526.66015625,7158.3291015625,6721.7041015625,6198.61376953125,11476,26.71794891357422,28.571428298950195,0,0,0,0,0,0,0,0,0,0,0,1,22.423757553100582,30.429035186767575,989.669677734375,131730.65625,6.051215171813965,0,2766435,True,BME690,6280,0,0,0,2765134,24484,0,27.623384475708008,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 19:38:24.645,"{'cid': '02c27f2a-de5a-4330-96ac-f2dc6480fab1', 'uuid': 'a6778f23-11cf-43d8-827a-296bb50b7c2d', 'annotationId': 'a1c8853c-3157-4788-a623-e8b2c84a30c1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773689902949, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T19:38:23.180Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3700.43,000000000DFEC3B1,300.0,299.76,000000000DFEC3B8,150.0,149.61,22160332.0,1250.0,1248.88,21470046.0,-0.0,1600.0,1596.81,22450161.0,21.84,21.54
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,a1c8853c-3157-4788-a623-e8b2c84a30c1,8ace83d2-b948-4266-8dcc-696a43a086a8,801.3082275390625,714.4181518554688,5203.79638671875,6706.50341796875,4331.896484375,4113.8427734375,7192.0966796875,6855.9990234375,271.81622314453125,10020.58984375,8449.4111328125,3036.22900390625,2055.42236328125,2400.694580078125,24825.30078125,16157.6865234375,659.3519287109375,1866.522705078125,8155.65771484375,898.9071655273438,86249.2421875,61452.04296875,19091.955078125,17686.4140625,112.55619049072266,126.27205657958984,1185.6842041015625,1274.05078125,109.76436614990234,125.57357788085938,602.1381225585938,752.9752197265625,379.27545166015625,408.4505920410156,362.0267639160156,320.1108703613281,3571.82373046875,2193.89111328125,910.4385375976562,740.5283813476562,1015.1456909179688,5928.9287109375,7333.42529296875,8589.962890625,21886.115234375,822.900390625,956.6812744140624,1056.10791015625,87784.03125,88974.671875,70842.8046875,74250.9921875,40193.13671875,235.52972412109372,500.9768981933594,227.13720703125,21210.953125,17119.521484375,15232.8369140625,15929.111328125,7527.08984375,7157.1064453125,6721.71875,6198.8583984375,11778,26.798534393310547,28.732601165771484,0,0,0,0,0,0,0,0,0,0,0,1,22.42408561706543,30.42902946472168,989.6129150390624,133993.046875,6.051328182220459,0,2766877,True,BME690,6281,0,0,0,2765134,24484,0,27.623384475708008,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 19:38:24.947,"{'cid': '02c27f2a-de5a-4330-96ac-f2dc6480fab1', 'uuid': 'a6778f23-11cf-43d8-827a-296bb50b7c2d', 'annotationId': 'a1c8853c-3157-4788-a623-e8b2c84a30c1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773689902949, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T19:38:23.180Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3699.97,000000000DFEC3B1,300.0,299.98,000000000DFEC3B8,150.0,149.78,22160332.0,1250.0,1249.6,21470046.0,-0.0,1600.0,1597.81,22450161.0,21.84,21.62
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,a1c8853c-3157-4788-a623-e8b2c84a30c1,8ace83d2-b948-4266-8dcc-696a43a086a8,801.4513549804688,715.0440673828125,5204.83544921875,6705.25146484375,4332.22705078125,4114.109375,7191.18408203125,6857.396484375,271.7008972167969,10008.6083984375,8468.923828125,3042.20947265625,2055.732666015625,2396.273681640625,24725.603515625,16151.6474609375,659.7119750976562,1864.4713134765625,8195.84765625,899.2177734375,86251.890625,61439.4140625,19090.779296875,17687.0234375,112.56988525390624,126.29460906982422,1184.293212890625,1275.2391357421875,109.77812957763672,125.55236053466795,602.3426513671875,752.7267456054688,379.2759094238281,408.4568176269531,362.10107421875,320.05694580078125,3570.4287109375,2193.466552734375,910.2295532226562,740.456787109375,1015.0132446289062,5940.7080078125,7332.28857421875,8590.7236328125,21899.8671875,823.0284423828125,956.1329345703124,1056.2181396484375,87787.296875,88980.5625,70838.640625,74261.5,40131.74609375,235.5998992919922,500.9398193359375,226.98941040039065,21210.92578125,17119.2890625,15234.8447265625,15928.2041015625,7526.9521484375,7159.52294921875,6721.5830078125,6198.8125,12079,26.71794891357422,28.571428298950195,0,0,0,0,0,0,0,0,0,0,0,1,22.42408561706543,30.42902946472168,989.6129150390624,133993.046875,6.051328182220459,0,2766877,True,BME690,6281,0,0,0,2765134,24484,0,27.623384475708008,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 19:38:25.248,"{'cid': '02c27f2a-de5a-4330-96ac-f2dc6480fab1', 'uuid': 'a6778f23-11cf-43d8-827a-296bb50b7c2d', 'annotationId': 'a1c8853c-3157-4788-a623-e8b2c84a30c1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773689902949, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T19:38:23.180Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3698.3,000000000DFEC3B1,300.0,297.94,000000000DFEC3B8,150.0,149.82,22160332.0,1250.0,1249.24,21470046.0,-0.0,1600.0,1598.43,22450161.0,21.85,21.68
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,a1c8853c-3157-4788-a623-e8b2c84a30c1,8ace83d2-b948-4266-8dcc-696a43a086a8,801.2193603515625,714.992431640625,5203.7607421875,6705.90625,4331.94970703125,4113.13037109375,7191.25341796875,6855.9306640625,271.81884765625,10024.5634765625,8446.7421875,3045.10205078125,2052.6240234375,2394.8173828125,24916.6953125,16109.548828125,659.2349853515625,1864.932373046875,8148.20849609375,900.1903686523438,86222.9609375,61449.98046875,19093.154296875,17680.244140625,112.55365753173828,126.27041625976562,1185.9447021484375,1273.4195556640625,109.76356506347656,125.5652847290039,602.2736206054688,752.8487548828125,379.255126953125,408.42327880859375,362.0046081542969,320.0355529785156,3571.323974609375,2192.8740234375,910.1583251953124,740.3953857421875,1015.1634521484376,5950.02197265625,7333.0078125,8588.5986328125,21882.130859375,823.0286865234375,955.7954711914062,1059.506103515625,87775.1484375,88979.875,70844.1328125,74262.9296875,40137.66796875,235.54331970214844,501.0890197753906,227.02468872070312,21210.734375,17119.638671875,15232.2353515625,15928.263671875,7527.00048828125,7159.0048828125,6721.18603515625,6198.5810546875,12380,26.637361526489254,28.571428298950195,0,0,0,0,0,0,0,0,0,0,0,1,22.42474365234375,30.446365356445312,989.5585327148438,133176.1875,6.055005073547363,0,2767317,True,BME690,6282,0,0,0,2765134,24484,0,27.623384475708008,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 19:38:25.549,"{'cid': '02c27f2a-de5a-4330-96ac-f2dc6480fab1', 'uuid': 'a6778f23-11cf-43d8-827a-296bb50b7c2d', 'annotationId': 'a1c8853c-3157-4788-a623-e8b2c84a30c1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773689902949, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T19:38:23.180Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3696.64,000000000DFEC3B1,300.0,295.91,000000000DFEC3B8,150.0,149.85,22160332.0,1250.0,1248.88,21470046.0,-0.0,1600.0,1599.05,22450161.0,21.84,21.73
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,a1c8853c-3157-4788-a623-e8b2c84a30c1,8ace83d2-b948-4266-8dcc-696a43a086a8,800.4013671875,715.2603759765625,5203.638671875,6706.39990234375,4330.6123046875,4113.1572265625,7190.80126953125,6861.39697265625,271.7101745605469,10042.2705078125,8443.9931640625,3045.65576171875,2054.101806640625,2401.822021484375,24955.11328125,16112.0830078125,659.0911254882812,1866.615234375,8163.44775390625,899.8259887695312,86222.5703125,61447.5625,19089.4921875,17676.06640625,112.56816864013672,126.30020904541016,1186.4329833984375,1275.2432861328125,109.7976303100586,125.58008575439452,602.4491577148438,752.1141967773438,379.2718505859375,408.4836730957031,362.0149536132813,320.01446533203125,3571.520263671875,2193.002197265625,910.0049438476562,740.3410034179688,1014.779052734375,5930.27587890625,7332.95703125,8590.734375,21840.49609375,822.9956665039062,957.2621459960938,1057.2626953125,87762.9296875,88965.8125,70841.125,74262.515625,39899.90234375,235.5533142089844,500.7198486328125,226.8992919921875,21211.146484375,17120.0234375,15232.841796875,15930.109375,7526.27734375,7159.3828125,6721.333984375,6199.00634765625,12680,26.71794891357422,28.571428298950195,0,0,0,0,0,0,0,0,0,0,0,1,22.42539978027344,30.44635009765625,989.515625,132129.03125,6.055229187011719,0,2767757,True,BME690,6283,0,0,0,2765134,24484,0,27.623384475708008,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 19:38:25.849,"{'cid': '02c27f2a-de5a-4330-96ac-f2dc6480fab1', 'uuid': 'a6778f23-11cf-43d8-827a-296bb50b7c2d', 'annotationId': 'a1c8853c-3157-4788-a623-e8b2c84a30c1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773689902949, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T19:38:23.180Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3694.98,000000000DFEC3B1,300.0,293.88,000000000DFEC3B8,150.0,149.89,22160332.0,1250.0,1248.53,21470046.0,-0.0,1600.0,1599.67,22450161.0,21.84,21.78
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,a1c8853c-3157-4788-a623-e8b2c84a30c1,8ace83d2-b948-4266-8dcc-696a43a086a8,801.4793090820312,714.84423828125,5203.65185546875,6705.77783203125,4330.845703125,4113.37353515625,7191.224609375,6858.185546875,271.648193359375,10029.6142578125,8470.953125,3044.56640625,2055.383056640625,2397.146240234375,25035.193359375,16150.2548828125,659.7356567382812,1866.31884765625,8155.87451171875,899.8770141601562,86243.8359375,61444.8359375,19093.638671875,17679.044921875,112.5515365600586,126.2769546508789,1185.5726318359375,1271.2108154296875,109.7642059326172,125.54942321777344,601.9864501953125,752.6631469726562,379.26763916015625,408.4126281738281,362.0623779296875,320.0207214355469,3571.7587890625,2192.779296875,910.03271484375,740.3947143554688,1014.22607421875,5935.05908203125,7332.32275390625,8590.1328125,21834.833984375,823.1104125976562,957.8320922851562,1055.475830078125,87779.28125,88959.75,70846.15625,74252.890625,40036.9375,235.5683441162109,501.1482543945313,226.9440155029297,21209.740234375,17120.52734375,15232.60546875,15929.5322265625,7526.2421875,7158.6767578125,6721.36865234375,6198.0478515625,12981,26.71794891357422,28.490842819213867,0,0,0,0,0,0,0,0,0,0,0,1,22.42539978027344,30.44635009765625,989.515625,132129.03125,6.055229187011719,0,2767757,True,BME690,6283,0,0,0,2765134,24484,0,27.623384475708008,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-50ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 19:38:26.152,"{'cid': '02c27f2a-de5a-4330-96ac-f2dc6480fab1', 'uuid': 'a6778f23-11cf-43d8-827a-296bb50b7c2d', 'annotationId': 'a1c8853c-3157-4788-a623-e8b2c84a30c1', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773689902949, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T19:38:23.180Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3696.84,000000000DFEC3B1,300.0,294.59,000000000DFEC3B8,150.0,149.92,22160332.0,1250.0,1248.69,21470046.0,-0.0,1600.0,1599.57,22450161.0,21.83,21.82
